End ^nn++++=End
? ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
approaches.. ^nn+++??+=approaches....
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Who ^whp+who+whq++=Who
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
There ^ex+pex+++=There
shines ^vbz++++=shines
in ^in++++=in
your ^pp$+pp2+++=your
large ^jj+atrb+++=large
eyes ^nns++++=eyes
something ^pn++++=something
like ^in++++=like
the ^ati++++=the
mysterious ^jj+atrb+++=mysterious
light ^nn++++=light
of ^in++++=of
the ^ati++++=the
archangels ^nns+++??+=archangels
of ^in++++=of
Israel ^np++++=Israel;
; ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
not ^xnot++not++=not
a ^at++++=a
human ^jj+atrb+++=human
being?. ^nn+++??+=being?...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Prometheus ^np+++??+=Prometheus.
. ^zz++++=EXTRAWORD
No ^at++++=No.
. ^zz++++=EXTRAWORD
Ahasverus ^np+++??+=Ahasverus.
. ^zz++++=EXTRAWORD
Of ^in++++=Of
a ^at++++=a
race ^nn++++=race
divine ^jj++++=divine,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then?
? ^zz++++=EXTRAWORD
Prometheus ^np+++??+=Prometheus.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
have ^vb+hv+aux++=have
said ^vprf+++xvbnx+=said
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Ahasverus ^np+++??+=Ahasverus.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
not ^xnot++not++=not
know ^vb+vprv+++=know
you ^pp2+pp2+++=you;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
what ^wdt+who+++=what
matters ^nns+nom+++=matters
it ^pp3+it+++=it
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=do
not ^xnot++not++=not?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
are ^vb+ber+vrb++=are
not ^xnot++not++=not
a ^at++++=a
human ^nn++++=human
being ^vwbg+beg++xvbg+=being;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
I ^pp1a+pp1+++=I
may ^md+pos+++=may
die ^vb++++=die;
; ^zz++++=EXTRAWORD
for ^in++++=for
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
the ^ati++++=the
last ^ap++++=last
and ^cc++++=and
I ^pp1a+pp1+++=I
close ^vb++++=close
the ^ati++++=the
gate ^nn++++=gate
of ^in++++=of
life ^nn++++=life.
. ^zz++++=EXTRAWORD
Prometheus ^np+++??+=Prometheus.
. ^zz++++=EXTRAWORD
Life ^nn++++=Life,
, ^zz++++=EXTRAWORD
like ^in++++=like
ancient ^jj+atrb+++=ancient
Thebes ^np+++??+=Thebes,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+vrb++=has
a ^at++++=a
hundred ^cd++++=hundred
gates ^nns++++=gates.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
close ^rb++++=close
one ^pn++++=one,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
others ^aps++++=others
will ^md+prd+++=will
open ^vb++++=open.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
are ^vb+ber+vrb++=are
the ^ati++++=the
last ^ap++++=last
of ^in++++=of
your ^pp$+pp2+++=your
species ^nn++++=species?
? ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
another ^dt++++=another
better ^jjr+atrb+++=better
species ^nn++++=species
will ^md+prd+++=will
come ^vb++++=come,
, ^zz++++=EXTRAWORD
made ^j+++xvbn+=made
not ^xnot++not++=not
of ^in++++=of
clay ^nn++++=clay,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
of ^in++++=of
the ^ati++++=the
light ^nn++++=light
itself ^ppl++++=itself.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
last ^rb++++=last
of ^in++++=of
men ^nns++++=men,
, ^zz++++=EXTRAWORD
all ^abn++++=all
the ^ati++++=the
common ^jj+atrb+++=common
spirits ^nns++++=spirits
will ^md+prd+++=will
perish ^vb++++=perish
forever ^rb++++=forever;
; ^zz++++=EXTRAWORD
the ^ati++++=the
flower ^nn++++=flower
of ^in++++=of
them ^pp3o+pp3+++=them
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
which ^whp+who+++=which
will ^md+prd+++=will
return ^vb++++=return
to ^in++++=to
earth ^nn++++=earth
and ^cc++++=and
rule ^nn++++=rule.
. ^zz++++=EXTRAWORD
The ^ati++++=The
ages ^nns++++=ages
will ^md+prd+++=will
be ^vb+be+aux++=be
rectified ^vpsv++agls+xvbnx+=rectified.
. ^zz++++=EXTRAWORD
Evil ^nn++++=Evil
will ^md+prd+++=will
end ^vb++++=end;
; ^zz++++=EXTRAWORD
the ^ati++++=the
winds ^nns++++=winds
will ^md+prd+++=will
thenceforth ^vb+++??+=thenceforth
scatter ^nn++++=scatter
neither ^dt++neg++=neither
the ^ati++++=the
germs ^nns++++=germs
of ^in++++=of
death ^nn++++=death
nor ^cc++neg++=nor
the ^ati++++=the
clamor ^nn++++=clamor
of ^in++++=of
the ^ati++++=the
oppressed ^jj++++=oppressed,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
only ^rb+down+++=only
the ^ati++++=the
song ^nn++++=song
of ^in++++=of
love ^nn++++=love
everlasting ^jj++++=everlasting
and ^cc++++=and
the ^ati++++=the
benediction ^nn+nom+++=benediction
of ^in++++=of
universal ^nn+nom+++=universal
justice.. ^nn+++??+=justice....
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Ahasverus ^np+++??+=Ahasverus.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
can ^md+pos+++=can
all ^rb++++=all
this ^dt+dem+++=this
posthumous ^jj+atrb+++=posthumous
joy ^nn++++=joy
matter ^nn++++=matter
to ^in++++=to
the ^ati++++=the
species ^nns++++=species
that ^tht+rel+subj++=that
dies ^vbz++++=dies
with ^in++++=with
me ^pp1o+pp1+++=me?
? ^zz++++=EXTRAWORD
Believe ^vb+vprv+++=Believe
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
who ^whp+who+whq++=who
are ^vb+ber+aux++=are
immortal ^jj+pred+++=immortal,
, ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
bones ^nns++++=bones
that ^tht+rel+obj++=that
rot ^nn++++=rot
in ^in++++=in
the ^ati++++=the
earth ^nn++++=earth
the ^ati++++=the
purples ^nns+++??+=purples
of ^in++++=of
Sidonia ^np+++??+=Sidonia
are ^vb+ber+vrb++=are
worthless ^jj+pred+++=worthless.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
you ^pp2+pp2+++=you
tell ^vb++++=tell
me ^pp1o+pp1+++=me
is ^vbz+bez+vrb++=is
even ^rb++++=even
better ^jjr+pred+++=better
than ^in++++=than
what ^wdt+who+++=what
Campanella ^np+++??+=Campanella
dreamed ^vbd+vprv++xvbn+=dreamed.
. ^zz++++=EXTRAWORD
In ^cs+sub+++=In
that ^cs"++++=that
man ^nn++++=man's
's ^vbz+bez+vrb++0=EXTRAWORD
ideal ^jj+atrb+++=ideal
city ^nn++++=city
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
delights ^nns++++=delights
and ^cc++++=and
ills ^nns+++??+=ills;
; ^zz++++=EXTRAWORD
yours ^pp$$++++=yours
excludes ^nns+++??+=excludes
all ^abn++++=all
mortal ^nn++++=mortal
and ^cc++++=and
physical ^jj+atrb+++=physical
ailments ^nns+nom+++=ailments.
. ^zz++++=EXTRAWORD
May ^md+pos+++=May
the ^ati++++=the
Lord ^npt++++=Lord
hear ^vb+vprv+++=hear
you ^pp2+pp2+++=you!
! ^zz++++=EXTRAWORD
But ^cc+cls+++=But
let ^vb+++xvbn+=let
me ^pp1o+pp1+++=me
go ^vb++++=go
and ^cc+phrs+++=and
die ^vb++++=die.
. ^zz++++=EXTRAWORD
Prometheus ^np+++??+=Prometheus.
. ^zz++++=EXTRAWORD
Go ^vb++++=Go,
, ^zz++++=EXTRAWORD
go ^vb++++=go.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
why ^wrb+who+++=why
this ^dt+dem+++=this
haste ^nn++++=haste
to ^in++++=to
end ^nn++++=end
your ^pp$+pp2+++=your
days ^nns++++=days?
? ^zz++++=EXTRAWORD
Ahasverus ^np+++??+=Ahasverus.
. ^zz++++=EXTRAWORD
The ^ati++++=The
haste ^nn++++=haste
of ^in++++=of
a ^at++++=a
man ^nn++++=man
who ^whp+rel+subj++=who
has ^vbz+hvz+aux++=has
lived ^vprf+++xvbnx+=lived
for ^in+ppvb+++=for
thousands ^cds++++=thousands
of ^in++++=of
years ^nns++++=years.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
thousands ^cds++++=thousands
of ^in++++=of
years ^nns++++=years.
. ^zz++++=EXTRAWORD
Men ^nns++++=Men
who ^whp+rel+subj++=who
existed ^vbd+++xvbn+=existed
scarcely ^rb+down+++=scarcely
scores ^nns++++=scores
of ^in++++=of
them ^pp3o+pp3+++=them
invented ^vbd+++xvbn+=invented
a ^at++++=a
feeling ^jj+++xvbg+=feeling
of ^in++++=of
ennui ^nn++++=ennui,
, ^zz++++=EXTRAWORD
tedium ^nn++++=tedium
vitae ^&fw++++=vitae,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
they ^pp3a+pp3+++=they
could ^md+pos+++=could
never ^rb++splt++=never
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
at ^rb++++=at
least ^rb"++++=least
in ^in++++=in
all ^abn++++=all
its ^pp$+it+++=its
implacable ^jj+atrb+++=implacable
and ^cc+phrs+++=and
vast ^jj+atrb+++=vast
reality ^nn+nom+++=reality,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
necessary ^jj+pred+++=necessary
to ^to+jcmp+++=to
have ^vbi+vbi+aux++=have
journeyed ^vprf+++xvbnx+=journeyed
through ^in++++=through
all ^abn++++=all
the ^ati++++=the
generations ^nns+nom+++=generations
and ^cc++++=and
all ^rb++++=all
the ^ati++++=the
cataclysms ^nns+++??+=cataclysms
to ^to++++=to
feel ^vbi+vprv+++=feel
that ^tht+vcmp+++=that
profound ^jj+atrb+++=profound
surfeit ^nn++++=surfeit
of ^in++++=of
existence ^nn+nom+++=existence.
. ^zz++++=EXTRAWORD
Prometheus ^np+++??+=Prometheus.
. ^zz++++=EXTRAWORD
Thousands ^cds++++=Thousands
of ^in++++=of
years ^nns++++=years?
? ^zz++++=EXTRAWORD
Ahasverus ^np+++??+=Ahasverus.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
name ^nn++++=name
Is ^vbz+bez+vrb++=Is
Ahasverus ^np+++??+=Ahasverus;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
dwelt ^vbd+++xvbnx+=dwelt
in ^in++++=in
Jerusalem ^np++++=Jerusalem
at ^in++++=at
the ^ati++++=the
time ^nn++++=time
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
about ^md"++pmd"++=about
to ^md+prd+++=to
crucify ^vb++++=crucify
Christ ^np++++=Christ.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
passed ^vbd+++xvbnx+=passed
my ^pp$+pp1+++=my
door ^nn++++=door
he ^pp3a+pp3+++=he
weakened ^vbd+++xvbnx+=weakened
under ^in++++=under
the ^ati++++=the
burden ^nn++++=burden
of ^in++++=of
the ^ati++++=the
beam ^nn++++=beam
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
carried ^vbd+++xvbnx+=carried
on ^in++++=on
his ^pp$+pp3+++=his
shoulders ^nns+nom+++=shoulders,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
thrust ^vbd+++xvbnx+=thrust
him ^pp3o+pp3+++=him
onward ^jjb++++=onward,
, ^zz++++=EXTRAWORD
admonishing ^vbg+++xvbg+=admonishing
him ^pp3o+pp3+++=him
not ^xnot++not++=not
to ^to++++=to
stop ^vbi++++=stop,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
to ^in++++=to
rest ^nn++++=rest,
, ^zz++++=EXTRAWORD
to ^to++++=to
continue ^vbi++++=continue
on ^in++++=on
his ^pp$+pp3+++=his
way ^nn++++=way
to ^in++++=to
the ^ati++++=the
hill ^nn++++=hill
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
to ^to++++=to
be ^vbi++vrb++=be
crucified.. ^nn+++??+=crucified....
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
there ^ex+pex+++=there
came ^vbd+++xvbn+=came
a ^at++++=a
voice ^nn++++=voice
from ^in++++=from
heaven ^nn++++=heaven,
, ^zz++++=EXTRAWORD
telling ^jj+++xvbg+=telling
me ^pp1o+pp1+++=me
that ^cs+sub+++=that
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
should ^md+nec+++=should
have ^vb+hv+vrb++=have
to ^in++++=to
journey ^nn++++=journey
forever ^rb+cnj+++=forever,
, ^zz++++=EXTRAWORD
continuously ^rb+cnj+++=continuously,
, ^zz++++=EXTRAWORD
until ^in++++=until
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
time ^nn++++=time.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
was ^vbd+bedz+vrb++=was
my ^pp$+pp1+++=my
crime ^nn++++=crime;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
no ^at++++=no
pity ^nn++++=pity
for ^in++++=for
him ^pp3o+pp3+++=him
who ^whp+who+++=who
was ^vbd+bedz+aux++=was
going ^vbg+++xvbgx+=going
to ^in++++=to
his ^pp$+pp3+++=his
death ^nn++++=death.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
not ^xnot++not++=not
know ^vb+vprv+++=know
myself ^ppl+pp1+++=myself
how ^wrb+who+++=how
it ^pp3+it+++=it
came ^vbd+++xvbn+=came
about ^in+strn+++=about.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Pharisees ^nns+nom++??+=Pharisees
said ^vbd+vpub++xvbn+=said
that ^tht+vcmp+++=that
the ^ati++++=the
son ^nn++++=son
of ^in++++=of
Mary ^np++++=Mary
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
to ^to++++=to
destroy ^vbi++++=destroy
the ^ati++++=the
law ^nn++++=law,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
must ^md+nec+++=must
be ^vb+be+vrb++=be
slain ^nn+++??+=slain;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
ignorant ^jj+atrb+++=ignorant
wretch ^nn++++=wretch,
, ^zz++++=EXTRAWORD
wished ^vb+++xvbn+=wished
to ^to+vcmp+++=to
display ^vb++++=display
my ^pp$+pp1+++=my
zeal ^nn++++=zeal
and ^cc+cls+++=and
hence ^rb+cnj+++=hence
my ^pp$+pp1+++=my
action ^nn++++=action
of ^in++++=of
that ^dt+dem+++=that
day ^nn++++=day.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
many ^ap++++=many
times ^nns++++=times
have ^vb+hv+aux++=have
I ^pp1a+pp1+++=I
seen ^vbd+vprv++xvbnx+=seen
the ^ati++++=the
same ^ap++++=same
thing ^nn++++=thing
since ^in+strn+++=since,
, ^zz++++=EXTRAWORD
traveling ^nn+nom+++=traveling
unceasingly ^rb++++=unceasingly
through ^in++++=through
cities ^nns++++=cities
and ^cc++++=and
ages ^nns++++=ages!
! ^zz++++=EXTRAWORD
Whenever ^nn+nom+++=Whenever
zealotry ^nn++++=zealotry
penetrated ^vbd+++xvbn+=penetrated
into ^in++++=into
a ^at++++=a
submissive ^jj+atrb+++=submissive
soul ^nn++++=soul,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
became ^vbd+++xvbn+=became
cruel ^jj++++=cruel
or ^cc+phrs+++=or
ridiculous ^jj++++=ridiculous.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
crime ^nn++++=crime
was ^vbd+bedz+vrb++=was
unpardonable ^jj+pred+++=unpardonable.
. ^zz++++=EXTRAWORD
Prometheus ^np+++??+=Prometheus.
. ^zz++++=EXTRAWORD
A ^at++++=A
grave ^jj+atrb+++=grave
crime ^nn++++=crime,
, ^zz++++=EXTRAWORD
in ^in++++=in
truth ^nn++++=truth,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
punishment ^nn+nom+++=punishment
was ^vbd+bedz+vrb++=was
lenient ^jj+pred+++=lenient.
. ^zz++++=EXTRAWORD
The ^ati++++=The
other ^ap++++=other
men ^nns++++=men
read ^vbd+vprv++xvbn+=read
but ^cc++++=but
a ^at++++=a
chapter ^nn++++=chapter
of ^in++++=of
life ^nn++++=life;
; ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
read ^vprf+++xvbnx+=read
the ^ati++++=the
whole ^jj+atrb+++=whole
book ^nn++++=book.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
does ^vbz+doz+aux++=does
one ^cd1++++=one
chapter ^nn++++=chapter
know ^vb+vprv+++=know
of ^in++++=of
the ^ati++++=the
other ^ap++++=other
chapter ^nn++++=chapter?
? ^zz++++=EXTRAWORD
Nothing ^pn++++=Nothing.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
he ^pp3a+pp3+++=he
who ^whp+who+++=who
has ^vbz+hvz+aux++=has
read ^vprf+++xvbnx+=read
them ^pp3o+pp3+++=them
all ^rb+cnj+++=all,
, ^zz++++=EXTRAWORD
connects ^vbz++++=connects
them ^pp3o+pp3+++=them
and ^cc++++=and
concludes ^vbz+vprv+++=concludes.
. ^zz++++=EXTRAWORD
Are ^vb+ber+vrb++=Are
there ^rn+pl+++=there
melancholy ^jj+atrb+++=melancholy
pages ^nns++++=pages?
? ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
merry ^jj+pred+++=merry
and ^cc+phrs+++=and
happy ^jj+atrb+++=happy
ones ^pn++++=ones,
, ^zz++++=EXTRAWORD
too ^rb++++=too.
. ^zz++++=EXTRAWORD
Tragic ^jj+atrb+++=Tragic
convulsion ^nn++++=convulsion
precedes ^vbz++++=precedes
that ^cs+sub+++=that
of ^in++++=of
laughter ^nn+nom+++=laughter;
; ^zz++++=EXTRAWORD
life ^nn++++=life
burgeons ^nns+++??+=burgeons
from ^in++++=from
death ^nn++++=death;
; ^zz++++=EXTRAWORD
swans ^nn++++=swans
and ^cc++++=and
swallows ^nns+++??+=swallows
change ^nn++++=change
climate ^nn+nom+++=climate,
, ^zz++++=EXTRAWORD
without ^in++++=without
ever ^rb++++=ever
abandoning ^jj+++xvbg+=abandoning
it ^pp3+it+++=it
entirely ^rb+amp+++=entirely;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thus ^rb+cnj+++=thus
all ^rb++++=all
is ^vbz+bez+aux++=is
harmonized ^vpsv++agls+xvbnx+=harmonized
and ^cc+phrs+++=and
begun ^vwbn+++xvbn+=begun
anew ^nn+++??+=anew.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
have ^vb+hv+vrb++=have
beheld ^nn+++??+=beheld
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
ten ^cd++++=ten
times ^nns++++=times,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
a ^at++++=a
thousand ^cd++++=thousand
times ^nns++++=times,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
ever ^rb++++=ever;
; ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have
beheld ^nn+++??+=beheld
the ^ati++++=the
magnificence ^nn+nom+++=magnificence
of ^in++++=of
the ^ati++++=the
earth ^nn++++=earth
curing ^j++++=curing
the ^ati++++=the
affliction ^nn+nom+++=affliction
of ^in++++=of
the ^ati++++=the
soul ^nn++++=soul,
, ^zz++++=EXTRAWORD
