**a ^nn+++??+=**A
Letter ^nn++++=LETTER
a ^at++++=a
low ^jj+atrb+++=low
and ^cc+phrs+++=and
comfortable ^jj+atrb+++=comfortable
appearance ^nn+nom+++=appearance.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
red ^jj+atrb+++=red
roofs ^nns++++=roofs
sat ^vbd+++xvbn+=sat
among ^in++++=among
orchards ^nns++++=orchards;
; ^zz++++=EXTRAWORD
its ^pp$+it+++=its
peaked ^jj++++=peaked
gables ^vbz+++??+=gables
looked ^vbd+++xvbn+=looked
over ^in++++=over
cabbage ^nn+nom+++=cabbage
gardens ^nns++++=gardens;
; ^zz++++=EXTRAWORD
its ^pp$+it+++=its
weathercocks ^vbz+++??+=weathercocks
turned ^vbd+++xvbn+=turned
deliberately ^rb+cnj+++=deliberately,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
unwilling ^jj++++=unwilling
to ^to+jcmp+++=to
commit ^vbi++++=commit
themselves ^ppls+pp3+++=themselves
upon ^in++++=upon
any ^dti++++=any
question ^nn+nom+++=question
of ^in++++=of
wind ^nn++++=wind;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
its ^pp$+it+++=its
inhabitants ^nns+nom+++=inhabitants,
, ^zz++++=EXTRAWORD
seated ^j+++xvbn+=seated
upon ^in++++=upon
sunny ^jj+atrb+++=sunny
stoops ^nns+++??+=stoops,
, ^zz++++=EXTRAWORD
smoked ^j+++xvbn+=smoked
and ^cc+phrs+++=and
smoked ^jj+++xvbn+=smoked,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
watched ^vbd+++xvbn+=watched
and ^cc+phrs+++=and
watched ^vbd+++xvbn+=watched,
, ^zz++++=EXTRAWORD
until ^cs+sub+++=until
evening ^nn++++=evening
released ^vwbn+++xvbn+=released
them ^pp3o+pp3+++=them
from ^in++++=from
the ^ati++++=the
labours ^nns++++=labours
of ^in++++=of
observation ^nn+nom+++=observation.
. ^zz++++=EXTRAWORD
Across ^in+pl+++=Across
the ^ati++++=the
bay ^nn++++=bay
towered ^vbd+++xvbn+=towered
New ^jj++++=New-York,
- ^zz++++=EXTRAWORD
york ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
thin ^jj++++=thin,
, ^zz++++=EXTRAWORD
noisy ^jj++++=noisy,
, ^zz++++=EXTRAWORD
aspiring ^jj++++=aspiring
and ^cc++++=and
perpetually ^rb++++=perpetually
lengthening ^nvbg+++xvbg+=lengthening;
; ^zz++++=EXTRAWORD
while ^cs+sub+++=while
Communipaw ^np+++??+=Communipaw
remained ^vbd+++xvbn+=remained
broad ^jj++++=broad,
, ^zz++++=EXTRAWORD
placid ^jj++++=placid
and ^cc++++=and
near ^in+pl+++=near
the ^ati++++=the
earth ^nn++++=earth.
. ^zz++++=EXTRAWORD
The ^ati++++=The
relation ^nn+nom+++=relation
between ^in++++=between
them ^pp3o+pp3+++=them
was ^vbd+bedz+vrb++=was
that ^dt+dem+++=that
of ^in++++=of
a ^at++++=a
squat ^jj++++=squat
little ^ap++++=little
Dutch ^nn++++=Dutch
dame ^np++++=dame
and ^cc++++=and
her ^pp$+pp3+++=her
overgrown ^jj+atrb++xvbn+=overgrown
grenadier ^nn+nom+++=grenadier
son ^nn++++=son,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who,
, ^zz++++=EXTRAWORD
having ^xvbg+++xvbg+=having
got ^vprf+++xvbn+=got
into ^in+ppvb+++=into
a ^at++++=a
new ^jj+atrb+++=new
coat ^nn++++=coat,
, ^zz++++=EXTRAWORD
denies ^vbz+vpub+++=denies
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
ever ^rb++splt++=ever
carried ^vpsv++agls+xvbnx+=carried
in ^in++++=in
petticoats ^nns++++=petticoats.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
Communipaw ^np+++??+=Communipaw
was ^vbd+bedz+vrb++=was
unquestionably ^rb++++=unquestionably
the ^ati++++=the
elder ^nn++++=elder.
. ^zz++++=EXTRAWORD
Indeed ^rb+cnj+++=Indeed,
, ^zz++++=EXTRAWORD
several ^ap++++=several
authorities ^nns+nom+++=authorities
maintain ^vb+vpub+++=maintain
that ^tht+vcmp+++=that
New ^jj++++=New-York
- ^zz++++=EXTRAWORD
york ^np++++=EXTRAWORD
sprang ^vbd+++xvbn+=sprang
from ^in++++=from
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
possess ^nns+nom+++=possess
an ^at++++=an
ancient ^jj+atrb+++=ancient
tile ^nn++++=tile,
, ^zz++++=EXTRAWORD
painted ^j+++xvbn+=painted
with ^in++++=with
a ^at++++=a
blue ^jj+atrb+++=blue
hen ^nn++++=hen
and ^cc++++=and
a ^at++++=a
long ^jj++++=long-legged
- ^zz++++=EXTRAWORD
legged ^jj+++xvbn+=EXTRAWORD
turkey ^np++++=turkey,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
judgment ^nn+nom+++=judgment
of ^in++++=of
competent ^jj+atrb+++=competent
antiquaries ^nns++++=antiquaries,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
hieroglyphical ^jj+atrb+++=hieroglyphical
representation ^nn+nom+++=representation
of ^in++++=of
that ^dt+dem+++=that
historical ^jj+atrb+++=historical
fructification ^nn+nom+++=fructification.
. ^zz++++=EXTRAWORD
The ^ati++++=The
origin ^nn++++=origin
of ^in++++=of
Communipaw ^np++++=Communipaw's
's ^$++++=EXTRAWORD
peculiar ^jj+atrb+++=peculiar
sanctity ^nn+nom+++=sanctity
must ^md+nec+++=must
be ^vb+be+aux++=be
sought ^vpsv++agls+xvbnx+=sought
in ^in++++=in
the ^ati++++=the
melancholy ^jj+atrb+++=melancholy
year ^nn++++=year
when ^wrb+who+++=when
the ^ati++++=the
British ^nn++++=British
obtained ^vwbn+++xvbn+=obtained
possession ^nn++++=possession
of ^in++++=of
New ^jj++++=New-Amsterdam.
- ^zz++++=EXTRAWORD
amsterdam ^np++++=EXTRAWORD
. ^zz++++=EXTRAWORD
On ^in++++=On
that ^dt+dem+++=that
disastrous ^jj+atrb+++=disastrous
occasion ^nn++++=occasion,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
certain ^jj++++=certain
faint ^jj++++=faint-hearted
- ^zz++++=EXTRAWORD
hearted ^jj+atrb+++=EXTRAWORD
burghers ^nns+nom+++=burghers
accepted ^vbd+vprv++xvbn+=accepted
the ^ati++++=the
new ^jj+atrb+++=new
domination ^nn+nom+++=domination,
, ^zz++++=EXTRAWORD
translated ^j+++xvbn+=translated
their ^pp$+pp3+++=their
signboards ^nns+++??+=signboards,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
learned ^vb+++xvbn+=learned
to ^to+vcmp+++=to
pronounce ^vbi++++=pronounce
" ^zz++++="good
good ^jj+atrb+++=EXTRAWORD
morning ^nn++++=morning"
" ^zz++++=EXTRAWORD
with ^in++++=with
an ^at++++=an
asperity ^nn+nom+++=asperity
offensive ^nn++++=offensive
to ^in++++=to
every ^at++++=every
Dutch ^jj+atrb+++=Dutch
ear ^nn++++=ear,
, ^zz++++=EXTRAWORD
a ^at++++=a
small ^jj+atrb+++=small
but ^cc+phrs+++=but
heroic ^jj+atrb+++=heroic
band ^nn++++=band
refused ^vbd+++xvbn+=refused
submission ^nn++++=submission.
. ^zz++++=EXTRAWORD
At ^in++++=At
their ^pp$+pp3+++=their
head ^nn++++=head
was ^vbd+bedz+vrb++=was
Garret ^np+++??+=Garret
Van ^&fw++++=Van
Horne ^np+++??+=Horne,
, ^zz++++=EXTRAWORD
a ^at++++=a
man ^nn++++=man
of ^in++++=of
immovable ^jj+atrb+++=immovable
principles ^nns++++=principles,
, ^zz++++=EXTRAWORD
ample ^jj+atrb+++=ample
breeches ^nns++++=breeches,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
countenance ^nn++++=countenance
resembling ^vwbg+++xvbg+=resembling
a ^at++++=a
full ^jj+atrb+++=full
moon ^np++++=moon
seen ^vbd+vprv++xvbn+=seen
through ^rb+phrv+++=through
tobacco ^nn++++=tobacco
smoke ^nn++++=smoke.
. ^zz++++=EXTRAWORD
Garret ^np+++??+=Garret
assembled ^vbd+++xvbn+=assembled
his ^pp$+pp3+++=his
adherents ^nns++++=adherents
beneath ^in+pl+++=beneath
a ^at++++=a
pear ^nn++++=pear-tree
- ^zz++++=EXTRAWORD
tree ^nn++++=EXTRAWORD
near ^in+pl+++=near
the ^ati++++=the
city ^nn++++=city
wall ^nn++++=wall.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
among ^in++++=among
them ^pp3o+pp3+++=them
Claas ^np+++??+=Claas
Ten ^cd++++=Ten
Broeck ^np+++??+=Broeck,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vb+hv+aux++=had
never ^rb++splt++=never
spoken ^vprf+++xvbnx+=spoken
rapidly ^rb++++=rapidly;
; ^zz++++=EXTRAWORD
Roelof ^np+++??+=Roelof
Van ^&fw++++=Van
Pelt ^np+++??+=Pelt,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
could ^md+pos+++=could
remember ^nn+nom+++=remember
every ^at++++=every
dinner ^nn++++=dinner
eaten ^vwbn+++xvbn+=eaten
by ^in++++=by
his ^pp$+pp3+++=his
ancestors ^nns++++=ancestors;
; ^zz++++=EXTRAWORD
Stoffel ^np+++??+=Stoffel
Brinkerhoff ^np+++??+=Brinkerhoff,
, ^zz++++=EXTRAWORD
celebrated ^j+++xvbn+=celebrated
for ^in++++=for
sleeping ^xvbg+++xvbg+=sleeping
through ^in++++=through
three ^cd++++=three
alarms ^nns++++=alarms
of ^in++++=of
fire ^nn++++=fire;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
widow ^nn++++=widow
Annetje ^np+++??+=Annetje
Van ^&fw++++=Van
Groll ^np+++??+=Groll,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
opposition ^nn+nom+++=opposition
to ^in++++=to
the ^ati++++=the
English ^nn++++=English
arose ^vbd+++xvbn+=arose
from ^in++++=from
their ^pp$+pp3+++=their
practice ^nn++++=practice
of ^in++++=of
boiling ^xvbg+++xvbg+=boiling
vegetables ^nns++++=vegetables
beyond ^in++++=beyond
the ^ati++++=the
limits ^nns++++=limits
prescribed ^vwbn+++xvbn+=prescribed
by ^in++++=by
nature ^nn++++=nature.
. ^zz++++=EXTRAWORD
Garret ^np+++??+=Garret
addressed ^vbd+++xvbn+=addressed
them ^pp3o+pp3+++=them
in ^in++++=in
a ^at++++=a
speech ^nn++++=speech
which ^whp+rel+subj++=which
has ^vbz+hvz+aux++=has
unhappily ^rb++splt++=unhappily
perished ^vprf+++xvbnx+=perished,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
its ^pp$+it+++=its
duration ^nn+nom+++=duration
is ^vbz+bez+aux++=is
known ^vpsv++agls+xvbnx+=known
to ^to+vcmp+++=to
have ^vbi+vbi+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
two ^cd++++=two
hours ^nns++++=hours
and ^cc++++=and
seventeen ^cd++++=seventeen
minutes ^nns++++=minutes.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
compared ^vbd+++xvbnx+=compared
their ^pp$+pp3+++=their
condition ^nn+nom+++=condition
to ^in++++=to
that ^dt+dem+++=that
of ^in++++=of
the ^ati++++=the
Israelites ^np+++??+=Israelites,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Trojans ^nns+nom++??+=Trojans,
, ^zz++++=EXTRAWORD
the ^ati++++=the
ancient ^jj+atrb+++=ancient
Batavians ^np+++??+=Batavians,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
cheese ^nn++++=cheese
beset ^vwbn+++xvbn+=beset
by ^in++++=by
hungry ^jj+atrb+++=hungry
mice ^nns++++=mice.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
concluded ^vbd+vprv++xvbnx+=concluded
by ^in++++=by
proposing ^vb+++xvbg+=proposing
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
abandon ^vb++++=abandon
the ^ati++++=the
conquered ^jj+++xvbn+=conquered
city ^npl++++=city,
, ^zz++++=EXTRAWORD
cross ^nn++++=cross
the ^ati++++=the
river ^nn++++=river,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
preserve ^nn++++=preserve
in ^in++++=in
some ^dti++++=some
secluded ^jj+atrb+++=secluded
spot ^nn++++=spot
the ^ati++++=the
language ^nn+nom+++=language,
, ^zz++++=EXTRAWORD
manners ^nns+nom+++=manners,
, ^zz++++=EXTRAWORD
cookery ^nn+nom+++=cookery
and ^cc++++=and
tobacco ^nn++++=tobacco
of ^in++++=of
New ^jj++++=New-Netherlands.
- ^zz++++=EXTRAWORD
netherlands ^np++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
proposal ^nn+nom+++=proposal
was ^vbd+bedz+aux++=was
accepted ^vpsv++agls+xvbnx+=accepted
without ^in++++=without
a ^at++++=a
dissenting ^jj+atrb+++=dissenting
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
Stoffel ^np+++??+=Stoffel
Brinkerhoff ^np+++??+=Brinkerhoff,
, ^zz++++=EXTRAWORD
having ^xvbg+++xvbg+=having
fallen ^vprf+++xvbn+=fallen
asleep ^jj++++=asleep
during ^in++++=during
the ^ati++++=the
second ^od++++=second
historical ^jj+atrb+++=historical
comparison ^nn++++=comparison,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
afterwards ^rb+tm+splt++=afterwards
obliged ^jj++agls+xvbnx+=obliged
to ^to+jcmp+++=to
assent ^vb++++=assent
retrospectively ^rb++++=retrospectively.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
very ^ql+amp+++=very
night ^nn++++=night
the ^ati++++=the
faithful ^nn++++=faithful
removed ^vwbn+++xvbn+=removed
their ^pp$+pp3+++=their
household ^nn++++=household
gods ^nns++++=gods:
: ^zz++++=EXTRAWORD
beds ^nns++++=beds
of ^in++++=of
mountainous ^jj+atrb+++=mountainous
feathers ^nns+nom+++=feathers;
; ^zz++++=EXTRAWORD
brass ^nn++++=brass
kettles ^nns+++??+=kettles
polished ^jj++++=polished
like ^in++++=like
provincial ^jj+atrb+++=provincial
suns ^nns+++??+=suns;
; ^zz++++=EXTRAWORD
cupboards ^nns++++=cupboards
bearing ^vwbg+++xvbg+=bearing
fleets ^nns++++=fleets
of ^in++++=of
delft ^nn+++??+=delft
vessels ^nns++++=vessels;
; ^zz++++=EXTRAWORD
clocks ^nns++++=clocks
which ^whp+rel+subj++=which
struck ^vbd+++xvbn+=struck
according ^in+cmpx+++=according
to ^in++++=to
conscience ^nn+nom+++=conscience
rather ^rb++++=rather
than ^in++++=than
time ^nn++++=time;
; ^zz++++=EXTRAWORD
portraits ^nns++++=portraits
of ^in++++=of
Hogen ^np+++??+=Hogen
Mogens ^np+++??+=Mogens
with ^in++++=with
ruffs ^nns++++=ruffs
like ^in++++=like
millstones ^nns+++??+=millstones;
; ^zz++++=EXTRAWORD
pipes ^nns++++=pipes,
, ^zz++++=EXTRAWORD
warming ^vbg+++xvbg+=warming-pans,
- ^zz++++=EXTRAWORD
pans ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
spinning ^vbg+++xvbg+=spinning-wheels,
- ^zz++++=EXTRAWORD
wheels ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
cradles ^nns+++??+=cradles,
, ^zz++++=EXTRAWORD
skates ^nns++++=skates,
, ^zz++++=EXTRAWORD
sausages ^nns+nom+++=sausages,
, ^zz++++=EXTRAWORD
seed ^nn++++=seed-cabbages,
- ^zz++++=EXTRAWORD
cabbages ^nns+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sundry ^jj+atrb+++=sundry
jars ^nns++++=jars
whose ^whp+rel+obj++=whose
contents ^nns++++=contents
were ^vbd+bed+vrb++=were
too ^ql++++=too
precious ^jj++++=precious
to ^to++++=to
be ^vbi+vbi+aux++=be
named ^vpsv++agls+xvbnx+=named
outside ^jjb++++=outside
the ^ati++++=the
family ^nn++++=family.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
landed ^vbd+++xvbnx+=landed
at ^rb++++=at
Communipaw ^np+++??+=Communipaw
by ^in++++=by
moonlight ^nn++++=moonlight
and ^cc++++=and
there ^ex+pex+++=there
established ^vbd+vprv++xvbn+=established
a ^at++++=a
new ^jj+atrb+++=new
commonwealth ^nn++++=commonwealth.
. ^zz++++=EXTRAWORD
Garret ^np+++??+=Garret
Van ^&fw++++=Van
Horne ^np+++??+=Horne
was ^vbd+bedz+aux++=was
chosen ^vpsv++agls+xvbnx+=chosen
first ^od++++=first
magistrate ^nn+nom+++=magistrate,
, ^zz++++=EXTRAWORD
chief ^jjb+atrb+++=chief
historian ^nn++++=historian
and ^cc++++=and
inspector ^nn++++=inspector
of ^in++++=of
chimneys ^nns++++=chimneys.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
caused ^vbd+++xvbnx+=caused
a ^at++++=a
mansion ^nn++++=mansion
to ^to++++=to
be ^vbi+vbi+aux++=be
erected ^vpsv++agls+xvbnx+=erected
upon ^in++++=upon
a ^at++++=a
slight ^jj+atrb+++=slight
eminence ^nn+nom+++=eminence,
, ^zz++++=EXTRAWORD
with ^in++++=with
four ^cd++++=four
enormous ^jj+atrb+++=enormous
chimneys ^nns++++=chimneys,
, ^zz++++=EXTRAWORD
one ^pn++++=one
toward ^in++++=toward
each ^dt++++=each
quarter ^nn++++=quarter
of ^in++++=of
the ^ati++++=the
heavens ^nns++++=heavens,
, ^zz++++=EXTRAWORD
in ^in++++=in
token ^nn++++=token
that ^tht+rel+obj++=that
Dutch ^nn++++=Dutch
smoke ^nn++++=smoke
should ^md+nec+++=should
ascend ^vb+++??+=ascend
impartially ^rb++++=impartially
over ^in++++=over
the ^ati++++=the
world ^nn++++=world.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
structure ^nn++++=structure
became ^vbd+++xvbn+=became
known ^vbn+vprv++xvbn+=known
as ^ql++++=as
the ^ati++++=the
House ^nn++++=House
of ^in++++=of
the ^ati++++=the
Four ^cd++++=Four
Chimneys ^nns++++=Chimneys,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+vrb++=was
at ^rb++++=at
once ^rb"+tm+++=once
town ^nn++++=town-hall,
- ^zz++++=EXTRAWORD
hall ^npl++++=EXTRAWORD
, ^zz++++=EXTRAWORD
archive ^jj++++=archive,
, ^zz++++=EXTRAWORD
fortress ^nns+nom+++=fortress,
, ^zz++++=EXTRAWORD
tavern ^nn++++=tavern
upon ^in++++=upon
public ^jj+atrb+++=public
occasions ^nns++++=occasions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
private ^jj+atrb+++=private
residence ^nn+nom+++=residence
of ^in++++=of
the ^ati++++=the
Van ^&fw++++=Van
Horne ^np+++??+=Horne
family ^nn++++=family.
. ^zz++++=EXTRAWORD
Within ^in++++=Within
its ^pp$+it+++=its
principal ^jjb+atrb+++=principal
chamber ^nn++++=chamber
were ^vbd+bed+aux++=were
preserved ^vpsv++agls+xvbnx+=preserved
the ^ati++++=the
reliques ^nns+++??+=reliques
of ^in++++=of
the ^ati++++=the
former ^ap++++=former
governors ^npts++++=governors
of ^in++++=of
New ^jj++++=New-Netherlands:
- ^zz++++=EXTRAWORD
