# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
A ^rb++++=A
was ^vbd+bedz+vrb++=was
another ^dt++++=another
matter ^nn++++=matter.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
father ^nn++++=father,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Reverend ^npt++++=Reverend
Abram ^np+++??+=Abram
Dixon ^np++++=Dixon,
, ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
never ^rb++splt++=never
studied ^vprf+++xvbnx+=studied
theology ^nn++++=theology
except ^in++++=except
under ^in++++=under
the ^ati++++=the
birds ^nns++++=birds
and ^cc++++=and
the ^ati++++=the
trees ^nns++++=trees
and ^cc++++=and
the ^ati++++=the
winds ^nns++++=winds
of ^in++++=of
heaven ^nn++++=heaven.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
knew ^vbd+vprv++xvbnx+=knew
little ^jj++++=little
of ^in++++=of
books ^nns++++=books
beyond ^in++++=beyond
the ^ati++++=the
one ^cd1++++=one
Book ^nn++++=Book,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
of ^in++++=of
that ^dt+dem+++=that
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew
whole ^jj+atrb+++=whole
provinces ^nns++++=provinces
by ^in++++=by
heart ^nn++++=heart.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
preached ^vprf+++xvbnx+=preached
for ^in++++=for
forty ^cd++++=forty-two
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
years ^nns++++=years
in ^in++++=in
the ^ati++++=the
little ^jj+atrb+++=little
wooden ^jj+atrb+++=wooden
church ^nn++++=church
beyond ^in++++=beyond
the ^ati++++=the
honeysuckle ^nn++++=honeysuckle
road ^nn++++=road.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
Spirit ^nn++++=Spirit
descended ^vbd+++xvbn+=descended
upon ^in++++=upon
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
expressed ^vbd+vpub+tht0+xvbnx+=expressed
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
needed ^vbd+++xvbnx+=needed
neither ^dt++neg++=neither
manuscript ^nn++++=manuscript
nor ^cc++neg++=nor
clock ^nn++++=clock.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
sermons ^nns++++=sermons
rose ^vbd+++xvbn+=rose,
, ^zz++++=EXTRAWORD
rushed ^j+++xvbn+=rushed,
, ^zz++++=EXTRAWORD
thundered ^j+++xvbn+=thundered,
, ^zz++++=EXTRAWORD
broke ^j+++xvbn+=broke
into ^in++++=into
song ^nn++++=song,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sometimes ^rb++++=sometimes
lasted ^vbd+++xvbn+=lasted
until ^cs+sub+++=until
the ^ati++++=the
dinner ^nn++++=dinner
fires ^nns++++=fires
in ^in++++=in
Danvers ^nns+nom++??+=Danvers
had ^vbd+hvd+aux++=had
burned ^vprf+++xvbnx+=burned
nearly ^rb+down+++=nearly
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
Abram ^np+++??+=Abram
loved ^vbd+++xvbn+=loved
his ^pp$+pp3+++=his
son ^nn++++=son
with ^in++++=with
a ^at++++=a
love ^nn++++=love
too ^ql++++=too
proud ^jj++++=proud
to ^to+jcmp+++=to
confess ^nns+nom+++=confess
its ^pp$+it+++=its
anxieties ^nns++++=anxieties.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
sent ^vprf+++xvbnx+=sent
Robert ^np++++=Robert
to ^in++++=to
school ^nn++++=school
by ^in++++=by
selling ^xvbg+++xvbg+=selling
two ^cd++++=two
acres ^nns++++=acres
of ^in++++=of
good ^jj+atrb+++=good
bottom ^jjb+atrb+++=bottom
land ^nn++++=land
and ^cc++++=and
by ^in++++=by
wearing ^xvbg+++xvbg+=wearing
the ^ati++++=the
same ^ap++++=same
Sunday ^nr++++=Sunday
coat ^nn++++=coat
until ^cs+sub+++=until
the ^ati++++=the
seams ^nns++++=seams
shone ^vbd+++xvbn+=shone
like ^in++++=like
satin ^nn++++=satin.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
education ^nn+nom+++=education,
, ^zz++++=EXTRAWORD
to ^in++++=to
his ^pp$+pp3+++=his
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
an ^at++++=an
uncertain ^jj+atrb+++=uncertain
servant ^nn+nom+++=servant.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
might ^md+pos+++=might
sharpen ^vb+++xvbn+=sharpen
a ^at++++=a
man ^nn++++=man's
's ^$++++=EXTRAWORD
tools ^nns++++=tools,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
might ^md+pos+++=might
also ^rb++splt++=also
teach ^vb+vsua+++=teach
him ^pp3o+pp3+++=him
to ^to++++=to
admire ^vbi++++=admire
the ^ati++++=the
tools ^nns++++=tools
and ^cc++++=and
forget ^vb+vprv+++=forget
the ^ati++++=the
field ^nn++++=field.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
evening ^nn++++=evening
of ^in++++=of
Robert ^np++++=Robert's
's ^$++++=EXTRAWORD
arrival ^nn++++=arrival,
, ^zz++++=EXTRAWORD
the ^ati++++=the
family ^nn++++=family
sat ^vbd+++xvbn+=sat
in ^in++++=in
the ^ati++++=the
best ^jjt+atrb+++=best
room ^nn++++=room,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
chief ^jjb+atrb+++=chief
treasures ^nns++++=treasures
were ^vbd+bed+vrb++=were
a ^at++++=a
chintz ^nn++++=chintz-covered
- ^zz++++=EXTRAWORD
covered ^jj+atrb++xvbn+=EXTRAWORD
sofa ^nn++++=sofa
and ^cc++++=and
a ^at++++=a
glass ^nn++++=glass
lamp ^nn++++=lamp
that ^tht+rel+subj++=that
smoked ^vbd+++xvbn+=smoked
whenever ^nn+nom+++=whenever
the ^ati++++=the
wick ^np++++=wick
was ^vbd+bedz+aux++=was
turned ^vpsv++agls+xvbnx+=turned
too ^ql++++=too
high ^np++++=high.
. ^zz++++=EXTRAWORD
Robert ^np++++=Robert's
's ^$++++=EXTRAWORD
mother ^npt++++=mother
watched ^vbd+++xvbn+=watched
him ^pp3o+pp3+++=him
as ^cs+sub+++=as
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
might ^md+pos+++=might
disappear ^vb+seem+++=disappear
between ^in++++=between
one ^cd1++++=one
blink ^vb++++=blink
and ^cc++++=and
the ^ati++++=the
next ^ap++++=next.
. ^zz++++=EXTRAWORD
Abram ^np+++??+=Abram
questioned ^vbd+vpub++xvbn+=questioned
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="An'
and ^cc++++0=EXTRAWORD
so ^ql++++=so
dey ^vb+++??+=dey
gives ^vbz++++=gives
you ^pp2+pp2+++=you
a ^at++++=a
vacation ^nn+nom+++=vacation?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="For
for ^in++++=EXTRAWORD
three ^cd++++=three
weeks ^nns++++=weeks."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Abram ^np+++??+=Abram
shook ^vbd+++xvbn+=shook
his ^pp$+pp3+++=his
head ^nn++++=head.
. ^zz++++=EXTRAWORD
" ^zz++++="Devil
devil ^nn++++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
take ^vb++++=take
no ^at++++=no
vacation ^nn+nom+++=vacation."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Robert ^np++++=Robert
answered ^vbd+vpub++xvbn+=answered,
, ^zz++++=EXTRAWORD
smiling ^jj+++xvbg+=smiling.
. ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
one ^cd1++++=one
reason ^nn++++=reason
ministers ^nns+nom+++=ministers
sometimes ^rb++++=sometimes
need ^nn++++=need
one ^pn++++=one."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
mother ^nn++++=mother
laughed ^vbd+++xvbn+=laughed
softly ^rb++++=softly.
. ^zz++++=EXTRAWORD
Abram ^np+++??+=Abram
looked ^vbd+++xvbn+=looked
from ^in++++=from
one ^pn++++=one
to ^in++++=to
the ^ati++++=the
other ^ap++++=other,
, ^zz++++=EXTRAWORD
uncertain ^jj++++=uncertain
whether ^cs+who+++=whether
the ^ati++++=the
answer ^nn++++=answer
was ^vbd+bedz+vrb++=was
wisdom ^nn++++=wisdom
or ^cc++++=or
city ^nn++++=city
cleverness ^nns+nom+++=cleverness.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
hear ^vb+vprv+++=hear,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
continued ^vbd+++xvbnx+=continued,
, ^zz++++=EXTRAWORD
" ^zz++++="dat
dat ^nn+++??+=EXTRAWORD
young ^jj+atrb+++=young
preachers ^nns+nom+++=preachers
plays ^nns++++=plays
ball ^nn++++=ball
at ^rb++++=at
dem ^&fw++++=dem
schools ^nns++++=schools."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Some
some ^dti++++=EXTRAWORD
do ^vb+do+vrb++=do."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Kickin'
kickin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
and ^cc++++0=an'
runnin ^nn+++??+=runnin'
' ^zz++++=EXTRAWORD
in ^in++++=in
short ^jj+atrb+++=short
clothes ^nns++++=clothes?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
while ^cs+sub+++=while
preaching ^vbg+++xvbg+=preaching."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
mother ^nn++++=mother
laughed ^vbd+++xvbn+=laughed
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
even ^rb++++=even
Abram ^np++++=Abram's
's ^$++++=EXTRAWORD
mouth ^nn++++=mouth
relaxed ^vbd+++xvbn+=relaxed.
. ^zz++++=EXTRAWORD
The ^ati++++=The
next ^ap++++=next
Sunday ^nr++++=Sunday
Robert ^np++++=Robert
was ^vbd+bedz+aux++=was
to ^to++++=to
preach ^vbi++++=preach
in ^in++++=in
his ^pp$+pp3+++=his
father ^nn++++=father's
's ^$++++=EXTRAWORD
pulpit ^nn++++=pulpit.
. ^zz++++=EXTRAWORD
For ^in++++=For
days ^nns++++=days
the ^ati++++=the
event ^nn++++=event
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
spoken ^vpsv++agls+xvbnx+=spoken
of ^in++++=of
at ^in++++=at
wells ^np++++=wells,
, ^zz++++=EXTRAWORD
kitchen ^nn++++=kitchen
doors ^nns++++=doors,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fence ^nn++++=fence
corners ^nns+nom+++=corners.
. ^zz++++=EXTRAWORD
People ^nns++++=People
came ^vbd+++xvbn+=came
from ^in+ppvb+++=from
farms ^nns++++=farms
six ^cd++++=six
miles ^nns++++=miles
distant ^jj++++=distant.
. ^zz++++=EXTRAWORD
The ^ati++++=The
church ^nn++++=church
windows ^nns++++=windows
stood ^vbd+++xvbn+=stood
open ^jj++++=open
to ^in++++=to
the ^ati++++=the
hum ^nn+++??+=hum
of ^in++++=of
bees ^nns++++=bees
and ^cc++++=and
the ^ati++++=the
sweet ^nn++++=sweet,
, ^zz++++=EXTRAWORD
heavy ^jj+atrb+++=heavy
breath ^nn++++=breath
of ^in++++=of
wild ^jj+atrb+++=wild
honeysuckle ^nn++++=honeysuckle.
. ^zz++++=EXTRAWORD
Women ^nns++++=Women
stirred ^vbd+++xvbn+=stirred
their ^pp$+pp3+++=their
fans ^nns++++=fans;
; ^zz++++=EXTRAWORD
children ^nns++++=children,
, ^zz++++=EXTRAWORD
scrubbed ^j+++xvbn+=scrubbed
into ^in++++=into
discomfort ^nn++++=discomfort,
, ^zz++++=EXTRAWORD
sat ^j+++xvbn+=sat
between ^in++++=between
watchful ^jj+atrb+++=watchful
elders ^nns++++=elders;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
deacons ^nns++++=deacons
filled ^vbd+++xvbn+=filled
the ^ati++++=the
amen ^uh++++=amen-corner
- ^zz++++=EXTRAWORD
corner ^npl++++=EXTRAWORD
with ^in++++=with
solemn ^jj+atrb+++=solemn
expectation ^nn+nom+++=expectation.
. ^zz++++=EXTRAWORD
Abram ^np+++??+=Abram
gave ^vbd+++xvbn+=gave
out ^rp+pl+++=out
the ^ati++++=the
hymn ^nn++++=hymn
with ^in++++=with
unusual ^jj+atrb+++=unusual
magnificence ^nn+nom+++=magnificence.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
Robert ^np++++=Robert
rose ^vbd+++xvbn+=rose,
, ^zz++++=EXTRAWORD
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man
settled ^vbd+++xvbn+=settled
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
folded ^j+++xvbn+=folded
his ^pp$+pp3+++=his
arms ^nns++++=arms,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
prepared ^jj+++xvbn+=prepared
to ^to+jcmp+++=to
enjoy ^vbi++++=enjoy
a ^at++++=a
vindication ^nn+nom+++=vindication
of ^in++++=of
sacrifice ^nn++++=sacrifice.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
expected ^vbd+vprv++xvbnx+=expected
learning ^vbg+vprv++xvbg+=learning,
, ^zz++++=EXTRAWORD
certainly ^rb+cnj+++=certainly,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
learning ^xvbg+++xvbg+=learning
set ^vwbn+++xvbn+=set
on ^in++++=on
fire ^nn++++=fire.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
wished ^vbd+vprv++xvbnx+=wished
the ^ati++++=the
congregation ^nn+nom+++=congregation
to ^to++++=to
hear ^vbi+vprv+++=hear
what ^wdt+who+whcl++=what
the ^ati++++=the
colleges ^nns++++=colleges
had ^vbd+hvd+aux++=had
added ^vprf+++xvbnx+=added
to ^in++++=to
the ^ati++++=the
Dixon ^np++++=Dixon
thunder ^nn++++=thunder.
. ^zz++++=EXTRAWORD
Robert ^np++++=Robert
was ^vbd+bedz+vrb++=was
nervous ^jj+pred+++=nervous.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
feared ^vbd+vprv++xvbnx+=feared
the ^ati++++=the
people ^nn++++=people,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
loved ^vbd+++xvbnx+=loved
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
knew ^vbd+vprv+tht0+xvbnx+=knew
their ^pp$+pp3+++=their
expectation ^nn+nom+++=expectation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
knew ^vbd+vprv++xvbn+=knew
also ^rb++++=also
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
could ^md+pos+++=could
not ^xnot++not++=not
honestly ^rb++++=honestly
satisfy ^vb++++=satisfy
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
During ^in++++=During
his ^pp$+pp3+++=his
years ^nns++++=years
in ^in++++=in
the ^ati++++=the
city ^nn++++=city
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
to ^in++++=to
distrust ^nn++++=distrust
emotion ^nn+nom+++=emotion
that ^tht+rel+subj++=that
left ^vprf+++xvbn+=left
conduct ^vb++++=conduct
unchanged ^jj++++=unchanged.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
seen ^vprf++tht0+xvbnx+=seen
men ^nns++++=men
shout ^vb++++=shout
on ^in++++=on
Sunday ^nr++++=Sunday
and ^cc++++=and
cheat ^vb++++=cheat
on ^in++++=on
Monday ^nr++++=Monday,
, ^zz++++=EXTRAWORD
women ^nns++++=women
pray ^vb+vsua+++=pray
for ^in++++=for
heathen ^jj+atrb+++=heathen
children ^nns++++=children
while ^cs+sub+++=while
ignoring ^nvbg+++xvbg+=ignoring
hungry ^jj+atrb+++=hungry
children ^nns++++=children
under ^in++++=under
their ^pp$+pp3+++=their
own ^ap++++=own
stairs ^nns++++=stairs.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
he ^pp3a+pp3+++=he
would ^md+prd+++=would
not ^xnot++not++=not
wound ^nn+++xvbn+=wound
his ^pp$+pp3+++=his
father ^nn++++=father
by ^in++++=by
saying ^vb+++xvbg+=saying
that ^tht+vcmp+++=that
the ^ati++++=the
old ^jj+atrb+++=old
way ^nn++++=way
was ^vbd+bedz+vrb++=was
false ^jj+pred+++=false.
. ^zz++++=EXTRAWORD
Much ^ap++++=Much
of ^in++++=of
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
true ^jj+pred+++=true,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
some ^dti++++=some
of ^in++++=of
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
beautiful ^jj+pred+++=beautiful.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
merely ^rb+down+++=merely
believed ^vbd+vprv+tht0+xvbn+=believed
it ^pp3+it+++=it
incomplete ^jj++++=incomplete.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
text ^nn++++=text
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
" ^zz++++="Be
be ^vb+be+vrb++=EXTRAWORD
ye ^pp2+pp2+++=ye
doers ^nns++++=doers
of ^in++++=of
the ^ati++++=the
word ^nn++++=word,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
not ^xnot++not++=not
hearers ^nns+nom+++=hearers
only ^rb+down+++=only."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
spoke ^vbd+++xvbnx+=spoke
quietly ^rb++++=quietly
of ^in++++=of
religion ^nn++++=religion
in ^in++++=in
the ^ati++++=the
home ^nr++++=home,
, ^zz++++=EXTRAWORD
the ^ati++++=the
shop ^nn++++=shop,
, ^zz++++=EXTRAWORD
the ^ati++++=the
field ^nn++++=field,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
street ^nn++++=street.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
said ^vbd+vpub++xvbnx+=said
that ^tht+vcmp+++=that
prayer ^nn++++=prayer
should ^md+nec+++=should
make ^vb++++=make
a ^at++++=a
man ^nn++++=man
more ^rbr++++=more
honest ^jj++++=honest
in ^in++++=in
weighing ^xvbg+++xvbg+=weighing
corn ^nn++++=corn;
; ^zz++++=EXTRAWORD
that ^dt+dem+++=that
conversion ^nn++++=conversion
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
be ^vbi++vrb++=be
visible ^jj++++=visible
in ^in++++=in
clean ^jj+atrb+++=clean
yards ^nns++++=yards,
, ^zz++++=EXTRAWORD
patient ^nn++++=patient
tempers ^nns+nom+++=tempers,
, ^zz++++=EXTRAWORD
educated ^jj+atrb++xvbn+=educated
children ^nns++++=children,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
care ^nn++++=care
for ^in++++=for
the ^ati++++=the
sick ^nn++++=sick.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
spoke ^vbd+++xvbnx+=spoke
of ^in++++=of
Christ ^np++++=Christ
not ^xnot++not++=not
only ^rb+down+++=only
in ^in++++=in
the ^ati++++=the
temple ^nn++++=temple
but ^cc++++=but
beside ^in+pl+++=beside
the ^ati++++=the
road ^nn++++=road,
, ^zz++++=EXTRAWORD
among ^in++++=among
the ^ati++++=the
poor ^jj++++=poor,
, ^zz++++=EXTRAWORD
touching ^jj+++xvbg+=touching
those ^dt+pdem+++=those
whom ^whp+rel+obj++=whom
others ^aps++++=others
passed ^jj+++xvbn+=passed
at ^rb++++=at
a ^at++++=a
distance ^nn+nom+++=distance.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sermon ^nn++++=sermon
was ^vbd+bedz+vrb++=was
clear ^jj+pred+++=clear,
, ^zz++++=EXTRAWORD
earnest ^nn++++=earnest,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
twenty ^cd++++=twenty-eight
- ^zz++++=EXTRAWORD
eight ^cd++++=EXTRAWORD
minutes ^nns++++=minutes
long ^jj++++=long.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
Robert ^np++++=Robert
sat ^vbd+++xvbn+=sat
down ^rb+cnj+++=down,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
silence ^nn+nom+++=silence
in ^in++++=in
which ^whp+rel+pied++=which
one ^cd1++++=one
could ^md+pos+++=could
hear ^vb+vprv+++=hear
a ^at++++=a
wasp ^nn+++??+=wasp
troubling ^vwbg+++xvbg+=troubling
the ^ati++++=the
windowpane ^nn+++??+=windowpane.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
a ^at++++=a
deacon ^np++++=deacon
said ^vbd+vpub++xvbn+=said
" ^zz++++="Amen,"
amen ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
but ^cc++++=but
in ^in++++=in
the ^ati++++=the
tone ^nn++++=tone
of ^in++++=of
a ^at++++=a
man ^nn++++=man
who ^whp+rel+subj++=who
has ^vbz+hvz+aux++=has
remembered ^vprf+++xvbnx+=remembered
a ^at++++=a
duty ^nn++++=duty
slightly ^rb+down+++=slightly
too ^ql++++=too
late ^jj++++=late.
. ^zz++++=EXTRAWORD
Abram ^np+++??+=Abram
rose ^vbd+++xvbn+=rose
for ^in++++=for
the ^ati++++=the
closing ^jj+atrb++xvbg+=closing
prayer ^nn++++=prayer.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
ordinarily ^rb++++=ordinarily
rich ^jj++++=rich
with ^in++++=with
confidence ^nn+nom+++=confidence,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
constrained ^vpsv++agls+xvbnx+=constrained.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
the ^ati++++=the
congregation ^nn+nom+++=congregation
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone,
, ^zz++++=EXTRAWORD
leaving ^vbg+++xvbg+=leaving
behind ^rb+phrv+++=behind
the ^ati++++=the
odour ^nn++++=odour
of ^in++++=of
warm ^jj+atrb+++=warm
pine ^nn++++=pine
boards ^nns++++=boards
and ^cc++++=and
crushed ^xvbn+++xvbn+=crushed
flowers ^nns+nom+++=flowers,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
remained ^vbd+++xvbnx+=remained
beside ^in+pl+++=beside
the ^ati++++=the
pulpit ^nn++++=pulpit.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
done ^vbd+++xvbn+=done
finished ^vbd+++xvbn+=finished?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Was
was ^vbd+bedz+vrb++=EXTRAWORD
dat ^nn+++??+=dat
all ^abn++++=all
de ^&fw++++=de
sermon ^nn++++=sermon?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
all ^abn++++=all."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Abram ^np+++??+=Abram
rubbed ^vbd+++xvbn+=rubbed
his ^pp$+pp3+++=his
chin ^nn++++=chin.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
kep ^nn+++??+=kep'
' ^zz++++=EXTRAWORD
