At ^in++++=At
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
should ^md+nec+++=should
be ^vb+be+vrb++=be
glad ^jj+pred+++=glad,
, ^zz++++=EXTRAWORD
for ^in+cmpx+++=for
the ^in"++++=the
sake ^in"++++=sake
of ^in"++++=of
romance ^nn+nom+++=romance,
, ^zz++++=EXTRAWORD
to ^to++++=to
say ^vbi+vpub+++=say
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
resembled ^vbd+++xvbnx+=resembled
a ^at++++=a
fallen ^vprf+++xvbn+=fallen
Viking ^nn++++=Viking.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
certainly ^rb++++=certainly
large ^jj+pred+++=large,
, ^zz++++=EXTRAWORD
blond ^jj++++=blond,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bearded ^jj++++=bearded,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^pn++++=one
of ^in++++=of
his ^pp$+pp3+++=his
boots ^nns++++=boots
had ^vb+hv+vrb++=had
a ^at++++=a
heroic ^jj+atrb+++=heroic
breadth ^nn++++=breadth.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
other ^ap++++=other
boot ^nn++++=boot
was ^vbd+bedz+aux++=was
missing ^vbg+++xvbgx+=missing;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
hat ^nn++++=hat
covered ^vbd+++xvbn+=covered
his ^pp$+pp3+++=his
face ^nn++++=face;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
an ^at++++=an
overturned ^jj+atrb++xvbn+=overturned
demijohn ^nn+++??+=demijohn,
, ^zz++++=EXTRAWORD
resting ^vbg+++xvbg+=resting
affectionately ^rb++++=affectionately
against ^in++++=against
his ^pp$+pp3+++=his
shoulder ^nn+nom+++=shoulder,
, ^zz++++=EXTRAWORD
gave ^j+++xvbn+=gave
the ^ati++++=the
composition ^nn+nom+++=composition
a ^at++++=a
domestic ^jj++++=domestic
rather ^rb++++=rather
than ^in++++=than
an ^at++++=an
epic ^jj+atrb+++=epic
character ^nn+nom+++=character.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
repose ^nn++++=repose
was ^vbd+bedz+vrb++=was
profound ^jj+pred+++=profound.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
reached ^vprf+++xvbnx+=reached
that ^dt+dem+++=that
tranquil ^jj+atrb+++=tranquil
philosophy ^nn++++=philosophy
in ^in++++=in
which ^whp+rel+pied++=which
dust ^nn++++=dust
is ^vbz+bez+vrb++=is
a ^at++++=a
pillow ^nn++++=pillow,
, ^zz++++=EXTRAWORD
sunlight ^nn++++=sunlight
a ^at++++=a
blanket ^nn++++=blanket,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
contempt ^nn++++=contempt
of ^in++++=of
mankind ^nn++++=mankind
a ^at++++=a
circumstance ^nn+nom+++=circumstance
unworthy ^jj++++=unworthy
of ^in++++=of
notice ^nn++++=notice.
. ^zz++++=EXTRAWORD
Upon ^in++++=Upon
this ^dt+dem+++=this
scene ^nn++++=scene
Miss ^npt++++=Miss
Mary ^np++++=Mary
Vale ^nn++++=Vale
presently ^rb+tm+++=presently
entered ^vbd+++xvbn+=entered.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
six ^cd++++=six
months ^nns++++=months
the ^ati++++=the
teacher ^nn++++=teacher
of ^in++++=of
Red ^jj+atrb+++=Red
Gulch ^np+++??+=Gulch
School ^nn++++=School,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+aux++=was
still ^rb++splt++=still
known ^vpsv++agls+xvbnx+=known
as ^in++++=as
" ^zz++++="the
the ^ati++++=EXTRAWORD
new ^jj+atrb+++=new
schoolma ^nn+++??+=schoolma'am,"
'am," ^nn+++??+=EXTRAWORD
the ^ati++++=the
settlement ^nn+nom+++=settlement
having ^vwbg+hvg++xvbg+=having
no ^at++++=no
very ^ql+amp+++=very
exact ^jj+atrb+++=exact
sense ^nn++++=sense
of ^in++++=of
time ^nn++++=time
except ^in++++=except
as ^cs+sub+++=as
measured ^vpsv++by+xvbn+=measured
by ^in++++=by
floods ^nns++++=floods,
, ^zz++++=EXTRAWORD
fires ^nns++++=fires,
, ^zz++++=EXTRAWORD
killings ^nns+nom+++=killings,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
arrival ^nn++++=arrival
of ^in++++=of
the ^ati++++=the
stage ^nn++++=stage.
. ^zz++++=EXTRAWORD
Miss ^npt++++=Miss
Mary ^np++++=Mary
was ^vbd+bedz+vrb++=was
small ^jj+pred+++=small,
, ^zz++++=EXTRAWORD
erect ^jj++++=erect,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Boston ^np++++=Boston-bred.
- ^zz++++=EXTRAWORD
bred ^vwbn+++xvbn+=EXTRAWORD
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
gray ^np++++=gray
dress ^nn++++=dress
had ^vbd+hvd+aux++=had
survived ^vprf+++xvbnx+=survived
the ^ati++++=the
Gulch ^np+++??+=Gulch
by ^in++++=by
means ^in"++++=means
of ^in"++++=of
daily ^jj+atrb+++=daily
miracles ^nns++++=miracles;
; ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
cuffs ^nns++++=cuffs
were ^vbd+bed+vrb++=were
white ^jj+pred+++=white;
; ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
collar ^nn++++=collar
was ^vbd+bedz+vrb++=was
uncompromising ^jj+pred+++=uncompromising;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
little ^ap++++=little
sunshade ^nn+++??+=sunshade
she ^pp3a+pp3+++=she
carried ^vbd+++xvbnx+=carried
seemed ^vprf+++xvbn+=seemed
less ^rbr++++=less
a ^at++++=a
protection ^nn+nom+++=protection
against ^in++++=against
heaven ^nn++++=heaven
than ^in++++=than
a ^at++++=a
protest ^nn++++=protest
against ^in++++=against
California ^np++++=California.
. ^zz++++=EXTRAWORD
Seeing ^vbg+vprv++xvbg+=Seeing
the ^ati++++=the
boot ^nn++++=boot
in ^in++++=in
the ^ati++++=the
road ^nn++++=road,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
paused ^vbd+++xvbnx+=paused.
. ^zz++++=EXTRAWORD
Seeing ^vbg+vprv+tht0+xvbg+=Seeing
the ^ati++++=the
man ^nn++++=man
attached ^vbd+++xvbn+=attached
to ^in++++=to
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
lowered ^vbd+++xvbnx+=lowered
her ^pp3o+pp3+++=her
eyelids ^nns++++=eyelids.
. ^zz++++=EXTRAWORD
Seeing ^vbg+vprv++xvbg+=Seeing
the ^ati++++=the
demijohn ^nn+++??+=demijohn,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
raised ^vbd+++xvbnx+=raised
them ^pp3o+pp3+++=them
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
" ^zz++++="Mr.
mr ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Morton ^np++++=Morton!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
azalea ^nn++++=azalea
shed ^vbd+++xvbn+=shed
one ^cd1++++=one
scarlet ^jj+atrb+++=scarlet
petal ^nn++++=petal
upon ^in++++=upon
the ^ati++++=the
sleeper ^nn++++=sleeper.
. ^zz++++=EXTRAWORD
" ^zz++++="Mr.
mr ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Morton ^np++++=Morton!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Sandy ^np++++=Sandy
moved ^vbd+++xvbn+=moved
his ^pp$+pp3+++=his
hat ^nn++++=hat
sufficiently ^rb++++=sufficiently
to ^to++++=to
expose ^vbi++++=expose
a ^at++++=a
blue ^nn++++=blue
and ^cc++++=and
troubled ^jj+atrb++xvbn+=troubled
eye ^nn++++=eye.
. ^zz++++=EXTRAWORD
" ^zz++++="School's
school ^npl++++=EXTRAWORD
's ^$++++=EXTRAWORD
out ^rp+pl+++=out?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
inquired ^vbd+++xvbnx+=inquired.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
noon ^nn++++=noon."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="S'ame
s ^zz++++=EXTRAWORD
'ame ^nn+++??+=EXTRAWORD
thing ^nn++++=thing,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Sandy ^np++++=Sandy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
closed ^vbd+++xvbn+=closed
the ^ati++++=the
eye ^nn++++=eye.
. ^zz++++=EXTRAWORD
Miss ^npt++++=Miss
Mary ^np++++=Mary
gathered ^vbd+++xvbn+=gathered
her ^pp3o+pp3+++=her
skirts ^nns++++=skirts
so ^rb++++=so
closely ^rb++++=closely
about ^rb++++=about
her ^pp3o+pp3+++=her
that ^dt+dem+++=that
she ^pp3a+pp3+++=she
became ^vbd+++xvbnx+=became,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
were ^vbd+bed+vrb++=were,
, ^zz++++=EXTRAWORD
an ^at++++=an
embodied ^jj+atrb++xvbn+=embodied
parenthesis ^nn++++=parenthesis.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+aux++=are
lying ^vbg+++xvbgx+=lying
in ^in++++=in
the ^ati++++=the
public ^jj+atrb+++=public
road ^npl++++=road."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Road's
road ^npl++++=EXTRAWORD
's ^$++++=EXTRAWORD
lyin ^nn+++??+=lyin'
' ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
returned ^vbd+++xvbn+=returned
Sandy ^np++++=Sandy.
. ^zz++++=EXTRAWORD
" ^zz++++="Been
been ^vprf+ben+vrb+xvbn+=EXTRAWORD
lyin ^nn+++??+=lyin'
' ^zz++++=EXTRAWORD
thar ^nn+++??+=thar
all ^abn++++=all
mornin ^nn+++??+=mornin'."
'." ^nn+++??+=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+aux++=are
intoxicated ^vpsv++agls+xvbnx+=intoxicated."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Sandy ^np++++=Sandy
considered ^vwbn+vprv++xvbn+=considered
this ^dt+dem+++=this
accusation ^nn+nom+++=accusation
with ^in++++=with
gravity ^nn+nom+++=gravity.
. ^zz++++=EXTRAWORD
" ^zz++++="Mebbe
mebbe ^rb++++=EXTRAWORD
road ^nn++++=road
is ^vbz+bez+vrb++=is."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Miss ^npt++++=Miss
Mary ^np++++=Mary's
's ^$++++=EXTRAWORD
color ^nn++++=color
rose ^vbd+++xvbn+=rose.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
conscious ^jj+pred+++=conscious
that ^tht+jcmp+++=that
behind ^rp+pl+++=behind
the ^ati++++=the
windows ^nns++++=windows
of ^in++++=of
the ^ati++++=the
Magnolia ^np+++??+=Magnolia
Saloon ^nn++++=Saloon
several ^ap++++=several
gentlemen ^nns++++=gentlemen
were ^vbd+bed+aux++=were
enjoying ^vbg+++xvbgx+=enjoying
the ^ati++++=the
interview ^nn++++=interview
with ^in++++=with
an ^at++++=an
attention ^nn+nom+++=attention
not ^xnot++not++=not
wholly ^rb++++=wholly
educational ^jj++++=educational.
. ^zz++++=EXTRAWORD
Red ^jj+atrb+++=Red
Gulch ^np+++??+=Gulch,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
commonly ^rb++++=commonly
indifferent ^jj++++=indifferent
to ^in++++=to
sin ^nn++++=sin,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
keenly ^rb++++=keenly
interested ^jj+pred+++=interested
in ^in++++=in
correction ^nn+nom+++=correction.
. ^zz++++=EXTRAWORD
" ^zz++++="Get
get ^vb++++=EXTRAWORD
up ^rp++++=up,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
Sandy ^np++++=Sandy
slowly ^rb++++=slowly
sat ^vbd+++xvbn+=sat
upright ^jj++++=upright.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
hat ^nn++++=hat
fell ^vbd+++xvbn+=fell
backward ^jj++++=backward,
, ^zz++++=EXTRAWORD
disclosing ^vbg+vprv++xvbg+=disclosing
a ^at++++=a
broad ^jj+atrb+++=broad,
, ^zz++++=EXTRAWORD
sunburnt ^jj+atrb++xvbn+=sunburnt
face ^nn++++=face,
, ^zz++++=EXTRAWORD
a ^at++++=a
tangle ^nn++++=tangle
of ^in++++=of
yellow ^jj+atrb+++=yellow
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
an ^at++++=an
expression ^nn++++=expression
of ^in++++=of
such ^abl++++=such
obedient ^jj+atrb+++=obedient
misery ^nn++++=misery
that ^tht+rel+obj++=that
Miss ^npt++++=Miss
Mary ^np++++=Mary's
's ^$++++=EXTRAWORD
severity ^nn+nom+++=severity
was ^vbd+bedz+vrb++=was
for ^in++++=for
an ^at++++=an
instant ^nn+nom+++=instant
embarrassed ^vbd+++xvbn+=embarrassed.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+vrb++=are
disgraceful ^jj+pred+++=disgraceful,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
continued ^vbd+++xvbnx+=continued.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+vrb++=are
filthy ^jj+pred+++=filthy.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
should ^md+nec+++=should
be ^vb+be+vrb++=be
ashamed ^jj+pred+++=ashamed
to ^to+jcmp+++=to
be ^vbi+vbi+aux++=be
seen ^vpsv++by+xvbnx+=seen
by ^in++++=by
by ^in++++=by
any ^dti++++=any
decent ^jj+atrb+++=decent
person ^nn++++=person."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Sandy ^np++++=Sandy
humbly ^jj++++=humbly.
. ^zz++++=EXTRAWORD
" ^zz++++="That's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
why ^wrb+who+++=why
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
hidin ^nn+++??+=hidin'
' ^zz++++=EXTRAWORD
under ^in++++=under
the ^ati++++=the
flowers ^nns+nom+++=flowers."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
A ^at++++=A
subdued ^jj+atrb+++=subdued
sound ^nn++++=sound
came ^vbd+++xvbn+=came
from ^in+ppvb+++=from
the ^ati++++=the
saloon ^nn++++=saloon
windows ^nns++++=windows.
. ^zz++++=EXTRAWORD
Miss ^npt++++=Miss
Mary ^np++++=Mary
turned ^vbd+++xvbn+=turned
toward ^in++++=toward
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
sound ^nn++++=sound
ceased ^vbd+++xvbn+=ceased
with ^in++++=with
that ^dt+dem+++=that
promptitude ^nn+++??+=promptitude
which ^whp+rel+subj++=which
showed ^vbd+vprv++xvbn+=showed
how ^wrb+who+whcl++=how
deeply ^rb++++=deeply
her ^pp3o+pp3+++=her
school ^npl++++=school
discipline ^nn++++=discipline
had ^vbd+hvd+aux++=had
affected ^vprf+++xvbnx+=affected
even ^rb++++=even
the ^ati++++=the
adult ^nn++++=adult
mind ^nn++++=mind.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
need ^vb++++=need
water ^nn++++=water,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Don't
do ^vb+do+aux++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
like ^vb++++=like
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
need ^vb++++=need
a ^at++++=a
bath ^nn++++=bath."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
At ^rb++++=At
this ^dt+dem+++=this
word ^nn++++=word
Sandy ^np++++=Sandy's
's ^$++++=EXTRAWORD
expression ^nn++++=expression
altered ^vwbn+++xvbn+=altered.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
possible ^jj+pred+++=possible
that ^tht+jcmp+++=that
some ^dti++++=some
ancestral ^jj+atrb+++=ancestral
memory ^nn++++=memory
of ^in++++=of
persecution ^nn+nom+++=persecution
by ^in++++=by
soap ^nn++++=soap
stirred ^vbd+++xvbn+=stirred
within ^in++++=within
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
stared ^vbd+++xvbnx+=stared
at ^rb++++=at
Miss ^npt++++=Miss
Mary ^np++++=Mary,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
spring ^nn++++=spring,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
finally ^rb++++=finally
toward ^in++++=toward
the ^ati++++=the
river ^nn++++=river,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
flashed ^vbd+++xvbn+=flashed
through ^in++++=through
the ^ati++++=the
cottonwoods ^nns+++??+=cottonwoods
half ^abn++++=half
a ^at++++=a
mile ^nn++++=mile
below ^in+strn+++=below.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
bath ^nn++++=bath,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
repeated ^vwbn+++xvbn+=repeated
Miss ^npt++++=Miss
Mary ^np++++=Mary
inexorably ^rb++++=inexorably.
. ^zz++++=EXTRAWORD
Sandy ^np++++=Sandy
rose ^vbd+++xvbn+=rose.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
swayed ^vbd+++xvbnx+=swayed
once ^rb+cnj+++=once,
, ^zz++++=EXTRAWORD
obtained ^xvbn+++xvbn+=obtained
an ^at++++=an
imperfect ^jj+atrb+++=imperfect
adjustment ^nn+nom+++=adjustment
with ^in++++=with
the ^ati++++=the
earth ^nn++++=earth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
suddenly ^rb++++=suddenly
started ^vbd+++xvbn+=started
down ^rp++++=down
the ^ati++++=the
road ^npl++++=road
at ^rb++++=at
a ^at++++=a
run ^nn+++xvbn+=run.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
remaining ^vbg+++xvbg+=remaining
boot ^nn++++=boot
struck ^vbd+++xvbn+=struck
up ^rp++++=up
the ^ati++++=the
dust ^nn++++=dust;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
coat ^nn++++=coat
tails ^vbz++++=tails
streamed ^vbd+++xvbn+=streamed
behind ^rp+pl+++=behind
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
before ^cs+sub+++=before
Miss ^npt++++=Miss
Mary ^np++++=Mary
or ^cc++++=or
the ^ati++++=the
spectators ^nns++++=spectators
could ^md+pos+++=could
comprehend ^vb+++??+=comprehend
his ^pp$+pp3+++=his
intention ^nn+nom+++=intention,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
crossed ^vprf+++xvbnx+=crossed
the ^ati++++=the
flat ^nn++++=flat,
, ^zz++++=EXTRAWORD
plunged ^xvbn+++xvbn+=plunged
through ^in++++=through
the ^ati++++=the
willows ^nns++++=willows,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
disappeared ^vpsv++agls+xvbn+=disappeared
in ^in++++=in
the ^ati++++=the
river ^nn++++=river.
. ^zz++++=EXTRAWORD
A ^at++++=A
moment ^nn++++=moment
later ^rbr+tm+++=later
his ^pp$+pp3+++=his
head ^jjb++++=head
emerged ^jj+++xvbn+=emerged.
. ^zz++++=EXTRAWORD
" ^zz++++="Is
is ^vbz+bez+vrb++=EXTRAWORD
this ^dt+dem+++=this
enough ^qlp++++=enough?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
called ^vbd+++xvbnx+=called
faintly ^rb++++=faintly.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
grieve ^np++++=grieve
to ^to++++=to
say ^vbi+vpub+++=say
that ^tht+vcmp+++=that
Miss ^npt++++=Miss
Mary ^np++++=Mary
laughed ^vbd+++xvbn+=laughed.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
the ^ati++++=the
laugh ^nn++++=laugh
she ^pp3a+pp3+++=she
allowed ^vbd+++xvbnx+=allowed
her ^pp$+pp3+++=her
pupils ^nns++++=pupils
when ^wrb+who+++=when
the ^ati++++=the
youngest ^nn++++=youngest
confused ^vbd+++xvbn+=confused
Nebuchadnezzar ^np+++??+=Nebuchadnezzar
with ^in++++=with
George ^np++++=George
Washington ^np++++=Washington.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
clear ^jj+atrb+++=clear,
, ^zz++++=EXTRAWORD
girlish ^jj+atrb+++=girlish
sound ^nn++++=sound,
, ^zz++++=EXTRAWORD
wholly ^rb++++=wholly
unregulated ^vpsv++by+xvbn+=unregulated
by ^in++++=by
Boston ^np++++=Boston,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
traveled ^vbd+++xvbn+=traveled
across ^in+pl+++=across
the ^ati++++=the
flat ^nn++++=flat
with ^in++++=with
astonishing ^jj+atrb+++=astonishing
freedom ^nn+nom+++=freedom.
. ^zz++++=EXTRAWORD
