At ^in++++=At
the ^ati++++=the
tar ^nn++++=tar
softened ^vbd+++xvbn+=softened
in ^in++++=in
the ^ati++++=the
seams ^nns++++=seams
and ^cc++++=and
gave ^vbd+++xvbn+=gave
forth ^rp++++=forth
its ^pp$+it+++=its
bitter ^jj+atrb+++=bitter
smell ^nn++++=smell.
. ^zz++++=EXTRAWORD
Beyond ^in+strn+++=Beyond,
, ^zz++++=EXTRAWORD
between ^in++++=between
two ^cd++++=two
bare ^jj+atrb+++=bare
promontories ^nns++++=promontories,
, ^zz++++=EXTRAWORD
the ^ati++++=the
African ^jj+atrb+++=African
town ^nn++++=town
rose ^vbd+++xvbn+=rose
in ^in++++=in
terraces ^nns++++=terraces
of ^in++++=of
chalk ^nn++++=chalk,
, ^zz++++=EXTRAWORD
saffron ^nn++++=saffron,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
burned ^jj+atrb++xvbn+=burned
brick ^nn++++=brick,
, ^zz++++=EXTRAWORD
flattened ^xvbn+++xvbn+=flattened
by ^in++++=by
the ^ati++++=the
heat ^nn++++=heat
until ^in++++=until
its ^pp$+it+++=its
walls ^nns++++=walls,
, ^zz++++=EXTRAWORD
towers ^nns++++=towers,
, ^zz++++=EXTRAWORD
palms ^nns++++=palms,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
little ^ap++++=little
square ^nn++++=square
houses ^nns++++=houses
appeared ^vbd+seem++xvbn+=appeared
enamelled ^jj++++=enamelled
upon ^in++++=upon
a ^at++++=a
plate ^nn++++=plate.
. ^zz++++=EXTRAWORD
Nothing ^pn++++=Nothing
moved ^vbd+++xvbn+=moved
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
the ^ati++++=the
gulls ^nns++++=gulls
had ^vbd+hvd+aux++=had
withdrawn ^vprf+++xvbnx+=withdrawn
into ^in++++=into
the ^ati++++=the
blue ^jj+atrb+++=blue
hollows ^nns++++=hollows
under ^in++++=under
the ^ati++++=the
cliffs ^nns++++=cliffs.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
from ^in++++=from
beneath ^in+pl+++=beneath
the ^ati++++=the
deck ^nn++++=deck
came ^vbd+++xvbn+=came
the ^ati++++=the
irregular ^jj+atrb+++=irregular
cough ^nn++++=cough
of ^in++++=of
a ^at++++=a
man ^nn++++=man
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
flogged ^vpsv++agls+xvbnx+=flogged
that ^dt+dem+++=that
morning ^nn++++=morning.
. ^zz++++=EXTRAWORD
Don ^npt++++=Don
Hernando ^np+++??+=Hernando
de ^&fw++++=de
Albornoz ^np+++??+=Albornoz,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
nineteen ^cd++++=nineteen
years ^nns++++=years
old ^jj++++=old,
, ^zz++++=EXTRAWORD
possessed ^j+++xvbn+=possessed
of ^in++++=of
three ^cd++++=three
estates ^nns+nom+++=estates,
, ^zz++++=EXTRAWORD
two ^cd++++=two
hawks ^nns+++??+=hawks,
, ^zz++++=EXTRAWORD
seven ^cd++++=seven
legitimate ^jj+atrb+++=legitimate
suits ^nns++++=suits
of ^in++++=of
armour ^nn++++=armour,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
mistress ^nns+nom+++=mistress
older ^jjr++++=older
than ^in++++=than
himself ^ppl+pp3+++=himself
by ^in++++=by
eighteen ^cd++++=eighteen
months ^nns++++=months,
, ^zz++++=EXTRAWORD
slept ^j+++xvbn+=slept
in ^in++++=in
the ^ati++++=the
sternsheets ^nns+++??+=sternsheets
beneath ^in+pl+++=beneath
a ^at++++=a
canopy ^nn++++=canopy
of ^in++++=of
striped ^jj+atrb+++=striped
silk ^nn++++=silk.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
removed ^vprf+++xvbnx+=removed
his ^pp$+pp3+++=his
gorgeret ^nn+++??+=gorgeret
and ^cc++++=and
doublet ^nn+nom+++=doublet,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
not ^xnot++not++=not
his ^pp$+pp3+++=his
sword ^nn++++=sword.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
brown ^jj+atrb+++=brown
hand ^nn++++=hand
lay ^vbd+++xvbn+=lay
upon ^in++++=upon
its ^pp$+it+++=its
pommel ^nn+++??+=pommel;
; ^zz++++=EXTRAWORD
the ^ati++++=the
other ^ap++++=other
rested ^jj+++xvbn+=rested
among ^in++++=among
the ^ati++++=the
black ^jj+atrb+++=black
curls ^nns++++=curls
of ^in++++=of
Do ^vb+do+vrb++=Do
a ^at++++=a
Elvira ^np++++=Elvira's
's ^$++++=EXTRAWORD
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
holding ^nvbg+++xvbg+=holding
them ^pp3o+pp3+++=them
as ^in++++=as
a ^at++++=a
child ^nn++++=child
holds ^vbz+vprv+++=holds
the ^ati++++=the
cord ^nn++++=cord
of ^in++++=of
a ^at++++=a
cherished ^jj+atrb++xvbn+=cherished
toy ^nn++++=toy,
, ^zz++++=EXTRAWORD
even ^rb++++=even
in ^in++++=in
sleep ^nn++++=sleep.
. ^zz++++=EXTRAWORD
Elvira ^np+++??+=Elvira
sat ^vbd+++xvbn+=sat
beside ^in+pl+++=beside
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
cramped ^j+++xvbn+=cramped
and ^cc+phrs+++=and
sweating ^jj+++xvbg+=sweating.
. ^zz++++=EXTRAWORD
Whenever ^nn+nom+++=Whenever
she ^pp3a+pp3+++=she
moved ^vbd+++xvbnx+=moved
her ^pp$+pp3+++=her
head ^jjb++++=head,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
fingers ^nns+nom+++=fingers
contracted ^vbd+++xvbn+=contracted.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
a ^at++++=a
deliberate ^jj+atrb+++=deliberate
warning ^nn++++=warning,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
slept ^vbd+++xvbnx+=slept;
; ^zz++++=EXTRAWORD
nevertheless ^rb+cnj+++=nevertheless
she ^pp3a+pp3+++=she
understood ^vbd+vprv+tht0+xvbnx+=understood
it ^pp3+it+++=it
as ^in++++=as
perfectly ^rb+amp+++=perfectly
as ^cs+sub+++=as
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
spoken ^vprf+++xvbnx+=spoken.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
loved ^vbd+++xvbnx+=loved
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
said ^vprf+++xvbnx+=said
so ^ql++++=so
after ^cs+sub+++=after
stabbing ^nn++++=stabbing
a ^at++++=a
page ^nn++++=page
who ^whp+rel+subj++=who
brought ^vbd+++xvbn+=brought
her ^pp$+pp3+++=her
a ^at++++=a
sprig ^nn+++??+=sprig
of ^in++++=of
orange ^nn++++=orange
blossom ^vb++++=blossom,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
again ^rb+tm+++=again
after ^cs+sub+++=after
ordering ^xvbg+++xvbg+=ordering
an ^at++++=an
old ^jj+atrb+++=old
muleteer ^nn+nom+++=muleteer
whipped ^vbd+++xvbn+=whipped
for ^in++++=for
looking ^xvbg+++xvbg+=looking
too ^ql++++=too
long ^rb++++=long
at ^rb++++=at
her ^pp3o+pp3+++=her
ankles ^nns++++=ankles.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
a ^at++++=a
good ^jj+atrb+++=good
man ^nn++++=man,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
reflected ^vbd+vprv++xvbnx+=reflected,
, ^zz++++=EXTRAWORD
could ^md+pos+++=could
love ^vb++++=love
with ^in++++=with
such ^abl++++=such
fierceness ^nns+nom+++=fierceness.
. ^zz++++=EXTRAWORD
A ^at++++=A
weak ^jj+atrb+++=weak
man ^nn++++=man
would ^md+prd+++=would
share ^vb++++=share,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
pretend ^vb+vprv+++=pretend
not ^xnot++not++=not
to ^to++++=to
see ^vbi+vprv+++=see,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
make ^vb++++=make
verses ^nns++++=verses.
. ^zz++++=EXTRAWORD
Hernando ^np+++??+=Hernando
neither ^dt++neg++=neither
shared ^jj+++xvbn+=shared
nor ^cc+phrs+neg++=nor
versified ^jj+++xvbn+=versified.
. ^zz++++=EXTRAWORD
A ^at++++=A
drop ^nn++++=drop
of ^in++++=of
sweat ^nn++++=sweat
slid ^vbd+++xvbn+=slid
between ^in++++=between
her ^pp$+pp3+++=her
breasts ^nns++++=breasts.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
watched ^vbd+++xvbnx+=watched
it ^pp3+it+++=it
darken ^vbd+++xvbn+=darken
the ^ati++++=the
gauze ^nn++++=gauze
of ^in++++=of
her ^pp$+pp3+++=her
shift ^nn++++=shift
and ^cc++++=and
thought ^vpsv++agls+xvbn+=thought
of ^in++++=of
a ^at++++=a
fountain ^nn++++=fountain
in ^in++++=in
Granada ^np++++=Granada
where ^wrb+who+++=where
water ^nn++++=water
ran ^vbd+++xvbn+=ran
perpetually ^rb++++=perpetually
from ^in++++=from
the ^ati++++=the
mouths ^nns++++=mouths
of ^in++++=of
marble ^nn++++=marble
lions ^nns++++=lions
into ^in++++=into
an ^at++++=an
octagonal ^jj+atrb+++=octagonal
basin ^nn++++=basin.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
imagined ^vbd+vprv+tht0+xvbnx+=imagined
herself ^ppl+pp3+++=herself
naked ^jj++++=naked
in ^cs+sub+++=in
that ^cs"++++=that
water ^nn++++=water,
, ^zz++++=EXTRAWORD
the ^ati++++=the
green ^jj+atrb+++=green
shadows ^nps++++=shadows
of ^in++++=of
myrtle ^nn+++??+=myrtle
leaves ^nns++++=leaves
wavering ^jj++++=wavering
over ^rp++++=over
her ^pp3o+pp3+++=her
thighs ^nns++++=thighs.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
imagined ^vbd+vprv++xvbnx+=imagined
Hernando ^np+++??+=Hernando
finding ^vwbg+++xvbg+=finding
her ^pp3o+pp3+++=her
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
water ^nn++++=water
became ^vbd+++xvbn+=became
warm ^jj++++=warm
as ^ql++++=as
blood ^nn++++=blood.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
woke ^vbd+++xvbnx+=woke
with ^in++++=with
a ^rb++++=a
little ^rb"++++=little
start ^nn++++=start.
. ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+whq++=EXTRAWORD
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
tremble ^vb++++=tremble?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+vrb++=do
not ^xnot++not++=not."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
were ^vbd+bed+aux++=were
thinking ^vbg+++xvbgx+=thinking."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Of
of ^in++++=EXTRAWORD
the ^ati++++=the
heat ^nn++++=heat."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
her ^pp$+pp3+++=her
as ^cs+sub+++=as
though ^cs+sub+++=though
heat ^nn++++=heat
were ^vbd+bed+vrb++=were
a ^at++++=a
rival ^jjb++++=rival
whose ^whp+who+++=whose
insolence ^nn+nom+++=insolence
might ^md+pos+++=might
require ^vb+vsua+++=require
punishment ^nn+nom+++=punishment.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
face ^nn++++=face
was ^vbd+bedz+vrb++=was
fine ^jj+pred+++=fine-boned
- ^zz++++=EXTRAWORD
boned ^jj+++xvbn+=EXTRAWORD
and ^cc++++=and
almost ^rb+hdg+++=almost
girlish ^jj++++=girlish,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
lower ^jjr+atrb+++=lower
lip ^nn++++=lip
had ^vb+hv+aux++=had
already ^rb++splt++=already
acquired ^vprf+++xvbnx+=acquired
the ^ati++++=the
droop ^nn+++??+=droop
of ^in++++=of
hereditary ^jj+atrb+++=hereditary
contempt ^nn++++=contempt.
. ^zz++++=EXTRAWORD
Three ^cd++++=Three
generations ^nns+nom+++=generations
of ^in++++=of
Albornozes ^np+++??+=Albornozes
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
hang ^vbi++++=hang
from ^in++++=from
it ^pp3+it+++=it:
: ^zz++++=EXTRAWORD
men ^nns++++=men
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
burned ^vprf+++xvbnx+=burned
villages ^nns+nom+++=villages
for ^in++++=for
disobedience ^nn+nom+++=disobedience,
, ^zz++++=EXTRAWORD
given ^vpbn+v++xvbn+=given
jeweled ^vprf+++xvbn+=jeweled
chalices ^nns+++??+=chalices
to ^in++++=to
monasteries ^nns+nom+++=monasteries,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
died ^vbd+++xvbn+=died
affronted ^vpsv++by+xvbn+=affronted
by ^in++++=by
the ^ati++++=the
ingratitude ^nn++++=ingratitude
of ^in++++=of
God ^nn++++=God.
. ^zz++++=EXTRAWORD
" ^zz++++="Sing,"
sing ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
throat ^nn++++=throat
is ^vbz+bez+vrb++=is
dry ^jj+pred+++=dry."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
be ^vb+be+vrb++=be
dry ^jj+pred+++=dry
and ^cc++++=and
sing ^vb++++=sing."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
she ^pp3a+pp3+++=she
could ^md+pos+++=could
obey ^vb++++=obey,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
sounded ^vbd+++xvbn+=sounded
from ^in++++=from
the ^ati++++=the
forepart ^nn++++=forepart
of ^in++++=of
the ^ati++++=the
galley ^nn++++=galley
a ^at++++=a
clatter ^nn++++=clatter,
, ^zz++++=EXTRAWORD
a ^at++++=a
shout ^vb++++=shout,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
slap ^nn++++=slap
of ^in++++=of
naked ^jj+atrb+++=naked
feet ^nns++++=feet
upon ^in++++=upon
the ^ati++++=the
deck ^nn++++=deck.
. ^zz++++=EXTRAWORD
Captain ^npt++++=Captain
Bernat ^np+++??+=Bernat
Vives ^np++++=Vives
came ^vbd+++xvbn+=came
aft ^jjb++++=aft
at ^in++++=at
a ^at++++=a
run ^nn+++xvbn+=run,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
his ^pp$+pp3+++=his
age ^nn++++=age,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
belly ^nn++++=belly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
dignity ^nn+nom+++=dignity
of ^in++++=of
his ^pp$+pp3+++=his
office ^nn++++=office
protested ^vbd+vpub++xvbn+=protested
against ^in++++=against
running ^xvbg+++xvbg+=running.
. ^zz++++=EXTRAWORD
Behind ^in+pl+++=Behind
him ^pp3o+pp3+++=him
trotted ^vbd+++xvbn+=trotted
a ^at++++=a
Moorish ^np+++??+=Moorish
interpreter ^nn+nom+++=interpreter
with ^in++++=with
one ^cd1++++=one
torn ^jj+atrb++xvbn+=torn
ear ^nn++++=ear
and ^cc++++=and
a ^at++++=a
sailor ^nn++++=sailor
carrying ^vwbg+++xvbg+=carrying
a ^at++++=a
boat ^nn++++=boat
hook ^nn++++=hook.
. ^zz++++=EXTRAWORD
The ^ati++++=The
captain ^nn++++=captain's
's ^vbz+bez+vrb++0=EXTRAWORD
bald ^jj+atrb+++=bald
crown ^nn++++=crown
was ^vbd+bedz+vrb++=was
purple ^jj+pred+++=purple
with ^in++++=with
heat ^nn++++=heat.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
snatched ^vbd+++xvbnx+=snatched
off ^in+pl+++=off
his ^pp$+pp3+++=his
cap ^nn++++=cap,
, ^zz++++=EXTRAWORD
bowed ^j+++xvbn+=bowed
first ^rb++++=first
to ^in++++=to
Hernando ^np+++??+=Hernando,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
less ^rbr++++=less
deeply ^rb++++=deeply
to ^in++++=to
Elvira ^np+++??+=Elvira,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
attempted ^jj+atrb++xvbn+=attempted
speech ^nn++++=speech;
; ^zz++++=EXTRAWORD
but ^in++++=but
for ^in"++++=for
some ^dti++++=some
moments ^nns+nom+++=moments
produced ^vbd+++xvbn+=produced
only ^rb+down+++=only
breath ^nn++++=breath.
. ^zz++++=EXTRAWORD
" ^zz++++="Well?"
well ^rb++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Hernando ^np+++??+=Hernando.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
lord ^npt++++=lord
a ^at++++=a
marvel ^nn++++=marvel.
. ^zz++++=EXTRAWORD
Or ^cc+cls+++=Or
a ^at++++=a
calamity ^nn+nom+++=calamity.
. ^zz++++=EXTRAWORD
The ^ati++++=The
distinction ^nn+nom+++=distinction
depends ^vbz++++=depends
upon ^in++++=upon
who ^whp+rel+pied++=who
pays ^vbz++++=pays
the ^ati++++=the
harbour ^nn++++=harbour
dues ^nns++++=dues."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Speak
speak ^vb++++=EXTRAWORD
without ^in++++=without
drowning ^xvbg+++xvbg+=drowning."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Captain ^npt++++=Captain
Vives ^np++++=Vives
swallowed ^vbd+++xvbn+=swallowed.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
Mallorcan ^np+nom++??+=Mallorcan
friar ^nn+++??+=friar.
. ^zz++++=EXTRAWORD
The ^ati++++=The
preacher ^nn+nom+++=preacher.
. ^zz++++=EXTRAWORD
Ramon ^np++++=Ramon
Lully ^np+++??+=Lully."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
of ^in++++=of
him ^pp3o+pp3+++=him?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
have ^vb+hv+aux++=have
stoned ^vprf+++xvbnx+=stoned
him ^pp3o+pp3+++=him."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Elvira ^np+++??+=Elvira
crossed ^vbd+++xvbn+=crossed
herself ^ppl+pp3+++=herself.
. ^zz++++=EXTRAWORD
Hernando ^np+++??+=Hernando
yawned ^vbd+++xvbn+=yawned.
. ^zz++++=EXTRAWORD
" ^zz++++="Who
who ^whp+who+whq++=EXTRAWORD
have ^vb+hv+aux++=have?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
people ^nn++++=people
of ^in++++=of
the ^ati++++=the
town ^nn++++=town,
, ^zz++++=EXTRAWORD
naturally ^rb++++=naturally.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
came ^vbd+++xvbnx+=came
again ^rb+tm+++=again
to ^in++++=to
dispute ^nn++++=dispute
with ^in++++=with
their ^pp$+pp3+++=their
doctors ^nns++++=doctors,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
expelled ^vprf+++xvbnx+=expelled
him ^pp3o+pp3+++=him
once ^rb+cnj+++=once,
, ^zz++++=EXTRAWORD
twice ^rb+cnj+++=twice,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
three ^cd++++=three
times ^nns++++=times
I ^pp1a+pp1+++=I
lose ^vb++++=lose
count ^nn++++=count
of ^in++++=of
holy ^jj+atrb+++=holy
men ^nns++++=men's
's ^$++++=EXTRAWORD
follies ^nns++++=follies.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
preached ^vbd+++xvbnx+=preached
in ^in++++=in
the ^ati++++=the
market ^nn++++=market
at ^rb++++=at
daybreak ^nn+++??+=daybreak.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
argument ^nn+nom+++=argument,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
dung ^nn++++=dung,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
stones ^nns++++=stones.
. ^zz++++=EXTRAWORD
A ^at++++=A
Genoese ^np+nom++??+=Genoese
factor ^nn++++=factor
saw ^vbd+vprv++xvbn+=saw
it ^pp3+it+++=it
all ^rb++++=all
from ^in++++=from
a ^at++++=a
roof ^nn++++=roof.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
dragged ^vbd+++xvbnx+=dragged
the ^ati++++=the
body ^nn++++=body
outside ^jjb++++=outside
the ^ati++++=the
western ^jj+atrb+++=western
gate ^nn++++=gate
and ^cc++++=and
threw ^vbd+++xvbn+=threw
it ^pp3+it+++=it
into ^in++++=into
a ^at++++=a
ditch ^nn++++=ditch."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
dead ^jj+pred+++=dead,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Hernando ^np+++??+=Hernando.
. ^zz++++=EXTRAWORD
" ^zz++++="As
as ^ql++++=EXTRAWORD
Judas ^np+++??+=Judas
after ^in++++=after
the ^ati++++=the
fig ^nn++++=fig
tree ^nn++++=tree;
; ^zz++++=EXTRAWORD
as ^ql++++=as
Jonah ^np++++=Jonah's
's ^$++++=EXTRAWORD
gourd ^nn+++??+=gourd
after ^in++++=after
the ^ati++++=the
worm ^nn++++=worm;
; ^zz++++=EXTRAWORD
as ^ql++++=as
my ^pp$+pp1+++=my
first ^od++++=first
wife ^nn++++=wife
after ^in++++=after
eating ^xvbg+++xvbg+=eating
bad ^jj+atrb+++=bad
mussels ^nns++++=mussels."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
captain ^nn++++=captain's
's ^$++++=EXTRAWORD
eyes ^nns++++=eyes
shone ^vbd+++xvbn+=shone.
. ^zz++++=EXTRAWORD
" ^zz++++="Dead,
dead ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
lord ^npt++++=lord
and ^cc++++=and
ours ^pp$$++++=ours,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are
quick ^jj+pred+++=quick."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Hernando ^np+++??+=Hernando
lifted ^vbd+++xvbn+=lifted
his ^pp$+pp3+++=his
hand ^nn++++=hand
from ^in++++=from
Elvira ^np++++=Elvira's
's ^$++++=EXTRAWORD
hair ^nn++++=hair.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
rubbed ^vbd+++xvbnx+=rubbed
her ^pp$+pp3+++=her
scalp ^nn++++=scalp
secretly ^rb++++=secretly.
. ^zz++++=EXTRAWORD
" ^zz++++="Ours?"
ours ^pp$$++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
Christian ^jj+atrb+++=Christian
martyr ^nn++++=martyr
lying ^vwbg+++xvbg+=lying
unclaimed ^jj++++=unclaimed
in ^in++++=in
a ^at++++=a
ditch ^nn++++=ditch!
! ^zz++++=EXTRAWORD
Consider ^nn+nom+++=Consider.
. ^zz++++=EXTRAWORD
Bones ^nns++++=Bones
from ^in++++=from
the ^ati++++=the
Holy ^jj+atrb+++=Holy
Land ^nn++++=Land
are ^vb+ber+aux++=are
brought ^vpsv++agls+xvbnx+=brought
west ^np+pl+++=west
in ^in++++=in
purses ^nns+++??+=purses
and ^cc++++=and
sold ^vbd+++xvbn+=sold
joint ^jjb++++=joint
by ^in++++=by
joint ^nn++++=joint.
. ^zz++++=EXTRAWORD
A ^at++++=A
saint ^nn++++=saint
from ^in++++=from
Africa ^np++++=Africa,
