# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Maymeys ^np+++??+=MAYMEYS
I ^pp1a+pp1+++=I
offer ^nn++++=offer
merely ^rb+down+++=merely
a ^at++++=a
new ^jj+atrb+++=new
slant ^nn++++=slant
upon ^in++++=upon
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
girl ^nn++++=girl's
's ^$++++=EXTRAWORD
name ^nn++++=name
was ^vbd+bedz+vrb++=was
Jennie ^np+++??+=Jennie
Maclaren ^np++++=MacLaren,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
Scotch ^np++++=Scotch
by ^in++++=by
birth ^nn++++=birth,
, ^zz++++=EXTRAWORD
American ^jj++++=American
by ^in++++=by
immigration ^nn+nom+++=immigration,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
nothing ^pn++++=nothing
at ^rb++++=at
all ^abn++++=all
by ^in++++=by
occupation ^nn+nom+++=occupation.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
last ^rb++++=last
profession ^nn++++=profession
is ^vbz+bez+vrb++=is
overcrowded ^jj+pred+++=overcrowded
and ^cc++++=and
poorly ^rb++++=poorly
paid ^vbd+++xvbn+=paid.
. ^zz++++=EXTRAWORD
As ^in++++=As
for ^in"++++=for
how ^wrb+who+++=how
she ^pp3a+pp3+++=she
came ^vbd+++xvbnx+=came
to ^to++++=to
be ^vbi+vbi+aux++=be
walking ^vbg+++xvbgx+=walking
along ^in++++=along
State ^nn++++=State
Street ^nn++++=Street
in ^in++++=in
Chicago ^np++++=Chicago
on ^in++++=on
a ^at++++=a
bitter ^jj+atrb+++=bitter
afternoon ^nn++++=afternoon
in ^in++++=in
January ^nr+nom+++=January
with ^in++++=with
four ^cd++++=four
cents ^nns++++=cents
in ^in++++=in
her ^pp$+pp3+++=her
pocket ^nn++++=pocket,
, ^zz++++=EXTRAWORD
no ^at++++=no
breakfast ^nn++++=breakfast
inside ^in+pl+++=inside
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
certainty ^nn++++=certainty
of ^in++++=of
supper ^nn++++=supper
must ^md+nec+++=must
we ^pp1a+pp1+++=we
investigate ^nn+nom+++=investigate?
? ^zz++++=EXTRAWORD
Must ^md+nec+++=Must
poverty ^vb++++=poverty
submit ^vb+vpub+++=submit
references ^nns+nom+++=references
before ^cs+sub+++=before
being ^nn+nn+aux++=being
pitied ^vbd+++xvbn+=pitied?
? ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
her ^pp$+pp3+++=her
employer ^nn+nom+++=employer
had ^vbd+hvd+aux++=had
failed ^vprf+++xvbnx+=failed;
; ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
failed ^vprf+++xvbnx+=failed
her ^pp$+pp3+++=her
employer ^nn+nom+++=employer;
; ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
a ^at++++=a
man ^nn++++=man
had ^vbd+hvd+aux++=had
promised ^vprf+++xvbnx+=promised
something ^pn++++=something
and ^cc++++=and
performed ^vwbn+++xvbn+=performed
something ^pn++++=something
else ^rb+cnj+++=else.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
may ^md+pos+++=may
choose ^vb++++=choose
whichever ^nn+nom+++=whichever
explanation ^nn+nom+++=explanation
makes ^vbz++++=makes
you ^pp2+pp2+++=you
most ^ql+emph+++=most
comfortable ^jj++++=comfortable.
. ^zz++++=EXTRAWORD
The ^ati++++=The
fact ^nn++++=fact
was ^vbd+bedz+vrb++=was
hunger ^nn++++=hunger.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
the ^ati++++=the
literary ^jj+atrb+++=literary
hunger ^nn++++=hunger
that ^tht+rel+subj++=that
permits ^vbz++++=permits
a ^at++++=a
heroine ^nn++++=heroine
to ^to++++=to
turn ^vbi++++=turn
pale ^nn++++=pale,
, ^zz++++=EXTRAWORD
say ^vb+vpub+++=say
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
eaten ^vprf+++xvbnx+=eaten
nothing ^pn++++=nothing
since ^in++++=since
yesterday ^nr+tm+++=yesterday,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
then ^rn+tm+++=then
discuss ^vb++++=discuss
her ^pp$+pp3+++=her
childhood ^nn+nom+++=childhood
for ^in++++=for
three ^cd++++=three
chapters ^nns+nom+++=chapters.
. ^zz++++=EXTRAWORD
Jennie ^np++++=Jennie's
's ^$++++=EXTRAWORD
hunger ^nn++++=hunger
had ^vbd+hvd+aux++=had
passed ^vprf+++xvbnx+=passed
beyond ^in++++=beyond
biography ^nn++++=biography.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
had ^vbd+hvd+aux++=had
become ^vprf+++xvbn+=become
a ^at++++=a
large ^jj++++=large,
, ^zz++++=EXTRAWORD
active ^jj+atrb+++=active,
, ^zz++++=EXTRAWORD
private ^jj+atrb+++=private
animal ^nn++++=animal.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
clawed ^vbd+++xvbn+=clawed
under ^in++++=under
her ^pp$+pp3+++=her
ribs ^nns++++=ribs,
, ^zz++++=EXTRAWORD
gnawed ^j+++xvbn+=gnawed
upward ^jjb++++=upward
toward ^in++++=toward
her ^pp$+pp3+++=her
throat ^nn++++=throat,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
put ^vb+++xvbn+=put
strange ^jj+atrb+++=strange
thoughts ^nns++++=thoughts
into ^in++++=into
her ^pp$+pp3+++=her
head ^jjb++++=head.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
made ^vbd+++xvbn+=made
the ^ati++++=the
elevated ^jj+atrb++xvbn+=elevated
trains ^nns++++=trains
sound ^jj++++=sound
like ^in++++=like
frying ^nn++++=frying
bacon ^nn++++=bacon.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
transformed ^vbd+++xvbn+=transformed
the ^ati++++=the
brass ^nn++++=brass
buttons ^nns++++=buttons
of ^in++++=of
a ^at++++=a
street ^npl++++=street-car
- ^zz++++=EXTRAWORD
car ^nn++++=EXTRAWORD
conductor ^nn++++=conductor
into ^in++++=into
butter ^nn++++=butter
pats ^nns++++=pats.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
caused ^vbd+++xvbn+=caused
the ^ati++++=the
red ^jj+atrb+++=red
lamps ^nns++++=lamps
of ^in++++=of
an ^at++++=an
automobile ^nn+++??+=automobile
to ^to++++=to
resemble ^vbi++++=resemble
two ^cd++++=two
hot ^jj+atrb+++=hot
cherries ^nns++++=cherries
on ^in++++=on
a ^at++++=a
pudding ^nn++++=pudding.
. ^zz++++=EXTRAWORD
Chicago ^np++++=Chicago
was ^vbd+bedz+aux++=was
feeding ^vbg+++xvbgx+=feeding.
. ^zz++++=EXTRAWORD
The ^ati++++=The
whole ^jj+atrb+++=whole
city ^nn++++=city
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
lunching ^vbg+++xvbgx+=lunching,
, ^zz++++=EXTRAWORD
dining ^nvbg+++xvbg+=dining,
, ^zz++++=EXTRAWORD
supping ^jj+++xvbg+=supping,
, ^zz++++=EXTRAWORD
sampling ^nn+nom+++=sampling,
, ^zz++++=EXTRAWORD
chewing ^vbg+++xvbg+=chewing,
, ^zz++++=EXTRAWORD
swallowing ^nn++++=swallowing,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
waiting ^nvbg+++xvbg+=waiting
for ^in++++=for
the ^ati++++=the
waiter ^vb++++=waiter
to ^to+vcmp+++=to
bring ^vbi++++=bring
the ^ati++++=the
check ^nn++++=check.
. ^zz++++=EXTRAWORD
Restaurant ^nn+nom+++=Restaurant
doors ^nns++++=doors
opened ^vbd+++xvbn+=opened
to ^to++++=to
let ^vbi++++=let
out ^rb+phrv+++=out
warm ^jj+atrb+++=warm
gusts ^nns++++=gusts
perfumed ^vbd+++xvbn+=perfumed
with ^in++++=with
roast ^vb++++=roast
beef ^nn++++=beef
and ^cc++++=and
coffee ^nn++++=coffee.
. ^zz++++=EXTRAWORD
Men ^nns++++=Men
in ^in++++=in
fur ^nn++++=fur
collars ^nns++++=collars
emerged ^vbd+++xvbn+=emerged
picking ^vbg+++xvbg+=picking
their ^pp$+pp3+++=their
teeth ^nns++++=teeth.
. ^zz++++=EXTRAWORD
Women ^nns++++=Women
stepped ^vbd+++xvbn+=stepped
from ^in++++=from
taxicabs ^nns+++??+=taxicabs
with ^in++++=with
the ^ati++++=the
calm ^nn++++=calm,
, ^zz++++=EXTRAWORD
reserved ^jj+atrb++xvbn+=reserved
expressions ^nns++++=expressions
of ^in++++=of
persons ^nns++++=persons
who ^whp+rel+subj++=who
knew ^vbd+vprv++xvbn+=knew
that ^tht+vcmp+++=that
somewhere ^rb++++=somewhere
a ^at++++=a
table ^nn++++=table
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
held ^vpsv++agls+xvbnx+=held
for ^in++++=for
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
the ^ati++++=the
pigeons ^nns++++=pigeons
looked ^vbd+++xvbn+=looked
prosperous ^jj++++=prosperous.
. ^zz++++=EXTRAWORD
Jennie ^np+++??+=Jennie
stopped ^vbd+++xvbn+=stopped
before ^cs+sub+++=before
a ^at++++=a
fruiterer ^jjr+atrb+++=fruiterer's
's ^vbz+bez+vrb++0=EXTRAWORD
window ^nn++++=window.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
windows ^nns++++=windows
which ^whp+rel+obj++=which
display ^nn++++=display
merchandise ^nn++++=merchandise,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
windows ^nns++++=windows
which ^whp+rel+subj++=which
preach ^vb++++=preach
revolution ^nn+nom+++=revolution.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
of ^in++++=of
the ^ati++++=the
latter ^ap++++=latter
school ^nn++++=school.
. ^zz++++=EXTRAWORD
Behind ^in+pl+++=Behind
glass ^nn++++=glass
polished ^jj++++=polished
to ^in++++=to
invisibility ^nn+nom+++=invisibility
rose ^vbd+++xvbn+=rose
pyramids ^nns+++??+=pyramids,
, ^zz++++=EXTRAWORD
cascades ^nns+++??+=cascades,
, ^zz++++=EXTRAWORD
ramparts ^nns++++=ramparts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
battlements ^nns+nom+++=battlements
of ^in++++=of
fruit ^nn++++=fruit.
. ^zz++++=EXTRAWORD
Apples ^nns++++=Apples
shone ^vbd+++xvbn+=shone
with ^in++++=with
the ^ati++++=the
red ^jj+atrb+++=red
respectability ^nn+nom+++=respectability
of ^in++++=of
aldermen ^nns++++=aldermen.
. ^zz++++=EXTRAWORD
Pears ^np+++??+=Pears,
, ^zz++++=EXTRAWORD
yellow ^jj++++=yellow
and ^cc+phrs+++=and
swollen ^jj++++=swollen,
, ^zz++++=EXTRAWORD
leaned ^j+++xvbn+=leaned
against ^in++++=against
one ^cd1++++=one
another ^dt++++=another
like ^in++++=like
dowagers ^nns+nom+++=dowagers
exchanging ^vwbg+++xvbg+=exchanging
confidences ^nns+nom+++=confidences.
. ^zz++++=EXTRAWORD
Grapes ^nns++++=Grapes
spilled ^vbd+++xvbn+=spilled
from ^in++++=from
baskets ^nns++++=baskets
in ^in++++=in
purple ^jj+atrb+++=purple
torrents ^nns+++??+=torrents.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
oranges ^nns++++=oranges
with ^in++++=with
green ^nn++++=green
leaves ^nns++++=leaves
still ^rb++++=still
attached ^vwbn+++xvbn+=attached,
, ^zz++++=EXTRAWORD
lemons ^nns++++=lemons
bright ^jj++++=bright
enough ^qlp++++=enough
to ^in++++=to
light ^jj++++=light
a ^at++++=a
tenement ^nn+nom+++=tenement
stair ^nn++++=stair,
, ^zz++++=EXTRAWORD
strawberries ^nns++++=strawberries
in ^in++++=in
January ^nr+nom+++=January
January ^nr+nom+++=January,
, ^zz++++=EXTRAWORD
mind ^nn++++=mind
you ^pp2+pp2+++=you!
! ^zz++++=EXTRAWORD
and ^cc+cls+++=and
peaches ^nns++++=peaches
lying ^vwbg+++xvbg+=lying
in ^in++++=in
cotton ^nn++++=cotton
nests ^nns++++=nests
as ^cs+sub+++=as
though ^cs+sub+++=though
each ^dt++++=each
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
born ^vpsv++agls+xvbnx+=born
to ^in++++=to
a ^at++++=a
private ^jj+atrb+++=private
room ^nn++++=room
and ^cc++++=and
trained ^jj+++xvbn+=trained
nurse ^vb++++=nurse.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
pineapples ^nns+++??+=pineapples,
, ^zz++++=EXTRAWORD
pomegranates ^nns+nom+++=pomegranates,
, ^zz++++=EXTRAWORD
figs ^nns++++=figs,
, ^zz++++=EXTRAWORD
dates ^nns++++=dates,
, ^zz++++=EXTRAWORD
bananas ^nns+++??+=bananas,
, ^zz++++=EXTRAWORD
grapefruit ^nn++++=grapefruit,
, ^zz++++=EXTRAWORD
tangerines ^nns+++??+=tangerines,
, ^zz++++=EXTRAWORD
kumquats ^nns+++??+=kumquats,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
certain ^jj+atrb+++=certain
aristocratic ^jj+atrb+++=aristocratic
vegetables ^nns++++=vegetables
masquerading ^vwbg+++xvbg+=masquerading
among ^in++++=among
them ^pp3o+pp3+++=them
under ^in++++=under
foreign ^jj+atrb+++=foreign
names ^nns++++=names.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
centre ^nn++++=centre
stood ^vbd+++xvbn+=stood
a ^at++++=a
silver ^nn++++=silver
dish ^nn++++=dish
containing ^vwbg+++xvbg+=containing
six ^cd++++=six
brownish ^jj++++=brownish-gold
- ^zz++++=EXTRAWORD
gold ^nn++++=EXTRAWORD
objects ^nns++++=objects,
, ^zz++++=EXTRAWORD
smooth ^jj++++=smooth-skinned,
- ^zz++++=EXTRAWORD
skinned ^jj+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
plump ^jj++++=plump,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
wholly ^rb++++=wholly
unknown ^jj++++=unknown
to ^in++++=to
Jennie ^np+++??+=Jennie.
. ^zz++++=EXTRAWORD
A ^at++++=A
card ^nn++++=card
announced ^vbd+vpub++xvbn+=announced:
: ^zz++++=EXTRAWORD
**maymeys ^nns+++??+=**MAYMEYS
From ^in++++=FROM
Cuba ^np++++=CUBA
75 ^cd++++=75
Cents ^nns++++=CENTS
Each** ^np+++??+=EACH**
Jennie ^np+++??+=Jennie
stared ^vbd+++xvbn+=stared.
. ^zz++++=EXTRAWORD
" ^zz++++="Maymeys,"
maymeys ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
whispered ^vbd+vpub++xvbnx+=whispered.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+aux++=had
never ^rb++splt++=never
seen ^vprf+++xvbnx+=seen
a ^at++++=a
maymey ^nn+++??+=maymey.
. ^zz++++=EXTRAWORD
Neither ^dt++neg++=Neither,
, ^zz++++=EXTRAWORD
perhaps ^rb+cnj+++=perhaps,
, ^zz++++=EXTRAWORD
have ^vb+hv+vrb++=have
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
not ^xnot++not++=not
be ^vb+be+vrb++=be
ashamed ^jj+pred+++=ashamed.
. ^zz++++=EXTRAWORD
Civilisation ^nn+nom+++=Civilisation
advances ^nns+nom+++=advances
so ^rb++++=so
rapidly ^rb++++=rapidly
that ^cs+sub+++=that
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
impossible ^jj+pred+++=impossible
for ^in++++=for
the ^ati++++=the
ordinary ^jj+atrb+++=ordinary
citizen ^nn++++=citizen
to ^to++++=to
keep ^vbi++++=keep
up ^rb+phrv+++=up
with ^in+ppvb+++=with
all ^abn++++=all
the ^ati++++=the
things ^nns++++=things
he ^pp3a+pp3+++=he
cannot ^md+pos+not++=cannot
afford ^vb++++=afford.
. ^zz++++=EXTRAWORD
Seventy ^cd++++=Seventy-five
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
cents ^nns++++=cents
each ^ppls++++=each!
! ^zz++++=EXTRAWORD
Three ^cd++++=Three-quarters
- ^zz++++=EXTRAWORD
quarters ^nns+nom+++=EXTRAWORD
of ^in++++=of
a ^at++++=a
dollar ^nn++++=dollar
for ^in++++=for
one ^cd1++++=one
lump ^nn++++=lump
of ^in++++=of
tropical ^jj+atrb+++=tropical
flesh ^nn++++=flesh
imported ^vbd+++xvbn+=imported
from ^in++++=from
Cuba ^np++++=Cuba,
, ^zz++++=EXTRAWORD
carried ^xvbn+++xvbn+=carried
by ^in++++=by
boat ^nn++++=boat
and ^cc++++=and
train ^nn++++=train,
, ^zz++++=EXTRAWORD
packed ^j+++xvbn+=packed
in ^in++++=in
straw ^nn++++=straw,
, ^zz++++=EXTRAWORD
guarded ^j+++xvbn+=guarded
from ^in++++=from
frost ^nn++++=frost,
, ^zz++++=EXTRAWORD
arranged ^vpbn+vsua++xvbn+=arranged
upon ^in++++=upon
silver ^nn++++=silver,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
illuminated ^vpsv++by+xvbn+=illuminated
by ^in++++=by
six ^cd++++=six
electric ^jj+atrb+++=electric
bulbs ^nns++++=bulbs
while ^cs+sub+++=while
Jennie ^np+++??+=Jennie
had ^vb+hv+vrb++=had
four ^cd++++=four
cents ^nns++++=cents
and ^cc++++=and
an ^at++++=an
emptiness ^nns+nom+++=emptiness
that ^tht+rel+subj++=that
hurt ^vbd+++xvbn+=hurt
her ^pp$+pp3+++=her
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
breathed ^vbd+++xvbnx+=breathed.
. ^zz++++=EXTRAWORD
The ^ati++++=The
wantonness ^nns+nom+++=wantonness
of ^in++++=of
it ^pp3+it+++=it!
! ^zz++++=EXTRAWORD
One ^cd1++++=One
maymey ^nn+++??+=maymey
would ^md+prd+++=would
have ^vb+hv+aux++=have
bought ^vprf+++xvbnx+=bought
bread ^nn++++=bread,
, ^zz++++=EXTRAWORD
milk ^nn++++=milk,
, ^zz++++=EXTRAWORD
oatmeal ^nn++++=oatmeal,
, ^zz++++=EXTRAWORD
potatoes ^nns++++=potatoes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
perhaps ^rb++++=perhaps
a ^rb++++=a
little ^rb"++++=little
dripping ^jj+++xvbg+=dripping.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
maymey ^nn+++??+=maymey
would ^md+prd+++=would
have ^vb+hv+aux++=have
quieted ^vprf+++xvbnx+=quieted
the ^ati++++=the
animal ^nn++++=animal
for ^in++++=for
two ^cd++++=two
days ^nns++++=days.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
there ^rn+pl+++=there
they ^pp3a+pp3+++=they
rested ^vbd+++xvbnx+=rested,
, ^zz++++=EXTRAWORD
six ^cd++++=six
idle ^jj+atrb+++=idle
foreigners ^nns+nom+++=foreigners,
, ^zz++++=EXTRAWORD
doing ^vbg+++xvbg+=doing
nothing ^pn++++=nothing
useful ^jj++++=useful,
, ^zz++++=EXTRAWORD
waiting ^vbg+++xvbg+=waiting
for ^in++++=for
some ^dti++++=some
gentleman ^nn+nom+++=gentleman
whose ^whp+rel+obj++=whose
dinner ^nn++++=dinner
required ^vbd+++xvbn+=required
a ^at++++=a
comic ^jj+atrb+++=comic
epilogue ^nn++++=epilogue.
. ^zz++++=EXTRAWORD
The ^ati++++=The
nearest ^jjt+atrb+++=nearest
maymey ^nn+++??+=maymey
appeared ^vbd+seem++xvbn+=appeared
to ^to+vcmp+++=to
swell ^vbi++++=swell
under ^in++++=under
Jennie ^np++++=Jennie's
's ^$++++=EXTRAWORD
gaze ^nn++++=gaze.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
skin ^nn++++=skin
seemed ^vbd+seem++xvbn+=seemed
warm ^jj++++=warm.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
imagined ^vbd+vprv++xvbnx+=imagined
cutting ^nvbg+++xvbg+=cutting
it ^pp3+it+++=it
though ^cs+sub+++=though
she ^pp3a+pp3+++=she
did ^vbd+dod+aux++=did
not ^xnot++not++=not
know ^vb+vprv+++=know
whether ^cs+who+++=whether
one ^cd1++++=one
cut ^xvbn+++xvbn+=cut
maymeys ^nns+++??+=maymeys
imagined ^vbd+vprv++xvbn+=imagined
juice ^nn++++=juice
running ^vwbg+++xvbg+=running
over ^in++++=over
her ^pp$+pp3+++=her
fingers ^nns+nom+++=fingers,
, ^zz++++=EXTRAWORD
imagined ^jj+atrb++xvbn+=imagined
sweetness ^nns+nom+++=sweetness
thick ^jj++++=thick
as ^in++++=as
honey ^nn++++=honey.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
fruit ^nn++++=fruit
moved ^vbd+++xvbn+=moved.
. ^zz++++=EXTRAWORD
Naturally ^rb++++=Naturally
it ^pp3+it+++=it
did ^vbd+dod+aux++=did
not ^xnot++not++=not
move ^vb++++=move.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
hunger ^nn++++=hunger
is ^vbz+bez+vrb++=is
a ^at++++=a
stage ^nn++++=stage
manager ^nn++++=manager
with ^in++++=with
a ^at++++=a
taste ^nn++++=taste
for ^in++++=for
effects ^nns++++=effects.
. ^zz++++=EXTRAWORD
The ^ati++++=The
maymeys ^nns+++??+=maymeys
leaned ^vbd+++xvbn+=leaned
forward ^rb++++=forward.
. ^zz++++=EXTRAWORD
The ^ati++++=The
oranges ^nns++++=oranges
winked ^vbd+++xvbn+=winked.
. ^zz++++=EXTRAWORD
A ^at++++=A
pineapple ^nn++++=pineapple
raised ^vbd+++xvbn+=raised
its ^pp$+it+++=its
green ^jj+atrb+++=green
crest ^nn++++=crest
in ^in++++=in
derision ^nn++++=derision.
. ^zz++++=EXTRAWORD
The ^ati++++=The
whole ^jj+atrb+++=whole
display ^nn++++=display
became ^vbd+++xvbn+=became
a ^at++++=a
second ^od++++=second
feast ^nn++++=feast
of ^in++++=of
Tantalus ^np+++??+=Tantalus,
, ^zz++++=EXTRAWORD
except ^cs+sub+++=except
that ^cs"++++=that
Tantalus ^np+++??+=Tantalus,
, ^zz++++=EXTRAWORD
having ^vbg+hvg++xvbg+=having
connections ^nns+nom+++=connections
in ^in++++=in
mythology ^nn++++=mythology,
, ^zz++++=EXTRAWORD
at ^rb++++=at
least ^rb"++++=least
secured ^vbd+++xvbn+=secured
permanent ^jj+atrb+++=permanent
publicity ^nn+nom+++=publicity.
. ^zz++++=EXTRAWORD
A ^at++++=A
clerk ^nn++++=clerk
inside ^jjb+atrb+++=inside
noticed ^jj+++xvbn+=noticed
Jennie ^np+++??+=Jennie
and ^cc++++=and
tapped ^vbd+++xvbn+=tapped
the ^ati++++=the
glass ^nn++++=glass.
. ^zz++++=EXTRAWORD
" ^zz++++="Move
move ^vb++++=EXTRAWORD
along ^in+strn+++=along,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
mouthed ^vbd+++xvbnx+=mouthed.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
moved ^vbd+++xvbnx+=moved.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
corner ^nn++++=corner
she ^pp3a+pp3+++=she
addressed ^vbd+++xvbnx+=addressed
a ^at++++=a
