# ^zz++++=#
Something ^pn++++=SOMETHING
do ^vb+do+vrb++=do
not ^xnot++not++=not
love ^nn++++=love,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
Jerry ^np++++=Jerry
gave ^vbd+++xvbn+=gave
a ^at++++=a
short ^jj+atrb+++=short,
, ^zz++++=EXTRAWORD
exasperated ^jj+atrb+++=exasperated
laugh ^nn++++=laugh.
. ^zz++++=EXTRAWORD
" ^zz++++="People
people ^nns++++=EXTRAWORD
say ^vb+vpub+++=say
that ^tht+vcmp+++=that
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
have ^vb+hv+vrb++=have
a ^at++++=a
hundred ^cd++++=hundred
a ^at++++=a
year ^nn++++=year
and ^cc++++=and
an ^at++++=an
aunt ^nn++++=aunt
in ^in++++=in
Cheltenham ^np++++=Cheltenham.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
have ^vb+hv+vrb++=haven't
n't ^xnot++not++0=EXTRAWORD
either ^dtx++++=either.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
have ^vb+hv+vrb++=have
seven ^cd++++=seven
shillings ^nns+nom+++=shillings,
, ^zz++++=EXTRAWORD
an ^at++++=an
unpaid ^jj+atrb+++=unpaid
bill ^nn++++=bill,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
railway ^nn++++=railway
that ^tht+rel+subj++=that
begins ^vbz++++=begins
nowhere ^rb+pl+++=nowhere
and ^cc++++=and
ends ^nns++++=ends
in ^in++++=in
a ^at++++=a
bog ^nn++++=bog."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
put ^vbd+++xvbn+=put
the ^ati++++=the
money ^nn++++=money
into ^in++++=into
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
yes ^uh++++=yes!
! ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
need ^vb++++=needn't
n't ^xnot++not++0=EXTRAWORD
remind ^vb++++=remind
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
did ^vbd+dod+aux++=did
not ^xnot++not++=not
mean ^vb+vprv+++=mean
" ^zz++++="
" ^zz++++="Of
of ^in+emph+++=EXTRAWORD
course ^nn+emph"+++=course
you ^pp2+pp2+++=you
did ^vbd+dod+vrb++=did
not ^xnot++not++=not."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
tone ^nn++++=tone
softened ^vbd+++xvbn+=softened
immediately ^rb+tm+++=immediately.
. ^zz++++=EXTRAWORD
Jerry ^np++++=Jerry
could ^md+pos+++=could
never ^rb++splt++=never
remain ^vb++++=remain
angry ^jj++++=angry
with ^in++++=with
Violet ^nn++++=Violet
for ^in++++=for
more ^rbr++++=more
than ^in++++=than
a ^at++++=a
minute ^nn++++=minute.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
twins ^nns++++=twins,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
since ^cs+sub+++=since
childhood ^nn+nom+++=childhood
her ^pp$+pp3+++=her
distress ^nns+nom+++=distress
had ^vbd+hvd+aux++=had
possessed ^vprf+++xvbnx+=possessed
for ^in++++=for
him ^pp3o+pp3+++=him
the ^ati++++=the
force ^nn++++=force
of ^in++++=of
a ^at++++=a
command ^nn++++=command.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
crossed ^vbd+++xvbnx+=crossed
the ^ati++++=the
hearthrug ^nn++++=hearthrug
and ^cc++++=and
caught ^vbd+++xvbn+=caught
her ^pp$+pp3+++=her
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
" ^zz++++="Little
little ^ap++++=EXTRAWORD
Vi ^np+++??+=Vi,
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
look ^vb++++=look
like ^in++++=like
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+tht0++=know
I ^pp1a+pp1+++=I
made ^vbd+++xvbnx+=made
a ^at++++=a
fool ^nn++++=fool
of ^in++++=of
the ^ati++++=the
thing ^nn++++=thing.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
how ^wrb+who+whq++=how
was ^vbd+bedz+vrb++=was
I ^pp1a+pp1+++=I
to ^to++++=to
guess ^vbi++++=guess
that ^tht+vcmp+++=that
old ^jj+atrb+++=old
Prendergast ^np+++??+=Prendergast
would ^md+prd+++=would
die ^vb++++=die,
, ^zz++++=EXTRAWORD
the ^ati++++=the
board ^nn++++=board
quarrel ^nn++++=quarrel,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Government ^nn+nom+++=Government
refuse ^nn++++=refuse
the ^ati++++=the
concession ^nn++++=concession?
? ^zz++++=EXTRAWORD
Everyone ^pn++++=Everyone
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
San ^np++++=San
Marco ^np+++??+=Marco
and ^cc++++=and
Northern ^np++++=Northern
was ^vbd+bedz+vrb++=was
a ^at++++=a
certainty ^nn++++=certainty."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Everyone
everyone ^pn++++=EXTRAWORD
except ^in++++=except
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Kenyon ^np++++=Kenyon."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jerry ^np++++=Jerry
released ^vwbn+++xvbn+=released
her ^pp$+pp3+++=her
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
hardly ^rb+down+++=hardly
fair ^jj+pred+++=fair.
. ^zz++++=EXTRAWORD
Kenyon ^np+++??+=Kenyon
said ^vbd+vpub+tht0+xvbn+=said
it ^pp3+it+++=it
wanted ^vbd+++xvbn+=wanted
capital ^nn++++=capital.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+aux++=did
not ^xnot++not++=not
say ^vb+vpub+tht0++=say
it ^pp3+it+++=it
would ^md+prd+++=would
fail ^vb++++=fail."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
advised ^vbd+vpub+tht0+xvbnx+=advised
you ^pp2+pp2+++=you
not ^xnot++not++=not
to ^to++++=to
invest ^vbi++++=invest."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what
of ^in++++=of
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
can ^md+pos+++=can
afford ^vb++++=afford
to ^to+vcmp+++=to
be ^vbi++vrb++=be
right ^jj+pred+++=right."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Violet ^jj++++=Violet
turned ^jj+++xvbn+=turned
her ^pp$+pp3+++=her
face ^nn++++=face
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
The ^ati++++=The
movement ^nn+nom+++=movement
was ^vbd+bedz+vrb++=was
instinctive ^jj+pred+++=instinctive,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Jerry ^np++++=Jerry
saw ^vbd+vprv++xvbn+=saw
it ^pp3+it+++=it
and ^cc++++=and
pressed ^vbd+++xvbn+=pressed
his ^pp$+pp3+++=his
advantage ^nn+nom+++=advantage.
. ^zz++++=EXTRAWORD
" ^zz++++="Dick
dick ^np++++=EXTRAWORD
Kenyon ^np+++??+=Kenyon
has ^vbz+hvz+vrb++=has
forty ^cd++++=forty
thousand ^cd++++=thousand
a ^at++++=a
year ^nn++++=year,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Perhaps
perhaps ^rb++++=EXTRAWORD
fifty ^cd++++=fifty.
. ^zz++++=EXTRAWORD
Nobody ^pn++++=Nobody
knows ^vbz+vprv+++=knows.
. ^zz++++=EXTRAWORD
Mines ^nns++++=Mines
in ^in++++=in
Arizona ^np++++=Arizona,
, ^zz++++=EXTRAWORD
cattle ^nns++++=cattle
somewhere ^rb++++=somewhere
else ^rb+cnj+++=else,
, ^zz++++=EXTRAWORD
shipping ^nn++++=shipping
interests ^nns++++=interests,
, ^zz++++=EXTRAWORD
half ^abn++++=half
a ^at++++=a
town ^nn++++=town
named ^vbd+++xvbn+=named
after ^cs+sub+++=after
him ^pp3o+pp3+++=him
" ^zz++++="
" ^zz++++="And
and ^cc++++=EXTRAWORD
you ^pp2+pp2+++=you
think ^vb+vprv+tht0++=think
that ^tht+vcmp+++=that
is ^vbz+bez+vrb++=is
a ^at++++=a
reason ^nn++++=reason
why ^wrb+who+++=why
I ^pp1a+pp1+++=I
should ^md+nec+++=should
marry ^vb++++=marry
him ^pp3o+pp3+++=him?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
think ^vb+vprv+tht0++=think
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
a ^at++++=a
reason ^nn++++=reason
why ^wrb+who+++=why
you ^pp2+pp2+++=you
should ^md+nec+++=should
not ^xnot++not++=not
dismiss ^vb++++=dismiss
him ^pp3o+pp3+++=him
because ^cs+cos+++=because
his ^pp$+pp3+++=his
shoulders ^nns+nom+++=shoulders
are ^vb+ber+vrb++=are
too ^ql++++=too
broad ^jj++++=broad
and ^cc++++=and
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
too ^rb++++=too
sleepy ^jj++++=sleepy."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+vrb++=do
not ^xnot++not++=not
dislike ^nn++++=dislike
him ^pp3o+pp3+++=him
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
ugly ^jj+pred+++=ugly."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
why ^wrb+who+++=why
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
dislike ^nn++++=dislike
him ^pp3o+pp3+++=him?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
silent ^jj+pred+++=silent.
. ^zz++++=EXTRAWORD
Jerry ^np++++=Jerry
regarded ^vwbn+++xvbn+=regarded
her ^pp$+pp3+++=her
with ^in++++=with
the ^ati++++=the
merciless ^jj+atrb+++=merciless
shrewdness ^nns+nom+++=shrewdness
of ^in++++=of
an ^at++++=an
affectionate ^jj+atrb+++=affectionate
brother ^nn++++=brother.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
triumphantly ^rb++++=triumphantly.
. ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
truth ^nn++++=truth.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
frightens ^nns+++??+=frightens
you ^pp2+pp2+++=you
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
never ^rb++++=never
chatters ^nns+nom+++=chatters
and ^cc++++=and
bows ^nns++++=bows
and ^cc++++=and
plays ^nns++++=plays
the ^ati++++=the
fool ^nn++++=fool
like ^in++++=like
the ^ati++++=the
men ^nns++++=men
you ^pp2+pp2+++=you
used ^md"++pmd"++=used
to ^to++++=to
meet ^vb++++=meet.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
sits ^vbz++++=sits
still ^jj+pred+++=still
and ^cc++++=and
looks ^nns++++=looks
at ^rb++++=at
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
the ^ati++++=the
whole ^nn++++=whole
of ^in++++=of
his ^pp$+pp3+++=his
crime ^nn++++=crime."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
looks ^vbz++++=looks
as ^cs+sub+++=as
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew
what ^wdt+who+whcl++=what
one ^cd1++++=one
were ^vbd+bed+aux++=were
going ^md"++pmd"++=going
to ^md+prd+++=to
say ^vb+vpub+++=say
before ^cs+sub+++=before
one ^cd1++++=one
said ^vbd+vpub+tht0+xvbn+=said
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Probably
probably ^rb++++=EXTRAWORD
he ^pp3a+pp3+++=he
does ^vbz+doz+vrb++=does.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
is ^vbz+bez+vrb++=is
a ^at++++=a
clever ^jj++++=clever
fellow ^jjb++++=fellow."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
it ^pp3+it+++=it
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
greatly ^rb+amp+++=greatly
matter ^vb++++=matter
whether ^cs+who+++=whether
one ^cd1++++=one
said ^vbd+vpub++xvbn+=said
it ^pp3+it+++=it
at ^rb++++=at
all ^abn++++=all."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Nonsense!
nonsense ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
in ^in++++=in
love ^nn++++=love
with ^in++++=with
you ^pp2+pp2+++=you
for ^in++++=for
six ^cd++++=six
months ^nns++++=months."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Violet ^jj++++=Violet
shivered ^jj+++xvbn+=shivered.
. ^zz++++=EXTRAWORD
" ^zz++++="Don't,
do ^vb+do+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
, ^zz++++=EXTRAWORD
Jerry ^np++++=Jerry!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
am ^vb+bem+vrb++=am
I ^pp1a+pp1+++=I
to ^to++++=to
do ^vbi++++=do?
? ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
cannot ^md+pos+not++=cannot
live ^vb++++=live
on ^in++++=on
air ^nn++++=air.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
might ^md+pos+++=might
get ^vb++++=get
a ^at++++=a
clerkship ^nn+nom+++=clerkship,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
eighty ^cd++++=eighty
pounds ^nns++++=pounds
a ^at++++=a
year ^nn++++=year,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
anyone ^pn++++=anyone
will ^md+prd+++=will
take ^vb++++=take
a ^at++++=a
man ^nn++++=man
who ^whp+rel+subj++=who
knows ^vbz+vprv+++=knows
horses ^nns++++=horses
better ^jjr++++=better
than ^in++++=than
ledgers ^nns+nom+++=ledgers.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
could ^md+pos+++=could
teach ^vb+vsua+++=teach
music ^nn++++=music
to ^in++++=to
horrible ^jj+atrb+++=horrible
children ^nns++++=children
at ^in++++=at
two ^cd++++=two
shillings ^nns+nom+++=shillings
an ^at++++=an
hour ^nn++++=hour.
. ^zz++++=EXTRAWORD
Between ^in++++=Between
us ^pp1o+pp1+++=us
we ^pp1a+pp1+++=we
might ^md+pos+++=might
keep ^vb++++=keep
body ^nn++++=body
and ^cc++++=and
soul ^nn++++=soul
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
neither ^dt++neg++=neither
of ^in++++=of
us ^pp1o+pp1+++=us
fell ^vbd+++xvbn+=fell
ill ^jj++++=ill
and ^cc++++=and
our ^pp$+pp1+++=our
boots ^nns++++=boots
lasted ^vbd+++xvbn+=lasted
for ^rb++++=for
ever ^rb"++++=ever."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
willing ^jj+pred+++=willing."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
not ^xnot++not++=not."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
hands ^nns++++=hands
descended ^vbd+++xvbn+=descended
upon ^in++++=upon
her ^pp$+pp3+++=her
shoulders ^nns+nom+++=shoulders.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
affection ^nn+nom+++=affection
in ^in++++=in
the ^ati++++=the
grasp ^nn++++=grasp,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
also ^rb++++=also
the ^ati++++=the
impatient ^jj+atrb+++=impatient
mastery ^nn+nom+++=mastery
of ^in++++=of
one ^cd1++++=one
who ^whp+rel+subj++=who
had ^vb+hv+aux++=had
always ^rb++splt++=always
decided ^vprf+++xvbnx+=decided
for ^in++++=for
them ^pp3o+pp3+++=them
both ^abx++++=both.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+aux++=are
not ^xnot++not++=not
made ^vbd+++xvbn+=made
for ^in+ppvb+++=for
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
think ^vb+vprv+tht0++=think
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
never ^rb++splt++=never
tried ^vprf+++xvbnx+=tried.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
would ^md+prd+++=would
grow ^vb++++=grow
thin ^jj++++=thin
and ^cc+phrs+++=and
shabby ^jj++++=shabby.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
would ^md+prd+++=would
sit ^vb++++=sit
in ^in++++=in
underground ^jjb+atrb+++=underground
trains ^nns++++=trains
with ^in++++=with
your ^pp$+pp2+++=your
music ^nn++++=music-roll
- ^zz++++=EXTRAWORD
roll ^nn++++=EXTRAWORD
on ^in++++=on
your ^pp$+pp2+++=your
knees ^nns++++=knees.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
would ^md+prd+++=would
smile ^vb++++=smile
at ^rb++++=at
insolent ^jj+atrb+++=insolent
women ^nns++++=women
and ^cc++++=and
coax ^vb++++=coax
stupid ^jj+atrb+++=stupid
children ^nns++++=children.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
I ^pp1a+pp1+++=I
should ^md+nec+++=should
know ^vb+vprv+++=know
that ^tht+vcmp+++=that
one ^cd1++++=one
word ^nn++++=word
from ^in++++=from
you ^pp2+pp2+++=you
could ^md+pos+++=could
have ^vb+hv+aux++=have
saved ^vprf+++xvbnx+=saved
us ^pp1o+pp1+++=us
both ^abx++++=both."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Saved
saved ^vbd+++xvbn+=EXTRAWORD
us ^pp1o+pp1+++=us
both ^abx++++=both!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
repeated ^vbd+++xvbnx+=repeated
faintly ^rb++++=faintly.
. ^zz++++=EXTRAWORD
Jerry ^np++++=Jerry
coloured ^vbd+++xvbn+=coloured,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
retreat ^nn++++=retreat.
. ^zz++++=EXTRAWORD
" ^zz++++="Well
well ^rb++++=EXTRAWORD
yes ^nn++++=yes.
. ^zz++++=EXTRAWORD
Kenyon ^np+++??+=Kenyon
offered ^vbd+++xvbn+=offered
me ^pp1o+pp1+++=me
a ^at++++=a
place ^nn++++=place
in ^in++++=in
one ^pn++++=one
of ^in++++=of
his ^pp$+pp3+++=his
London ^np++++=London
companies ^nns++++=companies
if ^cs+cnd+++=if
if ^cs+cnd+++=if
things ^nns++++=things
came ^vbd+++xvbn+=came
right ^nn++++=right
between ^in++++=between
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="So
so ^ql++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No!
no ^at++++=EXTRAWORD
! ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
as ^in++++=as
payment ^nn+nom+++=payment.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
is ^vbz+bez+vrb++=isn't
n't ^xnot++not++0=EXTRAWORD
that ^dt+dem+++=that
sort ^nn++++=sort.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
merely ^rb+down+++=merely
knows ^vbz+vprv+tht0++=knows
I ^pp1a+pp1+++=I
need ^nn++++=need
work ^nn++++=work."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
