**to ^nn+++??+=**TO
after ^cs+sub+++=after
the ^ati++++=the
object ^nn++++=object
itself ^ppl++++=itself
has ^vbz+hvz+aux++=has
vanished ^vprf+++xvbnx+=vanished;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
may ^md+pos+++=may
confer ^vb++++=confer
dignity ^nn+nom+++=dignity
upon ^in++++=upon
insignificance ^nn+nom+++=insignificance,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
bring ^vb++++=bring
the ^ati++++=the
most ^ql+emph+++=most
respectable ^jj+atrb+++=respectable
reality ^nn+nom+++=reality
into ^in++++=into
perpetual ^jj+atrb+++=perpetual
ridicule ^nn++++=ridicule.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Shandy ^np++++=Shandy,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
recollect ^vb+vprv+++=recollect
him ^pp3o+pp3+++=him
rightly ^rb+cnj+++=rightly,
, ^zz++++=EXTRAWORD
held ^vb+++xvbn+=held
that ^tht+vcmp+++=that
the ^ati++++=the
fortunes ^nns++++=fortunes
of ^in++++=of
a ^at++++=a
child ^nn++++=child
might ^md+pos+++=might
be ^vb+be+aux++=be
elevated ^vpsv++agls+xvbnx+=elevated
or ^cc+phrs+++=or
blasted ^vpsv++by+xvbn+=blasted
by ^in++++=by
the ^ati++++=the
syllables ^nns++++=syllables
imposed ^vbd+++xvbn+=imposed
upon ^in++++=upon
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Though ^cs+sub+++=Though
his ^pp$+pp3+++=his
philosophy ^nn++++=philosophy
may ^md+pos+++=may
have ^vb+hv+aux++=have
run ^vprf+++xvbnx+=run
somewhat ^rb+down+++=somewhat
too ^rb++++=too
far ^rb+pl+++=far
into ^in++++=into
the ^ati++++=the
clouds ^nns++++=clouds,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
sound ^jj+atrb+++=sound
observation ^nn+nom+++=observation
at ^in++++=at
the ^ati++++=the
bottom ^nn++++=bottom
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Present ^vb++++=Present
two ^cd++++=two
strangers ^nns+nom+++=strangers
to ^in++++=to
your ^pp$+pp2+++=your
imagination ^nn+nom+++=imagination
an ^at++++=an
Orlando ^np++++=Orlando
Montrose ^np++++=Montrose
and ^cc++++=and
an ^at++++=an
Ebenezer ^np+nom++??+=Ebenezer
Snubbs ^np+++??+=Snubbs.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
either ^dtx++++=either
has ^vbz+hvz+aux++=has
entered ^vprf+++xvbnx+=entered
the ^ati++++=the
room ^nn++++=room,
, ^zz++++=EXTRAWORD
Orlando ^np++++=Orlando
comes ^vbz++++=comes
sweeping ^jj+++xvbg+=sweeping
in ^in++++=in
with ^in++++=with
plumes ^nns+++??+=plumes,
, ^zz++++=EXTRAWORD
ancestry ^nn++++=ancestry,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
melancholy ^jj+atrb+++=melancholy
passion ^nn++++=passion;
; ^zz++++=EXTRAWORD
while ^cs+sub+++=while
poor ^jj+atrb+++=poor
Snubbs ^np+++??+=Snubbs
appears ^vbz+seem+++=appears
with ^in++++=with
ink ^nn++++=ink
upon ^in++++=upon
his ^pp$+pp3+++=his
fingers ^nns+nom+++=fingers
and ^cc++++=and
an ^at++++=an
unpaid ^jj+atrb+++=unpaid
tavern ^nn++++=tavern
account ^nn++++=account
in ^in++++=in
his ^pp$+pp3+++=his
pocket ^nn++++=pocket.
. ^zz++++=EXTRAWORD
The ^ati++++=The
actual ^jj+atrb+++=actual
Orlando ^np++++=Orlando
may ^md+pos+++=may
be ^vb+be+vrb++=be
a ^at++++=a
dealer ^nn++++=dealer
in ^in++++=in
candles ^nns++++=candles,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Snubbs ^np+++??+=Snubbs
a ^at++++=a
hero ^nn++++=hero;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
fancy ^nn++++=fancy
has ^vbz+hvz+aux++=has
given ^vprf+++xvbnx+=given
judgment ^nn+nom+++=judgment
before ^cs+sub+++=before
evidence ^nn+nom+++=evidence
can ^md+pos+++=can
be ^vb+be+aux++=be
heard ^vpsv++agls+xvbnx+=heard.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
names ^nns++++=names
exercise ^vb++++=exercise
this ^dt+dem+++=this
tyranny ^nn++++=tyranny
over ^in++++=over
individuals ^nns+nom+++=individuals,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
much ^ap++++=much
more ^rbr++++=more
potent ^jj++++=potent
must ^md+nec+++=must
they ^pp3a+pp3+++=they
be ^vb+be+aux++=be
when ^wrb+who+++=when
fastened ^vprf+++xvbn+=fastened
upon ^in++++=upon
mountains ^nns++++=mountains,
, ^zz++++=EXTRAWORD
rivers ^nns++++=rivers,
, ^zz++++=EXTRAWORD
lakes ^nns++++=lakes,
, ^zz++++=EXTRAWORD
valleys ^nns++++=valleys,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cities ^nns++++=cities!
! ^zz++++=EXTRAWORD
A ^at++++=A
landscape ^nn++++=landscape
is ^vbz+bez+aux++=is
not ^xnot++not++=not
made ^vbd+++xvbn+=made
altogether ^nn+nom+++=altogether
of ^in++++=of
earth ^nn++++=earth
and ^cc++++=and
water ^nn++++=water.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+aux++=is
composed ^vpsv++agls+xvbnx+=composed
partly ^rb+down+++=partly
of ^in++++=of
recollection ^nn+nom+++=recollection,
, ^zz++++=EXTRAWORD
partly ^rb+down+++=partly
of ^in++++=of
poetry ^nn++++=poetry,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
partly ^rb+down+++=partly
of ^in++++=of
those ^dt+dem+++=those
venerable ^jj+atrb+++=venerable
sounds ^nns++++=sounds
by ^in++++=by
which ^whp+rel+pied++=which
generations ^nns+nom+++=generations
have ^vb+hv+aux++=have
summoned ^vprf+++xvbnx+=summoned
it ^pp3+it+++=it
before ^in++++=before
the ^ati++++=the
mind ^nn++++=mind.
. ^zz++++=EXTRAWORD
Troy ^np+++??+=Troy,
, ^zz++++=EXTRAWORD
without ^in++++=without
Homer ^np++++=Homer,
, ^zz++++=EXTRAWORD
might ^md+pos+++=might
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
an ^at++++=an
inconsiderable ^jj+atrb+++=inconsiderable
heap ^nn++++=heap;
; ^zz++++=EXTRAWORD
yet ^rb++++=yet
who ^whp+who+whq++=who
can ^md+pos+++=can
hear ^vb+vprv+++=hear
its ^pp$+it+++=its
name ^nn++++=name
and ^cc++++=and
not ^xnot++not++=not
behold ^vb++++=behold
towers ^nns++++=towers,
, ^zz++++=EXTRAWORD
helmets ^nns++++=helmets,
, ^zz++++=EXTRAWORD
flames ^nns++++=flames,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
sorrowful ^jj+atrb+++=sorrowful
shade ^nn++++=shade
of ^in++++=of
Hector ^np+++??+=Hector?
? ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
syllables ^nns++++=syllables
which ^whp+rel+subj++=which
contain ^vb++++=contain
whole ^jj+atrb+++=whole
histories ^nns++++=histories,
, ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
seed ^nn++++=seed
contains ^vbz++++=contains
the ^ati++++=the
future ^jjb+atrb+++=future
forest ^nn++++=forest.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
on ^in++++=on
this ^dt+dem+++=this
account ^nn++++=account,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Editor ^np++++=Editor,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
contemplate ^nn+nom+++=contemplate
the ^ati++++=the
nomenclature ^nn++++=nomenclature
of ^in++++=of
our ^pp$+pp1+++=our
country ^nn++++=country
with ^in++++=with
mingled ^jj+atrb++xvbn+=mingled
grief ^nn++++=grief
and ^cc++++=and
apprehension ^nn++++=apprehension.
. ^zz++++=EXTRAWORD
Nature ^nn++++=Nature
has ^vbz+hvz+aux++=has
performed ^vprf+++xvbnx+=performed
her ^pp$+pp3+++=her
part ^nn++++=part
magnificently ^rb++++=magnificently.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
has ^vbz+hvz+aux++=has
poured ^vprf+++xvbnx+=poured
out ^rp+pl+++=out
rivers ^nns++++=rivers
that ^tht+rel+subj++=that
might ^md+pos+++=might
bear ^vb+vprv+++=bear
the ^ati++++=the
commerce ^nn++++=commerce
of ^in++++=of
kingdoms ^nns+nom+++=kingdoms;
; ^zz++++=EXTRAWORD
lifted ^jj+atrb++xvbn+=lifted
mountains ^nns++++=mountains
worthy ^jj++++=worthy
to ^to++++=to
become ^vbi++++=become
the ^ati++++=the
thrones ^nns+++??+=thrones
of ^in++++=of
legend ^nn++++=legend;
; ^zz++++=EXTRAWORD
spread ^jj+atrb++xvbn+=spread
lakes ^nns++++=lakes
broad ^jj++++=broad
enough ^qlp++++=enough
to ^in++++=to
have ^vbi++vrb++=have
inland ^jjb+atrb+++=inland
tempests ^nns++++=tempests
and ^cc++++=and
moonlit ^nn+++??+=moonlit
solitudes ^nns+++??+=solitudes
of ^in++++=of
their ^pp$+pp3+++=their
own ^ap++++=own;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
we ^pp1a+pp1+++=we
her ^pp$+pp3+++=her
officious ^jj+atrb+++=officious
godfathers ^nns+nom+++=godfathers
advance ^nn+nom+++=advance
with ^in++++=with
a ^at++++=a
surveyor ^nn++++=surveyor's
's ^$++++=EXTRAWORD
chain ^nn++++=chain
in ^in++++=in
one ^cd1++++=one
hand ^nn++++=hand
and ^cc++++=and
a ^at++++=a
poll ^nn++++=poll-list
- ^zz++++=EXTRAWORD
list ^nn++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
other ^ap++++=other,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
christen ^vb+++xvbn+=christen
these ^dt+pdem+++=these
wonders ^nns+nom+++=wonders
after ^cs+sub+++=after
the ^ati++++=the
first ^rb++++=first
alderman ^nn+nom+++=alderman
who ^whp+rel+subj++=who
has ^vbz+hvz+aux++=has
treated ^vprf+++xvbnx+=treated
us ^pp1o+pp1+++=us
to ^in++++=to
dinner ^nn++++=dinner.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
began ^vbd+++xvbn+=began,
, ^zz++++=EXTRAWORD
naturally ^rb++++=naturally
enough ^dt++++=enough,
, ^zz++++=EXTRAWORD
by ^in++++=by
borrowing ^xvbg+++xvbg+=borrowing.
. ^zz++++=EXTRAWORD
The ^ati++++=The
colonist ^nn+nom+++=colonist,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
backward ^jj++++=backward
over ^in++++=over
the ^ati++++=the
ocean ^nn++++=ocean,
, ^zz++++=EXTRAWORD
planted ^xvbn+++xvbn+=planted
the ^ati++++=the
names ^nns++++=names
of ^in++++=of
his ^pp$+pp3+++=his
former ^ap++++=former
habitation ^nn+nom+++=habitation
in ^in++++=in
the ^ati++++=the
wilderness ^nns+nom+++=wilderness,
, ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
homesick ^jj+atrb+++=homesick
traveler ^jjr+atrb+++=traveler
plants ^nns++++=plants
flowers ^nns+nom+++=flowers
from ^in++++=from
his ^pp$+pp3+++=his
native ^jj+atrb+++=native
garden ^nn++++=garden.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
came ^vbd+++xvbn+=came
our ^pp$+pp1+++=our
News ^nn++++=News
New ^jj+atrb+++=New
England ^np++++=England,
, ^zz++++=EXTRAWORD
New ^jj+atrb+++=New
Hampshire ^np++++=Hampshire,
, ^zz++++=EXTRAWORD
New ^jj+atrb+++=New
Jersey ^np++++=Jersey,
, ^zz++++=EXTRAWORD
New ^jj+atrb+++=New
York ^np++++=York,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
whole ^jj+atrb+++=whole
progeny ^nn++++=progeny
of ^in++++=of
renovated ^jj+atrb+++=renovated
antiquities ^nns+nom+++=antiquities.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sentiment ^nn+nom+++=sentiment
was ^vbd+bedz+vrb++=was
amiable ^jj+pred+++=amiable;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
expedient ^jj++++=expedient
has ^vbz+hvz+aux++=has
grown ^vprf+++xvbnx+=grown
stale ^jj++++=stale.
. ^zz++++=EXTRAWORD
" ^zz++++="New"
new ^jj++++=EXTRAWORD
" ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
prefix ^nn++++=prefix
which ^whp+rel+subj++=which
wears ^vbz++++=wears
badly ^rb++++=badly.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
a ^at++++=a
town ^nn++++=town
preserve ^vb++++=preserve
it ^pp3+it+++=it
for ^in++++=for
two ^cd++++=two
centuries ^nns++++=centuries,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
becomes ^vbz++++=becomes
as ^ql++++=as
engagingly ^jj++++=engagingly
juvenile ^jj++++=juvenile
as ^ql++++=as
the ^ati++++=the
ancient ^jj+atrb+++=ancient
colt ^nn++++=colt
in ^in++++=in
the ^ati++++=the
Vicar ^nn++++=Vicar
of ^in++++=of
Wakefield ^np++++=Wakefield.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Pont ^np++++=Pont-Neuf
- ^zz++++=EXTRAWORD
neuf ^nn+++??+=EXTRAWORD
itself ^ppl++++=itself
has ^vbz+hvz+aux++=has
grown ^vprf+++xvbnx+=grown
gray ^np++++=gray
under ^in++++=under
the ^ati++++=the
contradiction ^nn+nom+++=contradiction.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
European ^jj+atrb+++=European
memory ^nn++++=memory
was ^vbd+bedz+aux++=was
exhausted ^vpsv++agls+xvbnx+=exhausted,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
invaded ^vbd+++xvbn+=invaded
classical ^jj+atrb+++=classical
antiquity ^nn+nom+++=antiquity.
. ^zz++++=EXTRAWORD
Greece ^np++++=Greece
and ^cc++++=and
Rome ^np++++=Rome
were ^vbd+bed+aux++=were
laid ^vpsv++agls+xvbnx+=laid
under ^in++++=under
contribution ^nn+nom+++=contribution;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Troy ^np+++??+=Troy,
, ^zz++++=EXTRAWORD
Utica ^np+++??+=Utica,
, ^zz++++=EXTRAWORD
Syracuse ^np+++??+=Syracuse,
, ^zz++++=EXTRAWORD
Athens ^np++++=Athens,
, ^zz++++=EXTRAWORD
Carthage ^np+nom++??+=Carthage,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Rome ^np++++=Rome
were ^vbd+bed+aux++=were
transported ^vpsv++by+xvbnx+=transported
by ^in++++=by
wagon ^nn++++=wagon-loads
- ^zz++++=EXTRAWORD
loads ^nns++++=EXTRAWORD
into ^in++++=into
the ^ati++++=the
back ^jjb+atrb+++=back
settlements ^nns+nom+++=settlements.
. ^zz++++=EXTRAWORD
A ^at++++=A
man ^nn++++=man
may ^md+pos+++=may
breakfast ^vb++++=breakfast
in ^in++++=in
Macedon ^np+++??+=Macedon,
, ^zz++++=EXTRAWORD
dine ^vb++++=dine
in ^in++++=in
Homer ^np++++=Homer,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sleep ^nn++++=sleep
in ^in++++=in
Pompey ^np+++??+=Pompey,
, ^zz++++=EXTRAWORD
without ^in++++=without
having ^nn+nn+aux++=having
encountered ^vwbn+++xvbn+=encountered
a ^at++++=a
ruin ^nn++++=ruin,
, ^zz++++=EXTRAWORD
a ^at++++=a
philosopher ^nn+nom+++=philosopher,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
even ^rb++++=even
a ^at++++=a
tolerable ^jj+atrb+++=tolerable
bust ^nn++++=bust.
. ^zz++++=EXTRAWORD
Lempri ^np+++??+=Lempri
re ^in++++=re
is ^vbz+bez+aux++=is
scattered ^vpsv++agls+xvbnx+=scattered
over ^in++++=over
the ^ati++++=the
map ^nn++++=map
as ^cs+sub+++=as
if ^cs+cnd+++=if
his ^pp$+pp3+++=his
dictionary ^nn+nom+++=dictionary
had ^vbd+hvd+aux++=had
fallen ^vprf+++xvbn+=fallen
from ^in++++=from
a ^at++++=a
stagecoach ^nn+++??+=stagecoach
and ^cc++++=and
been ^vprf+ben+aux+xvbn+=been
blown ^vpsv++agls+xvbnx+=blown
about ^in++++=about
the ^ati++++=the
country ^nn++++=country
leaf ^nn++++=leaf
by ^in++++=by
leaf ^nn++++=leaf.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
came ^vbd+++xvbn+=came
political ^jj+atrb+++=political
gratitude ^nn++++=gratitude
that ^tht+rel+++=that
most ^ql+emph+++=most
industrious ^jj+atrb+++=industrious
manufacturer ^nn+nom+++=manufacturer
of ^in++++=of
appellations ^nns+nom+++=appellations.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
successful ^jj+atrb+++=successful
orator ^nn++++=orator,
, ^zz++++=EXTRAWORD
governor ^npt++++=governor,
, ^zz++++=EXTRAWORD
general ^jj++++=general,
, ^zz++++=EXTRAWORD
contractor ^nn++++=contractor,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dispenser ^nn+nom+++=dispenser
of ^in++++=of
patronage ^nn+nom+++=patronage
must ^md+nec+++=must
have ^vb+hv+vrb++=have
his ^pp$+pp3+++=his
immortality ^nn+nom+++=immortality
measured ^vbd+++xvbn+=measured
into ^in++++=into
lots ^nns++++=lots.
. ^zz++++=EXTRAWORD
Counties ^nns++++=Counties,
, ^zz++++=EXTRAWORD
villages ^nns+nom+++=villages,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
post ^nn++++=post
offices ^nns++++=offices
spring ^nn++++=spring
up ^rp++++=up
behind ^in+pl+++=behind
him ^pp3o+pp3+++=him
like ^in++++=like
mushrooms ^nns++++=mushrooms
after ^in++++=after
rain ^nn++++=rain.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
this ^dt+dem+++=this
fashion ^nn++++=fashion
proceed ^vb++++=proceed
unchecked ^jj++++=unchecked,
, ^zz++++=EXTRAWORD
wo ^&fw++++=wo
unto ^in++++=unto
posterity ^nn+nom+++=posterity!
! ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
shall ^md+prd+++=shall
be ^vb+be+aux++=be
buried ^vpsv++agls+xvbnx+=buried
beneath ^in+pl+++=beneath
Tubbsvilles ^np+++??+=Tubbsvilles,
, ^zz++++=EXTRAWORD
Pottsylvanias ^np+++??+=Pottsylvanias,
, ^zz++++=EXTRAWORD
Higginbotham ^np+++??+=Higginbotham
Counties ^nns++++=Counties,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
districts ^nns++++=districts
dedicated ^vbd+++xvbn+=dedicated
to ^in++++=to
gentlemen ^nns++++=gentlemen
whose ^whp+rel+obj++=whose
fame ^nn++++=fame
never ^rb++++=never
traveled ^jj+++xvbn+=traveled
six ^cd++++=six
miles ^nns++++=miles
beyond ^in++++=beyond
the ^ati++++=the
tavern ^nn++++=tavern
where ^wrb+who+++=where
their ^pp$+pp3+++=their
nomination ^nn+nom+++=nomination
was ^vbd+bedz+aux++=was
arranged ^vpsv++agls+xvbnx+=arranged.
. ^zz++++=EXTRAWORD
Nor ^cc+cls+neg++=Nor
is ^vbz+bez+vrb++=is
vulgar ^jj+atrb+++=vulgar
description ^nn+nom+++=description
less ^rbr++++=less
active ^jj++++=active.
. ^zz++++=EXTRAWORD
Because ^cs+cos+++=Because
a ^at++++=a
bay ^nn++++=bay
has ^vbz+hvz+vrb++=has
cattle ^nns++++=cattle
near ^in+pl+++=near
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
becomes ^vbz++++=becomes
Cow ^nn++++=Cow
Bay ^npl++++=Bay;
; ^zz++++=EXTRAWORD
because ^cs+cos+++=because
mosquitoes ^nns+++??+=mosquitoes
inhabit ^vb++++=inhabit
a ^at++++=a
marsh ^nn++++=marsh
as ^ql++++=as
they ^pp3a+pp3+++=they
have ^vb+hv+vrb++=have
an ^at++++=an
unquestionable ^jj+atrb+++=unquestionable
right ^nn++++=right
to ^to+ncmp+++=to
do ^vbi++++=do
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
condemned ^vpsv++agls+xvbnx+=condemned
forever ^rb++++=forever
as ^ql++++=as
Mosquito ^np+++??+=Mosquito
Cove ^nn++++=Cove;
; ^zz++++=EXTRAWORD
because ^cs+cos+++=because
some ^dti++++=some
worthy ^jj+atrb+++=worthy
settler ^nn++++=settler
lost ^vbd+++xvbn+=lost
a ^at++++=a
boot ^nn++++=boot
in ^in++++=in
a ^at++++=a
creek ^nn++++=creek,
, ^zz++++=EXTRAWORD
Boot ^nn++++=Boot
Creek ^npl++++=Creek
transmits ^nns+++??+=transmits
the ^ati++++=the
circumstance ^nn+nom+++=circumstance
to ^in++++=to
the ^ati++++=the
latest ^jjt+atrb+++=latest
ages ^nns++++=ages.
. ^zz++++=EXTRAWORD
Odds ^nns++++=Odds
my ^pp$+pp1+++=my
life ^nn++++=life!
! ^zz++++=EXTRAWORD
Is ^vbz+bez+vrb++=Is
the ^ati++++=the
accidental ^jj+atrb+++=accidental
discomfort ^nn++++=discomfort
of ^in++++=of
an ^at++++=an
individual ^nn+nom+++=individual
to ^to++++=to
outweigh ^vbi++++=outweigh
the ^ati++++=the
majesty ^nn++++=majesty
of ^in++++=of
nature ^nn++++=nature?
? ^zz++++=EXTRAWORD
Must ^md+nec+++=Must
every ^at++++=every
hill ^nn++++=hill
record ^nn++++=record
a ^at++++=a
broken ^jj+atrb++xvbn+=broken
axle ^nn++++=axle,
, ^zz++++=EXTRAWORD
every ^at++++=every
pond ^nn++++=pond
a ^at++++=a
drowned ^jj+atrb++xvbn+=drowned
pig ^nn++++=pig,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
every ^at++++=every
village ^nn+nom+++=village
the ^ati++++=the
nickname ^nn++++=nickname
of ^in++++=of
its ^pp$+it+++=its
first ^od++++=first
inhabitant ^nn+nom+++=inhabitant?
? ^zz++++=EXTRAWORD
Meanwhile ^rb+cnj+++=Meanwhile,
, ^zz++++=EXTRAWORD
the ^ati++++=the
country ^nn++++=country
possessed ^vbd+++xvbn+=possessed
a ^at++++=a
nomenclature ^nn++++=nomenclature
of ^in++++=of
its ^pp$+it+++=its
own ^ap++++=own
ancient ^jj++++=ancient,
, ^zz++++=EXTRAWORD
melodious ^jj++++=melodious,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fitted ^vpsv++agls+xvbn+=fitted
to ^in++++=to
the ^ati++++=the
soil ^nn++++=soil
yet ^cc++++=yet
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
kicked ^vprf+++xvbnx+=kicked
it ^pp3+it+++=it
aside ^rp++++=aside
to ^to++++=to
make ^vbi++++=make
room ^nn++++=room
for ^in++++=for
this ^dt+dem+++=this
hum ^nn+++??+=hum-drum
- ^zz++++=EXTRAWORD
drum ^nn++++=EXTRAWORD
riff ^nn+++??+=riff-raff.
- ^zz++++=EXTRAWORD
raff ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
original ^jj+atrb+++=original
names ^nns++++=names
of ^in++++=of
river ^nn++++=river,
, ^zz++++=EXTRAWORD
rock ^npl++++=rock,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
valley ^nn++++=valley
have ^vb+hv+vrb++=have
often ^rb++++=often
a ^at++++=a
grave ^jj+atrb+++=grave
music ^nn++++=music
which ^whp+rel+subj++=which
seems ^vbz+seem+++=seems
born ^vbd+++xvbn+=born
of ^in++++=of
the ^ati++++=the
wind ^nn++++=wind
in ^in++++=in
the ^ati++++=the
forests ^nns++++=forests
and ^cc++++=and
the ^ati++++=the
fall ^nn++++=fall
of ^in++++=of
distant ^jj+atrb+++=distant
waters ^nns++++=waters.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
are ^vb+ber+aux++=are
not ^xnot++not++=not
imported ^xvbn+++xvbn+=imported
ornaments ^nns+nom+++=ornaments.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
belong ^vb++++=belong
to ^in++++=to
the ^ati++++=the
features ^nns++++=features
they ^pp3a+pp3+++=they
designate ^nn+nom+++=designate,
