# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Mary ^np++++=Mary's
, ^zz++++=EXTRAWORD
arrive ^vb++++=arrive
at ^in++++=at
a ^at++++=a
definite ^jj+atrb+++=definite
report ^nn++++=report.
. ^zz++++=EXTRAWORD
At ^rb++++=At
high ^jj++++=high
tide ^vb++++=tide
Dedlow ^np+++??+=Dedlow
undergoes ^vbz++++=undergoes
a ^at++++=a
transformation ^nn+nom+++=transformation,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
think ^vb+vprv+++=think,
, ^zz++++=EXTRAWORD
an ^at++++=an
improvement ^nn+nom+++=improvement.
. ^zz++++=EXTRAWORD
The ^ati++++=The
channels ^nns++++=channels
disappear ^vb+seem+++=disappear,
, ^zz++++=EXTRAWORD
the ^ati++++=the
tussocks ^nn++++=tussocks
become ^vprf+++xvbn+=become
islands ^nns++++=islands,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
whole ^jj+atrb+++=whole
plain ^nn++++=plain
is ^vbz+bez+aux++=is
converted ^vpsv++agls+xvbnx+=converted
into ^in++++=into
a ^at++++=a
smooth ^jj+atrb+++=smooth,
, ^zz++++=EXTRAWORD
treacherous ^jj+atrb+++=treacherous
mirror ^nn++++=mirror,
, ^zz++++=EXTRAWORD
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
clouds ^nns++++=clouds
contemplate ^nn+nom+++=contemplate
their ^pp$+pp3+++=their
own ^ap++++=own
deformity ^nn+nom+++=deformity.
. ^zz++++=EXTRAWORD
A ^at++++=A
stranger ^nn+nom+++=stranger
might ^md+pos+++=might
call ^vb++++=call
it ^pp3+it+++=it
beautiful ^jj++++=beautiful.
. ^zz++++=EXTRAWORD
The ^ati++++=The
marsh ^nn++++=marsh,
, ^zz++++=EXTRAWORD
conscious ^jj++++=conscious
of ^in++++=of
this ^dt+dem+++=this
temporary ^jj+atrb+++=temporary
compliment ^nn+nom+++=compliment,
, ^zz++++=EXTRAWORD
usually ^rb+down+++=usually
responds ^vbz++++=responds
by ^in++++=by
sending ^xvbg+++xvbg+=sending
up ^rp++++=up
a ^at++++=a
fog ^nn++++=fog
from ^in++++=from
the ^ati++++=the
sea ^nn++++=sea,
, ^zz++++=EXTRAWORD
shutting ^vbg+++xvbg+=shutting
out ^rb+phrv+++=out
the ^ati++++=the
dunes ^nns++++=dunes,
, ^zz++++=EXTRAWORD
the ^ati++++=the
hills ^nns++++=hills,
, ^zz++++=EXTRAWORD
the ^ati++++=the
lighthouse ^nn++++=lighthouse,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
every ^at++++=every
other ^ap++++=other
object ^nn++++=object
by ^in++++=by
which ^whp+rel+pied++=which
a ^at++++=a
prudent ^jj+atrb+++=prudent
man ^nn++++=man
could ^md+pos+++=could
steer ^vb++++=steer.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
then ^rn+tm+++=then
lies ^vbz++++=lies
quiet ^nn++++=quiet,
, ^zz++++=EXTRAWORD
expansive ^jj++++=expansive,
, ^zz++++=EXTRAWORD
innocent ^jj++++=innocent,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
false ^jj++++=false.
. ^zz++++=EXTRAWORD
Beyond ^in++++=Beyond
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
river ^nn++++=river
broadens ^nns+++??+=broadens
into ^in++++=into
the ^ati++++=the
bay ^nn++++=bay,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
stood ^vprf+++xvbn+=stood,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
spring ^nn++++=spring
of ^in++++=of
' ^zz++++='58,
58 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
logger ^nn++++=logger's
's ^$++++=EXTRAWORD
cabin ^nn++++=cabin.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
built ^vpsv++agls+xvbnx+=built
on ^in++++=on
low ^jj+atrb+++=low
ground ^nn++++=ground
at ^in++++=at
the ^ati++++=the
confluence ^nn+nom+++=confluence
of ^in++++=of
a ^at++++=a
creek ^nn++++=creek
and ^cc++++=and
a ^at++++=a
slough ^nn++++=slough,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
the ^ati++++=the
word ^nn++++=word
" ^zz++++="built,"
built ^vwbn+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
as ^in++++=as
applied ^nn++++=applied
to ^in++++=to
that ^dt+dem+++=that
habitation ^nn+nom+++=habitation,
, ^zz++++=EXTRAWORD
may ^md+pos+++=may
imply ^vb+vprv+++=imply
more ^rbr++++=more
architectural ^jj+atrb+++=architectural
deliberation ^nn+nom+++=deliberation
than ^in++++=than
had ^vb+hv+aux++=had
actually ^rb+amp+splt++=actually
been ^vprf+ben+aux+xvbnx+=been
exercised ^vpsv++agls+xvbnx+=exercised.
. ^zz++++=EXTRAWORD
Four ^cd++++=Four
walls ^nns++++=walls,
, ^zz++++=EXTRAWORD
a ^at++++=a
roof ^nn++++=roof,
, ^zz++++=EXTRAWORD
two ^cd++++=two
rooms ^nns++++=rooms,
, ^zz++++=EXTRAWORD
a ^at++++=a
chimney ^nn++++=chimney,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
narrow ^jj+atrb+++=narrow
porch ^nn++++=porch
composed ^vwbn+++xvbn+=composed
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
strongly ^rb+amp+splt++=strongly
fastened ^vpsv++agls+xvbnx+=fastened,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
the ^ati++++=the
work ^nn++++=work
of ^in++++=of
Tom ^np++++=Tom
Reeve ^np+++??+=Reeve,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vb+hv+vrb++=had
more ^rbr++++=more
faith ^nn++++=faith
in ^in++++=in
spikes ^nns+++??+=spikes
than ^in++++=than
in ^in++++=in
ornament ^nn+nom+++=ornament,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
who ^whp+rel+subj++=who
drove ^vbd+++xvbn+=drove
a ^at++++=a
nail ^nn++++=nail
with ^in++++=with
the ^ati++++=the
stern ^jj+atrb+++=stern
finality ^nn+nom+++=finality
of ^in++++=of
a ^at++++=a
magistrate ^nn+nom+++=magistrate
pronouncing ^vwbg+++xvbg+=pronouncing
sentence ^nn+nom+++=sentence.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom
lived ^vbd+++xvbn+=lived
there ^rn+pl+++=there
with ^in++++=with
his ^pp$+pp3+++=his
wife ^nn++++=wife
Mary ^np++++=Mary,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
infant ^nn++++=infant
son ^nn++++=son,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
yellow ^jj+atrb+++=yellow
dog ^nn++++=dog
of ^in++++=of
mixed ^jj+atrb++xvbn+=mixed
ancestry ^nn++++=ancestry
and ^cc++++=and
unblemished ^jj+atrb++xvbn+=unblemished
devotion ^nn+nom+++=devotion,
, ^zz++++=EXTRAWORD
called ^jj+atrb++xvbn+=called
Sailor ^nn++++=Sailor.
. ^zz++++=EXTRAWORD
The ^ati++++=The
child ^nn++++=child
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
sickly ^jj++++=sickly
from ^in++++=from
birth ^nn++++=birth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
on ^in++++=on
the ^ati++++=the
evening ^nn++++=evening
of ^in++++=of
the ^ati++++=the
great ^jj+atrb+++=great
flood ^nn++++=flood
lay ^vbd+++xvbn+=lay
fretful ^jj++++=fretful
and ^cc+phrs+++=and
feverish ^jj++++=feverish
in ^in++++=in
a ^at++++=a
wooden ^jj+atrb+++=wooden
cradle ^nn++++=cradle
near ^in+pl+++=near
the ^ati++++=the
stove ^nn++++=stove.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
the ^ati++++=the
account ^nn++++=account
from ^in++++=from
Mary ^np++++=Mary
herself ^ppl+pp3+++=herself,
, ^zz++++=EXTRAWORD
many ^ap++++=many
years ^nns++++=years
afterward ^rb+cnj+++=afterward,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
house ^npl++++=house
that ^tht+rel+++=that
succeeded ^jj+++xvbn+=succeeded
the ^ati++++=the
cabin ^nn++++=cabin;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if,
, ^zz++++=EXTRAWORD
in ^in++++=in
arranging ^xvbg+++xvbg+=arranging
her ^pp3o+pp3+++=her
recollections ^nns+nom+++=recollections,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
introduced ^vprf+++xvbnx+=introduced
an ^at++++=an
order ^to++++=order
which ^whp+who+++=which
terror ^nn++++=terror
may ^md+pos+++=may
not ^xnot++not++=not
always ^rb++++=always
observe ^vb+vprv+++=observe,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
altered ^vprf+++xvbnx+=altered
none ^pn++++=none
of ^in++++=of
the ^ati++++=the
essential ^jj+atrb+++=essential
circumstances ^nns+nom+++=circumstances.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
own ^ap++++=own
narrative ^nn++++=narrative
was ^vbd+bedz+vrb++=was
simpler ^jjr+pred+++=simpler.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
sat ^vbd+++xvbnx+=sat
and ^cc+phrs+++=and
sat ^vbd+++xvbn+=sat,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
would ^md+prd+++=would
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
then ^rn+tm+++=then
the ^ati++++=the
house ^npl++++=house
acted ^vbd+++xvbn+=acted
silly ^jj++++=silly;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
after ^in++++=after
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
much ^rb++++=much
time ^nn++++=time
to ^to++++=to
think ^vbi+vprv+++=think."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
On ^in++++=On
that ^dt+dem+++=that
afternoon ^nn++++=afternoon
Tom ^np++++=Tom
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
with ^in++++=with
three ^cd++++=three
men ^nns++++=men
to ^to++++=to
carry ^vbi++++=carry
a ^at++++=a
raft ^nn++++=raft
of ^in++++=of
squared ^jj+atrb++xvbn+=squared
timber ^nn++++=timber
across ^in+pl+++=across
the ^ati++++=the
upper ^nn++++=upper
reach ^vb++++=reach
of ^in++++=of
the ^ati++++=the
bay ^nn++++=bay.
. ^zz++++=EXTRAWORD
The ^ati++++=The
weather ^nn++++=weather
was ^vbd+bedz+vrb++=was
already ^rb++++=already
bad ^jj+pred+++=bad,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
not ^xnot++not++=not
extraordinarily ^rb++++=extraordinarily
so ^rb++++=so.
. ^zz++++=EXTRAWORD
Rain ^nn++++=Rain
had ^vbd+hvd+aux++=had
fallen ^vprf+++xvbn+=fallen
for ^in+ppvb+++=for
five ^cd++++=five
days ^nns++++=days
upon ^in++++=upon
the ^ati++++=the
mountains ^nns++++=mountains;
; ^zz++++=EXTRAWORD
the ^ati++++=the
river ^nn++++=river
was ^vbd+bedz+vrb++=was
swollen ^jj+pred+++=swollen,
, ^zz++++=EXTRAWORD
the ^ati++++=the
roads ^nns++++=roads
were ^vbd+bed+vrb++=were
impassable ^jj+pred+++=impassable,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
roof ^nn++++=roof
leaked ^vprf+++xvbn+=leaked
into ^in++++=into
a ^at++++=a
basin ^nn++++=basin
by ^in++++=by
the ^ati++++=the
bed ^nn++++=bed.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
domestic ^jj+atrb+++=domestic
inundations ^nns+nom+++=inundations
had ^vbd+hvd+aux++=had
occurred ^vprf+++xvbnx+=occurred
before ^cs+sub+++=before
and ^cc++++=and
were ^vbd+bed+aux++=were
received ^vpsv++agls+xvbnx+=received,
, ^zz++++=EXTRAWORD
like ^in++++=like
poverty ^nn++++=poverty
and ^cc++++=and
rheumatism ^nn+nom+++=rheumatism,
, ^zz++++=EXTRAWORD
as ^in++++=as
inconveniences ^nns+nom+++=inconveniences
not ^xnot++not++=not
wholly ^rb++++=wholly
unexpected ^jj++++=unexpected
in ^in++++=in
the ^ati++++=the
country ^nn++++=country.
. ^zz++++=EXTRAWORD
" ^zz++++="You'll
you ^pp2+pp2+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+vrb++=be
back ^jjb+pred+++=back
before ^in++++=before
dark ^jj++++=dark?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mary ^np++++=Mary
asked ^vbd+vsua++xvbn+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="Before
before ^in++++=EXTRAWORD
midnight ^nn++++=midnight,
, ^zz++++=EXTRAWORD
anyway ^rb+cnj+++=anyway,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Tom ^np++++=Tom
answered ^vbd+vpub++xvbn+=answered.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
kissed ^vbd+++xvbnx+=kissed
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
touched ^j+++xvbn+=touched
the ^ati++++=the
child ^nn++++=child's
's ^$++++=EXTRAWORD
cheek ^nn++++=cheek
with ^in++++=with
one ^cd1++++=one
enormous ^jj+atrb+++=enormous
finger ^nn++++=finger,
, ^zz++++=EXTRAWORD
whistled ^j+++xvbn+=whistled
to ^in++++=to
Sailor ^nn++++=Sailor
who ^whp+rel+subj++=who
declined ^vbd+++xvbn+=declined
to ^to+vcmp+++=to
accompany ^vbi++++=accompany
him ^pp3o+pp3+++=him
and ^cc++++=and
went ^vbd+++xvbn+=went
out ^rp+pl+++=out
into ^in++++=into
the ^ati++++=the
rain ^nn++++=rain.
. ^zz++++=EXTRAWORD
Toward ^in++++=Toward
dusk ^nn++++=dusk
the ^ati++++=the
wind ^nn++++=wind
increased ^vbd+++xvbn+=increased.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
descended ^vbd+++xvbn+=descended
from ^in++++=from
the ^ati++++=the
timbered ^jj+atrb+++=timbered
hills ^nns++++=hills
in ^in++++=in
long ^jj+atrb+++=long,
, ^zz++++=EXTRAWORD
sonorous ^jj+atrb+++=sonorous
charges ^nns++++=charges,
, ^zz++++=EXTRAWORD
bent ^j+++xvbn+=bent
the ^ati++++=the
alder ^jjr+atrb+++=alder
thickets ^nns+++??+=thickets,
, ^zz++++=EXTRAWORD
hurled ^xvbn+++xvbn+=hurled
the ^ati++++=the
rain ^nn++++=rain
against ^in++++=against
the ^ati++++=the
cabin ^nn++++=cabin,
, ^zz++++=EXTRAWORD
paused ^j+++xvbn+=paused
to ^to++++=to
recover ^vbi++++=recover
breath ^nn++++=breath,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
charged ^jj+++xvbn+=charged
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
The ^ati++++=The
chimney ^nn++++=chimney
moaned ^vbd+++xvbn+=moaned;
; ^zz++++=EXTRAWORD
the ^ati++++=the
stovepipe ^nn+++??+=stovepipe
clicked ^vbd+++xvbn+=clicked;
; ^zz++++=EXTRAWORD
drops ^nns++++=drops
forced ^vwbn+++xvbn+=forced
themselves ^ppls+pp3+++=themselves
beneath ^in+pl+++=beneath
the ^ati++++=the
door ^nn++++=door
and ^cc++++=and
crept ^vpsv++agls+xvbn+=crept
across ^in+pl+++=across
the ^ati++++=the
floor ^nn++++=floor
in ^in++++=in
narrow ^jj++++=narrow,
, ^zz++++=EXTRAWORD
shining ^vbg+++xvbg+=shining
files ^nns++++=files.
. ^zz++++=EXTRAWORD
Sailor ^nn++++=Sailor
lay ^vbd+++xvbn+=lay
with ^in++++=with
his ^pp$+pp3+++=his
nose ^nn++++=nose
on ^in++++=on
his ^pp$+pp3+++=his
paws ^nns+++??+=paws,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
whenever ^nn+nom+++=whenever
the ^ati++++=the
house ^nn++++=house
shook ^vbd+++xvbn+=shook
he ^pp3a+pp3+++=he
lifted ^vbd+++xvbnx+=lifted
his ^pp$+pp3+++=his
head ^nn++++=head
and ^cc++++=and
looked ^vbd+++xvbn+=looked
at ^rb++++=at
Mary ^np++++=Mary
with ^in++++=with
that ^dt+dem+++=that
grave ^jj+atrb+++=grave
canine ^nn+++??+=canine
inquiry ^nn++++=inquiry
which ^whp+rel+subj++=which
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
ask ^vbi++++=ask
for ^in+ppvb+++=for
an ^at++++=an
explanation ^nn+nom+++=explanation
of ^in++++=of
human ^jj+atrb+++=human
arrangements ^nns+nom+++=arrangements.
. ^zz++++=EXTRAWORD
Mary ^np++++=Mary
fed ^vbd+++xvbn+=fed
the ^ati++++=the
child ^nn++++=child,
, ^zz++++=EXTRAWORD
wrapped ^j+++xvbn+=wrapped
him ^pp3o+pp3+++=him
in ^in++++=in
a ^at++++=a
quilt ^nn++++=quilt,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sat ^vpsv++agls+xvbn+=sat
beside ^in+pl+++=beside
the ^ati++++=the
stove ^nn++++=stove.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
afterward ^rb++++=afterward
remembered ^vbd+vprv++xvbn+=remembered
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
wearing ^vbg+++xvbgx+=wearing
an ^at++++=an
old ^jj+atrb+++=old
brown ^jj+atrb+++=brown
dress ^nn++++=dress
patched ^jj++++=patched
at ^in++++=at
both ^abx++++=both
elbows ^nns++++=elbows,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
the ^ati++++=the
baby ^nn++++=baby
had ^vb+hv+vrb++=had
on ^in++++=on
a ^at++++=a
flannel ^nn++++=flannel
gown ^nn++++=gown
faded ^vbd+++xvbn+=faded
nearly ^rb+down+++=nearly
white ^jj++++=white.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
circumstance ^nn+nom+++=circumstance
troubled ^vbd+++xvbn+=troubled
her ^pp3o+pp3+++=her
greatly ^rb+amp+++=greatly
during ^in++++=during
the ^ati++++=the
night ^nn++++=night.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
peculiarities ^nns+nom+++=peculiarities
of ^in++++=of
danger ^nn++++=danger
that ^tht+rel+++=that,
, ^zz++++=EXTRAWORD
having ^xvbg+++xvbg+=having
expelled ^xvbn+++xvbn+=expelled
the ^ati++++=the
larger ^jjr+atrb+++=larger
vanities ^nns+nom+++=vanities,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
sometimes ^rb++++=sometimes
leaves ^vbz++++=leaves
a ^at++++=a
small ^jj+atrb+++=small
one ^pn++++=one
behind ^in+strn+++=behind,
, ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
flood ^nn++++=flood
leaves ^nns++++=leaves
a ^at++++=a
teacup ^nn++++=teacup
on ^in++++=on
a ^at++++=a
fence ^nn++++=fence
post ^nn++++=post.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+vrb++=had
a ^at++++=a
blue ^jj+atrb+++=blue
dress ^nn++++=dress
in ^in++++=in
the ^ati++++=the
chest ^nn++++=chest,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
child ^nn++++=child
possessed ^vbd+++xvbn+=possessed
a ^rb++++=a
little ^rb"++++=little
embroidered ^jj+atrb++xvbn+=embroidered
cap ^nn++++=cap
given ^vwbn+++xvbn+=given
by ^in++++=by
his ^pp$+pp3+++=his
grandmother ^nn+nom+++=grandmother.
. ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
I ^pp1a+pp1+++0=I'd
'd ^vbd+hvd+aux++=EXTRAWORD
known ^vprf++tht0+xvbnx+=known
we ^pp1a+pp1+++=we
were ^vbd+bed+aux++=were
going ^vbg+++xvbgx+=going
visiting ^nvbg+++xvbg+=visiting,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="I'd
i ^pp1a+pp1+++0=EXTRAWORD
'd ^md+prd+aux++=EXTRAWORD
have ^vb+hv+aux++=have
fixed ^vprf+++xvbnx+=fixed
us ^pp1o+pp1+++=us
decent ^jj++++=decent."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
At ^rb++++=At
eight ^cd++++=eight
o'clock ^rb++++=o'clock
she ^pp3a+pp3+++=she
heard ^vbd+vprv++xvbnx+=heard
a ^at++++=a
sound ^nn++++=sound
beneath ^in+pl+++=beneath
the ^ati++++=the
floor ^nn++++=floor.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
the ^ati++++=the
steady ^nn++++=steady
whisper ^vb+vpub+++=whisper
of ^in++++=of
rain ^nn++++=rain,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
the ^ati++++=the
tapping ^nn++++=tapping
of ^in++++=of
the ^ati++++=the
branch ^nn++++=branch
against ^in++++=against
