# ^zz++++=#
Westward ^rb++++=WESTWARD
alongside ^in+pl+++=alongside
the ^ati++++=the
wharf ^nn++++=wharf
with ^in++++=with
a ^at++++=a
flourish ^nn++++=flourish
that ^tht+rel+++=that
seemed ^jj+++xvbn+=seemed
intended ^jj+++xvbn+=intended
for ^in++++=for
the ^ati++++=the
admiration ^nn+nom+++=admiration
of ^in++++=of
the ^ati++++=the
town ^nn++++=town,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
stepped ^vbd+++xvbnx+=stepped
ashore ^rb+pl+++=ashore
prepared ^jj+++xvbn+=prepared
to ^to+jcmp+++=to
behold ^vbi++++=behold
Burlington ^np+++??+=Burlington.
. ^zz++++=EXTRAWORD
The ^ati++++=The
place ^nn++++=place,
, ^zz++++=EXTRAWORD
viewed ^xvbn+++xvbn+=viewed
from ^in++++=from
the ^ati++++=the
water ^nn++++=water,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
assumed ^vprf+++xvbnx+=assumed
something ^pn++++=something
of ^in++++=of
the ^ati++++=the
consequence ^nn+nom+++=consequence
of ^in++++=of
a ^at++++=a
seaport ^nn++++=seaport.
. ^zz++++=EXTRAWORD
Masts ^np+++??+=Masts
rose ^vbd+++xvbn+=rose
above ^in+ppvb+++=above
the ^ati++++=the
roofs ^nns++++=roofs;
; ^zz++++=EXTRAWORD
sloops ^nns+++??+=sloops
and ^cc++++=and
schooners ^nns+nom+++=schooners
lay ^vbd+++xvbn+=lay
beside ^in+pl+++=beside
the ^ati++++=the
wharves ^nns+++??+=wharves;
; ^zz++++=EXTRAWORD
barrels ^nns++++=barrels,
, ^zz++++=EXTRAWORD
boxes ^nns++++=boxes,
, ^zz++++=EXTRAWORD
planks ^nns++++=planks,
, ^zz++++=EXTRAWORD
bags ^nns++++=bags
of ^in++++=of
grain ^nn++++=grain,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
coils ^nns++++=coils
of ^in++++=of
rope ^nn++++=rope
were ^vbd+bed+aux++=were
scattered ^vpsv++agls+xvbnx+=scattered
with ^in++++=with
that ^cs+sub+++=that
studied ^vprf+++xvbn+=studied
confusion ^nn++++=confusion
which ^whp+rel+subj++=which
everywhere ^rb++++=everywhere
attends ^vbz++++=attends
profitable ^jj+atrb+++=profitable
business ^nns+nom+++=business;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
air ^nn++++=air
was ^vbd+bedz+aux++=was
filled ^vpsv++agls+xvbnx+=filled
with ^in++++=with
hammering ^xvbg+++xvbg+=hammering,
, ^zz++++=EXTRAWORD
shouting ^vbg+vpub++xvbg+=shouting,
, ^zz++++=EXTRAWORD
creaking ^jj++++=creaking,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
loud ^jj+atrb+++=loud
remonstrance ^nn+nom+++=remonstrance
of ^in++++=of
cart ^nn++++=cart-wheels
- ^zz++++=EXTRAWORD
wheels ^nns++++=EXTRAWORD
against ^in++++=against
inequalities ^nns+nom+++=inequalities
in ^in++++=in
the ^ati++++=the
road ^nn++++=road.
. ^zz++++=EXTRAWORD
Had ^vb+hv+vrb++=Had
a ^at++++=a
whale ^nn++++=whale
displayed ^vbd+++xvbn+=displayed
his ^pp$+pp3+++=his
back ^jjb++++=back
beyond ^in++++=beyond
the ^ati++++=the
breakwater ^nn+nom+++=breakwater,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
believe ^vb+vprv+tht0++=believe
the ^ati++++=the
illusion ^nn++++=illusion
would ^md+prd+++=would
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
complete ^jj++++=complete.
. ^zz++++=EXTRAWORD
The ^ati++++=The
lake ^npl++++=lake
itself ^ppl++++=itself
performed ^vbd+++xvbn+=performed
the ^ati++++=the
part ^nn++++=part
of ^in++++=of
an ^at++++=an
inland ^jjb+atrb+++=inland
ocean ^nn++++=ocean
with ^in++++=with
commendable ^jj+atrb+++=commendable
gravity ^nn+nom+++=gravity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
mountains ^nns++++=mountains,
, ^zz++++=EXTRAWORD
like ^in++++=like
theatrical ^jj+atrb+++=theatrical
spectators ^nns++++=spectators
who ^whp+rel+subj++=who
knew ^vbd+vprv++xvbn+=knew
the ^ati++++=the
trick ^nn++++=trick
but ^cc++++=but
did ^vbd+dod+aux++=did
not ^xnot++not++=not
wish ^vb+vprv+++=wish
to ^to+vcmp+++=to
spoil ^vbi++++=spoil
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
looked ^j+++xvbn+=looked
on ^in++++=on
without ^in++++=without
betraying ^xvbg+++xvbg+=betraying
a ^at++++=a
smile ^nn++++=smile.
. ^zz++++=EXTRAWORD
Burlington ^np++++=Burlington's
's ^$++++=EXTRAWORD
foreign ^jj+atrb+++=foreign
trade ^nn++++=trade
was ^vbd+bedz+aux++=was
spoken ^vpsv++agls+xvbnx+=spoken
of ^in++++=of
with ^in++++=with
becoming ^xvbg+++xvbg+=becoming
pride ^nn++++=pride.
. ^zz++++=EXTRAWORD
Foreign ^jj+atrb+++=Foreign
trade ^nn++++=trade!
! ^zz++++=EXTRAWORD
The ^ati++++=The
phrase ^nn++++=phrase
brings ^vbz++++=brings
before ^in++++=before
the ^ati++++=the
imagination ^nn+nom+++=imagination
spicy ^nn+++??+=spicy
islands ^nns++++=islands,
, ^zz++++=EXTRAWORD
turbaned ^jj+atrb++xvbn+=turbaned
merchants ^nns+nom+++=merchants,
, ^zz++++=EXTRAWORD
long ^rb++++=long
voyages ^nns+nom+++=voyages,
, ^zz++++=EXTRAWORD
coral ^nn++++=coral
reefs ^nns++++=reefs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bills ^nns++++=bills
of ^in++++=of
exchange ^nn++++=exchange
signed ^vbd+++xvbn+=signed
beneath ^in+pl+++=beneath
equatorial ^jj+atrb+++=equatorial
suns ^nns+++??+=suns.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
its ^pp$+it+++=its
visible ^jj+atrb+++=visible
representatives ^nns++++=representatives
were ^vbd+bed+vrb++=were
a ^at++++=a
Canadian ^nn++++=Canadian
sloop ^nn+++??+=sloop,
, ^zz++++=EXTRAWORD
two ^cd++++=two
shaggy ^jj+atrb+++=shaggy
horses ^nns++++=horses
attached ^vbd+++xvbn+=attached
to ^in++++=to
a ^at++++=a
wagon ^nn++++=wagon
of ^in++++=of
potash ^nn+++??+=potash,
, ^zz++++=EXTRAWORD
a ^at++++=a
French ^jj+atrb+++=French
coin ^nn++++=coin
that ^tht+rel+obj++=that
nobody ^pn++++=nobody
wished ^vbd+vprv++xvbn+=wished
to ^to+vcmp+++=to
take ^vbi++++=take,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
several ^ap++++=several
kegs ^nns++++=kegs
whose ^whp+rel+obj++=whose
contents ^nns++++=contents,
, ^zz++++=EXTRAWORD
judging ^jj+++xvbg+=judging
by ^in++++=by
the ^ati++++=the
reverence ^nn+nom+++=reverence
paid ^vbd+++xvbn+=paid
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
possessed ^j+++xvbn+=possessed
both ^abx++++=both
spirit ^nn++++=spirit
and ^cc++++=and
nationality ^nn+nom+++=nationality.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
the ^ati++++=the
trade ^nn++++=trade
was ^vbd+bedz+vrb++=was
foreign ^jj+pred+++=foreign
beyond ^in++++=beyond
dispute ^nn++++=dispute.
. ^zz++++=EXTRAWORD
A ^at++++=A
line ^nn++++=line
upon ^in++++=upon
the ^ati++++=the
map ^nn++++=map
divided ^vwbn+++xvbn+=divided
one ^cd1++++=one
shore ^nn++++=shore
from ^in++++=from
another ^dt++++=another,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
transformed ^jj+atrb++xvbn+=transformed
flour ^nn++++=flour
into ^in++++=into
an ^at++++=an
export ^nn++++=export,
, ^zz++++=EXTRAWORD
lumber ^vb++++=lumber
into ^in++++=into
international ^jj+atrb+++=international
commerce ^nn++++=commerce,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
man ^nn++++=man
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
rowed ^vprf+++xvbnx+=rowed
twenty ^cd++++=twenty
miles ^nns++++=miles
into ^in++++=into
a ^at++++=a
person ^nn++++=person
lately ^rb+tm+++=lately
arrived ^vbd+++xvbn+=arrived
from ^in++++=from
abroad ^rb+pl+++=abroad.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
shops ^nns++++=shops,
, ^zz++++=EXTRAWORD
money ^nn++++=money
from ^in++++=from
both ^abx++++=both
sides ^nns++++=sides
of ^in++++=of
the ^ati++++=the
boundary ^nn+nom+++=boundary
circulated ^vbd+++xvbn+=circulated
with ^in++++=with
a ^at++++=a
sociability ^nn+nom+++=sociability
not ^xnot++not++=not
always ^rb++++=always
found ^vbd+vprv++xvbn+=found
among ^in++++=among
the ^ati++++=the
governments ^nns+nom+++=governments
whose ^whp+rel+obj++=whose
images ^nns++++=images
it ^pp3+it+++=it
bore ^vbd+++xvbn+=bore.
. ^zz++++=EXTRAWORD
Kings ^nns++++=Kings,
, ^zz++++=EXTRAWORD
republics ^nns++++=republics,
, ^zz++++=EXTRAWORD
eagles ^nns++++=eagles,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
royal ^jj++++=royal
heads ^vbz++++=heads
met ^vbd+++xvbn+=met
in ^in++++=in
the ^ati++++=the
same ^ap++++=same
pocket ^nn++++=pocket,
, ^zz++++=EXTRAWORD
rubbed ^j+++xvbn+=rubbed
their ^pp$+pp3+++=their
distinctions ^nns+nom+++=distinctions
smooth ^jj++++=smooth
against ^in++++=against
one ^cd1++++=one
another ^dt++++=another,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
emerged ^vpsv++agls+xvbn+=emerged
upon ^in++++=upon
the ^ati++++=the
counter ^nn++++=counter
with ^in++++=with
no ^at++++=no
more ^rbr++++=more
quarrel ^nn++++=quarrel
than ^in++++=than
if ^cs+cnd+++=if
monarchy ^nn++++=monarchy
and ^cc++++=and
democracy ^nn+nom+++=democracy
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
invented ^vpsv++agls+xvbnx+=invented
merely ^rb+down+++=merely
to ^to++++=to
make ^vbi++++=make
change ^nn++++=change.
. ^zz++++=EXTRAWORD
A ^at++++=A
British ^jj+atrb+++=British
sovereign ^nn++++=sovereign
and ^cc++++=and
an ^at++++=an
American ^jj+atrb+++=American
goddess ^nns+nom+++=goddess
might ^md+pos+++=might
lie ^vb++++=lie
cheek ^nn++++=cheek
to ^in++++=to
cheek ^nn++++=cheek
in ^in++++=in
a ^at++++=a
merchant ^nn+nom+++=merchant's
's ^$++++=EXTRAWORD
drawer ^nn++++=drawer,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
their ^pp$+pp3+++=their
respective ^jj+atrb+++=respective
nations ^nns+nom+++=nations
disputed ^vbd+++xvbn+=disputed
over ^in++++=over
fisheries ^nns+nom+++=fisheries,
, ^zz++++=EXTRAWORD
frontiers ^nns+nom+++=frontiers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
proper ^jj+atrb+++=proper
spelling ^nn+nom+++=spelling
of ^in++++=of
political ^jj+atrb+++=political
virtue ^nn++++=virtue.
. ^zz++++=EXTRAWORD
Mammon ^np++++=Mammon,
, ^zz++++=EXTRAWORD
whatever ^nn+nom+++=whatever
else ^rb+cnj+++=else
may ^md+pos+++=may
be ^vb+be+aux++=be
charged ^vpsv++agls+xvbnx+=charged
against ^in++++=against
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
generally ^rb+down+splt++=generally
been ^vprf+ben+vrb+xvbnx+=been
tolerant ^jj++++=tolerant
in ^in++++=in
matters ^nns+nom+++=matters
of ^in++++=of
heraldry ^nn++++=heraldry.
. ^zz++++=EXTRAWORD
On ^in++++=On
closer ^rbr++++=closer
inspection ^nn+nom+++=inspection,
, ^zz++++=EXTRAWORD
the ^ati++++=the
town ^nn++++=town
showed ^vbd+vprv++xvbn+=showed
those ^dt+dem+++=those
contrasts ^nns++++=contrasts
which ^whp+rel+subj++=which
belong ^vb++++=belong
to ^in++++=to
a ^at++++=a
community ^nn+nom+++=community
advancing ^vwbg+++xvbg+=advancing
rapidly ^rb+cnj+++=rapidly,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
not ^xnot++not++=not
yet ^rb++++=yet
marching ^vbg+++xvbg+=marching
in ^in++++=in
one ^cd1++++=one
uniform ^nn++++=uniform.
. ^zz++++=EXTRAWORD
Brick ^nn++++=Brick
stores ^nns++++=stores,
, ^zz++++=EXTRAWORD
broad ^jj++++=broad
in ^in++++=in
front ^jjb++++=front
and ^cc+phrs+++=and
deep ^jj++++=deep
with ^in++++=with
merchandise ^nn++++=merchandise,
, ^zz++++=EXTRAWORD
stood ^j+++xvbn+=stood
beside ^in+pl+++=beside
wooden ^jj+atrb+++=wooden
houses ^nns++++=houses
that ^tht+rel+subj++=that
appeared ^vprf+++xvbn+=appeared
to ^to+vcmp+++=to
have ^vbi++++=have
stepped ^vbd+++xvbn+=stepped
in ^in++++=in
from ^in++++=from
the ^ati++++=the
country ^nn++++=country
and ^cc++++=and
to ^to++++=to
be ^vbi+vbi+aux++=be
waiting ^vbg+++xvbgx+=waiting
until ^cs+sub+++=until
somebody ^pn++++=somebody
directed ^vbd+++xvbn+=directed
them ^pp3o+pp3+++=them
home ^nr++++=home.
. ^zz++++=EXTRAWORD
New ^jj+atrb+++=New
tin ^nn++++=tin
roofs ^nns++++=roofs
glittered ^vbd+++xvbn+=glittered
with ^in++++=with
a ^at++++=a
brilliancy ^nn+++??+=brilliancy
painful ^jj++++=painful
to ^in++++=to
the ^ati++++=the
eye ^nn++++=eye
and ^cc++++=and
flattering ^jj++++=flattering
to ^in++++=to
the ^ati++++=the
proprietor ^nn++++=proprietor;
; ^zz++++=EXTRAWORD
narrow ^jj+atrb+++=narrow
lanes ^nns++++=lanes
descended ^vbd+++xvbn+=descended
abruptly ^rb++++=abruptly
toward ^in++++=toward
the ^ati++++=the
water ^nn++++=water;
; ^zz++++=EXTRAWORD
gardens ^nns++++=gardens
lingered ^vbd+++xvbn+=lingered
behind ^in+pl+++=behind
warehouses ^nns++++=warehouses;
; ^zz++++=EXTRAWORD
cows ^nns++++=cows
contemplated ^vwbn+++xvbn+=contemplated
commerce ^nn++++=commerce
from ^in++++=from
vacant ^jj+atrb+++=vacant
lots ^nns++++=lots;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
here ^rn+pl+++=here
and ^cc+phrs+++=and
there ^rn+pl+++=there
a ^at++++=a
church ^nn++++=church-spire
- ^zz++++=EXTRAWORD
spire ^nn++++=EXTRAWORD
rose ^vbd+++xvbn+=rose
with ^in++++=with
a ^at++++=a
delicate ^jj+atrb+++=delicate
propriety ^nn++++=propriety
above ^jjb+atrb+++=above
signs ^nns++++=signs
announcing ^vwbg+++xvbg+=announcing
dry ^jj+atrb+++=dry
goods ^nns++++=goods,
, ^zz++++=EXTRAWORD
salt ^jj+atrb+++=salt
fish ^nns++++=fish,
, ^zz++++=EXTRAWORD
insurance ^nn+nom+++=insurance,
, ^zz++++=EXTRAWORD
pills ^nns++++=pills,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
accommodations ^nns+nom+++=accommodations
for ^in++++=for
man ^nn++++=man
and ^cc++++=and
horse ^nn++++=horse.
. ^zz++++=EXTRAWORD
Religion ^nn++++=Religion
had ^vb+hv+vrb++=had
the ^ati++++=the
highest ^jjt+atrb+++=highest
position ^nn+nom+++=position,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
trade ^nn++++=trade
occupied ^vbd+++xvbn+=occupied
the ^ati++++=the
greater ^jjr+atrb+++=greater
space ^nn++++=space.
. ^zz++++=EXTRAWORD
The ^ati++++=The
population ^nn+nom+++=population
was ^vbd+bedz+vrb++=was
scarcely ^rb+down+++=scarcely
less ^rbr++++=less
various ^jj++++=various
than ^in++++=than
the ^ati++++=the
currency ^nn++++=currency.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
Yankees ^nns+nom+++=Yankees,
, ^zz++++=EXTRAWORD
upright ^jj++++=upright,
, ^zz++++=EXTRAWORD
inquisitive ^jj++++=inquisitive,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sharpened ^vprf+++xvbn+=sharpened
at ^rb++++=at
the ^ati++++=the
edges ^nns++++=edges
