Purple ^jj++++=Purple,
waists ^nn++++=waists,
, ^zz++++=EXTRAWORD
at ^rb++++=at
six ^cd++++=six
dollars ^nns++++=dollars
a ^at++++=a
week ^nn++++=week.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Bachman ^np++++=Bachman
paid ^vbd+++xvbn+=paid
his ^pp$+pp3+++=his
clerks ^nns++++=clerks
with ^in++++=with
a ^at++++=a
caution ^nn+nom+++=caution
that ^tht+rel+subj++=that
suggested ^vprf++tht0+xvbn+=suggested
every ^at++++=every
dollar ^nn++++=dollar
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
personally ^rb++splt++=personally
entrusted ^vpsv++agls+xvbn+=entrusted
to ^in++++=to
him ^pp3o+pp3+++=him
by ^in++++=by
a ^at++++=a
dying ^jj+++xvbg+=dying
relative ^jj++++=relative.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
a ^at++++=a
year ^nn++++=year,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
gave ^vbd+++xvbnx+=gave
them ^pp3o+pp3+++=them
a ^at++++=a
Thanksgiving ^np+++??+=Thanksgiving
dinner ^nn++++=dinner.
. ^zz++++=EXTRAWORD
For ^in++++=For
eleven ^cd++++=eleven
months ^nns++++=months
afterward ^rb++++=afterward
he ^pp3a+pp3+++=he
referred ^vbd+++xvbnx+=referred
to ^in++++=to
the ^ati++++=the
dinner ^nn++++=dinner
whenever ^nn+nom+++=whenever
anyone ^pn++++=anyone
mentioned ^vbd+vpub++xvbn+=mentioned
wages ^nns++++=wages.
. ^zz++++=EXTRAWORD
" ^zz++++="Didn't
did ^vbd+dod+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
turkey ^nn++++=turkey?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
demand ^vb++++=demand.
. ^zz++++=EXTRAWORD
Turkey ^np++++=Turkey,
, ^zz++++=EXTRAWORD
in ^in++++=in
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Bachman ^np++++=Bachman's
's ^$++++=EXTRAWORD
philosophy ^nn++++=philosophy,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
form ^nn++++=form
of ^in++++=of
profit ^nn++++=profit-sharing.
- ^zz++++=EXTRAWORD
sharing ^vbg+++xvbg+=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
head ^jjb+atrb+++=head
clerk ^nn++++=clerk
was ^vbd+bedz+vrb++=was
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Ramsay ^np++++=Ramsay.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
smooth ^jj+atrb+++=smooth
brown ^jj+atrb+++=brown
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
a ^at++++=a
grave ^jj+atrb+++=grave
chin ^nn++++=chin,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
theories ^nns++++=theories
concerning ^in++++=concerning
health ^nn++++=health.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
theories ^nns++++=theories
were ^vbd+bed+vrb++=were
numerous ^jj+pred+++=numerous
enough ^qlp++++=enough
to ^to++++=to
furnish ^vbi++++=furnish
a ^at++++=a
medical ^jj+atrb+++=medical
college ^nn++++=college
and ^cc++++=and
sufficiently ^rb++++=sufficiently
original ^jj++++=original
to ^to++++=to
close ^vbi++++=close
one ^pn++++=one.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
believed ^vbd+vprv++xvbnx+=believed
rain ^nn++++=rain
invigorating ^jj++++=invigorating,
, ^zz++++=EXTRAWORD
draughts ^nns++++=draughts
wholesome ^jj++++=wholesome,
, ^zz++++=EXTRAWORD
breakfast ^nn++++=breakfast
harmful ^jj++++=harmful,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
overshoes ^nns+++??+=overshoes
the ^ati++++=the
invention ^nn+nom+++=invention
of ^in++++=of
weak ^jj++++=weak-minded
- ^zz++++=EXTRAWORD
minded ^jj+atrb++xvbn+=EXTRAWORD
rubber ^nn++++=rubber
manufacturers ^nns+nom+++=manufacturers.
. ^zz++++=EXTRAWORD
The ^ati++++=The
girls ^nns++++=girls
admired ^vbd+++xvbn+=admired
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Men ^nns++++=Men
with ^in++++=with
opinions ^nns++++=opinions
are ^vb+ber+aux++=are
often ^rb++splt++=often
admired ^vpsv++by+xvbnx+=admired
by ^in++++=by
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
do ^vb+do+aux++=do
not ^xnot++not++=not
have ^md"++pmd"++=have
to ^md+nec+++=to
live ^vb++++=live
with ^in+ppvb+++=with
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Maida ^np+++??+=Maida
admired ^vbd+++xvbn+=admired
him ^pp3o+pp3+++=him
most ^ql+emph+++=most
quietly ^rb++++=quietly.
. ^zz++++=EXTRAWORD
Grace ^nn++++=Grace
Burrows ^np++++=Burrows
admired ^vbd+++xvbn+=admired
him ^pp3o+pp3+++=him
most ^ql+emph+++=most
audibly ^jj++++=audibly.
. ^zz++++=EXTRAWORD
Grace ^nn++++=Grace
sold ^vwbn+++xvbn+=sold
ribbons ^nns++++=ribbons
at ^in++++=at
the ^ati++++=the
next ^ap++++=next
counter ^nn++++=counter.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+vrb++=had
cinnamon ^nn++++=cinnamon-colored
- ^zz++++=EXTRAWORD
colored ^jj+atrb++xvbn+=EXTRAWORD
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
quick ^jj+atrb+++=quick
blue ^nn++++=blue
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
rhinestone ^nn+++??+=rhinestone
brooch ^nn++++=brooch
that ^tht+rel+subj++=that
flashed ^vbd+++xvbn+=flashed
like ^in++++=like
an ^at++++=an
unpaid ^jj+atrb+++=unpaid
bill ^nn++++=bill.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
conversation ^nn+nom+++=conversation
had ^vb+hv+vrb++=had
the ^ati++++=the
medicinal ^jj+atrb+++=medicinal
briskness ^nns+nom+++=briskness
of ^in++++=of
peppermint ^jj+atrb++xvbn+=peppermint
drops ^nns++++=drops.
. ^zz++++=EXTRAWORD
" ^zz++++="Ramsay's
ramsay ^np++++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
awful ^jj+atrb+++=awful
swell ^nn++++=swell,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
he ^pp3a+pp3+++=he
likes ^nns++++=likes
red ^jj++++=red.
. ^zz++++=EXTRAWORD
Any ^dti++++=Any
girl ^nn++++=girl
can ^md+pos+++=can
see ^vb+vprv+tht0++=see
that ^tht+vcmp+++=that."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="How?"
how ^wrb+who+++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbn+vsua++xvbn+=asked
Maida ^np+++??+=Maida.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
looked ^vbd+++xvbnx+=looked
twice ^rb++++=twice
at ^in++++=at
my ^pp$+pp1+++=my
red ^jj+atrb+++=red
bow ^nn++++=bow
Tuesday ^nr++++=Tuesday."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Maybe
maybe ^rb+hdg+++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
crooked ^jj+pred+++=crooked."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Grace ^nn++++=Grace
stared ^vbd+++xvbn+=stared.
. ^zz++++=EXTRAWORD
" ^zz++++="You're
you ^pp2+pp2+++=EXTRAWORD
're ^vb+ber+vrb++0=EXTRAWORD
a ^at++++=a
sly ^jj+atrb+++=sly
one ^pn++++=one,
, ^zz++++=EXTRAWORD
Maida ^np+++??+=Maida
Flynn ^np+++??+=Flynn."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Maida ^np+++??+=Maida
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
sly ^jj++++=sly.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
twenty ^cd++++=twenty,
, ^zz++++=EXTRAWORD
pale ^nn++++=pale
from ^in++++=from
indoor ^jjb+atrb+++=indoor
work ^nn++++=work,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vb+hv+vrb++=had
brown ^jj+atrb+++=brown
eyes ^nns++++=eyes
which ^whp+rel+subj++=which
seemed ^vbd+seem++xvbn+=seemed
too ^ql++++=too
large ^jj++++=large
because ^cs+cos+++=because
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
her ^pp$+pp3+++=her
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
slight ^jj++++=slight.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had
determination ^nn+nom+++=determination.
. ^zz++++=EXTRAWORD
Determination ^nn+nom+++=Determination,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
it ^pp3+it+++=it
inhabits ^vbz+++??+=inhabits
a ^at++++=a
small ^jj+atrb+++=small
shopgirl ^nn+++??+=shopgirl,
, ^zz++++=EXTRAWORD
receives ^vbz++++=receives
no ^at++++=no
statues ^nns++++=statues
and ^cc++++=and
very ^ql+amp+++=very
few ^ap++++=few
notices ^nns++++=notices.
. ^zz++++=EXTRAWORD
Nevertheless ^rb+cnj+++=Nevertheless,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
can ^md+pos+++=can
perform ^vb++++=perform
miracles ^nns++++=miracles
with ^in++++=with
six ^cd++++=six
dollars ^nns++++=dollars
a ^at++++=a
week ^nn++++=week.
. ^zz++++=EXTRAWORD
For ^in++++=For
four ^cd++++=four
months ^nns++++=months
Maida ^np+++??+=Maida
saved ^vwbn+++xvbn+=saved.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
saved ^vbd+++xvbnx+=saved
nickels ^nns+++??+=nickels,
, ^zz++++=EXTRAWORD
dimes ^nns+++??+=dimes,
, ^zz++++=EXTRAWORD
streetcar ^nn+++??+=streetcar
fares ^nns++++=fares,
, ^zz++++=EXTRAWORD
desserts ^nns++++=desserts,
, ^zz++++=EXTRAWORD
gloves ^nns++++=gloves,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
privilege ^nn++++=privilege
of ^in++++=of
being ^xvbg+++xvbg+=being
warm ^jj++++=warm.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
walked ^vbd+++xvbnx+=walked
to ^in++++=to
work ^nn++++=work
unless ^cs+cnd+++=unless
the ^ati++++=the
snow ^nn++++=snow
rose ^vbd+++xvbn+=rose
above ^in+ppvb+++=above
the ^ati++++=the
tops ^nns++++=tops
of ^in++++=of
her ^pp$+pp3+++=her
shoes ^nns++++=shoes.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
drank ^vbd+++xvbnx+=drank
coffee ^nn++++=coffee
without ^in++++=without
milk ^nn++++=milk
and ^cc++++=and
told ^vbd+vpub++xvbn+=told
the ^ati++++=the
boarding ^nn++++=boarding-house
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
landlady ^nn++++=landlady
that ^tht+rel+obj++=that
she ^pp3a+pp3+++=she
preferred ^vbd+++xvbnx+=preferred
it ^pp3+it+++=it
so ^rb++++=so.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
mended ^vbd+++xvbnx+=mended
stockings ^nns++++=stockings
until ^cs+sub+++=until
they ^pp3a+pp3+++=they
consisted ^vbd+++xvbnx+=consisted
chiefly ^rb++++=chiefly
of ^in++++=of
moral ^jj+atrb+++=moral
character ^nn+nom+++=character.
. ^zz++++=EXTRAWORD
The ^ati++++=The
object ^nn++++=object
of ^in++++=of
these ^dt+dem+++=these
economies ^nns++++=economies
hung ^vbd+++xvbn+=hung
unfinished ^jj++++=unfinished
in ^in++++=in
the ^ati++++=the
shop ^nn++++=shop
of ^in++++=of
Schlegel ^np+++??+=Schlegel,
, ^zz++++=EXTRAWORD
the ^ati++++=the
tailor ^nn++++=tailor:
: ^zz++++=EXTRAWORD
a ^at++++=a
purple ^jj+atrb+++=purple
dress ^nn++++=dress.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
a ^at++++=a
timid ^jj+atrb+++=timid
violet ^nn++++=violet,
, ^zz++++=EXTRAWORD
mind ^nn++++=mind
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
lavender ^nn+nom+++=lavender,
, ^zz++++=EXTRAWORD
lilac ^jj++++=lilac,
, ^zz++++=EXTRAWORD
plum ^jj++++=plum,
, ^zz++++=EXTRAWORD
mauve ^jj++++=mauve,
, ^zz++++=EXTRAWORD
orchid ^nn++++=orchid,
, ^zz++++=EXTRAWORD
grape ^nn+++??+=grape,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
any ^dti++++=any
of ^in++++=of
those ^dt+dem+++=those
apologetic ^jj+atrb+++=apologetic
relatives ^nns++++=relatives
of ^in++++=of
purple ^nn++++=purple.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
royal ^jj+atrb+++=royal
tint ^nn++++=tint
itself ^ppl++++=itself
a ^at++++=a
deep ^jj++++=deep,
, ^zz++++=EXTRAWORD
triumphant ^jj++++=triumphant
purple ^jj++++=purple
that ^dt+pdem+++=that
would ^md+prd+++=would
have ^vb+hv+aux++=have
caused ^vprf+++xvbnx+=caused
Cleopatra ^np+++??+=Cleopatra
to ^in++++=to
telephone ^nn++++=telephone
her ^pp$+pp3+++=her
dressmaker ^jjr++++=dressmaker.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
had ^vb+hv+vrb++=had
a ^at++++=a
fitted ^jj+atrb++xvbn+=fitted
bodice ^nn++++=bodice,
, ^zz++++=EXTRAWORD
a ^at++++=a
narrow ^jj+atrb+++=narrow
panel ^nn++++=panel,
, ^zz++++=EXTRAWORD
six ^cd++++=six
smoked ^vbd+++xvbn+=smoked
pearl ^nn++++=pearl
buttons ^nns++++=buttons,
, ^zz++++=EXTRAWORD
gathered ^jj+atrb++xvbn+=gathered
sleeves ^nns++++=sleeves,
, ^zz++++=EXTRAWORD
a ^at++++=a
collar ^nn++++=collar
of ^in++++=of
imitation ^nn+nom+++=imitation
lace ^nn++++=lace,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
skirt ^nn++++=skirt
that ^tht+rel+subj++=that
fell ^vbd+++xvbn+=fell
in ^in++++=in
lines ^nns++++=lines
which ^whp+rel+obj++=which
Schlegel ^np+++??+=Schlegel
declared ^vbd+vpub++xvbn+=declared
were ^vbd+bed+vrb++=were
" ^zz++++="so
so ^ql+emph+++=EXTRAWORD
graceful ^jj++++=graceful
like ^in++++=like
music ^nn++++=music."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
entire ^jjb+atrb+++=entire
creation ^nn+nom+++=creation
cost ^nn++++=cost
eighteen ^cd++++=eighteen
dollars ^nns++++=dollars,
, ^zz++++=EXTRAWORD
alteration ^nn+nom+++=alteration
included ^vbd+++xvbn+=included.
. ^zz++++=EXTRAWORD
Grace ^nn++++=Grace
bought ^vbd+++xvbn+=bought
red ^jj++++=red.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
dress ^nn++++=dress
was ^vbd+bedz+vrb++=was
scarlet ^jj+pred+++=scarlet,
, ^zz++++=EXTRAWORD
with ^in++++=with
black ^jj+atrb+++=black
braid ^nn++++=braid,
, ^zz++++=EXTRAWORD
brass ^nn++++=brass
buttons ^nns++++=buttons,
, ^zz++++=EXTRAWORD
a ^at++++=a
pointed ^jj+atrb++xvbn+=pointed
belt ^nn++++=belt,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
enough ^dt++++=enough
confidence ^nn+nom+++=confidence
for ^in++++=for
three ^cd++++=three
women ^nns++++=women.
. ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
me ^pp1o+pp1+++=me
for ^in++++=for
red ^jj++++=red,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
announced ^vbd+vpub++xvbnx+=announced
at ^rb++++=at
luncheon ^nn++++=luncheon.
. ^zz++++=EXTRAWORD
" ^zz++++="Purple
purple ^jj++++=EXTRAWORD
makes ^vbz++++=makes
a ^at++++=a
girl ^nn++++=girl
look ^vb++++=look
like ^in++++=like
a ^at++++=a
funeral ^nn++++=funeral
wreath ^nn++++=wreath."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Maida ^np+++??+=Maida
continued ^vbd+++xvbn+=continued
eating ^nvbg+++xvbg+=eating
her ^pp3o+pp3+++=her
bread ^nn++++=bread.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
dress ^nn++++=dress
is ^vbz+bez+aux++=is
nearly ^rb+down+splt++=nearly
done ^vpsv++agls+xvbnx+=done,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Mine's
mine ^pp$$++++=EXTRAWORD
's ^vbz+bez+aux++0=EXTRAWORD
done ^vwbn+++xvbn+=done
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
Ramsay ^np+++??+=Ramsay'll
'll ^md+prd+++0=EXTRAWORD
notice ^vb+vprv+++=notice
it ^pp3+it+++=it
at ^in++++=at
the ^ati++++=the
dinner ^nn++++=dinner."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
may ^md+pos+++=may."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
likes ^nns++++=likes
cheerful ^jj+atrb+++=cheerful
colors ^nns++++=colors."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Maybe."
maybe ^rb+hdg+++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Grace ^nn++++=Grace
frowned ^vbd+++xvbn+=frowned.
. ^zz++++=EXTRAWORD
Maida ^np++++=Maida's
's ^$++++=EXTRAWORD
soft ^jj+atrb+++=soft
replies ^nns++++=replies
were ^vbd+bed+vrb++=were
troublesome ^jj+pred+++=troublesome.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
could ^md+pos+++=could
not ^xnot++not++=not
quarrel ^vb++++=quarrel
successfully ^rb++++=successfully
with ^in++++=with
them ^pp3o+pp3+++=them;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
lay ^vbd+++xvbnx+=lay
down ^rb+phrv+++=down
before ^cs+sub+++=before
attack ^vb++++=attack
and ^cc+phrs+++=and
permitted ^vbd+++xvbn+=permitted
it ^pp3+it+++=it
to ^to++++=to
fall ^vbi++++=fall
over ^rb++++=over.
. ^zz++++=EXTRAWORD
The ^ati++++=The
night ^nn++++=night
before ^in++++=before
Thanksgiving ^np+++??+=Thanksgiving,
, ^zz++++=EXTRAWORD
Maida ^np+++??+=Maida
went ^vbd+++xvbn+=went
to ^in++++=to
Schlegel ^np++++=Schlegel's
's ^vbz+bez+vrb++0=EXTRAWORD
with ^in++++=with
fourteen ^cd++++=fourteen
dollars ^nns++++=dollars
in ^in++++=in
her ^pp$+pp3+++=her
purse ^nn++++=purse.
. ^zz++++=EXTRAWORD
Four ^cd++++=Four
more ^ql++++=more
dollars ^nns++++=dollars
would ^md+prd+++=would
be ^vb+be+vrb++=be
due ^jj+pred+++=due
before ^cs+sub+++=before
the ^ati++++=the
dress ^nn++++=dress
could ^md+pos+++=could
leave ^vb++++=leave
the ^ati++++=the
premises ^nns++++=premises,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Friday ^nr++++=Friday
was ^vbd+bedz+vrb++=was
payday ^nn+++??+=payday,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Schlegel ^np+++??+=Schlegel
had ^vbd+hvd+aux++=had
promised ^vprf+++xvbnx+=promised
to ^to+vcmp+++=to
finish ^vbi++++=finish
the ^ati++++=the
gown ^nn++++=gown
by ^in++++=by
six ^cd++++=six.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
arranged ^vprf++tht0+xvbnx+=arranged
everything ^pn++++=everything.
. ^zz++++=EXTRAWORD
At ^rb++++=At
half ^abn++++=half
past ^jjb++++=past
six ^cd++++=six
she ^pp3a+pp3+++=she
would ^md+prd+++=would
take ^vb++++=take
the ^ati++++=the
dress ^nn++++=dress,
, ^zz++++=EXTRAWORD
at ^rb++++=at
seven ^cd++++=seven
she ^pp3a+pp3+++=she
would ^md+prd+++=would
dress ^vb++++=dress
in ^in++++=in
the ^ati++++=the
back ^jjb+atrb+++=back
room ^nn++++=room
at ^in++++=at
the ^ati++++=the
store ^nn++++=store,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^in++++=at
seven ^cd++++=seven-thirty
- ^zz++++=EXTRAWORD
thirty ^cd++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Bachman ^np++++=Bachman's
's ^$++++=EXTRAWORD
annual ^jj+atrb+++=annual
benevolence ^nn+nom+++=benevolence
would ^md+prd+++=would
begin ^vb++++=begin
with ^in++++=with
oyster ^nn++++=oyster
soup ^nn++++=soup.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Ramsay ^np++++=Ramsay
would ^md+prd+++=would
see ^vb+vprv+tht0++=see
her ^pp$+pp3+++=her
in ^in++++=in
purple ^nn++++=purple.
. ^zz++++=EXTRAWORD
The ^ati++++=The
universe ^nn++++=universe
would ^md+prd+++=would
then ^rn+tm+splt++=then
proceed ^vb++++=proceed
as ^ql++++=as
it ^pp3+it+++=it
thought ^vbd+++xvbn+=thought
best ^jjt++++=best.
. ^zz++++=EXTRAWORD
At ^rb++++=At
five ^cd++++=five
o'clock ^rb++++=o'clock
Grace ^nn++++=Grace
came ^vbd+++xvbn+=came
to ^in++++=to
Maida ^np++++=Maida's
's ^$++++=EXTRAWORD
counter ^nn++++=counter.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
red ^jj+atrb+++=red
dress ^nn++++=dress
was ^vbd+bedz+vrb++=was
in ^in++++=in
a ^at++++=a
paper ^nn++++=paper
box ^nn++++=box
beneath ^rb++++=beneath
her ^pp$+pp3+++=her
arm ^vb++++=arm,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
her ^pp$+pp3+++=her
face ^nn++++=face
had ^vbd+hvd+aux++=had
lost ^vprf+++xvbnx+=lost
all ^abn++++=all
its ^pp$+it+++=its
peppermint ^jj+++xvbn+=peppermint.
. ^zz++++=EXTRAWORD
