We ^pp1a+pp1+++=We
, ^zz++++=EXTRAWORD
on ^in++++=on
Tuesday ^nr++++=Tuesday
as ^in++++=as
infamous ^jj++++=infamous,
, ^zz++++=EXTRAWORD
on ^in++++=on
Wednesday ^nr++++=Wednesday
as ^in++++=as
inevitable ^jj++++=inevitable,
, ^zz++++=EXTRAWORD
on ^in++++=on
Thursday ^nr++++=Thursday
as ^in++++=as
impossible ^jj++++=impossible,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
on ^in++++=on
Friday ^nr++++=Friday
as ^in++++=as
a ^at++++=a
matter ^nn++++=matter
upon ^in++++=upon
which ^whp+rel+pied++=which
no ^at++++=no
responsible ^jj+atrb+++=responsible
statesman ^nn+nom+++=statesman
had ^vb+hv+aux++=had
ever ^rb++splt++=ever
expressed ^vprf+++xvbnx+=expressed
an ^at++++=an
opinion ^nn++++=opinion.
. ^zz++++=EXTRAWORD
All ^abn++++=All
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
perfectly ^rb+amp+++=perfectly
true ^jj+pred+++=true;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
truth ^nn++++=truth,
, ^zz++++=EXTRAWORD
unless ^cs+cnd+++=unless
directed ^vpsv++by+xvbn+=directed
by ^in++++=by
experienced ^jj+atrb++xvbn+=experienced
persons ^nns++++=persons,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
dangerous ^jj+atrb+++=dangerous
and ^cc+phrs+++=and
disorderly ^jj+atrb+++=disorderly
thing ^nn++++=thing.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
honourable ^jj+atrb+++=honourable
friend ^nn++++=friend
explained ^vbd+vpub++xvbn+=explained
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
voted ^vprf+++xvbnx+=voted
for ^in++++=for
the ^ati++++=the
Bill ^nn++++=Bill,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
supported ^vprf+++xvbnx+=supported
its ^pp$+it+++=its
principle ^nn++++=principle
without ^in++++=without
approving ^xvbg+++xvbg+=approving
its ^pp$+it+++=its
provisions ^nns++++=provisions;
; ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
voted ^vprf+++xvbnx+=voted
against ^in++++=against
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
opposed ^vprf+++xvbnx+=opposed
its ^pp$+it+++=its
provisions ^nns++++=provisions
without ^in++++=without
abandoning ^xvbg+++xvbg+=abandoning
its ^pp$+it+++=its
principle ^nn++++=principle.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
called ^vbd+++xvbnx+=called
it ^pp3+it+++=it
national ^jj+atrb+++=national
salvation ^nn+nom+++=salvation,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
spoke ^vbd+++xvbnx+=spoke
prospectively ^jj++++=prospectively;
; ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
described ^vbd+++xvbnx+=described
it ^pp3+it+++=it
as ^in++++=as
a ^at++++=a
funeral ^nn++++=funeral
warrant ^nn+nom+++=warrant,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
spoke ^vbd+++xvbnx+=spoke
retrospectively ^jj++++=retrospectively;
; ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
said ^vbd+vpub+tht0+xvbnx+=said
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
inevitable ^jj+pred+++=inevitable,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
referred ^vbd+++xvbnx+=referred
to ^in++++=to
the ^ati++++=the
necessity ^nn+nom+++=necessity
of ^in++++=of
preventing ^xvbg+++xvbg+=preventing
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
called ^vbd+++xvbnx+=called
it ^pp3+it+++=it
impossible ^jj++++=impossible,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
meant ^vbd+vprv++xvbnx+=meant
that ^tht+vcmp+++=that
nothing ^pn++++=nothing
was ^vbd+bedz+vrb++=was
impossible ^jj+pred+++=impossible
to ^to+jcmp+++=to
a ^at++++=a
united ^np++++=united
people ^nns++++=people,
, ^zz++++=EXTRAWORD
except ^in+strn+++=except,
, ^zz++++=EXTRAWORD
naturally ^rb+cnj+++=naturally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
particular ^jj+atrb+++=particular
thing ^nn++++=thing
then ^rn+tm+++=then
under ^in++++=under
discussion ^nn++++=discussion.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
the ^ati++++=the
whole ^jj+atrb+++=whole
charge ^nn++++=charge
fell ^vbd+++xvbn+=fell
to ^in++++=to
pieces ^nns++++=pieces,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
many ^ap++++=many
gentlemen ^nns++++=gentlemen
who ^whp+rel+subj++=who
had ^vb+hv+aux++=had
previously ^rb+tm+splt++=previously
considered ^vprf+++xvbnx+=considered
black ^jj++++=black
to ^to++++=to
be ^vbi++vrb++=be
black ^jj++++=black
perceived ^vb+++xvbn+=perceived
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
viewed ^xvbn+++xvbn+=viewed
from ^in++++=from
the ^ati++++=the
proper ^jj+atrb+++=proper
side ^nn++++=side
and ^cc++++=and
by ^in++++=by
the ^ati++++=the
light ^nn++++=light
of ^in++++=of
Party ^nn++++=Party,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
merely ^rb+down+++=merely
white ^jj++++=white,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
dazzling ^jj+++xvbg+=dazzling.
. ^zz++++=EXTRAWORD
The ^ati++++=The
position ^nn+nom+++=position
of ^in++++=of
our ^pp$+pp1+++=our
honourable ^jj+atrb+++=honourable
friend ^nn++++=friend's
's ^vbz+bez+vrb++0=EXTRAWORD
parliamentary ^jj+atrb+++=parliamentary
allies ^nns++++=allies
was ^vbd+bedz+vrb++=was
equally ^rb++++=equally
simple ^jj+pred+++=simple.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
twelve ^cd++++=twelve
of ^in++++=of
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
demanded ^vwbn+vsua++xvbn+=demanded
immediate ^jj+atrb+++=immediate
action ^nn++++=action;
; ^zz++++=EXTRAWORD
one ^cd1++++=one
opposed ^vbd+++xvbn+=opposed
all ^abn++++=all
action ^nn++++=action
as ^in++++=as
premature ^jj++++=premature;
; ^zz++++=EXTRAWORD
one ^cd1++++=one
favoured ^vbd+++xvbn+=favoured
delay ^nn++++=delay
until ^cs+sub+++=until
action ^nn++++=action
became ^vbd+++xvbn+=became
unnecessary ^jj++++=unnecessary;
; ^zz++++=EXTRAWORD
one ^cd1++++=one
insisted ^vprf+++xvbn+=insisted
that ^tht+vcmp+++=that
nothing ^pn++++=nothing
had ^vbd+hvd+aux++=had
happened ^vprf+++xvbnx+=happened;
; ^zz++++=EXTRAWORD
one ^cd1++++=one
declared ^vbd+vpub++xvbn+=declared
that ^tht+vcmp+++=that
what ^wdt+who+++=what
had ^vbd+hvd+aux++=had
happened ^vprf+++xvbnx+=happened
must ^md+nec+++=must
never ^rb++splt++=never
happen ^vb+++??+=happen
again ^rb+tm+++=again;
; ^zz++++=EXTRAWORD
one ^cd1++++=one
wished ^vbd+vprv++xvbn+=wished
to ^to+vcmp+++=to
abolish ^vbi++++=abolish
the ^ati++++=the
institution ^nn+nom+++=institution
in ^in++++=in
question ^nn+nom+++=question;
; ^zz++++=EXTRAWORD
one ^cd1++++=one
wished ^vbd+vprv++xvbn+=wished
to ^to+vcmp+++=to
crown ^vb++++=crown
it ^pp3+it+++=it
with ^in++++=with
renewed ^jj+atrb++xvbn+=renewed
dignity ^nn+nom+++=dignity;
; ^zz++++=EXTRAWORD
one ^cd1++++=one
believed ^vbd+vprv++xvbn+=believed
it ^pp3+it+++=it
to ^to++++=to
be ^vbi++vrb++=be
foreign ^jj+pred+++=foreign;
; ^zz++++=EXTRAWORD
one ^cd1++++=one
claimed ^vbd+vpub++xvbn+=claimed
it ^pp3+it+++=it
as ^in++++=as
peculiarly ^rb++++=peculiarly
English ^jj++++=English;
; ^zz++++=EXTRAWORD
one ^cd1++++=one
had ^vb+hv+aux++=had
not ^xnot++not++=not
heard ^vbd+vprv++xvbn+=heard
of ^in++++=of
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
one ^cd1++++=one
had ^vbd+hvd+aux++=had
written ^vprf+++xvbnx+=written
a ^at++++=a
pamphlet ^nn+nom+++=pamphlet
about ^in++++=about
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^pn++++=one,
, ^zz++++=EXTRAWORD
with ^in++++=with
that ^dt+dem+++=that
superb ^jj+atrb+++=superb
independence ^nn+nom+++=independence
which ^whp+rel+subj++=which
distinguishes ^vbz++++=distinguishes
the ^ati++++=the
disciplined ^jj+atrb+++=disciplined
statesman ^nn+nom+++=statesman,
, ^zz++++=EXTRAWORD
awaited ^jj+atrb++xvbn+=awaited
instructions ^nns+nom+++=instructions.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
twelve ^cd++++=twelve
patriots ^nns++++=patriots
constituted ^vbd+++xvbn+=constituted,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
phrase ^nn++++=phrase
of ^in++++=of
our ^pp$+pp1+++=our
honourable ^jj+atrb+++=honourable
friend ^nn++++=friend,
, ^zz++++=EXTRAWORD
" ^zz++++="an
an ^at++++=EXTRAWORD
impregnable ^jj+atrb+++=impregnable
phalanx ^nn+++??+=phalanx
of ^in++++=of
unanimous ^jj+atrb+++=unanimous
conviction ^nn+nom+++=conviction."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
at ^rb++++=at
the ^ati++++=the
Great ^jj++++=Great
Constitutional ^jj++++=Constitutional
Meeting ^jj+++xvbg+=Meeting
in ^in++++=in
the ^ati++++=the
Upper ^jjb+atrb+++=Upper
Room ^nn++++=Room
of ^in++++=of
the ^ati++++=the
Blue ^jj+atrb+++=Blue
Lion ^nn++++=Lion
that ^tht+rel+obj++=that
a ^at++++=a
sullen ^jj+atrb+++=sullen
and ^cc+phrs+++=and
objectionable ^jj+atrb+++=objectionable
person ^nn++++=person
named ^vbd+++xvbn+=named
Tipkisson ^np+++??+=Tipkisson
attempted ^vbd+++xvbn+=attempted
to ^to+vcmp+++=to
disturb ^vbi++++=disturb
this ^dt+dem+++=this
unanimity ^nn+nom+++=unanimity.
. ^zz++++=EXTRAWORD
The ^ati++++=The
room ^nn++++=room
was ^vbd+bedz+aux++=was
magnificently ^rb++splt++=magnificently
decorated ^vpsv++agls+xvbnx+=decorated.
. ^zz++++=EXTRAWORD
Across ^in+pl+++=Across
the ^ati++++=the
platform ^nn++++=platform
hung ^vbd+++xvbn+=hung
a ^at++++=a
banner ^nn++++=banner
bearing ^vwbg+++xvbg+=bearing
the ^ati++++=the
words ^nns++++=words
Our ^pp$+pp1+++=OUR
Homes ^nrs++++=HOMES,
, ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=OUR
Rights ^nns++++=RIGHTS,
, ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=OUR
Everything ^pn++++=EVERYTHING;
; ^zz++++=EXTRAWORD
beneath ^in+pl+++=beneath
it ^pp3+it+++=it
stood ^vbd+++xvbn+=stood
our ^pp$+pp1+++=our
honourable ^jj+atrb+++=honourable
friend ^nn++++=friend,
, ^zz++++=EXTRAWORD
three ^cd++++=three
magistrates ^nns+nom+++=magistrates,
, ^zz++++=EXTRAWORD
five ^cd++++=five
brewers ^nns+nom+++=brewers,
, ^zz++++=EXTRAWORD
the ^ati++++=the
chairman ^nn+nom+++=chairman
of ^in++++=of
the ^ati++++=the
Water ^nn++++=Water
Company ^nn++++=Company,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
gentleman ^nn+nom+++=gentleman
whose ^whp+rel+obj++=whose
precise ^jj+atrb+++=precise
profession ^nn++++=profession
was ^vbd+bedz+vrb++=was
unknown ^jj+pred+++=unknown,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
who ^whp+who+++=who
carried ^vbd+++xvbn+=carried
a ^at++++=a
life ^nn++++=life-preserver
- ^zz++++=EXTRAWORD
preserver ^nn+nom+++=EXTRAWORD
and ^cc++++=and
rendered ^jj+atrb++xvbn+=rendered
useful ^jj+atrb+++=useful
services ^nns++++=services
at ^in++++=at
elections ^nns+nom+++=elections.
. ^zz++++=EXTRAWORD
The ^ati++++=The
free ^jj+atrb+++=free
and ^cc+phrs+++=and
independent ^jj+atrb+++=independent
electors ^nns++++=electors
crowded ^vbd+++xvbn+=crowded
every ^at++++=every
corner ^nn++++=corner.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
were ^vbd+bed+vrb++=were
free ^jj+pred+++=free
by ^in++++=by
nature ^nn++++=nature,
, ^zz++++=EXTRAWORD
some ^dti++++=some
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
freed ^vpsv++agls+xvbnx+=freed
that ^dt+dem+++=that
afternoon ^nn++++=afternoon
from ^in++++=from
the ^ati++++=the
police ^nns++++=police
station ^nn+nom+++=station,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^rb++++=all
were ^vbd+bed+vrb++=were
independent ^jj+pred+++=independent
of ^in++++=of
any ^dti++++=any
consideration ^nn+nom+++=consideration
except ^in++++=except
beer ^nn++++=beer.
. ^zz++++=EXTRAWORD
The ^ati++++=The
enthusiasm ^nn++++=enthusiasm
was ^vbd+bedz+vrb++=was
tremendous ^jj+pred+++=tremendous.
. ^zz++++=EXTRAWORD
The ^ati++++=The
landlord ^nn++++=landlord
had ^vb+hv+aux++=had
nobly ^rb++splt++=nobly
thrown ^vprf+++xvbnx+=thrown
open ^jj++++=open
the ^ati++++=the
house ^nn++++=house
not ^xnot++not++=not
the ^ati++++=the
doors ^nns++++=doors
merely ^rb+cnj+++=merely,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
taps ^vbz++++=taps
and ^cc++++=and
patriotism ^nn+nom+++=patriotism
flowed ^vbd+++xvbn+=flowed
at ^in+cmpx+++=at
the ^in"++++=the
expense ^in"++++=expense
of ^in"++++=of
the ^ati++++=the
committee ^nn+nom+++=committee.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
honourable ^jj+atrb+++=honourable
friend ^nn++++=friend
rose ^vbd+++xvbn+=rose
amid ^in++++=amid
a ^at++++=a
scene ^nn++++=scene
which ^whp+rel+subj++=which
will ^md+prd+++=will
never ^rb++++=never
be ^vb+be+aux++=be
forgotten ^vpsv++by+xvbnx+=forgotten
by ^in++++=by
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
remembered ^vbd+vprv++xvbn+=remembered
any ^dti++++=any
of ^in++++=of
it ^pp3+it+++=it
the ^ati++++=the
next ^ap++++=next
morning ^nn++++=morning.
. ^zz++++=EXTRAWORD
" ^zz++++="Men
men ^nns++++=EXTRAWORD
of ^in++++=of
Verbosity ^np+nom++??+=Verbosity!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
began ^vbd+++xvbnx+=began.
. ^zz++++=EXTRAWORD
" ^zz++++="Bravo!"
bravo ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
a ^at++++=a
voice ^nn++++=voice.
. ^zz++++=EXTRAWORD
" ^zz++++="Women
women ^nns++++=EXTRAWORD
of ^in++++=of
Verbosity ^np+nom++??+=Verbosity!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Better
better ^jjr++++=EXTRAWORD
still ^rb++++=still!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
shouted ^vbd+vpub++xvbn+=shouted
another ^dt++++=another.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
those ^dt+dem+++=those
rising ^jj+atrb++xvbg+=rising
generations ^nns+nom+++=generations
upon ^in++++=upon
whose ^whp+rel+pied++=whose
yet ^rb++++=yet
unformed ^jj+atrb++xvbn+=unformed
brows ^nns++++=brows
the ^ati++++=the
solemn ^jj+atrb+++=solemn
finger ^nn++++=finger
of ^in++++=of
Futurity ^np+nom++??+=Futurity
has ^vbz+hvz+aux++=has
written ^vprf+++xvbnx+=written
the ^ati++++=the
imperishable ^jj+atrb+++=imperishable
legend ^nn++++=legend
of ^in++++=of
To ^to++++=To-morrow!"
- ^zz++++=EXTRAWORD
morrow ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
At ^rb++++=At
this ^dt+dem+++=this
a ^at++++=a
baby ^nn++++=baby
began ^vbd+++xvbn+=began
to ^to++++=to
howl ^vbi++++=howl,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+aux++=was
immediately ^rb+tm+splt++=immediately
acclaimed ^vpsv++agls+xvbnx+=acclaimed.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
honourable ^jj+atrb+++=honourable
friend ^nn++++=friend
placed ^vwbn+++xvbn+=placed
one ^cd1++++=one
hand ^nn++++=hand
within ^in++++=within
his ^pp$+pp3+++=his
coat ^nn++++=coat,
, ^zz++++=EXTRAWORD
extended ^j+++xvbn+=extended
the ^ati++++=the
other ^ap++++=other
toward ^in++++=toward
the ^ati++++=the
gas ^nn++++=gas
chandelier ^nn+nom+++=chandelier,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
asked ^vbd+vsua++xvbn+=asked
whether ^cs+who+++=whether
England ^np++++=England
was ^vbd+bedz+aux++=was
to ^to++++=to
remain ^vbi++++=remain
England ^np++++=England.
. ^zz++++=EXTRAWORD
The ^ati++++=The
meeting ^xvbg+++xvbg+=meeting
replied ^vbd+vpub++xvbn+=replied
that ^tht+vcmp+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
asked ^vbd+vsua++xvbnx+=asked
whether ^cs+who+++=whether
the ^ati++++=the
heart ^nn++++=heart
of ^in++++=of
the ^ati++++=the
nation ^nn++++=nation
was ^vbd+bedz+vrb++=was
to ^in++++=to
beat ^nn+++xvbn+=beat,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
whether ^cs+who+++=whether
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
Not ^xnot++not++=NOT
to ^to++++=to
beat ^vbi++++=beat.
. ^zz++++=EXTRAWORD
The ^ati++++=The
meeting ^nvbg+++xvbg+=meeting,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
a ^at++++=a
moment ^nn++++=moment's
's ^vbz+bez+vrb++0=EXTRAWORD
natural ^jj+atrb+++=natural
uncertainty ^nn++++=uncertainty,
, ^zz++++=EXTRAWORD
decided ^vpbn+vprv++xvbn+=decided
by ^in++++=by
a ^at++++=a
large ^jj+atrb+++=large
majority ^nn+nom+++=majority
in ^in++++=in
favour ^in"++++=favour
of ^in"++++=of
beating ^nvbg+++xvbg+=beating.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
demanded ^vbd+vsua++xvbnx+=demanded
whether ^cs+who+++=whether
the ^ati++++=the
sacred ^jj+atrb+++=sacred
bulwarks ^nns+++??+=bulwarks
of ^in++++=of
our ^pp$+pp1+++=our
island ^nn++++=island
constitution ^nn+nom+++=constitution
were ^vbd+bed+aux++=were
to ^to++++=to
be ^vbi+vbi+aux++=be
surrendered ^vpsv++agls+xvbnx+=surrendered
to ^in++++=to
hireling ^nn+nom+++=hireling
tools ^nns++++=tools,
, ^zz++++=EXTRAWORD
foreign ^jj+atrb+++=foreign
intrigues ^nns++++=intrigues,
, ^zz++++=EXTRAWORD
cosmopolitan ^jj+atrb+++=cosmopolitan
doctrines ^nns++++=doctrines,
, ^zz++++=EXTRAWORD
anonymous ^jj+atrb+++=anonymous
pamphleteers ^nns+nom+++=pamphleteers,
, ^zz++++=EXTRAWORD
paid ^jj+atrb++xvbn+=paid
agitators ^nns++++=agitators,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
persons ^nns++++=persons
who ^whp+rel+subj++=who
asked ^vbn+vsua++xvbn+=asked
questions ^nns+nom+++=questions
at ^rb++++=at
public ^jj+atrb+++=public
meetings ^nns++++=meetings.
. ^zz++++=EXTRAWORD
" ^zz++++="No
no ^at++++=EXTRAWORD
