Superstitious ^jj+atrb+++=Superstitious
black ^jj+atrb+++=black
cat ^nn++++=cat
crosses ^vbz++++=crosses
your ^pp$+pp2+++=your
path ^nn++++=path
it ^pp3+it+++=it
means ^in++++=means
either ^dtx++++=either
good ^jj+atrb+++=good
luck ^nn++++=luck
or ^cc++++=or
bad ^jj+atrb+++=bad
luck ^nn++++=luck,
, ^zz++++=EXTRAWORD
according ^in++++=according
to ^to++++=to
whether ^cs+who+++=whether
it ^pp3+it+++=it's
's ^vbz+bez+aux++0=EXTRAWORD
going ^vbg+++xvbgx+=going
to ^in++++=to
the ^ati++++=the
right ^nn++++=right
or ^cc++++=or
the ^ati++++=the
left ^nn+++xvbn+=left.
. ^zz++++=EXTRAWORD
Nobody ^pn++++=Nobody
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
know ^vbi+vprv+++=know
which ^wdt+who+whcl++=which,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
by ^in++++=by
the ^ati++++=the
time ^nn++++=time
you ^pp2+pp2+++=you've
've ^vb+hv+aux++0=EXTRAWORD
found ^vprf+++xvbnx+=found
out ^rp+pl+++=out
the ^ati++++=the
cat ^nn++++=cat's
's ^$++++=EXTRAWORD
gone ^vbd+++xvbn+=gone
' ^zz++++='ome.
ome ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
Sailormen ^np+++??+=Sailormen
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
leave ^vb++++=leave
things ^nns++++=things
undecided ^jj++++=undecided
like ^in++++=like
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
know ^vb+vprv+++=know
exactly ^rb++++=exactly
wot ^wpr++++=wot's
's ^vbz+bez+vrb++0=EXTRAWORD
unlucky ^jj++++=unlucky.
. ^zz++++=EXTRAWORD
Whistling ^jj++++=Whistling
at ^rb++++=at
sea ^nn++++=sea
is ^vbz+bez+vrb++=is
unlucky ^jj+pred+++=unlucky;
; ^zz++++=EXTRAWORD
sailing ^nvbg+++xvbg+=sailing
on ^in++++=on
Friday ^nr++++=Friday
is ^vbz+bez+vrb++=is
unlucky ^jj+pred+++=unlucky;
; ^zz++++=EXTRAWORD
cutting ^nvbg+++xvbg+=cutting
your ^pp$+pp2+++=your
nails ^nns++++=nails
in ^in++++=in
a ^at++++=a
calm ^nn++++=calm
is ^vbz+bez+vrb++=is
unlucky ^jj+pred+++=unlucky;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
seeing ^vbg+vprv+tht0+xvbg+=seeing
a ^at++++=a
red- ^nn++++=red-'aired
'aired ^vbd+++xvbn+0=EXTRAWORD
woman ^nn++++=woman
afore ^in++++=afore
breakfast ^nn++++=breakfast
is ^vbz+bez+vrb++=is
enough ^qlp++++=enough
to ^to++++=to
make ^vbi++++=make
some ^dti++++=some
of ^in++++=of
them ^pp3o+pp3+++0='em
turn ^nn++++=turn
back ^jjb++++=back
and ^cc++++=and
spend ^vb++++=spend
the ^ati++++=the
day ^nn++++=day
in ^in++++=in
bed ^nn++++=bed.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That's
's ^vbz+bez+aux++0=EXTRAWORD
why ^wrb+who+++=why
red- ^vb+++??+=red-'aired
'aired ^vpsv++agls+xvbn+0=EXTRAWORD
women ^nns++++=women
mostly ^rb++++=mostly
get ^vb++++=get
their ^pp$+pp3+++=their
shopping ^xvbg+++xvbg+=shopping
done ^vprf+++xvbn+=done
in ^in++++=in
the ^ati++++=the
afternoon ^nn++++=afternoon.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
at ^in++++=at
sea ^npl++++=sea
myself ^ppl+pp1+++=myself
for ^in++++=for
over ^in++++=over
twenty ^cd++++=twenty
year ^nn++++=year,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
never ^rb++++=never
believed ^vbd+vprv++xvbn+=believed
in ^in++++=in
none ^rb++++=none
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Never ^rb++++=Never.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
seen ^vprf+++xvbnx+=seen
things ^nns++++=things,
, ^zz++++=EXTRAWORD
mind ^nn++++=mind
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
as ^ql++++=as
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+aux++=be
explained ^vpsv++by+xvbnx+=explained
by ^in++++=by
ordinary ^jj+atrb+++=ordinary
means ^nn++++=means,
, ^zz++++=EXTRAWORD
but ^cs+sub+++=but
that ^cs"++++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
different ^jj++++=different.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
hand ^nn++++=hand
come ^vb++++=come
up ^rp++++=up
out ^rp+pl+++=out
of ^in++++=of
a ^at++++=a
bucket ^nn++++=bucket
aboard ^in+pl+++=aboard
the ^ati++++=the
*mary ^nn++++=*Mary
Ann* ^np+++??+=Ann*
one ^cd1++++=one
night ^nn++++=night,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
beckon ^nn+++??+=beckon
to ^in++++=to
the ^ati++++=the
cook ^nn++++=cook.
. ^zz++++=EXTRAWORD
Three ^cd++++=Three
men ^nns++++=men
saw ^vbd+vprv++xvbn+=saw
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
besides ^rb+cnj+++=besides
the ^ati++++=the
cook ^nn++++=cook,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
next ^ap++++=next
morning ^nn++++=morning
the ^ati++++=the
cook ^nn++++=cook
found ^vbd+vprv++xvbn+=found
his ^pp$+pp3+++=his
best ^jjt+atrb+++=best
shirt ^nn++++=shirt
missing ^vwbg+++xvbg+=missing.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
may ^md+pos+++=may
call ^vb++++=call
that ^dt+dem+++=that
superstition ^nn+nom+++=superstition
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
like ^vb++++=like;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
call ^vb++++=call
it ^pp3+it+++=it
dishonesty ^nn++++=dishonesty.
. ^zz++++=EXTRAWORD
One ^pn++++=One
of ^in++++=of
the ^ati++++=the
three ^cd++++=three
men ^nns++++=men
was ^vbd+bedz+aux++=was
wearing ^vbg+++xvbgx+=wearing
the ^ati++++=the
shirt ^nn++++=shirt
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
reached ^vbd+++xvbn+=reached
Gravesend ^np+++??+=Gravesend.
. ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
the ^ati++++=the
mate ^nn++++=mate
of ^in++++=of
the ^ati++++=the
*sea ^nn+++??+=*Sea
Pigeon* ^np+++??+=Pigeon*,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
always ^rb++++=always
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he
could ^md+pos+++=could
hear ^vb+vprv+++=hear
bells ^nns++++=bells
ringing ^vwbg+++xvbg+=ringing
under ^in++++=under
the ^ati++++=the
water ^nn++++=water
whenever ^nn+nom+++=whenever
a ^at++++=a
ship ^nn++++=ship
was ^vbd+bedz+aux++=was
going ^md"++pmd"++=going
to ^md+prd+++=to
sink ^vb++++=sink.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
heard ^vbd+vprv++xvbnx+=heard
them ^pp3o+pp3+++0='em
regular ^jj++++=regular
for ^in++++=for
fourteen ^cd++++=fourteen
years ^nns++++=years,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
ship ^nn++++=ship
never ^rb++++=never
sunk ^vprf+++xvbn+=sunk
once ^rb+tm+++=once.
. ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last
the ^ati++++=the
skipper ^npt++++=skipper
found ^vbd+vprv++xvbn+=found
out ^rp+pl+++=out
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
two ^cd++++=two
empty ^jj+atrb+++=empty
medicine ^nn++++=medicine
bottles ^nns++++=bottles
knocking ^vwbg+++xvbg+=knocking
together ^nn+nom+++=together
under ^in++++=under
the ^ati++++=the
mate ^nn++++=mate's
's ^$++++=EXTRAWORD
bunk ^nn++++=bunk.
. ^zz++++=EXTRAWORD
The ^ati++++=The
mate ^nn++++=mate
said ^vbd+vpub+tht0+xvbn+=said
that ^tht+vcmp+++=that
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
prove ^vb+vprv+++=prove
nothing ^pn++++=nothing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
p ^zz++++=p'raps
'raps ^nns+++??+0=EXTRAWORD
it ^pp3+it+++=it
did ^vbd+dod+vrb++=didn't.
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
only ^rb+down+++=only
proves ^vbz+vprv+++=proves
that ^tht+vcmp+++=that
some ^dti++++=some
men ^nns++++=men
would ^md+prd+++=would
sooner ^rbr++splt++=sooner
believe ^vb+vprv+++=believe
a ^at++++=a
ghost ^nn++++=ghost
than ^in++++=than
move ^vb++++=move
their ^pp$+pp3+++=their
luggage ^nn+nom+++=luggage.
. ^zz++++=EXTRAWORD
" ^zz++++="Still,
still ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
superstition ^nn+nom+++=superstition
can ^md+pos+++=can
be ^vb+be+vrb++=be
useful ^jj++++=useful
at ^rb++++=at
times ^nns++++=times.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
a ^at++++=a
man ^nn++++=man
once ^rb+tm+++=once
as ^ql++++=as
was ^vbd+bedz+aux++=was
cured ^vpsv++agls+xvbnx+=cured
of ^in++++=of
drinking ^xvbg+++xvbg+=drinking
by ^in++++=by
a ^at++++=a
ghost ^nn++++=ghost,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
curious ^jj+atrb+++=curious
part ^nn++++=part
of ^in++++=of
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
that ^tht+vcmp+++=that
the ^ati++++=the
ghost ^nn++++=ghost
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
dead ^jj++++=dead.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
at ^in++++=at
the ^ati++++=the
time ^nn++++=time,
, ^zz++++=EXTRAWORD
anyway ^rb+dspt+++=anyway.
. ^zz++++=EXTRAWORD
Whether ^cs+who+++=Whether
he ^pp3a+pp3+++=he's
's ^vbz+bez+vrb++0=EXTRAWORD
dead ^jj++++=dead
now ^rn+tm+++=now
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
say ^vb+vpub+++=say;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
owed ^vbd+++xvbnx+=owed
me ^pp1o+pp1+++=me
half ^abn++++=half
a ^at++++=a
crown ^nn++++=crown
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
last ^rb++++=last
saw ^vbd+vprv++xvbn+=saw
' ^zz++++='im,
im ^&fw++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
people ^nns++++=people
like ^in++++=like
that ^dt+pdem+++=that
generally ^rb+down+++=generally
live ^vb++++=live
to ^in++++=to
a ^at++++=a
great ^jj+atrb+++=great
age ^nn++++=age.
. ^zz++++=EXTRAWORD
" ^zz++++="His
his ^pp$+pp3+++=EXTRAWORD
name ^nn++++=name
was ^vbd+bedz+vrb++=was
Bill ^nn++++=Bill
Burtenshaw ^np+++??+=Burtenshaw,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
better ^jjr+atrb+++=better
sailor ^nn++++=sailor
never ^rb++++=never
stepped ^vbd+++xvbn+=stepped,
, ^zz++++=EXTRAWORD
so ^ql++++=so
long ^rb++++=long
as ^ql++++=as
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
sober ^jj+pred+++=sober.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
sober ^jj++++=sober
he ^pp3a+pp3+++=he
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
step ^vb++++=step
anywhere ^rb++++=anywhere
without ^in++++=without
assistance ^nn+nom+++=assistance.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
thick ^jj++++=thick-set
- ^zz++++=EXTRAWORD
set ^vbd+++xvbn+=EXTRAWORD
man ^nn++++=man
with ^in++++=with
a ^at++++=a
red ^jj+atrb+++=red
face ^nn++++=face,
, ^zz++++=EXTRAWORD
a ^rb++++=a
little ^rb"++++=little
brown ^jj+atrb+++=brown
beard ^nn++++=beard,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
pair ^nn++++=pair
of ^in++++=of
eyes ^nns++++=eyes
that ^tht+rel+subj++=that
always ^rb++++=always
looked ^vbd+++xvbn+=looked
as ^cs+sub+++=as
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they'd
'd ^md+prd+aux++0=EXTRAWORD
just ^rb+emph+splt++=just
heard ^vprf++tht0+xvbnx+=heard
something ^pn++++=something
behind ^in+pl+++=behind
' ^zz++++='em.
em ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++0=He'd
'd ^vbd+hvd+aux++=EXTRAWORD
been ^vprf+ben+vrb+xvbnx+=been
at ^rb++++=at
sea ^nn++++=sea
since ^cs+sub+++=since
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
twelve ^cd++++=twelve,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++0=he'd
'd ^vbd+hvd+aux++=EXTRAWORD
collected ^vprf+++xvbnx+=collected
superstitions ^nns+nom+++=superstitions
the ^ati++++=the
way ^nn++++=way
other ^ap++++=other
men ^nns++++=men
collects ^vbz++++=collects
foreign ^jj+atrb+++=foreign
stamps ^nns++++=stamps.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
sleep ^vb++++=sleep
with ^in++++=with
his ^pp$+pp3+++=his
boots ^nns++++=boots
pointing ^vwbg+++xvbg+=pointing
towards ^in++++=towards
the ^ati++++=the
door ^nn++++=door;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
pass ^vb++++=pass
a ^at++++=a
churchyard ^nn++++=churchyard
without ^in++++=without
touching ^xvbg+++xvbg+=touching
iron ^nn++++=iron;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
heard ^vbd+vprv++xvbnx+=heard
a ^at++++=a
dog ^nn++++=dog
howl ^nn++++=howl
at ^rb++++=at
night ^nn++++=night
he ^pp3a+pp3+++0=he'd
'd ^md+prd+aux++=EXTRAWORD
stay ^vb++++=stay
awake ^jj++++=awake
till ^in++++=till
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
unless ^cs+cnd+++=unless
he ^pp3a+pp3+++=he
happened ^vbd+++xvbnx+=happened
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
drunk ^vpsv++agls+xvbnx+=drunk,
, ^zz++++=EXTRAWORD
in ^in++++=in
which ^whp+rel+pied++=which
case ^nn++++=case
you ^pp2+pp2+++=you
might ^md+pos+++=might
have ^vb+hv+aux++=have
fired ^vprf+++xvbnx+=fired
the ^ati++++=the
dog ^nn++++=dog
out ^rp+pl+++=out
of ^in++++=of
a ^at++++=a
cannon ^nn++++=cannon
beside ^in+pl+++=beside
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
ear ^nn++++=ear
without ^in++++=without
disturbing ^xvbg+++xvbg+=disturbing
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="Bill
bill ^nn++++=EXTRAWORD
married ^vbd+++xvbn+=married
a ^at++++=a
quiet ^nn++++=quiet
little ^ap++++=little
woman ^nn++++=woman
named ^vbd+++xvbn+=named
Martha ^np+++??+=Martha.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
the ^ati++++=the
sort ^nn++++=sort
of ^in++++0=o'
woman ^nn++++=woman
as ^ql++++=as
says ^vbz+vpub+++=says
very ^ql+amp+++=very
little ^ap++++=little
because ^cs+cos+++=because
she ^pp3a+pp3+++=she's
's ^vbz+bez+vrb++0=EXTRAWORD
busy ^jj++++=busy
thinking ^jj+++xvbg+=thinking
of ^in++++=of
things ^nns++++=things
the ^ati++++=the
man ^nn++++=man
ought ^md+nec+++=ought
to ^to++++=to
' ^zz++++='ave
ave ^vb+++??+=EXTRAWORD
thought ^vbd+++xvbn+=thought
of ^in++++=of
first ^rb++++=first.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
Bill ^nn++++=Bill
was ^vbd+bedz+aux++=was
courting ^vbg+++xvbgx+=courting,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
brought ^vbd+++xvbnx+=brought
' ^zz++++='er
er ^&fw++++=EXTRAWORD
silk ^nn++++=silk
handkerchiefs ^nns+++??+=handkerchiefs,
, ^zz++++=EXTRAWORD
parrots ^nns++++=parrots'
' ^zz++++=EXTRAWORD
feathers ^nns+nom+++=feathers,
, ^zz++++=EXTRAWORD
shells ^nns++++=shells,
, ^zz++++=EXTRAWORD
foreign ^jj+atrb+++=foreign
scent ^nn++++=scent,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
once ^rb+tm+++=once
a ^rb++++=a
little ^rb"++++=little
stuffed ^jj+atrb++xvbn+=stuffed
crocodile ^nn++++=crocodile,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
was ^vbd+bedz+vrb++=was
useful ^jj+pred+++=useful
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
ornamental ^jj++++=ornamental,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
never ^rb++++=never
said ^vprf+++xvbn+=said
wot ^wpr++++=wot
for ^in+strn+++=for.
. ^zz++++=EXTRAWORD
Arter ^np+++??+=Arter
they ^pp3a+pp3+++=they
was ^vbd+bedz+aux++=was
married ^vpsv++agls+xvbnx+=married
he ^pp3a+pp3+++=he
brought ^vbd+++xvbnx+=brought
' ^zz++++='er
er ^&fw++++=EXTRAWORD
nothing ^pn++++=nothing
but ^cc++++=but
excuses ^nns++++=excuses,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
most ^ap+emph+++=most
of ^in++++=of
them ^pp3o+pp3+++=them
second ^od++++=second-hand.
- ^zz++++=EXTRAWORD
hand ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
earned ^vbd+++xvbnx+=earned
good ^jj+atrb+++=good
money ^nn++++=money.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
was ^vbd+bedz+vrb++=was
the ^ati++++=the
trouble ^nn++++=trouble.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
he ^pp3a+pp3+++0=he'd
'd ^vbd+hvd+aux++=EXTRAWORD
earned ^vprf+++xvbnx+=earned
twelve ^cd++++=twelve
shillings ^nns+nom+++=shillings
a ^at++++=a
week ^nn++++=week,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
might ^md+pos+++=might
' ^zz++++='ave
ave ^nn+++??+=EXTRAWORD
been ^vprf+ben+vrb+xvbn+=been
a ^at++++=a
steady ^jj+atrb+++=steady,
, ^zz++++=EXTRAWORD
respectable ^jj+atrb+++=respectable
man ^nn++++=man;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
earned ^vbd+++xvbnx+=earned
enough ^qlp++++=enough
to ^to++++=to
keep ^vbi++++=keep
a ^at++++=a
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
he ^pp3a+pp3+++=he
took ^vbd+++xvbnx+=took
to ^to+vcmp+++=to
drink ^vbi++++=drink.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
started ^vbd+++xvbnx+=started
on ^in++++=on
Saturday ^nr++++=Saturday
night ^nn++++=night,
, ^zz++++=EXTRAWORD
rested ^j+++xvbn+=rested
a ^rb++++=a
little ^rb"++++=little
on ^in++++=on
Sunday ^nr++++=Sunday
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
went ^vpsv++agls+xvbn+=went
on ^in++++=on
again ^rb+tm+++=again
Sunday ^nr++++=Sunday
afternoon ^nn++++=afternoon
to ^to++++=to
make ^vbi++++=make
up ^rp++++=up
for ^in++++=for
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Monday ^nr++++=Monday
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
sorry ^uh++++=sorry,
, ^zz++++=EXTRAWORD
Tuesday ^nr++++=Tuesday
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
thirsty ^jj+pred+++=thirsty,
, ^zz++++=EXTRAWORD
Wednesday ^nr++++=Wednesday
