Bullies ^nns++++=BULLIES,
know ^vb+vprv+++=know
wot ^wpr++++=wot
ordinary ^jj++++=ordinary
sailormen ^jj+++xvbn+=sailormen
would ^md+prd+++=would
do ^vb+do+vrb++=do
with ^in++++=with
' ^zz++++='em.
em ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
Pride ^nn++++=Pride
is ^vbz+bez+vrb++=is
like ^in++++=like
a ^at++++=a
rope ^nn++++=rope
round ^in++++=round
a ^at++++=a
man ^nn++++=man's
's ^$++++=EXTRAWORD
neck ^nn++++=neck:
: ^zz++++=EXTRAWORD
once ^rb+tm+++=once
you ^pp2+pp2+++=you
get ^vb++++=get
hold ^nn++++=hold
of ^in++++=of
the ^ati++++=the
end ^nn++++=end
you ^pp2+pp2+++=you
can ^md+pos+++=can
lead ^vb++++=lead
' ^zz++++='im
im ^&fw++++=EXTRAWORD
anywhere ^rb++++=anywhere.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
remember ^nn+nom+++=remember
a ^at++++=a
fust ^nn+++??+=fust
mate ^nn++++=mate
of ^in++++0=o'
the ^ati++++=the
barque ^nn+++??+=barque
*mary ^nn++++=*Mary
Ann* ^np+++??+=Ann*,
, ^zz++++=EXTRAWORD
trading ^nvbg+++xvbg+=trading
out ^rp+pl+++=out
east ^np+pl+++=east,
, ^zz++++=EXTRAWORD
as ^ql++++=as
was ^vbd+bedz+vrb++=was
about ^in++++=about
the ^ati++++=the
finest ^jjt++++=finest-built
- ^zz++++=EXTRAWORD
built ^vwbn+++xvbn+=EXTRAWORD
bully ^nn++++=bully
I ^pp1a+pp1+++=I
ever ^rb++++=ever
see ^vb+vprv+++=see.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
stood ^vbd+++xvbnx+=stood
six ^cd++++=six
foot ^nn++++=foot
two ^cd++++=two
in ^in++++=in
his ^pp$+pp3+++=his
socks ^nns++++=socks,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
nobody ^pn++++=nobody
ever ^rb++++=ever
see ^vb+vprv+++=see
' ^zz++++='im
im ^&fw++++=EXTRAWORD
in ^in++++=in
his ^pp$+pp3+++=his
socks ^nns++++=socks
except ^in++++=except
the ^ati++++=the
steward ^nn++++=steward,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
' ^zz++++='e
e ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
fists ^nns++++=fists
like ^in++++=like
two ^cd++++=two
smoked ^jj+atrb++xvbn+=smoked
hams ^nns++++=hams.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
name ^nn++++=name
was ^vbd+bedz+vrb++=was
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Grummett ^np++++=Grummett,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
idea ^nn++++=idea
of ^in++++=of
discipline ^nn++++=discipline
was ^vbd+bedz+aux++=was
to ^to++++=to
keep ^vbi++++=keep
everybody ^pn++++=everybody
uncomfortable ^jj++++=uncomfortable.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
a ^at++++=a
man ^nn++++=man
was ^vbd+bedz+aux++=was
working ^vbg+++xvbgx+=working,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
wanted ^vbd+++xvbnx+=wanted
to ^to+vcmp+++=to
know ^vbi+vprv+++=know
why ^wrb+who+whcl++=why
' ^zz++++='e
e ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=wasn't
n't ^xnot++not++0=EXTRAWORD
working ^vbg+++xvbg+=working
faster ^rbr++++=faster;
; ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
a ^at++++=a
man ^nn++++=man
was ^vbd+bedz+aux++=was
working ^vbg+++xvbgx+=working
fast ^rb+cnj+++=fast,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
wanted ^vbd+++xvbnx+=wanted
to ^to+vcmp+++=to
know ^vbi+vprv+++=know
wot ^wpr++++=wot
' ^zz++++='e'd
e ^zz++++=EXTRAWORD
'd ^vbd+hvd+aux++0=EXTRAWORD
been ^vprf+ben+aux+xvbnx+=been
doing ^vbg+++xvbgx+=doing
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
took ^vbd+++xvbnx+=took
a ^at++++=a
pertickler ^nn++++=pertickler
dislike ^vb++++=dislike
to ^in++++=to
a ^at++++=a
red- ^nn++++=red-'aired
'aired ^vbd+++xvbn+0=EXTRAWORD
able ^jj+atrb+++=able
seaman ^nn++++=seaman
named ^vbd+++xvbn+=named
Bill ^np++++=Bill
Cousins ^nns++++=Cousins.
. ^zz++++=EXTRAWORD
Bill ^np++++=Bill's
's ^$++++=EXTRAWORD
hair ^nn++++=hair
was ^vbd+bedz+vrb++=was
the ^ati++++=the
brightest ^jjt+atrb+++=brightest
thing ^nn++++=thing
aboard ^in+strn+++=aboard,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Grummett ^np++++=Grummett
said ^vbd+vpub+tht0+xvbn+=said
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
danger ^nn++++=danger
to ^in++++=to
navigation ^nn+nom+++=navigation.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
said ^vbd+vpub+tht0+xvbnx+=said
a ^at++++=a
careless ^jj+atrb+++=careless
man ^nn++++=man
might ^md+pos+++=might
mistake ^vb++++=mistake
Bill ^np++++=Bill's
's ^$++++=EXTRAWORD
head ^nn++++=head
for ^in++++=for
the ^ati++++=the
port ^npl++++=port
light ^jj++++=light,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
ordered ^vbd+vsua++xvbnx+=ordered
' ^zz++++='im
im ^&fw++++=EXTRAWORD
to ^to++++=to
keep ^vbi++++=keep
his ^pp$+pp3+++=his
cap ^nn++++=cap
on ^in++++=on
after ^in++++=after
sunset ^nn++++=sunset.
. ^zz++++=EXTRAWORD
Bill ^nn++++=Bill
stood ^vbd+++xvbn+=stood
it ^pp3+it+++=it
pretty ^rb++++=pretty
well ^rb++++=well
at ^rb++++=at
fust ^nn+++??+=fust.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
peaceable ^jj+atrb+++=peaceable
man ^nn++++=man
when ^wrb+who+++=when
asleep ^jj++++=asleep,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
even ^rb++++=even
when ^wrb+who+++=when
awake ^jj++++=awake
he ^pp3a+pp3+++=he
preferred ^vbd+++xvbnx+=preferred
talking ^vbg+++xvbg+=talking
about ^in++++=about
fighting ^xvbg+++xvbg+=fighting
to ^to++++=to
doing ^vbi++++=doing
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Grummett ^np++++=Grummett
was ^vbd+bedz+aux++=was
always ^rb++splt++=always
finding ^vbg+++xvbgx+=finding
little ^ap++++=little
jobs ^nns++++=jobs
for ^in++++=for
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
rusty ^np++++=rusty
bolt ^nn++++=bolt
in ^in++++=in
the ^ati++++=the
forepeak ^nn+++??+=forepeak,
, ^zz++++=EXTRAWORD
Bill ^nn++++=Bill
had ^vb+hv+vrb++=had
to ^in++++=to
polish ^jj++++=polish
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
rope ^nn++++=rope
wanted ^vbd+++xvbn+=wanted
coiling ^nn+nom+++=coiling,
, ^zz++++=EXTRAWORD
Bill ^nn++++=Bill
had ^md"++pmd"++=had
to ^md+nec+++=to
coil ^vb++++=coil
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
if ^cs+cnd+++=if
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
nothing ^pn++++=nothing
wanted ^vbd+++xvbn+=wanted
doing ^vbg+++xvbg+=doing,
, ^zz++++=EXTRAWORD
the ^ati++++=the
mate ^nn++++=mate
used ^md"++pmd"++=used
to ^to++++=to
invent ^vb++++=invent
something ^pn++++=something
and ^cc++++=and
then ^rn+tm+++=then
find ^vb+vprv+++=find
fault ^nn++++=fault
because ^cs+cos+++=because
it ^pp3+it+++=it
had ^vb+hv+aux++=hadn't
n't ^xnot++not++0=EXTRAWORD
been ^vprf+ben+aux+xvbn+=been
done ^vpsv++agls+xvbnx+=done
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
" ^zz++++="Cousins,"
cousins ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ses ^nns+++??+=ses
one ^cd1++++=one
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
over ^in++++=over
the ^ati++++=the
rail ^nn++++=rail
while ^cs+sub+++=while
Bill ^nn++++=Bill
and ^cc++++=and
Bob ^np++++=Bob
Pullin ^np+++??+=Pullin
was ^vbd+bedz+vrb++=was
holy ^jj+pred+++=holy-stoning
- ^zz++++=EXTRAWORD
stoning ^jj+++xvbg+=EXTRAWORD
the ^ati++++=the
deck ^nn++++=deck,
, ^zz++++=EXTRAWORD
" ^zz++++="wot
wot ^wpr++++=EXTRAWORD
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
grinning ^vbg+++xvbg+=grinning
at ^rb++++=at?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
grinning ^jj+++xvbg+=grinning,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bill ^nn++++=Bill.
. ^zz++++=EXTRAWORD
" ^zz++++="Don't
do ^vb+do+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
answer ^nn++++=answer
me ^pp1o+pp1+++=me,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
the ^ati++++=the
mate ^nn++++=mate.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+tht0++=know
you ^pp2+pp2+++=you
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
want ^vb++++=want
an ^at++++=an
answer ^nn++++=answer,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bill ^nn++++=Bill.
. ^zz++++=EXTRAWORD
" ^zz++++="Are
are ^vb+ber+aux++=EXTRAWORD
you ^pp2+pp2+++=you
trying ^vbg+++xvbg+=trying
to ^to+vcmp+++=to
be ^vbi++vrb++=be
funny ^jj+pred+++=funny?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
the ^ati++++=the
mate ^nn++++=mate.
. ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bill ^nn++++=Bill,
, ^zz++++=EXTRAWORD
very ^ql+amp+++=very
careful ^jj++++=careful.
. ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
look ^vb++++=look
funny ^jj++++=funny,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
the ^ati++++=the
mate ^nn++++=mate.
. ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
agin ^nn+++??+=agin
discipline ^nn++++=discipline."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Bill ^nn++++=Bill
went ^vbd+++xvbn+=went
on ^in++++=on
with ^in++++=with
his ^pp$+pp3+++=his
work ^nn++++=work,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
his ^pp$+pp3+++=his
face ^nn++++=face
got ^vbd+++xvbn+=got
redder ^jjr++++=redder
than ^in++++=than
his ^pp$+pp3+++=his
hair ^nn++++=hair.
. ^zz++++=EXTRAWORD
Bob ^np++++=Bob
Pullin ^np+++??+=Pullin,
, ^zz++++=EXTRAWORD
wot ^wpr++++=wot
was ^vbd+bedz+aux++=was
working ^vbg+++xvbgx+=working
alongside ^rb++++=alongside
of ^in++++=of
' ^zz++++='im,
im ^&fw++++=EXTRAWORD
, ^zz++++=EXTRAWORD
told ^j+++xvbn+=told
him ^pp3o+pp3+++=him
afterwards ^rb+tm+++=afterwards
that ^cs+sub+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
mercy ^nn++++=mercy
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
no ^at++++=no
gunpowder ^nn+nom+++=gunpowder
aboard ^in+strn+++=aboard.
. ^zz++++=EXTRAWORD
" ^zz++++="You'll
you ^pp2+pp2+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
get ^vb++++=get
into ^in+ppvb+++=into
trouble ^nn++++=trouble
one ^pn++++=one
of ^in++++0=o'
these ^dt+dem+++=these
days ^nns++++=days,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bob ^np++++=Bob.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
know ^vb+vprv+tht0++=know
that ^tht+vcmp+++=that,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bill ^nn++++=Bill.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
trouble ^nn++++=trouble'll
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+vrb++=be
about ^in++++=about
six ^cd++++=six
foot ^nn++++=foot
two ^cd++++=two,
, ^zz++++=EXTRAWORD
with ^in++++=with
black ^jj+atrb+++=black
whiskers ^nns+nom+++=whiskers."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Keep
keep ^vb++++=EXTRAWORD
your ^pp$+pp2+++=your
temper ^nn++++=temper,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bob ^np++++=Bob.
. ^zz++++=EXTRAWORD
" ^zz++++="That's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
best ^jjt+atrb+++=best
thing ^nn++++=thing."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+aux++=am
keeping ^vbg+++xvbgx+=keeping
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bill ^nn++++=Bill.
. ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+aux++0=EXTRAWORD
saving ^vbg+++xvbgx+=saving
it ^pp3+it+++=it
up ^rp++++=up."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
mate ^nn++++=mate
heard ^vbd+vprv++xvbn+=heard
the ^ati++++=the
last ^jj+atrb+++=last
part ^nn++++=part,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Bill ^nn++++=Bill
spent ^vbd+++xvbn+=spent
the ^ati++++=the
afternoon ^nn++++=afternoon
scraping ^nn++++=scraping
paint ^nn++++=paint
in ^in++++=in
a ^at++++=a
place ^nn++++=place
where ^wrb+who+++=where
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
hardly ^rb+down+++=hardly
room ^nn++++=room
for ^in++++=for
a ^at++++=a
rat ^nn++++=rat
to ^to++++=to
turn ^vbi++++=turn
round ^rb+phrv+++=round.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
come ^vb++++=come
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Grummett ^np++++=Grummett
asked ^vbd+vsua++xvbn+=asked
' ^zz++++='im
im ^&fw++++=EXTRAWORD
whether ^cs+who+++=whether
he ^pp3a+pp3+++0=he'd
'd ^vbd+hvd+aux++=EXTRAWORD
enjoyed ^vprf+++xvbnx+=enjoyed
his ^pp$+pp3+++=his
rest ^nn++++=rest.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
went ^vbd+++xvbn+=went
on ^in++++=on
like ^in++++=like
that ^dt+dem+++=that
all ^abn++++=all
the ^ati++++=the
way ^nn++++=way
to ^in++++=to
Calcutta ^np++++=Calcutta.
. ^zz++++=EXTRAWORD
Sometimes ^rb++++=Sometimes
the ^ati++++=the
mate ^nn++++=mate
shoved ^vbd+++xvbn+=shoved
Bill ^nn++++=Bill,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sometimes ^rb++++=sometimes
he ^pp3a+pp3+++=he
knocked ^vbd+++xvbnx+=knocked
his ^pp$+pp3+++=his
cap ^nn++++=cap
off ^in+strn+++=off,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
once ^rb+tm+++=once
he ^pp3a+pp3+++=he
pulled ^vbd+++xvbnx+=pulled
' ^zz++++='im
im ^&fw++++=EXTRAWORD
up ^rp++++=up
out ^rp+pl+++=out
of ^in++++=of
his ^pp$+pp3+++=his
bunk ^nn++++=bunk
at ^in++++=at
four ^cd++++=four
bells ^nns++++=bells
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
said ^vbd+vpub+tht0+xvbnx+=said
Bill ^nn++++=Bill
was ^vbd+bedz+aux++=was
snoring ^vbg+++xvbgx+=snoring
disrespectful ^jj++++=disrespectful.
. ^zz++++=EXTRAWORD
Bill ^nn++++=Bill
spoke ^vbd+++xvbn+=spoke
to ^in++++=to
the ^ati++++=the
skipper ^npt++++=skipper
about ^in++++=about
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
skipper ^nn++++=skipper
was ^vbd+bedz+vrb++=was
a ^at++++=a
mild ^jj+atrb+++=mild,
, ^zz++++=EXTRAWORD
elderly ^jj+atrb+++=elderly
man ^nn++++=man
and ^cc++++=and
advised ^vbd+vpub++xvbn+=advised
patience ^nn+nom+++=patience.
. ^zz++++=EXTRAWORD
" ^zz++++="Mr.
mr ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Grummett ^np++++=Grummett
has ^vbz+hvz+vrb++=has
a ^at++++=a
quick ^jj+atrb+++=quick
manner ^nn++++=manner,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
" ^zz++++="So's
so ^ql++++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
mad ^jj+atrb+++=mad
dog ^nn++++=dog,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bill ^nn++++=Bill.
. ^zz++++=EXTRAWORD
" ^zz++++="There,
there ^rn+pl+++=EXTRAWORD
, ^zz++++=EXTRAWORD
there ^rn+pl+++=there,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
the ^ati++++=the
skipper ^nn++++=skipper.
. ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+vrb++=EXTRAWORD
your ^pp$+pp2+++=your
duty ^nn++++=duty,
, ^zz++++=EXTRAWORD
Cousins ^nns++++=Cousins,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
answer ^vb++++=answer
your ^pp$+pp2+++=your
officers ^nns+nom+++=officers."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
never ^rb++++=never
gets ^vbz++++=gets
time ^nn++++=time,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bill ^nn++++=Bill.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
answers ^nns+nom+++=answers
for ^in++++=for
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
skipper ^npt++++=skipper
looked ^vbd+++xvbn+=looked
at ^rb++++=at
him ^pp3o+pp3+++=him
severe ^jj++++=severe
and ^cc++++=and
told ^vbd+vpub++xvbn+=told
him ^pp3o+pp3+++=him
to ^to++++=to
go ^vbi++++=go
for ^in+ppvb+++=for'ard.
'ard. ^nn+++??+=EXTRAWORD
By ^in++++=By
the ^ati++++=the
time ^nn++++=time
we ^pp1a+pp1+++=we
got ^vbd+++xvbn+=got
to ^to+vcmp+++=to
Calcutta ^vb++++=Calcutta
the ^ati++++=the
whole ^jj+atrb+++=whole
fo ^nn+++??+=fo'c's'le
'c's'le ^nn+++??+=EXTRAWORD
was ^vbd+bedz+aux++=was
taking ^vbg+++xvbgx+=taking
an ^at++++=an
interest ^nn++++=interest
in ^in++++=in
the ^ati++++=the
affair ^nn++++=affair.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
that ^cs+sub+++=that
we ^pp1a+pp1+++=we
encouraged ^vbd+++xvbn+=encouraged
Bill ^np++++=Bill
to ^to++++=to
do ^vbi++++=do
anything ^pn++++=anything
wrong ^jj++++=wrong.
. ^zz++++=EXTRAWORD
Far ^rb+pl+++=Far
from ^rb"++++=from
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
was ^vbd+bedz+vrb++=was
all ^abn++++=all
steady ^jj+atrb+++=steady
