Moonlight ^nn++++=Moonlight
shakes ^vbz++++=shakes
them ^pp3o+pp3+++=them
apart ^in+strn+++=apart.
. ^zz++++=EXTRAWORD
Soft ^jj+atrb+++=Soft
Shoes ^nns++++=Shoes
emerges ^vbz++++=emerges
alone ^rb++++=alone
beside ^in+pl+++=beside
St ^npt++++=St.
. ^zz++++=EXTRAWORD
Paul ^np++++=Paul's,
's, ^nn+++??+=EXTRAWORD
listens ^vbz++++=listens,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
walks ^nns++++=walks.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
an ^at++++=an
extraordinary ^jj+atrb+++=extraordinary
walk ^nn++++=walk.
. ^zz++++=EXTRAWORD
No ^at++++=No
innocent ^jj+atrb+++=innocent
man ^nn++++=man
ever ^rb++++=ever
attempted ^vbd+++xvbn+=attempted
so ^ql++++=so
much ^ap++++=much
carelessness ^nns+nom+++=carelessness.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
strolls ^vbz++++=strolls
with ^in++++=with
his ^pp$+pp3+++=his
hands ^nns++++=hands
behind ^in+pl+++=behind
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
pauses ^nns+++??+=pauses
to ^to++++=to
admire ^vbi++++=admire
a ^at++++=a
waterspout ^nn+++??+=waterspout,
, ^zz++++=EXTRAWORD
hums ^nns+++??+=hums
three ^cd++++=three
notes ^nns++++=notes
from ^in++++=from
a ^at++++=a
tavern ^nn++++=tavern
song ^nn++++=song,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
nearly ^rb+down+++=nearly
faints ^nns+++??+=faints
against ^in++++=against
a ^at++++=a
wall ^nn++++=wall.
. ^zz++++=EXTRAWORD
Recovering ^vbg+++xvbg+=Recovering,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
bows ^nns++++=bows
to ^in++++=to
the ^ati++++=the
wall ^nn++++=wall
as ^cs+sub+++=as
if ^cs+cnd+++=if
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
duchess ^nns+nom+++=duchess.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
reaches ^vbz++++=reaches
a ^at++++=a
house ^nn++++=house
in ^in++++=in
Little ^jj+atrb+++=Little
Carter ^np++++=Carter
Lane ^nn++++=Lane
and ^cc++++=and
knocks ^vbz++++=knocks:
: ^zz++++=EXTRAWORD
twice ^rb++++=twice
softly ^rb+cnj+++=softly,
, ^zz++++=EXTRAWORD
once ^rb+tm+++=once
loudly ^rb+cnj+++=loudly,
, ^zz++++=EXTRAWORD
twice ^rb++++=twice
softly ^rb++++=softly
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
Nothing ^pn++++=Nothing.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
knocks ^vbz++++=knocks
the ^ati++++=the
same ^ap++++=same
message ^nn+nom+++=message
with ^in++++=with
an ^at++++=an
added ^jj+atrb++xvbn+=added
theological ^jj+atrb+++=theological
objection ^nn+nom+++=objection.
. ^zz++++=EXTRAWORD
A ^at++++=A
casement ^nn+nom+++=casement
opens ^vbz++++=opens.
. ^zz++++=EXTRAWORD
" ^zz++++="Who
who ^whp+who+++=EXTRAWORD
disturbs ^nns+++??+=disturbs
Christian ^jj+atrb+++=Christian
sleep ^nn++++=sleep?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asks ^vbz++++=asks
a ^at++++=a
voice ^nn++++=voice
in ^in++++=in
which ^whp+rel+pied++=which
Christianity ^nn+nom+++=Christianity
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
postponed ^vpsv++agls+xvbnx+=postponed
until ^in++++=until
morning ^nn++++=morning.
. ^zz++++=EXTRAWORD
" ^zz++++="An
an ^at++++=EXTRAWORD
angel ^nn++++=angel."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
fly ^vb++++=fly
up ^rp++++=up."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
wing ^nn++++=wing
is ^vbz+bez+vrb++=is
sprained ^jj+pred+++=sprained."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Die
die ^vb++++=EXTRAWORD
quietly ^rb++++=quietly."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
casement ^nn+nom+++=casement
closes ^nns++++=closes.
. ^zz++++=EXTRAWORD
Soft ^jj+atrb+++=Soft
Shoes ^nns++++=Shoes
picks ^vbz++++=picks
up ^rp++++=up
a ^at++++=a
pebble ^nn++++=pebble
and ^cc++++=and
throws ^vbz++++=throws
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
a ^at++++=a
crash ^nn++++=crash,
, ^zz++++=EXTRAWORD
followed ^vpbn+vprv++xvbn+=followed
by ^in++++=by
a ^at++++=a
silence ^nn+nom+++=silence
of ^in++++=of
immense ^jj+atrb+++=immense
scholarship ^nn+nom+++=scholarship.
. ^zz++++=EXTRAWORD
" ^zz++++="Wessel,"
wessel ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
calls ^nns++++=calls,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
broken ^vprf+++xvbnx+=broken
thy ^pp$+pp2+++=thy
window ^nn++++=window."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
know ^vb+vprv+tht0++=know
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Wilt
wilt ^md+prd+++=EXTRAWORD
thou ^pp2+pp2+++=thou
come ^vprf+++xvbn+=come
down ^rp++++=down?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+aux++=am
considering ^vbg+++xvbgx+=considering
whether ^cs+who+++=whether
friendship ^nn+nom+++=friendship
includes ^vb++++=includes
glazing ^nn++++=glazing."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
A ^at++++=A
light ^nn++++=light
appears ^vbz+seem+++=appears.
. ^zz++++=EXTRAWORD
Bolts ^nns++++=Bolts
are ^vb+ber+aux++=are
withdrawn ^vpsv++agls+xvbnx+=withdrawn
with ^in++++=with
the ^ati++++=the
slow ^jj+atrb+++=slow
ceremony ^nn++++=ceremony
of ^in++++=of
a ^at++++=a
royal ^jj+atrb+++=royal
burial ^nn++++=burial,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Wessel ^np+++??+=Wessel
Caxter ^np+++??+=Caxter
stands ^vbz++++=stands
in ^in++++=in
the ^ati++++=the
doorway ^nn++++=doorway
wearing ^vwbg+++xvbg+=wearing
a ^at++++=a
gown ^nn++++=gown,
, ^zz++++=EXTRAWORD
stockings ^nns++++=stockings,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
expression ^nn++++=expression
of ^in++++=of
a ^at++++=a
man ^nn++++=man
whose ^whp+rel+obj++=whose
mind ^nn++++=mind
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
dragged ^vpsv++agls+xvbnx+=dragged
from ^in++++=from
Arcadia ^np++++=Arcadia
into ^in++++=into
weather ^nn++++=weather.
. ^zz++++=EXTRAWORD
Wessel ^np+++??+=Wessel
was ^vbd+bedz+vrb++=was
then ^rn+tm+++=then
thirty ^cd++++=thirty-eight,
- ^zz++++=EXTRAWORD
eight ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
though ^rb+cnj+++=though
indolence ^nn+nom+++=indolence,
, ^zz++++=EXTRAWORD
reading ^vbg+++xvbg+=reading,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
stomach ^nn++++=stomach
of ^in++++=of
premature ^jj+atrb+++=premature
authority ^nn+nom+++=authority
made ^vbd+++xvbn+=made
him ^pp3o+pp3+++=him
appear ^vb+seem+++=appear
older ^jjr++++=older.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
eyes ^nns++++=eyes
were ^vbd+bed+vrb++=were
dim ^jj+pred+++=dim,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
wit ^nn++++=wit
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
loved ^vbd+++xvbnx+=loved
books ^nns++++=books
with ^in++++=with
that ^dt+dem+++=that
generous ^jj+atrb+++=generous
promiscuity ^nn+nom+++=promiscuity
which ^whp+rel+obj++=which
excuses ^nns++++=excuses
ugliness ^nns+nom+++=ugliness,
, ^zz++++=EXTRAWORD
error ^nn++++=error,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
very ^ql+amp+++=very
bad ^jj+atrb+++=bad
endings ^nns++++=endings.
. ^zz++++=EXTRAWORD
Posterity ^np+nom++??+=Posterity
remembers ^nns+nom+++=remembers
him ^pp3o+pp3+++=him
scarcely ^rb+down+++=scarcely
at ^rb++++=at
all ^abn++++=all.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
was ^vbd+bedz+vrb++=was
before ^cs+sub+++=before
an ^at++++=an
energetic ^jj+atrb+++=energetic
churchwarden ^nn++++=churchwarden
improved ^vbd+++xvbn+=improved
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
a ^at++++=a
stone ^nn++++=stone
at ^rb++++=at
St ^npt++++=St.
. ^zz++++=EXTRAWORD
Bride ^np++++=Bride's
's ^vbz+bez+aux++0=EXTRAWORD
saying ^vbg+++xvbg+=saying
that ^tht+vcmp+++=that
here ^rn+pl+++=here
lay ^jjb+++xvbn+=lay
Wessel ^np+++??+=WESSEL
Caxter ^np+++??+=CAXTER,
, ^zz++++=EXTRAWORD
Friend ^nn++++=FRIEND
To ^in++++=TO
Poets ^nns++++=POETS.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
says ^vbz+vpub+++=says
nothing ^pn++++=nothing
of ^in++++=of
the ^ati++++=the
inconveniences ^nns+nom+++=inconveniences
poets ^nns++++=poets
caused ^vbd+++xvbn+=caused
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
lifts ^vbz++++=lifts
the ^ati++++=the
candle ^nn++++=candle.
. ^zz++++=EXTRAWORD
" ^zz++++="Will."
will ^md+prd+++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Wessel."
wessel ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+++=EXTRAWORD
art ^nn++++=art
thou ^pp2+pp2+++=thou
bleeding ^nvbg+++xvbg+=bleeding?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
thought ^vbd+++xvbnx+=thought
it ^pp3+it+++=it
fashionable ^jj++++=fashionable."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+++=EXTRAWORD
is ^vbz+bez+vrb++=is
thy ^pp$+pp2+++=thy
jerkin ^nn++++=jerkin
split ^vbd+++xvbn+=split?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Excess
excess ^nn++++=EXTRAWORD
of ^in++++=of
personality ^nn+nom+++=personality."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc+cls+++=EXTRAWORD
why ^wrb+who+++=why
do ^vb+do+aux++=do
armed ^xvbn+++xvbn+=armed
men ^nns++++=men
cry ^nn++++=cry
ravisher ^nn+nom+++=ravisher
under ^in++++=under
my ^pp$+pp1+++=my
window ^nn++++=window?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Soft ^jj+atrb+++=Soft
Shoes ^nns++++=Shoes
glances ^nns+nom+++=glances
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
have ^vb+hv+aux++=have
traced ^vprf+++xvbnx+=traced
me ^pp1o+pp1+++=me?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="As
as ^ql++++=EXTRAWORD
smoke ^vb++++=smoke
traces ^nns++++=traces
fire ^nn++++=fire.
. ^zz++++=EXTRAWORD
Enter ^vb++++=Enter,
, ^zz++++=EXTRAWORD
calamity ^nn+nom+++=calamity."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Will ^md+prd+++=Will
enters ^vbz++++=enters.
. ^zz++++=EXTRAWORD
Wessel ^np+++??+=Wessel
bars ^nns++++=bars
the ^ati++++=the
door ^nn++++=door;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
judging ^jj+++xvbg+=judging
the ^ati++++=the
bar ^nn++++=bar
inadequate ^jj++++=inadequate
for ^in++++=for
poetry ^nn++++=poetry,
, ^zz++++=EXTRAWORD
scandal ^nn++++=scandal,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
two ^cd++++=two
swords ^nns++++=swords,
, ^zz++++=EXTRAWORD
pushes ^vbz++++=pushes
a ^at++++=a
chest ^nn++++=chest
against ^in++++=against
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Will ^md+prd+++=Will
helps ^vbz++++=helps
with ^in++++=with
frantic ^jj+atrb+++=frantic
vigor ^nn++++=vigor.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
have ^vb+hv+aux++=have
just ^rb+emph+splt++=just
set ^vprf+++xvbnx+=set
upon ^in++++=upon
the ^ati++++=the
chest ^nn++++=chest
three ^cd++++=three
folios ^nns+++??+=folios,
, ^zz++++=EXTRAWORD
a ^at++++=a
chair ^nn++++=chair,
