You ^pp2+pp2+++=You
He ^pp3a+pp3+++=He
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
the ^ati++++=the
table ^nn++++=table,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
at ^in++++=at
the ^ati++++=the
five ^cd++++=five
people ^nns++++=people
seated ^vbd+++xvbn+=seated
round ^rb++++=round
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
one ^cd1++++=one
or ^cc++++=or
other ^ap++++=other
of ^in++++=of
us ^pp1o+pp1+++=us
might ^md+pos+++=might
explain ^vb+vpub+++=explain
the ^ati++++=the
discrepancy ^nn++++=discrepancy.
. ^zz++++=EXTRAWORD
" ^zz++++="Isn't
is ^vbz+bez+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
this ^dt+dem+++=this
Tuesday ^nr++++=Tuesday?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No.
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Wednesday ^nr++++=Wednesday."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Great
great ^jj+atrb+++=EXTRAWORD
Scott ^np++++=Scott!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
drew ^vbd+++xvbnx+=drew
out ^rb+phrv+++=out
his ^pp$+pp3+++=his
watch ^nn++++=watch,
, ^zz++++=EXTRAWORD
consulted ^xvbn+++xvbn+=consulted
it ^pp3+it+++=it
earnestly ^rb+cnj+++=earnestly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
put ^vb+++xvbn+=put
it ^pp3+it+++=it
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
cannot ^md+pos+not++=cannot
tell ^vb++++=tell
Tuesday ^nr++++=Tuesday
from ^in++++=from
Wednesday ^nr++++=Wednesday
by ^in++++=by
a ^at++++=a
watch ^nn++++=watch,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
observed ^vbd+vprv++xvbnx+=observed.
. ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
gives ^vbz++++=gives
one ^cd1++++=one
something ^pn++++=something
to ^to++++=to
begin ^vbi++++=begin
with ^in+strn+++=with."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
made ^vbd+++xvbn+=made
room ^nn++++=room
for ^in++++=for
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
ate ^vbd+++xvbnx+=ate
the ^ati++++=the
remains ^nns++++=remains
of ^in++++=of
the ^ati++++=the
fish ^nn++++=fish,
, ^zz++++=EXTRAWORD
most ^ap+emph+++=most
of ^in++++=of
the ^ati++++=the
entr ^nn+++??+=entr
e ^zz++++=e,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
portion ^nn+nom+++=portion
of ^in++++=of
cutlet ^nn++++=cutlet
intended ^vwbn+vsua++xvbn+=intended
for ^in++++=for
a ^at++++=a
delayed ^jj+++xvbn+=delayed
guest ^np++++=guest
who ^whp+rel+obj++=who,
, ^zz++++=EXTRAWORD
unlike ^in++++=unlike
Mcquae ^np+++??+=McQuae,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
sent ^vprf+++xvbnx+=sent
a ^at++++=a
telegram ^nn++++=telegram.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
beginning ^vbg+++xvbgx+=beginning
upon ^in++++=upon
a ^at++++=a
serious ^jj+atrb+++=serious
conversation ^nn+nom+++=conversation
with ^in++++=with
Lady ^nn++++=Lady
Bellingham ^np++++=Bellingham
concerning ^in++++=concerning
municipal ^jj+atrb+++=municipal
orchestras ^nns++++=orchestras
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
stopped ^vbd+++xvbnx+=stopped,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
fork ^vb++++=fork
suspended ^vbd+++xvbn+=suspended.
. ^zz++++=EXTRAWORD
" ^zz++++="By
by ^in++++=EXTRAWORD
Jove ^nn++++=Jove!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
exclaimed ^vbd+++xvbnx+=exclaimed.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
had ^vbd+hvd+aux++=had
learned ^vprf+++xvbnx+=learned
to ^to+vcmp+++=to
fear ^vbi++++=fear
this ^dt+dem+++=this
expression ^nn++++=expression.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
meant ^vbd+vprv++xvbn+=meant
that ^tht+vcmp+++=that
some ^dti++++=some
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
usually ^rb+down+++=usually
one ^pn++++=one
of ^in++++=of
public ^jj+atrb+++=public
importance ^nn+nom+++=importance,
, ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
at ^rb++splt++=at
last ^rb"++++=last
reached ^vbd+++xvbn+=reached
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
it ^pp3+it+++=it
now ^rn+tm+++=now?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
be ^vbi++vrb++=be
in ^in++++=in
Scotland ^np++++=Scotland."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Most
most ^ap+emph+++=EXTRAWORD
of ^in++++=of
us ^pp1o+pp1+++=us
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
be ^vbi++vrb++=be
somewhere ^rb++++=somewhere
else ^rb+cnj+++=else,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Lady ^npt++++=Lady
Bellingham ^np++++=Bellingham.
. ^zz++++=EXTRAWORD
" ^zz++++="No;
no ^at++++=EXTRAWORD
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
mean ^vb+vprv+tht0++=mean
I ^pp1a+pp1+++=I
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
be ^vbi+vbi+aux++=be
going ^vbg+++xvbgx+=going.
. ^zz++++=EXTRAWORD
Train ^nn++++=Train
leaves ^nns++++=leaves
at ^rb++++=at
eleven ^cd++++=eleven-ten."
- ^zz++++=EXTRAWORD
ten ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
then ^rn+tm+++=then
five ^cd++++=five
minutes ^nns++++=minutes
to ^to++++=to
eleven ^cd++++=eleven.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
no ^at++++=no
luggage ^nn+nom+++=luggage
with ^in++++=with
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+vrb++=was
in ^in++++=in
evening ^nn++++=evening
dress ^nn++++=dress.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
distress ^nns+nom+++=distress
him ^pp3o+pp3+++=him
so ^ql++++=so
much ^ap++++=much
as ^ql++++=as
it ^pp3+it+++=it
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
have ^vbi+vbi+aux++=have
done ^vprf+++xvbn+=done.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
said ^vbd+vpub+tht0+xvbnx+=said
he ^pp3a+pp3+++=he
could ^md+pos+++=could
buy ^vb++++=buy
a ^at++++=a
toothbrush ^nn+++??+=toothbrush
at ^rb++++=at
York ^np++++=York
and ^cc++++=and
perhaps ^rb++++=perhaps
borrow ^vb++++=borrow
a ^at++++=a
shooting ^jj+atrb++xvbg+=shooting
coat ^nn++++=coat
from ^in++++=from
his ^pp$+pp3+++=his
host ^nn++++=host.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
rather ^rb++++=rather
glad ^jj+pred+++=glad
he ^pp3a+pp3+++=he
had ^md"++pmd"++=had
to ^md+nec+++=to
travel ^vb++++=travel
as ^ql++++=as
he ^pp3a+pp3+++=he
stood ^vbd+++xvbnx+=stood.
. ^zz++++=EXTRAWORD
A ^at++++=A
man ^nn++++=man's
's ^$++++=EXTRAWORD
faults ^nns++++=faults
should ^md+nec+++=should
occasionally ^rb++++=occasionally
be ^vb+be+aux++=be
brought ^vpsv++agls+xvbnx+=brought
home ^nr++++=home
to ^in++++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
even ^cs+sub+++=even
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
have ^md"++pmd"++=have
to ^md+nec+++=to
accompany ^vb++++=accompany
him ^pp3o+pp3+++=him
to ^in++++=to
Berwick ^np++++=Berwick
in ^in++++=in
a ^at++++=a
white ^jj+atrb+++=white
tie ^nn++++=tie.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
was ^vbd+bedz+vrb++=was
our ^pp$+pp1+++=our
first ^od++++=first
experience ^nn+nom+++=experience
of ^in++++=of
Mcquae ^np++++=McQuae's
's ^$++++=EXTRAWORD
memory ^nn++++=memory,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
not ^xnot++not++=not
the ^ati++++=the
last ^ap++++=last.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
mind ^nn++++=mind
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
empty ^jj++++=empty;
; ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
contrary ^nn+nom+++=contrary,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
overcrowded ^jj+pred+++=overcrowded.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
retained ^vbd+++xvbn+=retained
the ^ati++++=the
second ^od++++=second
verse ^nn++++=verse
of ^in++++=of
songs ^nns++++=songs
no ^at++++=no
one ^cd1++++=one
sang ^vbd+++xvbn+=sang,
, ^zz++++=EXTRAWORD
the ^ati++++=the
names ^nns++++=names
of ^in++++=of
horses ^nns++++=horses
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
lost ^vprf+++xvbnx+=lost
the ^ati++++=the
Derby ^np++++=Derby,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
private ^jj+atrb+++=private
opinions ^nns++++=opinions
of ^in++++=of
dead ^jj+atrb+++=dead
Cabinet ^nn++++=Cabinet
Ministers ^nns+nom+++=Ministers.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
merely ^rb+down+++=merely
refused ^vbd+++xvbn+=refused
to ^to+vcmp+++=to
keep ^vbi++++=keep
anything ^pn++++=anything
of ^in++++=of
immediate ^jj+atrb+++=immediate
use ^nn++++=use.
. ^zz++++=EXTRAWORD
The ^ati++++=The
house ^nn++++=house-boat
- ^zz++++=EXTRAWORD
boat ^nn++++=EXTRAWORD
luncheon ^nn++++=luncheon
was ^vbd+bedz+vrb++=was
a ^at++++=a
more ^rbr++++=more
ambitious ^jj+atrb+++=ambitious
affair ^nn++++=affair.
. ^zz++++=EXTRAWORD
Mcquae ^np+++??+=McQuae
had ^vbd+hvd+aux++=had
hired ^vprf+++xvbnx+=hired
a ^at++++=a
boat ^nn++++=boat
above ^jjb++++=above
Henley ^np+++??+=Henley
for ^in++++=for
July ^nr++++=July,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
invited ^vbd+++xvbn+=invited
the ^ati++++=the
Farnboroughs ^np+++??+=Farnboroughs,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Dacres ^np+++??+=Dacres,
, ^zz++++=EXTRAWORD
the ^ati++++=the
little ^jj+atrb+++=little
Westons ^np+++??+=Westons,
, ^zz++++=EXTRAWORD
two ^cd++++=two
unattached ^jj+atrb++xvbn+=unattached
young ^jj+atrb+++=young
men ^nns++++=men,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
myself ^ppl+pp1+++=myself
to ^in++++=to
luncheon ^nn++++=luncheon
on ^in++++=on
the ^ati++++=the
following ^jj+atrb++xvbg+=following
Sunday ^nr++++=Sunday.
. ^zz++++=EXTRAWORD
As ^ql++++=As
some ^dti++++=some
of ^in++++=of
the ^ati++++=the
families ^nns++++=families
contained ^vbd+++xvbn+=contained
children ^nns++++=children,
, ^zz++++=EXTRAWORD
governesses ^nns+nom+++=governesses,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
aunts ^nns++++=aunts,
, ^zz++++=EXTRAWORD
the ^ati++++=the
invitation ^nn+nom+++=invitation
represented ^vbd+++xvbn+=represented,
, ^zz++++=EXTRAWORD
in ^in++++=in
all ^rb+cnj+++=all,
, ^zz++++=EXTRAWORD
seventeen ^cd++++=seventeen
persons ^nns++++=persons
and ^cc++++=and
a ^at++++=a
pug ^nn+++??+=pug
dog ^nn++++=dog.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
arrived ^vpsv++by+xvbn+=arrived
by ^in++++=by
degrees ^nns+nom+++=degrees.
. ^zz++++=EXTRAWORD
The ^ati++++=The
river ^nn++++=river
was ^vbd+bedz+vrb++=was
bright ^jj+pred+++=bright,
, ^zz++++=EXTRAWORD
the ^ati++++=the
awning ^nn++++=awning
was ^vbd+bedz+vrb++=was
up ^rp++++=up,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Mcquae ^np+++??+=McQuae
lay ^vbd+++xvbn+=lay
in ^in++++=in
a ^at++++=a
deck ^nn++++=deck-chair
- ^zz++++=EXTRAWORD
chair ^nn++++=EXTRAWORD
reading ^vwbg+++xvbg+=reading
an ^at++++=an
illustrated ^jj+atrb++xvbn+=illustrated
paper ^nn++++=paper.
. ^zz++++=EXTRAWORD
" ^zz++++="Hullo!"
hullo ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Beanfeast?"
beanfeast ^nn+++??+=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
might ^md+pos+++=might
call ^vb++++=call
it ^pp3+it+++=it
so ^rb+cnj+++=so,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
replied ^vbd+vpub++xvbnx+=replied.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+aux++=are
giving ^vbg+++xvbgx+=giving
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
smiled ^vbd+++xvbnx+=smiled
courteously ^rb+cnj+++=courteously,
, ^zz++++=EXTRAWORD
supposing ^vbg+vprv++xvbg+=supposing
this ^dt+dem+++=this
to ^to++++=to
be ^vbi++vrb++=be
wit ^nn++++=wit.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Farnborough ^np++++=Farnborough
kissed ^vbd+++xvbn+=kissed
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
the ^ati++++=the
children ^nns++++=children
demanded ^vbd+vsua++xvbn+=demanded
ginger ^nn++++=ginger-beer,
- ^zz++++=EXTRAWORD
beer ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
pug ^nn+++??+=pug
dog ^nn++++=dog
went ^vbd+++xvbn+=went
below ^in+pl+++=below
and ^cc++++=and
discovered ^vbd+vprv++xvbn+=discovered
the ^ati++++=the
larder ^nn++++=larder.
. ^zz++++=EXTRAWORD
Mcquae ^np+++??+=McQuae
sat ^vbd+++xvbn+=sat
upright ^jj++++=upright.
. ^zz++++=EXTRAWORD
" ^zz++++="Good
good ^jj+atrb+++=EXTRAWORD
God ^nn++++=God!
! ^zz++++=EXTRAWORD
Is ^vbz+bez+vrb++=Is
this ^dt+dem+++=this
Sunday ^nr++++=Sunday?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
all ^abn++++=all
morning ^nn++++=morning."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
you ^pp2+pp2+++=you've
've ^vb+hv+aux++0=EXTRAWORD
come ^vprf+++xvbn+=come
to ^in++++=to
lunch ^nn++++=lunch?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
the ^ati++++=the
attractive ^jj+atrb+++=attractive
feature ^nn++++=feature
of ^in++++=of
your ^pp$+pp2+++=your
invitation ^nn+nom+++=invitation."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
went ^vbd+++xvbnx+=went
below ^in+strn+++=below.
. ^zz++++=EXTRAWORD
Presently ^rb+tm+++=Presently
we ^pp1a+pp1+++=we
heard ^vbd+vprv+tht0+xvbn+=heard
a ^at++++=a
cupboard ^nn++++=cupboard
opened ^vbd+++xvbn+=opened,
, ^zz++++=EXTRAWORD
a ^at++++=a
plate ^nn++++=plate
broken ^vbd+++xvbn+=broken,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
woman ^nn++++=woman's
's ^$++++=EXTRAWORD
voice ^nn++++=voice
speaking ^vwbg+++xvbg+=speaking
with ^in++++=with
a ^at++++=a
freedom ^nn+nom+++=freedom
which ^whp+rel+subj++=which
suggested ^vprf+++xvbn+=suggested
that ^tht+vcmp+++=that
the ^ati++++=the
cook ^nn++++=cook
had ^vbd+hvd+aux++=had
discovered ^vprf+++xvbnx+=discovered
the ^ati++++=the
situation ^nn+nom+++=situation.
. ^zz++++=EXTRAWORD
Mcquae ^np+++??+=McQuae
returned ^vbd+++xvbn+=returned
carrying ^vbg+++xvbg+=carrying
half ^abn++++=half
a ^at++++=a
loaf ^nn++++=loaf,
, ^zz++++=EXTRAWORD
a ^at++++=a
pot ^nn++++=pot
of ^in++++=of
anchovy ^nn+++??+=anchovy
paste ^nn++++=paste,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
three ^cd++++=three
peaches ^nns++++=peaches.
. ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
appears ^vbz+seem+++=appears
to ^to+vcmp+++=to
have ^vbi++++=have
been ^vprf+ben+vrb+xvbn+=been
some ^dti++++=some
misunderstanding ^nn++++=misunderstanding,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
The ^ati++++=The
misunderstanding ^nn++++=misunderstanding
was ^vbd+bedz+vrb++=was
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
ordered ^vprf+++xvbnx+=ordered
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
cook ^nn++++=cook,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
expected ^vprf+++xvbnx+=expected
a ^at++++=a
quiet ^nn++++=quiet
day ^nn++++=day,
, ^zz++++=EXTRAWORD
declared ^nn+++xvbn+=declared
that ^tht+ncmp+++=that
she ^pp3a+pp3+++=she
would ^md+prd+++=would
wash ^vb++++=wash
her ^pp3o+pp3+++=her
hands ^nns++++=hands
of ^in++++=of
the ^ati++++=the
whole ^jj+atrb+++=whole
business ^nns+nom+++=business
figuratively ^rb+cnj+++=figuratively,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
trust ^vb+vprv+++=trust,
, ^zz++++=EXTRAWORD
for ^in++++=for
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
at ^rb++++=at
that ^dt+dem+++=that
moment ^nn++++=moment
making ^vwbg+++xvbg+=making
an ^at++++=an
omelette ^nn+nom+++=omelette.
. ^zz++++=EXTRAWORD
The ^ati++++=The
luncheon ^nn++++=luncheon
ultimately ^rb++++=ultimately
consisted ^vbd+++xvbn+=consisted
of ^in++++=of
eggs ^nns++++=eggs,
, ^zz++++=EXTRAWORD
anchovy ^nn+++??+=anchovy
sandwiches ^nns++++=sandwiches,
, ^zz++++=EXTRAWORD
peaches ^nns++++=peaches
cut ^vbd+++xvbn+=cut
into ^in++++=into
sixths ^nns+++??+=sixths,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
some ^dti++++=some
cold ^jj+atrb+++=cold
mutton ^nn++++=mutton
borrowed ^vbd+++xvbn+=borrowed
from ^in++++=from
a ^at++++=a
neighbouring ^jj+atrb+++=neighbouring
boat ^nn++++=boat
whose ^whp+rel+obj++=whose
owner ^nn++++=owner
was ^vbd+bedz+vrb++=was
asleep ^jj+pred+++=asleep.
. ^zz++++=EXTRAWORD
The ^ati++++=The
children ^nns++++=children
enjoyed ^vbd+++xvbn+=enjoyed
it ^pp3+it+++=it
enormously ^rb+amp+++=enormously.
. ^zz++++=EXTRAWORD
Children ^nns++++=Children
always ^rb++++=always
do ^vb+do+aux++=do
enjoy ^vb++++=enjoy
the ^ati++++=the
disasters ^nns+nom+++=disasters
which ^whp+rel+obj++=which
their ^pp$+pp3+++=their
elders ^nns++++=elders
are ^vb+ber+aux++=are
paying ^vbg+++xvbgx+=paying
for ^in+strn+++=for.
. ^zz++++=EXTRAWORD
The ^ati++++=The
adults ^nns++++=adults
were ^vbd+bed+vrb++=were
less ^rbr++++=less
expansive ^jj+pred+++=expansive,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Dacre ^np++++=Dacre
asked ^vbd+vsua++xvbn+=asked
Mcquae ^np+++??+=McQuae
whether ^cs+who+++=whether
he ^pp3a+pp3+++=he
made ^vbd+++xvbnx+=made
a ^at++++=a
practice ^nn++++=practice
of ^in++++=of
inviting ^xvbg+++xvbg+=inviting
people ^nns++++=people
to ^in++++=to
meals ^nns++++=meals
in ^to++++=in
order ^vb++++=order
to ^to+vcmp+++=to
study ^vb++++=study
their ^pp$+pp3+++=their
characters ^nns+nom+++=characters
under ^in++++=under
privation ^nn+nom+++=privation.
. ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
no ^at++++=no,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
remembered ^vbd+vprv+tht0+xvbnx+=remembered
you ^pp2+pp2+++=you
perfectly ^rb+amp+++=perfectly.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
food ^nn++++=food
I ^pp1a+pp1+++=I
forgot ^vbd+vprv++xvbnx+=forgot."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
This ^dt+dem+++=This
distinction ^nn+nom+++=distinction
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
console ^nn+++??+=console
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
Another ^ppls++++=Another
day ^np++++=day
he ^pp3a+pp3+++=he
drove ^vbd+++xvbnx+=drove
Leena ^np+++??+=Leena
Harcourt ^np+++??+=Harcourt
to ^in++++=to
Richmond ^np++++=Richmond.
. ^zz++++=EXTRAWORD
Leena ^np+++??+=Leena
was ^vbd+bedz+vrb++=was
the ^ati++++=the
young ^jj+atrb+++=young
woman ^nn++++=woman
whom ^whp+rel+obj++=whom
he ^pp3a+pp3+++=he
then ^rn+tm+++=then
recollected ^vbd+++xvbn+=recollected
being ^xvbg+++xvbg+=being
engaged ^vwbn+++xvbn+=engaged
to ^in+strn+++=to.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
say ^vb+vpub+++=say
" ^zz++++="then"
then ^rn+tm+++=EXTRAWORD
" ^zz++++=EXTRAWORD
because ^cs+cos+++=because
there ^ex+pex+++=there
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
two ^cd++++=two
