# ^zz++++=#
Blas ^np+++??+=Blas
Drayton ^np+++??+=Drayton,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=aren't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="'Fraid
' ^zz++++=EXTRAWORD
fraid ^nn+++??+=EXTRAWORD
so ^ql++++=so."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Blas
blas ^nns+++??+=EXTRAWORD
Billy ^np++++=Billy?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
looked ^vbd+++xvbnx+=looked
faintly ^rb++++=faintly
pained ^jj++++=pained.
. ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
what ^wdt+who+++=what
my ^pp$+pp1+++=my
enemies ^nns++++=enemies
call ^nn++++=call
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
thought ^vbd+++xvbnx+=thought
your ^pp$+pp2+++=your
friends ^nns++++=friends
called ^vbd+++xvbn+=called
you ^pp2+pp2+++=you
that ^dt+pdem+++=that."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
dear ^jj++++=dear
fellow ^jjb++++=fellow,
, ^zz++++=EXTRAWORD
one ^cd1++++=one's
's ^vbz+bez+vrb++0=EXTRAWORD
friends ^nns++++=friends
are ^vb+ber+vrb++=are
one ^cd1++++=one's
's ^vbz+bez+vrb++0=EXTRAWORD
enemies ^nns++++=enemies
who ^whp+rel+subj++=who
have ^vb+hv+aux++=have
not ^xnot++not++=not
had ^vb+hv+vrb++=had
the ^ati++++=the
courage ^nn+nom+++=courage
to ^to++++=to
declare ^vbi+vpub+++=declare
themselves ^ppls+pp3+++=themselves."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
my ^pp$+pp1+++=my
introduction ^nn+nom+++=introduction
to ^in++++=to
the ^ati++++=the
Hon ^npt++++=Hon.
. ^zz++++=EXTRAWORD
William ^np++++=William
Cecil ^np++++=Cecil
Wychwood ^np+++??+=Wychwood
Stanley ^np++++=Stanley
Drayton ^np+++??+=Drayton,
, ^zz++++=EXTRAWORD
second ^od++++=second
son ^nn++++=son
of ^in++++=of
Lord ^npt++++=Lord
Runnymede ^np+++??+=Runnymede,
, ^zz++++=EXTRAWORD
cousin ^nn++++=cousin
to ^to++++=to
three ^cd++++=three
dukes ^npts++++=dukes,
, ^zz++++=EXTRAWORD
nephew ^nn++++=nephew
to ^in++++=to
a ^at++++=a
bishop ^nn++++=bishop,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
connected ^vpsv++by+xvbn+=connected
by ^in++++=by
marriage ^nn+nom+++=marriage
with ^in++++=with
so ^ql++++=so
many ^ap++++=many
persons ^nns++++=persons
of ^in++++=of
consequence ^nn+nom+++=consequence
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
could ^md+pos+++=could
not ^xnot++not++=not
enter ^vb++++=enter
a ^at++++=a
drawing ^jj+++xvbg+=drawing-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
without ^in++++=without
encountering ^xvbg+++xvbg+=encountering
either ^dtx++++=either
a ^at++++=a
relative ^jj++++=relative
or ^cc++++=or
a ^at++++=a
scandal ^nn++++=scandal.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
nickname ^nn++++=nickname
suited ^vwbn+++xvbn+=suited
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
everywhere ^rb+cnj+++=everywhere,
, ^zz++++=EXTRAWORD
done ^xvbn+++xvbn+=done
everything ^pn++++=everything,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
disapproved ^vpsv++agls+xvbn+=disapproved
of ^in++++=of
the ^ati++++=the
arrangements ^nns+nom+++=arrangements.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
hunted ^vprf+++xvbnx+=hunted
in ^in++++=in
Leicestershire ^np++++=Leicestershire
and ^cc++++=and
complained ^vbd+vpub++xvbn+=complained
that ^tht+vcmp+++=that
the ^ati++++=the
foxes ^nns++++=foxes
lacked ^vbd+++xvbn+=lacked
originality ^nn+nom+++=originality;
; ^zz++++=EXTRAWORD
shot ^j+++xvbn+=shot
in ^in++++=in
Scotland ^np++++=Scotland
and ^cc++++=and
objected ^vbd+vpub++xvbn+=objected
to ^to++++=to
walking ^vbi++++=walking
uphill ^jjb++++=uphill
for ^in++++=for
birds ^nns++++=birds
which ^whp+rel+subj++=which
could ^md+pos+++=could
be ^vb+be+aux++=be
bought ^vpsv++agls+xvbnx+=bought
more ^rbr++++=more
economically ^rb++++=economically
in ^in++++=in
Bond ^np++++=Bond
Street ^nn++++=Street;
; ^zz++++=EXTRAWORD
crossed ^j+++xvbn+=crossed
the ^ati++++=the
Atlantic ^np++++=Atlantic
and ^cc++++=and
pronounced ^xvbn+++xvbn+=pronounced
America ^np++++=America
too ^ql++++=too
new ^np++++=new;
; ^zz++++=EXTRAWORD
visited ^j+++xvbn+=visited
India ^np++++=India
and ^cc++++=and
found ^vbd+vprv++xvbn+=found
it ^pp3+it+++=it
too ^rb++++=too
old ^jj++++=old.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
spent ^vprf+++xvbnx+=spent
six ^cd++++=six
months ^nns++++=months
in ^in++++=in
Africa ^np++++=Africa,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
told ^vbd+vpub++xvbnx+=told
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
the ^ati++++=the
lions ^nns++++=lions
were ^vbd+bed+vrb++=were
disappointing ^jj+pred+++=disappointing
and ^cc++++=and
the ^ati++++=the
missionaries ^nns++++=missionaries
overfed ^vbd+++xvbn+=overfed.
. ^zz++++=EXTRAWORD
Constantinople ^np++++=Constantinople
reminded ^vbd+vsua++xvbn+=reminded
him ^pp3o+pp3+++=him
of ^in++++=of
a ^at++++=a
costume ^nn++++=costume
ball ^nn++++=ball
held ^vbd+vprv++xvbn+=held
over ^in++++=over
a ^at++++=a
drain ^nn++++=drain;
; ^zz++++=EXTRAWORD
Venice ^np++++=Venice
was ^vbd+bedz+vrb++=was
damp ^nn++++=damp;
; ^zz++++=EXTRAWORD
Paris ^np++++=Paris
obvious ^jj++++=obvious;
; ^zz++++=EXTRAWORD
Vienna ^np++++=Vienna
fat ^nn++++=fat;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Monte ^np++++=Monte
Carlo ^np++++=Carlo,
, ^zz++++=EXTRAWORD
though ^rb+cnj+++=though
immoral ^jj++++=immoral,
, ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
none ^pn++++=none
of ^in++++=of
the ^ati++++=the
freshness ^nns+nom+++=freshness
which ^whp+rel+subj++=which
should ^md+nec+++=should
belong ^vb++++=belong
to ^in++++=to
sin ^nn++++=sin.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
twenty ^cd++++=twenty-nine,
- ^zz++++=EXTRAWORD
nine ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
a ^at++++=a
trying ^jj+atrb++xvbg+=trying
age ^nn++++=age
for ^in++++=for
a ^at++++=a
man ^nn++++=man
who ^whp+rel+subj++=who
has ^vbz+hvz+aux++=has
exhausted ^vprf+++xvbnx+=exhausted
existence ^nn+nom+++=existence
at ^in++++=at
twenty ^cd++++=twenty-three.
- ^zz++++=EXTRAWORD
three ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Billy ^np++++=Billy
knew ^vbd+vprv++xvbn+=knew
the ^ati++++=the
correct ^jj+atrb+++=correct
tailor ^nn++++=tailor
for ^in++++=for
every ^at++++=every
form ^nn++++=form
of ^in++++=of
insolvency ^nn+++??+=insolvency,
, ^zz++++=EXTRAWORD
the ^ati++++=the
exact ^jj+atrb+++=exact
button ^nn++++=button
to ^to++++=to
be ^vbi+vbi+aux++=be
worn ^vpsv++agls+xvbnx+=worn
at ^rb++++=at
a ^at++++=a
royal ^jj+atrb+++=royal
garden ^nn++++=garden
party ^nn++++=party,
, ^zz++++=EXTRAWORD
the ^ati++++=the
divorce ^nn++++=divorce
history ^nn++++=history
of ^in++++=of
every ^at++++=every
handsome ^jj+atrb+++=handsome
woman ^nn++++=woman
in ^in++++=in
London ^np++++=London,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
probable ^jj+atrb+++=probable
Cabinet ^nn++++=Cabinet
future ^jjb++++=future
of ^in++++=of
every ^at++++=every
stupid ^jj+atrb+++=stupid
man ^nn++++=man.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
distinguish ^vb++++=distinguish
old ^jj+atrb+++=old
lace ^nn++++=lace
from ^in++++=from
new ^jj+atrb+++=new
morality ^nn+nom+++=morality
at ^in++++=at
twenty ^cd++++=twenty
yards ^nns++++=yards;
; ^zz++++=EXTRAWORD
knew ^j+++xvbn+=knew
which ^whp+who+++=which
countesses ^nns+nom++??+=countesses
received ^vprf+++xvbn+=received
actors ^nns++++=actors,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
actresses ^nns+nom+++=actresses
received ^vbd+++xvbn+=received
countesses ^nns+nom++??+=countesses,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
what ^wdt+who+++=what
houses ^nns++++=houses
one ^cd1++++=one
might ^md+pos+++=might
mention ^nn+nom+++=mention
God ^np++++=God,
, ^zz++++=EXTRAWORD
money ^nn++++=money,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
honest ^jj+atrb+++=honest
work ^nn++++=work
without ^in++++=without
causing ^xvbg+++xvbg+=causing
unnecessary ^jj+atrb+++=unnecessary
embarrassment ^nn+nom+++=embarrassment.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
never ^rb++++=never
read ^vb+vprv++xvbn+=read
the ^ati++++=the
newspapers ^nns+nom+++=newspapers
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
told ^vbd+vpub++xvbnx+=told
him ^pp3o+pp3+++=him
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
heard ^vprf+++xvbnx+=heard
the ^ati++++=the
night ^nn++++=night
before ^in+strn+++=before,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
never ^rb++++=never
read ^vb+vprv++xvbn+=read
books ^nns++++=books
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
told ^vbd+vpub++xvbnx+=told
him ^pp3o+pp3+++=him
what ^wdt+who+++=what
somebody ^pn++++=somebody
had ^vbd+hvd+aux++=had
thought ^vprf+++xvbnx+=thought
the ^ati++++=the
century ^nn++++=century
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
Nevertheless ^rb+cnj+++=Nevertheless,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
liked ^vbd+++xvbnx+=liked
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Beneath ^in+pl+++=Beneath
his ^pp$+pp3+++=his
boredom ^nn+nom+++=boredom
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
intelligence ^nn+nom+++=intelligence,
, ^zz++++=EXTRAWORD
beneath ^in+pl+++=beneath
his ^pp$+pp3+++=his
insolence ^nn+nom+++=insolence
good ^jj+atrb+++=good
temper ^nn++++=temper,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
beneath ^in+pl+++=beneath
his ^pp$+pp3+++=his
perfectly ^rb+amp+++=perfectly
fitting ^jj+atrb++xvbg+=fitting
waistcoat ^nn++++=waistcoat,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
none ^pn++++=none
of ^in++++=of
us ^pp1o+pp1+++=us
then ^rn+tm+++=then
suspected ^vbd+vprv++xvbn+=suspected
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
a ^at++++=a
heart ^nn++++=heart.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
acquaintanceship ^nn+nom+++=acquaintanceship
advanced ^vbd+++xvbn+=advanced
because ^cs+cos+++=because
I ^pp1a+pp1+++=I
refused ^vbd+++xvbnx+=refused
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
discouraged ^vpsv++agls+xvbnx+=discouraged.
. ^zz++++=EXTRAWORD
Billy ^np++++=Billy
said ^vbd+vpub+tht0+xvbn+=said
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
the ^ati++++=the
social ^jj+atrb+++=social
instincts ^nns++++=instincts
of ^in++++=of
a ^at++++=a
bailiff ^nn++++=bailiff.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
replied ^vbd+vpub++xvbnx+=replied
that ^tht+vcmp+++=that
a ^at++++=a
bailiff ^nn++++=bailiff,
, ^zz++++=EXTRAWORD
at ^rb++++=at
least ^rb"++++=least,
, ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
admitted ^vpsv++agls+xvbnx+=admitted
to ^in++++=to
the ^ati++++=the
best ^jjt+atrb+++=best
houses ^nns++++=houses.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
long ^rb++++=long
we ^pp1a+pp1+++=we
lunched ^vbd+++xvbn+=lunched
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
went ^j+++xvbn+=went
to ^to++++=to
first ^od++++=first
nights ^nns++++=nights
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stood ^vbd+++xvbn+=stood
side ^nn++++=side
by ^in++++=by
side ^nn++++=side
at ^in++++=at
crowded ^vbd+++xvbn+=crowded
parties ^nns++++=parties,
, ^zz++++=EXTRAWORD
preserving ^vbg+++xvbg+=preserving
the ^ati++++=the
grave ^jj+atrb+++=grave
expression ^nn++++=expression
with ^in++++=with
which ^whp+rel+pied++=which
Englishmen ^nn++++=Englishmen
face ^nn++++=face
amusement ^nn+nom+++=amusement.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
at ^rb++++=at
Lady ^npt++++=Lady
Pomeroy ^np++++=Pomeroy's
's ^$++++=EXTRAWORD
that ^dt+dem+++=that
I ^pp1a+pp1+++=I
first ^rb++++=first
saw ^vbd+vprv++xvbn+=saw
Gerty ^np+++??+=Gerty
Lovell ^np+++??+=Lovell.
. ^zz++++=EXTRAWORD
Lady ^npt++++=Lady
Pomeroy ^np++++=Pomeroy's
's ^$++++=EXTRAWORD
parties ^nns++++=parties
were ^vbd+bed+vrb++=were
among ^in++++=among
the ^ati++++=the
accepted ^jj+atrb++xvbn+=accepted
hardships ^nns+nom+++=hardships
of ^in++++=of
the ^ati++++=the
season ^nn++++=season.
. ^zz++++=EXTRAWORD
Everybody ^pn++++=Everybody
went ^vbd+++xvbn+=went
because ^cs+cos+++=because
everybody ^pn++++=everybody
else ^rb+cnj+++=else
went ^vbd+++xvbn+=went,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
everybody ^pn++++=everybody
else ^rb+cnj+++=else
went ^vbd+++xvbn+=went
because ^cs+cos+++=because
Lady ^npt++++=Lady
Pomeroy ^np+++??+=Pomeroy
would ^md+prd+++=would
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
wounded ^vpsv++agls+xvbnx+=wounded
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
had ^vb+hv+vrb++=had
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
staircase ^nn++++=staircase
was ^vbd+bedz+vrb++=was
narrow ^jj+pred+++=narrow,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
champagne ^nn++++=champagne
warm ^jj++++=warm,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
her ^pp$+pp3+++=her
rooms ^nns++++=rooms
decorated ^vbd+++xvbn+=decorated
with ^in++++=with
the ^ati++++=the
portraits ^nns++++=portraits
of ^in++++=of
ancestors ^nns++++=ancestors
who ^whp+rel+subj++=who
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
regard ^vbi++++=regard
the ^ati++++=the
guests ^nns++++=guests
as ^in++++=as
a ^at++++=a
regrettable ^jj+atrb+++=regrettable
decline ^nn++++=decline
in ^in++++=in
the ^ati++++=the
family ^nn++++=family
fortunes ^nns++++=fortunes.
. ^zz++++=EXTRAWORD
Gerty ^np+++??+=Gerty
stood ^vbd+++xvbn+=stood
near ^in+pl+++=near
the ^ati++++=the
conservatory ^nn++++=conservatory
doors ^nns++++=doors,
, ^zz++++=EXTRAWORD
listening ^jj+++xvbg+=listening
to ^in++++=to
a ^at++++=a
young ^nn++++=young
attach ^vb++++=attach
explain ^vb+vpub+++=explain
a ^at++++=a
Balkan ^np+++??+=Balkan
crisis ^nn++++=crisis
of ^in++++=of
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
understood ^vbd+vprv++xvbnx+=understood
less ^rbr++++=less
than ^cs+sub+++=than
she ^pp3a+pp3+++=she
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
perhaps ^rb+cnj+++=perhaps,
, ^zz++++=EXTRAWORD
beautiful ^jj++++=beautiful
in ^in++++=in
the ^ati++++=the
manner ^nn++++=manner
which ^whp+rel+subj++=which
causes ^vbz++++=causes
poets ^nns++++=poets
to ^to++++=to
abandon ^vbi++++=abandon
regular ^jj+atrb+++=regular
employment ^nn+nom+++=employment,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
lovely ^jj+pred+++=lovely
enough ^qlp++++=enough
to ^to++++=to
keep ^vbi++++=keep
several ^ap++++=several
young ^jj+atrb+++=young
men ^nns++++=men
from ^in++++=from
attending ^nn++++=attending
to ^in++++=to
theirs ^pp$$++++=theirs.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
hair ^nn++++=hair
was ^vbd+bedz+vrb++=was
a ^at++++=a
pale ^nn++++=pale
brown ^jj++++=brown
with ^in++++=with
gold ^nn++++=gold
in ^in++++=in
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
eyes ^nns++++=eyes
were ^vbd+bed+vrb++=were
grey ^np++++=grey;
; ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
figure ^nn++++=figure
possessed ^vbd+++xvbn+=possessed
that ^dt+dem+++=that
fragile ^jj+atrb+++=fragile
perfection ^nn+nom+++=perfection
which ^whp+rel+subj++=which
costs ^vbz++++=costs
a ^at++++=a
dressmaker ^jjr++++=dressmaker
many ^ap++++=many
anxious ^jj+atrb+++=anxious
nights ^nns++++=nights
and ^cc++++=and
a ^at++++=a
father ^nn++++=father
several ^ap++++=several
hundred ^cd++++=hundred
pounds ^nns++++=pounds
a ^at++++=a
year ^nn++++=year.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+vrb++=had
no ^at++++=no
father ^nn++++=father
capable ^jj++++=capable
of ^in++++=of
paying ^xvbg+++xvbg+=paying
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
The ^ati++++=The
late ^jj+atrb+++=late
Colonel ^npt++++=Colonel
Lovell ^np+++??+=Lovell
had ^vbd+hvd+aux++=had
left ^vprf+++xvbnx+=left
his ^pp$+pp3+++=his
daughter ^nn+nom+++=daughter
a ^at++++=a
famous ^jj+atrb+++=famous
name ^nn++++=name,
, ^zz++++=EXTRAWORD
a ^at++++=a
trunk ^nn++++=trunk
of ^in++++=of
unpaid ^jj+atrb+++=unpaid
accounts ^nns++++=accounts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
an ^at++++=an
elderly ^jj+atrb+++=elderly
aunt ^nn++++=aunt
in ^in++++=in
Kensington ^np++++=Kensington.
. ^zz++++=EXTRAWORD
The ^ati++++=The
aunt ^npt++++=aunt
supplied ^vbd+++xvbn+=supplied
religion ^nn++++=religion,
, ^zz++++=EXTRAWORD
lunch ^nn++++=lunch
on ^in++++=on
Sundays ^nrs++++=Sundays,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
advice ^nn++++=advice
in ^in++++=in
quantities ^nns+nom+++=quantities
which ^whp+rel+subj++=which
made ^vprf+++xvbn+=made
other ^ap++++=other
forms ^nns++++=forms
of ^in++++=of
provision ^nn++++=provision
impossible ^jj++++=impossible.
. ^zz++++=EXTRAWORD
Gerty ^np+++??+=Gerty
supplied ^vbd+++xvbn+=supplied
the ^ati++++=the
rest ^nn++++=rest
by ^in++++=by
an ^at++++=an
art ^nn++++=art
practised ^vwbn+++xvbn+=practised
by ^in++++=by
women ^nns++++=women
who ^whp+rel+subj++=who
have ^vb+hv+vrb++=have
nothing ^pn++++=nothing
and ^cc++++=and
appear ^vb+seem+++=appear
to ^to+vcmp+++=to
possess ^nns+nom+++=possess
everything ^pn++++=everything.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
gloves ^nns++++=gloves
were ^vbd+bed+vrb++=were
always ^rb++++=always
fresh ^jj+pred+++=fresh,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
gowns ^nns++++=gowns
always ^rb++++=always
right ^jj++++=right,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
cab ^nn++++=cab
always ^rb++++=always
waiting ^vbg+++xvbg+=waiting
when ^wrb+who+++=when
anybody ^pn++++=anybody
important ^jj++++=important
was ^vbd+bedz+aux++=was
looking ^vbg+++xvbgx+=looking.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
this ^dt+pdem+++=this
was ^vbd+bedz+aux++=was
accomplished ^vpsv++agls+xvbnx+=accomplished
no ^at++++=no
one ^cd1++++=one
knew ^vbd+vprv++xvbn+=knew,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
society ^nn++++=society
respects ^nns++++=respects
no ^at++++=no
mystery ^nn+nom+++=mystery
so ^ql++++=so
much ^ap++++=much
as ^ql++++=as
the ^ati++++=the
mystery ^nn+nom+++=mystery
of ^in++++=of
solvency ^nn+++??+=solvency.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+aux++=was
