**to ^nn+++??+=**TO
, ^zz++++=EXTRAWORD
a ^at++++=a
secluded ^jj+atrb+++=secluded
region ^nn++++=region
wherein ^wrb+who+++=wherein
the ^ati++++=the
genius ^nn++++=genius
of ^in++++=of
foregone ^vprf+++xvbn+=foregone
ages ^nns++++=ages
still ^rb++++=still
sits ^vbz++++=sits
smoking ^vbg+++xvbg+=smoking
beneath ^rb++++=beneath
his ^pp$+pp3+++=his
ancestral ^jj+atrb+++=ancestral
weathercock ^nn+++??+=weathercock.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
allude ^nn+++??+=allude,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
to ^in++++=to
Communipaw ^np+++??+=Communipaw.
. ^zz++++=EXTRAWORD
Communipaw ^np+++??+=Communipaw!
! ^zz++++=EXTRAWORD
name ^nn++++=name
of ^in++++=of
mystery ^nn+nom+++=mystery,
, ^zz++++=EXTRAWORD
fragrance ^nn+nom+++=fragrance,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fat ^nn++++=fat
pastures ^nns++++=pastures!
! ^zz++++=EXTRAWORD
There ^rn+pl+++=There
the ^ati++++=the
roads ^nns++++=roads
wander ^vb++++=wander
at ^in++++=at
their ^pp$+pp3+++=their
own ^ap++++=own
discretion ^nn+nom+++=discretion,
, ^zz++++=EXTRAWORD
scorning ^jj+++xvbg+=scorning
alike ^rb++++=alike
the ^ati++++=the
compass ^nn++++=compass
and ^cc++++=and
the ^ati++++=the
statute ^nn++++=statute-book;
- ^zz++++=EXTRAWORD
book ^nn++++=EXTRAWORD
; ^zz++++=EXTRAWORD
there ^rn+pl+++=there
mossy ^jj+atrb+++=mossy
fences ^nns++++=fences
sink ^vb++++=sink
beneath ^in+pl+++=beneath
elder ^jjr+atrb+++=elder
bushes ^nns++++=bushes
and ^cc++++=and
wild ^jj+atrb+++=wild
vines ^nns++++=vines;
; ^zz++++=EXTRAWORD
there ^rn+pl+++=there
ancient ^jj+atrb+++=ancient
willows ^nns++++=willows
stoop ^nn+++??+=stoop
over ^in++++=over
green ^nn++++=green
ditches ^nns++++=ditches,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
searching ^jj+++xvbg+=searching
for ^in++++=for
the ^ati++++=the
reflections ^nns+nom+++=reflections
of ^in++++=of
burgomasters ^nns+nom+++=burgomasters
long ^jj++++=long
departed ^jj+++xvbn+=departed;
; ^zz++++=EXTRAWORD
there ^rn+pl+++=there
the ^ati++++=the
kine ^nns++++=kine
deliberate ^jj++++=deliberate
in ^in++++=in
the ^ati++++=the
highway ^nn++++=highway,
, ^zz++++=EXTRAWORD
geese ^nns++++=geese
possess ^nns+nom+++=possess
the ^ati++++=the
door ^nn++++=door-yards
- ^zz++++=EXTRAWORD
yards ^nns++++=EXTRAWORD
by ^in++++=by
hereditary ^jj+atrb+++=hereditary
right ^nn++++=right,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cabbages ^nns+nom+++=cabbages,
, ^zz++++=EXTRAWORD
ranged ^j+++xvbn+=ranged
in ^in++++=in
innumerable ^jj+atrb+++=innumerable
battalions ^nns++++=battalions,
, ^zz++++=EXTRAWORD
maintain ^vb+vpub+++=maintain
possession ^nn++++=possession
of ^in++++=of
the ^ati++++=the
soil ^nn++++=soil.
. ^zz++++=EXTRAWORD
The ^ati++++=The
stranger ^nn+nom+++=stranger,
, ^zz++++=EXTRAWORD
approaching ^jj+++xvbg+=approaching
this ^dt+dem+++=this
venerable ^jj+atrb+++=venerable
spot ^nn++++=spot
from ^in++++=from
the ^ati++++=the
river ^nn++++=river,
, ^zz++++=EXTRAWORD
beholds ^nns+++??+=beholds
low ^jj+atrb+++=low
roofs ^nns++++=roofs,
, ^zz++++=EXTRAWORD
whitewashed ^xvbn+++xvbn+=whitewashed
walls ^nns++++=walls,
, ^zz++++=EXTRAWORD
barns ^nns+++??+=barns
of ^in++++=of
immense ^jj+atrb+++=immense
capacity ^nn+nom+++=capacity,
, ^zz++++=EXTRAWORD
orchards ^nns++++=orchards
twisted ^vbd+++xvbn+=twisted
with ^in++++=with
age ^nn++++=age,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
church ^nn++++=church
whose ^whp+rel+obj++=whose
bell ^nn++++=bell
appears ^vbz+seem+++=appears
to ^to+vcmp+++=to
have ^vbi++++=have
been ^vprf+ben+aux+xvbn+=been
cast ^vpsv++agls+xvbnx+=cast
expressly ^rb++++=expressly
for ^in++++=for
funerals ^nns+nom+++=funerals.
. ^zz++++=EXTRAWORD
The ^ati++++=The
air ^nn++++=air
is ^vbz+bez+aux++=is
enriched ^vpsv++agls+xvbnx+=enriched
with ^in++++=with
the ^ati++++=the
mingled ^jj+atrb++xvbn+=mingled
odours ^nns++++=odours
of ^in++++=of
salt ^jj+atrb+++=salt
marsh ^npl++++=marsh,
, ^zz++++=EXTRAWORD
cow ^nn++++=cow
stable ^nn++++=stable,
, ^zz++++=EXTRAWORD
wood ^nn++++=wood
smoke ^nn++++=smoke,
, ^zz++++=EXTRAWORD
frying ^nn++++=frying
dough ^nn+++??+=dough,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
oysters ^nns+nom+++=oysters
recently ^rb+tm+++=recently
translated ^vbd+++xvbn+=translated
from ^in++++=from
their ^pp$+pp3+++=their
native ^jj+atrb+++=native
beds ^nns++++=beds.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
his ^pp$+pp3+++=his
bosom ^nn++++=bosom
be ^vb+be+aux++=be
not ^xnot++not++=not
altogether ^nn+nom+++=altogether
occupied ^vpsv++by+xvbn+=occupied
by ^in++++=by
railroads ^nns+++??+=railroads
and ^cc++++=and
real ^jj+atrb+++=real
estate ^nn++++=estate,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
will ^md+prd+++=will
feel ^vb+vprv+++=feel
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
has ^vbz+hvz+aux++=has
stepped ^vprf+++xvbnx+=stepped
backward ^jj++++=backward
by ^in++++=by
two ^cd++++=two
centuries ^nns++++=centuries.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Editor ^np++++=Editor,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
merely ^rb+down+++=merely
to ^to++++=to
preserve ^vbi++++=preserve
one ^cd1++++=one
picturesque ^jj+atrb+++=picturesque
nook ^nn++++=nook
from ^in++++=from
the ^ati++++=the
ruthless ^jj+atrb+++=ruthless
pencil ^nn++++=pencil
of ^in++++=of
the ^ati++++=the
surveyor ^nn++++=surveyor
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
address ^nns+nom+++=address
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
a ^at++++=a
disclosure ^nn+++??+=disclosure
to ^to++++=to
make ^vbi++++=make
a ^at++++=a
disclosure ^nn+++??+=disclosure
involving ^vwbg+++xvbg+=involving
the ^ati++++=the
fate ^nn++++=fate
of ^in++++=of
this ^dt+dem+++=this
republic ^nn++++=republic,
, ^zz++++=EXTRAWORD
the ^ati++++=the
restitution ^nn+nom+++=restitution
of ^in++++=of
an ^at++++=an
injured ^jj+atrb++xvbn+=injured
people ^nns++++=people,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
peradventure ^nn+++??+=peradventure,
, ^zz++++=EXTRAWORD
the ^ati++++=the
future ^jjb+atrb+++=future
complexion ^nn++++=complexion
of ^in++++=of
the ^ati++++=the
whole ^jj+atrb+++=whole
western ^jj+atrb+++=western
hemisphere ^nn++++=hemisphere.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
exists ^vbz++++=exists,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
has ^vbz+hvz+aux++=has
existed ^vprf+++xvbnx+=existed
since ^rb++++=since
the ^ati++++=the
surrender ^nn+nom+++=surrender
of ^in++++=of
New ^jj++++=New-Amsterdam
- ^zz++++=EXTRAWORD
amsterdam ^np++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
English ^nn++++=English,
, ^zz++++=EXTRAWORD
a ^at++++=a
vast ^jj+atrb+++=vast
and ^cc+phrs+++=and
hereditary ^jj+atrb+++=hereditary
conspiracy ^nn+nom+++=conspiracy
among ^in++++=among
the ^ati++++=the
descendants ^nns+nom+++=descendants
of ^in++++=of
the ^ati++++=the
Dutch ^nn++++=Dutch.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir
a ^at++++=a
conspiracy ^nn+nom+++=conspiracy!
! ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
may ^md+pos+++=may
smile ^vb++++=smile;
; ^zz++++=EXTRAWORD
the ^ati++++=the
Yankee ^nn++++=Yankee
may ^md+pos+++=may
sharpen ^vprf+++xvbn+=sharpen
his ^pp$+pp3+++=his
jackknife ^nn+++??+=jackknife
and ^cc++++=and
smile ^nn++++=smile;
; ^zz++++=EXTRAWORD
the ^ati++++=the
speculator ^nn++++=speculator
may ^md+pos+++=may
unfold ^vb+++??+=unfold
his ^pp$+pp3+++=his
map ^nn++++=map
of ^in++++=of
corner ^nn++++=corner
lots ^nns++++=lots
and ^cc++++=and
smile ^nn++++=smile;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
beneath ^in+pl+++=beneath
that ^dt+dem+++=that
smile ^nn++++=smile
I ^pp1a+pp1+++=I
detect ^vb++++=detect
uneasiness ^nns+nom+++=uneasiness.
. ^zz++++=EXTRAWORD
Naples ^np++++=Naples
reposes ^nns+++??+=reposes
beside ^in+pl+++=beside
her ^pp$+pp3+++=her
volcano ^nn++++=volcano;
; ^zz++++=EXTRAWORD
the ^ati++++=the
careless ^jj+atrb+++=careless
traveller ^nn+nom+++=traveller
plants ^nns++++=plants
vineyards ^nns++++=vineyards
upon ^in++++=upon
buried ^jj+atrb++xvbn+=buried
cities ^nns++++=cities;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thus ^rb+cnj+++=thus
does ^vbz+doz+vrb++=does
modern ^jj+atrb+++=modern
Manhattan ^np+nom++??+=Manhattan
erect ^jj+atrb+++=erect
banks ^nns++++=banks,
, ^zz++++=EXTRAWORD
theatres ^nns++++=theatres,
, ^zz++++=EXTRAWORD
hotels ^nns++++=hotels,
, ^zz++++=EXTRAWORD
shot ^j+++xvbn+=shot-towers,
- ^zz++++=EXTRAWORD
towers ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
institutes ^nns++++=institutes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
oyster ^nn++++=oyster
saloons ^nns+++??+=saloons
above ^jjb++++=above
the ^ati++++=the
smothered ^jj+atrb++xvbn+=smothered
fires ^nns++++=fires
of ^in++++=of
Dutch ^jj+atrb+++=Dutch
patriotism ^nn+nom+++=patriotism.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
our ^pp$+pp1+++=our
stout ^jj+atrb+++=stout
forefathers ^nns+nom+++=forefathers
were ^vbd+bed+aux++=were
compelled ^vpsv++agls+xvbnx+=compelled
to ^in+vcmp+++=to
lower ^jjr++++=lower
the ^ati++++=the
flag ^nn++++=flag
of ^in++++=of
the ^ati++++=the
States ^np++++=States-General,
- ^zz++++=EXTRAWORD
general ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
did ^vbd+dod+aux++=did
not ^xnot++not++=not
submit ^vb+vpub+++=submit
in ^in++++=in
spirit ^nn++++=spirit.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
resistance ^nn+nom+++=resistance
assumed ^vwbn+vprv++xvbn+=assumed
a ^at++++=a
deeper ^jjr++++=deeper,
, ^zz++++=EXTRAWORD
quieter ^jjr++++=quieter,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
more ^rbr++++=more
formidable ^jj+atrb+++=formidable
character ^nn+nom+++=character.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
retired ^vbd+++xvbnx+=retired
to ^in++++=to
their ^pp$+pp3+++=their
farms ^nns++++=farms;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
planted ^vbd+++xvbnx+=planted
cabbages ^nns+nom+++=cabbages;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
smoked ^vbd+++xvbnx+=smoked;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
multiplied ^vbd+++xvbnx+=multiplied.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
ostensible ^jj+atrb+++=ostensible
object ^nn++++=object
was ^vbd+bedz+vrb++=was
agriculture ^nn++++=agriculture:
: ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
real ^jj+atrb+++=real
design ^nn++++=design
was ^vbd+bedz+vrb++=was
restoration ^nn+nom+++=restoration.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
secret ^nn++++=secret,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
descended ^vprf+++xvbnx+=descended
through ^in++++=through
my ^pp$+pp1+++=my
family ^nn++++=family
with ^in++++=with
the ^ati++++=the
silver ^nn++++=silver
porringer ^jjr++++=porringer,
, ^zz++++=EXTRAWORD
the ^ati++++=the
great ^jj+atrb+++=great
walnut ^nn++++=walnut
cupboard ^nn++++=cupboard,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
an ^at++++=an
iron ^nn++++=iron
waffle ^nn+++??+=waffle-maker
- ^zz++++=EXTRAWORD
maker ^nn++++=EXTRAWORD
of ^in++++=of
singular ^jj+atrb+++=singular
construction ^nn+nom+++=construction.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
received ^vbd+++xvbnx+=received
it ^pp3+it+++=it
from ^in++++=from
my ^pp$+pp1+++=my
father ^nn++++=father
on ^in++++=on
the ^ati++++=the
evening ^nn++++=evening
of ^in++++=of
my ^pp$+pp1+++=my
twenty ^cd++++=twenty-first
- ^zz++++=EXTRAWORD
first ^rb++++=EXTRAWORD
birthday ^nn++++=birthday,
, ^zz++++=EXTRAWORD
after ^in++++=after
a ^at++++=a
dinner ^nn++++=dinner
of ^in++++=of
codfish ^nn++++=codfish,
, ^zz++++=EXTRAWORD
potatoes ^nns++++=potatoes,
, ^zz++++=EXTRAWORD
pickled ^jj+atrb++xvbn+=pickled
beets ^nns+++??+=beets,
, ^zz++++=EXTRAWORD
sausages ^nns+nom+++=sausages,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
pumpkin ^jj+atrb++??+=pumpkin
pie ^nn++++=pie.
. ^zz++++=EXTRAWORD
Having ^xvbg+++xvbg+=Having
locked ^vprf+++xvbn+=locked
the ^ati++++=the
doors ^nns++++=doors,
, ^zz++++=EXTRAWORD
drawn ^xvbn+++xvbn+=drawn
the ^ati++++=the
curtains ^nns++++=curtains,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
looked ^vpsv++agls+xvbn+=looked
beneath ^in+pl+++=beneath
the ^ati++++=the
table ^nn++++=table
to ^to++++=to
ascertain ^vbi+vprv+++=ascertain
that ^tht+vcmp+++=that
no ^at++++=no
Yankee ^jj+atrb+++=Yankee
schoolmaster ^nn+nom+++=schoolmaster
had ^vbd+hvd+aux++=had
concealed ^vprf+++xvbnx+=concealed
himself ^ppl+pp3+++=himself
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
placed ^vbd+++xvbnx+=placed
upon ^in++++=upon
his ^pp$+pp3+++=his
head ^jjb++++=head
the ^ati++++=the
cocked ^jj+atrb++xvbn+=cocked
hat ^nn++++=hat
of ^in++++=of
my ^pp$+pp1+++=my
great ^jj++++=great-grandfather
- ^zz++++=EXTRAWORD
grandfather ^nn+nom+++=EXTRAWORD
and ^cc++++=and
addressed ^vbd+++xvbn+=addressed
me ^pp1o+pp1+++=me
in ^in++++=in
these ^dt+dem+++=these
words ^nns++++=words:
: ^zz++++=EXTRAWORD
" ^zz++++="Roloff,
roloff ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
preserve ^nn++++=preserve
the ^ati++++=the
blood ^nn++++=blood,
, ^zz++++=EXTRAWORD
distrust ^nn++++=distrust
wooden ^jj+atrb+++=wooden
nutmegs ^nns+++??+=nutmegs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
remember ^nn+nom+++=remember
New ^jj++++=New-Amsterdam!"
- ^zz++++=EXTRAWORD
amsterdam ^np++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
then ^rn+tm+++=then
drank ^vbd+++xvbn+=drank
three ^cd++++=three
glasses ^nns++++=glasses
to ^in++++=to
the ^ati++++=the
confusion ^nn++++=confusion
of ^in++++=of
Connecticut ^np+++??+=Connecticut
and ^cc++++=and
became ^vbd+++xvbn+=became
too ^ql++++=too
much ^ap++++=much
affected ^jj+++xvbn+=affected
to ^to++++=to
proceed ^vbi++++=proceed.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
father ^nn++++=father,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
should ^md+nec+++=should
observe ^vb+vprv+++=observe,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
patriot ^nn+++??+=patriot
of ^in++++=of
the ^ati++++=the
ancient ^jj+atrb+++=ancient
school ^nn++++=school.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
regarded ^vbd+++xvbnx+=regarded
the ^ati++++=the
landing ^jj+++xvbg+=landing
of ^in++++=of
the ^ati++++=the
Pilgrim ^nn++++=Pilgrim
Fathers ^nns+nom+++=Fathers
as ^ql++++=as
the ^ati++++=the
commencement ^nn+nom+++=commencement
of ^in++++=of
all ^abn++++=all
our ^pp$+pp1+++=our
calamities ^nns+nom+++=calamities,
, ^zz++++=EXTRAWORD
including ^in++++=including
hard ^jj+atrb+++=hard
winters ^nns+nom+++=winters,
, ^zz++++=EXTRAWORD
short ^jj+atrb+++=short
weights ^nns++++=weights,
, ^zz++++=EXTRAWORD
turnpikes ^nns+++??+=turnpikes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
religious ^jj+atrb+++=religious
lectures ^nns++++=lectures
on ^in++++=on
week ^nn++++=week-days.
- ^zz++++=EXTRAWORD
days ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Every ^at++++=Every
anniversary ^nn+nom+++=anniversary
of ^in++++=of
that ^dt+dem+++=that
event ^nn++++=event
threw ^vbd+++xvbn+=threw
him ^pp3o+pp3+++=him
into ^in++++=into
such ^abl++++=such
ill ^jj+atrb+++=ill
humour ^nn++++=humour
that ^tht+rel+obj++=that
we ^pp1a+pp1+++=we
children ^nns++++=children
moved ^vbd+++xvbn+=moved
about ^rb+phrv+++=about
the ^ati++++=the
house ^nn++++=house
with ^in++++=with
the ^ati++++=the
caution ^nn+nom+++=caution
of ^in++++=of
conspirators ^nns++++=conspirators.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
one ^pn++++=one
of ^in++++=of
us ^pp1o+pp1+++=us
offended ^vbd+++xvbn+=offended,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
