This ^dt+pdem+++=This
third ^nn++++=third.
. ^zz++++=EXTRAWORD
Baseball ^np+++??+=Baseball
merely ^rb+down+++=merely
happens ^vbz+vsua+++=happens
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
mixed ^vpsv++agls+xvbnx+=mixed
up ^rp++++=up
in ^in++++=in
it ^pp3+it+++=it
from ^in++++=from
beginning ^xvbg+++xvbg+=beginning
to ^in++++=to
end ^nn++++=end.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
town ^nn++++=town
had ^vb+hv+vrb++=had
a ^at++++=a
professional ^jj+atrb+++=professional
club ^nn++++=club
in ^in++++=in
those ^dt+dem+++=those
days ^nns++++=days,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
liberal ^jj+pred+++=liberal
with ^in++++=with
the ^ati++++=the
word ^nn++++=word
professional ^nn+nom+++=professional.
. ^zz++++=EXTRAWORD
The ^ati++++=The
owners ^nns++++=owners
were ^vbd+bed+vrb++=were
professional ^jj+pred+++=professional;
; ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+aux++=is
to ^to++++=to
say ^vbi+vpub+++=say,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
expected ^vbd+vprv++xvbnx+=expected
to ^to+vcmp+++=to
make ^vbi++++=make
money ^nn++++=money.
. ^zz++++=EXTRAWORD
The ^ati++++=The
players ^nns+nom+++=players
were ^vbd+bed+vrb++=were
professional ^jj+pred+++=professional
in ^in++++=in
June ^nr++++=June
and ^cc++++=and
July ^nr++++=July,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
in ^in++++=in
winter ^nn++++=winter
they ^pp3a+pp3+++=they
became ^vbd+++xvbnx+=became
plumbers ^nns+nom+++=plumbers,
, ^zz++++=EXTRAWORD
brakemen ^j+++xvbn+=brakemen,
, ^zz++++=EXTRAWORD
cigar ^nn++++=cigar
clerks ^nns++++=clerks,
, ^zz++++=EXTRAWORD
piano ^nn++++=piano
movers ^nns++++=movers,
, ^zz++++=EXTRAWORD
insurance ^nn+nom+++=insurance
agents ^nns++++=agents,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
in ^in++++=in
one ^cd1++++=one
particularly ^rb++++=particularly
melancholy ^jj+atrb+++=melancholy
case ^nn++++=case,
, ^zz++++=EXTRAWORD
a ^at++++=a
teacher ^nn++++=teacher
of ^in++++=of
penmanship ^nn+nom+++=penmanship.
. ^zz++++=EXTRAWORD
The ^ati++++=The
park ^npl++++=park
stood ^vbd+++xvbn+=stood
beyond ^in++++=beyond
the ^ati++++=the
car ^nn++++=car
barns ^nns+++??+=barns,
, ^zz++++=EXTRAWORD
between ^in++++=between
the ^ati++++=the
glue ^nn++++=glue
factory ^nn++++=factory
and ^cc++++=and
a ^at++++=a
strip ^nn++++=strip
of ^in++++=of
river ^nn++++=river
that ^tht+rel+obj++=that
the ^ati++++=the
Chamber ^nn++++=Chamber
of ^in++++=of
Commerce ^nn++++=Commerce
called ^vbd+++xvbn+=called
scenic ^jj++++=scenic.
. ^zz++++=EXTRAWORD
On ^in++++=On
Saturday ^nr++++=Saturday
afternoons ^nns++++=afternoons
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
our ^pp$+pp1+++=our
Ascot ^np++++=Ascot,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
Grand ^jj++++=Grand
Prix ^&fw++++=Prix,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
Roman ^jj+atrb+++=Roman
circus ^nn++++=circus
and ^cc++++=and
our ^pp$+pp1+++=our
Congress ^nns+nom+++=Congress
of ^in++++=of
Nations ^nns+nom+++=Nations.
. ^zz++++=EXTRAWORD
Everybody ^pn++++=Everybody
went ^vbd+++xvbn+=went.
. ^zz++++=EXTRAWORD
Judge ^nn++++=Judge
Belden ^np+++??+=Belden
went ^vbd+++xvbn+=went
and ^cc+phrs+++=and
yelled ^vbd+++xvbn+=yelled
" ^zz++++="Robber!"
robber ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
umpire ^nn++++=umpire,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
which ^whp+rel+pied++=which
on ^in++++=on
Monday ^nr++++=Monday
he ^pp3a+pp3+++=he
fined ^vbd+++xvbnx+=fined
a ^at++++=a
Lithuanian ^np+++??+=Lithuanian
laborer ^jjr++++=laborer
three ^cd++++=three
dollars ^nns++++=dollars
for ^in++++=for
contempt ^nn++++=contempt
of ^in++++=of
court ^nn++++=court.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Van ^np++++=Van
Slyke ^np+++??+=Slyke
went ^vbd+++xvbn+=went
in ^in++++=in
lavender ^nn+nom+++=lavender
silk ^nn++++=silk
and ^cc++++=and
pretended ^vbd+vprv++xvbn+=pretended
not ^xnot++not++=not
to ^to++++=to
understand ^vbi+vprv+++=understand
the ^ati++++=the
score ^nn++++=score.
. ^zz++++=EXTRAWORD
The ^ati++++=The
mayor ^nn++++=mayor
went ^vbd+++xvbn+=went
because ^cs+cos+++=because
the ^ati++++=the
club ^nn++++=club
president ^npt++++=president
supplied ^vbd+++xvbn+=supplied
his ^pp$+pp3+++=his
cigars ^nns++++=cigars.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
Reverend ^npt++++=Reverend
Peek ^np+++??+=Peek
attended ^vbd+++xvbn+=attended
occasionally ^rb+cnj+++=occasionally,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
called ^vbd+++xvbnx+=called
it ^pp3+it+++=it
" ^zz++++="studying
studying ^jj+++xvbg+=EXTRAWORD
the ^ati++++=the
recreational ^jj+atrb+++=recreational
temptations ^nns+nom+++=temptations
of ^in++++=of
the ^ati++++=the
young ^nn++++=young."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
temptations ^nns+nom+++=temptations.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
shortstop ^nn+++??+=shortstop,
, ^zz++++=EXTRAWORD
Pug ^np+++??+=Pug
Mullen ^np+++??+=Mullen,
, ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
arms ^nns++++=arms
like ^in++++=like
an ^at++++=an
orangutan ^nn+nom+++=orangutan
and ^cc++++=and
a ^at++++=a
disposition ^nn+nom+++=disposition
that ^tht+rel+subj++=that
improved ^vprf+++xvbn+=improved
only ^rb+down+++=only
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
asleep ^jj+pred+++=asleep.
. ^zz++++=EXTRAWORD
Chick ^np+++??+=Chick
Haney ^np+++??+=Haney,
, ^zz++++=EXTRAWORD
the ^ati++++=the
second ^od++++=second
baseman ^nn++++=baseman,
, ^zz++++=EXTRAWORD
could ^md+pos+++=could
catch ^vb++++=catch
a ^at++++=a
ball ^nn++++=ball
in ^in++++=in
any ^dti++++=any
position ^nn+nom+++=position
except ^in++++=except
when ^wrb+who+++=when
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
hit ^vpsv++agls+xvbnx+=hit
directly ^rb++++=directly
at ^in++++=at
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Otto ^np++++=Otto
Plimke ^np+++??+=Plimke,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
played ^xvbn+++xvbn+=played
first ^rb+cnj+++=first,
, ^zz++++=EXTRAWORD
weighed ^j+++xvbn+=weighed
two ^cd++++=two
hundred ^cd++++=hundred
and ^cc++++=and
fifty ^cd++++=fifty
pounds ^nns++++=pounds
before ^cs+sub+++=before
breakfast ^nn++++=breakfast
and ^cc++++=and
was ^vbd+bedz+aux++=was
considered ^vpsv++agls+xvbnx+=considered
fast ^rb++++=fast
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
once ^rb+tm+++=once
stole ^vbd+++xvbn+=stole
a ^at++++=a
base ^nn++++=base
while ^cs+sub+++=while
the ^ati++++=the
opposing ^jj+++xvbg+=opposing
catcher ^jjr++++=catcher
had ^vbd+hvd+aux++=had
fainted ^vprf+++xvbnx+=fainted.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
then ^rn+tm+++=then
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
Rudie ^np+++??+=Rudie
Schlachweiler ^np+nom++??+=Schlachweiler.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
may ^md+pos+++=may
pause ^vb++++=pause
over ^in++++=over
the ^ati++++=the
name ^nn++++=name.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
The ^ati++++=The
girls ^nns++++=girls,
, ^zz++++=EXTRAWORD
after ^in++++=after
two ^cd++++=two
weeks ^nns++++=weeks,
, ^zz++++=EXTRAWORD
shortened ^jj++++=shortened
it ^pp3+it+++=it
to ^in++++=to
Rudie ^np+++??+=Rudie,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
sporting ^nn++++=sporting
editor ^nn++++=editor
printed ^vbd+++xvbn+=printed
it ^pp3+it+++=it
as ^ql++++=as
Schlockwiler ^np+nom++??+=Schlockwiler,
, ^zz++++=EXTRAWORD
Schlaweiler ^np+nom++??+=Schlaweiler,
, ^zz++++=EXTRAWORD
Schlachwiler ^np+nom++??+=Schlachwiler,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
once ^rb+cnj+++=once,
, ^zz++++=EXTRAWORD
during ^in++++=during
a ^at++++=a
labor ^nn++++=labor
dispute ^nn++++=dispute
at ^rb++++=at
the ^ati++++=the
newspaper ^nn+nom+++=newspaper
office ^nn++++=office,
, ^zz++++=EXTRAWORD
as ^ql++++=as
Rudolph ^np+++??+=Rudolph
Smith ^np++++=Smith.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
no ^at++++=no
printer ^nn++++=printer
could ^md+pos+++=could
injure ^vb++++=injure
Rudie ^np++++=Rudie's
's ^$++++=EXTRAWORD
appearance ^nn+nom+++=appearance.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
tall ^jj+pred+++=tall,
, ^zz++++=EXTRAWORD
yellow ^jj++++=yellow-haired,
- ^zz++++=EXTRAWORD
haired ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
blue ^jj++++=blue-eyed,
- ^zz++++=EXTRAWORD
eyed ^vbd+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
broad ^jj++++=broad
in ^in++++=in
the ^ati++++=the
shoulder ^nn+nom+++=shoulder
and ^cc++++=and
narrow ^jj++++=narrow
where ^wrb+who+++=where
the ^ati++++=the
modern ^jj+atrb+++=modern
young ^jj+atrb+++=young
man ^nn++++=man
is ^vbz+bez+aux++=is
supposed ^vb++pmd"+xvbnx+=supposed
to ^to+vcmp+pmd++=to
be ^vbi++vrb++=be
narrow ^jj++++=narrow.
. ^zz++++=EXTRAWORD
In ^in++++=In
uniform ^nn++++=uniform
he ^pp3a+pp3+++=he
resembled ^vbd+++xvbnx+=resembled
a ^at++++=a
blonde ^jj+atrb+++=blonde
god ^np++++=god
engaged ^vwbn+++xvbn+=engaged
temporarily ^rb++++=temporarily
by ^in++++=by
the ^ati++++=the
management ^nn+nom+++=management
to ^to+vcmp+++=to
pitch ^vb++++=pitch
Tuesdays ^nrs++++=Tuesdays
and ^cc++++=and
Fridays ^nrs++++=Fridays.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
cap ^nn++++=cap
sat ^vbd+++xvbn+=sat
on ^in++++=on
the ^ati++++=the
back ^nn++++=back
of ^in++++=of
his ^pp$+pp3+++=his
head ^nn++++=head.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
sleeves ^nns++++=sleeves
ended ^vbd+++xvbn+=ended
above ^jjb+atrb+++=above
two ^cd++++=two
capable ^jj+atrb+++=capable
forearms ^nns++++=forearms.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
a ^at++++=a
slow ^jj+atrb+++=slow,
, ^zz++++=EXTRAWORD
melancholy ^jj+atrb+++=melancholy
smile ^nn++++=smile
which ^whp+rel+subj++=which
hinted ^vbd+vpub++xvbn+=hinted
at ^rb++++=at
buried ^jj+atrb++xvbn+=buried
sorrows ^nns++++=sorrows,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
his ^pp$+pp3+++=his
deepest ^jjt+atrb+++=deepest
known ^jj+atrb++xvbn+=known
grief ^nn++++=grief
was ^vbd+bedz+vrb++=was
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
could ^md+pos+++=could
not ^xnot++not++=not
get ^vb++++=get
a ^at++++=a
ten ^cd++++=ten-dollar
- ^zz++++=EXTRAWORD
dollar ^nn++++=EXTRAWORD
advance ^nn+nom+++=advance
from ^in++++=from
the ^ati++++=the
club ^nn++++=club
treasurer ^nn+nom+++=treasurer.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
pitch ^vb++++=pitch,
, ^zz++++=EXTRAWORD
too ^rb++++=too.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
always ^rb+cnj+++=always,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
Rudie ^np+++??+=Rudie
had ^vb+hv+aux++=had
always ^rb++splt++=always
pitched ^vprf+++xvbnx+=pitched
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
he ^pp3a+pp3+++=he
looked ^vbd+++xvbnx+=looked,
, ^zz++++=EXTRAWORD
Boston ^np++++=Boston
would ^md+prd+++=would
have ^vb+hv+aux++=have
had ^vb+hv+vrb++=had
him ^pp3o+pp3+++=him
before ^in++++=before
breakfast ^nn++++=breakfast.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
on ^in++++=on
the ^ati++++=the
afternoons ^nns++++=afternoons
when ^wrb+who+++=when
his ^pp$+pp3+++=his
curve ^nn++++=curve
behaved ^vbd+++xvbn+=behaved
and ^cc++++=and
the ^ati++++=the
umpire ^nn++++=umpire
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
according ^in+cmpx+++=according
to ^in++++=to
Rudie ^np+++??+=Rudie,
, ^zz++++=EXTRAWORD
" ^zz++++="blind
blind ^jj++++=EXTRAWORD
in ^in++++=in
both ^abx++++=both
lamps ^nns++++=lamps,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
made ^vbd+++xvbnx+=made
visiting ^vbg+++xvbg+=visiting
batters ^nns+nom+++=batters
wave ^nn++++=wave
at ^in++++=at
the ^ati++++=the
atmosphere ^nn++++=atmosphere
until ^cs+sub+++=until
they ^pp3a+pp3+++=they
grew ^vbd+++xvbnx+=grew
homesick ^jj++++=homesick.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
for ^in++++=for
the ^ati++++=the
story ^nn++++=story.
. ^zz++++=EXTRAWORD
Ivy ^nn++++=Ivy
Keller ^np+++??+=Keller
came ^vbd+++xvbn+=came
home ^nr++++=home
from ^in++++=from
school ^nn++++=school
in ^in++++=in
June ^nr++++=June.
. ^zz++++=EXTRAWORD
By ^in++++=By
school ^nn++++=school
I ^pp1a+pp1+++=I
mean ^jj+atrb+++=mean
Miss ^npt++++=Miss
Dorrington ^np++++=Dorrington's
's ^$++++=EXTRAWORD
Select ^jj+atrb+++=Select
Academy ^nn++++=Academy
for ^in++++=for
Young ^jj+atrb+++=Young
Ladies ^nns++++=Ladies,
, ^zz++++=EXTRAWORD
a ^at++++=a
place ^nn++++=place
where ^wrb+who+++=where
the ^ati++++=the
daughters ^nns+nom+++=daughters
of ^in++++=of
prosperous ^jj+atrb+++=prosperous
grocers ^nns+nom+++=grocers
and ^cc++++=and
unsuccessful ^jj+atrb+++=unsuccessful
bankers ^nns+nom+++=bankers
acquired ^vbd+++xvbn+=acquired
French ^jj+atrb+++=French
accents ^nns++++=accents,
, ^zz++++=EXTRAWORD
silver ^nn++++=silver
photograph ^nn++++=photograph
frames ^nns++++=frames,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
permanent ^jj+atrb+++=permanent
inability ^nn+nom+++=inability
to ^to+ncmp+++=to
eat ^vbi++++=eat
corn ^nn++++=corn
from ^in++++=from
the ^ati++++=the
cob ^nn+++??+=cob
in ^rb++++=in
public ^rb"++++=public.
. ^zz++++=EXTRAWORD
Ivy ^nn++++=Ivy
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
away ^rp+pl+++=away
two ^cd++++=two
years ^nns++++=years.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
she ^pp3a+pp3+++=she
returned ^vbd+++xvbnx+=returned
she ^pp3a+pp3+++=she
brought ^vbd+++xvbnx+=brought
three ^cd++++=three
trunks ^nns++++=trunks,
, ^zz++++=EXTRAWORD
five ^cd++++=five
hats ^nns++++=hats,
, ^zz++++=EXTRAWORD
a ^at++++=a
framed ^jj+atrb++xvbn+=framed
picture ^nn++++=picture
of ^in++++=of
Saint ^nn++++=Saint
Cecilia ^np+++??+=Cecilia,
, ^zz++++=EXTRAWORD
a ^at++++=a
mandolin ^nn++++=mandolin
she ^pp3a+pp3+++=she
could ^md+pos+++=could
not ^xnot++not++=not
play ^vb++++=play,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
manner ^nn++++=manner
suggesting ^nn+vpub++xvbg+=suggesting
that ^tht+ncmp+++=that
our ^pp$+pp1+++=our
town ^nn++++=town
was ^vbd+bedz+vrb++=was
a ^at++++=a
railway ^nn++++=railway
accident ^nn++++=accident
from ^in++++=from
which ^whp+rel+pied++=which
she ^pp3a+pp3+++=she
hoped ^vbd+vprv++xvbnx+=hoped
soon ^rb+tm+++=soon
to ^to++++=to
recover ^vbi++++=recover.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
school ^npl++++=school
Ivy ^nn++++=Ivy
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
brown ^jj+atrb+++=brown,
, ^zz++++=EXTRAWORD
active ^jj+atrb+++=active
child ^nn++++=child
who ^whp+rel+subj++=who
climbed ^vbd+++xvbn+=climbed
fences ^nns++++=fences
and ^cc++++=and
traded ^vbd+++xvbn+=traded
buttons ^nns++++=buttons
with ^in++++=with
boys ^nns++++=boys.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
school ^nn++++=school
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
pale ^nn++++=pale
and ^cc++++=and
deliberate ^jj++++=deliberate.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
said ^vbd+vpub++xvbnx+=said
" ^zz++++="Really?"
really ^rb+emph+++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
with ^in++++=with
her ^pp$+pp3+++=her
eyebrows ^nns++++=eyebrows.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
read ^vbd+vprv++xvbnx+=read
books ^nns++++=books
whose ^whp+rel+subj++=whose
heroines ^vbz+++??+=heroines
died ^vprf+++xvbn+=died
from ^in++++=from
misunderstandings ^nns++++=misunderstandings
in ^in++++=in
Italian ^jj+atrb+++=Italian
gardens ^nns++++=gardens.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
wore ^vbd+++xvbnx+=wore
a ^at++++=a
white ^jj+atrb+++=white
shirtwaist ^nn+nom+++=shirtwaist
with ^in++++=with
a ^at++++=a
black ^jj+atrb+++=black
ribbon ^nn++++=ribbon
at ^in++++=at
the ^ati++++=the
throat ^nn++++=throat
and ^cc++++=and
stood ^vbd+++xvbn+=stood
at ^rb++++=at
windows ^nns++++=windows
as ^cs+sub+++=as
though ^cs+sub+++=though
expecting ^vbg+vprv++xvbg+=expecting
Jean ^np++++=Jean
Valjean ^np+++??+=Valjean
to ^to++++=to
come ^vbi++++=come
up ^rp++++=up
the ^ati++++=the
gravel ^nn++++=gravel
walk ^nn++++=walk.
. ^zz++++=EXTRAWORD
Her ^pp3o+pp3+++=Her
father ^npt++++=father,
, ^zz++++=EXTRAWORD
Henry ^np++++=Henry
Keller ^np+++??+=Keller,
, ^zz++++=EXTRAWORD
watched ^j+++xvbn+=watched
these ^dt+dem+++=these
improvements ^nns+nom+++=improvements
with ^in++++=with
alarm ^nn++++=alarm.
. ^zz++++=EXTRAWORD
Henry ^np++++=Henry
owned ^vbd+++xvbn+=owned
the ^ati++++=the
Keller ^np+++??+=Keller
Hardware ^nn++++=Hardware
and ^cc++++=and
Implement ^nn+nom+++=Implement
Company ^nn++++=Company,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
vice ^nn++++=vice-president
- ^zz++++=EXTRAWORD
president ^npt++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
Citizens ^nns++++=Citizens'
' ^zz++++=EXTRAWORD
Bank ^nn++++=Bank,
, ^zz++++=EXTRAWORD
treasurer ^nn+nom+++=treasurer
of ^in++++=of
the ^ati++++=the
Volunteer ^nn+nom+++=Volunteer
Firemen ^np++++=Firemen's
's ^$++++=EXTRAWORD
Picnic ^nn++++=Picnic
Fund ^nn++++=Fund,
, ^zz++++=EXTRAWORD
chairman ^nn+nom+++=chairman
of ^in++++=of
the ^ati++++=the
Street ^npl++++=Street-Oiling
- ^zz++++=EXTRAWORD
oiling ^nn++++=EXTRAWORD
Committee ^nn+nom+++=Committee,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
an ^at++++=an
alternate ^nn++++=alternate
delegate ^nn+nom+++=delegate
to ^in++++=to
nearly ^rb+down+++=nearly
everything ^pn++++=everything.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
round ^nn++++=round,
, ^zz++++=EXTRAWORD
energetic ^jj+atrb+++=energetic
man ^nn++++=man
who ^whp+rel+subj++=who
believed ^vbd+vprv+tht0+xvbn+=believed
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
human ^jj+atrb+++=human
difficulty ^nn++++=difficulty
that ^tht+rel+subj++=that
could ^md+pos+++=could
not ^xnot++not++=not
be ^vb+be+aux++=be
settled ^vpsv++by+xvbnx+=settled
by ^in++++=by
a ^at++++=a
committee ^nn+nom+++=committee
of ^in++++=of
three ^cd++++=three
and ^cc++++=and
a ^at++++=a
written ^jj+atrb++xvbn+=written
agreement ^nn+nom+++=agreement.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Keller ^np++++=Keller
believed ^vbd+vprv++xvbn+=believed
in ^in++++=in
rest ^nn++++=rest
cures ^nns++++=cures,
, ^zz++++=EXTRAWORD
imported ^jj+atrb++xvbn+=imported
face ^nn++++=face
powder ^nn++++=powder,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
letting ^nvbg+++xvbg+=letting
Henry ^np++++=Henry
settle ^vb++++=settle
things ^nns++++=things.
. ^zz++++=EXTRAWORD
On ^in++++=On
Ivy ^np++++=Ivy's
's ^$++++=EXTRAWORD
third ^od++++=third
evening ^nn++++=evening
home ^nr++++=home,
, ^zz++++=EXTRAWORD
her ^pp3o+pp3+++=her
father ^npt++++=father
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
girlie ^nn++++=girlie,
, ^zz++++=EXTRAWORD
how ^wrb+who+whq++=how
does ^vbz+doz+vrb++=does
it ^pp3+it+++=it
seem ^vb+seem+++=seem
to ^to+vcmp+++=to
be ^vbi++vrb++=be
back ^jjb+pred+++=back?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Ivy ^nn++++=Ivy
looked ^vbd+++xvbn+=looked
toward ^in++++=toward
the ^ati++++=the
sunset ^nn++++=sunset,
, ^zz++++=EXTRAWORD
