Evening ^nn++++=Evening
by ^in++++=by
degrees ^nns+nom+++=degrees
into ^in++++=into
that ^dt+dem+++=that
soft ^jj+atrb+++=soft
unrest ^nn++++=unrest
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
almost ^rb+hdg+++=almost
silence ^nn+nom+++=silence.
. ^zz++++=EXTRAWORD
A ^at++++=A
dog ^nn++++=dog
barked ^vbd+++xvbn+=barked
behind ^in+pl+++=behind
a ^at++++=a
barn ^nn++++=barn;
; ^zz++++=EXTRAWORD
a ^at++++=a
gate ^nn++++=gate
creaked ^vbd+++xvbn+=creaked;
; ^zz++++=EXTRAWORD
the ^ati++++=the
scent ^nn++++=scent
of ^in++++=of
crushed ^jj+atrb++xvbn+=crushed
wormwood ^nn++++=wormwood
and ^cc++++=and
cherry ^nn++++=cherry
blossom ^vb++++=blossom
floated ^vbd+++xvbn+=floated
from ^in++++=from
the ^ati++++=the
gardens ^nns++++=gardens.
. ^zz++++=EXTRAWORD
Above ^in+pl+++=Above
the ^ati++++=the
pine ^nn++++=pine
wood ^nn++++=wood
the ^ati++++=the
first ^od++++=first
star ^nn++++=star
trembled ^vbd+++xvbn+=trembled,
, ^zz++++=EXTRAWORD
timid ^jj++++=timid
as ^in++++=as
a ^at++++=a
maiden ^jjb++++=maiden
who ^whp+who+++=who
has ^vbz+hvz+aux++=has
heard ^vprf++tht0+xvbnx+=heard
her ^pp$+pp3+++=her
name ^nn++++=name
spoken ^vwbn+++xvbn+=spoken
by ^in++++=by
the ^ati++++=the
man ^nn++++=man
she ^pp3a+pp3+++=she
loves ^vbz++++=loves.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
far ^rb+pl+++=far
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
village ^nn+nom+++=village,
, ^zz++++=EXTRAWORD
hard ^jj++++=hard
by ^in++++=by
a ^at++++=a
deep ^jj+atrb+++=deep
pool ^nn++++=pool
begirt ^nn+++??+=begirt
with ^in++++=with
willows ^nns++++=willows,
, ^zz++++=EXTRAWORD
stood ^j+++xvbn+=stood
a ^at++++=a
low ^jj+atrb+++=low
white ^jj+atrb+++=white
cottage ^nn+nom+++=cottage.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
shutters ^nns+nom+++=shutters
were ^vbd+bed+aux++=were
closed ^vpsv++agls+xvbnx+=closed,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
through ^in++++=through
a ^at++++=a
chink ^nn+++??+=chink
shone ^vbd+++xvbn+=shone
one ^cd1++++=one
slender ^jj+atrb+++=slender
thread ^nn++++=thread
of ^in++++=of
light ^nn++++=light.
. ^zz++++=EXTRAWORD
Along ^in++++=Along
the ^ati++++=the
shadow ^nn++++=shadow
of ^in++++=of
the ^ati++++=the
fence ^nn++++=fence
comes ^vbz++++=comes
Leoko ^np+++??+=Leoko,
, ^zz++++=EXTRAWORD
the ^ati++++=the
headman ^nn++++=headman's
's ^vbz+bez+vrb++0=EXTRAWORD
eldest ^jjt+atrb+++=eldest
son ^nn++++=son.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
red ^jj+atrb+++=red
sash ^nn++++=sash
is ^vbz+bez+aux++=is
tied ^vpsv++agls+xvbnx+=tied
bravely ^rb+cnj+++=bravely,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
dark ^jj+atrb+++=dark
hair ^nn++++=hair
curls ^nns++++=curls
from ^in++++=from
beneath ^rb++++=beneath
his ^pp$+pp3+++=his
cap ^nn++++=cap,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
shine ^vb++++=shine
as ^in++++=as
brightly ^rb++++=brightly
as ^cs+sub+++=as
though ^cs+sub+++=though
two ^cd++++=two
of ^in++++=of
those ^dt+dem+++=those
little ^ap++++=little
stars ^nns++++=stars
had ^vbd+hvd+aux++=had
fallen ^vprf+++xvbn+=fallen
into ^in+ppvb+++=into
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
glances ^nns+nom+++=glances
toward ^in++++=toward
the ^ati++++=the
street ^nn++++=street,
, ^zz++++=EXTRAWORD
hears ^vbz+vprv+++=hears
no ^at++++=no
footsteps ^nns++++=footsteps,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
steals ^vbz++++=steals
to ^in++++=to
the ^ati++++=the
window ^nn++++=window.
. ^zz++++=EXTRAWORD
" ^zz++++="Hanna!
hanna ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
little ^ap++++=little
dove ^np++++=dove!
! ^zz++++=EXTRAWORD
Are ^vb+ber+vrb++=Are
you ^pp2+pp2+++=you
asleep ^jj++++=asleep?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Nothing ^pn++++=Nothing
answers ^nns+nom+++=answers
but ^cc++++=but
the ^ati++++=the
leaves ^nns++++=leaves,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
whisper ^nn++++=whisper
among ^in++++=among
themselves ^ppls+pp3+++=themselves.
. ^zz++++=EXTRAWORD
" ^zz++++="Hanna!"
hanna ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
says ^vbz+vpub+++=says
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
you ^pp2+pp2+++=you
do ^vb+do+aux++=do
not ^xnot++not++=not
come ^vb++++=come,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
think ^vb+vprv+tht0++=think
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
forgotten ^vprf+++xvbnx+=forgotten
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
shutter ^nn++++=shutter
opens ^vbz++++=opens
by ^in++++=by
the ^ati++++=the
breadth ^nn++++=breadth
of ^in++++=of
two ^cd++++=two
rosy ^jj+atrb+++=rosy
fingers ^nns+nom+++=fingers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
hazel ^np++++=hazel
eye ^nn++++=eye
appears ^vbz+seem+++=appears.
. ^zz++++=EXTRAWORD
" ^zz++++="Go
go ^vb++++=EXTRAWORD
away ^rp+pl+++=away,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
whispers ^nns+nom+++=whispers
Hanna ^np+++??+=Hanna.
. ^zz++++=EXTRAWORD
" ^zz++++="Somebody
somebody ^pn++++=EXTRAWORD
will ^md+prd+++=will
hear ^vb+vprv+++=hear."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Let
let ^vb+++xvbn+=EXTRAWORD
them ^pp3o+pp3+++=them
hear ^vb+vprv+++=hear!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
tell ^vb++++=tell
them ^pp3o+pp3+++=them
I ^pp1a+pp1+++=I
came ^vbd+++xvbnx+=came
to ^to++++=to
ask ^vbi++++=ask
whether ^cs+who+++=whether
your ^pp$+pp2+++=your
mother ^nn++++=mother's
's ^$++++=EXTRAWORD
hens ^nns++++=hens
have ^vb+hv+aux++=have
begun ^vprf+++xvbnx+=begun
laying ^vbg+++xvbg+=laying
silver ^nn++++=silver
eggs ^nns++++=eggs."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
foolish ^jj+atrb+++=foolish
boy ^nn++++=boy!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
shutter ^nn++++=shutter
widens ^vbz++++=widens,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Hanna ^np++++=Hanna's
's ^$++++=EXTRAWORD
face ^nn++++=face,
, ^zz++++=EXTRAWORD
fresh ^jj++++=fresh
and ^cc++++=and
pale ^nn++++=pale
beneath ^in+pl+++=beneath
her ^pp$+pp3+++=her
dark ^jj+atrb+++=dark
brows ^nns++++=brows,
, ^zz++++=EXTRAWORD
leans ^vbz++++=leans
into ^in++++=into
the ^ati++++=the
moonless ^jj+atrb+++=moonless
dusk ^nn++++=dusk.
. ^zz++++=EXTRAWORD
A ^at++++=A
red ^jj+atrb+++=red
ribbon ^nn++++=ribbon
is ^vbz+bez+aux++=is
twined ^vprf+++xvbn+=twined
through ^rp++++=through
her ^pp3o+pp3+++=her
braid ^nn++++=braid.
. ^zz++++=EXTRAWORD
Leoko ^np+++??+=Leoko
reaches ^nns++++=reaches
for ^in++++=for
her ^pp$+pp3+++=her
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
draws ^vbz++++=draws
it ^pp3+it+++=it
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
no ^at++++=no.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
with ^in++++=with
the ^ati++++=the
lads ^nns++++=lads
all ^rb++++=all
evening ^nn++++=evening.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
heard ^vbd+vprv+tht0+xvbnx+=heard
you ^pp2+pp2+++=you
singing ^nvbg+++xvbg+=singing."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
I ^pp1a+pp1+++=I
not ^xnot++not++=not
singing ^nvbg+++xvbg+=singing
to ^in++++=to
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
sang ^vbd+++xvbn+=sang
about ^rp++++=about
Oksana ^np+++??+=Oksana."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
of ^in++++=of
that ^dt+pdem+++=that?
? ^zz++++=EXTRAWORD
The ^ati++++=The
song ^nn++++=song
was ^vbd+bedz+aux++=was
made ^vpsv++agls+xvbnx+=made
long ^rb++++=long
ago ^rb++++=ago.
. ^zz++++=EXTRAWORD
Oksana ^np+++??+=Oksana
must ^md+nec+++=must
now ^rn+tm+++=now
be ^vb+be+vrb++=be
an ^at++++=an
old ^jj+atrb+++=old
grandmother ^nn+nom+++=grandmother
with ^in++++=with
scarcely ^rb+down+++=scarcely
a ^at++++=a
tooth ^nn++++=tooth
in ^in++++=in
her ^pp$+pp3+++=her
head ^jjb++++=head."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
perhaps ^rb++++=perhaps
you ^pp2+pp2+++=you
love ^vb++++=love
old ^jj+atrb+++=old
grandmothers ^nns+nom+++=grandmothers."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
love ^nn++++=love
one ^cd1++++=one
cruel ^jj++++=cruel
maiden ^jjb++++=maiden
who ^whp+who+++=who
denies ^vbz+vpub+++=denies
me ^pp1o+pp1+++=me
even ^rb++++=even
her ^pp3o+pp3+++=her
tiny ^jj+atrb+++=tiny
hand ^nn++++=hand."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Hanna ^np+++??+=Hanna
tried ^vbd+++xvbn+=tried
to ^to+vcmp+++=to
frown ^vbi++++=frown,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
laugh ^nn++++=laugh
would ^md+prd+++=would
come ^vb++++=come,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Leoko ^np+++??+=Leoko
caught ^vbd+++xvbn+=caught
her ^pp$+pp3+++=her
fingers ^nns+nom+++=fingers
and ^cc++++=and
kissed ^vbd+++xvbn+=kissed
them ^pp3o+pp3+++=them
through ^in++++=through
the ^ati++++=the
opening ^nvbg+++xvbg+=opening.
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^rb++++=a
little ^rb"++++=little
while ^cs+sub+++=while
neither ^dt++neg++=neither
spoke ^vbd+++xvbn+=spoke.
. ^zz++++=EXTRAWORD
The ^ati++++=The
village ^nn+nom+++=village
breathed ^vbd+++xvbn+=breathed
around ^rp++++=around
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
warm ^jj++++=warm
and ^cc++++=and
still ^rb+cnj+++=still,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
heavens ^nns++++=heavens
deepened ^vbd+++xvbn+=deepened
and ^cc++++=and
the ^ati++++=the
stars ^nn++++=stars
multiplied ^vwbn+++xvbn+=multiplied,
, ^zz++++=EXTRAWORD
gathering ^vbg+++xvbg+=gathering
like ^in++++=like
bright ^jj++++=bright
little ^ap++++=little
homes ^nrs++++=homes
in ^in++++=in
an ^at++++=an
immeasurable ^jj+atrb+++=immeasurable
country ^nn++++=country.
. ^zz++++=EXTRAWORD
" ^zz++++="Leoko,"
leoko ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Hanna ^np+++??+=Hanna
at ^rb++++=at
last ^rb"++++=last,
, ^zz++++=EXTRAWORD
" ^zz++++="is
is ^vbz+bez+vrb++=EXTRAWORD
it ^pp3+it+++=it
true ^jj++++=true
that ^tht+jcmp+++=that
the ^ati++++=the
souls ^nns++++=souls
of ^in++++=of
good ^jj+atrb+++=good
people ^nns++++=people
live ^vb++++=live
up ^rp++++=up
there ^rn+pl+++=there?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="So
so ^ql++++=EXTRAWORD
they ^pp3a+pp3+++=they
say ^vb+vpub+++=say."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
why ^wrb+who+++=why
are ^vb+ber+vrb++=are
some ^dti++++=some
stars ^nns++++=stars
large ^jj++++=large
and ^cc++++=and
some ^dti++++=some
very ^ap+amp+++=very,
, ^zz++++=EXTRAWORD
very ^ql+amp+++=very
little ^ap++++=little?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
large ^jj+atrb+++=large
ones ^cd1s++++=ones
belong ^vb++++=belong
to ^in++++=to
rich ^jj++++=rich
folk ^jjb++++=folk,
, ^zz++++=EXTRAWORD
no ^at++++=no
doubt ^nn++++=doubt,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
little ^jj+atrb+++=little
ones ^cd1s++++=ones
to ^in++++=to
poor ^jj+atrb+++=poor
lovers ^nns++++=lovers
who ^whp+rel+subj++=who
have ^vb+hv+vrb++=have
only ^rb+down+++=only
one ^cd1++++=one
another ^dt++++=another."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+vrb++=EXTRAWORD
not ^xnot++not++=not
jest ^rb++++=jest
about ^in++++=about
such ^abl++++=such
things ^nns++++=things."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
not ^xnot++not++=not
jesting ^jj+++xvbg+=jesting.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
I ^pp1a+pp1+++=I
die ^vb++++=die,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
ask ^vb++++=ask
the ^ati++++=the
Lord ^npt++++=Lord
for ^in++++=for
a ^at++++=a
place ^nn++++=place
beside ^in+pl+++=beside
your ^pp$+pp2+++=your
star ^nn++++=star.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
He ^pp3a+pp3+++=He
sets ^nns++++=sets
me ^pp1o+pp1+++=me
far ^rb+pl+++=far
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
cross ^vb++++=cross
the ^ati++++=the
whole ^jj+atrb+++=whole
sky ^nn++++=sky
to ^in++++=to
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc+cls+++=EXTRAWORD
if ^cs+cnd+++=if
an ^at++++=an
angel ^nn++++=angel
stops ^vbz++++=stops
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
shall ^md+prd+++=shall
give ^vb++++=give
him ^pp3o+pp3+++=him
my ^pp$+pp1+++=my
best ^jjt+atrb+++=best
pipe ^nn++++=pipe."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc+cls+++=EXTRAWORD
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
will ^md+prd+++=will
not ^xnot++not++=not
take ^vb++++=take
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
fight ^vb++++=fight
him ^pp3o+pp3+++=him."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Hush!"
hush ^vb++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
Hanna ^np+++??+=Hanna,
, ^zz++++=EXTRAWORD
crossing ^vbg+++xvbg+=crossing
herself ^ppl+pp3+++=herself.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
wickedness ^nns+nom+++=wickedness!
! ^zz++++=EXTRAWORD
One ^cd1++++=One
does ^vbz+doz+aux++=does
not ^xnot++not++=not
fight ^vb++++=fight
angels ^nns++++=angels."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="For
for ^in++++=EXTRAWORD
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
little ^jj+atrb+++=little
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
fight ^vb++++=fight
the ^ati++++=the
headman ^nn++++=headman
himself ^ppl+pp3+++=himself."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
would ^md+prd+++=would
not ^xnot++not++=not
be ^vb+be+vrb++=be
so ^ql+emph+++=so
difficult ^jj++++=difficult,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
her ^pp$+pp3+++=her
smile ^nn++++=smile
vanished ^vbd+++xvbn+=vanished.
. ^zz++++=EXTRAWORD
" ^zz++++="Your
your ^pp$+pp2+++=EXTRAWORD
father ^nn++++=father
already ^rb++++=already
hates ^vbz++++=hates
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
does ^vbz+doz+aux++=does
not ^xnot++not++=not
hate ^vb++++=hate
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
calls ^nns++++=calls
us ^pp1o+pp1+++=us
beggars ^nns++++=beggars."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
calls ^vbz++++=calls
everyone ^pn++++=everyone
beggars ^nns++++=beggars
who ^whp+rel+subj++=who
does ^vbz+doz+vrb++=does
not ^xnot++not++=not
own ^ap++++=own
three ^cd++++=three
barns ^nns+++??+=barns
and ^cc++++=and
a ^at++++=a
pair ^nn++++=pair
of ^in++++=of
grey ^jj+atrb+++=grey
horses ^nns++++=horses.
. ^zz++++=EXTRAWORD
The ^ati++++=The
old ^jj+atrb+++=old
curmudgeon ^nn++++=curmudgeon
thinks ^vbz+vprv+tht0++=thinks
silver ^jj+atrb+++=silver
coins ^nns++++=coins
sprout ^vb++++=sprout
beneath ^in+pl+++=beneath
his ^pp$+pp3+++=his
cabbages ^nns+nom+++=cabbages."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
will ^md+prd+++=will
never ^rb++++=never
consent ^nn++++=consent."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
must ^md+nec+++=must."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc+cls+++=EXTRAWORD
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
does ^vbz+doz+vrb++=does
not ^xnot++not++=not?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Leoko ^np+++??+=Leoko
drew ^vbd+++xvbn+=drew
himself ^ppl+pp3+++=himself
upright ^jj++++=upright.
. ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
we ^pp1a+pp1+++=we
shall ^md+prd+++=shall
marry ^vb++++=marry
without ^in++++=without
his ^pp$+pp3+++=his
blessing ^nn++++=blessing."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
leaves ^nn++++=leaves
ceased ^vbd+++xvbn+=ceased
whispering ^jj+++xvbg+=whispering,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
they ^pp3a+pp3+++=they
too ^ql++++=too
waited ^vb+++xvbn+=waited
to ^to+vcmp+++=to
hear ^vbi+vprv+++=hear
what ^wdt+who+whcl++=what
Hanna ^np+++??+=Hanna
would ^md+prd+++=would
say ^vb+vpub+++=say.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
him ^pp3o+pp3+++=him
with ^in++++=with
troubled ^jj+atrb++xvbn+=troubled
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
not ^xnot++not++=not
speak ^vb++++=speak
so ^rb++++=so
boldly ^rb++++=boldly.
. ^zz++++=EXTRAWORD
A ^at++++=A
father ^nn++++=father's
's ^$++++=EXTRAWORD
curse ^nn++++=curse
is ^vbz+bez+vrb++=is
heavy ^jj+pred+++=heavy.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
can ^md+pos+++=can
follow ^vb+vprv+++=follow
a ^at++++=a
man ^nn++++=man
beyond ^in++++=beyond
seven ^cd++++=seven
rivers ^nns++++=rivers."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
father ^nn++++=father
is ^vbz+bez+vrb++=is
headman ^nn++++=headman,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
the ^ati++++=the
prophet ^nn++++=prophet
Elijah ^np++++=Elijah.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
can ^md+pos+++=can
shout ^vb++++=shout,
, ^zz++++=EXTRAWORD
stamp ^nn++++=stamp,
, ^zz++++=EXTRAWORD
threaten ^vb++++=threaten
the ^ati++++=the
village ^nn+nom+++=village
