# ^zz++++=#
Three ^cd++++=THREE
, ^zz++++=EXTRAWORD
with ^in++++=with
marks ^nns++++=marks
of ^in++++=of
violence ^nn+nom+++=violence
about ^in++++=about
the ^ati++++=the
throat ^nn++++=throat
and ^cc++++=and
the ^ati++++=the
room ^nn++++=room
turned ^vbd+++xvbn+=turned
over ^in++++=over
as ^cs+sub+++=as
if ^cs+cnd+++=if
money ^nn++++=money
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
looked ^vpsv++agls+xvbnx+=looked
for ^in+strn+++=for.
. ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
no ^at++++=no
money ^nn++++=money
found ^vbd+vprv++xvbn+=found,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
believed ^vpsv++tht0+xvbnx+=believed
she ^pp3a+pp3+++0=she'd
'd ^vbd+hvd+aux++=EXTRAWORD
saved ^vprf+++xvbnx+=saved
some ^dti++++=some.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
no ^at++++=no
weapon ^nn++++=weapon
found ^vbd+vprv++xvbn+=found.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
no ^at++++=no
person ^nn++++=person
seen ^vbd+vprv++xvbn+=seen
to ^to+vcmp+++=to
enter ^vbi++++=enter,
, ^zz++++=EXTRAWORD
except ^cs+sub+++=except
that ^cs"++++=that
people ^vbz++++=people
will ^md+prd+++=will
always ^rb++splt++=always
remember ^nn+nom+++=remember
a ^at++++=a
stranger ^nn++++=stranger
after ^in++++=after
a ^at++++=a
murder ^nn++++=murder,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
never ^rb++++=never
before ^in++++=before
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
went ^vbd+++xvbnx+=went
over ^in++++=over
the ^ati++++=the
room ^nn++++=room
careful ^jj++++=careful.
. ^zz++++=EXTRAWORD
Window ^nn++++=Window
fastened ^vbd+++xvbn+=fastened.
. ^zz++++=EXTRAWORD
Back ^jjb+atrb+++=Back
door ^nn++++=door
fastened ^vbd+++xvbn+=fastened.
. ^zz++++=EXTRAWORD
Front ^nn++++=Front-door
- ^zz++++=EXTRAWORD
door ^nn++++=EXTRAWORD
lock ^nn++++=lock
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
worked ^vpsv++by+xvbnx+=worked
by ^in++++=by
a ^at++++=a
key ^jjb++++=key,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
else ^rb+cnj+++=else
the ^ati++++=the
woman ^nn++++=woman
herself ^ppl+pp3+++=herself
had ^vbd+hvd+aux++=had
let ^vprf+++xvbnx+=let
the ^ati++++=the
party ^nn++++=party
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
Cup ^nn++++=Cup
and ^cc++++=and
saucer ^nn++++=saucer
on ^in++++=on
the ^ati++++=the
table ^nn++++=table,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
second ^od++++=second
chair ^nn++++=chair
pulled ^vbd+++xvbn+=pulled
a ^rb++++=a
little ^rb"++++=little
away ^in+pl+++=away
from ^in"++++=from
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
That ^cs+sub+++=That
looked ^vprf+++xvbn+=looked
friendly ^jj++++=friendly.
. ^zz++++=EXTRAWORD
No ^at++++=No
common ^jj+atrb+++=common
street ^nn++++=street
robber ^nn++++=robber
would ^md+prd+++=would
sit ^vb++++=sit
down ^rb+phrv+++=down
to ^in++++=to
tea ^nn++++=tea
before ^cs+sub+++=before
he ^pp3a+pp3+++=he
began ^vbd+++xvbnx+=began.
. ^zz++++=EXTRAWORD
" ^zz++++="Under
under ^in++++=EXTRAWORD
the ^ati++++=the
dead ^jj+atrb+++=dead
woman ^nn++++=woman's
's ^$++++=EXTRAWORD
pillow ^nn++++=pillow
we ^pp1a+pp1+++=we
found ^vbd+vprv++xvbn+=found
a ^at++++=a
pair ^nn++++=pair
of ^in++++=of
gentleman ^nn+nom+++=gentleman's
's ^$++++=EXTRAWORD
gloves ^nns++++=gloves.
. ^zz++++=EXTRAWORD
" ^zz++++="Now,
now ^rn+tm+++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
the ^ati++++=the
little ^jj+atrb+++=little
thing ^nn++++=thing
that ^tht+rel+subj++=that
promised ^vprf+++xvbn+=promised
the ^ati++++=the
large ^jj+atrb+++=large
story ^nn++++=story.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
light ^nn++++=light-coloured
- ^zz++++=EXTRAWORD
coloured ^jj+atrb++xvbn+=EXTRAWORD
kid ^nn++++=kid
gloves ^nns++++=gloves,
, ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
been ^vprf+ben+vrb+xvbnx+=been
good ^jj++++=good,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
was ^vbd+bedz+vrb++=was
soiled ^jj+pred+++=soiled,
, ^zz++++=EXTRAWORD
creased ^vwbn+++xvbn+=creased,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
worn ^jj+++xvbn+=worn
thin ^jj++++=thin
between ^in++++=between
the ^ati++++=the
fingers ^nns+nom+++=fingers.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+aux++=was
a ^at++++=a
split ^vpsv++by+xvbn+=split
by ^in++++=by
the ^ati++++=the
thumb ^nn++++=thumb
of ^in++++=of
the ^ati++++=the
right ^jj+atrb+++=right
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
inside ^jjb++++=inside
the ^ati++++=the
left ^nn+++xvbn+=left
was ^vbd+bedz+aux++=was
written ^vpsv++agls+xvbnx+=written,
, ^zz++++=EXTRAWORD
very ^ql+amp+++=very
small ^jj++++=small,
, ^zz++++=EXTRAWORD
a ^at++++=a
name ^nn++++=name
' ^zz++++='Trinkle.'
trinkle ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
printed ^vpsv++by+xvbn+=printed
by ^in++++=by
the ^ati++++=the
maker ^nn++++=maker,
, ^zz++++=EXTRAWORD
mind ^nn++++=mind
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
wrote ^vpsv++agls+xvbn+=wrote
in ^in++++=in
ink ^nn++++=ink.
. ^zz++++=EXTRAWORD
" ^zz++++="'Who's
' ^zz++++=EXTRAWORD
who ^whp+who+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
Trinkle ^np+++??+=Trinkle?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
local ^jj+atrb+++=local
officer ^nn++++=officer.
. ^zz++++=EXTRAWORD
" ^zz++++="'That's
' ^zz++++=EXTRAWORD
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
what ^wdt+who+++=what
we ^pp1a+pp1+++=we've
've ^md"++pmd"++0=EXTRAWORD
got ^vb++pmd"+xvbnx+=got
to ^to+vcmp+pmd++=to
learn ^vb+vprv+++=learn,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
take ^vb++++=take
long ^vb++++=long
to ^to+vcmp+++=to
learn ^vbi+vprv+tht0++=learn
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
young ^jj+atrb+++=young
man ^nn++++=man
of ^in++++=of
that ^dt+dem+++=that
name ^nn++++=name,
, ^zz++++=EXTRAWORD
an ^at++++=an
upholsterer ^jjr++++=upholsterer,
, ^zz++++=EXTRAWORD
living ^jj+++xvbg+=living
over ^in++++=over
Lambeth ^np+++??+=Lambeth
way ^nn++++=way.
. ^zz++++=EXTRAWORD
Quiet ^nn++++=Quiet,
, ^zz++++=EXTRAWORD
modest ^jj++++=modest
young ^jj++++=young
fellow ^jjb++++=fellow,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
widowed ^jj+++xvbn+=widowed
mother ^npt++++=mother.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
seen ^vpsv++agls+xvbnx+=seen
speaking ^vbg+++xvbg+=speaking
to ^in++++=to
Eliza ^np++++=Eliza
Grimwood ^np+++??+=Grimwood
three ^cd++++=three
nights ^nns++++=nights
before ^cs+sub+++=before
she ^pp3a+pp3+++=she
died ^vbd+++xvbnx+=died;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
done ^vprf+++xvbnx+=done
a ^rb++++=a
little ^rb"++++=little
work ^nn++++=work
at ^rb++++=at
her ^pp3o+pp3+++=her
house ^npl++++=house;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
left ^vprf+++xvbnx+=left
his ^pp$+pp3+++=his
employment ^nn+nom+++=employment
rather ^rb++++=rather
sudden ^jj++++=sudden
on ^in++++=on
the ^ati++++=the
morning ^nn++++=morning
after ^in++++=after
the ^ati++++=the
murder ^nn++++=murder.
. ^zz++++=EXTRAWORD
" ^zz++++="Beautiful!"
beautiful ^jj++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Wield ^np+++??+=Wield,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
dry ^jj+atrb+++=dry
extension ^nn++++=extension
of ^in++++=of
the ^ati++++=the
word ^nn++++=word.
. ^zz++++=EXTRAWORD
" ^zz++++="Beau-ti-ful
beau ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
ti ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
ful ^jj+atrb+++=EXTRAWORD
evidence ^nn+nom+++=evidence,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
look ^vb++++=look
at ^rb++++=at
it ^pp3+it+++=it
too ^ql++++=too
close ^vb++++=close.
. ^zz++++=EXTRAWORD
Name ^nn++++=Name
in ^in++++=in
the ^ati++++=the
gloves ^nns++++=gloves.
. ^zz++++=EXTRAWORD
Gloves ^nns++++=Gloves
in ^in++++=in
the ^ati++++=the
bed ^nn++++=bed.
. ^zz++++=EXTRAWORD
Young ^jj+atrb+++=Young
man ^nn++++=man
known ^vbd+++xvbn+=known
to ^to+vcmp+++=to
the ^ati++++=the
woman ^nn++++=woman.
. ^zz++++=EXTRAWORD
Young ^jj+atrb+++=Young
man ^nn++++=man
leaving ^vwbg+++xvbg+=leaving
his ^pp$+pp3+++=his
shop ^nn++++=shop
directly ^rb++++=directly
afterwards ^rb+tm+++=afterwards.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There's
's ^vbz+bez+vrb++0=EXTRAWORD
your ^pp$+pp2+++=your
case ^nn++++=case
tied ^vbd+++xvbn+=tied
up ^rb+phrv+++=up
with ^in+ppvb+++=with
pink ^jj+atrb+++=pink
tape ^nn++++=tape
and ^cc++++=and
ready ^jj++++=ready
for ^in++++=for
court ^nn++++=court.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
how ^wrb+who+whcl++=how
the ^ati++++=the
gloves ^nns++++=gloves
got ^vbd+++xvbn+=got
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
went ^vbd+++xvbnx+=went
to ^in++++=to
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Trinkle ^np++++=Trinkle's
's ^$++++=EXTRAWORD
employer ^nn+nom+++=employer.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
cabinet ^nn++++=cabinet-maker
- ^zz++++=EXTRAWORD
maker ^nn++++=EXTRAWORD
and ^cc++++=and
upholsterer ^jjr++++=upholsterer
in ^in++++=in
a ^at++++=a
narrow ^jj+atrb+++=narrow
shop ^nn++++=shop,
, ^zz++++=EXTRAWORD
all ^abn++++=all
horsehair ^nn+++??+=horsehair,
, ^zz++++=EXTRAWORD
varnish ^nn++++=varnish,
, ^zz++++=EXTRAWORD
shavings ^nns++++=shavings,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sofas ^nns+++??+=sofas
standing ^vwbg+++xvbg+=standing
on ^in++++=on
end ^nn++++=end
like ^in++++=like
coffins ^nns+++??+=coffins
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
changed ^vprf+++xvbnx+=changed
their ^pp$+pp3+++=their
minds ^nns++++=minds.
. ^zz++++=EXTRAWORD
" ^zz++++="'Trinkle
' ^zz++++=EXTRAWORD
trinkle ^jj+++??+=EXTRAWORD
gone ^xvbn+++xvbn+=gone?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
" ^zz++++="'Gone
' ^zz++++=EXTRAWORD
gone ^vprf+++xvbn+=EXTRAWORD
to ^in++++=to
Birmingham ^np++++=Birmingham,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
master ^nn++++=master.
. ^zz++++=EXTRAWORD
" ^zz++++="'Why?'
' ^zz++++=EXTRAWORD
why ^wrb+who+++=EXTRAWORD
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Better
' ^zz++++=EXTRAWORD
better ^jjr+atrb+++=EXTRAWORD
wages ^nns++++=wages.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'When
' ^zz++++=EXTRAWORD
when ^wrb+who+++=EXTRAWORD
arranged ^vbd+vsua++xvbn+=arranged?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'A
' ^zz++++=EXTRAWORD
a ^at++++=EXTRAWORD
fortnight ^nn++++=fortnight
ago ^rb++++=ago.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="That
that ^cs+sub+++=EXTRAWORD
knocked ^vprf+++xvbn+=knocked
the ^ati++++=the
sudden ^jj+atrb+++=sudden
flight ^nn++++=flight
on ^in++++=on
the ^ati++++=the
head ^nn++++=head.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
had ^vb+hv+aux++=had
only ^rb+down+splt++=only
happened ^vprf+++xvbnx+=happened
sudden ^jj++++=sudden
to ^in++++=to
them ^pp3o+pp3+++=them
as ^ql++++=as
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="'Did
' ^zz++++=EXTRAWORD
did ^vbd+dod+vrb++=EXTRAWORD
he ^pp3a+pp3+++=he
own ^ap++++=own
light ^jj+atrb+++=light
kid ^nn++++=kid
gloves ^nns++++=gloves?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
master ^nn++++=master
laughed ^vbd+++xvbn+=laughed.
. ^zz++++=EXTRAWORD
' ^zz++++='Young
young ^jj+atrb+++=EXTRAWORD
men ^nns++++=men
own ^ap++++=own
more ^ql++++=more
gloves ^nns++++=gloves
than ^cs+sub+++=than
they ^pp3a+pp3+++=they
can ^md+pos+++=can
pay ^vb++++=pay
for ^in+strn+++=for,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he.
. ^zz++++=EXTRAWORD
" ^zz++++="His
his ^pp$+pp3+++=EXTRAWORD
shopmates ^nns+nom+++=shopmates
remembered ^vbd+vprv++xvbn+=remembered
the ^ati++++=the
gloves ^nns++++=gloves.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
thought ^nn+++xvbn+=thought
Trinkle ^np+++??+=Trinkle
had ^vbd+hvd+aux++=had
worn ^vprf+++xvbnx+=worn
them ^pp3o+pp3+++0='em
at ^in++++=at
a ^at++++=a
tea ^nn++++=tea-garden;
- ^zz++++=EXTRAWORD
garden ^nn++++=EXTRAWORD
; ^zz++++=EXTRAWORD
another ^dt++++=another
said ^vbd+vpub+tht0+xvbn+=said
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
at ^in++++=at
his ^pp$+pp3+++=his
cousin ^nn++++=cousin's
's ^$++++=EXTRAWORD
wedding ^nn++++=wedding;
; ^zz++++=EXTRAWORD
a ^at++++=a
third ^od++++=third
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++0=he'd
'd ^vbd+hvd+aux++=EXTRAWORD
given ^vprf+++xvbnx+=given
them ^pp3o+pp3+++0='em
away ^rp+pl+++=away;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
fourth ^od++++=fourth
was ^vbd+bedz+vrb++=was
sure ^jj+pred+++=sure
he ^pp3a+pp3+++0=he'd
'd ^vbd+hvd+aux++=EXTRAWORD
lost ^vprf+++xvbnx+=lost
them ^pp3o+pp3+++0='em
out ^rp+pl+++=out
of ^in++++=of
his ^pp$+pp3+++=his
pocket ^nn++++=pocket
on ^in++++=on
Westminster ^np+nom+++=Westminster
Bridge ^nn++++=Bridge.
. ^zz++++=EXTRAWORD
Four ^cd++++=Four
witnesses ^nns+nom+++=witnesses,
, ^zz++++=EXTRAWORD
four ^cd++++=four
certainties ^nns++++=certainties,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
not ^xnot++not++=not
a ^at++++=a
penn ^np++++=penn'orth
'orth ^nn+++??+=EXTRAWORD
of ^in++++=of
truth ^nn++++=truth
among ^in++++=among
the ^ati++++=the
lot ^nn++++=lot
of ^in++++=of
' ^zz++++='em.
em ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
got ^vbd+++xvbnx+=got
the ^ati++++=the
address ^nns+nom+++=address
in ^in++++=in
Birmingham ^np++++=Birmingham,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
before ^cs+sub+++=before
taking ^xvbg+++xvbg+=taking
him ^pp3o+pp3+++=him
I ^pp1a+pp1+++=I
wanted ^vbd+++xvbnx+=wanted
the ^ati++++=the
gloves ^nns++++=gloves
followed ^vbd+vprv++xvbn+=followed
backwards ^rb++++=backwards.
. ^zz++++=EXTRAWORD
A ^at++++=A
pair ^nn++++=pair
of ^in++++=of
gloves ^nns++++=gloves
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
walk ^vb++++=walk
under ^in++++=under
a ^at++++=a
pillow ^nn++++=pillow,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They're
're ^vb+ber+aux++0=EXTRAWORD
carried ^vpsv++agls+xvbnx+=carried,
, ^zz++++=EXTRAWORD
dropped ^j+++xvbn+=dropped,
, ^zz++++=EXTRAWORD
sold ^xvbn+++xvbn+=sold,
, ^zz++++=EXTRAWORD
lent ^j+++xvbn+=lent,
, ^zz++++=EXTRAWORD
stole ^j+++xvbn+=stole,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
