Our ^pp$+pp1+++=Our
, ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
only ^rb+down+++=only
to ^to++++=to
obtain ^vbi++++=obtain
a ^at++++=a
ship ^nn++++=ship,
, ^zz++++=EXTRAWORD
a ^at++++=a
mixed ^jj+atrb++xvbn+=mixed
crew ^nn++++=crew,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
fleece ^nn++++=fleece
of ^in++++=of
gold ^nn++++=gold.
. ^zz++++=EXTRAWORD
For ^in++++=For
several ^ap++++=several
days ^nns++++=days
afterward ^rb++++=afterward
Harold ^np++++=Harold
was ^vbd+bedz+vrb++=was
Jason ^np+++??+=Jason.
. ^zz++++=EXTRAWORD
Harold ^np++++=Harold's
's ^$++++=EXTRAWORD
imagination ^nn+nom+++=imagination
was ^vbd+bedz+vrb++=was
magnificent ^jj+pred+++=magnificent
in ^in++++=in
conception ^nn+nom+++=conception
but ^cc++++=but
parsimonious ^jj++++=parsimonious
in ^in++++=in
equipment ^nn+nom+++=equipment.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
selected ^vprf+++xvbnx+=selected
an ^at++++=an
ancient ^jj+atrb+++=ancient
pig ^nn++++=pig-trough
- ^zz++++=EXTRAWORD
trough ^nn++++=EXTRAWORD
behind ^in+pl+++=behind
the ^ati++++=the
unused ^jj+atrb+++=unused
stable ^nn++++=stable
as ^ql++++=as
the ^ati++++=the
Argo ^np+++??+=Argo,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
by ^in++++=by
means ^in"++++=means
of ^in"++++=of
a ^at++++=a
broken ^jj+++xvbn+=broken
rake ^np++++=rake,
, ^zz++++=EXTRAWORD
two ^cd++++=two
lengths ^nns++++=lengths
of ^in++++=of
clothes ^nns++++=clothes-line,
- ^zz++++=EXTRAWORD
line ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
red ^jj+atrb+++=red
pocket ^nn++++=pocket-handkerchief,
- ^zz++++=EXTRAWORD
handkerchief ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
fitted ^vprf+++xvbnx+=fitted
it ^pp3+it+++=it
for ^in++++=for
navigation ^nn+nom+++=navigation.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
we ^pp1a+pp1+++=we
found ^vbd+vprv++xvbn+=found
him ^pp3o+pp3+++=him
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
seated ^vpsv++agls+xvbnx+=seated
in ^in++++=in
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
wearing ^vbg+++xvbg+=wearing
the ^ati++++=the
gardener ^nn+nom+++=gardener's
's ^$++++=EXTRAWORD
discarded ^vpsv++agls+xvbnx+=discarded
straw ^nn++++=straw
hat ^nn++++=hat
with ^in++++=with
the ^ati++++=the
brim ^nn++++=brim
turned ^vbd+++xvbn+=turned
up ^rb+phrv+++=up
in ^in++++=in
a ^at++++=a
manner ^nn++++=manner
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
maintained ^vbd+vpub++xvbnx+=maintained
was ^vbd+bedz+vrb++=was
Corinthian ^np+++??+=Corinthian.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
can ^md+pos+++=can
be ^vb+be+vrb++=be
the ^ati++++=the
crew ^nn++++=crew,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
shall ^md+prd+++=shall
steer ^vb++++=steer."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="There's
there ^ex+pex+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
no ^at++++=no
water ^nn++++=water,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Edward ^np++++=Edward
observed ^vbd+++xvbn+=observed.
. ^zz++++=EXTRAWORD
Harold ^np++++=Harold
replied ^vbd+vpub++xvbn+=replied
that ^tht+vcmp+++=that
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
a ^at++++=a
detail ^nn++++=detail;
; ^zz++++=EXTRAWORD
the ^ati++++=the
great ^jj+atrb+++=great
thing ^nn++++=thing
was ^vbd+bedz+aux++=was
to ^to++++=to
imagine ^vbi+vprv+++=imagine
properly ^rb++++=properly.
. ^zz++++=EXTRAWORD
Edward ^np++++=Edward
had ^vb+hv+vrb++=had
no ^at++++=no
objection ^nn+nom+++=objection
to ^in++++=to
imagination ^nn+nom+++=imagination
in ^in++++=in
its ^pp$+it+++=its
place ^nn++++=place,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
held ^vbn+vprv++xvbn+=held
that ^tht+vcmp+++=that
a ^at++++=a
voyage ^nn++++=voyage
without ^in++++=without
water ^nn++++=water
was ^vbd+bedz+vrb++=was
rot ^nn++++=rot.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
also ^rb++++=also
pointed ^vbd+++xvbn+=pointed
out ^rp+pl+++=out
that ^cs+sub+++=that
the ^ati++++=the
trough ^nn++++=trough
had ^vb+hv+vrb++=had
a ^at++++=a
crack ^nn++++=crack
along ^in++++=along
the ^ati++++=the
bottom ^nn++++=bottom,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
contained ^vprf+++xvbnx+=contained
pigs ^nns++++=pigs
within ^in++++=within
recent ^jj+atrb+++=recent
memory ^nn++++=memory,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
morally ^rb++++=morally
considered ^vbd+vprv++xvbn+=considered,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
unworthy ^jj+pred+++=unworthy
of ^in++++=of
heroes ^nns++++=heroes.
. ^zz++++=EXTRAWORD
Edward ^np++++=Edward's
's ^$++++=EXTRAWORD
criticism ^nn+nom+++=criticism
was ^vbd+bedz+vrb++=was
usually ^rb+down+++=usually
destructive ^jj+pred+++=destructive
only ^rb+down+++=only
until ^cs+sub+++=until
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
substituted ^vprf+++xvbnx+=substituted
a ^at++++=a
more ^rbr++++=more
dangerous ^jj+atrb+++=dangerous
proposal ^nn+nom+++=proposal
of ^in++++=of
his ^pp$+pp3+++=his
own ^ap++++=own.
. ^zz++++=EXTRAWORD
" ^zz++++="Farmer
farmer ^nn++++=EXTRAWORD
Larkin ^np++++=Larkin's
's ^$++++=EXTRAWORD
boat ^nn++++=boat
is ^vbz+bez+vrb++=is
down ^rp++++=down
by ^in++++=by
the ^ati++++=the
osiers ^nn++++=osiers,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+++=EXTRAWORD
not ^xnot++not++=not
take ^vb++++=take
that ^dt+pdem+++=that?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
There ^ex+pex+++=There
followed ^vbd+vprv++xvbn+=followed
one ^pn++++=one
of ^in++++=of
those ^dt+dem+++=those
councils ^nns++++=councils
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
public ^jj+atrb+++=public
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
after ^in++++=after
affecting ^xvbg+++xvbg+=affecting
dubiety ^nn++++=dubiety,
, ^zz++++=EXTRAWORD
discovers ^nns+nom+++=discovers
that ^tht+vcmp+++=that
it ^pp3+it+++=it
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
unanimous ^jj++++=unanimous
from ^in++++=from
the ^ati++++=the
outset ^nn++++=outset.
. ^zz++++=EXTRAWORD
The ^ati++++=The
boat ^nn++++=boat
was ^vbd+bedz+vrb++=was
undoubtedly ^rb++++=undoubtedly
Farmer ^nn++++=Farmer
Larkin ^np+++??+=Larkin's;
's; ^nn+++??+=EXTRAWORD
Farmer ^nn++++=Farmer
Larkin ^np+++??+=Larkin
had ^vb+hv+vrb++=had
on ^in++++=on
more ^rbr++++=more
than ^in++++=than
one ^cd1++++=one
occasion ^nn++++=occasion
expressed ^vbd+vpub++xvbn+=expressed
an ^at++++=an
unreasoning ^jj+atrb+++=unreasoning
desire ^nn++++=desire
that ^tht+rel+obj++=that
we ^pp1a+pp1+++=we
should ^md+nec+++=should
keep ^vb++++=keep
out ^rb+phrv+++=out
of ^in++++=of
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
taking ^nn++++=taking
of ^in++++=of
property ^nn++++=property
against ^in++++=against
its ^pp$+it+++=its
owner ^nn++++=owner's
's ^vbz+bez+vrb++0=EXTRAWORD
explicit ^jj+atrb+++=explicit
wishes ^nns++++=wishes
might ^md+pos+++=might,
, ^zz++++=EXTRAWORD
under ^in++++=under
certain ^jj+atrb+++=certain
narrow ^jj+atrb+++=narrow
interpretations ^nns+nom+++=interpretations,
, ^zz++++=EXTRAWORD
be ^vb+be+aux++=be
confused ^vpsv++agls+xvbnx+=confused
with ^in++++=with
theft ^nn++++=theft.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
other ^ap++++=other
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
Jason ^np+++??+=Jason
had ^vb+hv+aux++=had
not ^xnot++not++=not
waited ^vprf+++xvbn+=waited
for ^in++++=for
a ^at++++=a
signed ^nn++++=signed
permit ^vb++++=permit
from ^in++++=from
the ^ati++++=the
harbour ^nn++++=harbour-master
- ^zz++++=EXTRAWORD
master ^nn++++=EXTRAWORD
of ^in++++=of
Iolcos ^np+++??+=Iolcos.
. ^zz++++=EXTRAWORD
The ^ati++++=The
ethical ^jj+atrb+++=ethical
authorities ^nns+nom+++=authorities
being ^vwbg+beg++xvbg+=being
thus ^rb+cnj+++=thus
divided ^jj+++xvbn+=divided,
, ^zz++++=EXTRAWORD
adventure ^nn++++=adventure
obtained ^vwbn+++xvbn+=obtained
the ^ati++++=the
casting ^jj+atrb++xvbg+=casting
vote ^nn++++=vote.
. ^zz++++=EXTRAWORD
The ^ati++++=The
girls ^nns++++=girls,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vb+hv+aux++=had
now ^rn+tm+splt++=now
joined ^vprf+++xvbnx+=joined
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
demanded ^jj+atrb++xvbn+=demanded
inclusion ^nn++++=inclusion.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
refused ^vbd+++xvbn+=refused
it ^pp3+it+++=it
on ^in++++=on
historical ^jj+atrb+++=historical
grounds ^nns++++=grounds.
. ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
were ^vbd+bed+vrb++=were
no ^at++++=no
girls ^nns++++=girls
among ^in++++=among
the ^ati++++=the
Argonauts ^np+++??+=Argonauts,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Harold ^np++++=Harold
stated ^vbd+vpub++xvbn+=stated.
. ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
Atalanta ^np+++??+=Atalanta,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mary ^np++++=Mary.
. ^zz++++=EXTRAWORD
Harold ^np++++=Harold,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
disliked ^xvbn+++xvbn+=disliked
facts ^nns++++=facts
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
arrived ^vbd+++xvbnx+=arrived
from ^in++++=from
a ^at++++=a
female ^jj+atrb+++=female
quarter ^nn++++=quarter,
, ^zz++++=EXTRAWORD
said ^vb+++xvbn+=said
that ^tht+vcmp+++=that
Atalanta ^np+++??+=Atalanta
had ^vb+hv+aux++=had
probably ^rb++splt++=probably
remained ^vprf+++xvbnx+=remained
on ^in++++=on
shore ^nn++++=shore
to ^to++++=to
look ^vbi++++=look
after ^in+ppvb+++=after
things ^nns++++=things.
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
did ^vbd+dod+vrb++=did
not ^xnot++not++=not,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mary ^np++++=Mary.
. ^zz++++=EXTRAWORD
" ^zz++++="Miss
miss ^npt++++=EXTRAWORD
Crewe ^np++++=Crewe
read ^vbd+vprv++xvbn+=read
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Edward ^np++++=Edward
intervened ^vbd+++xvbn+=intervened
with ^in++++=with
statesmanlike ^jj+atrb+++=statesmanlike
impatience ^nn+nom+++=impatience.
. ^zz++++=EXTRAWORD
The ^ati++++=The
boat ^nn++++=boat
was ^vbd+bedz+vrb++=was
small ^jj+pred+++=small;
; ^zz++++=EXTRAWORD
the ^ati++++=the
girls ^nns++++=girls
would ^md+prd+++=would
scream ^vb++++=scream
if ^cs+cnd+++=if
it ^pp3+it+++=it
rocked ^vbd+++xvbn+=rocked;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
somebody ^pn++++=somebody
had ^md"++pmd"++=had
to ^md+nec+++=to
stay ^vb++++=stay
behind ^in+pl+++=behind
to ^in++++=to
mislead ^nn+++??+=mislead
Nurse ^vb++++=Nurse,
, ^zz++++=EXTRAWORD
should ^md+nec+++=should
that ^dt+dem+++=that
functionary ^nn+nom+++=functionary
institute ^nn++++=institute
inquiries ^nns++++=inquiries.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
last ^jj+atrb+++=last
argument ^nn+nom+++=argument,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
both ^abx++++=both
insulting ^jj++++=insulting
and ^cc+phrs+++=and
practical ^jj++++=practical,
, ^zz++++=EXTRAWORD
ended ^j+++xvbn+=ended
the ^ati++++=the
debate ^nn++++=debate.
. ^zz++++=EXTRAWORD
Mary ^np++++=Mary
said ^vbd+vpub+tht0+xvbn+=said
she ^pp3a+pp3+++=she
hoped ^vbd+vprv+tht0+xvbnx+=hoped
we ^pp1a+pp1+++=we
should ^md+nec+++=should
be ^vb+be+aux++=be
drowned ^vpsv++agls+xvbnx+=drowned,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
assuring ^vbg+++xvbg+=assuring
us ^pp1o+pp1+++=us
in ^in++++=in
the ^ati++++=the
same ^ap++++=same
breath ^nn++++=breath
that ^tht+rel+obj++=that
she ^pp3a+pp3+++=she
would ^md+prd+++=would
tell ^vb++++=tell
no ^at++++=no
one ^cd1++++=one
where ^wrb+who+++=where
we ^pp1a+pp1+++=we
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
inconsistencies ^nns++++=inconsistencies
are ^vb+ber+aux++=are
commonly ^rb++splt++=commonly
attributed ^vpsv++agls+xvbnx+=attributed
to ^in++++=to
women ^nns++++=women,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
at ^rb++++=at
the ^ati++++=the
time ^nn++++=time
we ^pp1a+pp1+++=we
considered ^vbd+vprv++xvbn+=considered
them ^pp3o+pp3+++=them
peculiar ^jj++++=peculiar
to ^in++++=to
sisters ^nns+nom+++=sisters.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
reached ^vbd+++xvbn+=reached
the ^ati++++=the
osier ^jjr++++=osier-bed
- ^zz++++=EXTRAWORD
bed ^nn++++=EXTRAWORD
by ^in++++=by
way ^in"++++=way
of ^in"++++=of
the ^ati++++=the
lower ^jjr+atrb+++=lower
orchard ^nn++++=orchard,
, ^zz++++=EXTRAWORD
avoiding ^vbg+++xvbg+=avoiding
the ^ati++++=the
yard ^nn++++=yard
where ^wrb+who+++=where
Farmer ^np++++=Farmer
Larkin ^np+++??+=Larkin
was ^vbd+bedz+aux++=was
engaged ^vpsv++agls+xvbnx+=engaged
in ^in++++=in
disputation ^nn+nom+++=disputation
with ^in++++=with
a ^at++++=a
cow ^nn++++=cow.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Argo ^np+++??+=Argo
lay ^vbd+++xvbn+=lay
among ^in++++=among
reeds ^nns++++=reeds
under ^in++++=under
a ^at++++=a
willow ^nn++++=willow,
, ^zz++++=EXTRAWORD
green ^jj++++=green-painted,
- ^zz++++=EXTRAWORD
painted ^vprf+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
flat ^jj++++=flat-bottomed,
- ^zz++++=EXTRAWORD
bottomed ^jj+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
smelling ^nvbg+++xvbg+=smelling
of ^in++++=of
mud ^nn++++=mud,
, ^zz++++=EXTRAWORD
rope ^nn++++=rope,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
honest ^jj+atrb+++=honest
labour ^nn++++=labour
of ^in++++=of
other ^ap++++=other
people ^nns++++=people.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
contained ^vbd+++xvbn+=contained
one ^cd1++++=one
pair ^nn++++=pair
of ^in++++=of
oars ^nns+++??+=oars,
, ^zz++++=EXTRAWORD
a ^at++++=a
rusty ^jj+atrb+++=rusty
boat ^nn++++=boat-hook,
- ^zz++++=EXTRAWORD
hook ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
quantity ^nn+nom+++=quantity
of ^in++++=of
rainwater ^nn+nom+++=rainwater.
. ^zz++++=EXTRAWORD
The ^ati++++=The
latter ^ap++++=latter
we ^pp1a+pp1+++=we
removed ^vbd+++xvbn+=removed
with ^in++++=with
Larkin ^np++++=Larkin's
's ^$++++=EXTRAWORD
own ^ap++++=own
tin ^nn++++=tin
baler ^nn++++=baler,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
leaving ^vbg+++xvbg+=leaving
the ^ati++++=the
vessel ^nn++++=vessel
in ^in++++=in
better ^jjr+atrb+++=better
condition ^nn+nom+++=condition
than ^cs+sub+++=than
we ^pp1a+pp1+++=we
found ^vbd+vprv+tht0+xvbn+=found
it ^pp3+it+++=it
and ^cc++++=and
establishing ^jj+++xvbg+=establishing,
, ^zz++++=EXTRAWORD
as ^ql++++=as
Harold ^np++++=Harold
remarked ^vbd+vpub++xvbn+=remarked,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
position ^nn+nom+++=position
as ^ql++++=as
benefactors ^nns++++=benefactors
rather ^rb++++=rather
than ^in++++=than
pirates ^nns+nom+++=pirates.
. ^zz++++=EXTRAWORD
The ^ati++++=The
chain ^nn++++=chain
was ^vbd+bedz+aux++=was
secured ^vpsv++by+xvbnx+=secured
by ^in++++=by
a ^at++++=a
peg ^nn++++=peg.
. ^zz++++=EXTRAWORD
Edward ^np++++=Edward
pulled ^vbd+++xvbn+=pulled
it ^pp3+it+++=it
up ^rp++++=up.
. ^zz++++=EXTRAWORD
" ^zz++++="There!"
there ^rn+pl+++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Now
now ^rn+tm+++=EXTRAWORD
shove ^nn++++=shove."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
a ^at++++=a
solemn ^jj+atrb+++=solemn
instant ^nn+nom+++=instant
in ^in++++=in
every ^at++++=every
great ^jj+atrb+++=great
enterprise ^nn++++=enterprise
when ^wrb+who+++=when
conjecture ^nn++++=conjecture
becomes ^vbz++++=becomes
deed ^nn++++=deed,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
retreat ^nn++++=retreat
remains ^nns++++=remains
possible ^jj++++=possible
but ^cc++++=but
has ^vbz+hvz+aux++=has
ceased ^vprf+++xvbnx+=ceased
to ^to++++=to
be ^vbi++vrb++=be
respectable ^jj+pred+++=respectable.
. ^zz++++=EXTRAWORD
The ^ati++++=The
boat ^nn++++=boat's
's ^$++++=EXTRAWORD
nose ^nn++++=nose
slid ^vbd+++xvbn+=slid
from ^in++++=from
the ^ati++++=the
rushes ^vbz++++=rushes;
; ^zz++++=EXTRAWORD
brown ^jj+atrb+++=brown
water ^nn++++=water
widened ^vbd+++xvbn+=widened
between ^in++++=between
us ^pp1o+pp1+++=us
and ^cc++++=and
the ^ati++++=the
bank ^nn++++=bank;
; ^zz++++=EXTRAWORD
a ^at++++=a
moorhen ^nn++++=moorhen
fled ^vbd+++xvbn+=fled
with ^in++++=with
an ^at++++=an
imprecation ^nn+nom+++=imprecation;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
familiar ^jj+atrb+++=familiar
meadow ^nn++++=meadow,
, ^zz++++=EXTRAWORD
viewed ^xvbn+++xvbn+=viewed
from ^in++++=from
three ^cd++++=three
yards ^nns++++=yards
offshore ^jjb++++=offshore,
, ^zz++++=EXTRAWORD
assumed ^vpbn+vprv++xvbn+=assumed
the ^ati++++=the
remoteness ^nns+nom+++=remoteness
of ^in++++=of
a ^at++++=a
foreign ^jj+atrb+++=foreign
kingdom ^nn+nom+++=kingdom.
. ^zz++++=EXTRAWORD
Edward ^np++++=Edward
took ^vbd+++xvbn+=took
the ^ati++++=the
oars ^nns+++??+=oars
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
could ^md+pos+++=could
row ^vb++++=row.
. ^zz++++=EXTRAWORD
Harold ^np++++=Harold
sat ^vbd+++xvbn+=sat
in ^in++++=in
the ^ati++++=the
stern ^jj++++=stern
because ^cs+cos+++=because
Jason ^np+++??+=Jason
was ^vbd+bedz+vrb++=was
commander ^nn+nom+++=commander.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
occupied ^vbd+++xvbn+=occupied
the ^ati++++=the
middle ^jjb++++=middle
and ^cc+phrs+++=and
performed ^jj+++xvbn+=performed,
, ^zz++++=EXTRAWORD
as ^in++++=as
opportunity ^nn+nom+++=opportunity
offered ^vbd+++xvbn+=offered,
, ^zz++++=EXTRAWORD
the ^ati++++=the
functions ^nns+nom+++=functions
of ^in++++=of
Orpheus ^np++++=Orpheus,
, ^zz++++=EXTRAWORD
Castor ^np++++=Castor,
, ^zz++++=EXTRAWORD
Pollux ^np+++??+=Pollux,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
common ^jj+atrb+++=common
sailor ^nn++++=sailor.
. ^zz++++=EXTRAWORD
Harold ^np++++=Harold
had ^vbd+hvd+aux++=had
intended ^vprf+++xvbnx+=intended
to ^to+vcmp+++=to
deliver ^vbi++++=deliver
an ^at++++=an
address ^nns+nom+++=address
on ^in++++=on
leaving ^xvbg+++xvbg+=leaving
harbour ^npl++++=harbour,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
boat ^nn++++=boat
swung ^vbd+++xvbn+=swung
broadside ^nn+++??+=broadside
into ^in++++=into
the ^ati++++=the
reeds ^nns++++=reeds
and ^cc++++=and
a ^at++++=a
trailing ^jj+atrb++xvbg+=trailing
bramble ^nn++++=bramble
removed ^vwbn+++xvbn+=removed
his ^pp$+pp3+++=his
Corinthian ^np+++??+=Corinthian
hat ^nn++++=hat.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
speech ^nn++++=speech
was ^vbd+bedz+aux++=was
consequently ^rb+cnj+splt++=consequently
postponed ^vpsv++agls+xvbnx+=postponed
while ^cs+sub+++=while
we ^pp1a+pp1+++=we
backed ^vbd+++xvbn+=backed,
, ^zz++++=EXTRAWORD
pushed ^xvbn+++xvbn+=pushed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
