Disgrace ^np+++??+=Disgrace
are ^vb+ber+vrb++=are
fond ^jj+pred+++=fond
of ^in++++=of
scars ^nns++++=scars.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
save ^vb++++=save
explanation ^nn+nom+++=explanation.
. ^zz++++=EXTRAWORD
Ted ^np++++=Ted
had ^vb+hv+vrb++=had
no ^at++++=no
scar ^nn++++=scar
except ^in++++=except
the ^ati++++=the
sort ^nn++++=sort
that ^tht+rel+subj++=that
does ^vbz+doz+aux++=does
not ^xnot++not++=not
show ^vb+vprv+++=show
in ^in++++=in
a ^at++++=a
mirror ^nn++++=mirror.
. ^zz++++=EXTRAWORD
Five ^cd++++=Five
years ^nns++++=years
earlier ^jjr++++=earlier
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
the ^ati++++=the
handsomest ^jjt+atrb+++=handsomest
cashier ^nn++++=cashier
the ^ati++++=the
Bellwether ^np+nom++??+=Bellwether
National ^jj+atrb+++=National
Bank ^nn++++=Bank
ever ^rb++++=ever
placed ^vbd+++xvbn+=placed
behind ^in+pl+++=behind
brass ^nn++++=brass
bars ^nns++++=bars.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
twenty ^cd++++=twenty-six,
- ^zz++++=EXTRAWORD
six ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
fair ^jj++++=fair-haired,
- ^zz++++=EXTRAWORD
haired ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
quick ^jj++++=quick
with ^in++++=with
figures ^nns++++=figures,
, ^zz++++=EXTRAWORD
quicker ^jjr++++=quicker
with ^in++++=with
a ^at++++=a
joke ^nn++++=joke,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
possessed ^vpsv++agls+xvbn+=possessed
of ^in++++=of
a ^at++++=a
smile ^nn++++=smile
that ^tht+rel+++=that
caused ^jj+++xvbn+=caused
the ^ati++++=the
young ^jj+atrb+++=young
ladies ^nns++++=ladies
of ^in++++=of
our ^pp$+pp1+++=our
smart ^jj++++=smart
set ^jj+++xvbn+=set
to ^to+jcmp+++=to
mislay ^vb+++??+=mislay
their ^pp$+pp3+++=their
deposit ^nn++++=deposit
slips ^vbz++++=slips.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
cuffs ^nns++++=cuffs
were ^vbd+bed+vrb++=were
always ^rb++++=always
clean ^jj+pred+++=clean.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
neckties ^vbz+++??+=neckties
suggested ^vbd+vpub++xvbn+=suggested
courage ^nn+nom+++=courage
without ^in++++=without
actual ^jj+atrb+++=actual
violence ^nn+nom+++=violence.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
walked ^vbd+++xvbnx+=walked
down ^rp++++=down
Main ^jjb+atrb+++=Main
Street ^nn++++=Street,
, ^zz++++=EXTRAWORD
old ^jj+atrb+++=old
men ^nns++++=men
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
goes ^vbz++++=goes
a ^at++++=a
likely ^jj++++=likely
young ^jj++++=young
fellow ^jjb++++=fellow,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
young ^jj+atrb+++=young
women ^nns++++=women
said ^vbd+vpub+tht0+xvbn+=said
nothing ^pn++++=nothing,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
meant ^vbd+vprv++xvbn+=meant
considerably ^rb++++=considerably
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
seven ^cd++++=seven
thousand ^cd++++=thousand
dollars ^nns++++=dollars
went ^vbd+++xvbn+=went
away ^in+pl+++=away
from ^in"++++=from
the ^ati++++=the
bank ^nn++++=bank.
. ^zz++++=EXTRAWORD
Money ^nn++++=Money
is ^vbz+bez+vrb++=is
skittish ^jj+pred+++=skittish.
. ^zz++++=EXTRAWORD
Leave ^vb++++=Leave
it ^pp3+it+++=it
alone ^rb++++=alone
with ^in++++=with
temptation ^nn+nom+++=temptation
and ^cc++++=and
it ^pp3+it+++=it
will ^md+prd+++=will
climb ^vb++++=climb
fences ^nns++++=fences.
. ^zz++++=EXTRAWORD
Ted ^np++++=Ted
had ^vbd+hvd+aux++=had
speculated ^vprf+++xvbnx+=speculated,
, ^zz++++=EXTRAWORD
lost ^j+++xvbn+=lost,
, ^zz++++=EXTRAWORD
borrowed ^j+++xvbn+=borrowed
from ^in++++=from
the ^ati++++=the
bank ^nn++++=bank
without ^in++++=without
troubling ^xvbg+++xvbg+=troubling
the ^ati++++=the
directors ^nns++++=directors,
, ^zz++++=EXTRAWORD
speculated ^j+++xvbn+=speculated
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lost ^vpsv++agls+xvbn+=lost
with ^in++++=with
greater ^nn++++=greater
finish ^vb++++=finish.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
trial ^nn++++=trial
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
invent ^vb++++=invent
a ^at++++=a
dead ^jj+atrb+++=dead
uncle ^nn++++=uncle
in ^in++++=in
Argentina ^np++++=Argentina
or ^cc++++=or
blame ^vb++++=blame
an ^at++++=an
unnamed ^jj+atrb+++=unnamed
stranger ^nn+nom+++=stranger
with ^in++++=with
hypnotic ^jj+atrb+++=hypnotic
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
pleaded ^vbd+vpub++xvbnx+=pleaded
guilty ^jj++++=guilty.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
was ^vbd+bedz+vrb++=was
the ^ati++++=the
one ^cd1++++=one
dignified ^jj+atrb+++=dignified
thing ^nn++++=thing
in ^in++++=in
an ^at++++=an
affair ^nn++++=affair
which ^whp+rel+subj++=which
had ^vb+hv+vrb++=had
very ^ql+amp+++=very
little ^ap++++=little
dignity ^nn+nom+++=dignity
to ^to++++=to
spare ^vbi++++=spare.
. ^zz++++=EXTRAWORD
Bellwether ^np+nom++??+=Bellwether
attended ^vbd+++xvbn+=attended
the ^ati++++=the
trial ^nn++++=trial
as ^cs+sub+++=as
if ^cs+cnd+++=if
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
church ^nn++++=church
festival ^nn+nom+++=festival.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
were ^vbd+bed+aux++=were
shocked ^vpsv++agls+xvbnx+=shocked,
, ^zz++++=EXTRAWORD
grieved ^j+++xvbn+=grieved,
, ^zz++++=EXTRAWORD
delighted ^j+++xvbn+=delighted,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
home ^nr++++=home
in ^in++++=in
time ^nn++++=time
for ^in++++=for
supper ^nn++++=supper.
. ^zz++++=EXTRAWORD
The ^ati++++=The
judge ^nn++++=judge
gave ^vbd+++xvbn+=gave
Ted ^np++++=Ted
four ^cd++++=four
years ^nns++++=years.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
mother ^npt++++=mother
died ^vbd+++xvbn+=died
during ^in++++=during
the ^ati++++=the
second ^od++++=second.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
friends ^nns++++=friends
wrote ^vbd+vprv++xvbn+=wrote
during ^in++++=during
the ^ati++++=the
first ^rb++++=first
three ^cd++++=three
months ^nns++++=months,
, ^zz++++=EXTRAWORD
sent ^j+++xvbn+=sent
Christmas ^np++++=Christmas
cards ^nns++++=cards
during ^in++++=during
the ^ati++++=the
first ^od++++=first
year ^nn++++=year,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thereafter ^nn+nom+++=thereafter
remembered ^vbd+vprv++xvbn+=remembered
that ^tht+vcmp+++=that
postage ^nn+nom+++=postage
was ^vbd+bedz+vrb++=was
expensive ^jj+pred+++=expensive.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
on ^in++++=on
a ^at++++=a
raw ^jj+atrb+++=raw
March ^nn++++=March
afternoon ^nn++++=afternoon,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
one ^cd1++++=one
brown ^jj+atrb+++=brown
suitcase ^nn++++=suitcase,
, ^zz++++=EXTRAWORD
twenty ^cd++++=twenty-three
- ^zz++++=EXTRAWORD
three ^cd++++=EXTRAWORD
dollars ^nns++++=dollars,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
gray ^np++++=gray
hat ^nn++++=hat
that ^tht+rel+subj++=that
sat ^vbd+++xvbn+=sat
on ^in++++=on
his ^pp$+pp3+++=his
yellow ^jj+atrb+++=yellow
hair ^nn++++=hair
like ^in++++=like
a ^at++++=a
halo ^nn++++=halo
assigned ^vbd+++xvbn+=assigned
to ^in++++=to
the ^ati++++=the
wrong ^jj+atrb+++=wrong
department ^nn+nom+++=department.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
stepped ^vbd+++xvbnx+=stepped
off ^in+pl+++=off
the ^ati++++=the
train ^nn++++=train
and ^cc++++=and
looked ^vpsv++agls+xvbn+=looked
about ^in+strn+++=about.
. ^zz++++=EXTRAWORD
No ^at++++=No
band ^nn++++=band
played ^vbd+++xvbn+=played.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
sensible ^jj+pred+++=sensible
of ^in++++=of
the ^ati++++=the
band ^nn++++=band.
. ^zz++++=EXTRAWORD
The ^ati++++=The
station ^nn+nom+++=station
agent ^nn++++=agent,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
called ^vprf+++xvbnx+=called
him ^pp3o+pp3+++=him
Teddy ^np++++=Teddy
and ^cc++++=and
borrowed ^jj+++xvbn+=borrowed
ten ^cd++++=ten
dollars ^nns++++=dollars
from ^in++++=from
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
found ^jj+atrb++xvbn+=found
urgent ^jj+atrb+++=urgent
business ^nns+nom+++=business
among ^in++++=among
the ^ati++++=the
trunks ^nns++++=trunks.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Bixby ^np++++=Bixby,
, ^zz++++=EXTRAWORD
president ^npt++++=president
of ^in++++=of
the ^ati++++=the
Thursday ^nr++++=Thursday
Culture ^nn++++=Culture
Circle ^nn++++=Circle,
, ^zz++++=EXTRAWORD
stared ^j+++xvbn+=stared
through ^in++++=through
Ted ^np++++=Ted
with ^in++++=with
such ^abl++++=such
thoroughness ^nns+nom+++=thoroughness
that ^tht+rel+obj++=that
she ^pp3a+pp3+++=she
discovered ^vbd+vprv++xvbnx+=discovered
a ^at++++=a
freight ^nn++++=freight
car ^nn++++=car
on ^in++++=on
the ^ati++++=the
farther ^rbr++++=farther
track ^nn++++=track.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
boys ^nns++++=boys
nudged ^vbd+++xvbn+=nudged
each ^dt++++=each
other ^ap++++=other.
. ^zz++++=EXTRAWORD
A ^at++++=A
woman ^nn++++=woman
drew ^vbd+++xvbn+=drew
her ^pp$+pp3+++=her
little ^ap++++=little
girl ^nn++++=girl
closer ^rbr++++=closer,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
Ted ^np++++=Ted
had ^vb+hv+aux++=had
never ^rb++splt++=never
stolen ^vprf+++xvbnx+=stolen
a ^at++++=a
child ^nn++++=child
in ^in++++=in
his ^pp$+pp3+++=his
life ^nn++++=life.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
picked ^vbd+++xvbnx+=picked
up ^rp++++=up
his ^pp$+pp3+++=his
suitcase ^nn++++=suitcase.
. ^zz++++=EXTRAWORD
Disgrace ^np+++??+=Disgrace
picked ^vbd+++xvbn+=picked
up ^rp++++=up
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
Ladies ^nns++++=Ladies
of ^in++++=of
her ^pp$+pp3+++=her
sort ^nn++++=sort
travel ^vb++++=travel
light ^jj++++=light.
. ^zz++++=EXTRAWORD
Ted ^np++++=Ted
walked ^vbd+++xvbn+=walked
to ^in++++=to
the ^ati++++=the
Haley ^np+++??+=Haley
House ^npl++++=House
because ^cs+cos+++=because
the ^ati++++=the
Haley ^np+++??+=Haley
House ^nn++++=House
was ^vbd+bedz+vrb++=was
near ^in+pl+++=near
the ^ati++++=the
station ^nn+nom+++=station,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
because ^cs+cos+++=because
a ^at++++=a
man ^nn++++=man
with ^in++++=with
twenty ^cd++++=twenty-three
- ^zz++++=EXTRAWORD
three ^cd++++=EXTRAWORD
dollars ^nns++++=dollars
cannot ^md+pos+not++=cannot
afford ^vb++++=afford
symbolism ^nn+nom+++=symbolism
in ^in++++=in
choosing ^xvbg+++xvbg+=choosing
a ^at++++=a
hotel ^nn++++=hotel.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
brick ^nn++++=brick
front ^jjb++++=front
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
been ^vprf+ben+vrb+xvbnx+=been
red ^jj++++=red
and ^cc++++=and
was ^vbd+bedz+vrb++=was
now ^rn+tm+++=now
a ^at++++=a
color ^nn++++=color
best ^jjt++++=best
described ^jj+++xvbn+=described
as ^ql++++=as
experience ^nn+nom+++=experience.
. ^zz++++=EXTRAWORD
A ^at++++=A
gilt ^nn++++=gilt
sign ^vb++++=sign
over ^in++++=over
the ^ati++++=the
door ^nn++++=door
promised ^vbd+++xvbn+=promised
Steam ^nn++++=STEAM
Heat ^nn++++=HEAT,
, ^zz++++=EXTRAWORD
Good ^jj+atrb+++=GOOD
Table ^nn++++=TABLE,
, ^zz++++=EXTRAWORD
Modern ^jj+atrb+++=MODERN
Conveniences ^nns+nom+++=CONVENIENCES.
. ^zz++++=EXTRAWORD
The ^ati++++=The
steam ^nn++++=steam
heat ^nn++++=heat
was ^vbd+bedz+vrb++=was
temperamental ^jj+pred+++=temperamental,
, ^zz++++=EXTRAWORD
the ^ati++++=the
table ^nn++++=table
excellent ^jj++++=excellent,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
modern ^jj+atrb+++=modern
conveniences ^nns+nom+++=conveniences
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
modern ^jj++++=modern
when ^wrb+who+++=when
President ^npt++++=President
Mckinley ^np+++??+=McKinley
was ^vbd+bedz+aux++=was
learning ^vbg+vprv++xvbgx+=learning
to ^to+vcmp+++=to
shave ^vb++++=shave.
. ^zz++++=EXTRAWORD
Jo ^np++++=Jo
Haley ^np+++??+=Haley
sat ^vbd+++xvbn+=sat
behind ^in+pl+++=behind
the ^ati++++=the
desk ^nn++++=desk,
, ^zz++++=EXTRAWORD
reading ^vbg+++xvbg+=reading
the ^ati++++=the
racing ^jj+atrb++xvbg+=racing
page ^nn++++=page
through ^in++++=through
spectacles ^nns++++=spectacles
he ^pp3a+pp3+++=he
denied ^vbd+vpub++xvbnx+=denied
needing ^jj+++xvbg+=needing.
. ^zz++++=EXTRAWORD
Jo ^np++++=Jo
owned ^vbd+++xvbn+=owned
the ^ati++++=the
hotel ^nn++++=hotel,
, ^zz++++=EXTRAWORD
three ^cd++++=three
suits ^nns++++=suits,
, ^zz++++=EXTRAWORD
fourteen ^cd++++=fourteen
grudges ^nns+++??+=grudges,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
heart ^nn++++=heart
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
kept ^vbd+++xvbnx+=kept
wrapped ^vbd+++xvbn+=wrapped
in ^in++++=in
newspaper ^nn+nom+++=newspaper
so ^cs+sub+++=so
nobody ^pn++++=nobody
would ^md+prd+++=would
recognize ^vb+vprv+++=recognize
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
looked ^vbd+++xvbnx+=looked
up ^rp++++=up.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,"
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="if
if ^cs+cnd+++=EXTRAWORD
it ^pp3+it+++=it
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
the ^ati++++=the
Wandering ^jj+atrb++xvbg+=Wandering
Boy ^nn++++=Boy."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Ted ^np++++=Ted
put ^vbd+++xvbn+=put
down ^rb+phrv+++=down
his ^pp$+pp3+++=his
suitcase ^nn++++=suitcase.
. ^zz++++=EXTRAWORD
" ^zz++++="Hello,
hello ^rb+dspt+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Jo ^np++++=Jo."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
look ^vb++++=look
awful ^jj++++=awful."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+vrb++0=EXTRAWORD
all ^abn++++=all
right ^jj++++=right."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
what ^wdt+who+++=what
dying ^nvbg+++xvbg+=dying
men ^nns++++=men
say ^vb+vpub+++=say
when ^wrb+who+whcl++=when
they ^pp3a+pp3+++=they
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
want ^vb++++=want
the ^ati++++=the
undertaker ^nn+nom+++=undertaker
to ^to++++=to
get ^vbi++++=get
conceited ^jj++++=conceited.
. ^zz++++=EXTRAWORD
Register ^nn+nom+++=Register."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+vrb++0=EXTRAWORD
not ^xnot++not++=not
staying ^nvbg+++xvbg+=staying."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You're
you ^pp2+pp2+++=EXTRAWORD
're ^vb+ber+aux++0=EXTRAWORD
standing ^vbg+++xvbgx+=standing
in ^in++++=in
my ^pp$+pp1+++=my
lobby ^nn++++=lobby
with ^in++++=with
luggage ^nn+nom+++=luggage.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That's
's ^vbz+bez+aux++0=EXTRAWORD
close ^vb++++=close
enough ^qlp++++=enough
to ^to++++=to
staying ^vbi++++=staying
for ^in++++=for
a ^at++++=a
warrant ^nn+nom+++=warrant."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
wanted ^vbd+++xvbnx+=wanted
a ^at++++=a
room ^nn++++=room
until ^in++++=until
the ^ati++++=the
night ^nn++++=night
train ^nn++++=train."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Where
where ^wrb+who+++=EXTRAWORD
you ^pp2+pp2+++=you
going ^vbg+++xvbg+=going?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="West."
west ^np+pl+++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jo ^np++++=Jo
leaned ^vbd+++xvbn+=leaned
back ^jjb++++=back
and ^cc+phrs+++=and
considered ^jj+++xvbn+=considered
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
far ^rb+pl+++=far
west ^np+pl+++=west?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Fine
fine ^jj+atrb+++=EXTRAWORD
country ^nn++++=country,
, ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Don't
n't ^xnot++not++0=EXTRAWORD
Know ^vb+vprv+++=Know.
. ^zz++++=EXTRAWORD
Good ^jj+atrb+++=Good
climate ^nn+nom+++=climate.
. ^zz++++=EXTRAWORD
Population ^nn+nom+++=Population
mostly ^rb++++=mostly
fools ^nns++++=fools
and ^cc++++=and
fugitives ^nns++++=fugitives."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Ted ^np++++=Ted's
's ^$++++=EXTRAWORD
face ^vb++++=face
tightened ^vbd+++xvbn+=tightened.
. ^zz++++=EXTRAWORD
Five ^cd++++=Five
years ^nns++++=years
before ^cs+sub+++=before
he ^pp3a+pp3+++=he
would ^md+prd+++=would
have ^vb+hv+aux++=have
tossed ^vprf+++xvbnx+=tossed
back ^jjb++++=back
a ^at++++=a
joke ^nn++++=joke.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
his ^pp$+pp3+++=his
words ^nns++++=words
came ^vbd+++xvbn+=came
out ^rp+pl+++=out
separately ^rb+cnj+++=separately,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
each ^dt++++=each
had ^md"++pmd"++=had
to ^md+nec+++=to
pass ^vb++++=pass
inspection ^nn+nom+++=inspection.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
can ^md+pos+++=can
get ^vb++++=get
work ^nn++++=work
somewhere ^rb++++=somewhere
people ^nns++++=people
have ^vb+hv+aux++=haven't
n't ^xnot++not++0=EXTRAWORD
heard ^vbd+vprv++xvbn+=heard
of ^in++++=of
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="People
people ^nns++++=EXTRAWORD
hear ^vb+vprv+++=hear.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
what ^wdt+who+++=what
ears ^nns++++=ears
are ^vb+ber+vrb++=are
for ^in+strn+++=for."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
change ^vb++++=change
my ^pp$+pp1+++=my
name ^nn++++=name."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc+cls+++=EXTRAWORD
what ^wdt+who+++=what'll
'll ^md+prd+++0=EXTRAWORD
you ^pp2+pp2+++=you
do ^vb+do+vrb++=do
with ^in++++=with
yourself ^ppl+pp2+++=yourself?
? ^zz++++=EXTRAWORD
Leave ^vb++++=Leave
that ^dt+dem+++=that
in ^in++++=in
the ^ati++++=the
baggage ^nn+nom+++=baggage
room ^nn++++=room?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Ted ^np++++=Ted
glanced ^vbd+++xvbn+=glanced
toward ^in++++=toward
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
come ^vb++++=come
for ^in+ppvb+++=for
a ^at++++=a
lecture ^nn++++=lecture."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,"
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Jo ^np++++=Jo.
. ^zz++++=EXTRAWORD
" ^zz++++="Lectures
lectures ^nns++++=EXTRAWORD
cost ^nn++++=cost
more ^rbr++++=more
than ^in++++=than
rooms ^nns++++=rooms,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you're
