# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Bibine ^np++++=Bibine's
" ^zz++++=EXTRAWORD
This ^dt+dem+++=This
maxim ^nn++++=maxim
pleased ^vbd+++xvbn+=pleased
everyone ^pn++++=everyone.
. ^zz++++=EXTRAWORD
The ^ati++++=The
secretary ^npt+nom+++=secretary
entered ^vbd+++xvbn+=entered
Loka ^np++++=Loka's
's ^$++++=EXTRAWORD
name ^nn++++=name
in ^in++++=in
the ^ati++++=the
book ^nn++++=book,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
she ^pp3a+pp3+++=she
spelled ^vbd+++xvbnx+=spelled
it ^pp3+it+++=it
twice ^rb++++=twice
and ^cc++++=and
crossed ^vbd+++xvbn+=crossed
it ^pp3+it+++=it
out ^rp+pl+++=out
once ^rb+tm+++=once.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
noon ^nn++++=noon
the ^ati++++=the
girl ^nn++++=girl
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
assigned ^vpsv++agls+xvbnx+=assigned
to ^in++++=to
Madame ^npt++++=Madame
Tontine ^np+++??+=Tontine
Padue ^np+++??+=Padue,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
possessed ^vbd+++xvbn+=possessed
a ^at++++=a
clean ^jj+atrb+++=clean
house ^npl++++=house,
, ^zz++++=EXTRAWORD
a ^at++++=a
hardworking ^jj+atrb+++=hardworking
husband ^nn++++=husband,
, ^zz++++=EXTRAWORD
five ^cd++++=five
acres ^nns++++=acres
of ^in++++=of
garden ^nn++++=garden,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
baby ^nn++++=baby
requiring ^vwbg+vsua++xvbg+=requiring
constant ^jj+atrb+++=constant
attention ^nn+nom+++=attention.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
benevolence ^nn+nom+++=benevolence,
, ^zz++++=EXTRAWORD
having ^xvbg+++xvbg+=having
completed ^vprf+++xvbn+=completed
its ^pp$+it+++=its
business ^nns+nom+++=business,
, ^zz++++=EXTRAWORD
adjourned ^xvbn+++xvbn+=adjourned
for ^in++++=for
refreshments ^nns+nom+++=refreshments.
. ^zz++++=EXTRAWORD
Loka ^np+++??+=Loka
was ^vbd+bedz+vrb++=was
fifteen ^cd++++=fifteen,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
sixteen ^cd++++=sixteen.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
did ^vbd+dod+aux++=did
not ^xnot++not++=not
know ^vb+vprv+++=know.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
small ^jj+pred+++=small,
, ^zz++++=EXTRAWORD
with ^in++++=with
straight ^jj+atrb+++=straight
black ^jj+atrb+++=black
hair ^nn++++=hair
hacked ^vbd+++xvbn+=hacked
unevenly ^jj++++=unevenly
at ^rb++++=at
the ^ati++++=the
neck ^nn++++=neck,
, ^zz++++=EXTRAWORD
brown ^jj+atrb+++=brown
skin ^nn++++=skin,
, ^zz++++=EXTRAWORD
high ^jj+atrb+++=high
cheekbones ^nns++++=cheekbones,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
gray ^np++++=gray-green
- ^zz++++=EXTRAWORD
green ^nn++++=EXTRAWORD
eyes ^nns++++=eyes
that ^tht+rel+subj++=that
seemed ^vprf+++xvbn+=seemed
always ^rb++++=always
fixed ^jj+++xvbn+=fixed
upon ^in++++=upon
something ^pn++++=something
farther ^rbr++++=farther
away ^rp+pl+++=away
than ^in++++=than
the ^ati++++=the
object ^nn++++=object
before ^in++++=before
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Her ^pp3o+pp3+++=Her
father ^npt++++=father
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
Choctaw ^np+++??+=Choctaw
hunter ^nn++++=hunter;
; ^zz++++=EXTRAWORD
her ^pp3o+pp3+++=her
mother ^npt++++=mother,
, ^zz++++=EXTRAWORD
a ^at++++=a
woman ^nn++++=woman
of ^in++++=of
mixed ^jj+++xvbn+=mixed
French ^jj+atrb+++=French
and ^cc+phrs+++=and
African ^jj+atrb+++=African
blood ^nn++++=blood,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
washed ^vprf+++xvbnx+=washed
clothes ^nns++++=clothes
at ^in++++=at
the ^ati++++=the
logging ^jj+++xvbg+=logging
camp ^npl++++=camp.
. ^zz++++=EXTRAWORD
Both ^abx++++=Both
were ^vbd+bed+vrb++=were
dead ^jj+pred+++=dead.
. ^zz++++=EXTRAWORD
An ^at++++=An
uncle ^nn++++=uncle
had ^vbd+hvd+aux++=had
taken ^vprf+++xvbnx+=taken
Loka ^np+++??+=Loka
in ^in++++=in
and ^cc++++=and
beaten ^jj+++xvbn+=beaten
her ^pp$+pp3+++=her
when ^wrb+who+++=when
drunk ^jj+++xvbn+=drunk,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
often ^rb++++=often.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
fled ^vprf+++xvbnx+=fled
after ^cs+sub+++=after
he ^pp3a+pp3+++=he
threw ^vbd+++xvbnx+=threw
a ^at++++=a
kettle ^nn++++=kettle
at ^in++++=at
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+aux++=had
not ^xnot++not++=not
stolen ^vprf+++xvbn+=stolen
the ^ati++++=the
kettle ^nn++++=kettle,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
Madame ^npt++++=Madame
Frobissaint ^np+++??+=Frobissaint
repeatedly ^rb++++=repeatedly
praised ^vbd+++xvbn+=praised
her ^pp$+pp3+++=her
for ^in++++=for
this ^dt+dem+++=this
evidence ^nn+nom+++=evidence
of ^in++++=of
character ^nn+nom+++=character.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
Padues ^np+++??+=Padues'
' ^zz++++=EXTRAWORD
house ^npl++++=house,
, ^zz++++=EXTRAWORD
Tontine ^np+++??+=Tontine
looked ^vbd+++xvbn+=looked
Loka ^np+++??+=Loka
over ^in++++=over
from ^in++++=from
head ^nn++++=head
to ^in++++=to
foot ^nn++++=foot.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
know ^vb+vprv+++=know
how ^wrb+who+whcl++=how
milk ^nn++++=milk
a ^at++++=a
cow ^nn++++=cow?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
madame ^npt++++=madame."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Make
make ^vb++++=EXTRAWORD
bread ^nn++++=bread?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
madame ^npt++++=madame."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Wash
wash ^nn++++=EXTRAWORD
proper ^jj++++=proper?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
wash ^nn++++=wash."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+dem+++=EXTRAWORD
ai ^nn+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
the ^ati++++=the
same ^ap++++=same
thing ^nn++++=thing.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
know ^vb+vprv+++=know
your ^pp$+pp2+++=your
catechism ^nn+nom+++=catechism?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Loka ^np++++=Loka's
's ^$++++=EXTRAWORD
gaze ^nn++++=gaze
traveled ^vbd+++xvbn+=traveled
beyond ^in++++=beyond
Tontine ^np+++??+=Tontine
to ^in++++=to
the ^ati++++=the
pale ^nn++++=pale
road ^npl++++=road,
, ^zz++++=EXTRAWORD
the ^ati++++=the
ditch ^nn++++=ditch
grass ^nn++++=grass,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
ragged ^jj+atrb+++=ragged
line ^nn++++=line
of ^in++++=of
cypresses ^nns+nom++??+=cypresses
in ^in++++=in
the ^ati++++=the
distance ^nn+nom+++=distance.
. ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
madame ^npt++++=madame."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Tontine ^np+++??+=Tontine
threw ^vbd+++xvbn+=threw
up ^rp++++=up
her ^pp$+pp3+++=her
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
" ^zz++++="Ma
ma ^npt++++=EXTRAWORD
foi ^nn+++??+=foi!
! ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
send ^vb++++=send
me ^pp1o+pp1+++=me
a ^at++++=a
girl ^nn++++=girl
can ^md+pos+++=can
do ^vb+do+vrb++=do
nothing ^pn++++=nothing."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Baptiste ^np+++??+=Baptiste
Padue ^np+++??+=Padue,
, ^zz++++=EXTRAWORD
repairing ^vbg+++xvbg+=repairing
a ^at++++=a
harness ^nns+nom+++=harness
under ^in++++=under
the ^ati++++=the
gallery ^nn+nom+++=gallery,
, ^zz++++=EXTRAWORD
laughed ^j+++xvbn+=laughed
softly ^rb++++=softly.
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
can ^md+pos+++=can
learn ^vb+vprv+++=learn,
, ^zz++++=EXTRAWORD
ma ^npt++++=ma
femme ^&fw++++=femme."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
can ^md+pos+++=can
learn ^vb+vprv+++=learn
to ^to+vcmp+++=to
stare ^vbi++++=stare,
, ^zz++++=EXTRAWORD
yes ^uh++++=yes.
. ^zz++++=EXTRAWORD
That ^tht+vcmp+++=That
she ^pp3a+pp3+++=she
knows ^vbz+vprv+++=knows
already ^rb++++=already."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Loka ^np+++??+=Loka
was ^vbd+bedz+aux++=was
set ^jj++agls+xvbnx+=set
to ^to+jcmp+++=to
work ^vb++++=work.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
swept ^vbd+++xvbnx+=swept
the ^ati++++=the
kitchen ^nn++++=kitchen,
, ^zz++++=EXTRAWORD
carried ^jj+atrb++xvbn+=carried
water ^nn++++=water,
, ^zz++++=EXTRAWORD
shelled ^xvbn+++xvbn+=shelled
peas ^nns++++=peas,
, ^zz++++=EXTRAWORD
gathered ^jj+atrb++xvbn+=gathered
eggs ^nns++++=eggs,
, ^zz++++=EXTRAWORD
shook ^jj+atrb++xvbn+=shook
rugs ^nns++++=rugs,
, ^zz++++=EXTRAWORD
scoured ^jj+atrb+++=scoured
pots ^nns++++=pots,
, ^zz++++=EXTRAWORD
peeled ^jj+atrb++xvbn+=peeled
potatoes ^nns++++=potatoes,
, ^zz++++=EXTRAWORD
folded ^jj+atrb++xvbn+=folded
diapers ^nns+nom+++=diapers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
picked ^jj+atrb++xvbn+=picked
stones ^nns++++=stones
from ^in++++=from
the ^ati++++=the
rice ^nn++++=rice.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
did ^vbd+dod+vrb++=did
each ^dt++++=each
task ^nn++++=task
slowly ^rb+cnj+++=slowly,
, ^zz++++=EXTRAWORD
without ^in++++=without
protest ^nn++++=protest
and ^cc++++=and
without ^in++++=without
visible ^jj+atrb+++=visible
interest ^nn++++=interest.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
Tontine ^np+++??+=Tontine
called ^vbd+++xvbn+=called,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
came ^vbd+++xvbnx+=came.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
Tontine ^np+++??+=Tontine
scolded ^vbd+++xvbn+=scolded,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
lowered ^vbd+++xvbnx+=lowered
her ^pp3o+pp3+++=her
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
asked ^vbd+vsua++xvbn+=asked
a ^at++++=a
question ^nn+nom+++=question,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
waited ^vbd+++xvbnx+=waited
so ^ql++++=so
long ^rb++++=long
before ^cs+sub+++=before
answering ^vb+++xvbg+=answering
that ^tht+vcmp+++=that
Tontine ^np+++??+=Tontine
often ^rb++++=often
supplied ^vbd+++xvbn+=supplied
the ^ati++++=the
answer ^nn++++=answer
herself ^ppl+pp3+++=herself
and ^cc++++=and
then ^rn+tm+++=then
punished ^vbd+++xvbn+=punished
Loka ^np+++??+=Loka
for ^in++++=for
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="Your
your ^pp$+pp2+++=EXTRAWORD
thoughts ^nns++++=thoughts
got ^vbd+++xvbn+=got
to ^to+vcmp+++=to
cross ^vbi++++=cross
the ^ati++++=the
bayou ^nn+++??+=bayou
before ^cs+sub+++=before
they ^pp3a+pp3+++=they
reach ^vb++++=reach
your ^pp$+pp2+++=your
tongue ^nn++++=tongue?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
demanded ^vbd+vsua++xvbnx+=demanded.
. ^zz++++=EXTRAWORD
Sometimes ^rb++++=Sometimes
Loka ^np++++=Loka's
's ^$++++=EXTRAWORD
mouth ^nn++++=mouth
moved ^vbd+++xvbn+=moved
at ^rb++++=at
one ^cd1++++=one
corner ^nn++++=corner,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
not ^xnot++not++=not
quite ^abl++++=quite
enough ^qlp++++=enough
to ^to++++=to
be ^vbi+vbi+aux++=be
called ^vpsv++agls+xvbnx+=called
a ^at++++=a
smile ^nn++++=smile.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
with ^in++++=with
Bibine ^np+++??+=Bibine
did ^vbd+dod+aux++=did
she ^pp3a+pp3+++=she
quicken ^vbd+++xvbnx+=quicken.
. ^zz++++=EXTRAWORD
Bibine ^np+++??+=Bibine
was ^vbd+bedz+vrb++=was
eighteen ^cd++++=eighteen
months ^nns++++=months
old ^jj++++=old
and ^cc++++=and
built ^vpsv++agls+xvbn+=built
like ^in++++=like
a ^at++++=a
dumpling ^nn+nom+++=dumpling.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
hair ^nn++++=hair
stood ^vbd+++xvbn+=stood
up ^rp++++=up
in ^in++++=in
a ^at++++=a
yellow ^jj+atrb+++=yellow
brush ^nn++++=brush;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
were ^vbd+bed+vrb++=were
blue ^jj+pred+++=blue
and ^cc+phrs+++=and
solemn ^jj++++=solemn
until ^cs+sub+++=until
he ^pp3a+pp3+++=he
laughed ^vbd+++xvbnx+=laughed,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
his ^pp$+pp3+++=his
whole ^jj+atrb+++=whole
person ^nn++++=person
surrendered ^vbd+++xvbn+=surrendered
to ^in++++=to
the ^ati++++=the
business ^nns+nom+++=business.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
laughed ^vbd+++xvbnx+=laughed
at ^in+ppvb+++=at
spoons ^nns++++=spoons,
, ^zz++++=EXTRAWORD
dogs ^nns++++=dogs,
, ^zz++++=EXTRAWORD
bare ^jj+atrb+++=bare
toes ^nns++++=toes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sneezes ^nns+++??+=sneezes.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
laughed ^vbd+++xvbnx+=laughed
whenever ^nn+nom+++=whenever
Baptiste ^np+++??+=Baptiste
removed ^vwbn+++xvbn+=removed
his ^pp$+pp3+++=his
hat ^nn++++=hat.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
laughed ^vbd+++xvbnx+=laughed
most ^ql+emph+++=most
loudly ^rb++++=loudly
when ^wrb+who+++=when
Loka ^np+++??+=Loka
set ^vbd+++xvbn+=set
him ^pp3o+pp3+++=him
astride ^nn+++??+=astride
her ^pp3o+pp3+++=her
shoulders ^nns+nom+++=shoulders
and ^cc++++=and
trotted ^vbd+++xvbn+=trotted
around ^rp++++=around
the ^ati++++=the
kitchen ^nn++++=kitchen
table ^nn++++=table
while ^cs+sub+++=while
Tontine ^np+++??+=Tontine
cried ^vbd+++xvbn+=cried,
, ^zz++++=EXTRAWORD
" ^zz++++="Put
put ^vbd+++xvbn+=EXTRAWORD
down ^rb+phrv+++=down
that ^dt+dem+++=that
child ^nn++++=child
before ^in++++=before
you ^pp2+pp2+++=you
crack ^jjb++++=crack
his ^pp$+pp3+++=his
skull ^nn++++=skull!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Bibine ^np+++??+=Bibine
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
care ^nn++++=care
that ^tht+rel+obj++=that
Loka ^np+++??+=Loka
had ^vb+hv+vrb++=had
no ^at++++=no
catechism ^nn+nom+++=catechism.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+aux++=did
not ^xnot++not++=not
inquire ^vb++++=inquire
whether ^cs+who+++=whether
she ^pp3a+pp3+++=she
could ^md+pos+++=could
make ^vb++++=make
bread ^nn++++=bread.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
pushed ^vbd+++xvbnx+=pushed
damp ^nn++++=damp
fingers ^nns+nom+++=fingers
into ^in++++=into
her ^pp$+pp3+++=her
mouth ^nn++++=mouth,
, ^zz++++=EXTRAWORD
slept ^j+++xvbn+=slept
against ^in++++=against
her ^pp$+pp3+++=her
breast ^nn++++=breast,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
called ^vwbn+++xvbn+=called
her ^pp$+pp3+++=her
" ^zz++++="Lo,"
lo ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
a ^at++++=a
title ^nn++++=title
he ^pp3a+pp3+++=he
bestowed ^vbd+++xvbnx+=bestowed
with ^in++++=with
greater ^jjr+atrb+++=greater
affection ^nn+nom+++=affection
than ^in++++=than
the ^ati++++=the
charitable ^jj+atrb+++=charitable
ladies ^nns++++=ladies
had ^vbd+hvd+aux++=had
shown ^vprf+++xvbnx+=shown
in ^in++++=in
pronouncing ^xvbg+++xvbg+=pronouncing
her ^pp3o+pp3+++=her
whole ^jj+atrb+++=whole
name ^nn++++=name.
. ^zz++++=EXTRAWORD
Loka ^np+++??+=Loka
made ^vbd+++xvbn+=made
him ^pp3o+pp3+++=him
toys ^nns++++=toys:
: ^zz++++=EXTRAWORD
a ^at++++=a
man ^nn++++=man
from ^in++++=from
corncob ^nn+++??+=corncob
and ^cc++++=and
string ^nn++++=string;
; ^zz++++=EXTRAWORD
a ^at++++=a
boat ^nn++++=boat
from ^in++++=from
cypress ^nns+nom+++=cypress
bark ^nn++++=bark;
; ^zz++++=EXTRAWORD
a ^at++++=a
whistle ^nn++++=whistle
that ^tht+rel+subj++=that
gave ^vbd+++xvbn+=gave
one ^cd1++++=one
mournful ^jj+atrb+++=mournful
note ^nn++++=note
before ^in++++=before
Bibine ^np+++??+=Bibine
bit ^nn++++=bit
it ^pp3+it+++=it
in ^in++++=in
two ^cd++++=two.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
knew ^vbd+vprv++xvbnx+=knew
where ^wrb+who+whcl++=where
the ^ati++++=the
little ^ap++++=little
red ^jj+atrb+++=red
lizards ^nns++++=lizards
slept ^vbd+++xvbn+=slept
under ^in++++=under
the ^ati++++=the
woodpile ^nn+++??+=woodpile
and ^cc+cls+++=and
how ^wrb+who+++=how
to ^to++++=to
hold ^vbi+vprv+++=hold
a ^at++++=a
firefly ^nn++++=firefly
without ^in++++=without
crushing ^xvbg+++xvbg+=crushing
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
At ^in++++=At
dusk ^nn++++=dusk
she ^pp3a+pp3+++=she
sat ^vbd+++xvbnx+=sat
on ^in++++=on
the ^ati++++=the
step ^nn++++=step
with ^in++++=with
Bibine ^np+++??+=Bibine
in ^in++++=in
her ^pp$+pp3+++=her
lap ^nn++++=lap
and ^cc++++=and
imitated ^vwbn+++xvbn+=imitated
the ^ati++++=the
cry ^nn++++=cry
of ^in++++=of
a ^at++++=a
whip ^nn++++=whip-poor-will.
- ^zz++++=EXTRAWORD
poor ^jj++++=EXTRAWORD
- ^zz++++=EXTRAWORD
will ^md+prd+++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
bird ^nn++++=bird
answered ^vbd+vpub++xvbn+=answered
from ^in++++=from
the ^ati++++=the
thicket ^nn++++=thicket.
. ^zz++++=EXTRAWORD
Bibine ^np+++??+=Bibine
trembled ^vbd+++xvbn+=trembled
with ^in++++=with
delight ^nn++++=delight.
. ^zz++++=EXTRAWORD
" ^zz++++="She'll
she ^pp3a+pp3+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
teach ^vb+vsua+++=teach
him ^pp3o+pp3+++=him
nonsense ^nn++++=nonsense,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Tontine ^np+++??+=Tontine
complained ^vbd+vpub++xvbn+=complained.
. ^zz++++=EXTRAWORD
" ^zz++++="Maybe
maybe ^rb+hdg+++=EXTRAWORD
the ^ati++++=the
bird ^nn++++=bird
got ^vbd+++xvbn+=got
something ^pn++++=something
useful ^jj++++=useful
to ^to+jcmp+++=to
say ^vbi+vpub+++=say,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Baptiste ^np+++??+=Baptiste
replied ^vbd+vpub++xvbn+=replied.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
just ^rb+emph+++=just
as ^in++++=as
foolish ^jj++++=foolish
as ^cs+sub+++=as
them ^pp3o+pp3+++=them
two ^cd++++=two."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Baptiste ^np+++??+=Baptiste
accepted ^vbd+vprv++xvbn+=accepted
this ^dt+dem+++=this
judgment ^nn+nom+++=judgment
calmly ^rb++++=calmly.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
broad ^jj+atrb+++=broad,
, ^zz++++=EXTRAWORD
mild ^jj+atrb+++=mild
man ^nn++++=man
who ^whp+rel+subj++=who
worked ^vbd+++xvbn+=worked
from ^in++++=from
before ^cs+sub+++=before
sunrise ^nn++++=sunrise
until ^cs+sub+++=until
dark ^jj++++=dark
and ^cc++++=and
had ^vb+hv+aux++=had
never ^rb++splt++=never
discovered ^vprf+++xvbnx+=discovered
that ^tht+vcmp+++=that
labor ^nn++++=labor
