They ^pp3a+pp3+++=They
the ^ati++++=the
footbridge ^nn++++=footbridge
above ^in+pl+++=above
the ^ati++++=the
lower ^jjr+atrb+++=lower
bend ^nn++++=bend,
, ^zz++++=EXTRAWORD
wagons ^nns++++=wagons
creeping ^vwbg+++xvbg+=creeping
along ^in++++=along
the ^ati++++=the
lane ^nn++++=lane,
, ^zz++++=EXTRAWORD
children ^nns++++=children
chasing ^vwbg+++xvbg+=chasing
one ^cd1++++=one
another ^dt++++=another
through ^in++++=through
the ^ati++++=the
stubble ^nn++++=stubble.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
to ^in++++=to
her ^pp$+pp3+++=her
they ^pp3a+pp3+++=they
belonged ^vbd+++xvbnx+=belonged
to ^in++++=to
a ^at++++=a
country ^nn++++=country
as ^in++++=as
remote ^jj++++=remote
as ^ql++++=as
one ^pn++++=one
beyond ^in++++=beyond
the ^ati++++=the
sea ^nn++++=sea.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
planted ^vbd+++xvbnx+=planted
corn ^nn++++=corn
and ^cc++++=and
potatoes ^nns++++=potatoes
in ^in++++=in
the ^ati++++=the
rich ^jj+atrb+++=rich
ground ^nn++++=ground
around ^rp++++=around
her ^pp3o+pp3+++=her
cabin ^nn++++=cabin.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
kept ^vbd+++xvbnx+=kept
hens ^nns++++=hens,
, ^zz++++=EXTRAWORD
a ^at++++=a
cow ^nn++++=cow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
narrow ^jj+atrb+++=narrow
bed ^nn++++=bed
of ^in++++=of
marigolds ^nns+++??+=marigolds.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
tall ^jj+pred+++=tall
and ^cc+phrs+++=and
powerful ^jj++++=powerful,
, ^zz++++=EXTRAWORD
with ^in++++=with
long ^jj+atrb+++=long
arms ^nns++++=arms
hardened ^vwbn+++xvbn+=hardened
by ^in++++=by
labor ^nn++++=labor
and ^cc++++=and
a ^at++++=a
face ^vb++++=face
whose ^whp+who+++=whose
grave ^jj+atrb+++=grave
lines ^nns++++=lines
softened ^vbd+++xvbn+=softened
readily ^rb++++=readily
for ^in++++=for
children ^nns++++=children.
. ^zz++++=EXTRAWORD
People ^nns++++=People
came ^vbd+++xvbn+=came
to ^in++++=to
her ^pp$+pp3+++=her
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
wished ^vbd+vprv++xvbnx+=wished.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
mended ^vbd+++xvbnx+=mended
nets ^nns++++=nets,
, ^zz++++=EXTRAWORD
brewed ^jj+atrb++xvbn+=brewed
tisanes ^nns+++??+=tisanes,
, ^zz++++=EXTRAWORD
dressed ^jj+atrb++xvbn+=dressed
wounds ^nns++++=wounds,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
could ^md+pos+++=could
lift ^vb++++=lift
a ^at++++=a
sack ^nn++++=sack
of ^in++++=of
meal ^nn++++=meal
that ^tht+rel+subj++=that
troubled ^vprf+++xvbn+=troubled
many ^ap++++=many
a ^at++++=a
man ^nn++++=man.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
she ^pp3a+pp3+++=she
never ^rb++++=never
went ^vbd+++xvbn+=went
to ^in++++=to
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
The ^ati++++=The
boundary ^nn+nom+++=boundary
of ^in++++=of
her ^pp$+pp3+++=her
world ^nn++++=world
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
marked ^vpsv++by+xvbn+=marked
by ^in++++=by
fence ^nn++++=fence
or ^cc++++=or
ditch ^nn++++=ditch.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
existed ^vbd+++xvbn+=existed
only ^rb+down+++=only
in ^in++++=in
her ^pp$+pp3+++=her
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
it ^pp3+it+++=it
held ^vbd+vprv++xvbn+=held
more ^rbr++++=more
strongly ^rb+amp+++=strongly
than ^in++++=than
iron ^nn++++=iron.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
began ^vbd+++xvbn+=began
at ^in++++=at
the ^ati++++=the
bayou ^nn+++??+=bayou.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
La ^&fw++++=La
Folle ^np+++??+=Folle
was ^vbd+bedz+vrb++=was
a ^rb++++=a
little ^rb"++++=little
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
fighting ^nvbg+++xvbg+=fighting
had ^vbd+hvd+aux++=had
broken ^vprf+++xvbnx+=broken
out ^rp+pl+++=out
near ^in+pl+++=near
Bellissime ^np+++??+=Bellissime.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
alone ^rb++++=alone
in ^in++++=in
the ^ati++++=the
old ^jj+atrb+++=old
kitchen ^nn++++=kitchen
when ^wrb+who+++=when
a ^at++++=a
man ^nn++++=man
staggered ^vbd+++xvbn+=staggered
through ^in++++=through
the ^ati++++=the
door ^nn++++=door,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
shirt ^nn++++=shirt
torn ^vbd+++xvbn+=torn
open ^jj++++=open,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
body ^nn++++=body
black ^nn++++=black
with ^in++++=with
powder ^nn++++=powder
and ^cc++++=and
crimson ^nn+++??+=crimson
with ^in++++=with
blood ^nn++++=blood.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
fell ^vbd+++xvbnx+=fell
across ^in+pl+++=across
the ^ati++++=the
floor ^nn++++=floor
without ^in++++=without
speaking ^xvbg+++xvbg+=speaking.
. ^zz++++=EXTRAWORD
Behind ^in+pl+++=Behind
him ^pp3o+pp3+++=him
came ^vbd+++xvbn+=came
the ^ati++++=the
sound ^nn++++=sound
of ^in++++=of
horses ^nns++++=horses,
, ^zz++++=EXTRAWORD
shots ^nns++++=shots,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
men ^nns++++=men
shouting ^vwbg+++xvbg+=shouting
among ^in++++=among
the ^ati++++=the
trees ^nns++++=trees.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
happened ^vbd+++xvbn+=happened
afterward ^rb++++=afterward
had ^vb+hv+aux++=had
never ^rb++splt++=never
arranged ^vprf+++xvbnx+=arranged
itself ^ppl++++=itself
clearly ^rb++++=clearly
in ^in++++=in
her ^pp$+pp3+++=her
memory ^nn++++=memory.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
remained ^vprf+++xvbn+=remained
only ^rb+down+++=only
the ^ati++++=the
red ^nn++++=red
upon ^in++++=upon
the ^ati++++=the
boards ^nns++++=boards,
, ^zz++++=EXTRAWORD
the ^ati++++=the
powder ^nn++++=powder-black
- ^zz++++=EXTRAWORD
black ^jj+atrb+++=EXTRAWORD
face ^nn++++=face,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
bayou ^nn+++??+=bayou
gleaming ^vwbg+++xvbg+=gleaming
beyond ^in++++=beyond
the ^ati++++=the
yard ^nn++++=yard
while ^cs+sub+++=while
death ^nn++++=death
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
move ^vbi++++=move
everywhere ^rb++++=everywhere
on ^in++++=on
its ^pp$+it+++=its
opposite ^jj+atrb+++=opposite
shore ^nn++++=shore.
. ^zz++++=EXTRAWORD
From ^in++++=From
that ^dt+dem+++=that
day ^nn++++=day
she ^pp3a+pp3+++=she
could ^md+pos+++=could
not ^xnot++not++=not
cross ^vb++++=cross
the ^ati++++=the
water ^nn++++=water.
. ^zz++++=EXTRAWORD
Persuasion ^nn++++=Persuasion
failed ^vbd+++xvbn+=failed;
; ^zz++++=EXTRAWORD
mockery ^nn+nom+++=mockery
failed ^vbd+++xvbn+=failed;
; ^zz++++=EXTRAWORD
even ^rb++++=even
force ^nn++++=force
failed ^vbd+++xvbn+=failed.
. ^zz++++=EXTRAWORD
Once ^rb+cnj+++=Once,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
several ^ap++++=several
women ^nns++++=women
attempted ^vbd+++xvbn+=attempted
to ^to+vcmp+++=to
lead ^vbi++++=lead
her ^pp$+pp3+++=her
over ^in++++=over
the ^ati++++=the
bridge ^nn++++=bridge,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
fought ^vbd+++xvbnx+=fought
them ^pp3o+pp3+++=them
with ^in++++=with
such ^abl++++=such
terror ^nn++++=terror
that ^tht+rel+obj++=that
they ^pp3a+pp3+++=they
released ^vbd+++xvbnx+=released
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
In ^in++++=In
time ^nn++++=time
everyone ^pn++++=everyone
accepted ^vbd+vprv++xvbn+=accepted
the ^ati++++=the
matter ^nn++++=matter.
. ^zz++++=EXTRAWORD
La ^&fw++++=La
Folle ^np+++??+=Folle
lived ^vbd+++xvbn+=lived
yonder ^jjb++++=yonder.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
strange ^jj+pred+++=strange,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
harmless ^jj++++=harmless.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+vrb++=had
all ^abn++++=all
she ^pp3a+pp3+++=she
needed ^vbd+++xvbnx+=needed,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
world ^nn++++=world
could ^md+pos+++=could
come ^vb++++=come
to ^in++++=to
her ^pp$+pp3+++=her
if ^cs+cnd+++=if
it ^pp3+it+++=it
chose ^vbd+++xvbn+=chose.
. ^zz++++=EXTRAWORD
Of ^in++++=Of
all ^abn++++=all
who ^whp+who+++=who
came ^vbd+++xvbn+=came,
, ^zz++++=EXTRAWORD
none ^pn++++=none
was ^vbd+bedz+aux++=was
so ^ql++++=so
welcome ^vb++++=welcome
as ^ql++++=as
Cheri ^np+++??+=Cheri,
, ^zz++++=EXTRAWORD
the ^ati++++=the
plantation ^nn+nom+++=plantation
owner ^nn++++=owner's
's ^vbz+bez+vrb++0=EXTRAWORD
youngest ^jjt+atrb+++=youngest
son ^nn++++=son.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
proper ^jj+atrb+++=proper
name ^nn++++=name
was ^vbd+bedz+vrb++=was
Henri ^np++++=Henri,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
La ^&fw++++=La
Folle ^np+++??+=Folle
had ^vbd+hvd+aux++=had
called ^vprf+++xvbnx+=called
him ^pp3o+pp3+++=him
Cheri ^np+++??+=Cheri
from ^in++++=from
the ^ati++++=the
hour ^nn++++=hour
his ^pp$+pp3+++=his
nurse ^vb++++=nurse
first ^rb++++=first
carried ^vwbn+++xvbn+=carried
him ^pp3o+pp3+++=him
to ^in++++=to
her ^pp$+pp3+++=her
cabin ^nn++++=cabin,
, ^zz++++=EXTRAWORD
a ^at++++=a
round ^jj+atrb+++=round
baby ^nn++++=baby
in ^in++++=in
a ^at++++=a
white ^jj+atrb+++=white
gown ^nn++++=gown.
. ^zz++++=EXTRAWORD
As ^ql++++=As
he ^pp3a+pp3+++=he
grew ^vbd+++xvbnx+=grew,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
made ^vbd+++xvbnx+=made
her ^pp$+pp3+++=her
clearing ^nvbg+++xvbg+=clearing
his ^pp$+pp3+++=his
kingdom ^nn+nom+++=kingdom.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
hunted ^vbd+++xvbnx+=hunted
imaginary ^jj+atrb+++=imaginary
wolves ^nps++++=wolves
among ^in++++=among
the ^ati++++=the
pines ^nns++++=pines,
, ^zz++++=EXTRAWORD
fished ^j+++xvbn+=fished
for ^in++++=for
minnows ^nns++++=minnows,
, ^zz++++=EXTRAWORD
robbed ^j+++xvbn+=robbed
her ^pp$+pp3+++=her
fig ^nn++++=fig
tree ^nn++++=tree,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
slept ^vbd+++xvbn+=slept
at ^rb++++=at
noon ^nn++++=noon
upon ^in++++=upon
the ^ati++++=the
bearskin ^nn+++??+=bearskin
before ^in++++=before
her ^pp$+pp3+++=her
hearth ^nn++++=hearth.
. ^zz++++=EXTRAWORD
La ^&fw++++=La
Folle ^np+++??+=Folle
kept ^vbd+++xvbn+=kept
croquignoles ^nns+++??+=croquignoles
for ^in++++=for
him ^pp3o+pp3+++=him
in ^in++++=in
a ^at++++=a
blue ^jj+atrb+++=blue
jar ^nn++++=jar
and ^cc++++=and
saved ^vbd+++xvbn+=saved
the ^ati++++=the
ripest ^jjt+atrb+++=ripest
melons ^nns++++=melons
beneath ^rb++++=beneath
her ^pp$+pp3+++=her
bed ^nn++++=bed.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
told ^vbd+vpub++xvbnx+=told
him ^pp3o+pp3+++=him
stories ^nns++++=stories
in ^in++++=in
which ^whp+rel+pied++=which
saints ^nns++++=saints,
, ^zz++++=EXTRAWORD
rabbits ^nns++++=rabbits,
, ^zz++++=EXTRAWORD
kings ^nns++++=kings,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
plantation ^nn+nom+++=plantation
dogs ^nns++++=dogs
moved ^vbd+++xvbn+=moved
together ^nn+nom+++=together
without ^in++++=without
embarrassment ^nn+nom+++=embarrassment.
. ^zz++++=EXTRAWORD
" ^zz++++="Tell
tell ^vb++++=EXTRAWORD
' ^zz++++='bout
bout ^nn++++=EXTRAWORD
de ^&fw++++=de
little ^ap++++=little
prince ^npt++++=prince,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
command ^vb++++=command.
. ^zz++++=EXTRAWORD
" ^zz++++="Again,
again ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
mon ^&fw++++=mon
b ^zz++++=b
b ^zz++++=b
? ^zz++++=?
Dat ^np+++??+=Dat
prince ^npt++++=prince
done ^vwbn+++xvbn+=done
been ^vprf+ben+vrb+xvbn+=been
los ^&fw++++=los'
' ^zz++++=EXTRAWORD
in ^in++++=in
de ^&fw++++=de
woods ^nns++++=woods
six ^cd++++=six
times ^nns++++=times
dis ^np++++=dis
week ^nn++++=week."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
can ^md+pos+++=can
get ^vb++++=get
lost ^vbd+++xvbn+=lost
once ^rb+tm+++=once
more ^rbr++++=more."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
once ^rb+tm+++=once
more ^ql++++=more
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
lost ^vpsv++agls+xvbnx+=lost,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
once ^rb+tm+++=once
more ^rbr++++=more
La ^&fw++++=La
Folle ^np+++??+=Folle
carried ^vbd+++xvbn+=carried
him ^pp3o+pp3+++=him
safely ^rb++++=safely
home ^nr++++=home
in ^in++++=in
the ^ati++++=the
story ^nn++++=story,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
she ^pp3a+pp3+++=she
herself ^ppl+pp3+++=herself
had ^vb+hv+aux++=had
never ^rb++splt++=never
carried ^vprf+++xvbnx+=carried
anything ^pn++++=anything
beyond ^in++++=beyond
the ^ati++++=the
bayou ^nn+++??+=bayou.
. ^zz++++=EXTRAWORD
Cheri ^np+++??+=Cheri
understood ^vwbn+vprv+tht0+xvbn+=understood
her ^pp$+pp3+++=her
fear ^vb++++=fear
without ^in++++=without
respecting ^in++++=respecting
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Children ^nns++++=Children
accept ^vb+vprv+++=accept
certain ^jj+atrb+++=certain
mysteries ^nns+nom+++=mysteries
only ^rb+down+++=only
to ^to++++=to
play ^vbi++++=play
around ^in++++=around
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+++=EXTRAWORD
you ^pp2+pp2+++=you
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
come ^vb++++=come
see ^vb+vprv+++=see
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
La ^&fw++++=La
Folle ^np+++??+=Folle?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked
one ^cd1++++=one
afternoon ^nn++++=afternoon.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
glanced ^vbd+++xvbnx+=glanced
toward ^in++++=toward
the ^ati++++=the
water ^nn++++=water,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
sunlight ^nn++++=sunlight
quivered ^vbd+++xvbn+=quivered
among ^in++++=among
the ^ati++++=the
reeds ^nns++++=reeds.
. ^zz++++=EXTRAWORD
" ^zz++++="Some
some ^dti++++=EXTRAWORD
day ^nn++++=day,
, ^zz++++=EXTRAWORD
maybe ^rb+hdg+++=maybe."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
always ^rb++++=always
say ^vb+vpub+tht0++=say
that ^tht+vcmp+++=that."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Den
den ^&fw++++=EXTRAWORD
some ^dti++++=some
day ^nn++++=day
I ^pp1a+pp1+++=I
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
mean ^jj++++=mean
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
laughed ^vbd+++xvbnx+=laughed
and ^cc+phrs+++=and
flung ^vbd+++xvbn+=flung
his ^pp$+pp3+++=his
arms ^nns++++=arms
around ^rp++++=around
her ^pp3o+pp3+++=her
neck ^nn++++=neck.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
laughed ^vbd+++xvbnx+=laughed
also ^rb+cnj+++=also,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
her ^pp$+pp3+++=her
eyes ^nns++++=eyes
did ^vbd+dod+aux++=did
not ^xnot++not++=not
leave ^vb++++=leave
the ^ati++++=the
bayou ^nn+++??+=bayou.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
Saturday ^nr++++=Saturday
afternoon ^nn++++=afternoon
in ^in++++=in
early ^jj+atrb+++=early
autumn ^nn++++=autumn
when ^wrb+who+++=when
Cheri ^np+++??+=Cheri
came ^vbd+++xvbn+=came
hunting ^nvbg+++xvbg+=hunting
near ^in+pl+++=near
her ^pp$+pp3+++=her
cabin ^nn++++=cabin.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cotton ^np++++=cotton
stood ^vbd+++xvbn+=stood
high ^jj++++=high
and ^cc+phrs+++=and
white ^jj++++=white
across ^in+pl+++=across
the ^ati++++=the
farther ^rbr++++=farther
fields ^nns++++=fields,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
heat ^nn++++=heat
lay ^vbd+++xvbn+=lay
over ^in++++=over
the ^ati++++=the
ground ^nn++++=ground
like ^in++++=like
a ^at++++=a
thin ^jj+atrb+++=thin
sheet ^nn++++=sheet
of ^in++++=of
brass ^nn++++=brass.
. ^zz++++=EXTRAWORD
Cheri ^np+++??+=Cheri
wore ^vbd+++xvbn+=wore
blue ^jj+atrb+++=blue
cottonade ^nn+++??+=cottonade
trousers ^nns+nom+++=trousers
and ^cc++++=and
carried ^vbd+++xvbn+=carried
a ^at++++=a
small ^jj+atrb+++=small
rifle ^nn++++=rifle
which ^whp+rel+obj++=which
his ^pp$+pp3+++=his
father ^nn++++=father
had ^vbd+hvd+aux++=had
permitted ^vprf+++xvbnx+=permitted
him ^pp3o+pp3+++=him
to ^to++++=to
use ^vbi++++=use
under ^in++++=under
strict ^jj+atrb+++=strict
conditions ^nns+nom+++=conditions.
. ^zz++++=EXTRAWORD
Those ^dt+dem+++=Those
conditions ^nns+nom+++=conditions
had ^vb+hv+aux++=had
not ^xnot++not++=not
included ^vbd+++xvbn+=included
hunting ^nvbg+++xvbg+=hunting
alone ^rb+cnj+++=alone,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Cheri ^np+++??+=Cheri
possessed ^vbd+++xvbn+=possessed
the ^ati++++=the
easy ^jj+atrb+++=easy
confidence ^nn+nom+++=confidence
of ^in++++=of
a ^at++++=a
boy ^nn++++=boy
much ^rb++++=much
beloved ^jj++++=beloved.
. ^zz++++=EXTRAWORD
La ^&fw++++=La
Folle ^np+++??+=Folle
sat ^vbd+++xvbn+=sat
beneath ^rb++++=beneath
her ^pp$+pp3+++=her
arbor ^&fw++++=arbor
shelling ^nn+nom+++=shelling
peas ^nns++++=peas.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
heard ^vbd+vprv++xvbnx+=heard
him ^pp3o+pp3+++=him
moving ^jj+++xvbg+=moving
among ^in++++=among
the ^ati++++=the
trees ^nns++++=trees
and ^cc++++=and
now ^rn+tm+++=now
and ^cc+phrs+++=and
then ^rn+tm+++=then
the ^ati++++=the
crack ^nn++++=crack
of ^in++++=of
a ^at++++=a
twig ^nn++++=twig
beneath ^in+pl+++=beneath
his ^pp$+pp3+++=his
feet ^nns++++=feet.
. ^zz++++=EXTRAWORD
" ^zz++++="Don'
don ^npt++++=EXTRAWORD
' ^zz++++=EXTRAWORD
go ^vb++++=go
too ^rb++++=too
far ^rb+cnj+++=far,
, ^zz++++=EXTRAWORD
Cheri ^np+++??+=Cheri!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
called ^vbd+++xvbnx+=called.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
wo ^&fw++++=won't."
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="An'
and ^cc++++0=EXTRAWORD
mind ^nn++++=mind
dat ^nn+++??+=dat
gun ^nn++++=gun!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
know ^vb+vprv+++=know."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
smiled ^vbd+++xvbnx+=smiled,
, ^zz++++=EXTRAWORD
shaking ^jj+++xvbg+=shaking
her ^pp3o+pp3+++=her
head ^jjb++++=head.
. ^zz++++=EXTRAWORD
The ^ati++++=The
peas ^nns++++=peas
fell ^vbd+++xvbn+=fell
with ^in++++=with
soft ^nn++++=soft
taps ^vbz++++=taps
into ^in++++=into
the ^ati++++=the
pan ^nn++++=pan
between ^in++++=between
her ^pp$+pp3+++=her
knees ^nns++++=knees.
. ^zz++++=EXTRAWORD
A ^at++++=A
hen ^nn++++=hen
scratched ^vwbn+++xvbn+=scratched
under ^in++++=under
the ^ati++++=the
steps ^nns++++=steps.
. ^zz++++=EXTRAWORD
From ^in++++=From
beyond ^in++++=beyond
the ^ati++++=the
bayou ^nn+++??+=bayou
came ^vbd+++xvbn+=came
the ^ati++++=the
slow ^nn++++=slow
singing ^vwbg+++xvbg+=singing
of ^in++++=of
women ^nns++++=women
returning ^vwbg+++xvbg+=returning
from ^in++++=from
the ^ati++++=the
cotton ^np++++=cotton
rows ^nns++++=rows.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
rifle ^nn++++=rifle
exploded ^vbd+++xvbn+=exploded.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sound ^nn++++=sound
was ^vbd+bedz+vrb++=was
close ^jj+pred+++=close
and ^cc+phrs+++=and
wrong ^jj++++=wrong.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
followed ^vpsv++by+xvbnx+=followed
by ^in++++=by
a ^at++++=a
