**san ^jj+atrb+++=**SAN
Francisco ^np++++=FRANCISCO,
spell ^vb++++=spell,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
acquired ^xvbn+++xvbn+=acquired
Eyes ^nns++++=Eyes.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
Eyes ^nns++++=Eyes.
. ^zz++++=EXTRAWORD
All ^abn++++=All
men ^nns++++=men
have ^vb+hv+vrb++=have
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
say ^vb+vpub+++=say?
? ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
dear ^nn++++=dear,
, ^zz++++=EXTRAWORD
oysters ^nns+nom+++=oysters
have ^vb+hv+vrb++=have
pearls ^nns++++=pearls,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
one ^cd1++++=one
does ^vbz+doz+aux++=does
not ^xnot++not++=not
therefore ^rb+cnj+++=therefore
confuse ^vb++++=confuse
an ^at++++=an
oyster ^nn++++=oyster-bed
- ^zz++++=EXTRAWORD
bed ^nn++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
crown ^nn++++=crown
jewels ^nns++++=jewels.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
is ^vbz+bez+vrb++=is
tall ^jj+pred+++=tall,
, ^zz++++=EXTRAWORD
dark ^jj++++=dark,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
carries ^vbz++++=carries
his ^pp$+pp3+++=his
head ^nn++++=head
as ^cs+sub+++=as
if ^cs+cnd+++=if
it ^pp3+it+++=it
belonged ^vbd+++xvbn+=belonged
to ^in++++=to
him ^pp3o+pp3+++=him
by ^in++++=by
divine ^jj++++=divine
right ^jj++++=right.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
speaks ^vbz++++=speaks
little ^jj++++=little.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Alborough ^np++++=Alborough
informed ^vbd+++xvbn+=informed
him ^pp3o+pp3+++=him
that ^cs+sub+++=that
California ^np++++=California
possessed ^vbd+++xvbn+=possessed
the ^ati++++=the
finest ^jjt+atrb+++=finest
climate ^nn+nom+++=climate
in ^in++++=in
the ^ati++++=the
world ^nn++++=world,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
her ^pp$+pp3+++=her
until ^cs+sub+++=until
she ^pp3a+pp3+++=she
added ^vbd+vpub++xvbnx+=added,
, ^zz++++=EXTRAWORD
" ^zz++++="except,
except ^in+strn+++=EXTRAWORD
, ^zz++++=EXTRAWORD
perhaps ^rb+cnj+++=perhaps,
, ^zz++++=EXTRAWORD
certain ^jj+atrb+++=certain
portions ^nns+nom+++=portions
of ^in++++=of
India ^np++++=India."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
That ^dt+dem+++=That
woman ^nn++++=woman
has ^vbz+hvz+vrb++=has
never ^rb++++=never
before ^cs+sub+++=before
surrendered ^vbd+++xvbn+=surrendered
an ^at++++=an
inch ^nn++++=inch
of ^in++++=of
territory ^nn++++=territory.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
watched ^vbd+++xvbnx+=watched
the ^ati++++=the
miracle ^nn++++=miracle
from ^in++++=from
behind ^in+pl+++=behind
a ^at++++=a
palm ^nn++++=palm.
. ^zz++++=EXTRAWORD
Jack ^np++++=Jack
Raynor ^np+++??+=Raynor
says ^vbz+vpub+tht0++=says
Barritz ^np+++??+=Barritz
has ^vbz+hvz+aux++=has
learned ^vprf+++xvbnx+=learned
things ^nns++++=things
in ^in++++=in
the ^ati++++=the
East ^np+pl+++=East
strange ^jj+atrb+++=strange
things ^nns++++=things.
. ^zz++++=EXTRAWORD
Jack ^np++++=Jack
heard ^vbd+vprv++xvbn+=heard
from ^in++++=from
a ^at++++=a
bell ^nn++++=bell-boy,
- ^zz++++=EXTRAWORD
boy ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vb+hv+vrb++=had
it ^pp3+it+++=it
from ^in++++=from
a ^at++++=a
courier ^nn++++=courier,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
told ^vpsv++by+xvbnx+=told
by ^in++++=by
a ^at++++=a
gentleman ^nn+nom+++=gentleman's
's ^$++++=EXTRAWORD
gentleman ^nn+nom+++=gentleman
that ^tht+rel+obj++=that
the ^ati++++=the
Doctor ^nn++++=Doctor
once ^rb+tm+++=once
fixed ^vwbn+++xvbn+=fixed
his ^pp$+pp3+++=his
gaze ^nn++++=gaze
upon ^in++++=upon
a ^at++++=a
cobra ^nn+++??+=cobra
and ^cc++++=and
caused ^vbd+++xvbn+=caused
it ^pp3+it+++=it
to ^to++++=to
die ^vbi++++=die
of ^in++++=of
remorse ^nn++++=remorse.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
not ^xnot++not++=not
believe ^vb+vprv+tht0++=believe
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course.
. ^zz++++=EXTRAWORD
Cobras ^np+++??+=Cobras
have ^vb+hv+vrb++=have
no ^at++++=no
moral ^jj+atrb+++=moral
nature ^nn++++=nature.
. ^zz++++=EXTRAWORD
Still ^rb+cnj+++=Still,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
something ^pn++++=something
in ^in++++=in
the ^ati++++=the
man ^nn++++=man
that ^tht+rel+subj++=that
makes ^vbz++++=makes
one ^cd1++++=one
feel ^vb+vprv+++=feel
transparent ^jj++++=transparent.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
presented ^vpsv++agls+xvbnx+=presented
to ^in++++=to
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
long ^rb++splt++=long
wished ^vprf+++xvbnx+=wished
to ^to+vcmp+++=to
meet ^vbi++++=meet
Miss ^npt++++=Miss
Dement ^np++++=Dement,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
Long ^rb++++=Long
wished ^vbd+vprv++xvbn+=wished!
! ^zz++++=EXTRAWORD
Consider ^nn+nom+++=Consider
that ^tht+vcmp+++=that.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
have ^vb+hv+aux++=have
never ^rb++splt++=never
met ^vprf+++xvbnx+=met.
. ^zz++++=EXTRAWORD
Unless ^cs+cnd+++=Unless
he ^pp3a+pp3+++=he
saw ^vbd+vprv+tht0+xvbnx+=saw
my ^pp$+pp1+++=my
photograph ^nn++++=photograph
in ^in++++=in
Paris ^np++++=Paris
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
possible ^jj+pred+++=possible,
, ^zz++++=EXTRAWORD
for ^in++++=for
that ^dt+dem+++=that
horrid ^jj+atrb+++=horrid
little ^jj+atrb+++=little
portrait ^nn++++=portrait
with ^in++++=with
the ^ati++++=the
pearls ^nns++++=pearls
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
shamefully ^jj++++=shamefully
circulated ^jj+++xvbn+=circulated
or ^cc+cls+++=or
unless ^cs+cnd+++=unless
he ^pp3a+pp3+++=he
possesses ^nns+nom+++=possesses
the ^ati++++=the
faculty ^nn++++=faculty
of ^in++++=of
seeing ^xvbg+++xvbg+=seeing
at ^rb++++=at
a ^at++++=a
distance ^nn+nom+++=distance.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
replied ^vbd+vpub++xvbnx+=replied,
, ^zz++++=EXTRAWORD
with ^in++++=with
perfect ^jj+atrb+++=perfect
composure ^nn++++=composure,
, ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
wish ^nn++++=wish
is ^vbz+bez+aux++=is
now ^rn+tm+splt++=now
gratified ^vpsv++agls+xvbnx+=gratified,
, ^zz++++=EXTRAWORD
Doctor ^nn++++=Doctor."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
I ^pp1a+pp1+++=I
caught ^vbd+++xvbnx+=caught
my ^pp$+pp1+++=my
heel ^nn++++=heel
in ^in++++=in
the ^ati++++=the
fringe ^nn++++=fringe
of ^in++++=of
a ^at++++=a
rug ^nn++++=rug
and ^cc++++=and
sat ^vbd+++xvbn+=sat
down ^rb+phrv+++=down
upon ^in++++=upon
a ^at++++=a
dwarf ^nn++++=dwarf
palm ^nn++++=palm.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
not ^xnot++not++=not
laugh ^vb++++=laugh,
, ^zz++++=EXTRAWORD
Irene ^np++++=Irene.
. ^zz++++=EXTRAWORD
The ^ati++++=The
palm ^nn++++=palm
was ^vbd+bedz+vrb++=was
more ^ql++++=more
injured ^jj+++xvbn+=injured
than ^in++++=than
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
assisted ^vbd+++xvbnx+=assisted
me ^pp1o+pp1+++=me
to ^to++++=to
rise ^vbi++++=rise.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
hand ^nn++++=hand
was ^vbd+bedz+aux++=was
cool ^vb++++=cool
and ^cc++++=and
strong ^jj++++=strong,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+aux++=are
not ^xnot++not++=not
hurt ^vb+++xvbn+=hurt?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
the ^ati++++=the
sensation ^nn+nom+++=sensation
of ^in++++=of
having ^nn+nn+aux++=having
known ^vbd+vprv++xvbn+=known
that ^tht+vcmp+++=that
voice ^nn++++=voice
in ^in++++=in
another ^dt++++=another
existence ^nn+nom+++=existence
perhaps ^rb++++=perhaps
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
an ^at++++=an
Egyptian ^jj+atrb+++=Egyptian
princess ^nns+nom+++=princess
and ^cc++++=and
he ^pp3a+pp3+++=he
an ^at++++=an
astrologer ^jjr++++=astrologer,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
both ^abx++++=both
frogs ^nns++++=frogs.
. ^zz++++=EXTRAWORD
The ^ati++++=The
doctrine ^nn++++=doctrine
of ^in++++=of
transmigration ^nn+nom+++=transmigration
has ^vbz+hvz+aux++=has
always ^rb++splt++=always
seemed ^vprf+++xvbnx+=seemed
confused ^vbd+++xvbn+=confused
to ^in++++=to
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Jack ^np++++=Jack
says ^vbz+vpub+++=says
Barritz ^np+++??+=Barritz
never ^rb++++=never
looks ^vbz++++=looks
twice ^rb++++=twice
at ^in++++=at
a ^at++++=a
woman ^nn++++=woman.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
looked ^vbd+++xvbnx+=looked
twice ^rb++++=twice
at ^in++++=at
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Burn ^vb++++=Burn
this ^dt+dem+++=this
letter ^nn++++=letter.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
distracted ^jj+atrb++xvbn+=distracted
but ^cc+phrs+++=but
uninjured ^jj+atrb+++=uninjured
**mary ^nn++++=**MARY
Jane** ^np+++??+=JANE**
**april ^nn+++??+=**April
7.** ^cd++++=7.**
Irene ^np++++=Irene:
: ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
are ^vb+ber+vrb++=are
a ^at++++=a
wormwood ^nn++++=wormwood-hearted
- ^zz++++=EXTRAWORD
hearted ^jj+atrb+++=EXTRAWORD
creature ^nn++++=creature.
. ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
not ^xnot++not++=not
" ^zz++++="in
in ^in++++=EXTRAWORD
love ^nn++++=love
with ^in++++=with
a ^at++++=a
pair ^nn++++=pair
of ^in++++=of
eyes ^nns++++=eyes."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
interested ^jj+pred+++=interested
in ^in++++=in
an ^at++++=an
unusual ^jj+atrb+++=unusual
psychological ^jj+atrb+++=psychological
phenomenon ^nn++++=phenomenon.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
the ^ati++++=the
phenomenon ^nn++++=phenomenon
happens ^vbz+vsua+++=happens
to ^to+vcmp+++=to
be ^vbi++vrb++=be
six ^cd++++=six
feet ^nns++++=feet
high ^jj++++=high,
, ^zz++++=EXTRAWORD
beautifully ^rb++++=beautifully
dressed ^vbd+++xvbn+=dressed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
able ^jj++++=able
to ^to+jcmp+++=to
silence ^nn+nom+++=silence
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Alborough ^np++++=Alborough,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
my ^pp$+pp1+++=my
fault ^nn++++=fault.
. ^zz++++=EXTRAWORD
Jack ^np++++=Jack
dined ^vbd+++xvbn+=dined
here ^rn+pl+++=here
last ^jj+atrb+++=last
night ^nn++++=night
and ^cc++++=and
poured ^vbd+++xvbn+=poured
out ^rp+pl+++=out
information ^nn+nom+++=information
like ^in++++=like
a ^at++++=a
broken ^jj+atrb++xvbn+=broken
hydraulic ^jj+atrb+++=hydraulic
pipe ^nn++++=pipe.
. ^zz++++=EXTRAWORD
According ^in+cmpx+++=According
to ^in"++++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
Barritz ^np+++??+=Barritz
has ^vbz+hvz+aux++=has
wandered ^vprf+++xvbnx+=wandered
through ^in++++=through
India ^np++++=India,
, ^zz++++=EXTRAWORD
Persia ^np++++=Persia,
, ^zz++++=EXTRAWORD
Arabia ^np++++=Arabia,
, ^zz++++=EXTRAWORD
China ^np++++=China,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
several ^ap++++=several
countries ^nns++++=countries
which ^whp+rel+obj++=which
Jack ^np++++=Jack
invented ^vbd+++xvbn+=invented
on ^in++++=on
the ^ati++++=the
spot ^nn++++=spot.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
can ^md+pos+++=can
sleep ^vb++++=sleep
at ^rb++++=at
will ^md+prd+++=will,
, ^zz++++=EXTRAWORD
remain ^vb++++=remain
awake ^jj++++=awake
at ^in++++=at
will ^md+prd+++=will,
, ^zz++++=EXTRAWORD
stop ^vb++++=stop
his ^pp$+pp3+++=his
pulse ^nn++++=pulse,
, ^zz++++=EXTRAWORD
read ^jj+atrb++xvbn+=read
sealed ^jj+atrb++xvbn+=sealed
letters ^nns+nom+++=letters,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
compel ^vb++++=compel
people ^nns++++=people
to ^to++++=to
tell ^vbi++++=tell
the ^ati++++=the
truth ^nn++++=truth.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
last ^rb++++=last
accomplishment ^nn+nom+++=accomplishment
is ^vbz+bez+vrb++=is
indecent ^jj+pred+++=indecent.
. ^zz++++=EXTRAWORD
Suppose ^vb+vprv+tht0++=Suppose
he ^pp3a+pp3+++=he
should ^md+nec+++=should
look ^vb++++=look
at ^rb++++=at
me ^pp1o+pp1+++=me
and ^cc++++=and
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
" ^zz++++="Miss
miss ^npt++++=EXTRAWORD
Dement ^np++++=Dement,
, ^zz++++=EXTRAWORD
where ^wrb+who+whq++=where
were ^vbd+bed+vrb++=were
you ^pp2+pp2+++=you
born ^vbd+++xvbn+=born?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
should ^md+nec+++=should
I ^pp1a+pp1+++=I
answer ^nn++++=answer?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
were ^vbd+bed+aux++=were
born ^vpsv++agls+xvbnx+=born
in ^in++++=in
a ^at++++=a
brick ^nn++++=brick
house ^nn++++=house
with ^in++++=with
a ^at++++=a
brass ^nn++++=brass
knocker ^jjr++++=knocker
and ^cc++++=and
had ^vb+hv+vrb++=had
a ^at++++=a
nurse ^nn++++=nurse
who ^whp+rel+obj++=who
pronounced ^jj+++xvbn+=pronounced
her ^pp3o+pp3+++=her
h ^zz++++=h's,
's, ^nn+++??+=EXTRAWORD
cannot ^md+pos+not++=cannot
understand ^vb+vprv+++=understand.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
Redhorse ^np+++??+=Redhorse,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
also ^rb++++=also
the ^ati++++=the
*idea* ^nn+++??+=*idea*
of ^in++++=of
Redhorse ^np+++??+=Redhorse
the ^ati++++=the
red ^jj+atrb+++=red
dust ^nn++++=dust,
, ^zz++++=EXTRAWORD
the ^ati++++=the
tin ^nn++++=tin
roofs ^nns++++=roofs,
, ^zz++++=EXTRAWORD
the ^ati++++=the
mules ^nns++++=mules,
, ^zz++++=EXTRAWORD
the ^ati++++=the
men ^nns++++=men
shooting ^vwbg+++xvbg+=shooting
at ^rb++++=at
bottles ^nns++++=bottles
behind ^in+pl+++=behind
the ^ati++++=the
hotel ^nn++++=hotel,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Mother ^nn++++=Mother
taking ^vwbg+++xvbg+=taking
in ^in++++=in
washing ^xvbg+++xvbg+=washing
until ^cs+sub+++=until
Father ^np++++=Father's
's ^$++++=EXTRAWORD
claim ^nn++++=claim
began ^vbd+++xvbn+=began
to ^to++++=to
pay ^vbi++++=pay.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
not ^xnot++not++=not
ashamed ^jj++++=ashamed
of ^in++++=of
Mother ^nn++++=Mother.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
not ^xnot++not++=not!
! ^zz++++=EXTRAWORD
But ^cc+cls+++=But
society ^nn++++=society
makes ^vbz++++=makes
such ^abl++++=such
exquisite ^nn++++=exquisite
distinctions ^nns+nom+++=distinctions.
. ^zz++++=EXTRAWORD
Poverty ^nn++++=Poverty
at ^in++++=at
a ^at++++=a
distance ^nn+nom+++=distance
is ^vbz+bez+vrb++=is
picturesque ^jj+pred+++=picturesque;
; ^zz++++=EXTRAWORD
poverty ^nn++++=poverty
remembered ^vwbn+vprv++xvbn+=remembered
by ^in++++=by
people ^nns++++=people
who ^whp+rel+subj++=who
can ^md+pos+++=can
tell ^vb++++=tell
anecdotes ^nns++++=anecdotes
is ^vbz+bez+vrb++=is
dynamite ^nn++++=dynamite.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
people ^nns++++=people
who ^whp+rel+subj++=who
remember ^nn+nom+++=remember.
. ^zz++++=EXTRAWORD
Jack ^np++++=Jack
remembers ^nns+nom+++=remembers
everything ^pn++++=everything.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
recalls ^vbz++++=recalls
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
wore ^vbd+++xvbnx+=wore
two ^cd++++=two
flour ^nn++++=flour-sacks
- ^zz++++=EXTRAWORD
sacks ^nns++++=EXTRAWORD
sewed ^vbd+++xvbn+=sewed
together ^nn+nom+++=together
and ^cc++++=and
a ^at++++=a
sunbonnet ^nn+++??+=sunbonnet
large ^jj++++=large
enough ^dt++++=enough
to ^in++++=to
shelter ^nn++++=shelter
a ^at++++=a
family ^nn++++=family.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
recalls ^vbz++++=recalls
the ^ati++++=the
freckles ^nns+++??+=freckles.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
recalls ^vbz++++=recalls
my ^pp$+pp1+++=my
nickname ^nn++++=nickname.
. ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
not ^xnot++not++=not
write ^vb++++=write
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
At ^in++++=At
Redhorse ^np+++??+=Redhorse
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
three ^cd++++=three
of ^in++++=of
us ^pp1o+pp1+++=us:
: ^zz++++=EXTRAWORD
Jack ^np++++=Jack,
, ^zz++++=EXTRAWORD
a ^at++++=a
long ^jj++++=long-legged
- ^zz++++=EXTRAWORD
legged ^jj+atrb++xvbn+=EXTRAWORD
imp ^nn++++=imp
called ^vbd+++xvbn+=called
Giggles ^np+++??+=Giggles
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
never ^rb++++=never
smiled ^vbd+++xvbn+=smiled;
; ^zz++++=EXTRAWORD
a ^at++++=a
ragged ^jj+atrb+++=ragged
little ^jj+atrb+++=little
boy ^nn++++=boy
called ^vbd+++xvbn+=called
Dumps ^np+++??+=Dumps
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
lived ^vbd+++xvbnx+=lived
near ^in+pl+++=near
the ^ati++++=the
ore ^nn++++=ore-dump;
- ^zz++++=EXTRAWORD
dump ^nn++++=EXTRAWORD
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
myself ^ppl+pp1+++=myself.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
formed ^vbd+++xvbn+=formed
a ^at++++=a
secret ^jj+atrb+++=secret
society ^nn++++=society,
, ^zz++++=EXTRAWORD
robbed ^jj+atrb++xvbn+=robbed
Chinese ^jj+atrb+++=Chinese
plum ^nn++++=plum-trees,
- ^zz++++=EXTRAWORD
trees ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
prospected ^j+++xvbn+=prospected
for ^in++++=for
gold ^nn++++=gold
with ^in++++=with
a ^at++++=a
kitchen ^nn++++=kitchen
spoon ^nn++++=spoon,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
swore ^vbd+vpub++xvbn+=swore
eternal ^jj+atrb+++=eternal
fidelity ^nn+nom+++=fidelity
over ^in++++=over
a ^at++++=a
deceased ^jj+atrb+++=deceased
horned ^jj+atrb++xvbn+=horned
toad ^nn+++??+=toad.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
president ^npt++++=president
because ^cs+cos+++=because
I ^pp1a+pp1+++=I
could ^md+pos+++=could
lick ^vb++++=lick
both ^abx++++=both
boys ^nns++++=boys.
. ^zz++++=EXTRAWORD
Dumps ^np+++??+=Dumps
was ^vbd+bedz+vrb++=was
a ^at++++=a
thin ^jj++++=thin,
, ^zz++++=EXTRAWORD
black ^jj++++=black-eyed
- ^zz++++=EXTRAWORD
eyed ^vbd+++xvbn+=EXTRAWORD
child ^nn++++=child
with ^in++++=with
one ^cd1++++=one
suspender ^jjr+atrb+++=suspender
and ^cc+phrs+++=and
astonishing ^jj+atrb+++=astonishing
pride ^nn++++=pride.
. ^zz++++=EXTRAWORD
