You ^pp2+pp2+++=You
lived ^vbd+++xvbn+=lived
a ^rb++++=a
little ^rb"++++=little
gray ^np++++=gray
nightingale ^np++++=nightingale.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
handsome ^jj++++=handsome.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
feathers ^nns+nom+++=feathers
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
flash ^nn++++=flash
like ^in++++=like
emeralds ^nns+++??+=emeralds;
; ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
tail ^nn++++=tail
had ^vb+hv+vrb++=had
no ^at++++=no
golden ^jj+atrb+++=golden
eyes ^nns++++=eyes;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
silver ^nn++++=silver
bell ^nn++++=bell
announced ^vbd+vpub++xvbn+=announced
her ^pp$+pp3+++=her
presence ^nn+nom+++=presence.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
when ^wrb+who+++=when
evening ^nn++++=evening
came ^vbd+++xvbn+=came
and ^cc++++=and
the ^ati++++=the
moon ^np++++=moon
rested ^vbd+++xvbn+=rested
upon ^in++++=upon
the ^ati++++=the
sea ^nn++++=sea,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
sang ^vbd+++xvbnx+=sang
so ^pn++++=so
beautifully ^rb++++=beautifully
that ^cs+sub+++=that
fishermen ^vbz++++=fishermen
paused ^vbd+++xvbn+=paused
with ^in++++=with
their ^pp$+pp3+++=their
nets ^nns++++=nets
in ^in++++=in
their ^pp$+pp3+++=their
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
" ^zz++++="Ah,"
ah ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="that
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
lovely ^jj+pred+++=lovely!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
they ^pp3a+pp3+++=they
remembered ^vbd+vprv++xvbnx+=remembered
the ^ati++++=the
fish ^nn++++=fish
and ^cc++++=and
went ^vpsv++agls+xvbn+=went
on ^in++++=on
working ^xvbg+++xvbg+=working;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
on ^in++++=on
the ^ati++++=the
next ^ap++++=next
evening ^nn++++=evening,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
nightingale ^nn++++=nightingale
sang ^vbd+++xvbn+=sang
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
forgot ^vbd+vprv++xvbnx+=forgot
the ^ati++++=the
fish ^nns++++=fish
once ^rb+tm+++=once
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
Travelers ^nns+nom++??+=Travelers
came ^vbd+++xvbn+=came
from ^in+ppvb+++=from
every ^at++++=every
country ^nn++++=country
to ^to++++=to
see ^vbi+vprv+++=see
the ^ati++++=the
imperial ^jj+atrb+++=imperial
city ^nn++++=city.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
admired ^vbd+++xvbnx+=admired
the ^ati++++=the
porcelain ^nn++++=porcelain
palace ^nn++++=palace,
, ^zz++++=EXTRAWORD
the ^ati++++=the
gardens ^nns++++=gardens,
, ^zz++++=EXTRAWORD
the ^ati++++=the
bridges ^nns++++=bridges,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
flowers ^nns+nom+++=flowers
with ^in++++=with
bells ^nns++++=bells;
; ^zz++++=EXTRAWORD
yet ^rb++++=yet
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
heard ^vbd+vprv++xvbnx+=heard
the ^ati++++=the
nightingale ^nn++++=nightingale,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
best ^jjt+pred+++=best
of ^in++++=of
all ^abn++++=all."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
they ^pp3a+pp3+++=they
wrote ^vbd+vprv+tht0+xvbnx+=wrote
it ^pp3+it+++=it
in ^in++++=in
books ^nns++++=books.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
day ^nn++++=day
the ^ati++++=the
Emperor ^nn++++=Emperor
sat ^vbd+++xvbn+=sat
in ^in++++=in
his ^pp$+pp3+++=his
library ^npl+nom+++=library
reading ^vwbg+++xvbg+=reading
a ^at++++=a
large ^jj+atrb+++=large
foreign ^jj+atrb+++=foreign
volume ^nn++++=volume
bound ^vwbn+++xvbn+=bound
in ^in++++=in
green ^nn++++=green
leather ^nn++++=leather.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
described ^vbd+++xvbn+=described
all ^abn++++=all
the ^ati++++=the
wonders ^nns+nom+++=wonders
of ^in++++=of
his ^pp$+pp3+++=his
empire ^nn++++=empire.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
porcelain ^nn++++=porcelain
palace ^nn++++=palace,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
read ^vbd+vprv++xvbnx+=read,
, ^zz++++=EXTRAWORD
" ^zz++++="is
is ^vbz+bez+vrb++=EXTRAWORD
beyond ^in++++=beyond
comparison ^nn++++=comparison.
. ^zz++++=EXTRAWORD
The ^ati++++=The
imperial ^jj+atrb+++=imperial
gardens ^nns++++=gardens
exceed ^vb++++=exceed
imagination ^nn+nom+++=imagination.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
nightingale ^nn++++=nightingale
is ^vbz+bez+vrb++=is
the ^ati++++=the
greatest ^nn++++=greatest
wonder ^vb++++=wonder
in ^in++++=in
all ^abn++++=all
China ^np++++=China."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
nightingale ^nn++++=nightingale?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
Emperor ^nn++++=Emperor.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
know ^vb+vprv+tht0++=know
nothing ^pn++++=nothing
of ^in++++=of
any ^dti++++=any
nightingale ^nn++++=nightingale."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
rang ^vbd+++xvbnx+=rang
a ^at++++=a
golden ^jj+atrb+++=golden
handbell ^nn+++??+=handbell.
. ^zz++++=EXTRAWORD
At ^rb++++=At
once ^rb"+tm+++=once
there ^ex+pex+++=there
entered ^vprf+++xvbn+=entered
the ^ati++++=the
First ^od++++=First
Lord ^npt++++=Lord-in-Waiting,
- ^zz++++=EXTRAWORD
in ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
waiting ^vbg+++xvbg+=EXTRAWORD
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
so ^ql++++=so
grand ^np++++=grand
that ^tht+rel+++=that
when ^wrb+who+++=when
anyone ^pn++++=anyone
below ^rb++++=below
his ^pp$+pp3+++=his
rank ^nn++++=rank
spoke ^vbd+++xvbn+=spoke
to ^in++++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
answered ^vbd+vpub++xvbnx+=answered
only ^rb+cnj+++=only,
, ^zz++++=EXTRAWORD
" ^zz++++="Pooh!"
pooh ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
considered ^vbd+vprv++xvbn+=considered
that ^tht+vcmp+++=that
sufficient ^jj++++=sufficient.
. ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
is ^vbz+bez+aux++=is
said ^vpsv++agls+xvbnx+=said
to ^to+vcmp+++=to
be ^vbi++vrb++=be
a ^at++++=a
most ^ql+emph+++=most
remarkable ^jj+atrb+++=remarkable
bird ^nn++++=bird
in ^in++++=in
our ^pp$+pp1+++=our
empire ^nn++++=empire,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
Emperor ^nn++++=Emperor.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+aux++=is
called ^vpsv++agls+xvbnx+=called
the ^ati++++=the
nightingale ^nn++++=nightingale,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
foreigners ^nns+nom+++=foreigners
declare ^vb+vpub+++=declare
it ^pp3+it+++=it
the ^ati++++=the
finest ^jjt+atrb+++=finest
thing ^nn++++=thing
I ^pp1a+pp1+++=I
possess ^nns+nom+++=possess.
. ^zz++++=EXTRAWORD
Why ^wrb+who+whq++=Why
have ^vb+hv+vrb++=have
I ^pp1a+pp1+++=I
never ^rb++++=never
been ^vprf+ben+aux+xvbn+=been
informed ^vpsv++agls+xvbnx+=informed?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
never ^rb++splt++=never
heard ^vprf++tht0+xvbnx+=heard
the ^ati++++=the
creature ^nn++++=creature
mentioned ^vbd+vpub++xvbn+=mentioned,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
lord ^npt++++=lord-in-waiting.
- ^zz++++=EXTRAWORD
in ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
waiting ^vbg+++xvbg+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
has ^vbz+hvz+aux++=has
certainly ^rb++++=certainly
not ^xnot++not++=not
been ^vprf+ben+aux+xvbn+=been
presented ^vpsv++agls+xvbnx+=presented
at ^rb++++=at
court ^nn++++=court."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
command ^nn++++=command
it ^pp3+it+++=it
to ^to++++=to
sing ^vbi++++=sing
before ^in++++=before
me ^pp1o+pp1+++=me
this ^dt+dem+++=this
evening ^nn++++=evening,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
Emperor ^nn++++=Emperor.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
whole ^jj+atrb+++=whole
world ^nn++++=world
knows ^vbz+vprv+++=knows
what ^wdt+who+whcl++=what
I ^pp1a+pp1+++=I
possess ^nns+nom+++=possess,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
not ^xnot++not++=not
know ^vb+vprv+++=know
it ^pp3+it+++=it
myself ^ppl+pp1+++=myself!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Pooh!"
pooh ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
lord ^npt++++=lord-in-waiting;
- ^zz++++=EXTRAWORD
in ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
waiting ^vbg+++xvbg+=EXTRAWORD
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
bowed ^vbd+++xvbnx+=bowed
so ^pn+emph+++=so
low ^jj++++=low
that ^cs+sub+++=that
three ^cd++++=three
decorations ^nns+nom+++=decorations
struck ^vbd+++xvbn+=struck
the ^ati++++=the
floor ^nn++++=floor.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
hurried ^vbd+++xvbnx+=hurried
through ^in++++=through
the ^ati++++=the
palace ^nn++++=palace,
, ^zz++++=EXTRAWORD
asking ^vbg+vsua++xvbg+=asking
every ^at++++=every
nobleman ^nn+nom+++=nobleman
and ^cc++++=and
official ^jj++++=official
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew
the ^ati++++=the
nightingale ^nn++++=nightingale.
. ^zz++++=EXTRAWORD
No ^at++++=No
one ^cd1++++=one
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
must ^md+nec+++=must
be ^vb+be+aux++=be
a ^at++++=a
newly ^rb++++=newly
invented ^vbd+++xvbn+=invented
title ^nn++++=title,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
Keeper ^nn++++=Keeper
of ^in++++=of
Imperial ^jj+atrb+++=Imperial
Umbrellas ^nns++++=Umbrellas.
. ^zz++++=EXTRAWORD
" ^zz++++="Perhaps
perhaps ^rb++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
a ^at++++=a
kind ^rb++++=kind
of ^rb"++++=of
jewel ^nn++++=jewel,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
suggested ^vbd+vpub++xvbn+=suggested
the ^ati++++=the
Third ^nn++++=Third
Assistant ^nn+nom+++=Assistant
Examiner ^nn+nom+++=Examiner
of ^in++++=of
Ceremonial ^jj+atrb+++=Ceremonial
Fans ^nns++++=Fans.
. ^zz++++=EXTRAWORD
" ^zz++++="Possibly
possibly ^rb++++=EXTRAWORD
a ^at++++=a
large ^jj+atrb+++=large
green ^jj+atrb+++=green
bird ^nn++++=bird
with ^in++++=with
a ^at++++=a
scarlet ^jj+atrb+++=scarlet
beard ^nn++++=beard,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
court ^nn++++=court
painter ^nn++++=painter,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vb+hv+aux++=had
never ^rb++splt++=never
seen ^vprf+++xvbnx+=seen
one ^cd1++++=one
but ^cc++++=but
was ^vbd+bedz+vrb++=was
ready ^jj+pred+++=ready
to ^to+jcmp+++=to
paint ^vbi++++=paint
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last
the ^ati++++=the
lord ^npt++++=lord-in-waiting
- ^zz++++=EXTRAWORD
in ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
waiting ^xvbg+++xvbg+=EXTRAWORD
returned ^vprf+++xvbn+=returned.
. ^zz++++=EXTRAWORD
" ^zz++++="Your
your ^pp$+pp2+++=EXTRAWORD
Imperial ^jj+atrb+++=Imperial
Majesty ^nn++++=Majesty,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="the
the ^ati++++=EXTRAWORD
bird ^nn++++=bird
appears ^vbz+seem+++=appears
not ^xnot++not++=not
to ^to++++=to
exist ^vbi++++=exist.
. ^zz++++=EXTRAWORD
Foreign ^jj+atrb+++=Foreign
authors ^nns++++=authors
are ^vb+ber+vrb++=are
often ^rb++++=often
imaginative ^jj+pred+++=imaginative."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
the ^ati++++=the
book ^nn++++=book
was ^vbd+bedz+aux++=was
sent ^vpsv++agls+xvbnx+=sent
me ^pp1o+pp1+++=me
by ^in++++=by
the ^ati++++=the
Emperor ^nn++++=Emperor
of ^in++++=of
Japan ^np++++=Japan,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
the ^ati++++=the
Emperor ^nn++++=Emperor,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc+cls+++=EXTRAWORD
therefore ^rb+cnj+++=therefore
it ^pp3+it+++=it
must ^md+nec+++=must
be ^vb+be+vrb++=be
true ^jj+pred+++=true.
. ^zz++++=EXTRAWORD
The ^ati++++=The
nightingale ^nn++++=nightingale
shall ^md+prd+++=shall
be ^vb+be+vrb++=be
here ^rn+pl+++=here
tonight ^nr+tm+++=tonight.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
every ^at++++=every
person ^nn++++=person
at ^rb++++=at
court ^nn++++=court
shall ^md+prd+++=shall
be ^vb+be+aux++=be
tapped ^vpsv++agls+xvbnx+=tapped
upon ^in++++=upon
the ^ati++++=the
stomach ^nn++++=stomach
after ^in++++=after
supper ^nn++++=supper."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
a ^at++++=a
terrible ^jj+atrb+++=terrible
punishment ^nn+nom+++=punishment,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
after ^in++++=after
supper ^nn++++=supper.
. ^zz++++=EXTRAWORD
The ^ati++++=The
whole ^jj+atrb+++=whole
court ^nn++++=court
rushed ^vbd+++xvbn+=rushed
about ^in++++=about
crying ^xvbg+++xvbg+=crying,
, ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
nightingale ^nn++++=nightingale!
! ^zz++++=EXTRAWORD
The ^ati++++=The
nightingale ^nn++++=nightingale!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Staircases ^nns++++=Staircases
trembled ^vbd+++xvbn+=trembled
beneath ^in+pl+++=beneath
embroidered ^vwbn+++xvbn+=embroidered
slippers ^nns+nom+++=slippers.
. ^zz++++=EXTRAWORD
Messengers ^nns+nom+++=Messengers
questioned ^vbd+vpub++xvbn+=questioned
gardeners ^nns+nom+++=gardeners,
, ^zz++++=EXTRAWORD
soldiers ^nns+nom+++=soldiers,
, ^zz++++=EXTRAWORD
scholars ^nns++++=scholars,
, ^zz++++=EXTRAWORD
lamp ^nn++++=lamp-lighters,
- ^zz++++=EXTRAWORD
lighters ^nns+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
boatmen ^j+++xvbn+=boatmen,
, ^zz++++=EXTRAWORD
cooks ^nns++++=cooks,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
finally ^rb++++=finally
a ^at++++=a
poor ^jj+atrb+++=poor
little ^jj+atrb+++=little
girl ^nn++++=girl
who ^whp+rel+subj++=who
worked ^vbd+++xvbn+=worked
in ^in++++=in
the ^ati++++=the
imperial ^jj+atrb+++=imperial
kitchen ^nn++++=kitchen.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
heard ^vprf+++xvbnx+=heard
the ^ati++++=the
commotion ^nn+nom+++=commotion
while ^cs+sub+++=while
carrying ^vbg+++xvbg+=carrying
a ^at++++=a
basket ^nn++++=basket
of ^in++++=of
scraps ^nns++++=scraps
to ^in++++=to
her ^pp$+pp3+++=her
sick ^jj+atrb+++=sick
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
lived ^vbd+++xvbn+=lived
near ^in+pl+++=near
the ^ati++++=the
sea ^nn++++=sea.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
the ^ati++++=the
nightingale ^nn++++=nightingale,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
beautifully ^rb++++=beautifully
she ^pp3a+pp3+++=she
sings ^vbz++++=sings!
! ^zz++++=EXTRAWORD
Every ^at++++=Every
evening ^nn++++=evening,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
take ^vb++++=take
food ^nn++++=food
home ^nr++++=home,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
sit ^vb++++=sit
in ^in++++=in
the ^ati++++=the
