# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I.
in ^in++++=in
a ^at++++=a
silver ^nn++++=silver
plate ^nn++++=plate.
. ^zz++++=EXTRAWORD
The ^ati++++=The
lieutenant ^npt+nom+++=lieutenant
observed ^vbd+vprv++xvbn+=observed
this ^dt+dem+++=this
with ^in++++=with
the ^ati++++=the
exact ^jj+atrb+++=exact
but ^cc+phrs+++=but
unprofitable ^jj+atrb+++=unprofitable
attention ^nn+nom+++=attention
sometimes ^rb++++=sometimes
produced ^vpsv++by+xvbn+=produced
by ^in++++=by
a ^at++++=a
blow ^nn++++=blow
upon ^in++++=upon
the ^ati++++=the
skull ^nn++++=skull.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
memory ^nn++++=memory
returned ^vbd+++xvbn+=returned
with ^in++++=with
military ^jj+atrb+++=military
promptitude ^nn+++??+=promptitude.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
regiment ^nn+nom+++=regiment
had ^vbd+hvd+aux++=had
advanced ^vprf+++xvbnx+=advanced
through ^in++++=through
the ^ati++++=the
cedar ^nn++++=cedar
brake ^nn++++=brake
in ^in++++=in
line ^nn++++=line
of ^in++++=of
battle ^nn++++=battle.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
confusion ^nn++++=confusion
of ^in++++=of
commands ^nns++++=commands,
, ^zz++++=EXTRAWORD
the ^ati++++=the
metallic ^nn++++=metallic
shriek ^vb++++=shriek
of ^in++++=of
projectiles ^nns+++??+=projectiles
among ^in++++=among
the ^ati++++=the
trees ^nns++++=trees,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
somewhere ^rb++++=somewhere
to ^in++++=to
the ^ati++++=the
right ^nn++++=right
the ^ati++++=the
rapid ^jj+atrb+++=rapid
discharge ^nn++++=discharge
of ^in++++=of
a ^at++++=a
battery ^nn+nom+++=battery.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
remembered ^vbd+vprv++xvbnx+=remembered
seeing ^vbg+vprv++xvbg+=seeing
a ^at++++=a
cannoneer ^nn+nom+++=cannoneer
leap ^nn++++=leap
upon ^in++++=upon
a ^at++++=a
caisson ^nn+++??+=caisson,
, ^zz++++=EXTRAWORD
swing ^vb++++=swing
his ^pp$+pp3+++=his
cap ^nn++++=cap,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fall ^nn++++=fall
backward ^jj++++=backward
without ^in++++=without
completing ^xvbg+++xvbg+=completing
the ^ati++++=the
gesture ^nn++++=gesture.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
came ^vbd+++xvbn+=came
a ^at++++=a
flash ^nn++++=flash
immediately ^rb+tm+++=immediately
before ^in++++=before
his ^pp$+pp3+++=his
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
an ^at++++=an
intolerable ^jj+atrb+++=intolerable
concussion ^nn++++=concussion,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
darkness ^nns+nom+++=darkness.
. ^zz++++=EXTRAWORD
Wren ^nn++++=Wren
raised ^vbd+++xvbn+=raised
a ^at++++=a
hand ^nn++++=hand
to ^in++++=to
his ^pp$+pp3+++=his
head ^nn++++=head.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
found ^vbd+vprv++xvbnx+=found
neither ^dt++neg++=neither
bandage ^nn+nom+++=bandage
nor ^cc++neg++=nor
wound ^nn+++xvbn+=wound;
; ^zz++++=EXTRAWORD
the ^ati++++=the
hair ^nn++++=hair
beneath ^in+pl+++=beneath
his ^pp$+pp3+++=his
fingers ^nns+nom+++=fingers
seemed ^vbd+seem++xvbn+=seemed
singularly ^rb++++=singularly
coarse ^jj++++=coarse
and ^cc+phrs+++=and
scant ^jj++++=scant,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
this ^dt+dem+++=this
circumstance ^nn+nom+++=circumstance
he ^pp3a+pp3+++=he
referred ^vbd+++xvbnx+=referred
to ^in++++=to
blood ^nn++++=blood,
, ^zz++++=EXTRAWORD
dust ^nn++++=dust,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
some ^dti++++=some
other ^ap++++=other
ordinary ^jj+atrb+++=ordinary
contamination ^nn+nom+++=contamination
of ^in++++=of
war ^nn++++=war.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
lowered ^vbd+++xvbnx+=lowered
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
passed ^j+++xvbn+=passed
through ^in++++=through
a ^at++++=a
bar ^nn++++=bar
of ^in++++=of
moonlight ^nn++++=moonlight.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
stared ^vbd+++xvbnx+=stared
at ^rb++++=at
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
appeared ^vbd+seem++xvbn+=appeared
narrow ^jj++++=narrow,
, ^zz++++=EXTRAWORD
brown ^jj++++=brown
and ^cc++++=and
deeply ^rb++++=deeply
lined ^jj+++xvbn+=lined.
. ^zz++++=EXTRAWORD
" ^zz++++="Fever,"
fever ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
aloud ^rb++++=aloud.
. ^zz++++=EXTRAWORD
The ^ati++++=The
voice ^nn++++=voice
startled ^vbd+++xvbn+=startled
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
low ^jj+pred+++=low,
, ^zz++++=EXTRAWORD
uncertain ^jj++++=uncertain,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vb+hv+vrb++=had
in ^in++++=in
it ^pp3+it+++=it
a ^at++++=a
dry ^jj+atrb+++=dry
vibration ^nn+nom+++=vibration
resembling ^vwbg+++xvbg+=resembling
the ^ati++++=the
voice ^nn++++=voice
of ^in++++=of
an ^at++++=an
elderly ^jj+atrb+++=elderly
man ^nn++++=man
speaking ^vwbg+++xvbg+=speaking
in ^in++++=in
an ^at++++=an
adjoining ^jj+atrb++xvbg+=adjoining
room ^nn++++=room.
. ^zz++++=EXTRAWORD
The ^ati++++=The
hero ^nn++++=hero
of ^in++++=of
this ^dt+dem+++=this
tale ^nn++++=tale,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
twenty ^cd++++=twenty-three
- ^zz++++=EXTRAWORD
three ^cd++++=EXTRAWORD
years ^nns++++=years
of ^in++++=of
age ^nn++++=age
and ^cc++++=and
of ^in++++=of
sound ^nn++++=sound
constitution ^nn+nom+++=constitution,
, ^zz++++=EXTRAWORD
naturally ^rb++++=naturally
attributed ^vbd+++xvbn+=attributed
the ^ati++++=the
phenomenon ^nn++++=phenomenon
to ^in++++=to
acoustic ^jj+atrb+++=acoustic
conditions ^nns+nom+++=conditions
among ^in++++=among
the ^ati++++=the
cedars ^nns+++??+=cedars.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
sat ^vbd+++xvbnx+=sat
up ^rp++++=up.
. ^zz++++=EXTRAWORD
Beyond ^in++++=Beyond
the ^ati++++=the
thicket ^nn++++=thicket
lay ^vbd+++xvbn+=lay
a ^at++++=a
cultivated ^jj+atrb++xvbn+=cultivated
field ^nn++++=field
crossed ^vwbn+++xvbn+=crossed
by ^in++++=by
a ^at++++=a
road ^nn++++=road,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
beyond ^in++++=beyond
the ^ati++++=the
field ^nn++++=field
the ^ati++++=the
low ^jj+atrb+++=low
undulations ^nns+nom+++=undulations
of ^in++++=of
the ^ati++++=the
Stone ^np++++=Stone's
's ^$++++=EXTRAWORD
River ^nn++++=River
country ^nn++++=country
rose ^vbd+++xvbn+=rose
dimly ^rb++++=dimly
under ^in++++=under
mist ^nn++++=mist.
. ^zz++++=EXTRAWORD
Nothing ^pn++++=Nothing
in ^in++++=in
the ^ati++++=the
scene ^nn++++=scene
betrayed ^vbd+++xvbn+=betrayed
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
battle ^nn++++=battle.
. ^zz++++=EXTRAWORD
No ^at++++=No
musketry ^nn++++=musketry
sounded ^vbd+++xvbn+=sounded;
; ^zz++++=EXTRAWORD
no ^at++++=no
wounded ^jj+atrb++xvbn+=wounded
man ^nn++++=man
called ^vbd+++xvbn+=called
upon ^in++++=upon
God ^np++++=God,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
the ^ati++++=the
hospital ^nn+nom+++=hospital
corps ^nn++++=corps;
; ^zz++++=EXTRAWORD
no ^at++++=no
wheel ^vb++++=wheel
grated ^jj+++xvbn+=grated
in ^in++++=in
the ^ati++++=the
ruts ^nns++++=ruts.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
the ^ati++++=the
wind ^nn++++=wind
had ^vbd+hvd+aux++=had
abandoned ^vprf+++xvbnx+=abandoned
the ^ati++++=the
place ^nn++++=place.
. ^zz++++=EXTRAWORD
The ^ati++++=The
silence ^nn+nom+++=silence
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
peaceful ^jj++++=peaceful:
: ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
attentive ^jj+pred+++=attentive.
. ^zz++++=EXTRAWORD
Presently ^rb+cnj+++=Presently,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
southern ^jj+atrb+++=southern
extremity ^nn+nom+++=extremity
of ^in++++=of
the ^ati++++=the
road ^nn++++=road,
, ^zz++++=EXTRAWORD
something ^pn++++=something
moved ^vbd+++xvbn+=moved.
. ^zz++++=EXTRAWORD
A ^at++++=A
column ^nn++++=column
of ^in++++=of
infantry ^nn++++=infantry
came ^vbd+++xvbn+=came
out ^rb+phrv+++=out
of ^in+ppvb+++=of
the ^ati++++=the
obscurity ^nn+nom+++=obscurity
and ^cc++++=and
advanced ^jj+++xvbn+=advanced
northward ^jjb++++=northward.
. ^zz++++=EXTRAWORD
The ^ati++++=The
men ^nns++++=men
marched ^vwbn+++xvbn+=marched
by ^in++++=by
fours ^cds++++=fours,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
rifles ^nns++++=rifles
upon ^in++++=upon
the ^ati++++=the
shoulder ^nn+nom+++=shoulder,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
faces ^nns++++=faces
colourless ^jj++++=colourless
in ^in++++=in
the ^ati++++=the
moon ^nn++++=moon.
. ^zz++++=EXTRAWORD
At ^in++++=At
their ^pp$+pp3+++=their
head ^nn++++=head
rode ^vbd+++xvbn+=rode
an ^at++++=an
officer ^nn++++=officer
whose ^whp+rel+obj++=whose
sword ^nn++++=sword
hung ^vbd+++xvbn+=hung
rigidly ^rb++++=rigidly
downward ^jjb++++=downward,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
fastened ^vpsv++agls+xvbnx+=fastened
to ^in++++=to
his ^pp$+pp3+++=his
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
Behind ^in+pl+++=Behind
him ^pp3o+pp3+++=him
floated ^vbd+++xvbn+=floated
a ^at++++=a
flag ^nn++++=flag,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
wind ^nn++++=wind
to ^to++++=to
stir ^vbi++++=stir
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
folds ^nn++++=folds
maintained ^vbd+vpub++xvbn+=maintained
a ^at++++=a
slow ^jj+atrb+++=slow
undulation ^nn+nom+++=undulation
of ^in++++=of
their ^pp$+pp3+++=their
own ^ap++++=own,
, ^zz++++=EXTRAWORD
like ^in++++=like
weeds ^nns++++=weeds
beneath ^in+pl+++=beneath
invisible ^jj+atrb+++=invisible
water ^nn++++=water.
. ^zz++++=EXTRAWORD
Wren ^nn++++=Wren
rose ^vbd+++xvbn+=rose
with ^in++++=with
difficulty ^nn++++=difficulty
and ^cc++++=and
stepped ^vpsv++agls+xvbn+=stepped
to ^in++++=to
the ^ati++++=the
roadside ^nn++++=roadside.
. ^zz++++=EXTRAWORD
The ^ati++++=The
regiment ^nn+nom+++=regiment
passed ^vbd+++xvbn+=passed
within ^in++++=within
thirty ^cd++++=thirty
yards ^nns++++=yards
of ^in++++=of
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
distinguish ^vb++++=distinguish
straps ^nns++++=straps,
, ^zz++++=EXTRAWORD
cartridge ^nn++++=cartridge
boxes ^nns++++=boxes,
, ^zz++++=EXTRAWORD
rolled ^jj+atrb++xvbn+=rolled
blankets ^nns++++=blankets,
, ^zz++++=EXTRAWORD
even ^rb++++=even
the ^ati++++=the
dull ^jj+atrb+++=dull
buttons ^nns++++=buttons
upon ^in++++=upon
the ^ati++++=the
coats ^nns++++=coats.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
one ^cd1++++=one
footfall ^nn++++=footfall
was ^vbd+bedz+vrb++=was
audible ^jj+pred+++=audible.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cloth ^nn++++=cloth
of ^in++++=of
the ^ati++++=the
uniforms ^nns++++=uniforms
made ^vbd+++xvbn+=made
no ^at++++=no
whisper ^vb+vpub+++=whisper;
; ^zz++++=EXTRAWORD
the ^ati++++=the
steel ^nn++++=steel
gave ^vbd+++xvbn+=gave
no ^at++++=no
clink ^nn+++??+=clink.
. ^zz++++=EXTRAWORD
A ^at++++=A
horse ^nn++++=horse
moved ^vbd+++xvbn+=moved
past ^jjb++++=past,
, ^zz++++=EXTRAWORD
setting ^nvbg+++xvbg+=setting
each ^dt++++=each
hoof ^nn++++=hoof
upon ^in++++=upon
the ^ati++++=the
stony ^jj+atrb+++=stony
road ^nn++++=road
with ^in++++=with
mathematical ^jj+atrb+++=mathematical
precision ^nn++++=precision,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
earth ^nn++++=earth
denied ^vbd+vpub++xvbn+=denied
the ^ati++++=the
impact ^nn++++=impact.
. ^zz++++=EXTRAWORD
Wren ^nn++++=Wren
called ^vbd+++xvbn+=called:
: ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
command ^nn++++=command?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
No ^at++++=No
head ^nn++++=head
turned ^vbd+++xvbn+=turned.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
own ^ap++++=own
strange ^jj+atrb+++=strange
voice ^nn++++=voice
rang ^vbd+++xvbn+=rang
across ^in+pl+++=across
the ^ati++++=the
field ^nn++++=field
and ^cc++++=and
died ^vpsv++agls+xvbn+=died
among ^in++++=among
the ^ati++++=the
hills ^nns++++=hills.
. ^zz++++=EXTRAWORD
Another ^dt++++=Another
regiment ^nn+nom+++=regiment
followed ^vbd+vprv++xvbn+=followed;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
a ^at++++=a
battery ^nn+nom+++=battery,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
six ^cd++++=six
guns ^nns++++=guns
and ^cc++++=and
their ^pp$+pp3+++=their
limbers ^nns+nom+++=limbers
gliding ^vwbg+++xvbg+=gliding
forward ^rb++++=forward
without ^in++++=without
the ^ati++++=the
murmur ^nn++++=murmur
of ^in++++=of
axle ^nn++++=axle
or ^cc++++=or
chain ^nn++++=chain.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cannoneers ^nns+nom+++=cannoneers
sat ^vbd+++xvbn+=sat
erect ^jj++++=erect.
. ^zz++++=EXTRAWORD
Another ^dt++++=Another
regiment ^nn+nom+++=regiment
came ^vbd+++xvbn+=came,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
another ^dt++++=another
and ^cc++++=and
another ^dt++++=another
each ^ppls++++=each
issuing ^vbg+++xvbg+=issuing
from ^in++++=from
the ^ati++++=the
southern ^jj+atrb+++=southern
haze ^nn++++=haze,
, ^zz++++=EXTRAWORD
crossing ^vbg+++xvbg+=crossing
the ^ati++++=the
white ^nn++++=white
reach ^vb++++=reach
of ^in++++=of
road ^nn++++=road,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
entering ^vbg+++xvbg+=entering
the ^ati++++=the
obscurity ^nn+nom+++=obscurity
beyond ^in+strn+++=beyond.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
cavalrymen ^nns++++=cavalrymen
with ^in++++=with
drawn ^xvbn+++xvbn+=drawn
sabres ^nns++++=sabres;
; ^zz++++=EXTRAWORD
ambulances ^nns+nom+++=ambulances
whose ^whp+rel+obj++=whose
curtains ^nns++++=curtains
were ^vbd+bed+aux++=were
closely ^rb++splt++=closely
buttoned ^vpsv++agls+xvbnx+=buttoned;
; ^zz++++=EXTRAWORD
staff ^nn++++=staff
officers ^nns+nom+++=officers
riding ^vwbg+++xvbg+=riding
in ^in++++=in
groups ^nns++++=groups
and ^cc++++=and
seeming ^vbg+seem++xvbg+=seeming
to ^to+vcmp+++=to
confer ^vbi++++=confer,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
their ^pp$+pp3+++=their
lips ^nns++++=lips
made ^vbd+++xvbn+=made
no ^at++++=no
sound ^nn++++=sound.
. ^zz++++=EXTRAWORD
All ^abn++++=All
moved ^jj+++xvbn+=moved
northward ^jjb++++=northward
with ^in++++=with
a ^at++++=a
dreadful ^jj+atrb+++=dreadful
regularity ^nn+nom+++=regularity,
, ^zz++++=EXTRAWORD
neither ^dt++neg++=neither
hastening ^jj+++xvbg+=hastening
nor ^cc+phrs+neg++=nor
delaying ^jj+++xvbg+=delaying,
, ^zz++++=EXTRAWORD
an ^at++++=an
army ^nn++++=army
governed ^vwbn+++xvbn+=governed
by ^in++++=by
some ^dti++++=some
allocution ^nn+nom+++=allocution
unheard ^jj++++=unheard
by ^in++++=by
living ^xvbg+++xvbg+=living
ears ^nns++++=ears.
. ^zz++++=EXTRAWORD
The ^ati++++=The
lieutenant ^npt+nom+++=lieutenant
watched ^vbd+++xvbn+=watched
until ^cs+sub+++=until
the ^ati++++=the
moon ^nn++++=moon
sank ^vbd+++xvbn+=sank
and ^cc++++=and
a ^at++++=a
weak ^jj+atrb+++=weak
grey ^jj+atrb+++=grey
illumination ^nn+nom+++=illumination
spread ^vbd+++xvbn+=spread
over ^in++++=over
the ^ati++++=the
fields ^nns++++=fields.
. ^zz++++=EXTRAWORD
The ^ati++++=The
last ^jj+atrb+++=last
files ^nns++++=files
entered ^vbd+++xvbn+=entered
the ^ati++++=the
mist ^nn++++=mist.
. ^zz++++=EXTRAWORD
The ^ati++++=The
mist ^nn++++=mist
dissolved ^vwbn+++xvbn+=dissolved.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
no ^at++++=no
army ^nn++++=army.
. ^zz++++=EXTRAWORD
The ^ati++++=The
road ^nn++++=road
was ^vbd+bedz+vrb++=was
empty ^jj+pred+++=empty.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
conclusion ^nn++++=conclusion,
, ^zz++++=EXTRAWORD
though ^rb+cnj+++=though
erroneous ^jj++++=erroneous,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
soldierly ^jj+pred+++=soldierly:
: ^zz++++=EXTRAWORD
the ^ati++++=the
Union ^nn++++=Union
forces ^nns++++=forces
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
defeated ^vpsv++agls+xvbnx+=defeated
and ^cc++++=and
were ^vbd+bed+vrb++=were
retreating ^jj+atrb+++=retreating
north ^np+pl+++=north.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+aux++=had
somehow ^rb++splt++=somehow
lain ^vprf+++xvbn+=lain
insensible ^jj++++=insensible
while ^cs+sub+++=while
the ^ati++++=the
army ^nn++++=army
passed ^vbd+++xvbn+=passed.
. ^zz++++=EXTRAWORD
That ^tht+vcmp+++=That
no ^at++++=no
corps ^nn++++=corps
should ^md+nec+++=should
have ^vb+hv+aux++=have
discovered ^vprf++tht0+xvbnx+=discovered
him ^pp3o+pp3+++=him
was ^vbd+bedz+vrb++=was
remarkable ^jj+pred+++=remarkable;
; ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
an ^at++++=an
entire ^jjb+atrb+++=entire
army ^nn++++=army
should ^md+nec+++=should
march ^vb++++=march
without ^in++++=without
noise ^nn++++=noise
was ^vbd+bedz+vrb++=was
more ^ql++++=more
so ^ql++++=so;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
military ^jj+atrb+++=military
operations ^nns+nom+++=operations
are ^vb+ber+vrb++=are
full ^jj+pred+++=full
of ^in++++=of
irregularities ^nns+nom+++=irregularities,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
man ^nn++++=man
who ^whp+rel+subj++=who
has ^vbz+hvz+aux++=has
recently ^rb+tm+splt++=recently
received ^vprf+++xvbnx+=received
a ^at++++=a
bullet ^nn++++=bullet
upon ^in++++=upon
the ^ati++++=the
head ^nn++++=head
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
exacting ^jj++++=exacting
in ^in++++=in
his ^pp$+pp3+++=his
demand ^nn++++=demand
for ^in++++=for
explanations ^nns+nom+++=explanations.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
set ^vbd+++xvbnx+=set
out ^rb+phrv+++=out
in ^in++++=in
search ^in"++++=search
of ^in"++++=of
his ^pp$+pp3+++=his
command ^nn++++=command.
. ^zz++++=EXTRAWORD
# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Ii ^np+++??+=II.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=WHEN
One ^cd1++++=ONE
Has ^vbz+hvz+vrb++=HAS
Mislaid ^np+++??+=MISLAID
His ^pp$+pp3+++=HIS
Life ^nn++++=LIFE,
, ^zz++++=EXTRAWORD
A ^at++++=A
Physician ^nn++++=PHYSICIAN
May ^md+pos+++=MAY
Be ^vb+be+aux++=BE
Consulted ^vpsv++agls+xvbnx+=CONSULTED
Daylight ^nn++++=Daylight
found ^vbd+vprv++xvbn+=found
him ^pp3o+pp3+++=him
upon ^in++++=upon
a ^at++++=a
turnpike ^nn++++=turnpike
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
imperfectly ^rb++++=imperfectly
remembered ^vbd+vprv++xvbn+=remembered.
. ^zz++++=EXTRAWORD
The ^ati++++=The
country ^nn++++=country
had ^vbd+hvd+aux++=had
suffered ^vprf+++xvbnx+=suffered
changes ^nns++++=changes
that ^tht+rel+subj++=that
offended ^xvbn+++xvbn+=offended
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Fences ^nns++++=Fences
stood ^vbd+++xvbn+=stood
where ^wrb+who+++=where
no ^at++++=no
fences ^nns++++=fences
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been;
; ^zz++++=EXTRAWORD
trees ^nns++++=trees
of ^in++++=of
considerable ^jj+atrb+++=considerable
diameter ^nn+nom+++=diameter
occupied ^vbd+++xvbn+=occupied
ground ^nn++++=ground
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
yesterday ^nr+tm+++=yesterday,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
open ^jj++++=open;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
farmhouse ^nn++++=farmhouse,
, ^zz++++=EXTRAWORD
white ^jj++++=white
and ^cc+phrs+++=and
prosperous ^jj++++=prosperous,
, ^zz++++=EXTRAWORD
