**a ^nn+++??+=**A
Confusion ^nn++++=CONFUSION
, ^zz++++=EXTRAWORD
placed ^xvbn+++xvbn+=placed
there ^rn+pl+++=there
by ^in++++=by
John ^np++++=John
with ^in++++=with
a ^at++++=a
needle ^nn++++=needle
and ^cc++++=and
indigo ^nn+++??+=indigo.
. ^zz++++=EXTRAWORD
The ^ati++++=The
experiment ^nn+nom+++=experiment
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
repeated ^jj+++xvbn+=repeated.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
family ^nn++++=family
we ^pp1a+pp1+++=we
came ^vbd+++xvbn+=came
to ^to++++=to
be ^vbi+vbi+aux++=be
known ^vpsv++agls+xvbnx+=known
collectively ^jj++++=collectively
as ^in++++=as
" ^zz++++="Jehnry,"
jehnry ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
a ^at++++=a
name ^nn++++=name
compounded ^vwbn+++xvbn+=compounded
with ^in++++=with
more ^rbr++++=more
economy ^nn++++=economy
than ^in++++=than
elegance ^nn+nom+++=elegance.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
one ^pn++++=one
of ^in++++=of
us ^pp1o+pp1+++=us
were ^vbd+bed+aux++=were
wanted ^vpsv++agls+xvbnx+=wanted,
, ^zz++++=EXTRAWORD
both ^abx++++=both
were ^vbd+bed+aux++=were
summoned ^vpsv++agls+xvbnx+=summoned;
; ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
one ^cd1++++=one
offended ^xvbn+++xvbn+=offended,
, ^zz++++=EXTRAWORD
both ^abx++++=both
were ^vbd+bed+aux++=were
punished ^vpsv++agls+xvbnx+=punished,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
parents ^nns++++=parents
holding ^vwbg+++xvbg+=holding,
, ^zz++++=EXTRAWORD
with ^in++++=with
some ^dti++++=some
justice ^nn++++=justice,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
innocent ^jj+atrb+++=innocent
one ^cd1++++=one
had ^vb+hv+aux++=had
probably ^rb++splt++=probably
escaped ^vprf+++xvbnx+=escaped
correction ^nn+nom+++=correction
for ^in++++=for
an ^at++++=an
undiscovered ^jj+atrb++xvbn+=undiscovered
crime ^nn++++=crime.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
learned ^vbd+++xvbn+=learned
early ^jj++++=early
that ^dt+dem+++=that
identity ^nn+nom+++=identity
is ^vbz+bez+vrb++=is
less ^rbr++++=less
a ^at++++=a
possession ^nn++++=possession
than ^in++++=than
a ^at++++=a
convention ^nn+nom+++=convention.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
sometimes ^rb++splt++=sometimes
thought ^vprf+++xvbnx+=thought
that ^tht+vcmp+++=that
this ^dt+dem+++=this
lesson ^nn++++=lesson,
, ^zz++++=EXTRAWORD
received ^j+++xvbn+=received
in ^in++++=in
childhood ^nn+nom+++=childhood
as ^in++++=as
a ^at++++=a
jest ^nn++++=jest,
, ^zz++++=EXTRAWORD
prepared ^xvbn+++xvbn+=prepared
me ^pp1o+pp1+++=me
badly ^rb++++=badly
for ^in++++=for
the ^ati++++=the
darker ^jjr+atrb+++=darker
confusion ^nn++++=confusion
of ^in++++=of
later ^rbr+tm+++=later
years ^nns++++=years.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
tastes ^nns++++=tastes
and ^cc++++=and
tempers ^nns+nom+++=tempers
were ^vbd+bed+vrb++=were
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
identical ^jj++++=identical.
. ^zz++++=EXTRAWORD
John ^np++++=John
was ^vbd+bedz+vrb++=was
the ^ati++++=the
more ^rbr++++=more
social ^jj++++=social,
, ^zz++++=EXTRAWORD
candid ^jj++++=candid
and ^cc+phrs+++=and
hopeful ^jj++++=hopeful;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
reserved ^vpsv++agls+xvbnx+=reserved,
, ^zz++++=EXTRAWORD
inquisitive ^jj++++=inquisitive,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
perhaps ^rb++++=perhaps
unduly ^rb++++=unduly
pleased ^vpsv++by+xvbn+=pleased
by ^in++++=by
whatever ^nn+nom+++=whatever
resisted ^vbd+++xvbn+=resisted
explanation ^nn+nom+++=explanation.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
differences ^nns+nom+++=differences,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
inward ^jjb++++=inward,
, ^zz++++=EXTRAWORD
afforded ^j+++xvbn+=afforded
no ^at++++=no
assistance ^nn+nom+++=assistance
to ^to+vcmp+++=to
strangers ^nns+nom+++=strangers.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
our ^pp$+pp1+++=our
parents ^nns++++=parents
died ^vbd+++xvbn+=died
and ^cc++++=and
we ^pp1a+pp1+++=we
removed ^vbd+++xvbn+=removed
to ^in++++=to
California ^np++++=California,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
lived ^vbd+++xvbn+=lived
apart ^rp++++=apart
in ^in++++=in
San ^np++++=San
Francisco ^np++++=Francisco
and ^cc++++=and
followed ^vbd+vprv++xvbn+=followed
separate ^nn+nom+++=separate
employments ^nns+nom+++=employments
John ^np++++=John
in ^in++++=in
the ^ati++++=the
office ^nn++++=office
of ^in++++=of
an ^at++++=an
importer ^nn+nom+++=importer
near ^in+pl+++=near
the ^ati++++=the
water ^nn++++=water
front ^jjb++++=front,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
with ^in++++=with
a ^at++++=a
firm ^nn++++=firm
of ^in++++=of
attorneys ^nns++++=attorneys
in ^in++++=in
Montgomery ^np+nom+++=Montgomery
Street ^nn++++=Street.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
acquaintances ^nns+nom+++=acquaintances
were ^vbd+bed+vrb++=were
mostly ^rb++++=mostly
distinct ^jj+pred+++=distinct,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
each ^dt++++=each
was ^vbd+bedz+aux++=was
therefore ^rb+cnj+splt++=therefore
compelled ^vpsv++agls+xvbnx+=compelled
at ^rb++++=at
times ^nns++++=times
to ^in++++=to
answer ^nn++++=answer
courteously ^rb++++=courteously
to ^in++++=to
the ^ati++++=the
other's ^ap$++++=other's
name ^nn++++=name.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
wet ^jj+atrb+++=wet
afternoon ^nn++++=afternoon
in ^in++++=in
November ^nr+nom+++=November
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
crossing ^vbg+++xvbgx+=crossing
Market ^nn++++=Market
Street ^nn++++=Street
near ^in+pl+++=near
Kearney ^np+++??+=Kearney
when ^wrb+who+++=when
a ^at++++=a
gentleman ^nn+nom+++=gentleman
seized ^vbd+++xvbn+=seized
my ^pp$+pp1+++=my
hand ^nn++++=hand
and ^cc++++=and
said ^vbd+vpub++xvbn+=said:
: ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
dear ^jj+atrb+++=dear
John ^np++++=John,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
begun ^vprf+++xvbnx+=begun
to ^to++++=to
think ^vbi+vprv+tht0++=think
you ^pp2+pp2+++=you
avoided ^vbd+++xvbn+=avoided
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
man ^nn++++=man
of ^in++++=of
about ^in++++=about
sixty ^cd++++=sixty,
, ^zz++++=EXTRAWORD
strongly ^rb+amp+++=strongly
built ^vbd+++xvbn+=built,
, ^zz++++=EXTRAWORD
carefully ^rb++++=carefully
dressed ^vbd+++xvbn+=dressed
and ^cc+phrs+++=and
wearing ^vbg+++xvbg+=wearing
iron ^nn++++=iron-gray
- ^zz++++=EXTRAWORD
gray ^np++++=EXTRAWORD
whiskers ^nns+nom+++=whiskers.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
never ^rb++splt++=never
seen ^vprf+++xvbnx+=seen
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
before ^cs+sub+++=before
he ^pp3a+pp3+++=he
spoke ^vbd+++xvbnx+=spoke
again ^rb+tm+++=again
I ^pp1a+pp1+++=I
knew ^vbd+vprv+tht0+xvbnx+=knew
his ^pp$+pp3+++=his
name ^nn++++=name.
. ^zz++++=EXTRAWORD
" ^zz++++="Mr.
mr ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Margovan ^np+nom+++=Margovan,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
replied ^vbd+vpub++xvbnx+=replied,
, ^zz++++=EXTRAWORD
" ^zz++++="you
you ^pp2+pp2+++=EXTRAWORD
do ^vb+do+vrb++=do
me ^pp1o+pp1+++=me
too ^ql++++=too
much ^ap++++=much
honour ^nn++++=honour."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
name ^nn++++=name
escaped ^vbd+++xvbn+=escaped
me ^pp1o+pp1+++=me
without ^in++++=without
reflection ^nn+nom+++=reflection;
; ^zz++++=EXTRAWORD
indeed ^rb+cnj+++=indeed,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
less ^rbr++++=less
spoken ^vprf+++xvbn+=spoken
than ^in++++=than
remembered ^nn++++=remembered.
. ^zz++++=EXTRAWORD
The ^ati++++=The
stranger ^jjr+atrb+++=stranger's
's ^vbz+bez+aux++0=EXTRAWORD
face ^vb++++=face
cleared ^vbd+++xvbn+=cleared.
. ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
forgiven ^vprf+++xvbnx+=forgiven
my ^pp$+pp1+++=my
persistence ^nn+nom+++=persistence.
. ^zz++++=EXTRAWORD
Come ^vprf+++xvbn+=Come
to ^in++++=to
dinner ^nn++++=dinner
tomorrow ^nr+tm+++=tomorrow;
; ^zz++++=EXTRAWORD
Julia ^np++++=Julia
will ^md+prd+++=will
be ^vb+be+aux++=be
offended ^vpsv++agls+xvbnx+=offended
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
refuse ^vb++++=refuse
again ^rb+tm+++=again."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ought ^md+nec+++=ought,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
to ^in++++=to
have ^vbi+vbi+aux++=have
corrected ^vprf+++xvbnx+=corrected
his ^pp$+pp3+++=his
error ^nn++++=error.
. ^zz++++=EXTRAWORD
Instead ^rb+cnj+++=Instead,
, ^zz++++=EXTRAWORD
moved ^xvbn+++xvbn+=moved
by ^in++++=by
that ^dt+dem+++=that
spirit ^nn++++=spirit
of ^in++++=of
inquiry ^nn++++=inquiry
which ^whp+rel+subj++=which
has ^vbz+hvz+aux++=has
led ^vprf+++xvbnx+=led
better ^jjr+atrb+++=better
men ^nns++++=men
to ^in++++=to
worse ^jjr+atrb+++=worse
actions ^nns+nom+++=actions,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
accepted ^vbd+++xvbnx+=accepted.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
gave ^vbd+++xvbnx+=gave
me ^pp1o+pp1+++=me
his ^pp$+pp3+++=his
address ^nns+nom+++=address,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
I ^pp1a+pp1+++=I
already ^rb++++=already
knew ^vbd+vprv+tht0+xvbn+=knew
it ^pp3+it+++=it
or ^cc++++=or
thought ^nn+++xvbn+=thought
I ^pp1a+pp1+++=I
knew ^vbd+vprv+tht0+xvbnx+=knew
it ^pp3+it+++=it
the ^ati++++=the
number ^nn++++=number
and ^cc++++=and
street ^nn++++=street
standing ^vwbg+++xvbg+=standing
in ^in++++=in
my ^pp$+pp1+++=my
mind ^nn++++=mind
with ^in++++=with
the ^ati++++=the
distinctness ^nns+nom+++=distinctness
of ^in++++=of
a ^at++++=a
written ^jj+atrb++xvbn+=written
memorandum ^nn++++=memorandum.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
parted ^vbd+++xvbn+=parted,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
walked ^vbd+++xvbnx+=walked
home ^nr++++=home
in ^in++++=in
a ^at++++=a
state ^nn++++=state
not ^xnot++not++=not
so ^ql++++=so
much ^ap++++=much
of ^in++++=of
alarm ^nn++++=alarm
as ^in++++=as
of ^in"++++=of
intellectual ^jj+atrb+++=intellectual
irritation ^nn+nom+++=irritation.
. ^zz++++=EXTRAWORD
John ^np++++=John
came ^vbd+++xvbn+=came
to ^in++++=to
my ^pp$+pp1+++=my
rooms ^nns++++=rooms
that ^tht+rel+obj++=that
evening ^nn++++=evening.
. ^zz++++=EXTRAWORD
" ^zz++++="Henry,"
henry ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
before ^in++++=before
removing ^xvbg+++xvbg+=removing
his ^pp$+pp3+++=his
gloves ^nns++++=gloves,
, ^zz++++=EXTRAWORD
" ^zz++++="do
do ^vb+do+aux++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+tht0++=know
a ^at++++=a
man ^nn++++=man
named ^vbd+++xvbn+=named
Margovan ^np+nom++??+=Margovan?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
question ^nn+nom+++=question
affected ^vwbn+++xvbn+=affected
me ^pp1o+pp1+++=me
so ^rb++++=so
strangely ^rb++++=strangely
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
delayed ^vbd+++xvbnx+=delayed
my ^pp$+pp1+++=my
reply ^nn++++=reply.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
about ^md"++pmd"++=about
to ^md+prd+++=to
ask ^vb++++=ask
the ^ati++++=the
same ^ap++++=same
of ^in++++=of
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
laughed ^vbd+++xvbnx+=laughed.
. ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
one ^pn++++=one
of ^in++++=of
us ^pp1o+pp1+++=us
is ^vbz+bez+aux++=is
haunted ^vpsv++agls+xvbnx+=haunted.
. ^zz++++=EXTRAWORD
All ^abn++++=All
day ^nn++++=day
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
felt ^vprf+++xvbnx+=felt
an ^at++++=an
absurd ^jj+atrb+++=absurd
necessity ^nn+nom+++=necessity
to ^to++++=to
obtain ^vbi++++=obtain
his ^pp$+pp3+++=his
address ^nns+nom+++=address.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
not ^xnot++not++=not
know ^vb+vprv+++=know
why ^wrb+who+whcl++=why.
. ^zz++++=EXTRAWORD
The ^ati++++=The
name ^nn++++=name
occurred ^vbd+++xvbn+=occurred
to ^in++++=to
me ^pp1o+pp1+++=me
at ^in++++=at
breakfast ^nn++++=breakfast
and ^cc++++=and
has ^vbz+hvz+aux++=has
pursued ^vprf+++xvbnx+=pursued
me ^pp1o+pp1+++=me
like ^in++++=like
a ^at++++=a
creditor ^nn++++=creditor."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
gave ^vbd+++xvbnx+=gave
him ^pp3o+pp3+++=him
the ^ati++++=the
card ^nn++++=card
which ^whp+rel+obj++=which
the ^ati++++=the
stranger ^jjr++++=stranger
had ^vbd+hvd+aux++=had
pressed ^vprf+++xvbnx+=pressed
upon ^in++++=upon
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
John ^np++++=John
glanced ^vbd+++xvbn+=glanced
at ^in++++=at
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
became ^jj+atrb++xvbn+=became
pale ^nn++++=pale,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
laughed ^vbd+++xvbn+=laughed
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
less ^rbr++++=less
naturally ^rb++++=naturally.
. ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
address ^nns+nom+++=address,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+whq++=EXTRAWORD
can ^md+pos+++=can
you ^pp2+pp2+++=you
know ^vb+vprv+++=know?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
cannot ^md+pos+not++=cannot.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=do."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
discussed ^vbd+++xvbn+=discussed
the ^ati++++=the
matter ^nn++++=matter
at ^rb++++=at
some ^dti++++=some
length ^nn++++=length
and ^cc++++=and
reached ^vbd+++xvbn+=reached
those ^dt+dem+++=those
ingenious ^jj+atrb+++=ingenious
conclusions ^nns++++=conclusions
by ^in++++=by
which ^whp+rel+pied++=which
reasonable ^jj+atrb+++=reasonable
men ^nns++++=men
conceal ^vb++++=conceal
from ^in++++=from
themselves ^ppls+pp3+++=themselves
that ^cs+sub+++=that
they ^pp3a+pp3+++=they
have ^vb+hv+aux++=have
reached ^vprf+++xvbnx+=reached
none ^pn++++=none.
. ^zz++++=EXTRAWORD
John ^np++++=John
finally ^rb++++=finally
declared ^vprf+++xvbn+=declared
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
must ^md+nec+++=must
keep ^vb++++=keep
the ^ati++++=the
appointment ^nn+nom+++=appointment.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
made ^vpsv++agls+xvbnx+=made
with ^in++++=with
me ^pp1o+pp1+++=me,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+aux++=was
made ^vpsv++agls+xvbnx+=made
with ^in++++=with
my ^pp$+pp1+++=my
face ^nn++++=face
and ^cc++++=and
name ^nn++++=name."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+vrb++=are
welcome ^jj+pred+++=welcome
to ^to+jcmp+++=to
both ^abx++++=both.
. ^zz++++=EXTRAWORD
