# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Caught ^xvbn+++xvbn+=CAUGHT
comes ^vbz++++=comes
from ^in+ppvb+++=from
old ^jj+atrb+++=old
wallpaper ^nn+nom+++=wallpaper,
, ^zz++++=EXTRAWORD
gas ^nn++++=gas
fumes ^nns++++=fumes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
rubbing ^jj+++xvbg+=rubbing
of ^in++++=of
many ^ap++++=many
shoulders ^nns+nom+++=shoulders
against ^in++++=against
too ^ql++++=too
little ^ap++++=little
space ^nn++++=space.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
one ^cd1++++=one
window ^nn++++=window
looked ^vbd+++xvbn+=looked
upon ^in++++=upon
a ^at++++=a
shaft ^nn++++=shaft
containing ^vwbg+++xvbg+=containing
fire ^nn++++=fire
escapes ^vbz++++=escapes,
, ^zz++++=EXTRAWORD
clothes ^nns++++=clothes-lines,
- ^zz++++=EXTRAWORD
lines ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
windows ^nns++++=windows
of ^in++++=of
other ^ap++++=other
rooms ^nns++++=rooms
very ^ql+amp+++=very
like ^vb++++=like
itself ^ppl++++=itself.
. ^zz++++=EXTRAWORD
A ^at++++=A
strip ^nn++++=strip
of ^in++++=of
sky ^nn++++=sky
could ^md+pos+++=could
be ^vb+be+aux++=be
seen ^vpsv++by+xvbnx+=seen
by ^in++++=by
leaning ^xvbg+++xvbg+=leaning
out ^rp+pl+++=out
and ^cc++++=and
looking ^vbg+++xvbg+=looking
directly ^rb++++=directly
upward ^jjb++++=upward
a ^at++++=a
practice ^nn++++=practice
which ^whp+rel+obj++=which
the ^ati++++=the
landlady ^nn++++=landlady
discouraged ^vwbn+++xvbn+=discouraged,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
from ^in++++=from
anxiety ^nn++++=anxiety
for ^in++++=for
her ^pp$+pp3+++=her
lodgers ^nns+nom+++=lodgers'
' ^zz++++=EXTRAWORD
necks ^nns++++=necks,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
because ^cs+cos+++=because
the ^ati++++=the
sill ^nn++++=sill
was ^vbd+bedz+vrb++=was
loose ^jj+pred+++=loose.
. ^zz++++=EXTRAWORD
The ^ati++++=The
three ^cd++++=three
occupants ^nns+nom+++=occupants
were ^vbd+bed+vrb++=were
Blake ^np++++=Blake,
, ^zz++++=EXTRAWORD
an ^at++++=an
English ^jj+atrb+++=English
newspaper ^nn+nom+++=newspaper
man ^nn++++=man;
; ^zz++++=EXTRAWORD
Leroux ^np+++??+=Leroux,
, ^zz++++=EXTRAWORD
a ^at++++=a
French ^jj++++=French
lithographer ^jjr++++=lithographer;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Petersen ^np+++??+=Petersen,
, ^zz++++=EXTRAWORD
a ^at++++=a
Dane ^nn++++=Dane
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
successively ^rb++++=successively
a ^at++++=a
sailor ^nn++++=sailor,
, ^zz++++=EXTRAWORD
a ^at++++=a
carpenter ^nn+nom+++=carpenter,
, ^zz++++=EXTRAWORD
a ^at++++=a
waiter ^nn++++=waiter,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
demonstrator ^nn++++=demonstrator
of ^in++++=of
a ^at++++=a
patent ^jj+atrb+++=patent
corkscrew ^nn+++??+=corkscrew.
. ^zz++++=EXTRAWORD
None ^pn++++=None
had ^vb+hv+aux++=had
lately ^rb+tm+splt++=lately
been ^vprf+ben+vrb+xvbnx+=been
prosperous ^jj++++=prosperous
in ^in++++=in
his ^pp$+pp3+++=his
profession ^nn++++=profession.
. ^zz++++=EXTRAWORD
Blake ^np++++=Blake
slept ^vbd+++xvbn+=slept
upon ^in++++=upon
the ^ati++++=the
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
having ^xvbg+++xvbg+=having
engaged ^vbd+++xvbn+=engaged
the ^ati++++=the
room ^nn++++=room
originally ^rb+tm+++=originally;
; ^zz++++=EXTRAWORD
Petersen ^np+++??+=Petersen
occupied ^vbd+++xvbn+=occupied
a ^at++++=a
folding ^jj+atrb+++=folding
cot ^nn++++=cot
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
opened ^vbd+++xvbn+=opened,
, ^zz++++=EXTRAWORD
prevented ^j+++xvbn+=prevented
the ^ati++++=the
door ^nn++++=door
from ^in++++=from
opening ^xvbg+++xvbg+=opening
more ^rbr++++=more
than ^in++++=than
halfway ^rb++++=halfway;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Leroux ^np+++??+=Leroux
disposed ^vbd+++xvbn+=disposed
himself ^ppl+pp3+++=himself
upon ^in++++=upon
a ^at++++=a
mattress ^nns+nom+++=mattress
laid ^vbd+++xvbn+=laid
between ^in++++=between
the ^ati++++=the
washstand ^nn+++??+=washstand
and ^cc++++=and
the ^ati++++=the
stove ^nn++++=stove.
. ^zz++++=EXTRAWORD
At ^rb++++=At
seven ^cd++++=seven
each ^dt++++=each
morning ^nn++++=morning
the ^ati++++=the
mattress ^nns+nom+++=mattress
was ^vbd+bedz+aux++=was
rolled ^vpsv++agls+xvbnx+=rolled
up ^rp++++=up
and ^cc++++=and
tied ^vpsv++agls+xvbn+=tied
with ^in++++=with
a ^at++++=a
necktie ^nn+++??+=necktie
belonging ^vwbg+++xvbg+=belonging
to ^to++++=to
whichever ^nn+nom+++=whichever
gentleman ^nn+nom+++=gentleman
could ^md+pos+++=could
least ^rbt++splt++=least
immediately ^rb+tm+++=immediately
use ^vb++++=use
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
domestic ^jj+atrb+++=domestic
arrangements ^nns+nom+++=arrangements
possessed ^vbd+++xvbn+=possessed
the ^ati++++=the
elaborate ^jj+atrb+++=elaborate
simplicity ^nn+nom+++=simplicity
of ^in++++=of
poverty ^nn++++=poverty.
. ^zz++++=EXTRAWORD
Three ^cd++++=Three
chipped ^jj+atrb++xvbn+=chipped
cups ^nns++++=cups
served ^vbd+++xvbn+=served
for ^in++++=for
tea ^nn++++=tea,
, ^zz++++=EXTRAWORD
coffee ^nn++++=coffee,
, ^zz++++=EXTRAWORD
soup ^nn++++=soup,
, ^zz++++=EXTRAWORD
shaving ^nvbg+++xvbg+=shaving
water ^nn++++=water,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
upon ^in++++=upon
occasions ^nns++++=occasions
of ^in++++=of
ceremony ^nn++++=ceremony,
, ^zz++++=EXTRAWORD
beer ^nn++++=beer.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
two ^cd++++=two
spoons ^nns++++=spoons,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
fork ^nn++++=fork,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
knife ^nn++++=knife
with ^in++++=with
a ^at++++=a
broken ^nn++++=broken
handle ^vb++++=handle,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
Petersen ^np+++??+=Petersen
asserted ^vbd+vpub++xvbn+=asserted
had ^vbd+hvd+aux++=had
belonged ^vprf+++xvbnx+=belonged
to ^in++++=to
a ^at++++=a
Swedish ^jj+atrb+++=Swedish
count ^nn++++=count,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
could ^md+pos+++=could
not ^xnot++not++=not
explain ^vb+vpub+++=explain
how ^wrb+who+whcl++=how
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
into ^in+ppvb+++=into
the ^ati++++=the
possession ^nn++++=possession
of ^in++++=of
a ^at++++=a
Danish ^jj+atrb+++=Danish
waiter ^nn++++=waiter
in ^in++++=in
Hoboken ^np+++??+=Hoboken.
. ^zz++++=EXTRAWORD
A ^at++++=A
saucepan ^nn+nom+++=saucepan
stood ^vbd+++xvbn+=stood
upon ^in++++=upon
the ^ati++++=the
little ^jj+atrb+++=little
gas ^nn++++=gas
stove ^nn++++=stove.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
food ^nn++++=food
was ^vbd+bedz+vrb++=was
plentiful ^jj+pred+++=plentiful,
, ^zz++++=EXTRAWORD
the ^ati++++=the
saucepan ^nn+nom+++=saucepan
cooked ^vbd+++xvbn+=cooked
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
when ^wrb+who+++=when
food ^nn++++=food
was ^vbd+bedz+vrb++=was
scarce ^jj+pred+++=scarce,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
boiled ^vbd+++xvbn+=boiled
water ^nn++++=water;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
neither ^dt++neg++=neither
food ^nn++++=food
nor ^cc++neg++=nor
gas ^nn++++=gas,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
gave ^vbd+++xvbn+=gave
the ^ati++++=the
room ^nn++++=room
a ^at++++=a
settled ^jj+atrb++xvbn+=settled
and ^cc+phrs+++=and
respectable ^jj+atrb+++=respectable
appearance ^nn+nom+++=appearance.
. ^zz++++=EXTRAWORD
Just ^rb+emph+++=Just
then ^rn+tm+++=then
the ^ati++++=the
three ^cd++++=three
friends ^nns++++=friends
were ^vbd+bed+vrb++=were,
, ^zz++++=EXTRAWORD
as ^ql++++=as
Blake ^np++++=Blake
expressed ^vbd+vpub++xvbn+=expressed
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
in ^in++++=in
very ^ql+amp+++=very
low ^jj+atrb+++=low
water ^nn++++=water.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Frenchman ^nn+nom+++=Frenchman
had ^vb+hv+aux++=had
not ^xnot++not++=not
been ^vprf+ben+aux+xvbn+=been
paid ^vpsv++agls+xvbnx+=paid
for ^in++++=for
a ^at++++=a
poster ^nn++++=poster
showing ^vwbg+++xvbg+=showing
a ^at++++=a
young ^jj+atrb+++=young
lady ^nn++++=lady
of ^in++++=of
surprising ^xvbg+++xvbg+=surprising
dimensions ^nns++++=dimensions
recommending ^vwbg+++xvbg+=recommending
a ^at++++=a
liver ^nn++++=liver
pill ^nn++++=pill.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Dane ^nn++++=Dane
had ^vbd+hvd+aux++=had
lost ^vprf+++xvbnx+=lost
his ^pp$+pp3+++=his
position ^nn+nom+++=position
in ^in++++=in
a ^at++++=a
restaurant ^nn+nom+++=restaurant
through ^in++++=through
dropping ^xvbg+++xvbg+=dropping
a ^at++++=a
tureen ^nn++++=tureen
into ^in++++=into
the ^ati++++=the
lap ^nn++++=lap
of ^in++++=of
a ^at++++=a
gentleman ^nn+nom+++=gentleman
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
afterward ^rb++splt++=afterward
found ^vpsv++agls+xvbnx+=found
to ^to+vcmp+++=to
be ^vbi++vrb++=be
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
proprietors ^nns++++=proprietors.
. ^zz++++=EXTRAWORD
Blake ^np++++=Blake
had ^vbd+hvd+aux++=had
received ^vprf+++xvbnx+=received
eight ^cd++++=eight
dollars ^nns++++=dollars
from ^in++++=from
a ^at++++=a
Sunday ^nr++++=Sunday
paper ^nn++++=paper
for ^in++++=for
an ^at++++=an
account ^nn++++=account
of ^in++++=of
a ^at++++=a
Bowery ^np++++=Bowery
stabbing ^nn++++=stabbing,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
eight ^cd++++=eight
dollars ^nns++++=dollars
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
in ^in++++=in
rent ^nn++++=rent,
, ^zz++++=EXTRAWORD
laundry ^nn++++=laundry,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
redemption ^nn+nom+++=redemption
of ^in++++=of
his ^pp$+pp3+++=his
overcoat ^nn++++=overcoat
from ^in++++=from
a ^at++++=a
pawnbroker ^nn++++=pawnbroker.
. ^zz++++=EXTRAWORD
The ^ati++++=The
landlady ^nn++++=landlady
was ^vbd+bedz+aux++=was
owed ^vpsv++agls+xvbnx+=owed
an ^at++++=an
additional ^jj+atrb+++=additional
week ^nn++++=week
and ^cc++++=and
had ^vbd+hvd+aux++=had
begun ^vprf+++xvbnx+=begun
to ^to++++=to
smile ^vbi++++=smile
whenever ^nn+nom+++=whenever
she ^pp3a+pp3+++=she
spoke ^vbd+++xvbnx+=spoke
of ^in++++=of
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+aux++=was
more ^rbr++splt++=more
alarming ^vbg+++xvbgx+=alarming
than ^in++++=than
anger ^nn++++=anger.
. ^zz++++=EXTRAWORD
Meals ^nns++++=Meals
had ^vb+hv+aux++=had
consequently ^rb+cnj+splt++=consequently
become ^vb++++=become
irregular ^nn++++=irregular.
. ^zz++++=EXTRAWORD
Breakfast ^nn++++=Breakfast
was ^vbd+bedz+vrb++=was
usually ^rb+down+++=usually
a ^at++++=a
matter ^nn++++=matter
of ^in++++=of
negotiation ^nn+nom+++=negotiation
with ^in++++=with
a ^at++++=a
neighbouring ^jj+atrb+++=neighbouring
baker ^nn++++=baker.
. ^zz++++=EXTRAWORD
Luncheon ^nn++++=Luncheon
depended ^vbd+++xvbn+=depended
upon ^in++++=upon
ingenuity ^nn+nom+++=ingenuity
and ^cc++++=and
upon ^in++++=upon
the ^ati++++=the
generosity ^nn+nom+++=generosity
of ^in++++=of
free ^jj++++=free-lunch
- ^zz++++=EXTRAWORD
lunch ^vb++++=EXTRAWORD
counters ^nns+nom+++=counters,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
keepers ^nns+nom+++=keepers
possessed ^vbd+++xvbn+=possessed
sharp ^np++++=sharp
eyes ^nns++++=eyes
and ^cc++++=and
an ^at++++=an
objection ^nn+nom+++=objection
to ^in++++=to
customers ^nns+nom+++=customers
who ^whp+rel+subj++=who
purchased ^vbd+++xvbn+=purchased
one ^cd1++++=one
schooner ^nn+nom+++=schooner
of ^in++++=of
beer ^nn++++=beer
and ^cc++++=and
consumed ^vbd+++xvbn+=consumed
the ^ati++++=the
cold ^jj+atrb+++=cold
meats ^nns++++=meats
of ^in++++=of
an ^at++++=an
entire ^jjb+atrb+++=entire
afternoon ^nn++++=afternoon.
. ^zz++++=EXTRAWORD
Dinner ^nn++++=Dinner
occurred ^vbd+++xvbn+=occurred
when ^wrb+who+++=when
Providence ^np+nom++??+=Providence,
, ^zz++++=EXTRAWORD
journalism ^nn+nom+++=journalism,
, ^zz++++=EXTRAWORD
lithography ^nn++++=lithography,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
the ^ati++++=the
patent ^jj+atrb+++=patent
corkscrew ^nn+++??+=corkscrew
provided ^vbd+vsua++xvbn+=provided
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
evening ^nn++++=evening
in ^in++++=in
question ^nn+nom+++=question
Providence ^np+nom++??+=Providence
had ^vb+hv+aux++=had
not ^xnot++not++=not
yet ^rb++++=yet
declared ^vbd+vpub++xvbn+=declared
itself ^ppl++++=itself.
. ^zz++++=EXTRAWORD
At ^rb++++=At
six ^cd++++=six
o'clock ^rb++++=o'clock
Leroux ^np+++??+=Leroux
and ^cc++++=and
Petersen ^np+++??+=Petersen
went ^vbd+++xvbn+=went
out ^rp+pl+++=out
upon ^in++++=upon
a ^at++++=a
combined ^jj+atrb++xvbn+=combined
expedition ^nn+nom+++=expedition.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Frenchman ^nn+nom+++=Frenchman
had ^vbd+hvd+aux++=had
heard ^vprf+++xvbnx+=heard
that ^tht+vcmp+++=that
a ^at++++=a
printer ^nn++++=printer
in ^in++++=in
Bleecker ^np+nom++??+=Bleecker
Street ^npl++++=Street
required ^vbd+++xvbn+=required
an ^at++++=an
artist ^nn++++=artist;
; ^zz++++=EXTRAWORD
the ^ati++++=the
Dane ^nn++++=Dane
believed ^vbd+vprv++xvbn+=believed
that ^tht+vcmp+++=that
a ^at++++=a
saloon ^nn++++=saloon
keeper ^nn++++=keeper
on ^rp++++=on
Eighth ^od++++=Eighth
Avenue ^npl++++=Avenue
owed ^vbd+++xvbn+=owed
him ^pp3o+pp3+++=him
two ^cd++++=two
dollars ^nns++++=dollars
and ^cc++++=and
might ^md+pos+++=might
be ^vb+be+aux++=be
surprised ^vpsv++agls+xvbnx+=surprised
into ^in++++=into
paying ^xvbg+++xvbg+=paying
fifty ^cd++++=fifty
cents ^nns++++=cents.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
promised ^vbd+vpub++xvbnx+=promised,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
successful ^jj++++=successful,
, ^zz++++=EXTRAWORD
to ^to++++=to
bring ^vbi++++=bring
back ^rb+phrv+++=back
sausages ^nns+nom+++=sausages,
, ^zz++++=EXTRAWORD
bread ^nn++++=bread,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
beer ^nn++++=beer.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
unsuccessful ^jj++++=unsuccessful,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
would ^md+prd+++=would
bring ^vb++++=bring
back ^rb+phrv+++=back
news ^nn++++=news,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
cheaper ^jjr+pred+++=cheaper
and ^cc+phrs+++=and
lasted ^jj+++xvbn+=lasted
longer ^rbr++++=longer.
. ^zz++++=EXTRAWORD
Blake ^np++++=Blake
remained ^vbd+++xvbn+=remained
in ^in++++=in
the ^ati++++=the
room ^nn++++=room
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
possessed ^vbd+++xvbnx+=possessed
a ^at++++=a
more ^rbr++++=more
immediate ^jj++++=immediate,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
less ^rbr++++=less
hopeful ^jj++++=hopeful,
, ^zz++++=EXTRAWORD
means ^nns++++=means
of ^in++++=of
making ^xvbg+++xvbg+=making
money ^nn++++=money.
. ^zz++++=EXTRAWORD
A ^at++++=A
magazine ^nn++++=magazine
editor ^nn++++=editor
had ^vbd+hvd+aux++=had
said ^vprf+++xvbnx+=said
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
would ^md+prd+++=would
consider ^nn+nom+++=consider
a ^at++++=a
story ^nn++++=story
of ^in++++=of
psychological ^jj+atrb+++=psychological
interest ^nn++++=interest,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
less ^rbr++++=less
than ^in++++=than
five ^cd++++=five
thousand ^cd++++=thousand
words ^nns++++=words,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
submitted ^vwbn+vpub++xvbn+=submitted
before ^in++++=before
noon ^nn++++=noon
the ^ati++++=the
following ^jj+atrb++xvbg+=following
day ^nn++++=day.
. ^zz++++=EXTRAWORD
Blake ^np++++=Blake
had ^vbd+hvd+aux++=had
returned ^vprf+++xvbnx+=returned
home ^nr++++=home
full ^jj++++=full
of ^in++++=of
phrases ^nns++++=phrases
such ^abl++++=such
as ^in++++=as
" ^zz++++="subconscious
subconscious ^jj+atrb+++=EXTRAWORD
motive ^nn++++=motive,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="hereditary
hereditary ^jj+atrb+++=EXTRAWORD
impulse ^nn++++=impulse,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
" ^zz++++="the
the ^ati++++=EXTRAWORD
borderland ^nn++++=borderland
of ^in++++=of
identity ^nn+nom+++=identity,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
which ^whp+who+++=which
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
picked ^vprf+++xvbnx+=picked
up ^rp++++=up
without ^in++++=without
charge ^nn++++=charge
in ^in++++=in
the ^ati++++=the
editor ^nn++++=editor's
's ^$++++=EXTRAWORD
office ^nn++++=office.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
proposed ^vbd+vsua++xvbnx+=proposed
to ^to++++=to
write ^vbi++++=write
a ^at++++=a
masterpiece ^nn++++=masterpiece,
, ^zz++++=EXTRAWORD
sell ^vb++++=sell
it ^pp3+it+++=it
for ^in++++=for
one ^cd1++++=one
hundred ^cd++++=hundred
dollars ^nns++++=dollars,
, ^zz++++=EXTRAWORD
pay ^nn++++=pay
every ^at++++=every
debt ^nn++++=debt,
, ^zz++++=EXTRAWORD
purchase ^nn++++=purchase
a ^at++++=a
new ^jj+atrb+++=new
suit ^nn++++=suit,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
perhaps ^rb++++=perhaps
dine ^vb++++=dine.
. ^zz++++=EXTRAWORD
The ^ati++++=The
order ^nn++++=order
of ^in++++=of
these ^dt+dem+++=these
intentions ^nns+nom+++=intentions
was ^vbd+bedz+vrb++=was
characteristic ^jj+pred+++=characteristic
of ^in++++=of
his ^pp$+pp3+++=his
hunger ^nn++++=hunger.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
seated ^vbd+++xvbnx+=seated
himself ^ppl+pp3+++=himself
at ^in++++=at
a ^at++++=a
table ^nn++++=table
made ^vbd+++xvbn+=made
unsteady ^jj++++=unsteady
by ^in++++=by
the ^ati++++=the
literary ^nn++++=literary
works ^vbz++++=works
stored ^vbd+++xvbn+=stored
beneath ^in+pl+++=beneath
one ^cd1++++=one
leg ^nn++++=leg,
, ^zz++++=EXTRAWORD
lit ^j+++xvbn+=lit
the ^ati++++=the
gas ^nn++++=gas,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
arranged ^vbd+vsua++xvbn+=arranged
six ^cd++++=six
sheets ^nns++++=sheets
of ^in++++=of
paper ^nn++++=paper
before ^in++++=before
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sight ^nn++++=sight
of ^in++++=of
blank ^jj+atrb+++=blank
paper ^nn++++=paper
always ^rb++++=always
affected ^xvbn+++xvbn+=affected
Blake ^np++++=Blake
in ^in++++=in
one ^pn++++=one
of ^in++++=of
two ^cd++++=two
ways ^nns++++=ways:
: ^zz++++=EXTRAWORD
either ^dtx++++=either
it ^pp3+it+++=it
became ^vbd+++xvbn+=became
a ^at++++=a
wide ^jj+atrb+++=wide
gate ^nn++++=gate
through ^in++++=through
which ^whp+rel+pied++=which
ideas ^nns++++=ideas
rushed ^vbd+++xvbn+=rushed
so ^ql++++=so
rapidly ^rb++++=rapidly
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
could ^md+pos+++=could
not ^xnot++not++=not
capture ^nn++++=capture
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
it ^pp3+it+++=it
became ^vbd+++xvbn+=became
a ^at++++=a
white ^jj+atrb+++=white
wall ^nn++++=wall
upon ^in++++=upon
which ^whp+rel+pied++=which
nothing ^pn++++=nothing
whatever ^nn+nom+++=whatever
could ^md+pos+++=could
climb ^vb++++=climb.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
evening ^nn++++=evening
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
wall ^nn++++=wall.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
wrote ^vbd+vprv++xvbnx+=wrote:
: ^zz++++=EXTRAWORD
> ^zz++++=>
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
moments ^nns+nom+++=moments
when ^wrb+who+++=when
the ^ati++++=the
sentient ^jj+atrb+++=sentient
ego ^nn++++=ego,
, ^zz++++=EXTRAWORD
recoiling ^vbg+nom++xvbg+=recoiling
from ^in++++=from
the ^ati++++=the
objective ^jj+atrb+++=objective
pressure ^nn++++=pressure
of ^in++++=of
circumstance ^nn+nom+++=circumstance,
, ^zz++++=EXTRAWORD
discovers ^nns+nom+++=discovers
in ^in++++=in
its ^pp$+it+++=its
own ^ap++++=own
duality ^nn+nom+++=duality
the ^ati++++=the
essential ^nn++++=essential
He ^pp3a+pp3+++=He
stopped ^vbd+++xvbnx+=stopped.
. ^zz++++=EXTRAWORD
The ^ati++++=The
essential ^nn++++=essential
what ^wdt+who+++=what?
? ^zz++++=EXTRAWORD
The ^ati++++=The
essential ^jj+atrb+++=essential
tragedy ^nn++++=tragedy,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps.
. ^zz++++=EXTRAWORD
That ^cs+sub+++=That
sounded ^vprf+++xvbn+=sounded
well ^jj+pred+++=well,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
did ^vbd+dod+aux++=did
it ^pp3+it+++=it
mean ^vb+vprv+++=mean
anything ^pn++++=anything?
? ^zz++++=EXTRAWORD
Blake ^np++++=Blake
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
greatly ^rb+amp+++=greatly
disturbed ^vpsv++by+xvbn+=disturbed
by ^in++++=by
that ^dt+dem+++=that
consideration ^nn+nom+++=consideration.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+aux++=had
long ^rb++splt++=long
ago ^rb++++=ago
