# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
How ^wrb+who+++=HOW
, ^zz++++=EXTRAWORD
urine ^nn++++=urine,
, ^zz++++=EXTRAWORD
pulse ^nn++++=pulse,
, ^zz++++=EXTRAWORD
dreams ^nns++++=dreams,
, ^zz++++=EXTRAWORD
sighs ^nns++++=sighs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
manner ^nn++++=manner
in ^in++++=in
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
the ^ati++++=the
chambermaids ^nns+++??+=chambermaids,
, ^zz++++=EXTRAWORD
pronounced ^j+++xvbn+=pronounced
his ^pp$+pp3+++=his
illness ^nns+nom+++=illness
to ^to++++=to
proceed ^vbi++++=proceed
from ^in++++=from
excessive ^jj+atrb+++=excessive
continence ^nn+nom+++=continence.
. ^zz++++=EXTRAWORD
The ^ati++++=The
French ^jj+atrb+++=French
council ^nn++++=council,
, ^zz++++=EXTRAWORD
being ^xvbg+++xvbg+=being
informed ^vbd+vpub++xvbn+=informed
that ^tht+vcmp+++=that
the ^ati++++=the
king ^nn++++=king
might ^md+pos+++=might
die ^vb++++=die
of ^in++++=of
virtue ^nn++++=virtue,
, ^zz++++=EXTRAWORD
assembled ^j+++xvbn+=assembled
in ^in++++=in
haste ^nn++++=haste.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
proposed ^jj+atrb++xvbn+=proposed
war ^nn++++=war,
, ^zz++++=EXTRAWORD
some ^dti++++=some
money ^nn++++=money,
, ^zz++++=EXTRAWORD
some ^dti++++=some
relics ^nns++++=relics,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
some ^dti++++=some
a ^at++++=a
treaty ^nn++++=treaty
written ^vbd+++xvbn+=written
so ^pn++++=so
obscurely ^rb++++=obscurely
that ^dt+dem+++=that
neither ^dt++neg++=neither
prince ^npt++++=prince
could ^md+pos+++=could
understand ^vb+vprv+tht0++=understand
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
at ^rb++++=at
last ^rb"++++=last
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
resolved ^vpsv++agls+xvbnx+=resolved
to ^to+vcmp+++=to
send ^vbi++++=send
to ^in++++=to
Madrid ^np++++=Madrid
the ^ati++++=the
king ^nn++++=king's
's ^$++++=EXTRAWORD
sister ^nn++++=sister,
, ^zz++++=EXTRAWORD
Marguerite ^np+++??+=Marguerite,
, ^zz++++=EXTRAWORD
Queen ^npt++++=Queen
of ^in++++=of
Navarre ^np++++=Navarre,
, ^zz++++=EXTRAWORD
a ^at++++=a
princess ^nns+nom+++=princess
accomplished ^vwbn+++xvbn+=accomplished
in ^in++++=in
Greek ^nn++++=Greek,
, ^zz++++=EXTRAWORD
Latin ^jj++++=Latin,
, ^zz++++=EXTRAWORD
theology ^nn++++=theology,
, ^zz++++=EXTRAWORD
poetry ^nn++++=poetry,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
those ^dt+dem+++=those
tender ^jj+atrb+++=tender
sciences ^nns+nom+++=sciences
which ^whp+rel+subj++=which
are ^vb+ber+aux++=are
not ^xnot++not++=not
taught ^vbd+vsua++xvbn+=taught
in ^in++++=in
the ^ati++++=the
Sorbonne ^np++++=Sorbonne.
. ^zz++++=EXTRAWORD
Nevertheless ^rb+cnj+++=Nevertheless,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
brotherly ^jj+atrb+++=brotherly
affection ^nn+nom+++=affection,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
shut ^vb+++xvbn+=shut
up ^rp++++=up
in ^in++++=in
Spain ^np++++=Spain,
, ^zz++++=EXTRAWORD
might ^md+pos+++=might
wander ^vb++++=wander
beyond ^in++++=beyond
the ^ati++++=the
hedges ^nns++++=hedges
planted ^vwbn+++xvbn+=planted
by ^in++++=by
Holy ^jj+atrb+++=Holy
Church ^npl++++=Church,
, ^zz++++=EXTRAWORD
the ^ati++++=the
councillors ^nns++++=councillors
judged ^vwbn+vprv++xvbn+=judged
it ^pp3+it+++=it
prudent ^jj++++=prudent
to ^to++++=to
obtain ^vbi++++=obtain
beforehand ^rb++++=beforehand
a ^at++++=a
papal ^jj++++=papal
brief ^jj++++=brief
covering ^jj+++xvbg+=covering
any ^dti++++=any
sin ^nn++++=sin
of ^in++++=of
thought ^nn+++xvbn+=thought,
, ^zz++++=EXTRAWORD
word ^nn++++=word,
, ^zz++++=EXTRAWORD
gesture ^nn++++=gesture,
, ^zz++++=EXTRAWORD
consolation ^nn+nom+++=consolation,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
other ^ap++++=other
emergency ^nn++++=emergency
arising ^vwbg+++xvbg+=arising
from ^in++++=from
the ^ati++++=the
interview ^nn++++=interview.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
Holiness ^nns+nom++??+=Holiness,
, ^zz++++=EXTRAWORD
after ^in++++=after
consulting ^xvbg+++xvbg+=consulting
six ^cd++++=six
doctors ^nns++++=doctors
and ^cc++++=and
a ^at++++=a
nephew ^nn++++=nephew,
, ^zz++++=EXTRAWORD
granted ^j+++xvbn+=granted
the ^ati++++=the
indulgence ^nn+nom+++=indulgence,
, ^zz++++=EXTRAWORD
observing ^vbg+vprv++xvbg+=observing
that ^tht+vcmp+++=that
kings ^nns++++=kings
must ^md+nec+++=must
be ^vb+be+aux++=be
preserved ^vpsv++agls+xvbnx+=preserved
for ^in++++=for
Christendom ^nn+nom+++=Christendom
and ^cc++++=and
that ^cs+sub+++=that
certain ^jj+atrb+++=certain
stains ^nns++++=stains,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
committed ^vpsv++by+xvbn+=committed
by ^in++++=by
crowned ^jj+atrb++xvbn+=crowned
persons ^nns++++=persons
for ^in++++=for
reasons ^nns++++=reasons
of ^in++++=of
state ^nn++++=state,
, ^zz++++=EXTRAWORD
could ^md+pos+++=could
be ^vb+be+aux++=be
wiped ^vpsv++agls+xvbnx+=wiped
from ^in++++=from
the ^ati++++=the
celestial ^jj+atrb+++=celestial
slate ^nn++++=slate
with ^in++++=with
a ^at++++=a
larger ^jjr+atrb+++=larger
sponge ^nn++++=sponge
than ^in++++=than
is ^vbz+bez+aux++=is
allowed ^vpsv++agls+xvbnx+=allowed
to ^in+vcmp+++=to
common ^jj+atrb+++=common
Christians ^nn++++=Christians.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
provided ^vbd+vsua++xvbn+=provided
with ^in++++=with
passports ^nns+++??+=passports
for ^in++++=for
the ^ati++++=the
body ^nn++++=body
and ^cc++++=and
the ^ati++++=the
soul ^nn++++=soul,
, ^zz++++=EXTRAWORD
Queen ^npt++++=Queen
Marguerite ^np+++??+=Marguerite
departed ^vbd+++xvbn+=departed.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
roads ^nns++++=roads
were ^vbd+bed+vrb++=were
long ^rb+cnj+++=long,
, ^zz++++=EXTRAWORD
mules ^nns++++=mules
obstinate ^jj++++=obstinate,
, ^zz++++=EXTRAWORD
inns ^nns++++=inns
full ^jj++++=full
of ^in++++=of
fleas ^nns++++=fleas,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ceremonies ^nns++++=ceremonies
more ^rbr++++=more
numerous ^jj++++=numerous
than ^in++++=than
stones ^nns++++=stones;
; ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
before ^cs+sub+++=before
she ^pp3a+pp3+++=she
reached ^vbd+++xvbnx+=reached
Madrid ^np++++=Madrid
there ^ex+pex+++=there
occurred ^vprf+++xvbn+=occurred
the ^ati++++=the
adventure ^nn++++=adventure
which ^whp+rel+obj++=which
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
faithfully ^rb++splt++=faithfully
relate ^vb++++=relate,
, ^zz++++=EXTRAWORD
having ^xvbg+++xvbg+=having
received ^vprf+++xvbn+=received
it ^pp3+it+++=it
from ^in++++=from
a ^at++++=a
notary ^nn++++=notary
whose ^whp+rel+obj++=whose
grandfather ^nn+nom+++=grandfather
copied ^vwbn+++xvbn+=copied
it ^pp3+it+++=it
from ^in++++=from
the ^ati++++=the
confession ^nn++++=confession
of ^in++++=of
a ^at++++=a
valet ^&fw++++=valet
who ^whp+who+++=who
could ^md+pos+++=could
neither ^dt++neg++=neither
read ^vb+vprv++xvbn+=read
nor ^cc++neg++=nor
lie ^nn++++=lie
two ^cd++++=two
excellent ^jj+atrb+++=excellent
qualifications ^nns+nom+++=qualifications
in ^in++++=in
a ^at++++=a
historian ^nn++++=historian.
. ^zz++++=EXTRAWORD
Among ^in++++=Among
the ^ati++++=the
Spanish ^jj+atrb+++=Spanish
officers ^nns+nom+++=officers
guarding ^vwbg+++xvbg+=guarding
his ^pp$+pp3+++=his
majesty ^nn++++=majesty
was ^vbd+bedz+vrb++=was
a ^at++++=a
captain ^npt++++=captain
named ^vbd+++xvbn+=named
Don ^npt++++=Don
Hernando ^np+++??+=Hernando
Lara ^np+++??+=Lara
y ^zz++++=y
L ^zz++++=L
pez ^np++++=pez,
, ^zz++++=EXTRAWORD
a ^at++++=a
gentleman ^nn+nom+++=gentleman
possessing ^vwbg+++xvbg+=possessing
twelve ^cd++++=twelve
quarterings ^nns+++??+=quarterings,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
cloak ^nn++++=cloak,
, ^zz++++=EXTRAWORD
two ^cd++++=two
swords ^nns++++=swords,
, ^zz++++=EXTRAWORD
three ^cd++++=three
creditors ^nns++++=creditors,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
dinner ^nn++++=dinner
upon ^in++++=upon
Tuesdays ^nrs++++=Tuesdays.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
served ^vprf+++xvbnx+=served
in ^in++++=in
Italy ^np++++=Italy,
, ^zz++++=EXTRAWORD
Flanders ^nns+nom+++=Flanders,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Africa ^np++++=Africa;
; ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
wounded ^vpsv++agls+xvbnx+=wounded
seven ^cd++++=seven
times ^nns++++=times;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vbd+hvd+aux++=had
obtained ^vprf+++xvbnx+=obtained
from ^in++++=from
these ^dt+dem+++=these
labours ^nns++++=labours
nothing ^pn++++=nothing
but ^cc++++=but
a ^at++++=a
limp ^nn++++=limp
and ^cc++++=and
permission ^nn++++=permission
to ^to+ncmp+++=to
stand ^vbi++++=stand
uncovered ^jj+++xvbn+=uncovered
before ^in++++=before
richer ^jjr+atrb+++=richer
men ^nns++++=men.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
shrewd ^jj+pred+++=shrewd,
, ^zz++++=EXTRAWORD
bold ^jj++++=bold,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
patriotically ^rb++++=patriotically
persuaded ^vbn+vsua++xvbn+=persuaded
that ^tht+vcmp+++=that
Spain ^np++++=Spain
produced ^vbd+++xvbn+=produced
the ^ati++++=the
best ^jjt+atrb+++=best
saints ^nns++++=saints,
, ^zz++++=EXTRAWORD
oranges ^nns++++=oranges,
, ^zz++++=EXTRAWORD
horses ^nns++++=horses,
, ^zz++++=EXTRAWORD
swords ^nns++++=swords,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
women ^nns++++=women
under ^in++++=under
heaven ^nn++++=heaven.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
captain ^nn++++=captain,
, ^zz++++=EXTRAWORD
learning ^vbg+vprv++xvbg+=learning
the ^ati++++=the
cause ^nn++++=cause
of ^in++++=of
the ^ati++++=the
king ^nn++++=king's
's ^$++++=EXTRAWORD
languor ^nn++++=languor,
, ^zz++++=EXTRAWORD
begged ^j+++xvbn+=begged
a ^at++++=a
private ^jj+atrb+++=private
audience ^nn+nom+++=audience.
. ^zz++++=EXTRAWORD
" ^zz++++="Sire,"
sire ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
kneeling ^vbg+nom++xvbg+=kneeling,
, ^zz++++=EXTRAWORD
" ^zz++++="your
your ^pp$+pp2+++=EXTRAWORD
physicians ^nns++++=physicians
dishonour ^nn++++=dishonour
Castile ^np++++=Castile.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
say ^vb+vpub+tht0++=say
your ^pp$+pp2+++=your
majesty ^nn++++=majesty
lacks ^vbz++++=lacks
a ^at++++=a
remedy ^nn++++=remedy
which ^whp+rel+subj++=which
grows ^vbz++++=grows
here ^rn+pl+++=here
more ^rbr++++=more
abundantly ^rb++++=abundantly
than ^in++++=than
rosemary ^np+nom+++=rosemary."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Captain,"
captain ^npt++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
answered ^vbd+vpub++xvbn+=answered
Francis ^np++++=Francis,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
seen ^vprf+++xvbnx+=seen
rosemary ^np+nom+++=rosemary
at ^in++++=at
the ^ati++++=the
windows ^nns++++=windows,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
little ^rb++++=little
else ^rb+cnj+++=else."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Your
your ^pp$+pp2+++=EXTRAWORD
majesty ^nn++++=majesty
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
badly ^rb++splt++=badly
served ^vpsv++agls+xvbn+=served.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
ladies ^nns++++=ladies
in ^in++++=in
Madrid ^np++++=Madrid
whose ^whp+rel+obj++=whose
glance ^nn++++=glance
would ^md+prd+++=would
warm ^vb++++=warm
a ^at++++=a
marble ^nn++++=marble
apostle ^nn++++=apostle
and ^cc++++=and
whose ^whp+rel+subj++=whose
embrace ^vb++++=embrace
would ^md+prd+++=would
draw ^vb++++=draw
a ^at++++=a
dead ^jj+atrb+++=dead
knight ^nn++++=knight
out ^rp+pl+++=out
of ^in++++=of
his ^pp$+pp3+++=his
tomb ^nn++++=tomb."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
king ^nn++++=king
sighed ^vbd+++xvbn+=sighed.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=do
not ^xnot++not++=not
doubt ^vb++++=doubt
their ^pp$+pp3+++=their
fire ^nn++++=fire.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
doubt ^nn++++=doubt
their ^pp$+pp3+++=their
cookery ^nn+nom+++=cookery.
. ^zz++++=EXTRAWORD
Spanish ^jj+atrb+++=Spanish
love ^nn++++=love,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
heard ^vprf+++xvbnx+=heard,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
all ^abn++++=all
pepper ^nn++++=pepper
and ^cc++++=and
no ^at++++=no
sauce ^nn++++=sauce."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Don ^npt++++=Don
Hernando ^np+++??+=Hernando
reddened ^vbd+++xvbn+=reddened
beneath ^in+pl+++=beneath
his ^pp$+pp3+++=his
beard ^nn++++=beard.
. ^zz++++=EXTRAWORD
" ^zz++++="Sire,
sire ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
permit ^vb++++=permit
me ^pp1o+pp1+++=me
to ^to++++=to
prove ^vbi+vprv+++=prove
the ^ati++++=the
contrary ^nn+nom+++=contrary."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Proof,"
proof ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Francis ^np++++=Francis,
, ^zz++++=EXTRAWORD
" ^zz++++="is
is ^vbz+bez+vrb++=EXTRAWORD
dear ^jj+pred+++=dear
in ^in++++=in
these ^dt+dem+++=these
matters ^nns+nom+++=matters."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
let ^vb+++xvbn+=let
us ^pp1o+pp1+++=us
wager ^jjr++++=wager
dearly ^rb++++=dearly.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
I ^pp1a+pp1+++=I
fail ^vb++++=fail
twice ^rb++++=twice
to ^in++++=to
present ^nn++++=present
a ^at++++=a
woman ^nn++++=woman
who ^whp+rel+subj++=who
pleases ^vbz++++=pleases
your ^pp$+pp2+++=your
majesty ^nn++++=majesty
better ^jjr++++=better
than ^in++++=than
any ^dti++++=any
French ^jj+atrb+++=French
mistress ^nns+nom+++=mistress,
, ^zz++++=EXTRAWORD
let ^j+++xvbn+=let
my ^pp$+pp1+++=my
head ^jjb+atrb+++=head
answer ^nn++++=answer
for ^in++++=for
my ^pp$+pp1+++=my
presumption ^nn+nom+++=presumption.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
succeed ^vb++++=succeed,
, ^zz++++=EXTRAWORD
grant ^nn++++=grant
me ^pp1o+pp1+++=me
the ^ati++++=the
manor ^nn++++=manor
of ^in++++=of
Ville ^np+++??+=Ville-aux-Dames
- ^zz++++=EXTRAWORD
aux ^&fw++++=EXTRAWORD
- ^zz++++=EXTRAWORD
dames ^nns++++=EXTRAWORD
in ^in++++=in
Touraine ^np+++??+=Touraine,
, ^zz++++=EXTRAWORD
with ^in++++=with
mill ^nn++++=mill,
, ^zz++++=EXTRAWORD
dovecote ^nn+++??+=dovecote,
, ^zz++++=EXTRAWORD
vineyards ^nns++++=vineyards,
, ^zz++++=EXTRAWORD
fisheries ^nns+nom+++=fisheries,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
high ^jj+atrb+++=high
and ^cc+phrs+++=and
low ^jj+atrb+++=low
jurisdiction ^nn+nom+++=jurisdiction."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
At ^rb++++=At
this ^dt+dem+++=this
demand ^nn++++=demand
Francis ^np++++=Francis
laughed ^vbd+++xvbn+=laughed,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
manor ^nn++++=manor
was ^vbd+bedz+vrb++=was
rich ^np++++=rich
enough ^qlp++++=enough
to ^to++++=to
make ^vbi++++=make
an ^at++++=an
abbot ^npt++++=abbot
humble ^jj++++=humble.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
stake ^vb++++=stake
a ^at++++=a
head ^jjb++++=head
full ^jj++++=full
of ^in++++=of
nothing ^pn++++=nothing
against ^in++++=against
a ^at++++=a
fief ^nn+++??+=fief
full ^jj++++=full
of ^in++++=of
wine ^nn++++=wine."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
head ^nn++++=head
is ^vbz+bez+vrb++=is
all ^abn++++=all
I ^pp1a+pp1+++=I
possess ^nns+nom+++=possess."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Done,"
done ^vprf+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
king ^nn++++=king.
. ^zz++++=EXTRAWORD
The ^ati++++=The
word ^nn++++=word,
, ^zz++++=EXTRAWORD
though ^rb+cnj+++=though
short ^jj++++=short,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
royal ^jj+pred+++=royal,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
therefore ^rb+cnj+++=therefore
longer ^rbr++++=longer
than ^in++++=than
any ^dti++++=any
contract ^nn++++=contract
drawn ^vwbn+++xvbn+=drawn
by ^in++++=by
twenty ^cd++++=twenty
clerks ^nns++++=clerks.
. ^zz++++=EXTRAWORD
Don ^npt++++=Don
Hernando ^np+++??+=Hernando
first ^od++++=first
applied ^vbd+++xvbn+=applied
to ^in++++=to
the ^ati++++=the
Marchioness ^nns+nom++??+=Marchioness
of ^in++++=of
Pe ^np+++??+=Pe
aflor ^nn++++=aflor,
, ^zz++++=EXTRAWORD
a ^at++++=a
widow ^nn++++=widow
of ^in++++=of
thirty ^cd++++=thirty
years ^nns++++=years,
, ^zz++++=EXTRAWORD
black ^jj++++=black-eyed,
- ^zz++++=EXTRAWORD
eyed ^vbd+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
high ^jj++++=high-bosomed,
- ^zz++++=EXTRAWORD
bosomed ^jj+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^rb+emph+++=so
devout ^jj++++=devout
that ^cs+sub+++=that
she ^pp3a+pp3+++=she
heard ^vbd+vprv++xvbnx+=heard
three ^cd++++=three
masses ^nns++++=masses
each ^dt++++=each
morning ^nn++++=morning
to ^to++++=to
