Skeleton ^nn++++=Skeleton
woods ^nns++++=woods.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
walk ^nn++++=walk
so ^pn++++=so
much ^ap++++=much
as ^ql++++=as
fall ^nn++++=fall
forward ^rb++++=forward
from ^in++++=from
tree ^nn++++=tree
to ^in++++=to
tree ^nn++++=tree.
. ^zz++++=EXTRAWORD
At ^rb++++=At
first ^rb"++++=first
I ^pp1a+pp1+++=I
took ^vbd+++xvbnx+=took
him ^pp3o+pp3+++=him
for ^in++++=for
a ^at++++=a
wounded ^jj+++xvbn+=wounded
hunter ^np++++=hunter.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
clothes ^nns++++=clothes
hung ^vbd+++xvbn+=hung
in ^in++++=in
ribbons ^nns++++=ribbons;
; ^zz++++=EXTRAWORD
one ^cd1++++=one
trouser ^nn++++=trouser-leg
- ^zz++++=EXTRAWORD
leg ^nn++++=EXTRAWORD
was ^vbd+bedz+aux++=was
torn ^vpsv++agls+xvbnx+=torn
away ^rp+pl+++=away
below ^in+pl+++=below
the ^ati++++=the
knee ^nn++++=knee,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
face ^nn++++=face,
, ^zz++++=EXTRAWORD
beneath ^in+pl+++=beneath
a ^at++++=a
crust ^nn++++=crust
of ^in++++=of
dirt ^nn++++=dirt
and ^cc++++=and
dried ^jj+atrb++xvbn+=dried
blood ^nn++++=blood,
, ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
the ^ati++++=the
colour ^nn++++=colour
of ^in++++=of
ashes ^nns++++=ashes.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
saw ^vbd+vprv++xvbnx+=saw
Hank ^np++++=Hank,
, ^zz++++=EXTRAWORD
stopped ^j+++xvbn+=stopped,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
opened ^vbd+++xvbn+=opened
his ^pp$+pp3+++=his
mouth ^nn++++=mouth
without ^in++++=without
speaking ^xvbg+++xvbg+=speaking.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
strange ^jj+atrb+++=strange
little ^jj+atrb+++=little
motion ^nn++++=motion
as ^cs+sub+++=as
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
wished ^vbd+vprv++xvbnx+=wished
to ^to+vcmp+++=to
ward ^vb++++=ward
off ^rb+phrv+++=off
something ^pn++++=something
behind ^in+pl+++=behind
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
collapsed ^vbd+++xvbnx+=collapsed
upon ^in++++=upon
the ^ati++++=the
path ^nn++++=path.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
carried ^vbd+++xvbn+=carried
him ^pp3o+pp3+++=him
into ^in++++=into
the ^ati++++=the
lodge ^nn++++=lodge.
. ^zz++++=EXTRAWORD
Morris ^np++++=Morris
got ^vbd+++xvbn+=got
off ^rb+phrv+++=off
his ^pp$+pp3+++=his
boots ^nns++++=boots,
, ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Willoughby ^np++++=Willoughby
heated ^vbd+++xvbn+=heated
broth ^nn++++=broth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Silver ^nn++++=Silver
Fizz ^np+++??+=Fizz,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
gruffness ^nns+nom+++=gruffness
concealed ^vbd+++xvbn+=concealed
a ^at++++=a
woman ^nn++++=woman's
's ^$++++=EXTRAWORD
capacity ^nn+nom+++=capacity
for ^in++++=for
tenderness ^nns+nom+++=tenderness,
, ^zz++++=EXTRAWORD
washed ^xvbn+++xvbn+=washed
the ^ati++++=the
man ^nn++++=man's
's ^$++++=EXTRAWORD
blistered ^vpsv++agls+xvbnx+=blistered
feet ^nns++++=feet
with ^in++++=with
warm ^jj+atrb+++=warm
water ^nn++++=water.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
unconscious ^jj++++=unconscious,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
seemed ^vbd+seem++xvbnx+=seemed
scarcely ^rb+down+++=scarcely
aware ^jj++++=aware
of ^in++++=of
our ^pp$+pp1+++=our
presence ^nn+nom+++=presence.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
eyes ^nns++++=eyes
moved ^vbd+++xvbn+=moved
continually ^rb++++=continually
from ^in++++=from
face ^nn++++=face
to ^to++++=to
face ^vbi++++=face,
, ^zz++++=EXTRAWORD
never ^rb++++=never
resting ^nvbg+++xvbg+=resting,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
twice ^rb++++=twice
he ^pp3a+pp3+++=he
raised ^vbd+++xvbnx+=raised
himself ^ppl+pp3+++=himself
to ^to++++=to
look ^vbi++++=look
towards ^in++++=towards
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
" ^zz++++="Shut
shut ^vbd+++xvbn+=EXTRAWORD
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
whispered ^vbd+vpub++xvbnx+=whispered.
. ^zz++++=EXTRAWORD
" ^zz++++="For
for ^in++++=EXTRAWORD
God ^np++++=God's
's ^$++++=EXTRAWORD
sake ^nn++++=sake,
, ^zz++++=EXTRAWORD
shut ^j+++xvbn+=shut
it ^pp3+it+++=it!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
door ^nn++++=door
was ^vbd+bedz+aux++=was
already ^rb++splt++=already
shut ^vpsv++agls+xvbnx+=shut.
. ^zz++++=EXTRAWORD
Hank ^np++++=Hank
recognised ^vwbn+++xvbn+=recognised
him ^pp3o+pp3+++=him
as ^ql++++=as
Edward ^np++++=Edward
Rushton ^np++++=Rushton,
, ^zz++++=EXTRAWORD
a ^at++++=a
mining ^nn++++=mining
agent ^nn++++=agent
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
entered ^vprf+++xvbnx+=entered
the ^ati++++=the
country ^nn++++=country
with ^in++++=with
another ^dt++++=another
man ^nn++++=man
a ^at++++=a
fortnight ^nn++++=fortnight
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vbd+hvd+aux++=had
passed ^vprf+++xvbnx+=passed
Crow ^np++++=Crow's
's ^$++++=EXTRAWORD
Landing ^nvbg+++xvbg+=Landing
in ^in++++=in
a ^at++++=a
green ^nn++++=green
canoe ^nn+++??+=canoe,
, ^zz++++=EXTRAWORD
bound ^xvbn+++xvbn+=bound
for ^in++++=for
the ^ati++++=the
upper ^jjb+atrb+++=upper
lakes ^nns++++=lakes.
. ^zz++++=EXTRAWORD
Rushton ^np++++=Rushton
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
cheerful ^jj++++=cheerful
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
Hank ^np++++=Hank
said ^vbd+vpub++xvbn+=said
afterwards ^rb+cnj+++=afterwards,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
companion ^nn++++=companion
Jake ^np++++=Jake
Marden ^np+++??+=Marden
was ^vbd+bedz+vrb++=was
a ^at++++=a
broad ^jj++++=broad,
, ^zz++++=EXTRAWORD
quiet ^jj++++=quiet
fellow ^jjb++++=fellow,
, ^zz++++=EXTRAWORD
reputed ^xvbn+++xvbn+=reputed
to ^to++++=to
be ^vbi++vrb++=be
the ^ati++++=the
better ^jjr+atrb+++=better
woodsman ^nn+nom+++=woodsman
of ^in++++=of
the ^ati++++=the
two ^cd++++=two.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
mention ^nn+nom+++=mention
of ^in++++=of
Jake ^np++++=Jake's
's ^$++++=EXTRAWORD
name ^nn++++=name
Rushton ^np++++=Rushton
began ^vbd+++xvbn+=began
to ^to++++=to
tremble ^vbi++++=tremble.
. ^zz++++=EXTRAWORD
" ^zz++++="He's
he ^pp3a+pp3+++=EXTRAWORD
's ^vbz+bez+aux++0=EXTRAWORD
gone ^vpsv++agls+xvbnx+=gone,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Jake's
jake ^np++++=EXTRAWORD
's ^$++++=EXTRAWORD
drowned ^vpsv++agls+xvbnx+=drowned.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
only ^rb+down+++=only
the ^ati++++=the
two ^cd++++=two
of ^in++++=of
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he's
's ^vbz+bez+aux++0=EXTRAWORD
drowned ^vpsv++agls+xvbnx+=drowned."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
No ^at++++=No
one ^cd1++++=one
questioned ^vbd+vpub++xvbn+=questioned
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
should ^md+nec+++=should
be ^vb+be+aux++=be
understood ^vpsv++agls+xvbnx+=understood.
. ^zz++++=EXTRAWORD
A ^at++++=A
man ^nn++++=man
who ^whp+rel+subj++=who
has ^vbz+hvz+aux++=has
crawled ^vprf+++xvbn+=crawled
for ^in++++=for
two ^cd++++=two
days ^nns++++=days
through ^in++++=through
cedar ^nn++++=cedar
swamp ^nn++++=swamp
and ^cc++++=and
windfall ^nn++++=windfall
is ^vbz+bez+aux++=is
not ^xnot++not++=not
examined ^vbd+++xvbn+=examined
like ^in++++=like
a ^at++++=a
prisoner ^nn+nom+++=prisoner
at ^in++++=at
the ^ati++++=the
bar ^nn++++=bar.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
fed ^vbd+++xvbn+=fed
him ^pp3o+pp3+++=him
a ^ap++++=a
few ^ap"++++=few
spoonfuls ^nns+nom+++=spoonfuls
of ^in++++=of
broth ^nn++++=broth,
, ^zz++++=EXTRAWORD
wrapped ^j+++xvbn+=wrapped
him ^pp3o+pp3+++=him
in ^in++++=in
blankets ^nns++++=blankets,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
waited ^vpsv++agls+xvbn+=waited
for ^in++++=for
the ^ati++++=the
exhaustion ^nn+nom+++=exhaustion
to ^in++++=to
have ^vbi++vrb++=have
its ^pp$+it+++=its
way ^nn++++=way.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
he ^pp3a+pp3+++=he
would ^md+prd+++=would
not ^xnot++not++=not
rest ^nn++++=rest.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
swallowed ^vprf+++xvbnx+=swallowed
half ^abn++++=half
the ^ati++++=the
broth ^nn++++=broth
he ^pp3a+pp3+++=he
pushed ^vbd+++xvbnx+=pushed
the ^ati++++=the
bowl ^nn++++=bowl
aside ^rp++++=aside
and ^cc++++=and
insisted ^vpsv++agls+xvbn+=insisted
upon ^in++++=upon
telling ^xvbg+++xvbg+=telling
us ^pp1o+pp1+++=us
what ^wdt+who+++=what
had ^vbd+hvd+aux++=had
occurred ^vprf+++xvbnx+=occurred.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
west ^np+pl+++=west
reach ^vb++++=reach,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
began ^vbd+++xvbnx+=began
" ^zz++++="beyond
beyond ^in++++=EXTRAWORD
the ^ati++++=the
two ^cd++++=two
islands ^nns++++=islands,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
water ^nn++++=water
is ^vbz+bez+vrb++=is
deep ^jj+pred+++=deep.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
know ^vb+vprv+++=know
the ^ati++++=the
place ^nn++++=place?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
must ^md+nec+++=must
know ^vb+vprv+tht0++=know
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
A ^at++++=A
black ^jj+atrb+++=black
cliff ^np++++=cliff
on ^in++++=on
the ^ati++++=the
north ^np+pl+++=north
and ^cc++++=and
one ^cd1++++=one
small ^jj+atrb+++=small
island ^nn++++=island,
, ^zz++++=EXTRAWORD
all ^abn++++=all
birch ^nn++++=birch,
, ^zz++++=EXTRAWORD
lying ^vbg+++xvbg+=lying
half ^nn++++=half
a ^at++++=a
mile ^nn++++=mile
off ^in+strn+++=off.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
were ^vbd+bed+aux++=were
crossing ^vbg+++xvbgx+=crossing
there ^rn+pl+++=there
when ^wrb+who+++=when
the ^ati++++=the
squall ^nn+++??+=squall
took ^vbd+++xvbn+=took
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
came ^vbd+++xvbn+=came
from ^in+ppvb+++=from
nowhere ^rb+pl+++=nowhere.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
instant ^nn+nom+++=instant
calm ^nn++++=calm
the ^ati++++=the
next ^ap++++=next,
, ^zz++++=EXTRAWORD
God ^np++++=God
Almighty ^jj++++=Almighty!
! ^zz++++=EXTRAWORD
the ^ati++++=the
canoe ^nn+++??+=canoe
was ^vbd+bedz+vrb++=was
over ^in+strn+++=over."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
voice ^nn++++=voice
rose ^vbd+++xvbn+=rose
upon ^in++++=upon
the ^ati++++=the
final ^jj+atrb+++=final
words ^nns++++=words.
. ^zz++++=EXTRAWORD
Morris ^np++++=Morris
laid ^vbd+++xvbn+=laid
a ^at++++=a
hand ^nn++++=hand
on ^in++++=on
his ^pp$+pp3+++=his
shoulder ^nn+nom+++=shoulder.
. ^zz++++=EXTRAWORD
" ^zz++++="Easy,
easy ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
man ^nn++++=man.
. ^zz++++=EXTRAWORD
Tell ^vb++++=Tell
it ^pp3+it+++=it
to ^in++++=to
us ^pp1o+pp1+++=us
later ^rbr+tm+++=later."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
want ^vb++++=want
you ^pp2+pp2+++=you
to ^to++++=to
understand ^vbi+vprv+++=understand.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
did ^vbd+dod+vrb++=did
everything ^pn++++=everything
that ^cs+sub+++=that
men ^vbz++++=men
could ^md+pos+++=could
do ^vb+do+vrb++=do.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
careless ^jj++++=careless.
. ^zz++++=EXTRAWORD
Jake ^np++++=Jake
said ^vbd+vpub+tht0+xvbn+=said
we ^pp1a+pp1+++=we
could ^md+pos+++=could
cross ^vb++++=cross.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
decision ^nn++++=decision
as ^ql++++=as
much ^ap++++=much
as ^ql++++=as
mine ^pp$$++++=mine
more ^ql++++=more
his ^pp$+pp3+++=his,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
the ^ati++++=the
truth ^nn++++=truth
were ^vbd+bed+aux++=were
known ^vpsv++agls+xvbnx+=known."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
looked ^vbd+++xvbnx+=looked
round ^rb++++=round
our ^pp$+pp1+++=our
circle ^nn++++=circle
as ^cs+sub+++=as
though ^cs+sub+++=though
one ^pn++++=one
of ^in++++=of
us ^pp1o+pp1+++=us
had ^vbd+hvd+aux++=had
accused ^vprf+++xvbnx+=accused
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
The ^ati++++=The
canoe ^nn+++??+=canoe,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
told ^vbd+vpub++xvbnx+=told
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
not ^xnot++not++=not
sunk ^vprf+++xvbn+=sunk,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
floated ^vbd+++xvbn+=floated
bottom ^jjb++++=bottom
upwards ^rb++++=upwards.
. ^zz++++=EXTRAWORD
Both ^abx++++=Both
men ^nns++++=men
caught ^vbd+++xvbn+=caught
hold ^nn++++=hold
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
packs ^nns++++=packs
and ^cc++++=and
rifles ^nns++++=rifles
went ^vbd+++xvbn+=went
down ^in++++=down
at ^rb++++=at
once ^rb"+tm+++=once.
. ^zz++++=EXTRAWORD
The ^ati++++=The
water ^nn++++=water
was ^vbd+bedz+vrb++=was
bitterly ^rb++++=bitterly
cold ^jj+pred+++=cold,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
wind ^nn++++=wind
drove ^vbd+++xvbn+=drove
them ^pp3o+pp3+++=them
farther ^rbr++++=farther
from ^in++++=from
the ^ati++++=the
mainland ^nn++++=mainland.
. ^zz++++=EXTRAWORD
For ^in++++=For
hours ^nns++++=hours
they ^pp3a+pp3+++=they
had ^vb+hv+vrb++=had
no ^at++++=no
means ^nn++++=means
of ^in++++=of
measuring ^xvbg+++xvbg+=measuring
time ^nn++++=time
they ^pp3a+pp3+++=they
clung ^vbd+++xvbnx+=clung
to ^in++++=to
the ^ati++++=the
smooth ^jj++++=smooth,
, ^zz++++=EXTRAWORD
rolling ^vbg+nom++xvbg+=rolling
hull ^np++++=hull.
. ^zz++++=EXTRAWORD
Jake ^np++++=Jake
possessed ^vbd+++xvbn+=possessed
a ^at++++=a
knife ^nn++++=knife,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
this ^dt+dem+++=this
they ^pp3a+pp3+++=they
cut ^vbd+++xvbnx+=cut
two ^cd++++=two
holes ^nns++++=holes
through ^in++++=through
the ^ati++++=the
thin ^jj+atrb+++=thin
planking ^nn++++=planking,
, ^zz++++=EXTRAWORD
