# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Who ^whp+rel+subj++=WHO
condition ^nn+nom+++=condition.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
known ^vprf+++xvbnx+=known
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Wightman ^np+nom+++=Wightman
when ^wrb+who+++=when
her ^pp$+pp3+++=her
home ^nr++++=home
was ^vbd+bedz+vrb++=was
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
most ^ql+emph+++=most
attractive ^jj++++=attractive
in ^in++++=in
L ^zz++++=L
; ^zz++++=;
not ^xnot++not++=not
splendid ^jj++++=splendid,
, ^zz++++=EXTRAWORD
indeed ^rb+cnj+++=indeed,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
governed ^vpsv++by+xvbn+=governed
by ^in++++=by
taste ^nn++++=taste,
, ^zz++++=EXTRAWORD
hospitality ^nn+nom+++=hospitality,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
gentle ^jj+atrb+++=gentle
consideration ^nn+nom+++=consideration
for ^in++++=for
all ^abn++++=all
who ^whp+who+++=who
entered ^vbd+++xvbn+=entered
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
daughters ^nns+nom+++=daughters
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
bright ^jj+atrb+++=bright,
, ^zz++++=EXTRAWORD
affectionate ^jj+atrb+++=affectionate
girls ^nns++++=girls,
, ^zz++++=EXTRAWORD
educated ^j+++xvbn+=educated
with ^in++++=with
care ^nn++++=care,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
accustomed ^vpsv++agls+xvbn+=accustomed
to ^in++++=to
every ^at++++=every
reasonable ^jj+atrb+++=reasonable
comfort ^nn++++=comfort.
. ^zz++++=EXTRAWORD
The ^ati++++=The
image ^nn++++=image
of ^in++++=of
these ^dt+dem+++=these
estimable ^jj+atrb+++=estimable
people ^nns++++=people,
, ^zz++++=EXTRAWORD
struggling ^vbg+nom++xvbg+=struggling
with ^in++++=with
want ^nn++++=want,
, ^zz++++=EXTRAWORD
followed ^j+++xvbn+=followed
me ^pp1o+pp1+++=me
after ^cs+sub+++=after
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
retired ^vprf+++xvbnx+=retired,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cast ^nn+++xvbn+=cast
a ^at++++=a
shadow ^nn++++=shadow
over ^in++++=over
the ^ati++++=the
pleasure ^nn++++=pleasure
of ^in++++=of
my ^pp$+pp1+++=my
return ^nn++++=return.
. ^zz++++=EXTRAWORD
" ^zz++++="Payson,
payson ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
at ^rb++++=at
least ^rb"++++=least,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
prospered ^vprf+++xvbnx+=prospered,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
resumed ^vbd+++xvbn+=resumed
my ^pp$+pp1+++=my
friend ^nn++++=friend.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
is ^vbz+bez+aux++=is
reputed ^vpsv++agls+xvbnx+=reputed
one ^pn++++=one
of ^in++++=of
our ^pp$+pp1+++=our
wealthiest ^jjt+atrb+++=wealthiest
men ^nns++++=men."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
glad ^jj+pred+++=glad
to ^to+jcmp+++=to
hear ^vbi+vprv+tht0++=hear
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Payson ^np+++??+=Payson
and ^cc++++=and
Wightman ^np+nom++??+=Wightman
were ^vbd+bed+vrb++=were
intimate ^jj+pred+++=intimate
in ^in++++=in
former ^ap++++=former
days ^nns++++=days."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
took ^vbd+++xvbnx+=took
different ^jj+atrb+++=different
roads ^nns++++=roads,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
the ^ati++++=the
reply ^nn++++=reply.
. ^zz++++=EXTRAWORD
" ^zz++++="Payson
payson ^vb+++??+=EXTRAWORD
understood ^vbd+vprv++xvbn+=understood
the ^ati++++=the
world ^nn++++=world."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
something ^pn++++=something
in ^in++++=in
this ^dt+dem+++=this
last ^jj+atrb+++=last
sentence ^nn+nom+++=sentence
that ^tht+rel+subj++=that
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
altogether ^nn+nom+++=altogether
please ^uh++++=please
me ^pp1o+pp1+++=me;
; ^zz++++=EXTRAWORD
nevertheless ^rb+cnj+++=nevertheless,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
accepted ^vbd+vprv++xvbnx+=accepted
the ^ati++++=the
ordinary ^jj+atrb+++=ordinary
judgment ^nn+nom+++=judgment.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
man ^nn++++=man
had ^vbd+hvd+aux++=had
risen ^vwbn+++xvbn+=risen,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+vrb++=was
rich ^jj+pred+++=rich;
; ^zz++++=EXTRAWORD
the ^ati++++=the
other ^ap++++=other
had ^vbd+hvd+aux++=had
fallen ^vprf+++xvbn+=fallen,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
poor ^jj++++=poor.
. ^zz++++=EXTRAWORD
Could ^md+pos+++=Could
the ^ati++++=the
case ^nn++++=case
be ^vb+be+vrb++=be
plainer ^jjr+pred+++=plainer?
? ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
following ^jj+atrb++xvbg+=following
morning ^nn++++=morning
I ^pp1a+pp1+++=I
called ^vbd+++xvbnx+=called
at ^rb++++=at
Payson ^np++++=Payson's
's ^$++++=EXTRAWORD
counting ^nvbg+++xvbg+=counting-room.
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
found ^vbd+vprv++xvbnx+=found
him ^pp3o+pp3+++=him
at ^in++++=at
a ^at++++=a
large ^jj+atrb+++=large
desk ^nn++++=desk,
, ^zz++++=EXTRAWORD
surrounded ^xvbn+++xvbn+=surrounded
by ^in++++=by
letters ^nns+nom+++=letters,
, ^zz++++=EXTRAWORD
checks ^nns++++=checks,
, ^zz++++=EXTRAWORD
bank ^nn++++=bank
notices ^nns++++=notices,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
account ^nn++++=account-books.
- ^zz++++=EXTRAWORD
books ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Three ^cd++++=Three
clerks ^nns++++=clerks
were ^vbd+bed+aux++=were
writing ^vbg+++xvbgx+=writing
rapidly ^rb++++=rapidly;
; ^zz++++=EXTRAWORD
a ^at++++=a
fourth ^od++++=fourth
had ^vb+hv+aux++=had
just ^rb+emph+splt++=just
entered ^vprf+++xvbnx+=entered,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stood ^vbd+++xvbn+=stood
awaiting ^vbg+++xvbg+=awaiting
directions ^nns+nom+++=directions.
. ^zz++++=EXTRAWORD
" ^zz++++="Take
take ^vb++++=EXTRAWORD
this ^dt+dem+++=this
note ^nn++++=note
to ^in++++=to
the ^ati++++=the
bank ^nn++++=bank,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Payson ^np+++??+=Payson,
, ^zz++++=EXTRAWORD
without ^in++++=without
observing ^xvbg+++xvbg+=observing
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
they ^pp3a+pp3+++=they
decline ^vb++++=decline
its ^pp$+it+++=its
renewal ^nn++++=renewal,
, ^zz++++=EXTRAWORD
see ^vb+vprv+++=see
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Martin ^np++++=Martin.
. ^zz++++=EXTRAWORD
Tell ^vb++++=Tell
him ^pp3o+pp3+++=him
I ^pp1a+pp1+++=I
must ^md+nec+++=must
have ^vb+hv+vrb++=have
the ^ati++++=the
accommodation ^nn+nom+++=accommodation
until ^in++++=until
the ^ati++++=the
fifteenth ^od++++=fifteenth."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
payment ^nn+nom+++=payment
to ^in++++=to
Corwin ^np+++??+=Corwin
falls ^nns++++=falls
due ^jj++++=due
to ^to+jcmp+++=to-day,"
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
remarked ^vprf+++xvbn+=remarked
the ^ati++++=the
clerk ^nn++++=clerk.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
know ^vb+vprv+tht0++=know
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Give ^vb++++=Give
him ^pp3o+pp3+++=him
a ^at++++=a
check ^nn++++=check
dated ^vwbn+++xvbn+=dated
to ^to++++=to-morrow."
- ^zz++++=EXTRAWORD
morrow ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
said ^vbd+vpub++xvbnx+=said
that ^tht+vcmp+++=that
nothing ^pn++++=nothing
but ^cc++++=but
money ^nn++++=money
would ^md+prd+++=would
answer ^vb++++=answer."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Payson ^np+++??+=Payson
contracted ^vbd+++xvbn+=contracted
his ^pp$+pp3+++=his
brows ^nns++++=brows.
. ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
tell ^vb++++=tell
him ^pp3o+pp3+++=him
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
No ^at++++=No
stay ^vb++++=stay!
! ^zz++++=EXTRAWORD
Say ^vb+vpub+++=Say
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
see ^vb+vprv+++=see
him ^pp3o+pp3+++=him
at ^in++++=at
three ^cd++++=three
o ^zz++++=o'clock.
'clock. ^nn+++??+=EXTRAWORD
And ^cc++++=And,
, ^zz++++=EXTRAWORD
Harris ^np++++=Harris,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Bolton ^np++++=Bolton
calls ^nns++++=calls,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
engaged ^vpsv++agls+xvbnx+=engaged."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
clerk ^nn++++=clerk
retired ^vbd+++xvbn+=retired,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
my ^pp$+pp1+++=my
old ^jj+atrb+++=old
acquaintance ^nn+nom+++=acquaintance
turned ^vbd+++xvbn+=turned
toward ^in++++=toward
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
care ^nn++++=care-worn
- ^zz++++=EXTRAWORD
worn ^xvbn+++xvbn+=EXTRAWORD
face ^nn++++=face
brightened ^vbd+++xvbn+=brightened
with ^in++++=with
genuine ^jj+atrb+++=genuine
pleasure ^nn++++=pleasure.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
dear ^jj+atrb+++=dear
friend ^nn++++=friend!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
exclaimed ^vbd+++xvbnx+=exclaimed,
, ^zz++++=EXTRAWORD
grasping ^vbg+++xvbg+=grasping
my ^pp$+pp1+++=my
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
" ^zz++++="When
when ^wrb+who+whq++=EXTRAWORD
did ^vbd+dod+vrb++=did
you ^pp2+pp2+++=you
arrive ^vb++++=arrive?
? ^zz++++=EXTRAWORD
Why ^wrb+who+whq++=Why
did ^vbd+dod+vrb++=did
you ^pp2+pp2+++=you
not ^xnot++not++=not
come ^vb++++=come
directly ^rb++++=directly
to ^in++++=to
my ^pp$+pp1+++=my
house ^nn++++=house?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
As ^ql++++=As
he ^pp3a+pp3+++=he
spoke ^vbd+++xvbnx+=spoke,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
eye ^nn++++=eye
wandered ^vbd+++xvbn+=wandered
toward ^in++++=toward
the ^ati++++=the
pile ^nn++++=pile
of ^in++++=of
papers ^nns++++=papers
before ^in++++=before
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
perceived ^vbd+vprv++xvbnx+=perceived
that ^tht+vcmp+++=that
half ^abn++++=half
his ^pp$+pp3+++=his
thoughts ^nns++++=thoughts
remained ^vbd+++xvbn+=remained
entangled ^vbd+++xvbn+=entangled
among ^in++++=among
the ^ati++++=the
obligations ^nns+nom+++=obligations
of ^in++++=of
the ^ati++++=the
day ^nn++++=day.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+vrb++=are
busy ^jj+pred+++=busy,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
will ^md+prd+++=will
call ^vb++++=call
again ^rb+tm+++=again."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
at ^rb++++=at
all ^abn++++=all.
. ^zz++++=EXTRAWORD
Merely ^rb+down+++=Merely
the ^ati++++=the
usual ^jj++++=usual
financiering ^jj+++xvbg+=financiering
which ^whp+who+++=which
every ^at++++=every
man ^nn++++=man
of ^in++++=of
business ^nns+nom+++=business
must ^md+nec+++=must
undergo ^vb++++=undergo.
. ^zz++++=EXTRAWORD
Sit ^vb++++=Sit
down ^rb+phrv+++=down."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
conversation ^nn+nom+++=conversation
was ^vbd+bedz+aux++=was
interrupted ^vpsv++agls+xvbnx+=interrupted
repeatedly ^rb++++=repeatedly.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
person ^nn++++=person
wanted ^vbd+++xvbn+=wanted
a ^at++++=a
payment ^nn+nom+++=payment;
; ^zz++++=EXTRAWORD
another ^dt++++=another
desired ^jj+atrb++xvbn+=desired
security ^nn+nom+++=security;
; ^zz++++=EXTRAWORD
a ^at++++=a
third ^od++++=third
brought ^vprf+++xvbn+=brought
intelligence ^nn+nom+++=intelligence
that ^tht+rel+++=that
certain ^jj+atrb+++=certain
goods ^nns++++=goods
had ^vbd+hvd+aux++=had
declined ^vprf+++xvbnx+=declined
in ^in++++=in
value ^nn++++=value.
. ^zz++++=EXTRAWORD
Payson ^np+++??+=Payson
met ^vbd+++xvbn+=met
each ^ppls++++=each
demand ^vb++++=demand
with ^in++++=with
readiness ^nns+nom+++=readiness
and ^cc++++=and
apparent ^jj+atrb+++=apparent
self ^nn++++=self-possession,
- ^zz++++=EXTRAWORD
possession ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
beneath ^in+pl+++=beneath
his ^pp$+pp3+++=his
prompt ^jj+atrb+++=prompt
manner ^nn++++=manner
I ^pp1a+pp1+++=I
detected ^vbd+++xvbnx+=detected
an ^at++++=an
anxiety ^nn++++=anxiety
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
could ^md+pos+++=could
not ^xnot++not++=not
wholly ^rb++++=wholly
conceal ^vb++++=conceal.
. ^zz++++=EXTRAWORD
At ^rb++++=At
length ^rb"++++=length
he ^pp3a+pp3+++=he
invited ^vbd+++xvbnx+=invited
me ^pp1o+pp1+++=me
to ^to++++=to
dine ^vbi++++=dine
with ^in++++=with
him ^pp3o+pp3+++=him
that ^dt+dem+++=that
day ^nn++++=day,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
promised ^vbd+++xvbnx+=promised
to ^to+vcmp+++=to
come ^vbi++++=come.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
house ^npl++++=house
stood ^vbd+++xvbn+=stood
in ^in++++=in
the ^ati++++=the
most ^ql+emph+++=most
fashionable ^jj+atrb+++=fashionable
quarter ^nn++++=quarter
of ^in++++=of
L ^zz++++=L
. ^zz++++=.
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
large ^jj+pred+++=large,
, ^zz++++=EXTRAWORD
newly ^rb++++=newly
decorated ^jj+++xvbn+=decorated,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
externally ^rb++++=externally
imposing ^jj+++xvbg+=imposing.
. ^zz++++=EXTRAWORD
The ^ati++++=The
entrance ^nn+nom+++=entrance-hall
- ^zz++++=EXTRAWORD
hall ^npl++++=EXTRAWORD
was ^vbd+bedz+aux++=was
paved ^vpsv++agls+xvbnx+=paved
in ^in++++=in
alternate ^jj+atrb+++=alternate
squares ^nns++++=squares
of ^in++++=of
black ^jj+atrb+++=black
and ^cc+phrs+++=and
white ^jj+atrb+++=white
marble ^nn++++=marble;
; ^zz++++=EXTRAWORD
the ^ati++++=the
parlors ^nns++++=parlors
displayed ^vbd+++xvbn+=displayed
rich ^np++++=rich
Brussels ^np++++=Brussels
carpets ^nns++++=carpets,
, ^zz++++=EXTRAWORD
crimson ^nn+++??+=crimson
damask ^nn++++=damask,
, ^zz++++=EXTRAWORD
brocatelle ^nn+++??+=brocatelle
chairs ^nns++++=chairs,
, ^zz++++=EXTRAWORD
gilded ^jj+atrb++xvbn+=gilded
mirrors ^nns++++=mirrors,
, ^zz++++=EXTRAWORD
costly ^jj+atrb+++=costly
lamps ^nns++++=lamps,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
profusion ^nn++++=profusion
of ^in++++=of
ornaments ^nns+nom+++=ornaments
which ^whp+rel+subj++=which
seemed ^vbd+seem++xvbn+=seemed
arranged ^vbd+vsua++xvbn+=arranged
less ^rbr++++=less
for ^in++++=for
enjoyment ^nn+nom+++=enjoyment
than ^in++++=than
exhibition ^nn+nom+++=exhibition.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
object ^nn++++=object
announced ^vbd+vpub++xvbn+=announced
expense ^nn++++=expense;
; ^zz++++=EXTRAWORD
yet ^rb+cnj+++=yet,
, ^zz++++=EXTRAWORD
amid ^in++++=amid
the ^ati++++=the
glossy ^jj+atrb+++=glossy
satin ^nn++++=satin
and ^cc++++=and
glittering ^jj+atrb+++=glittering
metal ^nn++++=metal,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
sought ^vbd+++xvbnx+=sought
in ^rb++++=in
vain ^rb"++++=vain
for ^in++++=for
that ^dt+dem+++=that
genuine ^jj+atrb+++=genuine
home ^nr++++=home
feeling ^vwbg+++xvbg+=feeling
which ^whp+who+++=which
often ^rb++++=often
warms ^vbz++++=warms
a ^at++++=a
room ^nn++++=room
containing ^vwbg+++xvbg+=containing
scarcely ^rb+down+++=scarcely
an ^at++++=an
article ^nn++++=article
of ^in++++=of
value ^nn++++=value.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Payson ^np++++=Payson
received ^vbd+++xvbn+=received
me ^pp1o+pp1+++=me
