# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Lost ^vbd+++xvbn+=Lost
to ^in"++++=to
whether ^cs+who+++=whether
Englishmen ^nn++++=Englishmen
understood ^vwbn+vprv++xvbn+=understood
humour ^nn++++=humour.
. ^zz++++=EXTRAWORD
At ^in++++=At
half ^abn++++=half-past
- ^zz++++=EXTRAWORD
past ^jjb++++=EXTRAWORD
ten ^cd++++=ten
our ^pp$+pp1+++=our
hostess ^nns+nom+++=hostess
looked ^vbd+++xvbn+=looked
toward ^in++++=toward
the ^ati++++=the
window ^nn++++=window
and ^cc++++=and
remarked ^vbd+vpub++xvbn+=remarked,
, ^zz++++=EXTRAWORD
with ^in++++=with
that ^dt+dem+++=that
cheerful ^jj+atrb+++=cheerful
indifference ^nn+nom+++=indifference
peculiar ^jj++++=peculiar
to ^in++++=to
persons ^nns++++=persons
who ^whp+rel+subj++=who
are ^vb+ber+aux++=are
not ^xnot++not++=not
obliged ^jj+++xvbn+=obliged
to ^to+jcmp+++=to
go ^vbi++++=go
out ^rp+pl+++=out
in ^in++++=in
the ^ati++++=the
weather ^nn++++=weather,
, ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
dears ^nns+++??+=dears,
, ^zz++++=EXTRAWORD
the ^ati++++=the
fog ^nn++++=fog
is ^vbz+bez+aux++=is
becoming ^vbg+++xvbgx+=becoming
rather ^rb++++=rather
thick ^jj++++=thick."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Rather ^rb++++=Rather
thick ^jj++++=thick!
! ^zz++++=EXTRAWORD
The ^ati++++=The
opposite ^jj+atrb+++=opposite
houses ^nns++++=houses
had ^vb+hv+aux++=had
already ^rb++splt++=already
vanished ^vprf+++xvbnx+=vanished;
; ^zz++++=EXTRAWORD
the ^ati++++=the
lamps ^nns++++=lamps
were ^vbd+bed+vrb++=were
yellow ^jj+atrb+++=yellow
blots ^nns++++=blots;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
panes ^nns++++=panes
appeared ^vbd+seem++xvbn+=appeared
to ^to+vcmp+++=to
have ^vbi++++=have
been ^vprf+ben+aux+xvbn+=been
painted ^vpsv++agls+xvbnx+=painted
with ^in++++=with
dirty ^jj+atrb+++=dirty
wool ^nn++++=wool.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
must ^md+nec+++=must
go ^vb++++=go
at ^rb++++=at
once ^rb"+tm+++=once,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
might ^md+pos+++=might
stay ^vb++++=stay
all ^abn++++=all
night ^nn++++=night,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Kate ^np++++=Kate,
, ^zz++++=EXTRAWORD
comfortably ^rb++++=comfortably.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
impossible ^jj+pred+++=impossible.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
hostess ^nns+nom+++=hostess
had ^vb+hv+aux++=had
not ^xnot++not++=not
asked ^vprf+++xvbn+=asked
us ^pp1o+pp1+++=us
to ^to++++=to
stay ^vbi++++=stay
all ^abn++++=all
night ^nn++++=night;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
although ^cs+con+++=although
an ^at++++=an
American ^jj+atrb+++=American
woman ^nn++++=woman
may ^md+pos+++=may
be ^vb+be+vrb++=be
capable ^jj+pred+++=capable
of ^in++++=of
declaring ^xvbg+++xvbg+=declaring
independence ^nn+nom+++=independence
in ^in++++=in
any ^dti++++=any
quarter ^nn++++=quarter
of ^in++++=of
the ^ati++++=the
globe ^nn++++=globe,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
cannot ^md+pos+not++=cannot,
, ^zz++++=EXTRAWORD
with ^in++++=with
propriety ^nn++++=propriety,
, ^zz++++=EXTRAWORD
establish ^vb+vprv+tht0++=establish
herself ^ppl+pp3+++=herself
uninvited ^vbd+++xvbn+=uninvited
in ^in++++=in
another ^dt++++=another
woman ^nn++++=woman's
's ^vbz+bez+vrb++0=EXTRAWORD
spare ^jj+atrb+++=spare
bedroom ^nn++++=bedroom.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
lodging ^nn++++=lodging
was ^vbd+bedz+vrb++=was
in ^in++++=in
Colville ^np+++??+=Colville
Gardens ^nns++++=Gardens,
, ^zz++++=EXTRAWORD
Bayswater ^np+nom++??+=Bayswater.
. ^zz++++=EXTRAWORD
The ^ati++++=The
last ^rb++++=last
omnibus ^&fw++++=omnibus
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Underground ^jjb+atrb+++=Underground
Railway ^nn++++=Railway
was ^vbd+bedz+aux++=was
declared ^vpsv++agls+xvbnx+=declared
inconvenient ^jj++++=inconvenient,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
our ^pp$+pp1+++=our
friends ^nns++++=friends'
' ^zz++++=EXTRAWORD
brougham ^nn+++??+=brougham
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
sent ^vpsv++agls+xvbnx+=sent
to ^to++++=to
fetch ^vbi++++=fetch
an ^at++++=an
aunt ^nn++++=aunt
from ^in++++=from
the ^ati++++=the
opera ^nn++++=opera.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
remained ^vprf+++xvbn+=remained
only ^rb+down+++=only
the ^ati++++=the
hansom ^nn+++??+=hansom
cab ^nn++++=cab.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
never ^rb++splt++=never
liked ^vprf+++xvbnx+=liked
hansoms ^nns+++??+=hansoms.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
two ^cd++++=two
great ^jj+atrb+++=great
wheels ^nns++++=wheels,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
little ^ap++++=little
black ^jj+atrb+++=black
boxes ^nns++++=boxes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
their ^pp$+pp3+++=their
drivers ^nns+nom+++=drivers
perched ^vbd+++xvbn+=perched
invisibly ^jj++++=invisibly
behind ^in+pl+++=behind
gave ^vbd+++xvbn+=gave
them ^pp3o+pp3+++=them
the ^ati++++=the
appearance ^nn+nom+++=appearance
of ^in++++=of
vehicles ^nns++++=vehicles
invented ^vbd+++xvbn+=invented
for ^in++++=for
flight ^nn++++=flight
rather ^rb++++=rather
than ^in++++=than
travel ^nn++++=travel.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
entered ^vbd+++xvbn+=entered
as ^ql++++=as
a ^at++++=a
respectable ^jj+atrb+++=respectable
Christian ^nn++++=Christian,
, ^zz++++=EXTRAWORD
the ^ati++++=the
doors ^nns++++=doors
clapped ^vbd+++xvbn+=clapped
together ^nn+nom+++=together
over ^in++++=over
your ^pp$+pp2+++=your
knees ^nns++++=knees,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
were ^vbd+bed+aux++=were
delivered ^vpsv++agls+xvbnx+=delivered
if ^cs+cnd+++=if
delivered ^vbd+++xvbn+=delivered
at ^rb++++=at
all ^abn++++=all
like ^in++++=like
a ^at++++=a
parcel ^nn++++=parcel
whose ^whp+rel+obj++=whose
direction ^nn+nom+++=direction
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
imperfectly ^rb++++=imperfectly
written ^jj+++xvbn+=written.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
shall ^md+prd+++=shall
not ^xnot++not++=not
go ^vb++++=go
in ^in++++=in
one ^pn++++=one,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
announced ^vbd+vpub++xvbnx+=announced.
. ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
you ^pp2+pp2+++=you
may ^md+pos+++=may
walk ^vb++++=walk,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Kate ^np++++=Kate.
. ^zz++++=EXTRAWORD
At ^rb++++=At
that ^dt+dem+++=that
instant ^nn+nom+++=instant
a ^at++++=a
gust ^nn++++=gust
drove ^vbd+++xvbn+=drove
the ^ati++++=the
fog ^nn++++=fog
into ^in++++=into
the ^ati++++=the
hall ^nn++++=hall,
, ^zz++++=EXTRAWORD
extinguished ^jj+atrb++xvbn+=extinguished
one ^cd1++++=one
gas ^nn++++=gas-jet,
- ^zz++++=EXTRAWORD
jet ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
revealed ^vbd+vprv++xvbn+=revealed
the ^ati++++=the
pavement ^nn+nom+++=pavement
swimming ^vwbg+++xvbg+=swimming
in ^in++++=in
mud ^nn++++=mud.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
entered ^vbd+++xvbnx+=entered
the ^ati++++=the
hansom ^nn+++??+=hansom.
. ^zz++++=EXTRAWORD
The ^ati++++=The
horse ^nn++++=horse
was ^vbd+bedz+vrb++=was
white ^jj+pred+++=white
or ^cc++++=or
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
been ^vprf+ben+vrb+xvbnx+=been
white ^jj++++=white
and ^cc+phrs+++=and
seemed ^jj+++xvbn+=seemed,
, ^zz++++=EXTRAWORD
in ^cs+sub+++=in
that ^cs"++++=that
brownish ^jj+atrb+++=brownish
vapour ^nn++++=vapour,
, ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi++vrb++=be
the ^ati++++=the
pale ^jj+atrb+++=pale
spirit ^nn++++=spirit
of ^in++++=of
some ^dti++++=some
horse ^nn++++=horse
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
died ^vprf+++xvbnx+=died
of ^in++++=of
overwork ^nn++++=overwork
and ^cc++++=and
returned ^vpsv++agls+xvbn+=returned
to ^in++++=to
protest ^nn++++=protest
against ^in++++=against
cab ^nn++++=cab
fares ^nns++++=fares.
. ^zz++++=EXTRAWORD
The ^ati++++=The
driver ^nn++++=driver
was ^vbd+bedz+vrb++=was
a ^at++++=a
large ^jj++++=large,
, ^zz++++=EXTRAWORD
red ^jj++++=red-faced
- ^zz++++=EXTRAWORD
faced ^vbd+++xvbn+=EXTRAWORD
man ^nn++++=man,
, ^zz++++=EXTRAWORD
muffled ^jj++++=muffled
to ^in++++=to
the ^ati++++=the
ears ^nns++++=ears.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
received ^vbd+++xvbnx+=received
the ^ati++++=the
address ^nns+nom+++=address
with ^in++++=with
a ^at++++=a
slow ^jj+atrb+++=slow
nod ^nn++++=nod.
. ^zz++++=EXTRAWORD
" ^zz++++="Colville
colville ^nn+++??+=EXTRAWORD
Gardens ^nns++++=Gardens,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
repeated ^vbd+++xvbnx+=repeated.
. ^zz++++=EXTRAWORD
" ^zz++++="Bayswater."
bayswater ^jjr++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="All
all ^abn++++=EXTRAWORD
right ^jj++++=right,
, ^zz++++=EXTRAWORD
mum ^nn++++=mum."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
no ^at++++=no
phrase ^nn++++=phrase
in ^in++++=in
the ^ati++++=the
English ^jj+atrb+++=English
language ^nn+nom+++=language
that ^tht+rel+subj++=that
should ^md+nec+++=should
inspire ^vb++++=inspire
more ^rbr++++=more
immediate ^jj+atrb+++=immediate
suspicion ^nn++++=suspicion.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
hostess ^nns+nom+++=hostess
tucked ^vbd+++xvbn+=tucked
a ^at++++=a
rug ^nn++++=rug
about ^rb++++=about
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
host ^nn++++=host
called ^vbd+++xvbn+=called
final ^jj+atrb+++=final
directions ^nns+nom+++=directions
up ^rp++++=up
through ^in++++=through
the ^ati++++=the
trap ^nn++++=trap,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
started ^vbd+++xvbn+=started.
. ^zz++++=EXTRAWORD
The ^ati++++=The
hansom ^nn+++??+=hansom
sprang ^vbd+++xvbn+=sprang
forward ^rb++++=forward;
; ^zz++++=EXTRAWORD
the ^ati++++=the
little ^jj+atrb+++=little
doors ^nns++++=doors
rattled ^vwbn+++xvbn+=rattled;
; ^zz++++=EXTRAWORD
the ^ati++++=the
white ^jj+atrb+++=white
horse ^nn++++=horse
disappeared ^vbd+seem++xvbn+=disappeared
as ^in++++=as
far ^in"+pl+++=far
as ^in"++++=as
his ^pp$+pp3+++=his
head ^nn++++=head
and ^cc++++=and
reappeared ^vpsv++agls+xvbn+=reappeared
as ^in++++=as
far ^in"+pl+++=far
as ^in"++++=as
his ^pp$+pp3+++=his
tail ^nn++++=tail;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
fog ^nn++++=fog
closed ^vbd+++xvbn+=closed
behind ^rp+pl+++=behind
us ^pp1o+pp1+++=us
like ^in++++=like
the ^ati++++=the
sea ^nn++++=sea
above ^jjb++++=above
a ^at++++=a
sinking ^jj+atrb++xvbg+=sinking
ship ^nn++++=ship.
. ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
first ^rb++++=first
ten ^cd++++=ten
minutes ^nns++++=minutes
Kate ^np++++=Kate
was ^vbd+bedz+aux++=was
delighted ^vpsv++agls+xvbnx+=delighted.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
romantic ^jj+pred+++=romantic,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
rheumatic ^jj+pred+++=rheumatic,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
replied ^vbd+vpub++xvbnx+=replied,
, ^zz++++=EXTRAWORD
drawing ^nvbg+++xvbg+=drawing
the ^ati++++=the
rug ^nn++++=rug
over ^in++++=over
my ^pp$+pp1+++=my
shoulders ^nns+nom+++=shoulders.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc+cls+++=EXTRAWORD
if ^cs+cnd+++=if
that ^dt+dem+++=that
man ^nn++++=man
knows ^vbz+vprv+++=knows
where ^wrb+who+whcl++=where
he ^pp3a+pp3+++=he
is ^vbz+bez+aux++=is
going ^vbg+++xvbgx+=going,
, ^zz++++=EXTRAWORD
why ^wrb+who+whq++=why
does ^vbz+doz+vrb++=does
he ^pp3a+pp3+++=he
keep ^vb++++=keep
pulling ^nvbg+++xvbg+=pulling
the ^ati++++=the
horse ^nn++++=horse
first ^rb++++=first
to ^to++++=to
one ^cd1++++=one
side ^nn++++=side
and ^cc++++=and
then ^rn+tm+++=then
to ^in++++=to
the ^ati++++=the
other ^ap++++=other?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
is ^vbz+bez+aux++=is
avoiding ^vbg+++xvbgx+=avoiding
things ^nns++++=things."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
things ^nns++++=things?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
things ^nns++++=things
we ^pp1a+pp1+++=we
cannot ^md+pos+not++=cannot
see ^vb+vprv+++=see."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
This ^dt+dem+++=This
explanation ^nn+nom+++=explanation
did ^vbd+dod+aux++=did
not ^xnot++not++=not
tranquillize ^vb++++=tranquillize
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
rolled ^vbd+++xvbn+=rolled
on ^in++++=on
and ^cc++++=and
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
over ^in++++=over
stones ^nns++++=stones,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
through ^in++++=through
mud ^nn++++=mud,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
turning ^vbg+++xvbg+=turning
sharply ^rb++++=sharply
into ^in++++=into
a ^at++++=a
street ^npl++++=street
so ^ql+emph+++=so
narrow ^jj++++=narrow
that ^dt+dem+++=that
I ^pp1a+pp1+++=I
expected ^vbd+vprv++xvbnx+=expected
both ^abx++++=both
wheels ^nns++++=wheels
to ^to++++=to
be ^vbi+vbi+aux++=be
shaved ^vpsv++agls+xvbnx+=shaved
off ^in+pl+++=off
against ^in++++=against
the ^ati++++=the
houses ^nns++++=houses.
. ^zz++++=EXTRAWORD
Lamps ^nns++++=Lamps
emerged ^vbd+++xvbn+=emerged
one ^pn++++=one
by ^in++++=by
one ^pn++++=one,
, ^zz++++=EXTRAWORD
stared ^j+++xvbn+=stared
dimly ^rb++++=dimly
at ^in++++=at
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
went ^vbd+++xvbn+=went
out ^rp+pl+++=out
behind ^in+strn+++=behind.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
a ^at++++=a
monstrous ^jj+atrb+++=monstrous
shadow ^nn++++=shadow
rose ^vbd+++xvbn+=rose
directly ^rb++++=directly
before ^in++++=before
the ^ati++++=the
horse ^nn++++=horse;
; ^zz++++=EXTRAWORD
Kate ^np++++=Kate
clutched ^vbd+++xvbn+=clutched
my ^pp$+pp1+++=my
arm ^nn++++=arm,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
uttered ^vbd+++xvbnx+=uttered
a ^at++++=a
cry ^nn++++=cry,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
shadow ^nn++++=shadow
proved ^vbd+vprv++xvbn+=proved
to ^to+vcmp+++=to
be ^vbi++vrb++=be
an ^at++++=an
omnibus ^&fw++++=omnibus
standing ^vbg+++xvbg+=standing
at ^rb++++=at
the ^ati++++=the
curb ^nn++++=curb-stone.
- ^zz++++=EXTRAWORD
stone ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="Did
did ^vbd+dod+aux++=EXTRAWORD
you ^pp2+pp2+++=you
think ^vb+vprv+tht0++=think
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
murderer ^nn+nom+++=murderer?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="No.
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
A ^at++++=A
cathedral ^nn+nom+++=cathedral."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
twenty ^cd++++=twenty
minutes ^nns++++=minutes
I ^pp1a+pp1+++=I
poked ^vbd+++xvbnx+=poked
up ^rp++++=up
the ^ati++++=the
little ^jj+atrb+++=little
door ^nn++++=door
in ^in++++=in
the ^ati++++=the
roof ^nn++++=roof.
. ^zz++++=EXTRAWORD
" ^zz++++="Driver!"
driver ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
no ^at++++=no
answer ^nn++++=answer.
. ^zz++++=EXTRAWORD
" ^zz++++="Driver!"
driver ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
A ^at++++=A
muffled ^jj+atrb+++=muffled
sound ^nn++++=sound
came ^vbd+++xvbn+=came
from ^in+ppvb+++=from
above ^nn++++=above.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
might ^md+pos+++=might
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
mum ^nn++++=mum,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
or ^cc++++=or
it ^pp3+it+++=it
might ^md+pos+++=might
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
snore ^nn++++=snore.
. ^zz++++=EXTRAWORD
" ^zz++++="Are
are ^vb+ber+vrb++=EXTRAWORD
you ^pp2+pp2+++=you
sure ^jj++++=sure
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
the ^ati++++=the
way ^nn++++=way?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="All
all ^abn++++=EXTRAWORD
right ^jj++++=right,
, ^zz++++=EXTRAWORD
mum ^nn++++=mum."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
Colville ^np+++??+=Colville
Gardens ^nns++++=Gardens?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Bayswater,
bayswater ^jjr++++=EXTRAWORD
, ^zz++++=EXTRAWORD
mum ^nn++++=mum."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
shut ^vbd+++xvbnx+=shut
the ^ati++++=the
trap ^nn++++=trap.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
is ^vbz+bez+aux++=is
drunk ^vpsv++agls+xvbnx+=drunk,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
whispered ^vbd+vpub++xvbnx+=whispered.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
is ^vbz+bez+vrb++=is
sleepy ^jj+pred+++=sleepy,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Kate ^np++++=Kate.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
possible ^jj+atrb+++=possible
comfort ^nn++++=comfort
is ^vbz+bez+vrb++=is
that ^dt+pdem+++=that?
? ^zz++++=EXTRAWORD
A ^at++++=A
sleeping ^jj+++xvbg+=sleeping
cabman ^jj++++=cabman
is ^vbz+bez+vrb++=is
as ^ql++++=as
dangerous ^jj++++=dangerous
as ^in++++=as
a ^at++++=a
drunken ^jj+atrb+++=drunken
one ^pn++++=one,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
less ^rbr++++=less
sociable ^jj++++=sociable."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
continued ^vbd+++xvbn+=continued.
. ^zz++++=EXTRAWORD
The ^ati++++=The
reins ^nns++++=reins
hung ^vbd+++xvbn+=hung
down ^rp++++=down
on ^in++++=on
either ^dtx++++=either
side ^nn++++=side
of ^in++++=of
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
slack ^jj++++=slack
as ^in++++=as
a ^at++++=a
useless ^jj++++=useless
rudder ^jjr++++=rudder;
; ^zz++++=EXTRAWORD
the ^ati++++=the
driver ^nn++++=driver
remained ^vbd+++xvbn+=remained
an ^at++++=an
unseen ^jj+atrb+++=unseen
power ^nn++++=power
above ^jjb++++=above;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
our ^pp$+pp1+++=our
pale ^nn++++=pale
horse ^nn++++=horse
bore ^vbd+++xvbn+=bore
us ^pp1o+pp1+++=us
into ^in++++=into
unknown ^jj+atrb+++=unknown
London ^np++++=London
with ^in++++=with
the ^ati++++=the
solemnity ^nn+nom+++=solemnity
of ^in++++=of
an ^at++++=an
animal ^nn++++=animal
conducting ^vwbg+++xvbg+=conducting
two ^cd++++=two
victims ^nns++++=victims
to ^in++++=to
a ^at++++=a
place ^nn++++=place
of ^in++++=of
sacrifice ^nn++++=sacrifice.
. ^zz++++=EXTRAWORD
Presently ^rb+tm+++=Presently
the ^ati++++=the
hansom ^nn++++=hansom
stopped ^vbd+++xvbn+=stopped.
. ^zz++++=EXTRAWORD
A ^at++++=A
policeman ^nn+nom+++=policeman
stood ^vbd+++xvbn+=stood
in ^in++++=in
a ^at++++=a
circle ^nn++++=circle
of ^in++++=of
mist ^nn++++=mist
under ^in++++=under
a ^at++++=a
lamp ^nn++++=lamp.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
driver ^nn++++=driver
