# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Little ^ap++++=Little
W ^zz++++=W'at
'at ^nn+++??+=EXTRAWORD
you ^pp2+pp2+++=you
people ^nns++++=people
do ^vb+do+vrb++=do
with ^in++++=with
meal ^nn++++=meal?
? ^zz++++=EXTRAWORD
Eat ^vb++++=Eat
it ^pp3+it+++=it
night ^nn++++=night
and ^cc++++0=an'
day ^nn++++=day?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Az ^np+++??+=Az
lie ^vb++++=lie
considered ^vbd+vprv+tht0+xvbn+=considered
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
eat ^vb++++=eat
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
replied ^vbd+vpub++xvbnx+=replied.
. ^zz++++=EXTRAWORD
' ^zz++++='Polyte
polyte ^vb+++??+=EXTRAWORD
left ^vbd+++xvbn+=left
the ^ati++++=the
desk ^nn++++=desk
and ^cc++++=and
came ^vpsv++agls+xvbn+=came
toward ^in++++=toward
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
compact ^jj+atrb+++=compact
young ^jj+atrb+++=young
man ^nn++++=man,
, ^zz++++=EXTRAWORD
dark ^jj++++=dark,
, ^zz++++=EXTRAWORD
active ^jj++++=active,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
proud ^jj++++=proud
of ^in++++=of
the ^ati++++=the
order ^to++++=order
he ^pp3a+pp3+++=he
maintained ^vbd+vpub++xvbnx+=maintained
in ^in++++=in
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Mathurin ^np++++=Mathurin's
's ^$++++=EXTRAWORD
store ^nn++++=store.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
white ^jj+atrb+++=white
shirt ^nn++++=shirt
was ^vbd+bedz+vrb++=was
open ^jj+pred+++=open
at ^rb++++=at
the ^ati++++=the
throat ^nn++++=throat,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
sleeves ^nns++++=sleeves
were ^vbd+bed+aux++=were
rolled ^vpsv++agls+xvbnx+=rolled
above ^jjb++++=above
sinewy ^jj+atrb+++=sinewy
brown ^jj+atrb+++=brown
wrists ^nns++++=wrists.
. ^zz++++=EXTRAWORD
A ^at++++=A
key ^jjb+atrb+++=key
ring ^nn++++=ring
hung ^vbd+++xvbn+=hung
at ^rb++++=at
his ^pp$+pp3+++=his
side ^nn++++=side.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
moved ^vbd+++xvbnx+=moved,
, ^zz++++=EXTRAWORD
the ^ati++++=the
keys ^nns++++=keys
made ^vbd+++xvbn+=made
a ^at++++=a
brisk ^jj+atrb+++=brisk,
, ^zz++++=EXTRAWORD
important ^jj+atrb+++=important
sound ^nn++++=sound.
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
much ^ap++++=much
meal ^nn++++=meal
he ^pp3a+pp3+++=he
wants ^vbz++++=wants?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
pail ^nn++++=pail."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="An'
and ^cc++++0=EXTRAWORD
w ^zz++++=w'at
'at ^nn+++??+=EXTRAWORD
else ^rb+cnj+++=else?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Some
some ^dti++++=EXTRAWORD
meat ^nn++++=meat.
. ^zz++++=EXTRAWORD
And ^cc+cls+++0=An'
coffee ^nn++++=coffee."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No
no ^at++++=EXTRAWORD
coffee ^nn++++=coffee."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Pa
pa ^npt++++=EXTRAWORD
say ^vb+vpub+++=say
coffee ^nn++++=coffee."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
say ^vb+vpub+++=say
no ^at++++=no
coffee ^nn++++=coffee.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
account ^vb++++=account
run ^vbd+++xvbn+=run
too ^ql++++=too
high ^np++++=high
already ^rb++++=already.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
tell ^vb++++=tell
him ^pp3o+pp3+++=him
that ^dt+pdem+++=that."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
did ^vbd+dod+aux++=did
not ^xnot++not++=not
move ^vb++++=move.
. ^zz++++=EXTRAWORD
" ^zz++++="Eh
eh ^uh++++=EXTRAWORD
bien ^&fw++++=bien?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
don ^npt++++=don'
' ^zz++++=EXTRAWORD
hear ^vb+vprv+++=hear?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
say ^vb+vpub+++=say
some ^dti++++=some
sugar ^nn++++=sugar,
, ^zz++++=EXTRAWORD
too ^rb++++=too."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
' ^zz++++='Polyte
polyte ^nn+++??+=EXTRAWORD
laughed ^vbd+++xvbn+=laughed
once ^rb+cnj+++=once,
, ^zz++++=EXTRAWORD
without ^in++++=without
amusement ^nn+nom+++=amusement.
. ^zz++++=EXTRAWORD
" ^zz++++="Sugar!
sugar ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
want ^vb++++=want
sugar ^nn++++=sugar
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
Maybe ^rb+hdg+++=Maybe
he ^pp3a+pp3+++=he
wants ^vbz++++=wants
oranges ^nns++++=oranges,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
wine ^nn++++=wine,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
a ^at++++=a
gold ^nn++++=gold
carriage ^nn+nom+++=carriage
to ^to++++=to
ride ^vbi++++=ride
in ^in+strn+++=in."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Az ^np+++??+=Az
lie ^vb++++=lie
looked ^vbd+++xvbn+=looked
past ^nn++++=past
him ^pp3o+pp3+++=him
at ^in++++=at
the ^ati++++=the
shelves ^nns++++=shelves.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
abundance ^nn+nom+++=abundance
had ^vb+hv+vrb++=had
an ^at++++=an
oppressive ^jj+atrb+++=oppressive
stillness ^nns+nom+++=stillness:
: ^zz++++=EXTRAWORD
sacks ^nns++++=sacks,
, ^zz++++=EXTRAWORD
tins ^nns++++=tins,
, ^zz++++=EXTRAWORD
bottles ^nns++++=bottles,
, ^zz++++=EXTRAWORD
folded ^jj+atrb++xvbn+=folded
cloth ^nn++++=cloth,
, ^zz++++=EXTRAWORD
plugs ^nns++++=plugs
of ^in++++=of
tobacco ^nn++++=tobacco,
, ^zz++++=EXTRAWORD
boxes ^nns++++=boxes
of ^in++++=of
cartridges ^nns+++??+=cartridges,
, ^zz++++=EXTRAWORD
coils ^nns++++=coils
of ^in++++=of
rope ^nn++++=rope.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
looked ^vbd+++xvbnx+=looked
neither ^dt++neg++=neither
covetous ^jj++++=covetous
nor ^cc+phrs+neg++=nor
ashamed ^jj++++=ashamed.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
glance ^nn++++=glance
merely ^rb+down+++=merely
counted ^vbd+++xvbn+=counted
what ^wdt+who+++=what
was ^vbd+bedz+vrb++=was
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
" ^zz++++="Pa
pa ^npt++++=EXTRAWORD
say ^vb+vpub+++=say
coal ^nn++++=coal
oil ^nn++++=oil,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
added ^vbd+vpub++xvbnx+=added.
. ^zz++++=EXTRAWORD
" ^zz++++="No."
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="An'
and ^cc++++0=EXTRAWORD
soap ^nn++++=soap."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No
no ^at++++=EXTRAWORD
soap ^nn++++=soap."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Ma
ma ^npt++++=EXTRAWORD
needs ^vbz++++=needs
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
people ^nns++++=people
always ^rb++++=always
need ^nn++++=need.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
don ^npt++++=don'
' ^zz++++=EXTRAWORD
never ^rb++++=never
pay ^vb++++=pay."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
go ^vb++++=go
pay ^nn++++=pay
when ^wrb+who+++=when
the ^ati++++=the
cotton ^nn++++=cotton's
's ^$++++=EXTRAWORD
sold ^vwbn+++xvbn+=sold."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Your
your ^pp$+pp2+++=EXTRAWORD
pa ^nn++++=pa's
's ^$++++=EXTRAWORD
cotton ^np++++=cotton
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
fit ^jj++++=fit
to ^to+jcmp+++=to
pay ^vbi++++=pay
fo ^nn+++??+=fo'
' ^zz++++=EXTRAWORD
the ^ati++++=the
seed ^nn++++=seed.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
knows ^vbz+vprv+tht0++=knows
that ^tht+vcmp+++=that."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
lowered ^vbd+++xvbnx+=lowered
the ^ati++++=the
pail ^nn++++=pail
and ^cc++++=and
set ^nn+++xvbn+=set
it ^pp3+it+++=it
on ^in++++=on
the ^ati++++=the
floor ^nn++++=floor.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
hollow ^jj+atrb+++=hollow
ring ^nn++++=ring
disturbed ^vbd+++xvbn+=disturbed
Baptiste ^np+++??+=Baptiste,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
shifted ^vprf+++xvbn+=shifted
on ^in++++=on
the ^ati++++=the
barrel ^nn++++=barrel
and ^cc++++=and
resumed ^vbd+++xvbn+=resumed
sleeping ^nvbg+++xvbg+=sleeping.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Mathurin ^np++++=Mathurin
entered ^vbd+++xvbn+=entered
from ^in++++=from
the ^ati++++=the
gallery ^nn+nom+++=gallery,
, ^zz++++=EXTRAWORD
brushing ^vbg+++xvbg+=brushing
cigar ^nn++++=cigar
ash ^nn++++=ash
from ^in++++=from
the ^ati++++=the
front ^nn++++=front
of ^in++++=of
his ^pp$+pp3+++=his
linen ^nn++++=linen
coat ^nn++++=coat.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
broad ^jj+pred+++=broad,
, ^zz++++=EXTRAWORD
gray ^np++++=gray-bearded,
- ^zz++++=EXTRAWORD
bearded ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
habitually ^nn++++=habitually
amused ^vbd+++xvbn+=amused.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
plantation ^nn+nom+++=plantation
house ^npl++++=house
stood ^vbd+++xvbn+=stood
across ^in+pl+++=across
the ^ati++++=the
yard ^nn++++=yard,
, ^zz++++=EXTRAWORD
beyond ^in++++=beyond
two ^cd++++=two
live ^vb++++=live
oaks ^nns++++=oaks
and ^cc++++=and
a ^at++++=a
row ^nn++++=row
of ^in++++=of
whitewashed ^vbd+++xvbn+=whitewashed
pillars ^nns++++=pillars.
. ^zz++++=EXTRAWORD
The ^ati++++=The
shutters ^nns+nom+++=shutters
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
closed ^vpsv++agls+xvbnx+=closed
against ^in++++=against
the ^ati++++=the
afternoon ^nn++++=afternoon
heat ^nn++++=heat.
. ^zz++++=EXTRAWORD
" ^zz++++="Ah,
ah ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Az ^np+++??+=Az
lie ^nn++++=lie,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
come ^vb++++=come
to ^to++++=to
take ^vbi++++=take
my ^pp$+pp1+++=my
whole ^jj+atrb+++=whole
store ^nn++++=store
away ^rp+pl+++=away?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
monsieur ^npt++++=monsieur."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
tryin ^nn+++??+=tryin',"
'," ^nn+++??+=EXTRAWORD
said ^vbd+vpub++xvbn+=said
' ^zz++++='Polyte.
polyte ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="Meal,
meal ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
meat ^nn++++=meat,
, ^zz++++=EXTRAWORD
coffee ^nn++++=coffee,
, ^zz++++=EXTRAWORD
sugar ^nn++++=sugar,
, ^zz++++=EXTRAWORD
coal ^nn++++=coal
oil ^nn++++=oil,
, ^zz++++=EXTRAWORD
soap ^nn++++=soap.
. ^zz++++=EXTRAWORD
Tomorrow ^nr+tm+++=To-morrow
she ^pp3a+pp3+++=she
comes ^vbz++++=comes
fo ^nn+++??+=fo'
' ^zz++++=EXTRAWORD
the ^ati++++=the
building ^nvbg+++xvbg+=building."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Mathurin ^np++++=Mathurin
laughed ^vbd+++xvbn+=laughed.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
your ^pp$+pp2+++=your
father ^nn++++=father,
, ^zz++++=EXTRAWORD
comment ^nn+nom+++=comment
a ^at++++=a
va ^&fw++++=va?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He's
he ^pp3a+pp3+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
well ^jj+pred+++=well."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Still
still ^rb++++=EXTRAWORD
going ^vbg+++xvbg+=going
back ^jjb++++=back
to ^to++++=to
Little ^ap++++=Little
River ^nn++++=River
when ^wrb+who+++=when
the ^ati++++=the
picking ^nvbg+++xvbg+=picking
is ^vbz+bez+aux++=is
finished ^vpsv++agls+xvbnx+=finished?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
monsieur ^npt++++=monsieur."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
he ^pp3a+pp3+++=he
must ^md+nec+++=must
make ^vb++++=make
a ^at++++=a
fine ^jj+atrb+++=fine
crop ^nn++++=crop
before ^cs+sub+++=before
he ^pp3a+pp3+++=he
goes ^vbz++++=goes.
. ^zz++++=EXTRAWORD
Give ^vb++++=Give
her ^pp3o+pp3+++=her
the ^ati++++=the
meal ^nn++++=meal,
, ^zz++++=EXTRAWORD
' ^zz++++='Polyte.
polyte ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
A ^rb++++=A
little ^rb"++++=little
meat ^nn++++=meat
also ^rb++++=also."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="His
his ^pp$+pp3+++=EXTRAWORD
account ^nn++++=account
" ^zz++++="
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
yes ^uh++++=yes,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+tht0++=know
his ^pp$+pp3+++=his
account ^nn++++=account.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+tht0++=know
everybody ^pn++++=everybody's
's ^vbz+bez+vrb++0=EXTRAWORD
account ^nn++++=account
better ^jjr++++=better
than ^cs+sub+++=than
they ^pp3a+pp3+++=they
do ^vb+do+vrb++=do
themselves ^ppls+pp3+++=themselves.
. ^zz++++=EXTRAWORD
Give ^vb++++=Give
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
' ^zz++++='Polyte
polyte ^vb+++??+=EXTRAWORD
filled ^vbd+++xvbn+=filled
the ^ati++++=the
pail ^nn++++=pail
halfway ^rb++++=halfway
with ^in++++=with
meal ^nn++++=meal
and ^cc++++=and
wrapped ^vbd+++xvbn+=wrapped
a ^at++++=a
narrow ^nn++++=narrow
strip ^vb++++=strip
of ^in++++=of
salt ^jj+atrb+++=salt
pork ^nn++++=pork
in ^in++++=in
paper ^nn++++=paper.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
set ^vbd+++xvbnx+=set
the ^ati++++=the
parcel ^nn++++=parcel
on ^in++++=on
top ^nn++++=top.
. ^zz++++=EXTRAWORD
" ^zz++++="Coffee,"
coffee ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Az ^np+++??+=Az
lie ^vb++++=lie
reminded ^vbd+vsua++xvbn+=reminded
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="No
no ^at++++=EXTRAWORD
coffee ^nn++++=coffee."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Coal
coal ^nn++++=EXTRAWORD
oil ^nn++++=oil."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No."
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Soap."
soap ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
go ^vb++++=go
home ^nr++++=home."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
took ^vbd+++xvbnx+=took
up ^rb+phrv+++=up
the ^ati++++=the
pail ^nn++++=pail,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
stood ^vbd+++xvbn+=stood
waiting ^vbg+++xvbg+=waiting.
. ^zz++++=EXTRAWORD
" ^zz++++="W'at
w ^zz++++=EXTRAWORD
'at ^nn+++??+=EXTRAWORD
you ^pp2+pp2+++=you
waitin ^nn+++??+=waitin'
