# ^zz++++=##
# ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
none ^rb++++=none
with ^in++++=with
a ^at++++=a
more ^rbr++++=more
complete ^jj+atrb+++=complete
expectation ^nn+nom+++=expectation
of ^in++++=of
punishment ^nn+nom+++=punishment.
. ^zz++++=EXTRAWORD
Third ^od++++=Third
came ^vbd+++xvbn+=came
Constable ^np++++=Constable
Flaherty ^np+++??+=Flaherty,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
held ^vbn+vprv++xvbn+=held
Silas ^np+++??+=Silas
by ^in++++=by
the ^ati++++=the
elbow ^nn++++=elbow,
, ^zz++++=EXTRAWORD
Sally ^np++++=Sally
by ^in++++=by
the ^ati++++=the
eye ^nn++++=eye,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
entire ^jjb+atrb+++=entire
legal ^jj+atrb+++=legal
situation ^nn+nom+++=situation
by ^in++++=by
a ^at++++=a
thread ^nn++++=thread.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
brass ^nn++++=brass
buttons ^nns++++=buttons
were ^vbd+bed+vrb++=were
polished ^jj+pred+++=polished,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
mustache ^nn+++??+=mustache
was ^vbd+bedz+vrb++=was
damp ^nn++++=damp,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
official ^jj+atrb+++=official
dignity ^nn+nom+++=dignity
had ^vb+hv+aux++=had
already ^rb++splt++=already
suffered ^vprf+++xvbnx+=suffered
scratches ^nns++++=scratches.
. ^zz++++=EXTRAWORD
Last ^rb++++=Last
came ^vbd+++xvbn+=came
Noah ^np++++=Noah
Bell ^nn++++=Bell.
. ^zz++++=EXTRAWORD
Noah ^np++++=Noah
was ^vbd+bedz+vrb++=was
Sally ^np++++=Sally's
's ^$++++=EXTRAWORD
husband ^nn++++=husband,
, ^zz++++=EXTRAWORD
Silas ^np++++=Silas's
's ^$++++=EXTRAWORD
landlord ^nn++++=landlord,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
man ^nn++++=man
of ^in++++=of
uncertain ^jj+atrb+++=uncertain
antiquity ^nn+nom+++=antiquity.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
might ^md+pos+++=might
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
sixty ^cd++++=sixty
if ^cs+cnd+++=if
time ^nn++++=time
had ^vbd+hvd+aux++=had
treated ^vprf+++xvbnx+=treated
him ^pp3o+pp3+++=him
badly ^rb+cnj+++=badly,
, ^zz++++=EXTRAWORD
eighty ^cd++++=eighty
if ^cs+cnd+++=if
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
treated ^vprf+++xvbnx+=treated
him ^pp3o+pp3+++=him
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
seventeen ^cd++++=seventeen
if ^cs+cnd+++=if,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
often ^rb++++=often
claimed ^vbd+vpub++xvbn+=claimed,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
remembered ^vbd+vprv++xvbnx+=remembered
a ^at++++=a
winter ^nn++++=winter
before ^cs+sub+++=before
snow ^nn++++=snow
was ^vbd+bedz+aux++=was
invented ^vpsv++agls+xvbnx+=invented.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
white ^jj+atrb+++=white
beard ^nn++++=beard
stood ^vbd+++xvbn+=stood
out ^rp+pl+++=out
from ^in++++=from
his ^pp$+pp3+++=his
chin ^nn++++=chin
in ^in++++=in
three ^cd++++=three
thoughtful ^jj+atrb+++=thoughtful
points ^nns++++=points.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
leaned ^vbd+++xvbnx+=leaned
on ^in++++=on
a ^at++++=a
cane ^nn++++=cane,
, ^zz++++=EXTRAWORD
held ^jj+atrb++xvbn+=held
one ^cd1++++=one
hand ^nn++++=hand
behind ^in+pl+++=behind
his ^pp$+pp3+++=his
ear ^nn++++=ear,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
smiled ^vpsv++agls+xvbn+=smiled
upon ^in++++=upon
the ^ati++++=the
court ^nn++++=court
with ^in++++=with
the ^ati++++=the
serene ^jj+atrb+++=serene
good ^jj+atrb+++=good
humor ^nn++++=humor
of ^in++++=of
a ^at++++=a
guest ^nn++++=guest
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
arrived ^vprf+++xvbnx+=arrived
for ^in++++=for
the ^ati++++=the
wrong ^jj+atrb+++=wrong
wedding ^nn++++=wedding.
. ^zz++++=EXTRAWORD
" ^zz++++="Call
call ^vb++++=EXTRAWORD
the ^ati++++=the
case ^nn++++=case,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Judge ^nn++++=Judge
Murphy ^np+++??+=Murphy.
. ^zz++++=EXTRAWORD
The ^ati++++=The
clerk ^nn++++=clerk
rose ^vbd+++xvbn+=rose.
. ^zz++++=EXTRAWORD
" ^zz++++="Sally
sally ^np++++=EXTRAWORD
Bell ^nn++++=Bell
against ^in++++=against
Silas ^np+++??+=Silas
Green ^nn++++=Green,
, ^zz++++=EXTRAWORD
complaint ^nn++++=complaint
of ^in++++=of
unlawful ^jj+atrb+++=unlawful
imprisonment ^nn+nom+++=imprisonment,
, ^zz++++=EXTRAWORD
assault ^nn++++=assault,
, ^zz++++=EXTRAWORD
attempted ^jj+atrb++xvbn+=attempted
drowning ^nvbg+++xvbg+=drowning,
, ^zz++++=EXTRAWORD
malicious ^jj+atrb+++=malicious
extinguishment ^nn+nom+++=extinguishment
of ^in++++=of
fires ^nns++++=fires,
, ^zz++++=EXTRAWORD
destruction ^nn+nom+++=destruction
of ^in++++=of
household ^nn++++=household
property ^nn++++=property,
, ^zz++++=EXTRAWORD
disturbance ^nn+nom+++=disturbance
of ^in++++=of
the ^ati++++=the
peace ^nn++++=peace,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
" ^zz++++="
" ^zz++++="Attempted
attempted ^vbd+++xvbn+=EXTRAWORD
drowning ^nvbg+++xvbg+=drowning?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
judge ^nn++++=judge.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
Honor ^nn++++=Honor."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="In
in ^in++++=EXTRAWORD
a ^at++++=a
house ^nn++++=house?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="So
so ^ql+emph+++=EXTRAWORD
alleged ^jj+++xvbn+=alleged,
, ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
Honor ^nn++++=Honor."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Judge ^nn++++=Judge
Murphy ^np+++??+=Murphy
looked ^vbd+++xvbn+=looked
at ^rb++++=at
the ^ati++++=the
ceiling ^nn+nom+++=ceiling.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
knew ^vbd+vprv+tht0+xvbnx+=knew
the ^ati++++=the
day ^nn++++=day
would ^md+prd+++=would
come ^vb++++=come,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="when
when ^wrb+who+++=EXTRAWORD
somebody ^pn++++=somebody
would ^md+prd+++=would
drown ^vb++++=drown
on ^in++++=on
dry ^jj+atrb+++=dry
land ^nn++++=land
in ^in++++=in
this ^dt+dem+++=this
court ^nn++++=court.
. ^zz++++=EXTRAWORD
Proceed ^vb++++=Proceed."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Constable ^npt++++=Constable
Flaherty ^np+++??+=Flaherty
pushed ^vwbn+++xvbn+=pushed
Silas ^np+++??+=Silas
half ^nn++++=half
a ^at++++=a
step ^vb++++=step
forward ^rb++++=forward.
. ^zz++++=EXTRAWORD
Silas ^np+++??+=Silas
immediately ^rb+tm+++=immediately
took ^vbd+++xvbn+=took
three ^cd++++=three
steps ^nns++++=steps
backward ^jj++++=backward.
. ^zz++++=EXTRAWORD
" ^zz++++="Stand
stand ^vb++++=EXTRAWORD
up ^rp++++=up,
, ^zz++++=EXTRAWORD
man ^nn++++=man,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
judge ^nn++++=judge.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+aux++=am
standing ^vbg+++xvbgx+=standing,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
do ^vb+do+vrb++=do
it ^pp3+it+++=it
with ^in++++=with
more ^rbr++++=more
confidence ^nn+nom+++=confidence."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Silas ^np+++??+=Silas
straightened ^vbd+++xvbn+=straightened.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
knees ^nns++++=knees
remained ^vbd+++xvbn+=remained
unconvinced ^jj++++=unconvinced.
. ^zz++++=EXTRAWORD
Sally ^np++++=Sally
raised ^vbd+++xvbn+=raised
the ^ati++++=the
bed ^nn++++=bed
slat ^nn++++=slat.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
make ^vb++++=make
him ^pp3o+pp3+++=him
stand ^vb++++=stand
where ^wrb+who+++=where
I ^pp1a+pp1+++=I
can ^md+pos+++=can
reach ^vb++++=reach
him ^pp3o+pp3+++=him."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You'll
you ^pp2+pp2+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
reach ^vb++++=reach
nobody ^pn++++=nobody,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Flaherty ^np+++??+=Flaherty,
, ^zz++++=EXTRAWORD
catching ^jj+++xvbg+=catching
her ^pp3o+pp3+++=her
wrist ^nn++++=wrist.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
court ^nn++++=court
has ^vbz+hvz+vrb++=has
rules ^nns++++=rules."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
had ^vb+hv+vrb++=had
rules ^nns++++=rules
too ^rb+cnj+++=too,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Sally ^np++++=Sally
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="One
one ^pn++++=EXTRAWORD
of ^in++++=of
them ^pp3o+pp3+++=them
was ^vbd+bedz+vrb++=was
that ^tht+vcmp+++=that
nobody ^pn++++=nobody
nails ^nns++++=nails
me ^pp1o+pp1+++=me
inside ^jjb++++=inside
a ^at++++=a
shack ^nn++++=shack
for ^in++++=for
three ^cd++++=three
days ^nns++++=days."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
spectators ^nns++++=spectators
stirred ^vbd+++xvbn+=stirred
pleasantly ^rb++++=pleasantly.
. ^zz++++=EXTRAWORD
A ^at++++=A
woman ^nn++++=woman
in ^in++++=in
the ^ati++++=the
rear ^jjb++++=rear
whispered ^jj+++xvbn+=whispered,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
told ^vbd+vpub+tht0+xvbnx+=told
you ^pp2+pp2+++=you
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
nailing ^nn+nom+++=nailing,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
a ^at++++=a
man ^nn++++=man
beside ^in+pl+++=beside
her ^pp$+pp3+++=her
answered ^vbd+vpub++xvbn+=answered
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
heard ^vprf++tht0+xvbnx+=heard
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
chaining ^vbg+++xvbgx+=chaining.
. ^zz++++=EXTRAWORD
Judge ^nn++++=Judge
Murphy ^np+++??+=Murphy
struck ^vbd+++xvbn+=struck
his ^pp$+pp3+++=his
desk ^nn++++=desk
with ^in++++=with
a ^at++++=a
paperweight ^nn+++??+=paperweight.
. ^zz++++=EXTRAWORD
" ^zz++++="Silence!
silence ^nn+nom+++=EXTRAWORD
! ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Bell ^np++++=Bell,
, ^zz++++=EXTRAWORD
put ^j+++xvbn+=put
down ^rp++++=down
that ^dt+dem+++=that
piece ^nn++++=piece
of ^in++++=of
lumber ^nn++++=lumber."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
evidence ^nn+nom+++=evidence."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
looks ^nns++++=looks
like ^in++++=like
a ^at++++=a
weapon ^nn++++=weapon."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
became ^vbd+++xvbn+=became
evidence ^nn+nom+++=evidence
after ^cs+sub+++=after
it ^pp3+it+++=it
finished ^vbd+++xvbn+=finished
being ^vbg+beg++xvbg+=being
a ^at++++=a
weapon ^nn++++=weapon."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Put
put ^vbd+++xvbn+=EXTRAWORD
it ^pp3+it+++=it
down ^rp++++=down."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Sally ^np++++=Sally
placed ^vwbn+++xvbn+=placed
the ^ati++++=the
slat ^nn++++=slat
on ^in++++=on
the ^ati++++=the
clerk ^nn++++=clerk's
's ^$++++=EXTRAWORD
table ^nn++++=table
with ^in++++=with
such ^abl++++=such
precision ^nn++++=precision
that ^tht+rel+obj++=that
the ^ati++++=the
ink ^nn++++=ink
bottle ^nn++++=bottle
jumped ^vbd+++xvbn+=jumped.
. ^zz++++=EXTRAWORD
Noah ^np++++=Noah
cupped ^jj++++=cupped
his ^pp$+pp3+++=his
hand ^nn++++=hand
behind ^in+pl+++=behind
his ^pp$+pp3+++=his
ear ^nn++++=ear.
. ^zz++++=EXTRAWORD
" ^zz++++="What's
what ^wdt+who+++=EXTRAWORD
's ^vbz+bez+aux++0=EXTRAWORD
she ^pp3a+pp3+++=she
putting ^vbg+++xvbg+=putting
down ^rb+phrv+++=down?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Evidence,"
evidence ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
shouted ^vbd+vpub++xvbn+=shouted
Flaherty ^np+++??+=Flaherty.
. ^zz++++=EXTRAWORD
" ^zz++++="Whose
whose ^whp+who+++=EXTRAWORD
residence ^nn+nom+++=residence?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Evidence!"
evidence ^nn+nom+++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I've
i ^pp1a+pp1+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
my ^pp$+pp1+++=my
own ^ap++++=own
residence ^nn+nom+++=residence."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Judge ^nn++++=Judge
Murphy ^np+++??+=Murphy
shut ^vbd+++xvbn+=shut
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
briefly ^rb+cnj+++=briefly,
, ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
man ^nn++++=man
may ^md+pos+++=may
close ^jj++++=close
a ^at++++=a
door ^nn++++=door
against ^in++++=against
weather ^nn++++=weather.
. ^zz++++=EXTRAWORD
" ^zz++++="Mr.
mr ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Bell ^np++++=Bell,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="you
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+aux++=are
not ^xnot++not++=not
yet ^rb++++=yet
testifying ^vbg+++xvbg+=testifying."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Noah ^np++++=Noah
smiled ^vbd+++xvbn+=smiled.
. ^zz++++=EXTRAWORD
" ^zz++++="Much
much ^ap++++=EXTRAWORD
obliged ^jj+++xvbn+=obliged."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Sit
sit ^vb++++=EXTRAWORD
down ^rb+phrv+++=down."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What?"
what ^wdt+who+++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="SIT
sit ^vb++++=EXTRAWORD
Down ^rb+phrv+++=DOWN."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
down ^rp++++=down."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
after ^cs+sub+++=after
Sally ^np++++=Sally
seized ^vbd+++xvbn+=seized
the ^ati++++=the
tail ^nn++++=tail
of ^in++++=of
his ^pp$+pp3+++=his
coat ^nn++++=coat
and ^cc++++=and
pulled ^jj+++xvbn+=pulled,
, ^zz++++=EXTRAWORD
the ^ati++++=the
chair ^nn++++=chair
beneath ^in+pl+++=beneath
him ^pp3o+pp3+++=him
rose ^vbd+++xvbn+=rose
to ^to++++=to
meet ^vbi++++=meet
the ^ati++++=the
requirements ^nns+nom+++=requirements
of ^in++++=of
the ^ati++++=the
court ^nn++++=court.
. ^zz++++=EXTRAWORD
Judge ^nn++++=Judge
Murphy ^np+++??+=Murphy
pointed ^vbd+++xvbn+=pointed
at ^rb++++=at
Silas ^np+++??+=Silas.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+aux++=are
accused ^vpsv++agls+xvbnx+=accused
of ^in++++=of
abducting ^xvbg+++xvbg+=abducting
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Bell ^np++++=Bell,
, ^zz++++=EXTRAWORD
imprisoning ^vbg+++xvbg+=imprisoning
her ^pp$+pp3+++=her
in ^in++++=in
a ^at++++=a
shack ^nn++++=shack,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
pouring ^jj+atrb++xvbg+=pouring
water ^nn++++=water
down ^in++++=down
the ^ati++++=the
chimney ^nn++++=chimney
whenever ^nn+nom+++=whenever
she ^pp3a+pp3+++=she
attempted ^vbd+++xvbnx+=attempted
to ^to+vcmp+++=to
make ^vbi++++=make
a ^at++++=a
fire ^nn++++=fire.
. ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
plead ^vb+vsua+++=plead?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
do ^vb+do+vrb++=do
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
