**the ^nn+++??+=**THE
Last ^rb++++=LAST
thou ^pp2+pp2+++=thou
forgotten ^vbd+vprv++xvbn+=forgotten
voices ^nns++++=voices?
? ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
forgotten ^vprf++tht0+xvbnx+=forgotten
everything ^pn++++=everything
save ^vb++++=save
silence ^nn+nom+++=silence.
. ^zz++++=EXTRAWORD
Show ^vb+vprv+tht0++=Show
thyself ^ppl++++=thyself,
, ^zz++++=EXTRAWORD
remnant ^nn+nom+++=remnant
of ^in++++=of
a ^at++++=a
vanished ^jj+atrb++xvbn+=vanished
world ^nn++++=world!
! ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
Come ^vprf+++xvbn+=Come
nearer ^rbr++++=nearer.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
I ^pp1a+pp1+++=I
obey ^vb++++=obey
no ^at++++=no
man ^nn++++=man.
. ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
Then ^rn+tm+++=Then
come ^vb++++=come
from ^in+ppvb+++=from
curiosity ^nn+nom+++=curiosity,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
hath ^vbz+hvz+aux++=hath
governed ^vprf+++xvbnx+=governed
more ^ql++++=more
men ^nns++++=men
than ^in++++=than
obedience ^nn+nom+++=obedience.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
Curiosity ^nn+nom+++=Curiosity
is ^vbz+bez+vrb++=is
dead ^jj+pred+++=dead.
. ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
Yet ^rb++++=Yet
thou ^pp2+pp2+++=thou
answerest ^jjt++++=answerest.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
Who ^whp+rel+obj++=Who
art ^nn++++=art
thou ^pp2+pp2+++=thou?
? ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
First ^od++++=First
tell ^vb++++=tell
me ^pp1o+pp1+++=me
who ^whp+who+++=who
asks ^vbz++++=asks.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
One ^cd1++++=One
who ^whp+who+++=who
hath ^vbz+hvz+aux++=hath
been ^vprf+ben+aux+xvbnx+=been
called ^vpsv++by+xvbnx+=called
by ^in++++=by
many ^ap++++=many
names ^nns++++=names
and ^cc++++=and
welcomed ^vpsv++by+xvbn+=welcomed
by ^in++++=by
none ^rb++++=none.
. ^zz++++=EXTRAWORD
In ^in++++=In
Judea ^np+++??+=Judea
they ^pp3a+pp3+++=they
named ^vbd+++xvbnx+=named
me ^pp1o+pp1+++=me
Ahasverus ^np+++??+=Ahasverus.
. ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
The ^ati++++=The
wanderer ^jjr++++=wanderer?
? ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
The ^ati++++=The
immortal ^nn++++=immortal.
. ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
The ^ati++++=The
man ^nn++++=man
who ^whp+rel+subj++=who
would ^md+prd+++=would
not ^xnot++not++=not
pity ^nn++++=pity?
? ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
The ^ati++++=The
man ^nn++++=man
whom ^whp+rel+obj++=whom
pity ^nn++++=pity
would ^md+prd+++=would
not ^xnot++not++=not
release ^nn++++=release.
. ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
Then ^rn+tm+++=Then
descend ^vb++++=descend
two ^cd++++=two
steps ^nns++++=steps.
. ^zz++++=EXTRAWORD
Thou ^pp2+pp2+++=Thou
wilt ^md+prd+++=wilt
find ^vb+vprv+++=find
a ^at++++=a
crack ^nn++++=crack
in ^in++++=in
the ^ati++++=the
stone ^nn++++=stone.
. ^zz++++=EXTRAWORD
*ahasverus ^nns+++??+=*Ahasverus
descends ^vbz++++=descends.
. ^zz++++=EXTRAWORD
From ^in++++=From
the ^ati++++=the
shadow ^nn++++=shadow
appears ^vbz+seem+++=appears
Prometheus ^np+++??+=Prometheus,
, ^zz++++=EXTRAWORD
chained ^xvbn+++xvbn+=chained
by ^in++++=by
wrists ^nns++++=wrists
and ^cc++++=and
ankles ^nns++++=ankles
to ^in++++=to
the ^ati++++=the
rock.* ^nn+++??+=rock.*
**ahasverus.** ^nn+++??+=**AHASVERUS.**
Another ^dt++++=Another
immortal ^jj++++=immortal!
! ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
Another ^dt++++=Another
prisoner ^nn+nom+++=prisoner.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
Thy ^pp$+pp2+++=Thy
face ^nn++++=face
is ^vbz+bez+vrb++=is
older ^jjr+pred+++=older
than ^in++++=than
Nineveh ^np+++??+=Nineveh,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
pride ^nn++++=pride
burns ^np++++=burns
in ^in++++=in
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
Pride ^nn++++=Pride
hath ^vbz+hvz+aux++=hath
survived ^vprf+++xvbnx+=survived
where ^wrb+who+++=where
cities ^nns++++=cities
have ^vb+hv+vrb++=have
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
And ^cc++++=And
these ^dt+dem+++=these
chains ^nns++++=chains?
? ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
The ^ati++++=The
handiwork ^nn++++=handiwork
of ^in++++=of
Vulcan ^np+++??+=Vulcan.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
Thy ^pp$+pp2+++=Thy
name ^nn++++=name?
? ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
Prometheus ^np+++??+=Prometheus.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
Thou ^pp2+pp2+++=Thou!
! ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
Even ^rb++++=Even
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
The ^ati++++=The
fire ^nn++++=fire-thief?
- ^zz++++=EXTRAWORD
thief ^nn++++=EXTRAWORD
? ^zz++++=EXTRAWORD
The ^ati++++=The
friend ^nn++++=friend
of ^in++++=of
man ^nn++++=man?
? ^zz++++=EXTRAWORD
The ^ati++++=The
Titan ^nn++++=Titan
whom ^whp+rel+obj++=whom
Jupiter ^np+++??+=Jupiter
fastened ^vbd+++xvbn+=fastened
to ^in++++=to
Caucasus ^np+++??+=Caucasus,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
an ^at++++=an
eagle ^nn++++=eagle
might ^md+pos+++=might
feed ^vb++++=feed
upon ^in++++=upon
his ^pp$+pp3+++=his
liver ^nn++++=liver?
? ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
Thou ^pp2+pp2+++=Thou
rememberest ^jjt++++=rememberest
well ^rb++++=well.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
I ^pp1a+pp1+++=I
remember ^nn+nom+++=remember
all ^abn++++=all
things ^nns++++=things
against ^in++++=against
my ^pp$+pp1+++=my
will ^md+prd+++=will.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
Hercules ^np+++??+=Hercules
broke ^vbd+++xvbn+=broke
thy ^pp$+pp2+++=thy
chains ^nns++++=chains.
. ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
Once ^rb+tm+++=Once.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
And ^cc++++=And
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
forged ^vpsv++agls+xvbnx+=forged
anew ^nn+++??+=anew?
? ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
Gods ^nns++++=Gods
forgive ^vb++++=forgive
rebellion ^nn++++=rebellion
no ^at++++=no
more ^rbr++++=more
readily ^rb++++=readily
than ^in++++=than
men ^nns++++=men
forgive ^vb++++=forgive
truth ^nn++++=truth.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
old ^jj+atrb+++=old
Olympus ^np+++??+=Olympus
faded ^vbd+++xvbn+=faded,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
myself ^ppl+pp1+++=myself
free ^jj++++=free.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
divine ^jj+atrb+++=divine
names ^nns++++=names
perish ^vb++++=perish
more ^rbr++++=more
swiftly ^rb++++=swiftly
than ^in++++=than
divine ^jj+atrb+++=divine
cruelties ^nns++++=cruelties.
. ^zz++++=EXTRAWORD
The ^ati++++=The
thunderer ^nn++++=thunderer
became ^vbd+++xvbn+=became
an ^at++++=an
idea ^nn++++=idea;
; ^zz++++=EXTRAWORD
the ^ati++++=the
idea ^nn++++=idea
became ^vbd+++xvbn+=became
a ^at++++=a
law ^nn++++=law;
; ^zz++++=EXTRAWORD
the ^ati++++=the
law ^nn++++=law
became ^vbd+++xvbn+=became
necessity ^nn+nom+++=necessity.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
was ^vbd+bedz+aux++=was
I ^pp1a+pp1+++=I
bound ^vbd+++xvbnx+=bound
again ^rb+tm+++=again
not ^xnot++not++=not
by ^in++++=by
Jupiter ^np+++??+=Jupiter,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
by ^in++++=by
the ^ati++++=the
world ^nn++++=world
he ^pp3a+pp3+++=he
made ^vbd+++xvbnx+=made.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
And ^cc++++=And
the ^ati++++=the
eagle ^nn++++=eagle?
? ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
Look ^vb++++=Look
above ^jjb++++=above.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
two ^cd++++=two.
. ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
Punishment ^nn+nom+++=Punishment
also ^rb++++=also
multiplies ^vbz++++=multiplies.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
Let ^vbd+++xvbn+=Let
them ^pp3o+pp3+++=them
come ^vb++++=come.
. ^zz++++=EXTRAWORD
Soon ^rb+tm+++=Soon
they ^pp3a+pp3+++=they
shall ^md+prd+++=shall
find ^vb+vprv+++=find
no ^at++++=no
flesh ^nn++++=flesh
but ^cc++++=but
ours ^pp$$++++=ours.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
why ^wrb+who+++=why
dost ^nn+++??+=dost
thou ^pp2+pp2+++=thou
smile ^vb++++=smile?
? ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
Because ^cs+cos+++=Because
thou ^pp2+pp2+++=thou
art ^nn++++=art
mistaken ^vwbn+++xvbn+=mistaken.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
In ^in++++=In
what ^wdt+who+++=what?
? ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
In ^in++++=In
believing ^xvbg+++xvbg+=believing
this ^dt+dem+++=this
to ^to++++=to
be ^vbi++vrb++=be
the ^ati++++=the
end ^nn++++=end.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
What ^wdt+who+++=What
remains ^vbz++++=remains?
? ^zz++++=EXTRAWORD
The ^ati++++=The
oceans ^nns++++=oceans
are ^vb+ber+vrb++=are
pits ^nns++++=pits
of ^in++++=of
salt ^nn++++=salt,
, ^zz++++=EXTRAWORD
the ^ati++++=the
valleys ^nns++++=valleys
urns ^nns++++=urns
of ^in++++=of
ash ^nn++++=ash.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
searched ^vprf+++xvbnx+=searched
from ^in++++=from
the ^ati++++=the
pillars ^nns++++=pillars
of ^in++++=of
Hercules ^np+++??+=Hercules
to ^in++++=to
the ^ati++++=the
deserts ^nn++++=deserts
beyond ^in++++=beyond
Cathay ^np+++??+=Cathay,
, ^zz++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
drowned ^jj+atrb++xvbn+=drowned
temples ^nns++++=temples
of ^in++++=of
Yucat ^np+++??+=Yucat
n ^zz++++=n
to ^in++++=to
the ^ati++++=the
ice ^nn++++=ice
where ^wrb+who+++=where
no ^at++++=no
compass ^nn++++=compass
points ^nns++++=points.
. ^zz++++=EXTRAWORD
No ^at++++=No
woman ^nn++++=woman
breathes ^nns+++??+=breathes;
; ^zz++++=EXTRAWORD
no ^at++++=no
infant ^nn++++=infant
quickens ^nns+++??+=quickens
beneath ^in+pl+++=beneath
a ^at++++=a
heart ^nn++++=heart.
. ^zz++++=EXTRAWORD
Humanity ^nn+nom+++=Humanity
is ^vbz+bez+aux++=is
finished ^vpsv++agls+xvbnx+=finished.
. ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
Humanity ^nn+nom+++=Humanity,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps.
. ^zz++++=EXTRAWORD
Life ^nn++++=Life,
, ^zz++++=EXTRAWORD
no ^at++++=no.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
Distinguish ^vb++++=Distinguish
not ^xnot++not++=not
between ^in++++=between
the ^ati++++=the
corpse ^nn++++=corpse
and ^cc++++=and
its ^pp$+it+++=its
shadow ^nn++++=shadow.
. ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
Beneath ^in+pl+++=Beneath
these ^dt+dem+++=these
rocks ^nns++++=rocks
the ^ati++++=the
fires ^nns++++=fires
labor ^nn++++=labor.
. ^zz++++=EXTRAWORD
In ^in++++=In
caves ^nns++++=caves
beyond ^in++++=beyond
thy ^pp$+pp2+++=thy
sight ^nn++++=sight,
, ^zz++++=EXTRAWORD
seeds ^nns++++=seeds
sleep ^nn++++=sleep
that ^tht+rel+obj++=that
no ^at++++=no
winter ^nn++++=winter
can ^md+pos+++=can
destroy ^vb++++=destroy.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
deep ^jj+atrb+++=deep
places ^nns++++=places,
, ^zz++++=EXTRAWORD
waters ^nns++++=waters
gather ^vb+vprv+++=gather.
. ^zz++++=EXTRAWORD
After ^in++++=After
the ^ati++++=the
long ^jj+atrb+++=long
night ^nn++++=night,
, ^zz++++=EXTRAWORD
clouds ^nns++++=clouds
shall ^md+prd+++=shall
return ^vb++++=return;
; ^zz++++=EXTRAWORD
after ^in++++=after
clouds ^nns++++=clouds,
, ^zz++++=EXTRAWORD
rain ^nn++++=rain;
; ^zz++++=EXTRAWORD
after ^in++++=after
rain ^nn++++=rain,
, ^zz++++=EXTRAWORD
moss ^np++++=moss,
, ^zz++++=EXTRAWORD
flower ^nn++++=flower,
, ^zz++++=EXTRAWORD
wing ^nn++++=wing,
