Dr ^npt++++=Dr.
to ^in++++=to
people ^nns++++=people.
. ^zz++++=EXTRAWORD
A ^at++++=A
woman ^nn++++=woman
believed ^vbd+vprv+tht0+xvbn+=believed
her ^pp$+pp3+++=her
husband ^nn++++=husband
wanted ^vbd+++xvbn+=wanted
to ^to+vcmp+++=to
poison ^vbi++++=poison
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
A ^at++++=A
clerk ^nn++++=clerk
could ^md+pos+++=could
not ^xnot++not++=not
enter ^vb++++=enter
an ^at++++=an
elevator ^nn++++=elevator
without ^in++++=without
crying ^xvbg+++xvbg+=crying
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There
had ^vb+hv+aux++=had
also ^rb++splt++=also
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
boy ^nn++++=boy
who ^whp+rel+subj++=who
washed ^vbd+++xvbn+=washed
his ^pp$+pp3+++=his
hands ^nns++++=hands
fifty ^cd++++=fifty
or ^cc++++=or
sixty ^cd++++=sixty
times ^nns++++=times
a ^at++++=a
day ^nn++++=day.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
listen ^vb++++=listen
and ^cc+phrs+++=and
listen ^vb++++=listen,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
the ^ati++++=the
doctor ^nn++++=doctor
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
go ^vb++++=go
down ^rp++++=down
into ^in++++=into
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
what ^wdt+who+++=what
they ^pp3a+pp3+++=they
pay ^nn++++=pay
me ^pp1o+pp1+++=me
to ^to++++=to
do ^vbi++++=do.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
ask ^vb++++=ask
me ^pp1o+pp1+++=me
to ^to++++=to
go ^vbi++++=go
into ^in++++=into
the ^ati++++=the
dark ^jj+atrb+++=dark
places ^nns++++=places
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
themselves ^ppls+pp3+++=themselves
are ^vb+ber+vrb++=are
afraid ^jj+pred+++=afraid
to ^to+jcmp+++=to
go ^vbi++++=go."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
took ^vbd+++xvbnx+=took
hold ^nn++++=hold
of ^in++++=of
my ^pp$+pp1+++=my
arm ^nn++++=arm.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
fingers ^nns+nom+++=fingers
trembled ^vbd+++xvbn+=trembled.
. ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
happens ^vbz+vsua+++=happens?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
bring ^vb++++=bring
things ^nns++++=things
out ^rp+pl+++=out
with ^in++++=with
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
tell ^vb++++=tell
myself ^ppl+pp1+++=myself
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
trained ^vpsv++agls+xvbnx+=trained,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
only ^rb+down+splt++=only
observing ^vbg+vprv++xvbgx+=observing,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
bring ^vb++++=bring
things ^nns++++=things
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
fears ^nns++++=fears
cling ^vb++++=cling
to ^in++++=to
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
dead ^jj+atrb+++=dead
fathers ^nns+nom+++=fathers
and ^cc++++=and
mothers ^nns+nom+++=mothers
follow ^vb+vprv+++=follow
me ^pp1o+pp1+++=me
home ^nr++++=home."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+aux++=are
tired ^vpsv++agls+xvbnx+=tired,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
stopped ^vbd+++xvbnx+=stopped
and ^cc+phrs+++=and
stared ^vbd+++xvbn+=stared.
. ^zz++++=EXTRAWORD
A ^at++++=A
sneer ^nn++++=sneer
came ^vbd+++xvbn+=came
upon ^in+ppvb+++=upon
his ^pp$+pp3+++=his
face ^nn++++=face.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
clever ^jj+pred+++=clever.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
put ^vbd+++xvbn+=put
things ^nns++++=things
aptly ^rb++++=aptly.
. ^zz++++=EXTRAWORD
The ^ati++++=The
doctor ^nn++++=doctor
is ^vbz+bez+aux++=is
tired ^vpsv++agls+xvbnx+=tired.
. ^zz++++=EXTRAWORD
Give ^vb++++=Give
him ^pp3o+pp3+++=him
a ^at++++=a
holiday ^nn++++=holiday.
. ^zz++++=EXTRAWORD
Send ^vb++++=Send
him ^pp3o+pp3+++=him
to ^in++++=to
the ^ati++++=the
sea ^nn++++=sea."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
turned ^vbd+++xvbnx+=turned
away ^rb+cnj+++=away,
, ^zz++++=EXTRAWORD
walked ^j+++xvbn+=walked
several ^ap++++=several
steps ^nns++++=steps,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
came ^vbd+++xvbn+=came
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
weariness ^nns+nom+++=weariness.
. ^zz++++=EXTRAWORD
Or ^cc+cls+++=Or
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
weariness ^nns+nom+++=weariness,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
not ^xnot++not++=not
of ^in++++=of
the ^ati++++=the
body ^nn++++=body.
. ^zz++++=EXTRAWORD
Think ^vb+vprv+++=Think
of ^in++++=of
a ^at++++=a
young ^jj+atrb+++=young
tree ^nn++++=tree
in ^in++++=in
a ^at++++=a
forest ^nn++++=forest.
. ^zz++++=EXTRAWORD
Old ^jj+atrb+++=Old
vines ^nns++++=vines
have ^vb+hv+aux++=have
wrapped ^vprf+++xvbnx+=wrapped
themselves ^ppls+pp3+++=themselves
about ^in++++=about
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
vines ^nns++++=vines
were ^vbd+bed+vrb++=were
there ^rn+pl+++=there
before ^in++++=before
the ^ati++++=the
tree ^nn++++=tree.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
climb ^vb++++=climb
it ^pp3+it+++=it
and ^cc++++=and
feed ^nn++++=feed
upon ^in++++=upon
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Presently ^rb+tm+++=Presently
the ^ati++++=the
tree ^nn++++=tree
cannot ^md+pos+not++=cannot
breathe ^vb++++=breathe.
. ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
what ^wdt+who+++=what
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are.
. ^zz++++=EXTRAWORD
Ideas ^nns++++=Ideas
planted ^vwbn+++xvbn+=planted
by ^in++++=by
dead ^jj+atrb+++=dead
people ^nns++++=people
grow ^vb++++=grow
in ^in++++=in
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
Beliefs ^nns++++=Beliefs,
, ^zz++++=EXTRAWORD
shame ^vb++++=shame,
, ^zz++++=EXTRAWORD
duty ^nn++++=duty,
, ^zz++++=EXTRAWORD
the ^ati++++=the
fear ^nn++++=fear
of ^in++++=of
touch ^nn++++=touch,
, ^zz++++=EXTRAWORD
the ^ati++++=the
fear ^nn++++=fear
of ^in++++=of
loneliness ^nns+nom+++=loneliness.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
twist ^nn++++=twist
around ^rp++++=around
our ^pp$+pp1+++=our
lives ^nns++++=lives.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
people ^nns++++=people
come ^vprf+++xvbn+=come
to ^in++++=to
me ^pp1o+pp1+++=me
and ^cc++++=and
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
' ^zz++++='Cut
cut ^vbd+++xvbn+=EXTRAWORD
me ^pp1o+pp1+++=me
free ^jj++++=free.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
am ^vb+bem+aux++=am
I ^pp1a+pp1+++=I
to ^to++++=to
do ^vbi++++=do?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
vines ^nns++++=vines
of ^in++++=of
my ^pp$+pp1+++=my
own ^ap++++=own."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
voice ^nn++++=voice
had ^vbd+hvd+aux++=had
become ^vprf+++xvbn+=become
shrill ^jj++++=shrill.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cords ^nns++++=cords
stood ^vbd+++xvbn+=stood
out ^rp+pl+++=out
in ^in++++=in
his ^pp$+pp3+++=his
throat ^nn++++=throat.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
want ^vb++++=want
to ^to+vcmp+++=to
escape ^vbi++++=escape,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
want ^vb++++=want
to ^to+vcmp+++=to
be ^vbi++vrb++=be
clean ^jj+pred+++=clean.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
want ^vb++++=want
to ^to+vcmp+++=to
begin ^vbi++++=begin
without ^in++++=without
all ^abn++++=all
the ^ati++++=the
crawling ^jj+atrb++xvbg+=crawling
crawling ^jj+atrb++xvbg+=crawling
things ^nns++++=things
men ^nns++++=men
have ^vb+hv+aux++=have
put ^vprf+++xvbnx+=put
into ^in++++=into
one ^cd1++++=one
another ^dt++++=another."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
tried ^vbd+++xvbnx+=tried
to ^to+vcmp+++=to
quiet ^vbi++++=quiet
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
my ^pp$+pp1+++=my
weakness ^nns+nom+++=weakness
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
has ^vbz+hvz+aux++=has
often ^rb++splt++=often
been ^vprf+ben+vrb+xvbnx+=been,
, ^zz++++=EXTRAWORD
to ^to++++=to
find ^vbi+vprv+++=find
a ^at++++=a
sentence ^nn+nom+++=sentence
that ^tht+rel+subj++=that
would ^md+prd+++=would
put ^vb+++xvbn+=put
a ^at++++=a
wall ^nn++++=wall
around ^rp++++=around
another ^dt++++=another
person ^nn++++=person's
's ^$++++=EXTRAWORD
distress ^nns+nom+++=distress.
. ^zz++++=EXTRAWORD
" ^zz++++="All
all ^abn++++=EXTRAWORD
suffering ^xvbg+++xvbg+=suffering
comes ^vbz++++=comes
from ^in+ppvb+++=from
the ^ati++++=the
desire ^nn++++=desire
to ^to+ncmp+++=to
be ^vbi+vbi+aux++=be
loved ^vpsv++agls+xvbnx+=loved,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Perhaps
perhaps ^rb++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
keep ^vb++++=keep
that ^cs+sub+++=that
in ^in++++=in
mind ^nn++++=mind
" ^zz++++="
Again ^rb+tm+++=Again
he ^pp3a+pp3+++=he
sneered ^vbd+++xvbnx+=sneered.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
understand ^vb+vprv+++=understand,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No."
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
said ^vprf+++xvbnx+=said
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
All ^abn++++=All
suffering ^xvbg+++xvbg+=suffering
comes ^vbz++++=comes
from ^in+ppvb+++=from
the ^ati++++=the
desire ^nn++++=desire
to ^to+ncmp+++=to
be ^vbi+vbi+aux++=be
loved ^vpsv++agls+xvbnx+=loved.
. ^zz++++=EXTRAWORD
Very ^ql+amp+++=Very
fine ^jj++++=fine.
. ^zz++++=EXTRAWORD
Very ^ql+amp+++=Very
complete ^vb++++=complete."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
walked ^vbd+++xvbnx+=walked
away ^rp+pl+++=away
into ^in++++=into
the ^ati++++=the
dusk ^nn++++=dusk.
. ^zz++++=EXTRAWORD
Under ^in++++=Under
the ^ati++++=the
trees ^nns++++=trees
his ^pp$+pp3+++=his
figure ^nn++++=figure
became ^vbd+++xvbn+=became
small ^jj++++=small.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
man ^nn++++=man
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
forgotten ^vprf++tht0+xvbnx+=forgotten
something ^pn++++=something,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
returned ^vbd+++xvbnx+=returned.
. ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
is ^vbz+bez+vrb++=is
something ^pn++++=something
in ^in++++=in
life ^nn++++=life
that ^tht+rel+subj++=that
will ^md+prd+++=will
not ^xnot++not++=not
be ^vb+be+aux++=be
named ^vpsv++agls+xvbnx+=named,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
more ^rbr++++=more
quietly ^rb++++=quietly.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
approach ^vb++++=approach
it ^pp3+it+++=it
with ^in++++=with
a ^at++++=a
fine ^jj+atrb+++=fine
phrase ^nn++++=phrase
and ^cc++++=and
it ^pp3+it+++=it
slips ^vbz++++=slips
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
Remember ^nn+nom+++=Remember
that ^tht+vcmp+++=that."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
remember ^nn+nom+++=remember.
. ^zz++++=EXTRAWORD
Years ^nns++++=Years
afterward ^rb+cnj+++=afterward,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
painter ^nn++++=painter
Leroy ^np+++??+=LeRoy
told ^vbd+vpub++xvbn+=told
me ^pp1o+pp1+++=me
of ^in++++=of
the ^ati++++=the
woman ^nn++++=woman
from ^in++++=from
Iowa ^np+++??+=Iowa,
, ^zz++++=EXTRAWORD
the ^ati++++=the
doctor ^nn++++=doctor's
's ^$++++=EXTRAWORD
fingers ^nns+nom+++=fingers
seemed ^vbd+seem++xvbn+=seemed
again ^rb+tm+++=again
to ^in++++=to
tug ^nn++++=tug
at ^in++++=at
his ^pp$+pp3+++=his
collar ^nn++++=collar.
. ^zz++++=EXTRAWORD
Leroy ^np+++??+=LeRoy
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
a ^at++++=a
successful ^jj+atrb+++=successful
painter ^nn++++=painter.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
lived ^vbd+++xvbnx+=lived
in ^in++++=in
rooms ^nns++++=rooms,
, ^zz++++=EXTRAWORD
borrowed ^jj+atrb++xvbn+=borrowed
money ^nn++++=money,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
talked ^vpsv++agls+xvbn+=talked
of ^in++++=of
going ^nn++++=going
to ^in++++=to
France ^np++++=France.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
long ^rb++++=long
and ^cc++++=and
narrow ^jj++++=narrow,
, ^zz++++=EXTRAWORD
with ^in++++=with
red ^jj+atrb+++=red
hair ^nn++++=hair
beginning ^vwbg+++xvbg+=beginning
to ^in++++=to
thin ^jj++++=thin
over ^in++++=over
his ^pp$+pp3+++=his
temples ^nns++++=temples.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
leg ^nn++++=leg
was ^vbd+bedz+vrb++=was
shorter ^jjr+pred+++=shorter
than ^in++++=than
the ^ati++++=the
other ^ap++++=other,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
hurried ^vbd+++xvbnx+=hurried
he ^pp3a+pp3+++=he
moved ^vbd+++xvbnx+=moved
like ^in++++=like
a ^at++++=a
wounded ^jj+atrb++xvbn+=wounded
bird ^nn++++=bird
trying ^vwbg+++xvbg+=trying
not ^xnot++not++=not
to ^to++++=to
show ^vbi+vprv+++=show
its ^pp$+it+++=its
hurt ^nn+++xvbn+=hurt.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
time ^nn++++=time
of ^in++++=of
the ^ati++++=the
Iowa ^np+++??+=Iowa
woman ^nn++++=woman
he ^pp3a+pp3+++=he
lived ^vbd+++xvbnx+=lived
in ^in++++=in
a ^at++++=a
boardinghouse ^nn+++??+=boardinghouse
on ^in++++=on
the ^ati++++=the
north ^np+pl+++=north
side ^nn++++=side
of ^in++++=of
Chicago ^np++++=Chicago.
. ^zz++++=EXTRAWORD
The ^ati++++=The
house ^npl++++=house
stood ^vbd+++xvbn+=stood
in ^in++++=in
a ^at++++=a
street ^nn++++=street
of ^in++++=of
narrow ^jj+atrb+++=narrow
buildings ^nns++++=buildings
with ^in++++=with
stone ^nn++++=stone
steps ^nns++++=steps
and ^cc++++=and
dirty ^jj+atrb+++=dirty
windows ^nns++++=windows.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
lace ^nn++++=lace
curtains ^nns++++=curtains
in ^in++++=in
the ^ati++++=the
parlor ^nn++++=parlor,
, ^zz++++=EXTRAWORD
artificial ^jj+atrb+++=artificial
flowers ^nns+nom+++=flowers
on ^in++++=on
the ^ati++++=the
dining ^jj+atrb++xvbg+=dining
table ^nn++++=table,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
smell ^nn++++=smell
of ^in++++=of
boiled ^jj+atrb++xvbn+=boiled
cabbage ^nn+nom+++=cabbage
that ^tht+rel+subj++=that
entered ^xvbn+++xvbn+=entered
everything ^pn++++=everything.
. ^zz++++=EXTRAWORD
The ^ati++++=The
woman ^nn++++=woman's
's ^$++++=EXTRAWORD
name ^nn++++=name
was ^vbd+bedz+vrb++=was
Clara ^np++++=Clara
Voss ^np+++??+=Voss.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
nearly ^rb+down+++=nearly
thirty ^cd++++=thirty
and ^cc++++=and
taught ^vprf+++xvbn+=taught
piano ^nn++++=piano
to ^in++++=to
children ^nns++++=children.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
from ^in+ppvb+++=from
a ^at++++=a
town ^nn++++=town
surrounded ^vwbn+++xvbn+=surrounded
by ^in++++=by
cornfields ^nns+++??+=cornfields,
, ^zz++++=EXTRAWORD
a ^at++++=a
place ^nn++++=place
where ^wrb+who+++=where
her ^pp3o+pp3+++=her
father ^npt++++=father
owned ^vbd+++xvbn+=owned
a ^at++++=a
store ^nn++++=store
and ^cc++++=and
spoke ^vbd+++xvbn+=spoke
little ^jj++++=little.
. ^zz++++=EXTRAWORD
Her ^pp3o+pp3+++=Her
mother ^npt++++=mother
had ^vbd+hvd+aux++=had
died ^vprf+++xvbnx+=died
when ^wrb+who+++=when
Clara ^np++++=Clara
was ^vbd+bedz+vrb++=was
twelve ^cd++++=twelve.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
four ^cd++++=four
daughters ^nns+nom+++=daughters
in ^in++++=in
the ^ati++++=the
house ^nn++++=house
and ^cc++++=and
no ^at++++=no
sons ^nns++++=sons.
. ^zz++++=EXTRAWORD
Men ^nns++++=Men
entered ^vbd+++xvbn+=entered
only ^rb+down+++=only
as ^ql++++=as
customers ^nns+nom+++=customers
or ^cc++++=or
as ^ql++++=as
callers ^nns+nom+++=callers
for ^in++++=for
the ^ati++++=the
older ^jjr+atrb+++=older
sisters ^nns+nom+++=sisters,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
they ^pp3a+pp3+++=they
sat ^vbd+++xvbnx+=sat
stiffly ^rb++++=stiffly
in ^in++++=in
the ^ati++++=the
parlor ^nn++++=parlor
while ^cs+sub+++=while
the ^ati++++=the
clock ^nn++++=clock
ticked ^vbd+++xvbn+=ticked.
. ^zz++++=EXTRAWORD
From ^in++++=From
girlhood ^nn+nom+++=girlhood
Clara ^np++++=Clara
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
told ^vpsv++agls+xvbnx+=told
that ^tht+vcmp+++=that
men ^nns++++=men
wanted ^vbd+++xvbn+=wanted
one ^cd1++++=one
thing ^nn++++=thing
and ^cc++++=and
that ^tht+vcmp+++=that
a ^at++++=a
decent ^jj+atrb+++=decent
woman ^nn++++=woman
must ^md+nec+++=must
not ^xnot++not++=not
permit ^vb++++=permit
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
same ^ap++++=same
time ^nn++++=time
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
told ^vpsv++agls+xvbnx+=told
that ^tht+vcmp+++=that
without ^in++++=without
a ^at++++=a
husband ^nn++++=husband
a ^at++++=a
woman ^nn++++=woman's
's ^$++++=EXTRAWORD
life ^nn++++=life
was ^vbd+bedz+vrb++=was
empty ^jj+pred+++=empty.
. ^zz++++=EXTRAWORD
The ^ati++++=The
two ^cd++++=two
ideas ^nns++++=ideas
grew ^vbd+++xvbn+=grew
together ^nn+nom+++=together
in ^in++++=in
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
desired ^vbd+vsua++xvbnx+=desired
what ^wdt+who+whcl++=what
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
taught ^vpsv++agls+xvbnx+=taught
to ^to+vcmp+++=to
fear ^vbi++++=fear,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
feared ^vbd+vprv++xvbn+=feared
what ^wdt+who+whcl++=what
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
taught ^vpsv++tht0+xvbnx+=taught
she ^pp3a+pp3+++=she
must ^md+nec+++=must
desire ^vb++++=desire.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
