Cold ^jj++++=Cold?
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Shorty ^np++++=Shorty
removed ^vwbn+++xvbn+=removed
his ^pp$+pp3+++=his
feet ^nns++++=feet.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
polite ^jj+pred+++=polite.
. ^zz++++=EXTRAWORD
Shorty ^np++++=Shorty
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
slept ^vprf+++xvbnx+=slept
through ^in++++=through
a ^at++++=a
saloon ^nn++++=saloon
being ^xvbg+++xvbg+=being
dismantled ^vpsv++agls+xvbn+=dismantled
around ^rp++++=around
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Annie ^np++++=Annie's
's ^$++++=EXTRAWORD
voice ^nn++++=voice
had ^vb+hv+vrb++=had
the ^ati++++=the
penetrating ^jj+atrb++xvbg+=penetrating
powers ^nns++++=powers
of ^in++++=of
a ^at++++=a
crosscut ^nn+++??+=crosscut
saw ^vbd+vprv++xvbn+=saw
striking ^jj+++xvbg+=striking
a ^at++++=a
nail ^nn++++=nail.
. ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+pdem+++=EXTRAWORD
here ^rn+pl+++=here
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
your ^pp$+pp2+++=your
bunk ^nn++++=bunk,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
from ^in++++=from
a ^at++++=a
safer ^jjr+atrb+++=safer
elevation ^nn+nom+++=elevation.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
while ^cs+sub+++=while
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
occupying ^vbg+++xvbgx+=occupying
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
ai ^vb+be+++=ain't."
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+vrb++0=EXTRAWORD
about ^in++++=about
to ^in+strn+++=to."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
That ^cs+sub+++=That
settled ^vprf+++xvbn+=settled
the ^ati++++=the
legal ^jj+atrb+++=legal
ownership ^nn+nom+++=ownership
without ^in++++=without
assessment ^nn+nom+++=assessment
work ^nn++++=work
or ^cc++++=or
appeal ^nn++++=appeal.
. ^zz++++=EXTRAWORD
Annie ^np+++??+=Annie
was ^vbd+bedz+vrb++=was
notorious ^jj+pred+++=notorious
all ^abn++++=all
along ^in++++=along
the ^ati++++=the
upper ^jjb+atrb+++=upper
creeks ^nns++++=creeks.
. ^zz++++=EXTRAWORD
Claim ^nn++++=Claim
jumping ^vwbg+++xvbg+=jumping
was ^vbd+bedz+vrb++=was
her ^pp$+pp3+++=her
professional ^jj+atrb+++=professional
recreation ^nn+nom+++=recreation.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
a ^at++++=a
man ^nn++++=man
left ^vbd+++xvbn+=left
his ^pp$+pp3+++=his
stakes ^nns++++=stakes
unguarded ^jj++++=unguarded
long ^rb++++=long
enough ^qlp++++=enough
to ^in++++=to
sneeze ^nn+++??+=sneeze,
, ^zz++++=EXTRAWORD
Annie ^np+++??+=Annie
would ^md+prd+++=would
relocate ^nn+nom+++=relocate
his ^pp$+pp3+++=his
ground ^nn++++=ground,
, ^zz++++=EXTRAWORD
rename ^nn+++??+=rename
the ^ati++++=the
creek ^nn++++=creek,
, ^zz++++=EXTRAWORD
file ^nn++++=file
papers ^nns++++=papers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
be ^vb+be+aux++=be
downtown ^rn++splt++=downtown
looking ^vbg+++xvbgx+=looking
for ^in++++=for
an ^at++++=an
injunction ^nn+nom+++=injunction
before ^cs+sub+++=before
he ^pp3a+pp3+++=he
got ^vbd+++xvbnx+=got
his ^pp$+pp3+++=his
handkerchief ^nn++++=handkerchief
folded ^vbd+++xvbn+=folded.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++0=She'd
'd ^vbd+hvd+aux++=EXTRAWORD
jumped ^vprf+++xvbnx+=jumped
fractions ^nns+nom+++=fractions,
, ^zz++++=EXTRAWORD
side ^nn++++=side
lines ^nns++++=lines,
, ^zz++++=EXTRAWORD
abandoned ^jj+atrb++xvbn+=abandoned
prospects ^nns++++=prospects,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
once ^rb+cnj+++=once,
, ^zz++++=EXTRAWORD
so ^ql++++=so
report ^vb++++=report
maintained ^vbd+vpub++xvbn+=maintained,
, ^zz++++=EXTRAWORD
a ^at++++=a
cemetery ^nn+nom+++=cemetery
because ^cs+cos+++=because
she ^pp3a+pp3+++=she
noticed ^vbd+vprv++xvbnx+=noticed
quartz ^nn++++=quartz
in ^in++++=in
the ^ati++++=the
headstones ^nns+++??+=headstones.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+aux++=had
lately ^rb+tm+splt++=lately
been ^vprf+ben+aux+xvbnx+=been
disputing ^vbg+++xvbgx+=disputing
with ^in++++=with
Ole ^np+++??+=Ole
and ^cc++++=and
Lars ^np+++??+=Lars
Lund ^np+++??+=Lund
over ^in++++=over
a ^at++++=a
wedge ^nn++++=wedge-shaped
- ^zz++++=EXTRAWORD
shaped ^jj+atrb++xvbn+=EXTRAWORD
fraction ^nn+nom+++=fraction
on ^in++++=on
Moosehide ^np+++??+=Moosehide
Creek ^nn++++=Creek.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Lund ^np+++??+=Lund
boys ^nns++++=boys
owned ^vbd+++xvbn+=owned
Discovery ^nn+nom+++=Discovery
Below ^in+strn+++=Below,
, ^zz++++=EXTRAWORD
Annie ^np+++??+=Annie
owned ^vbd+++xvbn+=owned
or ^cc+phrs+++=or
claimed ^vbd+vpub+tht0+xvbn+=claimed
she ^pp3a+pp3+++=she
owned ^vbd+++xvbnx+=owned
Number ^nn++++=Number
One ^cd1++++=One
Above ^jjb++++=Above,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
between ^in++++=between
the ^ati++++=the
two ^cd++++=two
lay ^jjb+++xvbn+=lay
a ^at++++=a
skinny ^jj+atrb+++=skinny
triangle ^nn++++=triangle
of ^in++++=of
gravel ^nn++++=gravel
no ^at++++=no
wider ^nn++++=wider
than ^in++++=than
a ^at++++=a
saloon ^nn++++=saloon
bar ^nn++++=bar
at ^in++++=at
one ^cd1++++=one
end ^nn++++=end
and ^cc++++=and
broad ^jj++++=broad
as ^in++++=as
a ^at++++=a
church ^npl++++=church
promise ^nn++++=promise
at ^rb++++=at
the ^ati++++=the
other ^ap++++=other.
. ^zz++++=EXTRAWORD
Nobody ^pn++++=Nobody
cared ^vbd+++xvbn+=cared
for ^in+ppvb+++=for
it ^pp3+it+++=it
till ^in++++=till
Lars ^np+++??+=Lars
sunk ^vbd+++xvbn+=sunk
a ^at++++=a
hole ^nn++++=hole
and ^cc++++=and
found ^vbd+vprv++xvbn+=found
a ^at++++=a
pay ^vb++++=pay-streak
- ^zz++++=EXTRAWORD
streak ^nn++++=EXTRAWORD
that ^tht+rel+subj++=that
washed ^vbd+++xvbn+=washed
eight ^cd++++=eight
dollars ^nns++++=dollars
to ^in++++=to
the ^ati++++=the
pan ^nn++++=pan.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
that ^dt+dem+++=that
the ^ati++++=the
fraction ^nn+nom+++=fraction
developed ^vbd+++xvbn+=developed
relatives ^nns++++=relatives,
, ^zz++++=EXTRAWORD
ancestors ^nns++++=ancestors,
, ^zz++++=EXTRAWORD
legal ^jj+atrb+++=legal
guardians ^nns++++=guardians,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
eight ^cd++++=eight
separate ^jj+atrb+++=separate
descriptions ^nns+nom+++=descriptions.
. ^zz++++=EXTRAWORD
Annie ^np+++??+=Annie
asserted ^vbd+vpub+tht0+xvbn+=asserted
she ^pp3a+pp3+++0=she'd
'd ^vbd+hvd+aux++=EXTRAWORD
staked ^vprf+++xvbnx+=staked
it ^pp3+it+++=it
in ^in++++=in
March ^nn++++=March.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Lunds ^np+++??+=Lunds
produced ^vbd+++xvbn+=produced
papers ^nns++++=papers
dated ^vwbn+++xvbn+=dated
February ^nr+nom+++=February.
. ^zz++++=EXTRAWORD
Annie ^np+++??+=Annie
said ^vbd+vpub+tht0+xvbn+=said
the ^ati++++=the
dates ^nns++++=dates
was ^vbd+bedz+aux++=was
forged ^vpsv++agls+xvbnx+=forged.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Lunds ^np+++??+=Lunds
produced ^vbd+++xvbn+=produced
two ^cd++++=two
witnesses ^nns+nom+++=witnesses.
. ^zz++++=EXTRAWORD
Annie ^np+++??+=Annie
said ^vbd+vpub+tht0+xvbn+=said
the ^ati++++=the
witnesses ^nns+nom+++=witnesses
was ^vbd+bedz+aux++=was
forged ^vpsv++agls+xvbnx+=forged.
. ^zz++++=EXTRAWORD
The ^ati++++=The
case ^nn++++=case
run ^vbd+++xvbn+=run
nine ^cd++++=nine
days ^nns++++=days,
, ^zz++++=EXTRAWORD
consumed ^xvbn+++xvbn+=consumed
four ^cd++++=four
lawyers ^nns+nom+++=lawyers,
, ^zz++++=EXTRAWORD
eleven ^cd++++=eleven
bottles ^nns++++=bottles
of ^in++++=of
ink ^nn++++=ink,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
most ^ap+emph+++=most
of ^in++++=of
the ^ati++++=the
available ^jj+atrb+++=available
profanity ^nn+nom+++=profanity
in ^in++++=in
the ^ati++++=the
district ^nn++++=district.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
afternoon ^nn++++=afternoon
the ^ati++++=the
judge ^nn++++=judge
decided ^vbd+vprv++xvbn+=decided
for ^in++++=for
the ^ati++++=the
Lunds ^np+++??+=Lunds.
. ^zz++++=EXTRAWORD
So ^ql++++=So
Annie ^np+++??+=Annie
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
in ^in++++=in
what ^wdt+who+++=what
you ^pp2+pp2+++=you'd
'd ^md+prd+aux++0=EXTRAWORD
call ^vb++++=call
a ^at++++=a
mood ^nn++++=mood
of ^in++++=of
disappointing ^jj+atrb+++=disappointing
affabilities ^nns+nom+++=affabilities.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
stood ^vbd+++xvbnx+=stood
over ^in++++=over
the ^ati++++=the
stove ^nn++++=stove
thawing ^vwbg+++xvbg+=thawing
her ^pp3o+pp3+++=her
mitts ^nns++++=mitts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
nobody ^pn++++=nobody
spoke ^vbd+++xvbn+=spoke,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
we ^pp1a+pp1+++=we'd
'd ^md+prd+aux++0=EXTRAWORD
all ^abn++++=all
been ^vb+jj+vrb+xvbn+=been
witnesses ^nns+nom+++=witnesses,
, ^zz++++=EXTRAWORD
jurors ^nns++++=jurors,
, ^zz++++=EXTRAWORD
advisers ^nns+nom+++=advisers,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
interested ^jj+atrb+++=interested
spectators ^nns++++=spectators
in ^in++++=in
one ^cd1++++=one
portion ^nn+nom+++=portion
of ^in++++=of
that ^dt+dem+++=that
lawsuit ^nn+++??+=lawsuit.
. ^zz++++=EXTRAWORD
Presently ^rb+tm+++=Presently
I ^pp1a+pp1+++=I
says ^vbz+vpub+++=says:
: ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Annie ^np+++??+=Annie,
, ^zz++++=EXTRAWORD
law ^nn++++=law
is ^vbz+bez+vrb++=is
law ^nn++++=law."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
turned ^vbd+++xvbnx+=turned
her ^pp$+pp3+++=her
eye ^nn++++=eye
on ^in++++=on
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
" ^zz++++="Billy
billy ^np++++=EXTRAWORD
Joyce ^np++++=Joyce,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
" ^zz++++="you
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+vrb++=are
the ^ati++++=the
only ^rb+down+++=only
living ^jj+atrb++xvbg+=living
example ^nn++++=example
of ^in++++=of
how ^wrb+who+++=how
far ^rb+pl+++=far
a ^at++++=a
human ^nn++++=human
being ^vwbg+beg++xvbg+=being
can ^md+pos+++=can
travel ^vb++++=travel
with ^in++++=with
no ^at++++=no
brains ^nns++++=brains
and ^cc++++=and
inadequate ^jj+atrb+++=inadequate
dogs ^nns++++=dogs."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+dem+++=EXTRAWORD
ai ^nn+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
relevant ^jj++++=relevant."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
refreshing ^jj+pred+++=refreshing,
, ^zz++++=EXTRAWORD
though ^rb+cnj+++=though."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Judge
judge ^nn++++=EXTRAWORD
says ^vbz+vpub+++=says
Lund ^np++++=Lund's
's ^$++++=EXTRAWORD
title ^nn++++=title
is ^vbz+bez+vrb++=is
good ^jj+pred+++=good."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
judge ^nn++++=judge,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Annie ^np+++??+=Annie,
, ^zz++++=EXTRAWORD
" ^zz++++="is
is ^vbz+bez+vrb++=EXTRAWORD
a ^at++++=a
stuffed ^jj+atrb++xvbn+=stuffed
overshoe ^nn+++??+=overshoe
decorated ^vbd+++xvbn+=decorated
with ^in++++=with
whiskers ^nns+nom+++=whiskers.
. ^zz++++=EXTRAWORD
Ole ^np+++??+=Ole
Lund ^np+++??+=Lund
is ^vbz+bez+vrb++=is
a ^at++++=a
blond ^jj+atrb+++=blond
thief ^nn++++=thief.
. ^zz++++=EXTRAWORD
Lars ^np+++??+=Lars
Lund ^np+++??+=Lund
is ^vbz+bez+vrb++=is
a ^at++++=a
silent ^jj+atrb+++=silent
thief ^nn++++=thief,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
the ^ati++++=the
worst ^jjt+atrb+++=worst
kind ^nn++++=kind
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
saves ^nns++++=saves
all ^rb++++=all
his ^pp$+pp3+++=his
breath ^nn++++=breath
for ^in++++=for
stealing ^xvbg+++xvbg+=stealing.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
lawyer ^nn++++=lawyer
is ^vbz+bez+vrb++=is
a ^at++++=a
sewer ^nn++++=sewer
with ^in++++=with
suspenders ^nns+nom+++=suspenders.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
witnesses ^nns+nom+++=witnesses
are ^vb+ber+vrb++=are
two ^cd++++=two-legged
- ^zz++++=EXTRAWORD
legged ^jj+atrb++xvbn+=EXTRAWORD
perjuries ^nns++++=perjuries.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
the ^ati++++=the
whole ^nn++++=whole
proceeding ^vwbg+++xvbg+=proceeding
was ^vbd+bedz+vrb++=was
a ^at++++=a
ceremonial ^jj+atrb+++=ceremonial
assassination ^nn+nom+++=assassination
of ^in++++=of
justice ^nn++++=justice."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Having ^vbg+++xvbg+=Having
discharged ^jj+++xvbn+=discharged
these ^dt+dem+++=these
oral ^jj+atrb+++=oral
formations ^nns+nom+++=formations,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
poured ^vbd+++xvbnx+=poured
coffee ^nn++++=coffee.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
hate ^nn++++=hate
them ^pp3o+pp3+++=them
Lunds ^np+++??+=Lunds
considerable ^jj++++=considerable,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
observed ^vbn+vprv++xvbn+=observed
Tallow ^np+++??+=Tallow-Face.
- ^zz++++=EXTRAWORD
face ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="Hate?"
hate ^vb++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Annie ^np+++??+=Annie
looked ^vbd+++xvbn+=looked
insulted ^vbd+++xvbn+=insulted.
. ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
pale ^nn++++=pale,
, ^zz++++=EXTRAWORD
parlor ^nn++++=parlor
word ^nn++++=word.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
for ^in++++=for
those ^dt+dem+++=those
men ^nns++++=men
a ^at++++=a
permanent ^jj++++=permanent,
, ^zz++++=EXTRAWORD
reinforced ^xvbn+++xvbn+=reinforced,
, ^zz++++=EXTRAWORD
frost ^nn++++=frost-proof
- ^zz++++=EXTRAWORD
proof ^nn++++=EXTRAWORD
detestation ^nn+nom+++=detestation.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
