From ^in++++=From
actress ^nns+nom+++=actress
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
quarreled ^vprf+++xvbnx+=quarreled
with ^in++++=with
her ^pp$+pp3+++=her
husband ^nn++++=husband
was ^vbd+bedz+vrb++=was
a ^at++++=a
niece ^nn++++=niece.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
he ^pp3a+pp3+++=he
told ^vbd+vpub++xvbnx+=told
me ^pp1o+pp1+++=me
that ^cs+sub+++=that
an ^at++++=an
admiral ^npt++++=admiral
commanding ^vwbg+++xvbg+=commanding
ships ^nns++++=ships
in ^in++++=in
the ^ati++++=the
Pacific ^jj++++=Pacific
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
father ^nn++++=father.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
father ^nn++++=father
went ^vbd+++xvbn+=went
away ^rp+pl+++=away
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
a ^at++++=a
boy ^nn++++=boy,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
like ^in++++=like
farming ^xvbg+++xvbg+=farming.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
wanted ^vbd+++xvbnx+=wanted
water ^nn++++=water.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
understand ^vb+vprv+++=understand
how ^wrb+who+whcl++=how
that ^dt+pdem+++=that
can ^md+pos+++=can
be ^vb+be+vrb++=be."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
When ^wrb+who+++=When
I ^pp1a+pp1+++=I
reminded ^vbd+vsua++xvbnx+=reminded
him ^pp3o+pp3+++=him
that ^cs+sub+++=that
the ^ati++++=the
admiral ^nn++++=admiral
was ^vbd+bedz+vrb++=was
younger ^jjr+pred+++=younger
than ^in++++=than
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
Aaron ^np+++??+=Aaron
looked ^vbd+++xvbn+=looked
hurt ^vbd+++xvbn+=hurt.
. ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
are ^vb+ber+vrb++=are
different ^jj+atrb+++=different
ways ^nns++++=ways
of ^in++++=of
being ^xvbg+++xvbg+=being
a ^at++++=a
father ^nn++++=father,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
The ^ati++++=The
villagers ^nns+nom+++=villagers
laughed ^vbd+++xvbn+=laughed
at ^in+ppvb+++=at
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
knew ^vbd+vprv+tht0+xvbnx+=knew
they ^pp3a+pp3+++=they
laughed ^vbd+++xvbnx+=laughed.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
laughter ^nn+nom+++=laughter
made ^vbd+++xvbn+=made
him ^pp3o+pp3+++=him
stubborn ^jj++++=stubborn.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
would ^md+prd+++=would
sit ^vb++++=sit
before ^cs+sub+++=before
the ^ati++++=the
grocery ^nn+nom+++=grocery
store ^nn++++=store
with ^in++++=with
the ^ati++++=the
dog ^nn++++=dog
held ^vbd+vprv++xvbn+=held
against ^in++++=against
his ^pp$+pp3+++=his
breast ^nn++++=breast
and ^cc++++=and
invent ^vb++++=invent
long ^jj+atrb+++=long
histories ^nns++++=histories.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
told ^vbd+vpub++xvbnx+=told
how ^wrb+who+whcl++=how
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
played ^vprf+++xvbnx+=played
in ^in++++=in
an ^at++++=an
orchard ^nn++++=orchard
with ^in++++=with
a ^at++++=a
famous ^jj+atrb+++=famous
senator ^nn++++=senator,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
stolen ^vprf+++xvbnx+=stolen
pears ^nns+++??+=pears
and ^cc++++=and
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
whipped ^vpsv++agls+xvbnx+=whipped
together ^nn+nom+++=together.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
told ^vbd+vpub++xvbnx+=told
how ^wrb+who+whcl++=how
a ^at++++=a
woman ^nn++++=woman
whose ^wp$r+who+whcl++=whose
portrait ^nn++++=portrait
appeared ^vbd+seem++xvbn+=appeared
in ^in++++=in
the ^ati++++=the
Sunday ^nr++++=Sunday
paper ^nn++++=paper
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
sung ^vprf+++xvbnx+=sung
to ^in++++=to
him ^pp3o+pp3+++=him
as ^ql++++=as
he ^pp3a+pp3+++=he
lay ^vbd+++xvbnx+=lay
sick ^jj++++=sick.
. ^zz++++=EXTRAWORD
At ^rb++++=At
first ^rb"++++=first
I ^pp1a+pp1+++=I
avoided ^vbd+++xvbnx+=avoided
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Later ^rbr+tm+++=Later
I ^pp1a+pp1+++=I
began ^vbd+++xvbnx+=began
to ^to++++=to
listen ^vbi++++=listen.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
me ^vbi++++=me
that ^dt+dem+++=that
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
lie ^vb++++=lie
as ^ql++++=as
other ^ap++++=other
men ^nns++++=men
lie ^nn++++=lie.
. ^zz++++=EXTRAWORD
The ^ati++++=The
names ^nns++++=names
in ^in++++=in
the ^ati++++=the
papers ^nns++++=papers
opened ^vbd+++xvbn+=opened
doors ^nns++++=doors
for ^in++++=for
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
entered ^vbd+++xvbnx+=entered
and ^cc+phrs+++=and
found ^vbd+vprv+tht0+xvbn+=found
rooms ^nns++++=rooms
filled ^vbd+++xvbn+=filled
with ^in++++=with
brothers ^nns+nom+++=brothers,
, ^zz++++=EXTRAWORD
sisters ^nns+nom+++=sisters,
, ^zz++++=EXTRAWORD
fathers ^nns+nom+++=fathers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
children ^nns++++=children.
. ^zz++++=EXTRAWORD
The ^ati++++=The
fact ^nn++++=fact
that ^tht+ncmp+++=that
these ^dt+dem+++=these
people ^nns++++=people
had ^vb+hv+aux++=had
never ^rb++splt++=never
seen ^vprf++tht0+xvbnx+=seen
him ^pp3o+pp3+++=him
mattered ^vbd+++xvbn+=mattered
little ^jj++++=little.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
seen ^vprf++tht0+xvbnx+=seen
their ^pp$+pp3+++=their
printed ^xvbn+++xvbn+=printed
faces ^nns++++=faces.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
read ^vprf+++xvbnx+=read
of ^in++++=of
their ^pp$+pp3+++=their
marriages ^nns+nom+++=marriages,
, ^zz++++=EXTRAWORD
illnesses ^nns+nom+++=illnesses,
, ^zz++++=EXTRAWORD
journeys ^nns++++=journeys,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
crimes ^nns++++=crimes.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
near ^in+pl+++=near
enough ^qlp++++=enough
to ^to++++=to
be ^vbi+vbi+aux++=be
loved ^vpsv++agls+xvbnx+=loved.
. ^zz++++=EXTRAWORD
In ^cs+sub+++=In
that ^cs"++++=that
autumn ^nn++++=autumn
the ^ati++++=the
newspapers ^nns+nom+++=newspapers
were ^vbd+bed+aux++=were
filled ^vpsv++agls+xvbnx+=filled
with ^in++++=with
the ^ati++++=the
trial ^nn++++=trial
of ^in++++=of
a ^at++++=a
man ^nn++++=man
named ^vbd+++xvbn+=named
Elias ^np+++??+=Elias
Kern ^np+++??+=Kern.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
foreman ^nn++++=foreman
in ^in++++=in
a ^at++++=a
bicycle ^nn++++=bicycle
factory ^nn++++=factory
on ^in++++=on
the ^ati++++=the
north ^np+pl+++=north
side ^nn++++=side
of ^in++++=of
Chicago ^np++++=Chicago.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
thirty ^cd++++=thirty-eight
- ^zz++++=EXTRAWORD
eight ^cd++++=EXTRAWORD
years ^nns++++=years
old ^jj++++=old
and ^cc++++=and
had ^vbd+hvd+aux++=had
worked ^vprf+++xvbnx+=worked
in ^in++++=in
the ^ati++++=the
same ^ap++++=same
factory ^nn++++=factory
for ^in++++=for
fourteen ^cd++++=fourteen
years ^nns++++=years.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
August ^nr++++=August
night ^nn++++=night
he ^pp3a+pp3+++=he
killed ^vbd+++xvbnx+=killed
his ^pp$+pp3+++=his
wife ^nn++++=wife.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
nothing ^pn++++=nothing
remarkable ^jj++++=remarkable
about ^rb++++=about
him ^pp3o+pp3+++=him
before ^in++++=before
that ^dt+dem+++=that
night ^nn++++=night.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+aux++=was
repeated ^vpsv++agls+xvbnx+=repeated
in ^in++++=in
the ^ati++++=the
newspapers ^nns+nom+++=newspapers.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
regular ^jj++++=regular
at ^rb++++=at
work ^nn++++=work.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
drank ^vbd+++xvbnx+=drank
little ^jj++++=little.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
three ^cd++++=three
children ^nns++++=children
and ^cc++++=and
gave ^vbd+++xvbn+=gave
his ^pp$+pp3+++=his
wages ^nns++++=wages
to ^in++++=to
his ^pp$+pp3+++=his
wife ^nn++++=wife.
. ^zz++++=EXTRAWORD
Neighbors ^np+++??+=Neighbors
had ^vbd+hvd+aux++=had
heard ^vprf+++xvbnx+=heard
no ^at++++=no
quarrels ^nns++++=quarrels.
. ^zz++++=EXTRAWORD
The ^ati++++=The
policemen ^nns++++=policemen,
, ^zz++++=EXTRAWORD
the ^ati++++=the
lawyers ^nns+nom+++=lawyers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
reporters ^nns+nom+++=reporters
all ^abn++++=all
wanted ^jj+++xvbn+=wanted
something ^pn++++=something
remarkable ^jj++++=remarkable,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
no ^at++++=no
one ^cd1++++=one
could ^md+pos+++=could
find ^vb+vprv+tht0++=find
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Each ^dt++++=Each
morning ^nn++++=morning
another ^dt++++=another
picture ^nn++++=picture
of ^in++++=of
Kern ^np+++??+=Kern
appeared ^vbd+seem++xvbn+=appeared.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
face ^nn++++=face
was ^vbd+bedz+vrb++=was
broad ^jj+pred+++=broad
and ^cc++++=and
pale ^nn++++=pale.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
hair ^nn++++=hair
had ^vbd+hvd+aux++=had
begun ^vprf+++xvbnx+=begun
to ^to++++=to
go ^vbi++++=go
back ^jjb++++=back
from ^in++++=from
his ^pp$+pp3+++=his
forehead ^nn++++=forehead.
. ^zz++++=EXTRAWORD
In ^in++++=In
one ^cd1++++=one
photograph ^nn++++=photograph
he ^pp3a+pp3+++=he
sat ^vbd+++xvbnx+=sat
beside ^in+pl+++=beside
his ^pp$+pp3+++=his
lawyer ^nn++++=lawyer
with ^in++++=with
his ^pp$+pp3+++=his
hands ^nns++++=hands
on ^in++++=on
his ^pp$+pp3+++=his
knees ^nns++++=knees.
. ^zz++++=EXTRAWORD
The ^ati++++=The
hands ^nns++++=hands
were ^vbd+bed+vrb++=were
thick ^jj+pred+++=thick
and ^cc++++=and
without ^in++++=without
shape ^nn++++=shape.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
in ^in++++=in
the ^ati++++=the
blurred ^jj+atrb++xvbn+=blurred
photograph ^nn++++=photograph
they ^pp3a+pp3+++=they
appeared ^vbd+seem++xvbnx+=appeared
stained ^vbd+++xvbn+=stained.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
began ^vbd+++xvbnx+=began
to ^to++++=to
imagine ^vbi+vprv+++=imagine
those ^dt+dem+++=those
hands ^nns++++=hands
among ^in++++=among
the ^ati++++=the
shining ^jj+atrb++xvbg+=shining
frames ^nns++++=frames
in ^in++++=in
the ^ati++++=the
factory ^nn++++=factory.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
lifted ^vbd+++xvbnx+=lifted
bars ^nns++++=bars
of ^in++++=of
steel ^nn++++=steel
and ^cc++++=and
fitted ^xvbn+++xvbn+=fitted
bearings ^nns++++=bearings.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
held ^vbd+vprv++xvbnx+=held
wrenches ^nns+++??+=wrenches
and ^cc++++=and
wiped ^vbd+++xvbn+=wiped
grease ^nn++++=grease
on ^in++++=on
a ^at++++=a
cloth ^nn++++=cloth.
. ^zz++++=EXTRAWORD
Under ^in++++=Under
the ^ati++++=the
nails ^nns++++=nails
black ^jj+atrb+++=black
lines ^nns++++=lines
remained ^vbd+++xvbn+=remained
after ^in++++=after
washing ^xvbg+++xvbg+=washing.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
Kern ^np+++??+=Kern
scrubbed ^vbd+++xvbn+=scrubbed
them ^pp3o+pp3+++=them
at ^in++++=at
night ^nn++++=night
in ^in++++=in
the ^ati++++=the
kitchen ^nn++++=kitchen
sink ^nn++++=sink.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
he ^pp3a+pp3+++=he
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
them ^pp3o+pp3+++=them
and ^cc++++=and
thought ^nn+++xvbn+=thought
they ^pp3a+pp3+++=they
belonged ^vbd+++xvbnx+=belonged
to ^in++++=to
another ^dt++++=another
man ^nn++++=man.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
Lena ^np+++??+=Lena,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
thirty ^cd++++=thirty-four
- ^zz++++=EXTRAWORD
four ^cd++++=EXTRAWORD
and ^cc++++=and
pregnant ^jj++++=pregnant.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
laughing ^jj+atrb++xvbg+=laughing
girl ^nn++++=girl.
. ^zz++++=EXTRAWORD
By ^in++++=By
the ^ati++++=the
time ^nn++++=time
of ^in++++=of
her ^pp$+pp3+++=her
death ^nn++++=death
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
become ^vprf+++xvbn+=become
broad ^jj++++=broad
through ^in++++=through
the ^ati++++=the
waist ^nn++++=waist
and ^cc++++=and
slow ^jj++++=slow
in ^in++++=in
her ^pp$+pp3+++=her
movements ^nns+nom+++=movements.
. ^zz++++=EXTRAWORD
Her ^pp3o+pp3+++=Her
mother ^npt++++=mother
lived ^vbd+++xvbn+=lived
with ^in+ppvb+++=with
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
The ^ati++++=The
old ^jj+atrb+++=old
woman ^nn++++=woman
was ^vbd+bedz+vrb++=was
kind ^nn++++=kind
and ^cc++++=and
worked ^vbd+++xvbn+=worked
all ^abn++++=all
day ^nn++++=day.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
cooked ^vbd+++xvbnx+=cooked,
, ^zz++++=EXTRAWORD
washed ^xvbn+++xvbn+=washed
clothing ^nn++++=clothing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cared ^vpsv++agls+xvbn+=cared
for ^in+ppvb+++=for
the ^ati++++=the
children ^nns++++=children.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
no ^at++++=no
cruelty ^nn++++=cruelty
in ^in++++=in
the ^ati++++=the
apartment ^nn+nom+++=apartment,
, ^zz++++=EXTRAWORD
unless ^cs+cnd+++=unless
the ^ati++++=the
mere ^jjb+atrb+++=mere
closeness ^nns+nom+++=closeness
of ^in++++=of
five ^cd++++=five
people ^nns++++=people
in ^in++++=in
four ^cd++++=four
rooms ^nns++++=rooms
may ^md+pos+++=may
become ^vprf+++xvbn+=become
a ^at++++=a
cruelty ^nn++++=cruelty.
. ^zz++++=EXTRAWORD
Across ^in+pl+++=Across
the ^ati++++=the
