# ^zz++++=#
Old ^jj+atrb+++=Old
escaped ^j+++xvbn+=escaped
a ^at++++=a
British ^jj+atrb+++=British
squadron ^nn++++=squadron,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
carried ^vbd+++xvbn+=carried
the ^ati++++=the
American ^jj+atrb+++=American
flag ^nn++++=flag
through ^in++++=through
some ^dti++++=some
of ^in++++=of
the ^ati++++=the
fiercest ^jjt+atrb+++=fiercest
battles ^nns++++=battles
in ^in++++=in
our ^pp$+pp1+++=our
early ^jj+atrb+++=early
history ^nn++++=history?
? ^zz++++=EXTRAWORD
A ^at++++=A
young ^jj+atrb+++=young
poet ^nn++++=poet
named ^vbd+++xvbn+=named
Oliver ^np++++=Oliver
Wendell ^np+++??+=Wendell
Holmes ^np+++??+=Holmes
read ^vbd+vprv++xvbn+=read
the ^ati++++=the
report ^nn++++=report.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
indignation ^nn+nom+++=indignation
rose ^vbd+++xvbn+=rose
to ^in++++=to
a ^at++++=a
white ^jj+atrb+++=white
heat ^nn++++=heat.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
seized ^vbd+++xvbnx+=seized
his ^pp$+pp3+++=his
pen ^nn++++=pen
and ^cc++++=and
wrote ^vbd+vprv++xvbn+=wrote
the ^ati++++=the
ringing ^jj+atrb++xvbg+=ringing
verses ^nns++++=verses
beginning ^vwbg+++xvbg+=beginning:
: ^zz++++=EXTRAWORD
" ^zz++++="Ay,
ay ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
tear ^nn++++=tear
her ^pp3o+pp3+++=her
tattered ^jj+atrb+++=tattered
ensign ^np++++=ensign
down ^in+strn+++=down!
! ^zz++++=EXTRAWORD
Long ^rb++++=Long
has ^vbz+hvz+aux++=has
it ^pp3+it+++=it
waved ^vbd+++xvbn+=waved
on ^in++++=on
high ^nn++++=high."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
poem ^nn++++=poem
flew ^vbd+++xvbn+=flew
from ^in++++=from
newspaper ^nn+nom+++=newspaper
to ^in++++=to
newspaper ^nn+nom+++=newspaper.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
copied ^vpsv++agls+xvbnx+=copied
throughout ^in++++=throughout
the ^ati++++=the
land ^nn++++=land.
. ^zz++++=EXTRAWORD
Schoolboys ^nns++++=Schoolboys
declaimed ^vbd+++xvbn+=declaimed
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
old ^jj+atrb+++=old
sailors ^nns++++=sailors
repeated ^vbd+++xvbn+=repeated
it ^pp3+it+++=it
with ^in++++=with
tears ^nns++++=tears
in ^in++++=in
their ^pp$+pp3+++=their
eyes ^nns++++=eyes;
; ^zz++++=EXTRAWORD
merchants ^nns+nom+++=merchants,
, ^zz++++=EXTRAWORD
mechanics ^nn++++=mechanics,
, ^zz++++=EXTRAWORD
farmers ^nns+nom+++=farmers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
statesmen ^nns++++=statesmen
joined ^vbd+++xvbn+=joined
in ^in++++=in
protest ^nn++++=protest.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
the ^ati++++=the
gallant ^jj+atrb+++=gallant
ship ^nn++++=ship
must ^md+nec+++=must
perish ^vb++++=perish,
, ^zz++++=EXTRAWORD
cried ^j+++xvbn+=cried
the ^ati++++=the
poet ^nn++++=poet,
, ^zz++++=EXTRAWORD
let ^j+++xvbn+=let
her ^pp$+pp3+++=her
not ^xnot++not++=not
be ^vb+be+aux++=be
destroyed ^vpsv++by+xvbnx+=destroyed
by ^in++++=by
workmen ^nns++++=workmen's
's ^$++++=EXTRAWORD
axes ^nns++++=axes.
. ^zz++++=EXTRAWORD
Better ^jjr++++=Better
that ^tht+jcmp+++=that
she ^pp3a+pp3+++=she
should ^md+nec+++=should
go ^vb++++=go
down ^rp++++=down
beneath ^in+pl+++=beneath
her ^pp$+pp3+++=her
flag ^nn++++=flag,
, ^zz++++=EXTRAWORD
amid ^in++++=amid
the ^ati++++=the
thunder ^nn++++=thunder
of ^in++++=of
her ^pp$+pp3+++=her
guns ^nns++++=guns!
! ^zz++++=EXTRAWORD
Public ^jj++++=Public
feeling ^xvbg+++xvbg+=feeling
swept ^vbd+++xvbn+=swept
everything ^pn++++=everything
before ^in++++=before
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Congress ^nns+nom+++=Congress
heard ^vbd+vprv++xvbn+=heard
the ^ati++++=the
demand ^nn++++=demand,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Constitution ^nn+nom+++=Constitution
was ^vbd+bedz+aux++=was
preserved ^vpsv++agls+xvbnx+=preserved
and ^cc+phrs+++=and
rebuilt ^vbd+++xvbn+=rebuilt.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
why ^wrb+who+whq++=why
did ^vbd+dod+aux++=did
the ^ati++++=the
people ^nns++++=people
care ^nn++++=care
so ^ql++++=so
much ^ap++++=much
for ^in++++=for
an ^at++++=an
aging ^jj+atrb++xvbg+=aging
wooden ^jj+atrb+++=wooden
frigate ^nn+nom+++=frigate?
? ^zz++++=EXTRAWORD
Why ^wrb+who+whq++=Why
should ^md+nec+++=should
a ^at++++=a
poem ^nn++++=poem
about ^rb++++=about
her ^pp3o+pp3+++=her
stir ^nn++++=stir
the ^ati++++=the
whole ^jj+atrb+++=whole
country ^nn++++=country?
? ^zz++++=EXTRAWORD
To ^in++++=To
answer ^vb++++=answer
that ^tht+vcmp+++=that
question ^nn+nom+++=question
we ^pp1a+pp1+++=we
must ^md+nec+++=must
go ^vb++++=go
back ^jjb++++=back
to ^in++++=to
the ^ati++++=the
troubled ^jj+atrb++xvbn+=troubled
years ^nns++++=years
following ^vwbg+++xvbg+=following
the ^ati++++=the
American ^jj+atrb+++=American
Revolution ^nn+nom+++=Revolution.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
young ^jj+atrb+++=young
republic ^nn++++=republic
had ^vbd+hvd+aux++=had
won ^vprf+++xvbnx+=won
its ^pp$+it+++=its
independence ^nn+nom+++=independence,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
had ^vb+hv+aux++=had
not ^xnot++not++=not
yet ^rb++++=yet
won ^vbd+++xvbn+=won
respect ^nn++++=respect
upon ^in++++=upon
the ^ati++++=the
sea ^nn++++=sea.
. ^zz++++=EXTRAWORD
American ^jj+atrb+++=American
merchant ^nn+nom+++=merchant
vessels ^nns++++=vessels
went ^vbd+++xvbn+=went
bravely ^rb++++=bravely
out ^rp+pl+++=out
to ^in++++=to
every ^at++++=every
quarter ^nn++++=quarter
of ^in++++=of
the ^ati++++=the
world ^nn++++=world,
, ^zz++++=EXTRAWORD
carrying ^vbg+++xvbg+=carrying
grain ^nn++++=grain,
, ^zz++++=EXTRAWORD
timber ^nn++++=timber,
, ^zz++++=EXTRAWORD
fish ^nns++++=fish,
, ^zz++++=EXTRAWORD
tobacco ^nn++++=tobacco,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
manufactured ^xvbn+++xvbn+=manufactured
goods ^nns++++=goods.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
brought ^vbd+++xvbnx+=brought
home ^nr++++=home
sugar ^nn++++=sugar,
, ^zz++++=EXTRAWORD
coffee ^nn++++=coffee,
, ^zz++++=EXTRAWORD
spices ^nns++++=spices,
, ^zz++++=EXTRAWORD
silks ^nns++++=silks,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
many ^ap++++=many
other ^ap++++=other
treasures ^nns++++=treasures
of ^in++++=of
foreign ^jj+atrb+++=foreign
commerce ^nn++++=commerce.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
they ^pp3a+pp3+++=they
sailed ^vbd+++xvbnx+=sailed
with ^in++++=with
little ^jj+atrb+++=little
protection ^nn+nom+++=protection.
. ^zz++++=EXTRAWORD
Foreign ^jj+atrb+++=Foreign
cruisers ^nns+nom+++=cruisers
stopped ^vbd+++xvbn+=stopped
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
cargoes ^nns++++=cargoes
were ^vbd+bed+aux++=were
seized ^vpsv++agls+xvbnx+=seized.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
sailors ^nns++++=sailors
were ^vbd+bed+aux++=were
sometimes ^rb++splt++=sometimes
carried ^vpsv++agls+xvbnx+=carried
off ^rb+phrv+++=off
and ^cc++++=and
forced ^vpsv++agls+xvbn+=forced
into ^in++++=into
alien ^jj+atrb+++=alien
service ^nn++++=service.
. ^zz++++=EXTRAWORD
Along ^in++++=Along
the ^ati++++=the
North ^nr+pl+++=North
African ^jj+atrb+++=African
coast ^nn++++=coast,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Barbary ^np+nom++??+=Barbary
powers ^nns++++=powers
sent ^vbd+++xvbn+=sent
out ^rp+pl+++=out
swift ^jj+atrb+++=swift
pirate ^nn++++=pirate
ships ^nns++++=ships
whose ^whp+rel+obj++=whose
crews ^nns++++=crews
captured ^vbd+++xvbn+=captured
merchantmen ^vbd+++xvbn+=merchantmen
and ^cc+phrs+++=and
held ^vbd+vprv++xvbn+=held
Christian ^jj+atrb+++=Christian
sailors ^nns++++=sailors
for ^in++++=for
ransom ^nn++++=ransom.
. ^zz++++=EXTRAWORD
The ^ati++++=The
governments ^nns+nom+++=governments
of ^in++++=of
Europe ^np++++=Europe
often ^rb++++=often
paid ^jj+atrb++xvbn+=paid
tribute ^nn++++=tribute
to ^in++++=to
these ^dt+dem+++=these
sea ^nn++++=sea
robbers ^nns+nom+++=robbers.
. ^zz++++=EXTRAWORD
America ^np++++=America,
, ^zz++++=EXTRAWORD
poor ^jj++++=poor
and ^cc+phrs+++=and
weak ^jj++++=weak,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
expected ^vpsv++agls+xvbnx+=expected
to ^to+vcmp+++=to
do ^vbi++++=do
the ^ati++++=the
same ^ap++++=same.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
many ^ap++++=many
citizens ^nns++++=citizens
who ^whp+rel+subj++=who
cried ^vbd+++xvbn+=cried,
, ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
need ^nn++++=need
no ^at++++=no
navy ^nn++++=navy!
! ^zz++++=EXTRAWORD
A ^at++++=A
navy ^nn++++=navy
costs ^nns++++=costs
too ^ql++++=too
much ^ap++++=much."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
But ^cc++++=But
events ^nns++++=events
supplied ^vbd+++xvbn+=supplied
the ^ati++++=the
answer ^nn++++=answer.
. ^zz++++=EXTRAWORD
Without ^in++++=Without
warships ^nns+nom+++=warships,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
flag ^nn++++=flag
could ^md+pos+++=could
not ^xnot++not++=not
protect ^vb++++=protect
our ^pp$+pp1+++=our
trade ^nn++++=trade.
. ^zz++++=EXTRAWORD
Without ^in++++=Without
trade ^nn++++=trade,
, ^zz++++=EXTRAWORD
the ^ati++++=the
new ^jj+atrb+++=new
nation ^nn++++=nation
could ^md+pos+++=could
not ^xnot++not++=not
prosper ^jjr++++=prosper.
. ^zz++++=EXTRAWORD
So ^rb++++=So
in ^in++++=in
1794 ^cd+date+++=1794
Congress ^nns+nom+++=Congress
authorized ^vwbn+++xvbn+=authorized
the ^ati++++=the
building ^jj+++xvbg+=building
of ^in++++=of
six ^cd++++=six
frigates ^nns+nom+++=frigates.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+aux++=were
to ^to++++=to
be ^vbi++vrb++=be
no ^at++++=no
ordinary ^jj+atrb+++=ordinary
vessels ^nns++++=vessels.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
must ^md+nec+++=must
be ^vb+be+vrb++=be
swift ^np++++=swift
enough ^qlp++++=enough
to ^to++++=to
escape ^vbi++++=escape
from ^in++++=from
ships ^nns++++=ships
stronger ^jjr++++=stronger
than ^cs+sub+++=than
themselves ^ppls+pp3+++=themselves
and ^cc++++=and
powerful ^jj++++=powerful
enough ^dt++++=enough
to ^in++++=to
defeat ^nn++++=defeat
ships ^nns++++=ships
of ^in++++=of
their ^pp$+pp3+++=their
own ^ap++++=own
class ^nn++++=class.
. ^zz++++=EXTRAWORD
One ^pn++++=One
of ^in++++=of
them ^pp3o+pp3+++=them
was ^vbd+bedz+vrb++=was
the ^ati++++=the
Constitution ^nn+nom+++=Constitution.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+aux++=was
built ^vpsv++agls+xvbnx+=built
at ^rb++++=at
Boston ^np++++=Boston
under ^in++++=under
the ^ati++++=the
direction ^nn+nom+++=direction
of ^in++++=of
skilled ^jj+atrb+++=skilled
shipwrights ^nns+++??+=shipwrights,
, ^zz++++=EXTRAWORD
from ^in++++=from
plans ^nns++++=plans
prepared ^vwbn+++xvbn+=prepared
by ^in++++=by
Joshua ^np++++=Joshua
Humphreys ^np+++??+=Humphreys.
. ^zz++++=EXTRAWORD
The ^ati++++=The
finest ^jjt+atrb+++=finest
materials ^nns+nom+++=materials
were ^vbd+bed+aux++=were
chosen ^vpsv++agls+xvbnx+=chosen.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
principal ^jjb+atrb+++=principal
timbers ^nns+nom+++=timbers
were ^vbd+bed+aux++=were
of ^in++++=of
live ^vb++++=live
oak ^nn++++=oak
from ^in++++=from
the ^ati++++=the
southern ^jj+atrb+++=southern
forests ^nns++++=forests,
, ^zz++++=EXTRAWORD
a ^at++++=a
wood ^npl++++=wood
so ^ql+emph+++=so
dense ^jj++++=dense
and ^cc+phrs+++=and
tough ^jj++++=tough
that ^dt+dem+++=that
cannon ^nn++++=cannon
shot ^vbd+++xvbn+=shot
had ^vb+hv+vrb++=had
difficulty ^nn++++=difficulty
piercing ^vwbg+++xvbg+=piercing
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Great ^jj+atrb+++=Great
care ^nn++++=care
went ^vbd+++xvbn+=went
into ^in++++=into
every ^at++++=every
knee ^nn++++=knee,
, ^zz++++=EXTRAWORD
beam ^nn++++=beam,
, ^zz++++=EXTRAWORD
plank ^vb++++=plank,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fastening ^nn++++=fastening.
. ^zz++++=EXTRAWORD
Paul ^np++++=Paul
Revere ^np+++??+=Revere
furnished ^vbd+++xvbn+=furnished
copper ^nn++++=copper
bolts ^nns++++=bolts
and ^cc++++=and
spikes ^nns+++??+=spikes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
later ^rbr+tm+++=later
rolled ^vbd+++xvbn+=rolled
copper ^nn++++=copper
for ^in++++=for
the ^ati++++=the
sheathing ^jj+++xvbg+=sheathing
of ^in++++=of
her ^pp$+pp3+++=her
hull ^np++++=hull.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
launched ^vbd+++xvbn+=launched
in ^in++++=in
1797 ^cd+date+++=1797,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Constitution ^nn+nom+++=Constitution
was ^vbd+bedz+vrb++=was
a ^at++++=a
magnificent ^jj+atrb+++=magnificent
sight ^nn++++=sight.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
measured ^vbd+++xvbnx+=measured
more ^rbr++++=more
than ^in++++=than
two ^cd++++=two
hundred ^cd++++=hundred
feet ^nns++++=feet
from ^in++++=from
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
her ^pp$+pp3+++=her
bowsprit ^nn+++??+=bowsprit
to ^in++++=to
the ^ati++++=the
stern ^nn++++=stern.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
tall ^jj++++=tall
masts ^vbz+++??+=masts
carried ^vbd+++xvbn+=carried
clouds ^nns++++=clouds
of ^in++++=of
canvas ^nn++++=canvas.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
black ^jj+atrb+++=black
sides ^nns++++=sides
were ^vbd+bed+aux++=were
pierced ^vpsv++agls+xvbnx+=pierced
for ^in++++=for
heavy ^jj+atrb+++=heavy
guns ^nns++++=guns,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
white ^jj+atrb+++=white
stripe ^nn++++=stripe
marked ^vbd+++xvbn+=marked
her ^pp3o+pp3+++=her
gun ^nn++++=gun
deck ^nn++++=deck.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+aux++=was
rated ^vpsv++agls+xvbnx+=rated
as ^ql++++=as
a ^at++++=a
forty ^cd++++=forty-four-gun
- ^zz++++=EXTRAWORD
four ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
gun ^nn++++=EXTRAWORD
frigate ^nn+nom+++=frigate,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
at ^rb++++=at
various ^jj+atrb+++=various
times ^nns++++=times
she ^pp3a+pp3+++=she
carried ^vbd+++xvbnx+=carried
more ^rbr++++=more
than ^cs+sub+++=than
that ^dt+dem+++=that
number ^nn++++=number.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
looked ^vbd+++xvbnx+=looked
strong ^jj++++=strong
because ^cs+cos+++=because
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
strong ^jj+pred+++=strong.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
also ^rb++++=also
graceful ^jj+pred+++=graceful
and ^cc++++=and
fast ^nn++++=fast.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
life ^nn++++=life
in ^in++++=in
her ^pp$+pp3+++=her
long ^rb++++=long
hull ^np++++=hull.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
the ^ati++++=the
wind ^nn++++=wind
filled ^vbd+++xvbn+=filled
her ^pp$+pp3+++=her
sails ^vbz++++=sails,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
seemed ^vbd+seem++xvbnx+=seemed
eager ^jj++++=eager
to ^to+jcmp+++=to
run ^vbi++++=run.
. ^zz++++=EXTRAWORD
Her ^pp3o+pp3+++=Her
first ^od++++=first
duties ^nns++++=duties
were ^vbd+bed+vrb++=were
against ^in++++=against
French ^nn++++=French
armed ^vbd+++xvbn+=armed
vessels ^nns++++=vessels
in ^in++++=in
the ^ati++++=the
West ^nr+pl+++=West
Indies ^nps++++=Indies,
, ^zz++++=EXTRAWORD
during ^in++++=during
the ^ati++++=the
undeclared ^jj+atrb++xvbn+=undeclared
naval ^jj+atrb+++=naval
conflict ^nn++++=conflict
with ^in++++=with
France ^np++++=France.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
her ^pp3o+pp3+++=her
first ^od++++=first
great ^jj+atrb+++=great
service ^nn++++=service
came ^vbd+++xvbn+=came
in ^in++++=in
the ^ati++++=the
Mediterranean ^np+nom+++=Mediterranean.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Barbary ^np+nom++??+=Barbary
rulers ^nns++++=rulers
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
too ^ql++++=too
far ^rb+pl+++=far.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bashaw ^nn+++??+=bashaw
of ^in++++=of
Tripoli ^np+++??+=Tripoli
declared ^vbd+++xvbn+=declared
war ^nn++++=war
upon ^in++++=upon
the ^ati++++=the
United ^np++++=United
States ^nns++++=States,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
corsairs ^vbz+++??+=corsairs
hunted ^vbd+++xvbn+=hunted
American ^jj+atrb+++=American
ships ^nns++++=ships.
. ^zz++++=EXTRAWORD
At ^rb++++=At
first ^rb"++++=first
our ^pp$+pp1+++=our
operations ^nns+nom+++=operations
against ^in++++=against
them ^pp3o+pp3+++=them
brought ^vbd+++xvbn+=brought
mixed ^vbd+++xvbn+=mixed
fortune ^nn++++=fortune.
. ^zz++++=EXTRAWORD
The ^ati++++=The
frigate ^nn+nom+++=frigate
Philadelphia ^np++++=Philadelphia
ran ^vbd+++xvbn+=ran
aground ^rb++++=aground
and ^cc++++=and
was ^vbd+bedz+aux++=was
captured ^vpsv++agls+xvbnx+=captured.
. ^zz++++=EXTRAWORD
Her ^pp3o+pp3+++=Her
officers ^nns+nom+++=officers
and ^cc++++=and
men ^nns++++=men
were ^vbd+bed+aux++=were
imprisoned ^vpsv++agls+xvbnx+=imprisoned,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
enemy ^nn++++=enemy
prepared ^jj+++xvbn+=prepared
to ^to+jcmp+++=to
use ^vbi++++=use
the ^ati++++=the
ship ^nn++++=ship
against ^in++++=against
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
Lieutenant ^npt+nom+++=Lieutenant
Stephen ^np++++=Stephen
Decatur ^np+++??+=Decatur
entered ^vbd+++xvbn+=entered
Tripoli ^np+++??+=Tripoli
harbor ^nn++++=harbor
by ^in++++=by
night ^nn++++=night
in ^in++++=in
a ^at++++=a
small ^jj+atrb+++=small
vessel ^nn++++=vessel,
, ^zz++++=EXTRAWORD
boarded ^xvbn+++xvbn+=boarded
the ^ati++++=the
Philadelphia ^np++++=Philadelphia
under ^in++++=under
the ^ati++++=the
guns ^nns++++=guns
of ^in++++=of
the ^ati++++=the
forts ^nns++++=forts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
burned ^vbd+++xvbn+=burned
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
deed ^nn++++=deed
that ^tht+rel+subj++=that
made ^vprf+++xvbn+=made
all ^abn++++=all
Europe ^np++++=Europe
marvel ^vb++++=marvel.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Constitution ^nn+nom+++=Constitution,
, ^zz++++=EXTRAWORD
meanwhile ^rb+cnj+++=meanwhile,
, ^zz++++=EXTRAWORD
became ^j+++xvbn+=became
the ^ati++++=the
flagship ^nn+nom+++=flagship
of ^in++++=of
Commodore ^npt++++=Commodore
Edward ^np++++=Edward
Preble ^np+++??+=Preble,
, ^zz++++=EXTRAWORD
a ^at++++=a
stern ^nn++++=stern,
, ^zz++++=EXTRAWORD
energetic ^jj+atrb+++=energetic
officer ^nn++++=officer
who ^whp+rel+subj++=who
trained ^vbd+++xvbn+=trained
his ^pp$+pp3+++=his
young ^jj+atrb+++=young
captains ^nns++++=captains
in ^in++++=in
a ^at++++=a
hard ^jj+atrb+++=hard
school ^nn++++=school.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
demanded ^vbd+vsua++xvbnx+=demanded
obedience ^nn+nom+++=obedience,
, ^zz++++=EXTRAWORD
courage ^nn+nom+++=courage,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
exact ^jj+atrb+++=exact
seamanship ^nn+nom+++=seamanship.
. ^zz++++=EXTRAWORD
The ^ati++++=The
officers ^nns+nom+++=officers
who ^whp+rel+subj++=who
served ^vbd+++xvbn+=served
under ^in++++=under
him ^pp3o+pp3+++=him
became ^vbd+++xvbn+=became
known ^vbd+vprv++xvbn+=known
as ^in++++=as
" ^zz++++="Preble's
preble ^nn+++??+=EXTRAWORD
's ^$++++=EXTRAWORD
boys ^nns++++=boys,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
though ^cs+sub+++=though
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
little ^ap++++=little
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
boyish ^jj+pred+++=boyish
in ^in++++=in
the ^ati++++=the
manner ^nn++++=manner
in ^in++++=in
which ^whp+rel+pied++=which
they ^pp3a+pp3+++=they
fought ^vbd+++xvbnx+=fought.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
summer ^nn++++=summer
of ^in++++=of
1804 ^cd+date+++=1804
the ^ati++++=the
Constitution ^nn+nom+++=Constitution
led ^vbd+++xvbn+=led
the ^ati++++=the
American ^jj+atrb+++=American
squadron ^nn++++=squadron
against ^in++++=against
