# ^zz++++=##
# ^zz++++=EXTRAWORD
Jane ^np++++=Jane
November ^nr+nom+++=November?
? ^zz++++=EXTRAWORD
No ^at++++=No.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
because ^cs+cos+++=because
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
always ^rb++splt++=always
possessed ^vprf+++xvbnx+=possessed
a ^rb++++=a
little ^rb"++++=little
common ^jj+atrb+++=common
sense ^nn++++=sense,
, ^zz++++=EXTRAWORD
people ^nns++++=people
call ^nn++++=call
me ^pp1o+pp1+++=me
hard ^jj++++=hard.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
cousin ^nn++++=cousin
Mattie ^np+++??+=Mattie
was ^vbd+bedz+vrb++=was
quite ^rb++++=quite
different ^jj+pred+++=different.
. ^zz++++=EXTRAWORD
Mattie ^np+++??+=Mattie
could ^md+pos+++=could
look ^vb++++=look
at ^rb++++=at
a ^at++++=a
dead ^jj+atrb+++=dead
rose ^nn+++xvbn+=rose
for ^in++++=for
twenty ^cd++++=twenty
minutes ^nns++++=minutes
and ^cc++++=and
remember ^nn+nom+++=remember
who ^whp+who+++=who
had ^vbd+hvd+aux++=had
given ^vprf+++xvbnx+=given
it ^pp3+it+++=it
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
kept ^vbd+++xvbnx+=kept
bits ^nns++++=bits
of ^in++++=of
ribbon ^nn++++=ribbon,
, ^zz++++=EXTRAWORD
old ^jj+atrb+++=old
notes ^nns++++=notes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^cd1++++=one
cracked ^vbd+++xvbn+=cracked
button ^nn++++=button
in ^in++++=in
a ^at++++=a
box ^nn++++=box
lined ^vbd+++xvbn+=lined
with ^in++++=with
blue ^jj+atrb+++=blue
paper ^nn++++=paper,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
none ^pn++++=none
of ^in++++=of
them ^pp3o+pp3+++=them
was ^vbd+bedz+vrb++=was
worth ^in++++=worth
a ^at++++=a
penny ^nn++++=penny.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
I ^pp1a+pp1+++=I
told ^vbd+vpub+tht0+xvbnx+=told
her ^pp$+pp3+++=her
so ^pn++++=so,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub+tht0+xvbnx+=said
they ^pp3a+pp3+++=they
was ^vbd+bedz+vrb++=was
precious ^jj+pred+++=precious
to ^in++++=to
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
" ^zz++++="Precious!"
precious ^jj++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+dem+++=EXTRAWORD
button ^nn++++=button
come ^vprf+++xvbn+=come
off ^in+pl+++=off
Jack ^np++++=Jack
Halibut ^np++++=Halibut's
's ^$++++=EXTRAWORD
working ^jj+atrb++xvbg+=working
waistcoat ^nn++++=waistcoat."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
why ^wrb+who+++=why,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
there ^rn+pl+++=there
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have
Mattie ^np+++??+=Mattie
all ^abn++++=all
over ^in+strn+++=over.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
both ^abx++++=both
lived ^jj+++xvbn+=lived
with ^in++++=with
her ^pp3o+pp3+++=her
father ^npt++++=father,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
Uncle ^nn++++=Uncle
Peter ^np++++=Peter
Bell ^nn++++=Bell,
, ^zz++++=EXTRAWORD
at ^rb++++=at
High ^jj+atrb+++=High
Ash ^nn++++=Ash
Farm ^nn++++=Farm.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
own ^ap++++=own
father ^nn++++=father
and ^cc++++=and
mother ^nn++++=mother
being ^vwbg+beg++xvbg+=being
dead ^jj++++=dead,
, ^zz++++=EXTRAWORD
Uncle ^nn++++=Uncle
Peter ^np++++=Peter
had ^vbd+hvd+aux++=had
taken ^vprf+++xvbnx+=taken
me ^pp1o+pp1+++=me
in ^in++++=in
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
twelve ^cd++++=twelve,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
worked ^vbd+++xvbnx+=worked
for ^in++++=for
my ^pp$+pp1+++=my
keep ^vb++++=keep
from ^in++++=from
that ^cs+sub+++=that
day ^nn++++=day
onward ^jjb++++=onward.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
made ^vbd+++xvbnx+=made
no ^at++++=no
grievance ^nn+nom+++=grievance
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
skimmed ^vbd+++xvbnx+=skimmed
the ^ati++++=the
milk ^nn++++=milk,
, ^zz++++=EXTRAWORD
fed ^j+++xvbn+=fed
the ^ati++++=the
hens ^nns++++=hens,
, ^zz++++=EXTRAWORD
helped ^j+++xvbn+=helped
with ^in++++=with
the ^ati++++=the
cheeses ^nns+nom++??+=cheeses,
, ^zz++++=EXTRAWORD
took ^jj+atrb++xvbn+=took
butter ^nn++++=butter
into ^in++++=into
market ^nn++++=market,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
could ^md+pos+++=could
get ^vb++++=get
more ^rbr++++=more
jam ^nn++++=jam
from ^in++++=from
a ^at++++=a
basket ^nn++++=basket
of ^in++++=of
gooseberries ^nns++++=gooseberries
than ^in++++=than
Mattie ^np+++??+=Mattie
could ^md+pos+++=could,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
forever ^rb++splt++=forever
letting ^vbg+++xvbgx+=letting
the ^ati++++=the
pan ^nn++++=pan
boil ^vb++++=boil
over ^in++++=over
while ^cs+sub+++=while
she ^pp3a+pp3+++=she
stared ^vbd+++xvbnx+=stared
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
window ^nn++++=window.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
through ^in++++=through
one ^pn++++=one
of ^in++++=of
these ^dt+dem+++=these
fits ^nns++++=fits
of ^in++++=of
staring ^xvbg+++xvbg+=staring
that ^dt+dem+++=that
Jack ^np++++=Jack
Halibut ^np+++??+=Halibut
first ^od++++=first
got ^vprf+++xvbn+=got
a ^at++++=a
hold ^nn++++=hold
on ^in++++=on
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
assistant ^nn+nom+++=assistant
to ^in+vcmp+++=to
old ^jj+atrb+++=old
Davy ^np++++=Davy
Crumb ^np+++??+=Crumb,
, ^zz++++=EXTRAWORD
the ^ati++++=the
blacksmith ^nn++++=blacksmith,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
strong ^jj+atrb+++=strong
shoulders ^nns+nom+++=shoulders,
, ^zz++++=EXTRAWORD
white ^jj+atrb+++=white
teeth ^nns++++=teeth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
nothing ^pn++++=nothing
else ^rb+cnj+++=else
worth ^in++++=worth
mentioning ^nn++++=mentioning.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
earned ^vbd+++xvbnx+=earned
eighteen ^cd++++=eighteen
shillings ^nns+nom+++=shillings
a ^at++++=a
week ^nn++++=week
when ^wrb+who+++=when
work ^nn++++=work
was ^vbd+bedz+vrb++=was
good ^jj+pred+++=good,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
it ^pp3+it+++=it
often ^rb++++=often
was ^vbd+bedz+vrb++=wasn't,
n't ^xnot++not++0=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
an ^at++++=an
old ^jj+atrb+++=old
mother ^nn++++=mother
in ^in++++=in
a ^at++++=a
damp ^nn++++=damp
cottage ^nn+nom+++=cottage
beyond ^in++++=beyond
the ^ati++++=the
mill ^nn++++=mill.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Mattie ^np+++??+=Mattie
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
an ^at++++=an
honest ^jj+atrb+++=honest
face ^nn++++=face.
. ^zz++++=EXTRAWORD
So ^ql++++=So
has ^vbz+hvz+vrb++=has
a ^at++++=a
cow ^nn++++=cow,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
come ^vb++++=come
to ^in++++=to
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
Jack ^np++++=Jack
used ^md"++pmd"++=used
to ^to++++=to
pass ^vb++++=pass
the ^ati++++=the
farm ^nn++++=farm
of ^in++++=of
evenings ^nns++++=evenings,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Mattie ^np+++??+=Mattie
would ^md+prd+++=would
find ^vb+vprv+++=find
business ^nns+nom+++=business
by ^in++++=by
the ^ati++++=the
gate ^nn++++=gate.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
business ^nns+nom+++=business,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
made ^vbd+++xvbnx+=made
some ^dti++++=some.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
carried ^vbd+++xvbnx+=carried
grain ^nn++++=grain
to ^in++++=to
hens ^nns++++=hens
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
to ^in++++=to
roost ^nn++++=roost,
, ^zz++++=EXTRAWORD
fetched ^jj+atrb++xvbn+=fetched
water ^nn++++=water
when ^wrb+who+++=when
the ^ati++++=the
pail ^nn++++=pail
was ^vbd+bedz+vrb++=was
full ^jj+pred+++=full,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
once ^rb+tm+++=once
took ^vbd+++xvbn+=took
a ^at++++=a
letter ^nn++++=letter
to ^in++++=to
the ^ati++++=the
post ^nn++++=post
that ^tht+rel+subj++=that
had ^vb+hv+vrb++=had
no ^at++++=no
stamp ^nn++++=stamp
and ^cc++++=and
no ^at++++=no
address ^nns+nom+++=address
because ^cs+cos+++=because,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
believe ^vb+vprv+++=believe
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
list ^nn++++=list
of ^in++++=of
things ^nns++++=things
she ^pp3a+pp3+++=she
meant ^vbd+vprv++xvbnx+=meant
to ^to+vcmp+++=to
buy ^vbi++++=buy
in ^in++++=in
town ^nn++++=town.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
warned ^vbd+vpub+tht0+xvbnx+=warned
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
" ^zz++++="Mattie,"
mattie ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
" ^zz++++="he
he ^pp3a+pp3+++=EXTRAWORD
may ^md+pos+++=may
be ^vb+be+vrb++=be
handsome ^jj+pred+++=handsome
by ^in++++=by
candlelight ^nn++++=candlelight,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
candlelight ^nn++++=candlelight
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
show ^vb+vprv+++=show
holes ^nns++++=holes
in ^in++++=in
stockings ^nns++++=stockings."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
has ^vbz+hvz+vrb++=has
no ^at++++=no
holes ^nns++++=holes
in ^in++++=in
his ^pp$+pp3+++=his
stockings ^nns++++=stockings,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she.
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+whq++=EXTRAWORD
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
know ^vb+vprv+++=know?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
went ^vbd+++xvbnx+=went
as ^ql++++=as
pink ^np++++=pink
as ^cs+sub+++=as
boiled ^vbd+++xvbn+=boiled
ham ^nn++++=ham,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
answered ^vprf+++xvbn+=answered
that ^tht+vcmp+++=that
question ^nn+nom+++=question
without ^in++++=without
answering ^xvbg+++xvbg+=answering
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Uncle ^nn++++=Uncle
Peter ^np++++=Peter
found ^vbd+vprv++xvbn+=found
them ^pp3o+pp3+++=them
by ^in++++=by
the ^ati++++=the
orchard ^nn++++=orchard
wall ^nn++++=wall
one ^cd1++++=one
Sunday ^nr++++=Sunday
after ^in++++=after
chapel ^nn++++=chapel.
. ^zz++++=EXTRAWORD
Jack ^np++++=Jack
was ^vbd+bedz+aux++=was
holding ^vbg+vprv++xvbgx+=holding
Mattie ^np++++=Mattie's
's ^$++++=EXTRAWORD
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
holding ^vbg+vprv++xvbgx+=holding
his ^pp$+pp3+++=his;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+vrb++=be
unjust ^jj+pred+++=unjust,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
in ^in++++=in
my ^pp$+pp1+++=my
opinion ^nn++++=opinion
the ^ati++++=the
distinction ^nn+nom+++=distinction
is ^vbz+bez+vrb++=is
no ^at++++=no
larger ^nn++++=larger
than ^in++++=than
the ^ati++++=the
difference ^nn+nom+++=difference
between ^in++++=between
a ^at++++=a
sixpence ^nn+nom+++=sixpence
and ^cc++++=and
two ^cd++++=two
threepences ^nns+nom+++=threepences.
. ^zz++++=EXTRAWORD
Uncle ^nn++++=Uncle
Peter ^np++++=Peter
put ^vbd+++xvbn+=put
his ^pp$+pp3+++=his
foot ^nn++++=foot
down ^in+strn+++=down.
. ^zz++++=EXTRAWORD
" ^zz++++="You're
you ^pp2+pp2+++=EXTRAWORD
're ^vb+ber+vrb++0=EXTRAWORD
a ^at++++=a
good ^jj+atrb+++=good
lad ^nn++++=lad,
, ^zz++++=EXTRAWORD
Jack ^np++++=Jack,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
" ^zz++++="but
but ^cc++++=EXTRAWORD
a ^at++++=a
good ^jj+atrb+++=good
lad ^nn++++=lad
without ^in++++=without
savings ^nns++++=savings
is ^vbz+bez+vrb++=is
a ^at++++=a
cart ^nn++++=cart
without ^in++++=without
wheels ^nns++++=wheels.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
may ^md+pos+++=may
be ^vb+be+vrb++=be
sound ^jj+atrb+++=sound
timber ^nn++++=timber,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
carry ^vb++++=carry
my ^pp$+pp1+++=my
daughter ^nn+nom+++=daughter."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
can ^md+pos+++=can
work ^vb++++=work,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Jack ^np++++=Jack.
. ^zz++++=EXTRAWORD
" ^zz++++="So
so ^ql++++=EXTRAWORD
can ^md+pos+++=can
a ^at++++=a
horse ^nn++++=horse,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Uncle ^nn++++=Uncle
Peter ^np++++=Peter,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
no ^at++++=no
sensible ^jj+atrb+++=sensible
father ^nn++++=father
marries ^vbz++++=marries
his ^pp$+pp3+++=his
girl ^nn++++=girl
to ^to++++=to
one ^pn++++=one."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mattie ^np+++??+=Mattie
began ^vbd+++xvbn+=began
crying ^nvbg+++xvbg+=crying.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
could ^md+pos+++=could
cry ^vb++++=cry
as ^ql++++=as
easy ^jj++++=easy
as ^ql++++=as
another ^dt++++=another
person ^nn++++=person
sneezes ^nns+++??+=sneezes.
. ^zz++++=EXTRAWORD
Jack ^np++++=Jack
stood ^vbd+++xvbn+=stood
very ^ql+amp+++=very
straight ^jj++++=straight
and ^cc++++=and
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
must ^md+nec+++=must
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
before ^cs+sub+++=before
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
consent ^vb++++=consent?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Enough
enough ^qlp++++=EXTRAWORD
to ^to++++=to
take ^vbi++++=take
a ^at++++=a
cottage ^nn+nom+++=cottage,
, ^zz++++=EXTRAWORD
furnish ^vb++++=furnish
it ^pp3+it+++=it
decent ^jj++++=decent,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
keep ^vb++++=keep
a ^at++++=a
wife ^nn++++=wife
through ^in++++=through
a ^at++++=a
bad ^jj+atrb+++=bad
winter ^nn++++=winter."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Name
name ^nn++++=EXTRAWORD
the ^ati++++=the
sum ^nn++++=sum."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Uncle ^nn++++=Uncle
Peter ^np++++=Peter
named ^vbd+++xvbn+=named
two ^cd++++=two
hundred ^cd++++=hundred
pounds ^nns++++=pounds,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
me ^vbi++++=me
generous ^jj++++=generous,
, ^zz++++=EXTRAWORD
for ^in++++=for
I ^pp1a+pp1+++=I
should ^md+nec+++=should
have ^vb+hv+aux++=have
asked ^vprf+++xvbnx+=asked
three ^cd++++=three.
. ^zz++++=EXTRAWORD
Jack ^np++++=Jack's
's ^$++++=EXTRAWORD
face ^nn++++=face
fell ^vbd+++xvbn+=fell
at ^rb++++=at
first ^rb"++++=first,
, ^zz++++=EXTRAWORD
as ^rb++++=as
well ^rb++++=well
it ^pp3+it+++=it
might ^md+pos+++=might,
, ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
then ^rn+tm+splt++=then
saved ^vprf+++xvbnx+=saved
seven ^cd++++=seven
pounds ^nns++++=pounds,
, ^zz++++=EXTRAWORD
fourteen ^cd++++=fourteen
shillings ^nns+nom+++=shillings,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
foreign ^jj+atrb+++=foreign
coin ^nn++++=coin
that ^tht+rel+++=that
old ^jj+atrb+++=old
Davy ^np++++=Davy
had ^vbd+hvd+aux++=had
taken ^vprf+++xvbnx+=taken
for ^in++++=for
a ^at++++=a
farthing ^nn++++=farthing.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
he ^pp3a+pp3+++=he
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
Mattie ^np+++??+=Mattie,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Mattie ^np+++??+=Mattie
looked ^vbd+++xvbn+=looked
at ^rb++++=at
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
went ^vbd+++xvbnx+=went
on ^in++++=on
looking ^xvbg+++xvbg+=looking
till ^cs+sub+++=till
I ^pp1a+pp1+++=I
began ^vbd+++xvbnx+=began
to ^to++++=to
feel ^vbi+vprv+++=feel
like ^in++++=like
a ^at++++=a
stool ^nn++++=stool
left ^vbd+++xvbn+=left
in ^in++++=in
the ^ati++++=the
rain ^nn++++=rain.
. ^zz++++=EXTRAWORD
" ^zz++++="I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
get ^vb++++=get
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Jack ^np++++=Jack.
. ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
from ^in++++=from
Davy ^np++++=Davy's
's ^$++++=EXTRAWORD
forge ^nn++++=forge,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Uncle ^nn++++=Uncle
Peter ^np++++=Peter.
. ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
go ^vb++++=go
where ^wrb+who+++=where
I ^pp1a+pp1+++=I
can ^md+pos+++=can."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
A ^at++++=A
month ^nn++++=month
later ^rbr+tm+++=later
he ^pp3a+pp3+++=he
sailed ^vbd+++xvbnx+=sailed
for ^in++++=for
America ^np++++=America.
. ^zz++++=EXTRAWORD
Mattie ^np+++??+=Mattie
made ^vbd+++xvbn+=made
a ^at++++=a
great ^jj+atrb+++=great
tragedy ^nn++++=tragedy
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
stood ^vbd+++xvbnx+=stood
on ^in++++=on
the ^ati++++=the
lane ^nn++++=lane
till ^cs+sub+++=till
the ^ati++++=the
carrier ^nn++++=carrier's
's ^$++++=EXTRAWORD
cart ^nn++++=cart
was ^vbd+bedz+vrb++=was
out ^rp+pl+++=out
of ^in++++=of
sight ^nn++++=sight,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
she ^pp3a+pp3+++=she
came ^vbd+++xvbnx+=came
indoors ^rn+pl+++=indoors
with ^in++++=with
her ^pp$+pp3+++=her
face ^nn++++=face
as ^ql++++=as
long ^rb++++=long
as ^ql++++=as
a ^at++++=a
fiddle ^nn++++=fiddle
and ^cc++++=and
sat ^vbd+++xvbn+=sat
down ^rb+phrv+++=down
beside ^in+pl+++=beside
the ^ati++++=the
flour ^nn++++=flour
bin ^&fw++++=bin.
. ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
get ^vb++++=get
up ^rp++++=up,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I.
