# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
What ^wdt+who+++=What
were ^vbd+bed+vrb++=were
necessary ^jj+pred+++=necessary,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Miriam ^np+++??+=Miriam,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
the ^ati++++=the
only ^rb+down+++=only
surviving ^vbg+++xvbg+=surviving
claimant ^nn+nom+++=claimant,
, ^zz++++=EXTRAWORD
must ^md+nec+++=must
appear ^vb+seem+++=appear
before ^in++++=before
an ^at++++=an
attorney ^nn++++=attorney
in ^in++++=in
Boston ^np++++=Boston.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
added ^vbd+vpub++xvbnx+=added
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
had ^vb+hv+aux++=had
not ^xnot++not++=not
been ^vprf+ben+vrb+xvbn+=been
well ^jj+pred+++=well
since ^in++++=since
corn ^nn++++=corn
husking ^vwbg+++xvbg+=husking,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
asked ^vbd+vsua++xvbn+=asked
me ^pp1o+pp1+++=me
to ^to++++=to
see ^vbi+vprv+++=see
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
mislay ^nn+++??+=mislay
her ^pp3o+pp3+++=her
return ^vb++++=return
ticket ^nn++++=ticket.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
read ^vbd+vprv++xvbnx+=read
the ^ati++++=the
letter ^nn++++=letter
twice ^rb++++=twice
at ^in++++=at
my ^pp$+pp1+++=my
breakfast ^nn++++=breakfast
table ^nn++++=table,
, ^zz++++=EXTRAWORD
between ^in++++=between
the ^ati++++=the
coffee ^nn++++=coffee
urn ^nn++++=urn
and ^cc++++=and
a ^at++++=a
dish ^nn++++=dish
of ^in++++=of
oranges ^nns++++=oranges,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
sleet ^nn++++=sleet
tapped ^vwbn+++xvbn+=tapped
delicately ^rb++++=delicately
at ^in++++=at
the ^ati++++=the
windows ^nns++++=windows
and ^cc++++=and
wheels ^nns++++=wheels
hissed ^vbd+++xvbn+=hissed
along ^in++++=along
the ^ati++++=the
wet ^jj+atrb+++=wet
pavement ^nn+nom+++=pavement
below ^in+strn+++=below.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
room ^nn++++=room,
, ^zz++++=EXTRAWORD
with ^in++++=with
its ^pp$+it+++=its
books ^nns++++=books,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
framed ^xvbn+++xvbn+=framed
prints ^nns++++=prints,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
polished ^jj+atrb+++=polished
brass ^nn++++=brass,
, ^zz++++=EXTRAWORD
withdrew ^j+++xvbn+=withdrew
from ^in++++=from
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
instead ^rb+cnj+++=instead
a ^at++++=a
low ^jj+atrb+++=low
house ^nn++++=house
crouching ^vwbg+++xvbg+=crouching
under ^in++++=under
a ^at++++=a
dun ^jj+atrb+++=dun
sky ^nn++++=sky;
; ^zz++++=EXTRAWORD
cattle ^nns++++=cattle
tracks ^vbz++++=tracks
frozen ^vbd+++xvbn+=frozen
into ^in++++=into
the ^ati++++=the
dooryard ^nn+++??+=dooryard;
; ^zz++++=EXTRAWORD
a ^at++++=a
windmill ^nn++++=windmill
gesturing ^vwbg+++xvbg+=gesturing
frantically ^rb++++=frantically
above ^jjb++++=above
the ^ati++++=the
sheds ^nns++++=sheds;
; ^zz++++=EXTRAWORD
dishcloths ^nns+++??+=dishcloths
stiff ^jj++++=stiff
as ^ql++++=as
bark ^vb++++=bark
upon ^in++++=upon
a ^at++++=a
line ^nn++++=line;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
my ^pp$+pp1+++=my
aunt ^nn++++=aunt,
, ^zz++++=EXTRAWORD
carrying ^vbg+++xvbg+=carrying
two ^cd++++=two
pails ^nns+++??+=pails
through ^in++++=through
driven ^xvbn+++xvbn+=driven
snow ^np++++=snow,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
skirt ^nn++++=skirt
bound ^vwbn+++xvbn+=bound
about ^in++++=about
her ^pp$+pp3+++=her
knees ^nns++++=knees
with ^in++++=with
a ^at++++=a
strip ^nn++++=strip
of ^in++++=of
sacking ^nn++++=sacking.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
nearly ^rb+down+++=nearly
six ^cd++++=six
years ^nns++++=years
since ^cs+sub+++=since
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
twenty ^cd++++=twenty
since ^in+strn+++=since,
, ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
boy ^nn++++=boy
of ^in++++=of
sixteen ^cd++++=sixteen,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
left ^vprf+++xvbnx+=left
my ^pp$+pp1+++=my
uncle ^nn++++=uncle's
's ^$++++=EXTRAWORD
farm ^nn++++=farm.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
the ^ati++++=the
news ^nn++++=news
of ^in++++=of
her ^pp$+pp3+++=her
coming ^xvbg+++xvbg+=coming
disturbed ^vbd+++xvbn+=disturbed
me ^pp1o+pp1+++=me
beyond ^in++++=beyond
what ^wdt+who+++=what
affection ^nn+nom+++=affection
alone ^rb++++=alone
might ^md+pos+++=might
have ^vb+hv+aux++=have
accounted ^vprf+++xvbnx+=accounted
for ^in+ppvb+++=for.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
as ^cs+sub+++=as
if ^cs+cnd+++=if
some ^dti++++=some
old ^jj+atrb+++=old
debt ^nn++++=debt,
, ^zz++++=EXTRAWORD
long ^jj++++=long
entered ^jj+++xvbn+=entered
in ^in++++=in
a ^at++++=a
forgotten ^jj+++xvbn+=forgotten
ledger ^np++++=ledger,
, ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
suddenly ^rb++splt++=suddenly
been ^vprf+ben+aux+xvbnx+=been
presented ^vpsv++agls+xvbnx+=presented
for ^in++++=for
payment ^nn+nom+++=payment.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
she ^pp3a+pp3+++=she
became ^vbd+++xvbnx+=became
my ^pp$+pp1+++=my
uncle ^nn++++=uncle's
's ^$++++=EXTRAWORD
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
Miriam ^np+++??+=Miriam
Ashford ^np++++=Ashford
had ^vbd+hvd+aux++=had
taught ^vprf+++xvbnx+=taught
music ^nn++++=music
in ^in++++=in
Boston ^np++++=Boston.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
possessed ^vbd+++xvbnx+=possessed
no ^at++++=no
reliable ^jj+atrb+++=reliable
image ^nn++++=image
of ^in++++=of
that ^dt+dem+++=that
young ^jj+atrb+++=young
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
from ^in++++=from
a ^at++++=a
daguerreotype ^nn+++??+=daguerreotype,
, ^zz++++=EXTRAWORD
a ^ap++++=a
few ^ap"++++=few
remarks ^nns++++=remarks
of ^in++++=of
my ^pp$+pp1+++=my
mother ^nn++++=mother's,
's, ^nn+++??+=EXTRAWORD
and ^cc++++=and
certain ^jj+atrb+++=certain
relics ^nns++++=relics
surviving ^vwbg+++xvbg+=surviving
in ^in++++=in
Nebraska ^np+++??+=Nebraska,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
constructed ^vprf+++xvbnx+=constructed
one ^pn++++=one:
: ^zz++++=EXTRAWORD
a ^at++++=a
straight ^jj+atrb+++=straight,
, ^zz++++=EXTRAWORD
eager ^jj+atrb+++=eager
girl ^nn++++=girl
in ^in++++=in
a ^at++++=a
dark ^jj+atrb+++=dark
silk ^nn++++=silk
dress ^nn++++=dress;
; ^zz++++=EXTRAWORD
abundant ^jj+atrb+++=abundant
hair ^nn++++=hair
arranged ^vwbn+vsua++xvbn+=arranged
in ^in++++=in
smooth ^jj+atrb+++=smooth
wings ^nns++++=wings
above ^rb++++=above
her ^pp$+pp3+++=her
temples ^nns++++=temples;
; ^zz++++=EXTRAWORD
fine ^jj+atrb+++=fine
hands ^nns++++=hands
resting ^vwbg+++xvbg+=resting
upon ^in++++=upon
a ^at++++=a
square ^npl++++=square
piano ^nn++++=piano;
; ^zz++++=EXTRAWORD
an ^at++++=an
expression ^nn++++=expression
at ^rb++++=at
once ^rb"+tm+++=once
ardent ^jj++++=ardent
and ^cc+phrs+++=and
severe ^jj++++=severe.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
studied ^vprf+++xvbnx+=studied
in ^in++++=in
Leipzig ^np++++=Leipzig
for ^in++++=for
two ^cd++++=two
years ^nns++++=years
and ^cc++++=and
had ^vbd+hvd+aux++=had
returned ^vprf+++xvbnx+=returned
with ^in++++=with
notions ^nns+nom+++=notions
too ^rb++++=too
ambitious ^jj++++=ambitious
for ^in++++=for
the ^ati++++=the
modest ^jj+atrb+++=modest
female ^nn++++=female
academy ^nn++++=academy
that ^tht+rel+subj++=that
employed ^vwbn+++xvbn+=employed
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
played ^vbd+++xvbnx+=played
Bach ^np++++=Bach
at ^in++++=at
recitals ^nns+nom+++=recitals,
, ^zz++++=EXTRAWORD
read ^jj+atrb++xvbn+=read
German ^jj+atrb+++=German
poetry ^nn++++=poetry,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
could ^md+pos+++=could
distinguish ^vb++++=distinguish,
, ^zz++++=EXTRAWORD
so ^ql++++=so
my ^pp$+pp1+++=my
mother ^nn++++=mother
told ^vbd+vpub++xvbn+=told
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
every ^at++++=every
instrument ^nn+nom+++=instrument
in ^in++++=in
an ^at++++=an
orchestral ^jj+atrb+++=orchestral
score ^nn++++=score.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
at ^rb++++=at
thirty ^cd++++=thirty,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
met ^vbd+++xvbnx+=met
my ^pp$+pp1+++=my
uncle ^nn++++=uncle
Caleb ^np+++??+=Caleb,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
East ^np+pl+++=East
to ^in++++=to
purchase ^nn++++=purchase
agricultural ^jj+atrb+++=agricultural
machinery ^nn+nom+++=machinery.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
handsome ^jj+pred+++=handsome,
, ^zz++++=EXTRAWORD
reticent ^jj++++=reticent,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
possessed ^vpsv++agls+xvbn+=possessed
of ^in++++=of
that ^dt+dem+++=that
western ^jj+atrb+++=western
gravity ^nn+nom+++=gravity
which ^whp+rel+obj++=which
in ^in++++=in
a ^at++++=a
drawing ^jj+atrb++xvbg+=drawing
room ^nn++++=room
may ^md+pos+++=may
be ^vb+be+aux++=be
mistaken ^vpsv++agls+xvbnx+=mistaken
for ^in++++=for
depth ^nn++++=depth.
. ^zz++++=EXTRAWORD
Within ^in++++=Within
four ^cd++++=four
months ^nns++++=months
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
married ^vpsv++agls+xvbnx+=married.
. ^zz++++=EXTRAWORD
Within ^in++++=Within
six ^cd++++=six,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
followed ^vprf+++xvbnx+=followed
him ^pp3o+pp3+++=him
to ^in++++=to
a ^at++++=a
homestead ^nn++++=homestead
in ^in++++=in
a ^at++++=a
county ^nn++++=county
where ^wrb+who+++=where
the ^ati++++=the
railroad ^nn++++=railroad
had ^vb+hv+aux++=had
not ^xnot++not++=not
yet ^rb++++=yet
arrived ^vbd+++xvbn+=arrived,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
timber ^nn++++=timber
was ^vbd+bedz+vrb++=was
scarce ^jj+pred+++=scarce,
, ^zz++++=EXTRAWORD
water ^nn++++=water
uncertain ^jj++++=uncertain,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
nearest ^jjt+atrb+++=nearest
piano ^nn++++=piano
stood ^vbd+++xvbn+=stood
eighty ^cd++++=eighty
miles ^nns++++=miles
away ^rp+pl+++=away
in ^in++++=in
the ^ati++++=the
parlor ^nn++++=parlor
of ^in++++=of
a ^at++++=a
hotel ^nn++++=hotel.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
expected ^vprf+++xvbnx+=expected
of ^in++++=of
the ^ati++++=the
frontier ^nn+nom+++=frontier
I ^pp1a+pp1+++=I
cannot ^md+pos+not++=cannot
imagine ^vb+vprv+++=imagine.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
she ^pp3a+pp3+++=she
saw ^vbd+vprv+tht0+xvbnx+=saw
herself ^ppl+pp3+++=herself
as ^ql++++=as
some ^dti++++=some
domestic ^jj+atrb+++=domestic
Orpheus ^np++++=Orpheus,
, ^zz++++=EXTRAWORD
bringing ^vbg+++xvbg+=bringing
order ^to++++=order
and ^cc++++=and
song ^nn++++=song
into ^in++++=into
a ^at++++=a
raw ^jj+atrb+++=raw
world ^nn++++=world;
; ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
love ^nn++++=love
simply ^rb++++=simply
placed ^vbd+++xvbn+=placed
a ^at++++=a
veil ^nn++++=veil
over ^in++++=over
distances ^nns+nom+++=distances
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
once ^rb+tm+++=once
traveled ^vwbn+++xvbn+=traveled,
, ^zz++++=EXTRAWORD
could ^md+pos+++=could
never ^rb++++=never
be ^vb+be+aux++=be
traveled ^vpsv++agls+xvbnx+=traveled
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
exchanged ^vbd+++xvbnx+=exchanged
her ^pp$+pp3+++=her
students ^nns++++=students
for ^in++++=for
hens ^nns++++=hens,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
concert ^nn++++=concert
programs ^nns+++??+=programs
for ^in++++=for
seed ^nn++++=seed
catalogues ^nns++++=catalogues,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
black ^jj+atrb+++=black
silk ^nn++++=silk
for ^in++++=for
calico ^nn+++??+=calico
faded ^vwbn+++xvbn+=faded
by ^in++++=by
lye ^nn+++??+=lye
and ^cc++++=and
weather ^nn++++=weather.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
bore ^vbd+++xvbnx+=bore
six ^cd++++=six
children ^nns++++=children,
, ^zz++++=EXTRAWORD
buried ^xvbn+++xvbn+=buried
two ^cd++++=two,
, ^zz++++=EXTRAWORD
survived ^jj+atrb++xvbn+=survived
drought ^nn++++=drought,
, ^zz++++=EXTRAWORD
hail ^nn++++=hail,
, ^zz++++=EXTRAWORD
blizzards ^nns+++??+=blizzards,
, ^zz++++=EXTRAWORD
prairie ^nn++++=prairie
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
grasshopper ^nn+nom+++=grasshopper
year ^nn++++=year
during ^in++++=during
which ^whp+rel+pied++=which
the ^ati++++=the
insects ^nns++++=insects
ate ^vbd+++xvbn+=ate
even ^rb++++=even
the ^ati++++=the
handles ^nns++++=handles
of ^in++++=of
the ^ati++++=the
hoes ^nns+++??+=hoes.
. ^zz++++=EXTRAWORD
By ^in++++=By
the ^ati++++=the
time ^nn++++=time
I ^pp1a+pp1+++=I
came ^vbd+++xvbnx+=came
into ^in+ppvb+++=into
her ^pp$+pp3+++=her
keeping ^vbg+++xvbg+=keeping,
, ^zz++++=EXTRAWORD
whatever ^nn+nom+++=whatever
rebellion ^nn++++=rebellion
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
disturbed ^vprf+++xvbnx+=disturbed
her ^pp3o+pp3+++=her
was ^vbd+bedz+vrb++=was
already ^rb++++=already
deep ^jj++++=deep
underground ^jjb++++=underground.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
nine ^cd++++=nine
when ^wrb+who+++=when
my ^pp$+pp1+++=my
parents ^nns++++=parents
died ^vbd+++xvbn+=died,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
my ^pp$+pp1+++=my
uncle ^nn++++=uncle
took ^vbd+++xvbn+=took
me ^pp1o+pp1+++=me
west ^np+pl+++=west.
. ^zz++++=EXTRAWORD
For ^in++++=For
seven ^cd++++=seven
years ^nns++++=years
his ^pp$+pp3+++=his
farm ^nn++++=farm
was ^vbd+bedz+vrb++=was
the ^ati++++=the
circumference ^nn+nom+++=circumference
of ^in++++=of
my ^pp$+pp1+++=my
existence ^nn+nom+++=existence.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
learned ^vbd+++xvbnx+=learned
to ^to+vcmp+++=to
break ^vbi++++=break
clods ^nns++++=clods,
, ^zz++++=EXTRAWORD
carry ^vb++++=carry
swill ^nn+++??+=swill,
, ^zz++++=EXTRAWORD
turn ^nn++++=turn
the ^ati++++=the
grindstone ^nn++++=grindstone,
, ^zz++++=EXTRAWORD
search ^nn++++=search
for ^in++++=for
calves ^nns++++=calves
in ^in++++=in
ravines ^nns+++??+=ravines,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sleep ^nn++++=sleep
through ^in++++=through
the ^ati++++=the
percussion ^nn++++=percussion
of ^in++++=of
sleet ^nn++++=sleet
upon ^in++++=upon
the ^ati++++=the
roof ^nn++++=roof.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
my ^pp$+pp1+++=my
aunt ^nn++++=aunt
who ^whp+rel+subj++=who
taught ^vbd+vsua++xvbn+=taught
me ^pp1o+pp1+++=me
everything ^pn++++=everything
not ^xnot++not++=not
required ^vpsv++by+xvbn+=required
by ^in++++=by
necessity ^nn+nom+++=necessity.
. ^zz++++=EXTRAWORD
At ^in++++=At
night ^nn++++=night,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
the ^ati++++=the
bread ^nn++++=bread
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
set ^jj++agls+xvbnx+=set
to ^to+jcmp+++=to
rise ^vbi++++=rise,
, ^zz++++=EXTRAWORD
the ^ati++++=the
milk ^nn++++=milk
strained ^vbd+++xvbn+=strained,
, ^zz++++=EXTRAWORD
the ^ati++++=the
lamp ^nn++++=lamp
chimneys ^nns++++=chimneys
cleaned ^vwbn+++xvbn+=cleaned,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
last ^jj+atrb+++=last
shirt ^nn++++=shirt
removed ^vwbn+++xvbn+=removed
from ^in++++=from
the ^ati++++=the
ironing ^nn++++=ironing
board ^nn++++=board,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
heard ^vbd+vprv+tht0+xvbnx+=heard
my ^pp$+pp1+++=my
lessons ^nns++++=lessons
at ^in++++=at
the ^ati++++=the
kitchen ^nn++++=kitchen
table ^nn++++=table.
. ^zz++++=EXTRAWORD
From ^in++++=From
her ^pp$+pp3+++=her
I ^pp1a+pp1+++=I
received ^vbd+++xvbnx+=received
my ^pp$+pp1+++=my
first ^rb++++=first
Latin ^jj++++=Latin,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
first ^od++++=first
glimpses ^nns++++=glimpses
of ^in++++=of
ancient ^jj+atrb+++=ancient
history ^nn++++=history,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
first ^od++++=first
confused ^vbd+++xvbn+=confused
apprehension ^nn++++=apprehension
that ^tht+rel+obj++=that
mankind ^nn++++=mankind
had ^vbd+hvd+aux++=had
lived ^vprf+++xvbnx+=lived
richly ^rb++++=richly
and ^cc+phrs+++=and
disastrously ^rb++++=disastrously
before ^cs+sub+++=before
Nebraska ^np+++??+=Nebraska
was ^vbd+bedz+aux++=was
surveyed ^vpsv++agls+xvbnx+=surveyed.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
brought ^vprf+++xvbnx+=brought
one ^cd1++++=one
instrument ^nn+nom+++=instrument
west ^np+pl+++=west,
, ^zz++++=EXTRAWORD
a ^at++++=a
small ^jj+atrb+++=small
rosewood ^nn+++??+=rosewood
melodeon ^jj+++??+=melodeon
whose ^whp+who+++=whose
bellows ^nns++++=bellows
wheezed ^vbd+++xvbn+=wheezed
and ^cc++++=and
whose ^whp+rel+obj++=whose
ivory ^nn++++=ivory
keys ^nns++++=keys
had ^vbd+hvd+aux++=had
yellowed ^vprf+++xvbnx+=yellowed
like ^in++++=like
old ^jj+atrb+++=old
teeth ^nns++++=teeth.
. ^zz++++=EXTRAWORD
During ^in++++=During
my ^pp$+pp1+++=my
earliest ^jjt+atrb+++=earliest
years ^nns++++=years
she ^pp3a+pp3+++=she
sometimes ^rb++++=sometimes
played ^xvbn+++xvbn+=played
hymns ^nns++++=hymns
upon ^in++++=upon
it ^pp3+it+++=it
after ^in++++=after
supper ^nn++++=supper.
. ^zz++++=EXTRAWORD
Later ^rbr+tm+++=Later,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
work ^vb++++=work
increased ^vbd+++xvbn+=increased
and ^cc++++=and
the ^ati++++=the
instrument ^nn+nom+++=instrument
began ^vbd+++xvbn+=began
to ^to++++=to
fail ^vbi++++=fail,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
stood ^vbd+++xvbn+=stood
closed ^vbd+++xvbn+=closed
in ^in++++=in
the ^ati++++=the
parlor ^nn++++=parlor
beneath ^in+pl+++=beneath
seed ^nn++++=seed
sacks ^nns++++=sacks,
, ^zz++++=EXTRAWORD
newspapers ^nns+nom+++=newspapers,
, ^zz++++=EXTRAWORD
harness ^nns+nom+++=harness
buckles ^nns++++=buckles,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
once ^rb+cnj+++=once,
, ^zz++++=EXTRAWORD
through ^in++++=through
an ^at++++=an
entire ^jjb+atrb+++=entire
autumn ^nn++++=autumn,
, ^zz++++=EXTRAWORD
a ^at++++=a
kit ^nn++++=kit
of ^in++++=of
mackerel ^nn++++=mackerel.
. ^zz++++=EXTRAWORD
Still ^rb+cnj+++=Still,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
taught ^vbd+vsua++xvbnx+=taught
me ^pp1o+pp1+++=me
the ^ati++++=the
notes ^nns++++=notes
from ^in++++=from
a ^at++++=a
torn ^jj+atrb++xvbn+=torn
primer ^nn++++=primer,
, ^zz++++=EXTRAWORD
drawing ^nvbg+++xvbg+=drawing
staves ^nns++++=staves
with ^in++++=with
a ^at++++=a
carpenter ^nn+nom+++=carpenter's
's ^$++++=EXTRAWORD
pencil ^nn++++=pencil
upon ^in++++=upon
wrapping ^xvbg+++xvbg+=wrapping
paper ^nn++++=paper.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
swollen ^vprf+++xvbn+=swollen
fingers ^nns+nom+++=fingers,
, ^zz++++=EXTRAWORD
split ^j+++xvbn+=split
at ^rb++++=at
the ^ati++++=the
knuckles ^nns++++=knuckles
from ^in++++=from
cold ^nn++++=cold
and ^cc++++=and
washing ^nvbg+++xvbg+=washing
soda ^nn++++=soda,
, ^zz++++=EXTRAWORD
moved ^j+++xvbn+=moved
over ^in++++=over
the ^ati++++=the
table ^nn++++=table
while ^cs+sub+++=while
she ^pp3a+pp3+++=she
made ^vbd+++xvbnx+=made
me ^pp1o+pp1+++=me
beat ^vbd+++xvbn+=beat
time ^nn++++=time.
. ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
like ^in++++=like
a ^at++++=a
flail ^nn++++=flail,
, ^zz++++=EXTRAWORD
Julian ^np++++=Julian,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
would ^md+prd+++=would
say ^vb+vpub+++=say.
. ^zz++++=EXTRAWORD
" ^zz++++="Listen
listen ^vb++++=EXTRAWORD
inwardly ^rb++++=inwardly
first ^rb++++=first."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
could ^md+pos+++=could
inward ^jjb++++=inward
listening ^jj+++xvbg+=listening
mean ^vb++++=mean
to ^to+vcmp+++=to
a ^at++++=a
child ^nn++++=child
who ^whp+rel+subj++=who
knew ^vbd+vprv++xvbn+=knew
music ^nn++++=music
chiefly ^rb++++=chiefly
as ^in++++=as
