**the ^nn+++??+=**The
Lighthouse ^nn++++=Lighthouse
meant ^vbd+vprv++xvbn+=meant.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
father ^nn++++=father
had ^vbd+hvd+aux++=had
told ^vprf+++xvbnx+=told
him ^pp3o+pp3+++=him
about ^in++++=about
such ^abl++++=such
a ^at++++=a
thing ^nn++++=thing
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
a ^at++++=a
boy ^nn++++=boy.
. ^zz++++=EXTRAWORD
The ^ati++++=The
old ^jj+atrb+++=old
man ^nn++++=man
had ^vbd+hvd+aux++=had
spoken ^vprf+++xvbnx+=spoken
quietly ^rb+cnj+++=quietly,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
afraid ^jj++++=afraid
the ^ati++++=the
sea ^nn++++=sea
might ^md+pos+++=might
overhear ^vb+++??+=overhear.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
the ^ati++++=the
water ^nn++++=water
ever ^rb++++=ever
runs ^vbz++++=runs
from ^in++++=from
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=do
not ^xnot++not++=not
follow ^vb+vprv+++=follow
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
not ^xnot++not++=not
gather ^vb+vprv+++=gather
the ^ati++++=the
stranded ^jj+atrb+++=stranded
fish ^nns++++=fish.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
not ^xnot++not++=not
search ^vb++++=search
the ^ati++++=the
wrecks ^nns++++=wrecks.
. ^zz++++=EXTRAWORD
Climb ^vb++++=Climb
to ^in++++=to
the ^ati++++=the
highest ^jjt+atrb+++=highest
place ^nn++++=place
and ^cc++++=and
pray ^vb+vsua+tht0++=pray
the ^ati++++=the
sea ^nn++++=sea
forgets ^vbz++++=forgets
what ^wdt+who+++=what
it ^pp3+it+++=it
came ^vbd+++xvbn+=came
back ^jjb++++=back
for ^in+strn+++=for.
. ^zz++++=EXTRAWORD
Elias ^np+++??+=Elias
leaned ^vbd+++xvbn+=leaned
over ^in++++=over
the ^ati++++=the
railing ^nn+nom+++=railing.
. ^zz++++=EXTRAWORD
" ^zz++++="Ring
ring ^nn++++=EXTRAWORD
the ^ati++++=the
chapel ^nn++++=chapel
bell ^nn++++=bell!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
called ^vbd+++xvbnx+=called.
. ^zz++++=EXTRAWORD
" ^zz++++="Get
get ^vb++++=EXTRAWORD
everyone ^pn++++=everyone
to ^in++++=to
the ^ati++++=the
north ^nr+pl+++=north
ridge ^nn++++=ridge.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Tomas ^np+++??+=Tomas
hesitated ^vbd+++xvbn+=hesitated.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
the ^ati++++=the
boats ^nns++++=boats
" ^zz++++="
" ^zz++++="Leave
leave ^vb++++=EXTRAWORD
them ^pp3o+pp3+++=them."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Something ^pn++++=Something
in ^in++++=in
Elias ^np++++=Elias's
's ^$++++=EXTRAWORD
voice ^nn++++=voice
moved ^vbd+++xvbn+=moved
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Tomas ^np+++??+=Tomas
ran ^vbd+++xvbn+=ran.
. ^zz++++=EXTRAWORD
Minutes ^nns++++=Minutes
later ^rbr+tm+++=later,
, ^zz++++=EXTRAWORD
the ^ati++++=the
chapel ^nn++++=chapel
bell ^nn++++=bell
began ^vbd+++xvbn+=began
to ^to++++=to
ring ^vbi++++=ring
across ^in+pl+++=across
the ^ati++++=the
island ^nn++++=island.
. ^zz++++=EXTRAWORD
Elias ^np+++??+=Elias
returned ^vbd+++xvbn+=returned
to ^in++++=to
the ^ati++++=the
lantern ^nn++++=lantern
room ^nn++++=room.
. ^zz++++=EXTRAWORD
The ^ati++++=The
great ^jj+atrb+++=great
glass ^nn++++=glass
lens ^nn++++=lens
stood ^vbd+++xvbn+=stood
at ^rb++++=at
its ^pp$+it+++=its
center ^jjr++++=center,
, ^zz++++=EXTRAWORD
taller ^jjr++++=taller
than ^in++++=than
a ^at++++=a
man ^nn++++=man,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
curved ^jj+atrb+++=curved
panels ^nns++++=panels
catching ^vwbg+++xvbg+=catching
the ^ati++++=the
pale ^jj+atrb+++=pale
morning ^nn++++=morning
and ^cc++++=and
splitting ^nvbg+++xvbg+=splitting
it ^pp3+it+++=it
into ^in++++=into
dull ^jj+atrb+++=dull
rainbows ^nns+++??+=rainbows.
. ^zz++++=EXTRAWORD
The ^ati++++=The
lamp ^nn++++=lamp
within ^in++++=within
was ^vbd+bedz+vrb++=was
cold ^jj+pred+++=cold.
. ^zz++++=EXTRAWORD
Sunset ^nn++++=Sunset
was ^vbd+bedz+vrb++=was
nine ^cd++++=nine
hours ^nns++++=hours
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
Perhaps ^rb+cnj+++=Perhaps,
, ^zz++++=EXTRAWORD
Elias ^np+++??+=Elias
thought ^vbd+++xvbn+=thought,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
would ^md+prd+++=would
be ^vb+be+vrb++=be
no ^at++++=no
sunset ^nn++++=sunset.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
opened ^vbd+++xvbnx+=opened
the ^ati++++=the
brass ^nn++++=brass
cabinet ^nn++++=cabinet
beneath ^in+pl+++=beneath
the ^ati++++=the
lamp ^nn++++=lamp
and ^cc++++=and
checked ^vbd+++xvbn+=checked
the ^ati++++=the
mechanism ^nn+nom+++=mechanism.
. ^zz++++=EXTRAWORD
The ^ati++++=The
gears ^nns++++=gears
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
failing ^nvbg+++xvbg+=failing
for ^in++++=for
months ^nns++++=months.
. ^zz++++=EXTRAWORD
A ^at++++=A
replacement ^nn+nom+++=replacement
was ^vbd+bedz+aux++=was
supposed ^vb++pmd"+xvbnx+=supposed
to ^to+vcmp+pmd++=to
arrive ^vb++++=arrive
from ^in++++=from
the ^ati++++=the
mainland ^nn++++=mainland
in ^in++++=in
spring ^nn++++=spring,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
spring ^vb++++=spring
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
and ^cc+phrs+++=and
gone ^vbd+++xvbn+=gone,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
supply ^nn++++=supply
ship ^nn++++=ship
had ^vbd+hvd+aux++=had
crossed ^vprf+++xvbnx+=crossed
the ^ati++++=the
channel ^nn++++=channel.
. ^zz++++=EXTRAWORD
The ^ati++++=The
mainland ^nn++++=mainland
authorities ^nns+nom+++=authorities
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
speaking ^vbg+++xvbgx+=speaking
for ^in++++=for
years ^nns++++=years
of ^in++++=of
abandoning ^xvbg+++xvbg+=abandoning
the ^ati++++=the
lighthouse ^nn++++=lighthouse.
. ^zz++++=EXTRAWORD
Modern ^jj+atrb+++=Modern
ships ^nns++++=ships
had ^vb+hv+vrb++=had
radios ^nns++++=radios,
, ^zz++++=EXTRAWORD
electric ^jj+atrb+++=electric
beacons ^nns+++??+=beacons,
, ^zz++++=EXTRAWORD
maps ^nns++++=maps
printed ^vwbn+++xvbn+=printed
by ^in++++=by
machines ^nns++++=machines.
. ^zz++++=EXTRAWORD
Nobody ^pn++++=Nobody
needed ^vbd+++xvbn+=needed
an ^at++++=an
old ^jj+atrb+++=old
tower ^nn++++=tower
on ^in++++=on
a ^at++++=a
nearly ^rb+down+++=nearly
forgotten ^vbd+vprv++xvbn+=forgotten
island ^npl++++=island.
. ^zz++++=EXTRAWORD
Still ^rb+cnj+++=Still,
, ^zz++++=EXTRAWORD
every ^at++++=every
evening ^nn++++=evening
Elias ^np+++??+=Elias
lit ^vbd+++xvbn+=lit
the ^ati++++=the
lamp ^nn++++=lamp.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
believed ^vbd+vprv+tht0+xvbnx+=believed
some ^dti++++=some
lights ^nns++++=lights
mattered ^vbd+++xvbn+=mattered
even ^rb++++=even
when ^wrb+who+++=when
no ^at++++=no
one ^cd1++++=one
admitted ^jj+++xvbn+=admitted
to ^to++++=to
looking ^vbi++++=looking
for ^in++++=for
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Outside ^jjb++++=Outside,
, ^zz++++=EXTRAWORD
doors ^nns++++=doors
slammed ^vbd+++xvbn+=slammed.
. ^zz++++=EXTRAWORD
Voices ^nns++++=Voices
carried ^vbd+++xvbn+=carried
up ^rp++++=up
the ^ati++++=the
hill ^nn++++=hill.
. ^zz++++=EXTRAWORD
The ^ati++++=The
islanders ^nns+nom+++=islanders
forty ^cd++++=forty-three
- ^zz++++=EXTRAWORD
three ^cd++++=EXTRAWORD
people ^nns++++=people
in ^in++++=in
all ^rb++++=all
were ^vbd+bed+aux++=were
gathering ^vbg+++xvbgx+=gathering
what ^wdt+who+++=what
they ^pp3a+pp3+++=they
could ^md+pos+++=could
carry ^vb++++=carry
and ^cc++++=and
climbing ^nvbg+++xvbg+=climbing
toward ^in++++=toward
the ^ati++++=the
north ^nr+pl+++=north
ridge ^nn++++=ridge.
. ^zz++++=EXTRAWORD
Elias ^np+++??+=Elias
saw ^vbd+vprv++xvbn+=saw
Mara ^np+++??+=Mara
Bell ^nn++++=Bell
shepherding ^vwbg+++xvbg+=shepherding
six ^cd++++=six
schoolchildren ^vb+++xvbn+=schoolchildren
along ^in++++=along
the ^ati++++=the
road ^nn++++=road.
. ^zz++++=EXTRAWORD
Old ^jj+atrb+++=Old
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Finch ^np++++=Finch
was ^vbd+bedz+aux++=was
being ^vbg+beg+aux+xvbg+=being
pushed ^vbd+++xvbn+=pushed
uphill ^jjb++++=uphill
in ^in++++=in
a ^at++++=a
wheelbarrow ^nn++++=wheelbarrow,
, ^zz++++=EXTRAWORD
shouting ^vbg+vpub++xvbg+=shouting
instructions ^nns+nom+++=instructions
to ^to+vcmp+++=to
the ^ati++++=the
two ^cd++++=two
young ^jj+atrb+++=young
men ^nns++++=men
struggling ^vwbg+++xvbg+=struggling
behind ^in+pl+++=behind
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
Elias ^np+++??+=Elias
saw ^vbd+vprv+tht0+xvbn+=saw
someone ^pn++++=someone
walking ^vbg+++xvbg+=walking
in ^in++++=in
the ^ati++++=the
opposite ^jj+atrb+++=opposite
direction ^nn+nom+++=direction.
. ^zz++++=EXTRAWORD
A ^at++++=A
girl ^nn++++=girl
in ^in++++=in
a ^at++++=a
yellow ^jj+atrb+++=yellow
coat ^nn++++=coat
was ^vbd+bedz+aux++=was
crossing ^vbg+++xvbgx+=crossing
the ^ati++++=the
empty ^jj+atrb+++=empty
harbor ^nn++++=harbor.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
moved ^vbd+++xvbnx+=moved
slowly ^rb++++=slowly
between ^in++++=between
the ^ati++++=the
stranded ^jj+atrb+++=stranded
boats ^nns++++=boats,
, ^zz++++=EXTRAWORD
stepping ^vbg+++xvbg+=stepping
over ^in++++=over
ropes ^nns++++=ropes
and ^cc++++=and
silver ^nn++++=silver
fish ^nns++++=fish.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
dark ^jj+atrb+++=dark
hair ^nn++++=hair
hung ^vbd+++xvbn+=hung
loose ^jj++++=loose
to ^in++++=to
her ^pp$+pp3+++=her
shoulders ^nns+nom+++=shoulders.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
appeared ^vbd+seem++xvbnx+=appeared
to ^to+vcmp+++=to
be ^vbi++vrb++=be
ten ^cd++++=ten
or ^cc++++=or
eleven ^cd++++=eleven
years ^nns++++=years
old ^jj++++=old.
. ^zz++++=EXTRAWORD
Elias ^np+++??+=Elias
hurried ^vbd+++xvbn+=hurried
down ^rp++++=down
the ^ati++++=the
tower ^nn++++=tower
stairs ^nns++++=stairs
and ^cc++++=and
out ^rp+pl+++=out
through ^in++++=through
the ^ati++++=the
red ^jj+atrb+++=red
door ^nn++++=door.
. ^zz++++=EXTRAWORD
" ^zz++++="Hey!"
hey ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
shouted ^vbd+vpub++xvbnx+=shouted.
. ^zz++++=EXTRAWORD
The ^ati++++=The
girl ^nn++++=girl
looked ^vbd+++xvbn+=looked
up ^rp++++=up.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
must ^md+nec+++=must
get ^vb++++=get
to ^in+vcmp+++=to
high ^jj+atrb+++=high
ground ^nn++++=ground,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
called ^vbd+++xvbnx+=called.
. ^zz++++=EXTRAWORD
" ^zz++++="Come
come ^vprf+++xvbn+=EXTRAWORD
away ^in+pl+++=away
from ^in"++++=from
there ^rn+pl+++=there."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
did ^vbd+dod+aux++=did
not ^xnot++not++=not
move ^vb++++=move.
. ^zz++++=EXTRAWORD
Elias ^np+++??+=Elias
descended ^vbd+++xvbn+=descended
the ^ati++++=the
path ^nn++++=path,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
knees ^nns++++=knees
aching ^vwbg+++xvbg+=aching.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
left ^vprf+++xvbnx+=left
his ^pp$+pp3+++=his
coat ^nn++++=coat
behind ^in+strn+++=behind,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
wind ^nn++++=wind
cut ^vbd+++xvbn+=cut
through ^in++++=through
his ^pp$+pp3+++=his
wool ^nn++++=wool
sweater ^nn++++=sweater.
. ^zz++++=EXTRAWORD
The ^ati++++=The
air ^nn++++=air
smelled ^vbd+++xvbn+=smelled
wrong ^jj++++=wrong
without ^in++++=without
the ^ati++++=the
sea ^nn++++=sea
thick ^jj++++=thick
with ^in++++=with
salt ^nn++++=salt,
, ^zz++++=EXTRAWORD
mud ^nn++++=mud,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
rotting ^jj+atrb+++=rotting
things ^nns++++=things.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
reached ^vbd+++xvbnx+=reached
the ^ati++++=the
quay ^nn++++=quay,
, ^zz++++=EXTRAWORD
the ^ati++++=the
girl ^nn++++=girl
was ^vbd+bedz+aux++=was
standing ^vbg+++xvbgx+=standing
beside ^in+pl+++=beside
Tomas ^np++++=Tomas's
's ^$++++=EXTRAWORD
boat ^nn++++=boat.
. ^zz++++=EXTRAWORD
" ^zz++++="Where
where ^wrb+who+whq++=EXTRAWORD
are ^vb+ber+vrb++=are
your ^pp$+pp2+++=your
parents ^nns++++=parents?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Elias ^np+++??+=Elias
asked ^vbd+vsua++xvbn+=asked.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
pointed ^vbd+++xvbnx+=pointed
toward ^in++++=toward
the ^ati++++=the
eastern ^jj+atrb+++=eastern
horizon ^nn++++=horizon.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
nothing ^pn++++=nothing
there ^rn+pl+++=there
but ^cc++++=but
the ^ati++++=the
exposed ^nn++++=exposed
seabed ^vbd+++xvbn+=seabed
and ^cc++++=and
a ^at++++=a
low ^jj+atrb+++=low
bank ^nn++++=bank
of ^in++++=of
cloud ^nn++++=cloud.
. ^zz++++=EXTRAWORD
" ^zz++++="Did
did ^vbd+dod+aux++=EXTRAWORD
you ^pp2+pp2+++=you
come ^vb++++=come
from ^in+ppvb+++=from
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
cottages ^nns+nom+++=cottages?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
shook ^vbd+++xvbnx+=shook
her ^pp$+pp3+++=her
head ^jjb++++=head.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
your ^pp$+pp2+++=your
name ^nn++++=name?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Cora."
cora ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="All
all ^abn++++=EXTRAWORD
right ^jj++++=right,
, ^zz++++=EXTRAWORD
Cora ^np+++??+=Cora.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
Elias ^np+++??+=Elias.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
climb ^vb++++=climb
the ^ati++++=the
ridge ^nn++++=ridge."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^md"++pmd"++=have
to ^md+nec+++=to
find ^vb+vprv+tht0++=find
my ^pp$+pp1+++=my
mother ^nn++++=mother."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
voice ^nn++++=voice
was ^vbd+bedz+vrb++=was
calm ^nn++++=calm,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
her ^pp$+pp3+++=her
hands ^nns++++=hands
were ^vbd+bed+aux++=were
clenched ^vpsv++agls+xvbnx+=clenched
inside ^jjb++++=inside
the ^ati++++=the
pockets ^nns++++=pockets
of ^in++++=of
her ^pp$+pp3+++=her
yellow ^jj+atrb+++=yellow
coat ^nn++++=coat.
. ^zz++++=EXTRAWORD
" ^zz++++="Is
is ^vbz+bez+vrb++=EXTRAWORD
she ^pp3a+pp3+++=she
on ^in++++=on
the ^ati++++=the
island ^nn++++=island?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No."
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
where ^wrb+who+++=where
is ^vbz+bez+vrb++=is
she ^pp3a+pp3+++=she?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Cora ^np+++??+=Cora
pointed ^vbd+++xvbn+=pointed
east ^np+pl+++=east
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
" ^zz++++="On
on ^in++++=EXTRAWORD
the ^ati++++=the
Saint ^nn++++=Saint
Orison ^np+++??+=Orison."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Elias ^np+++??+=Elias
stared ^vbd+++xvbn+=stared
at ^rb++++=at
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Saint ^nn++++=Saint
Orison ^np+++??+=Orison
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
down ^rp++++=down
forty ^cd++++=forty
years ^nns++++=years
ago ^rb++++=ago.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
islander ^nn++++=islander
knew ^vbd+vprv++xvbn+=knew
the ^ati++++=the
story ^nn++++=story.
. ^zz++++=EXTRAWORD
The ^ati++++=The
passenger ^nn+nom+++=passenger
ship ^nn++++=ship
had ^vbd+hvd+aux++=had
struck ^vprf+++xvbnx+=struck
Harrow ^np++++=Harrow
Reef ^nn++++=Reef
during ^in++++=during
a ^at++++=a
winter ^nn++++=winter
storm ^nn++++=storm.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
captain ^npt++++=captain
had ^vbd+hvd+aux++=had
mistaken ^vprf+++xvbnx+=mistaken
the ^ati++++=the
mainland ^nn++++=mainland
beacon ^nn++++=beacon
for ^in++++=for
the ^ati++++=the
island ^nn++++=island
light ^jj++++=light
and ^cc+phrs+++=and
turned ^jj+++xvbn+=turned
too ^ql++++=too
late ^jj++++=late.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
hundred ^cd++++=hundred
and ^cc++++=and
twelve ^cd++++=twelve
people ^nns++++=people
had ^vbd+hvd+aux++=had
drowned ^vprf+++xvbnx+=drowned.
