prompt,source,filename,ttr,wrlengh,wcount,that_del,contrac,pres,pro2,pro_do,pdem,gen_emph,pro1,it,be_state,sub_cos,prtcle,pany,gen_hdg,amplifr,wh_ques,pos_mod,o_and,wh_cl,finlprep,n,prep,adj_attr,pasttnse,pro3,perfects,rel_obj,rel_subj,rel_pipe,p_and,n_nom,tm_adv,pl_adv,advs,inf,prd_mod,sua_vb,sub_cnd,nec_mod,spl_aux,conjncts,agls_psv,by_pasv,whiz_vbn,sub_othr,vcmp,downtone,pred_adj,allmodal,allconj,allpasv,allwh,allwhrel,alladj,allpro,have,allverb,vprogrsv,that_rel,jcmp,nonf_vth,att_vth,fact_vth,lkly_vth,att_jth,fact_jth,lkly_jth,nfct_nth,att_nth,fct_nth,lkly_nth,spch_vto,mntl_vto,dsre_vto,efrt_vto,prob_vto,x1_jto,x2_jto,x3_jto,x4_jto,x5_jto,all_nto,nonfadvl,atadvl,fctadvl,lklydvl,all_vth,all_jth,all_nth,all_th,all_vto,all_jto,all_to,all_advl,act_ipv,act_tpv,mentalpv,commpv,occurpv,copulapv,aspectpv,humann,prcessn,cognitn,abstrcn,concrtn,tccncrt,quann,placen,groupn,sizej,timej,colorj,evalj,relatnj,topicj,actv,commv,mentalv,causev,occurv,existv,aspectv
llm,ai,4000_story_0019_llm.txt,34.3,4.2,7076,4.5,16.7,63.3,14.8,0.7,3.4,0.8,39.9,10.7,0.7,2.7,0,6.5,1,0.4,0.4,6.1,18.9,0.7,2.5,252.8,82,27.8,91.4,48,11,0.3,2.4,0,1.6,14.4,6.5,19.9,26,9.8,6.2,1.3,3.1,1.1,1.1,3,3.1,0.3,2.8,9,0.4,2.4,4.9,13.4,35.3,6.2,1.1,2.7,63.6,102.7,4.2,172.7,7.5,2,0.1,3,0.4,1,1.1,0,0.1,0.1,0,0,0,0,0.4,0.1,1.6,2,0.6,0.3,0,0,0,0,0.1,0.3,0,2.3,0.7,5.5,0.3,0,5.8,4.7,0.3,5.1,3.3,1,0.3,0,0,0,0,0.1,11,2.4,1,8.1,12.7,2.8,5.4,9.2,0.8,0.8,2,1.3,1.3,1,0,43,20.9,14.6,2,3.1,8.2,4.9
llm,ai,4000_story_0020_llm.txt,36.3,4.7,4449,2.2,0.2,27.6,1.3,0,1.8,0,1.8,6.5,0.2,0.4,0.2,2.7,0.2,0.2,0,6.1,23.4,0.9,1.6,298.3,103.2,45.9,94.6,40,15.7,1.6,2.7,1.6,1.6,40.2,3.6,16,26.3,5.6,1.6,0.9,0.7,0.2,1.8,4,10.6,1.1,7.4,7.2,2,2.5,2.9,7.9,33.3,19.1,0.9,5.8,69,43.2,1.3,144.1,3.1,1.1,0,1.1,0.7,2.9,1.6,0,0,0,0.2,0,0,0.2,0.2,1.3,0.2,0.7,0.7,0,0,0,0,0,0.2,0,0,1.3,0.2,6.3,0,0.4,6.7,3.1,0,3.4,1.6,0.4,0,0,0,0,0,0.4,10.1,2.5,1.8,9,22.3,2.9,10.3,8.8,1.6,2,1.1,2,0.4,0.7,0.4,36.6,7.9,18.7,0.9,5.6,8.1,6.3
llm,ai,4000_story_0022_llm.txt,36,4.6,5850,1.5,4.6,24.4,1.5,0.2,1.4,0.3,2.2,6,0.2,1,0.2,2.1,0.3,0.9,0.2,1.9,22.1,0.3,2.6,271.8,106.2,38.1,104.4,69.4,13.2,0.9,2.9,0.3,3.1,29.1,7.7,12.8,29.1,5.8,1.2,0.9,0.9,0.5,1.2,3.6,6.2,1.5,5.6,7.5,2.2,2.9,3.6,3.6,34.5,13.3,0.5,4.1,78.3,73.2,1,151.5,6,1.5,0,0.9,0.9,1.7,0.5,0.3,0,0,0,0,0.2,0,0.2,0.7,0.9,1,0.5,0,0.2,0,0,0.3,0,0,0.3,1.2,0.5,3.9,0.3,0.2,4.4,3.2,0.5,3.8,2.1,0.3,0,0,0,0,0,0.2,8.4,2.1,1.4,12.1,18.1,4.6,6.5,9.7,1.2,2.2,2.1,1.2,0.2,0.9,0.5,33.3,9.1,13.8,1.4,5.8,7,6.5
llm,ai,4000_story_0188_llm.txt,32.3,4.4,8325,3.7,1.4,55.3,8.5,1.4,4.4,1.6,16.5,10.2,1.8,2,0.4,7.7,0.2,2.4,1.9,5.4,18.9,1.1,1.7,267.3,75.2,43.1,95.5,47.9,8.4,0.2,2.3,0.1,2.8,13.9,6,6.5,35.2,7.6,5.5,3.2,1.9,2.2,1.2,3.1,5.8,0.6,3.2,6.1,2.5,2.6,5.9,13.1,31.7,9.6,3,2.6,72.2,72.9,5,165.9,4.7,1.6,0.2,2,1.4,2.9,0.7,0.1,0.1,0,0,0,0,0,0.4,0.5,1.1,0.7,0.4,0,0.5,0,0.2,0,0.4,0.1,0,3.1,1.1,7.1,0.2,0,7.3,3,0.7,4.1,4.3,0.1,0.7,0.2,0,0,0,0.1,14.1,1.1,0.7,5,23.9,3.7,2.9,5.5,2.2,4.2,2.2,3,0.5,0.8,0,28.9,19.7,21,2.5,5.5,8.3,5.9
llm,ai,4000_story_0190_llm.txt,37,4.6,2044,3.4,0.5,23.5,4.4,0,2,2.4,14.2,11.3,0.5,2.9,1,7.3,0,2,0.5,2.9,31.3,0.5,1,287.7,87.6,39.6,94.4,52.8,12.7,2,2,0,2.9,25.4,7.8,7.3,41.6,6.4,1,3.4,2.4,2.9,2,7.3,8.3,1,5.4,10.3,1,4.9,4.9,6.8,49.9,14.7,1,3.9,70.5,71.4,1.5,140.9,6.8,1.5,1,3.4,0,2,1,0.5,0,0,0,0,0,0,0.5,0,0.5,0,1,0,0.5,0,0,0,0.5,0.5,0,2,1.5,6.4,0.5,0,6.8,2,0.5,2.9,3.9,0.5,1,0,0,0,0,0.5,9.3,2.9,0.5,6.8,17.1,2.4,3.4,2.4,1.5,2,2,2.9,0.5,1,0,34.2,17.6,11.7,2,5.4,10.8,3.4
llm,ai,4000_story_0198_llm.txt,37.5,4.7,6644,2.7,2.1,59.9,10.2,1.7,2.9,2,20.5,12.6,1.4,1.8,0.3,4.2,0,1.8,1.2,6.2,18.2,0.2,1.5,272.9,79.5,42.6,85.8,48.5,10.8,1.7,4.2,0.8,1.4,31.5,6,5.4,34.3,8.9,4.4,4.5,2.6,3.6,1.2,4.4,5.6,1.2,5.6,7.1,2.9,2.9,6.5,14.1,31,12.3,1.4,6.6,79.5,79.2,2.9,165.7,7.8,1.5,0,1.7,1.7,1.8,1.5,0.2,0,0,0,0,0,0.2,0.2,0.6,1.5,0.5,0.5,0.5,0.6,0,0,0,0.3,0.5,0.3,3,0.6,6.6,0.2,0.2,6.9,3.2,1.1,4.5,4.4,0.2,0.8,0,0,0,0,0.2,11.4,4.2,2.1,8.6,16.9,3.6,4.8,5.3,2.9,2.1,5.4,0.5,1.1,0.2,0.8,30.4,20.8,22.1,2.4,3.9,9,5.3
llm,ai,4000_story_0199_llm.txt,36.5,4.3,6479,3.9,17.3,50.6,7.9,1.9,2.8,0.8,15.1,15.1,0.6,1.5,0.3,4.8,0.9,0.8,2.3,5.2,20.7,1.1,1.5,265.2,82.3,29.2,108.2,52.3,11.9,0.5,0.8,0,1.4,15.1,7.4,12,36,7.6,5.1,3.5,2.8,1.2,1.4,4.8,6.3,0.8,4.8,7.4,2.5,1.9,6.2,11.6,33.8,11.9,3.4,1.2,60.3,75.3,1.5,174.3,6.2,0.3,0.2,2.2,1.2,2.2,1.1,0.3,0.2,0.5,0,0.2,0,0,0.3,0.2,0.6,1.4,0.3,0.5,0.3,0,0.3,0.2,0.5,0.2,0.3,2.2,1.4,6.6,0.9,0.2,7.7,2.8,1.2,4.5,4,0.6,0.6,0.2,0,0,0,0,10.6,1.5,0.9,6,22.7,2.9,4.5,11.6,1.5,2.5,1.9,1.5,0.6,0,0.2,39.2,19.9,23,2.5,6.5,10.2,5.1
llm,ai,4000_story_0201_llm.txt,35.3,4.5,2781,4.7,4.3,55.7,7.9,0.7,2.9,1.8,64.7,11.1,1.1,0.7,1.8,2.2,0,1.8,0.7,7.6,17.6,1.4,2.2,229.8,80.5,36.7,91,34.5,15.1,1.4,2.9,0.4,1.8,35.6,8.6,7.6,43.5,8.6,4,2.9,2.5,2.2,2.5,5,7.9,0.4,2.9,4.7,1.8,2.9,4.3,13.7,27.3,11.1,2.2,4.7,74.8,107.2,1.1,166.1,6.8,1.4,0.4,2.2,0.7,2.5,2.2,0,0.4,0,0,0,0,0,1.1,0,0.7,0.7,1.1,0,0.7,0,0,0,0.4,0.7,0.7,3.2,1.1,7.6,0.4,0,7.9,3.6,0.7,4.7,5.8,0,0,0,0,0,0,0.4,11.5,1.8,0.7,10.1,11.9,2.5,3.6,2.5,4.3,2.5,0,1.1,0.4,0.4,0.4,29.1,21.6,19.8,1.1,7.2,12.2,7.6
llm,ai,4000_story_0203_llm.txt,32.5,4.4,3355,1.5,6.9,48.6,9.8,1.8,2.4,0.3,14.6,18.2,0.6,2.7,0.3,2.7,0.6,2.1,1.2,7.2,21.2,0.3,1.2,272.1,87.6,45.6,93.3,47.4,10.4,0.3,3,0,1.8,16.7,5.7,9.8,31.6,7.7,3.6,2.1,2.7,2.1,1.8,2.7,5.7,0.9,3.6,9.2,1.8,2.7,5.4,12.8,37.6,10.1,1.5,3.3,71.5,71.8,2.1,161,7.5,0.9,0.3,0.3,1.5,1.8,1.8,0,0.3,0,0,0,0,0.3,0.6,0.6,1.8,1.5,0.9,0,0.3,0,0,0,0,1.5,0,2.4,2.4,5.4,0.3,0.3,6,5.4,0.3,5.7,6.3,0,0.3,0,0,0,0,0.3,8.6,1.2,1.2,3.6,25,2.1,3,5.1,4.8,2.7,4.2,3.9,0.9,1.5,0,33.1,15.8,17.6,3.9,7.7,12.8,5.4
llm,ai,4000_story_0205_llm.txt,37,4.5,7619,2.6,3.9,49.5,5.9,0.9,2.5,1.7,9.5,17.6,1.6,1.1,0.3,2.6,0.3,1.8,1.3,7.4,25.7,1.1,1.1,259.9,81,46.7,94.1,47.9,11.4,1.1,2.9,0.5,2.9,27.8,6.6,7.6,39.9,7.6,11.8,2.1,2.6,2.9,2.9,5.3,8.3,0.4,2.9,7.4,2.6,3.3,5,22.1,39.6,11.6,2.4,4.5,78.5,63.3,1.4,160.8,8.7,2.2,0.3,0.8,0.9,2.4,1.7,0.1,0,0,0,0,0,0,0.1,0.8,0.8,0.9,0.7,0.1,0.4,0,0,0,0.1,0.5,0,2.6,1.8,5.8,0.1,0,5.9,3.3,0.5,3.9,5,0.3,0.3,0.1,0,0,0,0.1,9.5,4.2,1.4,6.4,22.7,1.6,6.3,3.5,6.6,3,2.5,1.6,1.1,0.7,0.4,31.1,17.5,19.6,2.9,5,7.7,3.8
llm,ai,4000_story_0208_llm.txt,38,4.3,4960,4.6,6.5,59.3,18.5,1.8,3.4,1.8,26,14.5,1.8,0.4,0.6,5.2,0.8,0.8,0.2,8.9,24,1.6,1.8,232.9,70.4,40.7,96,54.6,12.5,0.8,3.2,0.2,3.6,23.8,6.5,8.1,45,10.1,9.7,1.4,3.8,2.6,2.8,4.6,5.8,0.6,2.4,7.5,2.2,3.2,7.7,21.2,39.3,8.9,1.8,4.2,75.6,99.2,3.2,170.2,3.4,0.2,0.2,2.6,1,3.8,1.8,0.2,0,0,0,0,0,0.2,0.8,0.6,1.8,1.4,1,0,0.4,0,0,0.2,0.2,0.4,0.2,3,1,9.3,0.2,0.2,9.7,5.6,0.6,6.5,4.6,0,0.8,0,0,0,0,0.2,8.5,2.2,1.8,6.5,23.8,3,3.8,3.4,2.4,2.6,2.2,1.6,0.8,0.4,0,36.1,16.3,23,1.4,4.2,11.9,5.6
llm,ai,4000_story_0209_llm.txt,35.3,4.1,3290,0.9,0.9,55,10.6,1.5,2.4,1.8,16.7,19.5,1.2,0.3,0,5.8,0.3,0.9,2.7,7.6,24,0.3,3.6,221.3,92.1,46.5,95.4,47.4,9.4,0,3.3,0.3,4.6,10.9,8.8,17.3,32.8,5.2,4.9,1.2,1.8,2.4,3.3,3,4,0.3,3,9.1,0.3,3,6.1,14.9,39.8,7.3,3,3.6,97.6,74.8,1.2,164.7,5.8,0.3,0,1.2,0.3,0.3,0.9,0.3,0,0,0,0,0,0,0,0,0.6,0.6,0.9,0,0,0,0,0,0.3,0,0,1.8,0.9,2.7,0.3,0,3,2.1,0,2.4,2.7,0.3,0.6,0,0,0,0,0,11.6,0.9,0.9,6.1,28.9,2.4,4,12.5,1.5,7.9,0.3,4.3,0.6,0,0,32.2,21.6,14.6,2.1,7.3,11.2,5.8
llm,ai,4000_story_0213_llm.txt,35.5,4.5,6957,1.9,0.4,54.9,10.2,1.3,2.6,1.1,15.1,17.5,1.1,1.3,0,4.5,0,1.6,1,4.2,22.3,0.7,1.4,278.4,81.4,46.6,91.8,46.7,8.9,0.7,3.6,0.7,2.7,20.3,5.5,7,34.6,8.2,3.9,3.9,1.9,3.3,1.4,4.7,8.3,0.1,4.6,6.8,2.2,2.9,7.2,11.4,34.9,13.1,1.7,5,87,72,2.3,165,4.3,0.9,0,0.7,2.3,3,0.7,0.1,0,0,0,0,0,0,0.4,0.4,2.3,0.1,0.6,0,0.4,0.1,0.1,0,1.4,0,0.1,2.6,0.7,6.8,0.1,0,6.9,3.9,0.7,6,3.4,0,0,0,0,0,0,0.1,10.5,3.4,1.3,6.6,19.4,0.7,6.2,12.5,4.2,2.3,1.6,2.9,0.7,0.9,0.1,36.4,17,17.7,1.6,8.9,6.9,3.6
llm,ai,4000_story_0215_llm.txt,36.3,4.3,4362,5.3,13.3,54.6,8.3,0.7,2.5,2.1,44.7,15.8,0.7,2.1,0.2,2.8,1.1,0.5,0.2,9.4,22.2,0.5,2.1,228.3,89.2,36.9,95.1,62.6,19.3,2.3,3.4,0.7,1.1,30.3,7.6,8,38.1,7.3,5.5,2.5,3.4,2.3,1.8,3.7,6.4,0.2,1.8,10.3,4.4,2.8,5.3,17.2,39.2,8.5,0.7,6.4,74,115.5,1.6,163.7,5,2.1,0.2,2.3,0.7,1.8,2.3,1.1,0,0,0,0,0,0,0.7,0.5,0.9,0.2,0.7,0,0.9,0.5,0,0.2,0,0,0,1.8,1.4,7.1,1.1,0,8.3,3,1.6,4.6,3.2,0.2,0.7,0,0,0,0,0,9.6,6.2,2.1,7.6,22.2,3.4,7.8,3.9,3.7,4.1,0.2,1.8,1.1,0.7,0.5,35.5,17.9,22.7,1.6,5.3,8.7,3.4
llm,ai,4000_story_0218_llm.txt,35,4.3,2456,4.5,4.5,51.7,11,1.2,2.4,2,19.1,12.2,1.6,1.6,0,3.7,0.4,2.4,0,6.5,21.2,0.4,1.2,244.3,71.7,32.6,105,68.4,6.9,1.6,0.8,0,2,12.6,10.6,12.2,46.4,11.4,9,1.6,2,3.7,1.2,7.7,4.1,0,2.4,9.4,1.2,3.7,6.9,19.1,36.2,6.5,0.4,2.4,59.4,98.5,3.3,174.3,5.3,2,0,0.4,2,4.1,2.4,0.8,0,0,0,0,0,0,1.2,1.2,3.3,1.6,0.8,0,0,0.8,0,0,0.8,0,0,2.9,0,9,0.8,0,9.8,8.1,0.8,9.8,2.9,0.4,0.4,0,0,0,0,0,4.5,0.8,1.2,5.3,20,2.9,6.1,9,6.5,4.5,2.4,3.7,2,0.4,0,36.6,22,21.2,2.9,4.1,6.1,4.5
llm,ai,4000_story_0219_llm.txt,38.3,4.6,4944,3,2,72,4.4,0.2,1,0.4,21.4,10.3,1,2,0.2,2,0,0.2,0.6,6.3,24.1,0.8,1.4,301,95.9,38.8,60.1,44.1,11.1,2.4,3.6,0.6,3.2,45.5,4.4,10.1,28.5,4.4,3.4,1.4,2,2.2,1.4,3,4.4,1,4.2,6.1,1.6,1.8,5.5,11.9,37.4,9.7,1.4,6.7,69,70,1.6,146.6,4,4.4,0,1.6,0.4,1.6,1.2,0,0,0,0,0,0,0.2,0,0.2,0,0.4,0.8,0,0.4,0,0,0,0,0.6,0.2,1.6,0.4,4.9,0,0.2,5.1,1.4,0.4,1.8,2.8,0.8,0,0,0,0,0.2,0,11.5,4.9,1.2,12.3,20,2.6,3.2,8.3,3.8,2,2.6,1,0,0.4,0.8,30.1,16,15.6,1.6,6.1,7.1,3.6
llm,ai,4000_story_0220_llm.txt,35,4.8,2806,1.4,9.6,37.4,8.9,0.4,1.4,0.4,14.6,10,0.4,0.4,0,3.9,0.4,0.4,1.8,5,17.8,0,0,309,101.6,45.3,77.7,49.2,13.5,3.9,2.5,1.4,2.1,37.1,5.7,7.8,29.9,5,2.5,0.7,2.1,2.1,1.8,5.3,6.8,2.1,7.5,6.1,1.4,3.9,3.9,9.6,28.5,16.4,1.8,7.8,75.6,72.7,2.5,134,6.1,1.4,0.4,0.7,0.4,1.1,1.4,0.4,0,0,0,0,0.4,1.1,0,0,0.4,0.7,0.7,0,0.4,0,0,0,0.4,0,0.4,0.7,1.4,3.6,0.4,1.4,5.3,1.8,0.4,2.5,2.5,0,0,0,0,0,0,0,13.2,3.6,1.4,8.2,16.7,1.1,3.6,6.4,3.6,2.5,0.7,2.1,1.1,1.4,0.7,24.2,12.1,10.3,1.4,2.9,6.4,4.6
