prompt,source,filename,ttr,wrlengh,wcount,that_del,contrac,pres,pro2,pro_do,pdem,gen_emph,pro1,it,be_state,sub_cos,prtcle,pany,gen_hdg,amplifr,wh_ques,pos_mod,o_and,wh_cl,finlprep,n,prep,adj_attr,pasttnse,pro3,perfects,rel_obj,rel_subj,rel_pipe,p_and,n_nom,tm_adv,pl_adv,advs,inf,prd_mod,sua_vb,sub_cnd,nec_mod,spl_aux,conjncts,agls_psv,by_pasv,whiz_vbn,sub_othr,vcmp,downtone,pred_adj,allmodal,allconj,allpasv,allwh,allwhrel,alladj,allpro,have,allverb,vprogrsv,that_rel,jcmp,nonf_vth,att_vth,fact_vth,lkly_vth,att_jth,fact_jth,lkly_jth,nfct_nth,att_nth,fct_nth,lkly_nth,spch_vto,mntl_vto,dsre_vto,efrt_vto,prob_vto,x1_jto,x2_jto,x3_jto,x4_jto,x5_jto,all_nto,nonfadvl,atadvl,fctadvl,lklydvl,all_vth,all_jth,all_nth,all_th,all_vto,all_jto,all_to,all_advl,act_ipv,act_tpv,mentalpv,commpv,occurpv,copulapv,aspectpv,humann,prcessn,cognitn,abstrcn,concrtn,tccncrt,quann,placen,groupn,sizej,timej,colorj,evalj,relatnj,topicj,actv,commv,mentalv,causev,occurv,existv,aspectv
human,human,4000_story_0019.txt,31.8,3.9,5581,4.8,14.9,54.5,16.5,1.8,3.6,2.5,60.6,11.1,1.3,0,0.2,3.4,0.2,0.9,0.4,5.9,19.2,2,5.6,195.8,96.8,22.9,86.4,54.5,7.3,0.5,2.2,0.2,2.3,10.8,7,12.9,36,18.1,9,1.8,4.3,1.1,2,5.7,5.4,0,1.1,9.1,3.2,1.6,4.8,15.9,34.9,6.5,2.3,2.9,55.4,131.5,4.1,162.7,9.5,2.3,0,3.4,1.3,1.8,2.5,0.5,0.4,0.2,0,0.2,0.2,0.2,0.5,0.4,2.7,1.1,0.7,0.9,0.9,0.4,0,0.2,0.7,0,0,3.4,0.2,9,1.1,0.5,10.6,5.4,2.3,8.4,3.6,0.5,0.7,0,0,0,0.2,0.2,10.2,2.7,3,9.9,11.8,2.3,9.3,6.8,0.2,1.3,3.8,0.4,2.2,0.9,0,36.7,15.9,20.6,2.5,1.3,8.1,2.5
human,human,4000_story_0020.txt,34.3,4.5,4391,0.7,0.9,20.7,1.1,0.2,1.6,1.1,3.4,10,0.9,0,0.9,4.3,1.8,1.8,0,3.4,10.2,0,0.5,250.7,129.4,38.5,79.5,48.7,14.8,3.4,2,1.6,1.4,40.1,3.6,8,30.1,9.6,2.3,0,0.9,0.5,2.7,2.7,12.1,2,3.2,9.6,1.8,2,7.1,6.1,22.1,17.3,0,7.1,69.5,53.3,2.3,120.9,7.3,3.6,0.2,1.1,0.5,1.4,0.5,0.2,0.9,0,0,0.2,0.2,0.2,0,0.7,0.2,2.3,0,0.2,1.4,0,0.9,0,0.2,0,0.2,1.1,0.7,3.4,1.1,0.7,5.2,3.2,2.5,5.9,2,0.2,0.9,0,0,0,0,0,10.7,7.1,2,10.2,14.3,0.9,13.7,13.7,1.4,1.6,0.9,0,1.6,1.1,0.9,31,2.5,9.3,0.9,1.8,3,4.1
human,human,4000_story_0022.txt,30.5,4.3,5481,2.9,1.6,23.2,1.6,0.4,1.3,1.5,2.9,7.3,0.5,0,0,2.9,0.9,1.6,0,2.4,23,0.7,2,237.7,116.9,37.9,89,88.1,11.3,0.7,5.1,1.1,2,22.1,8,10,31.4,10,1.5,1.5,1.1,2.2,3.5,3.8,8.2,0.4,2.2,8,2,3.3,3.3,6,34.1,10.8,0.7,6.9,68.8,92.7,3.1,129.9,6,0.9,0.4,0.7,1.6,2.4,0.5,0.4,0,0,0,0,0.4,0,0.4,0,0.5,2,0.5,0,0.5,0,0,0,1.1,0,0,2.2,0.5,5.3,0.4,0.4,6,3.5,0.5,5.1,2.7,0.4,0.2,0,0,0,0,0.4,9.7,3.8,2.2,11.5,13.7,4.2,9.3,12.4,1.1,2.9,2,0.7,1.3,0.4,0.5,28.1,4.4,13.7,2.2,5.5,4.7,3.1
human,human,4000_story_0188.txt,34.3,4.1,5455,5.3,7.9,61.6,13.6,2.7,2.7,3.5,28.2,11.2,2.7,0.4,1.1,6.4,0.2,1.8,1.3,5.7,35.9,2.7,2.7,210.6,91.8,52.1,73,50,6.8,0.9,2.4,0.9,3.8,9.7,5.9,9.5,34.3,14.1,9.9,2,4,1.3,1.8,2.9,6.8,0.4,0.5,11.2,0.7,2,3.5,16.9,55.4,7.7,4,4.2,83,91.8,4.8,157.8,9.5,2.9,0,1.3,1.5,2.4,2.4,0.2,0,0,0,0,0,0,0.4,0.4,2,0.7,2.2,0,0.5,0.2,0.4,0.2,0.2,0,0.2,3.1,0.9,7.5,0.2,0,7.7,5.7,1.3,7.1,4.2,0.4,1.5,0.2,0,0.4,0,0.5,8.6,1.3,1.6,7.1,15.2,2.7,4.8,3.8,2.2,7,2.4,2,1.6,0.5,0.4,34.1,14.7,27.7,1.8,3.1,11.9,4.9
human,human,4000_story_0190.txt,34.5,4.3,2039,0.5,1,26,2,0.5,1,3.9,3.9,8.8,1,0.5,0.5,1.5,0.5,3.4,0.5,2,34.3,0.5,1.5,248.2,106.4,51,77.5,50.5,8.3,0.5,2,2,7.4,15.7,4.9,5.9,31.4,10.3,2.9,0,1.5,2.9,2.9,3.4,12.8,2.5,2,4.9,4.4,2,3.4,7.8,48.6,17.2,1,4.4,95.1,56.4,2.9,126.5,9.3,1.5,0.5,2,1,1,1,1,0,0,0,0,0,0,0,0,1,1.5,1.5,0,0.5,0.5,0,0,1,0,0,3.4,0,4.9,1,0,5.9,3.9,1,5.9,3.4,0.5,0.5,0,0,0,0,0.5,14.7,4.4,2.9,10.8,21.1,3.4,8.8,2.9,2.9,8.3,4.4,2.9,0.5,0.5,0,31.4,6.4,12.3,2.5,1.5,7.8,3.4
human,human,4000_story_0198.txt,34.3,4.9,5327,0.6,9.2,46.7,10.5,0.8,1.9,2.1,19.5,9.9,1.7,0.2,0.6,3.6,0.4,2.8,0,3.8,29.8,0.2,2.3,290,103.6,52,58.9,52.8,6.9,1.3,1.5,0.4,2.3,29.5,4.7,6.4,27.2,9.4,6.2,0.9,3.8,1.3,1.9,2.6,4.9,0.6,2.8,8.3,3,1.9,2.8,11.3,44.3,8.3,0.2,3.2,94.8,82.8,2.4,128.8,9.2,2.8,0.2,0,1.1,0.9,1.9,0.4,0,0,0,0,0.2,0,0.2,0.9,1.1,0.6,1.1,0,0.4,0.4,0,0,0.4,0.2,0,1.5,0.9,3.9,0.4,0.2,4.5,3.9,0.8,5.1,2.6,0.4,0.8,0.2,0,0,0,0.2,8.8,3.2,2.3,14.1,11.8,1.5,3.9,3,1.1,2.1,3.9,0.4,0.6,0.6,0.4,24.4,6,16.7,0.9,3.8,8.3,1.9
human,human,4000_story_0199.txt,33.8,3.9,5308,2.4,24.3,66.7,6.4,2.1,2.3,2.4,29.8,9.8,1.5,0.6,0.2,4.1,0.4,3.6,1.5,7.9,35,1.1,3.8,195.2,84.2,33.7,79.3,55.8,9.8,0.2,2.6,0.2,5.5,6.8,5.7,12.6,42,16.6,11.5,1.7,3.4,1.9,2.3,4.1,7.5,0.2,1.7,7.7,1.5,1.7,4.7,21.3,52.2,9.4,2.6,3,73.1,91.9,1.9,174.6,13,0.8,0.9,0.6,1.3,1.9,0.9,1.5,0.4,0,0,0,0,0,0.2,0.6,2.8,1.9,0.9,0.2,0.4,1.1,0.2,0,0.4,0,0.2,2.8,0.6,4.7,1.9,0,6.6,6.4,1.9,8.7,3.6,1.3,0.8,0,0,0,0,0.2,14.3,0.9,1.5,10.6,16.2,1.3,5.5,7.9,3.8,4.7,3.2,0.6,2.8,0.6,0,51.2,14.7,22.8,1.9,3.8,8.5,4.7
human,human,4000_story_0201.txt,30.3,4.1,2687,5.2,16,77.4,10,1.9,2.6,5.6,70.3,9.3,2.2,0,0.4,3.7,0,2.2,0.4,4.5,29.8,1.1,3.7,191.7,92.3,36.1,64,21.6,10.8,0.4,2.6,0.4,6.3,22.3,6.7,8.6,39.8,15.6,10.8,1.9,4.5,3,3.3,5.2,7.1,0.4,1.5,6,3,2.2,6,18.2,46.5,8.9,1.5,3.3,75.9,102,3,162.6,13.4,2.2,0.4,2.2,2.6,2.6,1.9,0,0.4,0,0,0.4,0,0.4,0.7,0.4,1.5,1.5,0.7,0.4,0.7,0.4,0,0,1.1,0,0,5.2,1.5,9.3,0.4,0.7,10.4,4.8,1.5,7.4,6.7,1.9,0,0,0,0,0,1.1,13,1.9,1.9,8.9,8.6,1.9,6,3.7,4.5,2.6,1.1,1.1,1.1,0.4,0,30.9,16.7,22,0.4,3.7,10.4,6
human,human,4000_story_0203.txt,36.3,4.4,3121,2.6,8.7,60.6,9.3,2.6,2.2,6.7,18.3,19.5,2.2,1,0.6,4.8,0,1.9,0.3,5.1,31.7,1.9,1.6,234.5,84.9,44.9,72.7,51.3,6.7,0,2.6,0,3.2,12.8,6.7,12.2,40.7,14.1,8,1.9,5.1,0.6,1.3,5.8,4.5,0.3,1.6,8,2.6,1.9,3.5,13.8,49,6.4,2.2,2.6,85.5,78.8,3.2,157.6,11.5,2.9,0.3,0.3,1,2.2,1,0.3,0.3,0,0,0,0,0,0.3,0.3,1.3,0.6,1,0,0.3,0.6,0,0,0.6,0,0,3.5,1,4.5,0.6,0,5.1,3.5,1,5.1,4.5,1.3,1.9,0,0,0.3,0,0,11.2,1.9,1.9,6.7,12.5,1.6,4.8,3.2,4.8,5.8,5.1,1.6,3.5,1,0,35.9,12.8,16.3,1.9,2.2,15.4,5.1
human,human,4000_story_0205.txt,35,4.7,5115,3.5,6.1,54.7,10.2,1.6,2.2,2.9,18,14.7,3.5,1.8,0.6,3.3,0.4,3.7,1.4,4.9,30.1,1,3.1,265.9,82.9,37.3,70.8,60.6,9.4,1,2.7,0.6,2,22.5,4.7,9.6,36.4,14.1,14.3,1.4,4.7,3.5,2,3.9,7.8,0.2,1.6,9,3.1,1.2,3.5,22.7,47.5,9.6,2.3,4.3,77.6,88.8,4.7,151.7,6.8,2.9,0.4,1.2,0.6,2.5,1.6,0.4,0.2,0.2,0,0,0,0,0,0.6,2.7,0.8,0.6,0.2,0.2,0.4,0.4,0.2,0.4,0,0,3.5,0.4,5.9,0.8,0,6.6,4.7,1.4,6.5,3.9,0.2,0.2,0,0,0,0,0.2,9,2.3,2,5.5,12.3,1.2,6.3,3.5,4.7,4.5,1.6,1.2,0.6,0.8,0,31.3,11.1,24.4,2.2,3.5,8.6,4.7
human,human,4000_story_0208.txt,33.8,4.4,4390,5,18.5,70.4,15.7,1.8,1.8,4.6,38.5,15,2.5,0.9,0.9,5.9,0,2.1,1.1,10.7,28.9,0.9,2.7,227.6,86.6,41.7,65.1,42.6,10.5,0.5,3.2,0,2.5,18.9,6.2,7.5,37.1,15.3,10.7,1.1,3.2,2.5,1.4,4.6,6.4,0.2,2.3,6.2,2.3,1.6,4.3,23.9,41.7,8.9,2.1,3.6,80.4,96.8,3.4,158.1,6.4,3.9,0.5,1.4,1.6,3.4,1.4,0.9,0,0,0,0,0,0,0.7,0.7,1.1,0.7,0,0.2,0.9,0.7,0.5,0,0.7,0,0,2.5,0.9,7.7,0.9,0,8.7,3.2,2.3,6.2,3.4,0.5,0.5,0.2,0,0.2,0,0.2,6.4,2.7,2.5,9.6,16.2,1.4,5.7,4.8,2.1,3.6,3,0.2,0.7,0.7,0.2,36.4,13,26,3.6,2.7,9.3,5
human,human,4000_story_0209.txt,27.5,3.8,3277,2.4,9.5,52.8,10.7,2.4,0.6,4,23.2,7.9,1.5,0.3,0.3,1.5,0,4.6,3.4,10.7,40,1.2,7.3,177.3,84.8,37.8,85.1,72.6,6.1,0,1.2,0.3,4.9,4.6,7.3,13.7,39.4,19.8,13.1,0,5.5,2.4,2.4,4,6.4,0,2.1,11.9,1.8,1.2,7.9,26.2,62.6,8.5,4.6,1.5,86.4,106.5,2.7,169.7,9.5,1.2,0,1.2,0.6,2.7,0,1.5,0,0,0,0,0,0,0.3,0.6,1.2,1.5,0.3,0,0.6,1.2,0.3,0,0.3,0,0.3,2.4,0,4.6,1.5,0,6.1,4,2.1,6.4,2.7,0.3,0.3,0,0,0.3,0,0.9,16.8,2.1,0.6,6.4,18.9,1.5,4.9,7,1.8,9.2,0.6,1.2,3.7,0,0,54.6,15,20.8,3.7,3.7,9.2,4
human,human,4000_story_0213.txt,30.5,4,5063,4.1,12.6,61.8,9.9,1.4,2.2,3.6,26.5,13.8,2.8,0.4,0.8,2.2,0.2,5.3,1.8,3.6,34.2,2.4,4.9,213.3,98,47.4,77.8,52.3,7.3,0.8,3.4,0.4,4.3,10.3,5.7,10.9,34.2,14.8,9.9,2.8,5.1,1.8,0.8,3.2,6.1,0.6,1.4,11.1,1.2,2,6.7,15.2,55.1,8.1,4.1,4.5,82.2,88.7,3.4,163.1,8.1,4,0.2,0.8,0.8,3.6,1.2,1.8,0,0,0,0,0,0,1,0.6,3,0.8,1,0.2,1,1.2,0,0.4,0,0,0,4.3,0.6,6.3,1.8,0,8.1,6.3,2.8,9.1,4.9,1.4,0.4,0.2,0,0,0,0.4,9.9,3.8,0.6,9.1,20.5,0.8,5.5,9.9,3.6,5.1,3,3.6,3.4,1.4,0.4,42.7,13,23.5,1.2,4,9.3,4.7
human,human,4000_story_0215.txt,35.5,4.1,3610,3.6,11.1,50.4,7.2,1.7,4.7,5.3,47.4,17.2,1.7,1.1,0.8,3.9,0.6,1.1,0.3,8.6,30.2,0.3,5.5,189.8,98.3,39.6,73.4,55.1,15,2.8,3.9,0.6,3.9,20.5,6.1,7.2,47.4,12.7,5.8,1.9,4.7,1.9,1.7,6.9,4.7,0.3,1.9,11.6,3,2.2,4.2,16.3,51.5,6.9,0.6,7.2,76.7,109.7,1.9,146.8,10.2,1.7,0.3,0,1.4,3.3,3.3,0.6,0,0,0,0,0,0.3,0.6,0,1.1,1.1,2.8,0,0.3,0.3,0.3,0.3,0.3,0,0.3,3,2.2,8,0.6,0.3,8.9,5.5,1.1,6.9,5.5,0.6,0.3,0,0,0,0,0.3,13.3,6.6,4.2,11.9,15.5,3.9,5.3,3,2.2,2.5,1.4,0.8,0.8,0.6,1.1,26,14.4,26,4.7,4.4,13,1.7
human,human,4000_story_0218.txt,29.5,3.9,2365,6.3,11.8,54.5,8.5,3.8,1.7,3.8,25.4,11,2.5,0,1.3,3,0.4,2.1,0.4,9.3,38.1,2.1,5.9,185.6,84.6,32.1,90.9,73.6,7.6,0.4,1.7,0,4.7,8.5,5.1,13.1,39.3,20.7,11.4,0.8,5.1,3,1.3,5.9,8.9,0,1.3,13.1,1.7,2.1,5.5,23.7,60.9,10.1,2.5,2.1,58.8,107.4,2.1,178.4,9.3,2.1,0,3.4,2.1,3.8,1.3,1.7,0,0,0,0,0,0.4,0.8,0.4,5.5,3.8,1.3,0,0.8,1.7,0.4,0,0,0.4,0.4,3.4,0.4,10.6,1.7,0.4,12.7,11.8,3,14.8,4.7,0.8,1.3,0.8,0,0,0,1.3,12.7,0.4,2.1,5.9,17.3,2.1,9.3,6.3,4.2,7.2,4.2,0.8,1.7,0,0,50.3,18.6,27.5,2.1,0.8,8.5,8.5
human,human,4000_story_0219.txt,33.3,4.2,4350,3.4,13.1,79.3,8.7,1.6,1.4,2.1,35.2,9.2,1.6,0.5,0,3.7,0.2,1.6,0,3.9,29,0.9,3.2,227.6,107.4,48.7,33.8,52,10.3,2.8,3.7,0.2,4.6,25.7,4.6,9.7,41.1,13.6,6.9,0.5,1.8,1.8,1.4,6.2,3.9,0.5,2.1,5.3,3,1.1,6,12.6,41.1,6.4,0.9,6.7,86,95.9,3.2,137.9,7.1,4.6,0.5,1.4,1.6,3,3,0.2,0.5,0,0,0,0,0,0.5,0,1.4,2.1,2.3,0,0.5,0.5,0.5,0.2,0.2,0.5,0,1.8,0,9,0.7,0,9.7,6.2,1.6,8,2.3,0.2,0,0.2,0,0,0,0.7,5.3,4.1,0.9,12.9,14,1.6,5.7,5.5,3.2,2.1,1.8,0.5,2.1,0.2,1.4,29.4,7.6,19.8,1.4,5.5,8.3,3.9
human,human,4000_story_0220.txt,35,4.4,2690,0.7,16,43.5,7.8,0.4,1.5,0.7,9.7,9.7,1.1,0,0,4.1,0.4,0.7,1.1,3.3,18.6,0,1.9,278.4,113.4,46.8,67.3,45,12.6,1.9,3.7,1.5,0.7,22.7,3.3,8.6,38.7,9.7,2.6,0.7,1.9,1.5,1.9,3.3,6.7,1.1,2.2,5.2,1.5,2.6,2.6,7.4,26.4,10,1.1,7.1,80.7,62.5,1.5,126.4,7.4,4.5,0,2.6,0,0.4,1.5,0,0,0,0,0,0.4,0.4,1.1,0.4,0.7,0.4,0.7,0,0,0,0,0,0,0,0,1.1,1.9,4.5,0,0.7,5.2,3.3,0,3.3,3,0.4,0.4,0,0,0,0,0,18.2,3.7,2.2,5.2,16.7,1.9,6.3,5.2,3,2.6,2.6,1.5,1.1,0.4,0,23.8,14.1,7.8,1.1,1.9,7.4,3.7
