_NAME_,Factor1,Factor2,Factor3,Factor4,loaded,factor5,factor6,factor7,factor8,factor9,factor,pole
lkly_vth,0.3649907096,0.3622658088,0.1776333696,0.1074189519,1,,,,,,f1,1
att_jth,0.3800874997,0.3900202322,-0.050002779,0.1488191735,1,,,,,,f2,1
fact_jth,0.1956194036,0.392590682,-0.072081478,0.0961932964,1,,,,,,f2,1
lkly_jth,0.1549519436,0.3256475551,-0.079461758,-0.0017402,1,,,,,,f2,1
fct_nth,0.1421035815,0.3706626758,-0.052888619,-0.000143133,1,,,,,,f2,1
lkly_nth,0.1291873799,0.3010443717,-0.035463078,0.0154900793,1,,,,,,f2,1
dsre_vto,0.2614710486,0.140926969,0.3180927779,0.2369379239,1,,,,,,f3,1
efrt_vto,0.2569338015,0.2674038805,-0.062774633,0.1272611434,0,,,,,,,
prob_vto,0.2963209352,0.296376639,-0.102288341,0.0364489677,0,,,,,,,
all_nto,0.1420851346,0.4652665957,-0.041646276,0.0861931864,1,,,,,,f2,1
nonfadvl,0.0827888027,0.3133860569,-0.08837225,-0.08101037,1,,,,,,f2,1
fctadvl,0.3903228799,0.3172428156,0.1980382234,0.0771469816,1,,,,,,f1,1
all_jto,0.431921537,0.5095855765,-0.170309344,0.1350632683,1,,,,,,f2,1
aspectpv,0.489606373,0.0812813545,-0.082099747,0.0527180299,1,,,,,,f1,1
prcessn,0.0346215322,0.520755056,-0.051140372,-0.09858084,1,,,,,,f2,1
cognitn,0.1556820323,0.5880456992,0.0199193454,-0.058579018,1,,,,,,f2,1
abstrcn,0.1512598523,0.5985259342,-0.161595774,-0.13007683,1,,,,,,f2,1
concrtn,-0.578264987,-0.522482483,0.2909182983,-0.117824426,1,,,,,,f1,-1
tccncrt,-0.427746089,-0.27117081,0.1635170959,-0.082700263,1,,,,,,f1,-1
placen,-0.533438893,-0.261193531,0.1526821879,-0.102707429,1,,,,,,f1,-1
sizej,0.3305962749,0.0652375329,-0.40578363,0.0112982418,1,,,,,,f3,-1
colorj,-0.466009286,-0.464862137,0.1035837504,-0.050528413,1,,,,,,f1,-1
evalj,0.4804076467,0.3222380782,-0.171827999,0.0362401351,1,,,,,,f1,1
topicj,-0.030658802,0.4201883634,-0.152347579,-0.225283925,1,,,,,,f2,1
