**what ^nn+++??+=**What
said ^vbd+vpub+tht0+xvbn+=said
Americans ^nns+nom+++=Americans
did ^vbd+dod+aux++=did
not ^xnot++not++=not
understand ^vb+vprv+++=understand
family ^nn++++=family,
, ^zz++++=EXTRAWORD
so ^ql++++=so
you ^pp2+pp2+++=you
must ^md+nec+++=must
remember ^nn+nom+++=remember
who ^whp+who+++=who
you ^pp2+pp2+++=you
were ^vbd+bed+vrb++=were.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
airport ^nn++++=airport,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
held ^vbd+vprv+tht0+xvbnx+=held
your ^pp$+pp2+++=your
shoulder ^nn+nom+++=shoulder
longer ^rbr++++=longer
than ^in++++=than
the ^ati++++=the
others ^aps++++=others
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
will ^md+prd+++=will
study ^vb++++=study,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
will ^md+prd+++=will
not ^xnot++not++=not
waste ^vb++++=waste
this ^dt+dem+++=this
chance ^nn++++=chance."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
promised ^vbd+++xvbn+=promised.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
uncle ^npt++++=uncle
met ^vbd+++xvbn+=met
you ^pp2+pp2+++=you
in ^in++++=in
Boston ^np++++=Boston
under ^in++++=under
a ^at++++=a
sign ^nn++++=sign
with ^in++++=with
your ^pp$+pp2+++=your
name ^nn++++=name
written ^vbd+++xvbn+=written
in ^in++++=in
black ^jj+atrb+++=black
marker ^nn++++=marker.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
truly ^rb++++=truly
your ^pp$+pp2+++=your
uncle ^nn++++=uncle.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
father ^nn++++=father
and ^cc++++=and
your ^pp$+pp2+++=your
father ^nn++++=father
came ^vbd+++xvbn+=came
from ^in+ppvb+++=from
neighboring ^jj+atrb+++=neighboring
villages ^nns+nom+++=villages,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
enough ^qlp++++=enough.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
hugged ^vbd+++xvbnx+=hugged
you ^pp2+pp2+++=you
and ^cc++++=and
smelled ^vpsv++agls+xvbn+=smelled
of ^in++++=of
peppermint ^jj+++xvbn+=peppermint
and ^cc++++=and
the ^ati++++=the
leather ^nn++++=leather
seats ^nns++++=seats
of ^in++++=of
his ^pp$+pp3+++=his
car ^nn++++=car.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
drive ^vb++++=drive
to ^to+vcmp+++=to
Maine ^vb++++=Maine,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
counted ^vbd+++xvbn+=counted
bridges ^nns++++=bridges
and ^cc++++=and
lanes ^nns++++=lanes.
. ^zz++++=EXTRAWORD
Cars ^nns++++=Cars
moved ^vbd+++xvbn+=moved
without ^in++++=without
horns ^nns++++=horns.
. ^zz++++=EXTRAWORD
The ^ati++++=The
forests ^nns++++=forests
stood ^vbd+++xvbn+=stood
close ^in+cmpx+++=close
to ^in"++++=to
the ^ati++++=the
road ^nn++++=road,
, ^zz++++=EXTRAWORD
dense ^jj++++=dense
and ^cc++++=and
orderly ^nn++++=orderly,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
somebody ^pn++++=somebody
had ^vbd+hvd+aux++=had
planted ^vprf+++xvbnx+=planted
each ^ppls++++=each
tree ^np++++=tree
after ^in++++=after
measuring ^xvbg+++xvbg+=measuring
the ^ati++++=the
distance ^nn+nom+++=distance
between ^in++++=between
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
uncle ^npt++++=uncle
asked ^vbd+vsua++xvbn+=asked
what ^wdt+who+whcl++=what
you ^pp2+pp2+++=you
thought ^vbd+++xvbn+=thought.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
fine ^jj+pred+++=fine,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
laughed ^vbd+++xvbnx+=laughed.
. ^zz++++=EXTRAWORD
" ^zz++++="Fine?
fine ^jj++++=EXTRAWORD
? ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
America ^np++++=America."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
house ^npl++++=house
had ^vb+hv+vrb++=had
pale ^nn++++=pale
siding ^vwbg+++xvbg+=siding
and ^cc++++=and
a ^at++++=a
red ^jj+atrb+++=red
mailbox ^nn+++??+=mailbox
shaped ^vbd+++xvbn+=shaped
like ^in++++=like
a ^at++++=a
barn ^nn++++=barn.
. ^zz++++=EXTRAWORD
Inside ^jjb++++=Inside,
, ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
auntie ^npt++++=auntie
welcomed ^vbd+++xvbn+=welcomed
you ^pp2+pp2+++=you
with ^in++++=with
rice ^nn++++=rice,
, ^zz++++=EXTRAWORD
chicken ^nn++++=chicken,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
salad ^nn++++=salad
wet ^nn++++=wet
with ^in++++=with
a ^at++++=a
sweet ^jj+atrb+++=sweet
white ^jj+atrb+++=white
cream ^nn++++=cream.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
children ^nns++++=children
looked ^vbd+++xvbn+=looked
at ^rb++++=at
you ^pp2+pp2+++=you
as ^cs+sub+++=as
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
promised ^vpsv++agls+xvbnx+=promised
a ^at++++=a
present ^nn++++=present
and ^cc++++=and
received ^vbd+++xvbn+=received
a ^at++++=a
person ^nn++++=person
instead ^rb+cnj+++=instead.
. ^zz++++=EXTRAWORD
The ^ati++++=The
younger ^jjr+atrb+++=younger
one ^cd1++++=one
asked ^vbd+vsua++xvbn+=asked
whether ^cs+who+++=whether
your ^pp$+pp2+++=your
village ^nn+nom+++=village
had ^vb+hv+vrb++=had
lions ^nns++++=lions.
. ^zz++++=EXTRAWORD
The ^ati++++=The
older ^jjr+atrb+++=older
one ^cd1++++=one
asked ^vbd+vsua++xvbn+=asked
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
knew ^vbd+vprv++xvbn+=knew
Beyonc ^np+++??+=Beyonc
. ^zz++++=.
You ^pp2+pp2+++=You
said ^vbd+vpub+tht0+xvbn+=said
Lagos ^np+++??+=Lagos
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
a ^at++++=a
village ^nn+nom+++=village.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
blinked ^vbd+++xvbnx+=blinked.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
you ^pp2+pp2+++=you're
're ^vb+ber+vrb++0=EXTRAWORD
African ^jj+pred+++=African."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
auntie ^npt++++=auntie
told ^vbd+vpub++xvbn+=told
him ^pp3o+pp3+++=him
not ^xnot++not++=not
to ^to++++=to
be ^vbi++vrb++=be
rude ^jj+pred+++=rude,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
she ^pp3a+pp3+++=she
smiled ^vbd+++xvbnx+=smiled
while ^cs+sub+++=while
saying ^vbg+++xvbg+=saying
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
showed ^vbd+vprv+tht0+xvbnx+=showed
you ^pp2+pp2+++=you
the ^ati++++=the
basement ^nn+nom+++=basement
room ^nn++++=room
where ^wrb+who+++=where
you ^pp2+pp2+++=you
would ^md+prd+++=would
sleep ^vb++++=sleep.
. ^zz++++=EXTRAWORD
The ^ati++++=The
walls ^nns++++=walls
were ^vbd+bed+vrb++=were
unpainted ^jj+pred+++=unpainted,
, ^zz++++=EXTRAWORD
the ^ati++++=the
mattress ^nns+nom+++=mattress
lay ^vbd+++xvbn+=lay
on ^rb+phrv+++=on
a ^at++++=a
metal ^nn++++=metal
frame ^nn++++=frame,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
small ^jj+atrb+++=small
window ^nn++++=window
near ^in+pl+++=near
the ^ati++++=the
ceiling ^nn+nom+++=ceiling
displayed ^vbd+++xvbn+=displayed
shoes ^nns++++=shoes
passing ^vwbg+++xvbg+=passing
outside ^jjb++++=outside.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
liked ^vbd+++xvbn+=liked
the ^ati++++=the
room ^nn++++=room.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
more ^rbr++++=more
private ^jj+pred+++=private
than ^in++++=than
the ^ati++++=the
one ^cd1++++=one
you ^pp2+pp2+++=you
had ^vbd+hvd+aux++=had
shared ^vprf+++xvbnx+=shared
with ^in++++=with
your ^pp$+pp2+++=your
cousins ^nns++++=cousins
during ^in++++=during
university ^npl+nom+++=university
strikes ^vbz++++=strikes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
carpet ^nn++++=carpet,
, ^zz++++=EXTRAWORD
though ^rb+cnj+++=though
stained ^jj+++xvbn+=stained,
, ^zz++++=EXTRAWORD
softened ^j+++xvbn+=softened
your ^pp$+pp2+++=your
footsteps ^nns++++=footsteps.
. ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
first ^od++++=first
weeks ^nns++++=weeks
you ^pp2+pp2+++=you
woke ^vbd+++xvbn+=woke
early ^jj++++=early
to ^to++++=to
make ^vbi++++=make
lunches ^nns++++=lunches
for ^in++++=for
the ^ati++++=the
children ^nns++++=children.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
auntie ^npt++++=auntie
worked ^vbd+++xvbn+=worked
at ^rb++++=at
a ^at++++=a
nursing ^nn++++=nursing
home ^nr++++=home,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
your ^pp$+pp2+++=your
uncle ^npt++++=uncle
sold ^vwbn+++xvbn+=sold
cars ^nns++++=cars
at ^in++++=at
a ^at++++=a
dealership ^nn+nom+++=dealership
forty ^cd++++=forty
minutes ^nns++++=minutes
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
explained ^vbd+vpub++xvbnx+=explained
America ^np++++=America
to ^in++++=to
you ^pp2+pp2+++=you
over ^in++++=over
breakfast ^nn++++=breakfast.
. ^zz++++=EXTRAWORD
Credit ^nn++++=Credit
was ^vbd+bedz+vrb++=was
more ^rbr++++=more
important ^jj+pred+++=important
than ^in++++=than
cash ^nn++++=cash.
. ^zz++++=EXTRAWORD
Smiling ^jj+++xvbg+=Smiling
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
always ^rb++++=always
friendliness ^nns+nom+++=friendliness.
. ^zz++++=EXTRAWORD
At ^rb++++=At
school ^nn++++=school,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
must ^md+nec+++=must
not ^xnot++not++=not
argue ^vb+vpub+++=argue
with ^in++++=with
professors ^nns++++=professors
because ^cs+cos+++=because
Americans ^nns+nom+++=Americans
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
respect ^nn++++=respect
cleverness ^nns+nom+++=cleverness
unless ^cs+cnd+++=unless
it ^pp3+it+++=it
came ^vbd+++xvbn+=came
with ^in++++=with
the ^ati++++=the
correct ^jj+atrb+++=correct
papers ^nns++++=papers.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
would ^md+prd+++=would
help ^vb++++=help
you ^pp2+pp2+++=you
apply ^vb++++=apply
to ^in++++=to
a ^at++++=a
community ^nn+nom+++=community
college ^npl++++=college
after ^cs+sub+++=after
you ^pp2+pp2+++=you
became ^vbd+++xvbn+=became
settled ^jj+++xvbn+=settled.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
meantime ^nn++++=meantime,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
cleaned ^vbd+++xvbn+=cleaned
the ^ati++++=the
house ^nn++++=house,
, ^zz++++=EXTRAWORD
collected ^xvbn+++xvbn+=collected
the ^ati++++=the
children ^nns++++=children,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
watched ^vbd+++xvbn+=watched
daytime ^nn++++=daytime
television ^nn++++=television,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
women ^nns++++=women
cried ^vbd+++xvbn+=cried
because ^cs+cos+++=because
their ^pp$+pp3+++=their
husbands ^nns++++=husbands
had ^vbd+hvd+aux++=had
slept ^vprf+++xvbnx+=slept
with ^in++++=with
their ^pp$+pp3+++=their
sisters ^nns+nom+++=sisters.
. ^zz++++=EXTRAWORD
On ^in++++=On
Sundays ^nrs++++=Sundays,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
drove ^vbd+++xvbn+=drove
to ^to+vcmp+++=to
a ^at++++=a
church ^nn++++=church
in ^in++++=in
Portland ^np++++=Portland
where ^wrb+who+++=where
Nigerians ^np+++??+=Nigerians
praised ^vbd+++xvbn+=praised
God ^np++++=God
in ^in++++=in
careful ^jj+atrb+++=careful
English ^nn++++=English.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
service ^nn++++=service
they ^pp3a+pp3+++=they
gathered ^vbd+++xvbnx+=gathered
around ^rp++++=around
foil ^nn++++=foil
trays ^nns++++=trays
of ^in++++=of
jollof ^nn+++??+=jollof
rice ^np++++=rice
and ^cc++++=and
moi ^&fw++++=moi
moi ^&fw++++=moi,
, ^zz++++=EXTRAWORD
lowering ^vbg+++xvbg+=lowering
their ^pp$+pp3+++=their
voices ^nns++++=voices
to ^to++++=to
discuss ^vbi++++=discuss
people ^nns++++=people
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
married ^vprf+++xvbnx+=married
for ^in++++=for
papers ^nns++++=papers.
. ^zz++++=EXTRAWORD
A ^at++++=A
woman ^nn++++=woman
with ^in++++=with
eyebrows ^nns++++=eyebrows
drawn ^vwbn+++xvbn+=drawn
in ^in++++=in
sharp ^jj+atrb+++=sharp
arches ^nns++++=arches
asked ^vbd+vsua++xvbn+=asked
whether ^cs+who+++=whether
you ^pp2+pp2+++=you
had ^vb+hv+vrb++=had
a ^at++++=a
boyfriend ^nn+++??+=boyfriend
at ^rb++++=at
home ^nr++++=home.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
you ^pp2+pp2+++=you
said ^vbd+vpub++xvbn+=said
no ^at++++=no,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
touched ^vbd+++xvbnx+=touched
your ^pp$+pp2+++=your
arm ^nn++++=arm
and ^cc++++=and
told ^vbd+vpub+tht0+xvbn+=told
you ^pp2+pp2+++=you
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
many ^ap++++=many
good ^jj+atrb+++=good
Nigerian ^jj+atrb+++=Nigerian
men ^nns++++=men
in ^in++++=in
America ^np++++=America,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
pharmacists ^nns+nom+++=pharmacists.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
uncle ^npt++++=uncle
liked ^vbd+++xvbn+=liked
to ^to+vcmp+++=to
say ^vbi+vpub+tht0++=say
nothing ^pn++++=nothing
was ^vbd+bedz+vrb++=was
free ^jj+pred+++=free.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
said ^vbd+vpub+tht0+xvbnx+=said
it ^pp3+it+++=it
when ^wrb+who+++=when
you ^pp2+pp2+++=you
asked ^vbd+vsua++xvbn+=asked
about ^in++++=about
tuition ^nn+nom+++=tuition.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
said ^vbd+vpub+tht0+xvbnx+=said
it ^pp3+it+++=it
when ^wrb+who+++=when
you ^pp2+pp2+++=you
left ^vbd+++xvbn+=left
a ^at++++=a
lamp ^nn++++=lamp
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
said ^vbd+vpub+tht0+xvbnx+=said
it ^pp3+it+++=it
while ^cs+sub+++=while
explaining ^vbg+vpub++xvbg+=explaining
how ^wrb+who+whcl++=how
his ^pp$+pp3+++=his
first ^od++++=first
employer ^nn+nom+++=employer
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
him ^pp3o+pp3+++=him
work ^nn++++=work
Sundays ^nrs++++=Sundays
without ^in++++=without
extra ^jj+atrb+++=extra
pay ^nn++++=pay.
. ^zz++++=EXTRAWORD
" ^zz++++="America
america ^np++++=EXTRAWORD
is ^vbz+bez+aux++=is
give ^vb++++=give-and-take,"
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
take ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
told ^vbd+vpub+tht0+xvbnx+=told
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
cannot ^md+pos+not++=cannot
only ^rb+down+splt++=only
take ^vb++++=take."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
nodded ^vbd+++xvbn+=nodded
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
bought ^vprf+++xvbnx+=bought
your ^pp$+pp2+++=your
winter ^nn++++=winter
coat ^nn++++=coat.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
too ^ql++++=too
large ^jj++++=large
and ^cc++++=and
the ^ati++++=the
sleeves ^nns++++=sleeves
covered ^vbd+++xvbn+=covered
your ^pp$+pp2+++=your
fingers ^nns+nom+++=fingers,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
your ^pp$+pp2+++=your
auntie ^npt++++=auntie
said ^vbd+vpub+tht0+xvbn+=said
you ^pp2+pp2+++=you
would ^md+prd+++=would
appreciate ^nn+nom+++=appreciate
it ^pp3+it+++=it
when ^wrb+who+++=when
snow ^np++++=snow
came ^vbd+++xvbn+=came.
. ^zz++++=EXTRAWORD
The ^ati++++=The
snow ^nn++++=snow
came ^vbd+++xvbn+=came
one ^cd1++++=one
night ^nn++++=night
without ^in++++=without
noise ^nn++++=noise.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
the ^ati++++=the
yard ^nn++++=yard
had ^vbd+hvd+aux++=had
disappeared ^vprf+++xvbnx+=disappeared
beneath ^in+pl+++=beneath
whiteness ^nns+nom+++=whiteness.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
stood ^vbd+++xvbn+=stood
at ^rb++++=at
the ^ati++++=the
glass ^nn++++=glass
door ^nn++++=door
until ^cs+sub+++=until
your ^pp$+pp2+++=your
uncle ^nn++++=uncle
came ^vbd+++xvbn+=came
behind ^in+pl+++=behind
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
placed ^vbd+++xvbnx+=placed
his ^pp$+pp3+++=his
hands ^nns++++=hands
on ^in++++=on
your ^pp$+pp2+++=your
shoulders ^nns+nom+++=shoulders.
. ^zz++++=EXTRAWORD
" ^zz++++="Beautiful,
beautiful ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
eh ^uh++++=eh?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
said ^vbd+vpub++xvbn+=said
yes ^uh++++=yes.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
hands ^nns++++=hands
stayed ^vbd+++xvbn+=stayed
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
told ^vbd+vpub++xvbn+=told
yourself ^ppl+pp2+++=yourself
that ^dt+pdem+++=that
people ^vbz++++=people
touched ^vbd+++xvbn+=touched
differently ^rb++++=differently
in ^in++++=in
America ^np++++=America.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
hugged ^vbd+++xvbnx+=hugged
acquaintances ^nns+nom+++=acquaintances.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
patted ^vbd+++xvbnx+=patted
waiters ^nns+nom+++=waiters.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
said ^vbd+vpub++xvbnx+=said
love ^nn++++=love
you ^pp2+pp2+++=you
before ^cs+sub+++=before
ending ^xvbg+++xvbg+=ending
telephone ^nn++++=telephone
calls ^nns++++=calls
with ^in++++=with
people ^nns++++=people
