What ^wdt+who+++=What
and ^cc++++=and
septic ^jj+atrb+++=septic
fields ^nns++++=fields.
. ^zz++++=EXTRAWORD
Mel ^np++++=Mel's
's ^$++++=EXTRAWORD
wife ^nn++++=wife
did ^vbd+dod+aux++=did
not ^xnot++not++=not
come ^vprf+++xvbn+=come
down ^rp++++=down.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
we ^pp1a+pp1+++=we
heard ^vbd+vprv++xvbn+=heard
a ^at++++=a
bell ^nn++++=bell
upstairs ^jjb++++=upstairs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
left ^vbd+++xvbnx+=left
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
returned ^vbd+++xvbnx+=returned
ten ^cd++++=ten
minutes ^nns++++=minutes
later ^rbr+tm+++=later
looking ^vbg+++xvbg+=looking
older ^jjr++++=older,
, ^zz++++=EXTRAWORD
apologized ^j+++xvbn+=apologized,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
poured ^vbd+++xvbn+=poured
coffee ^nn++++=coffee.
. ^zz++++=EXTRAWORD
The ^ati++++=The
price ^nn++++=price
was ^vbd+bedz+vrb++=was
low ^jj+pred+++=low.
. ^zz++++=EXTRAWORD
Embarrassingly ^np+++??+=Embarrassingly
low ^jj++++=low.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
have ^vb+hv+aux++=have
paid ^vprf+++xvbnx+=paid
twice ^rb++++=twice
as ^ql++++=as
much ^ap++++=much
without ^in++++=without
selling ^xvbg+++xvbg+=selling
anything ^pn++++=anything
I ^pp1a+pp1+++=I
cared ^vbd+++xvbnx+=cared
about ^in+strn+++=about.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
fact ^nn++++=fact
gave ^vbd+++xvbn+=gave
me ^pp1o+pp1+++=me
the ^ati++++=the
warm ^jj+atrb+++=warm
sensation ^nn+nom+++=sensation
of ^in++++=of
virtue ^nn++++=virtue.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
told ^vbd+vpub++xvbnx+=told
the ^ati++++=the
agent ^nn++++=agent
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
ready ^jj+pred+++=ready
to ^to+jcmp+++=to
proceed ^vbi++++=proceed.
. ^zz++++=EXTRAWORD
Mel ^np++++=Mel
held ^vbd+vprv++xvbn+=held
out ^rp+pl+++=out
his ^pp$+pp3+++=his
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
was ^vbd+bedz+aux++=was
cool ^vb++++=cool
and ^cc++++=and
surprisingly ^rb++++=surprisingly
strong ^jj++++=strong.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
still ^rb++++=still
holding ^vbg+vprv++xvbg+=holding
mine ^pp$$++++=mine,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub+tht0+xvbnx+=said
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
one ^cd1++++=one
small ^jj+atrb+++=small
matter ^nn++++=matter.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
wife ^nn++++=wife
might ^md+pos+++=might
not ^xnot++not++=not
live ^vb++++=live
to ^to++++=to
see ^vbi+vprv+tht0++=see
the ^ati++++=the
transfer ^nn++++=transfer
completed ^vbd+++xvbn+=completed.
. ^zz++++=EXTRAWORD
Afterward ^rb+cnj+++=Afterward,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
no ^at++++=no
objection ^nn+nom+++=objection,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
I ^pp1a+pp1+++=I
permit ^vb++++=permit
him ^pp3o+pp3+++=him
to ^to++++=to
visit ^vbi++++=visit
once ^rb+tm+++=once
in ^in++++=in
a ^at++++=a
while ^cs+sub+++=while?
? ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
stay ^vb++++=stay
overnight ^jjb++++=overnight.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
often ^rb++++=often.
. ^zz++++=EXTRAWORD
A ^at++++=A
night ^nn++++=night
in ^in++++=in
the ^ati++++=the
small ^jj+atrb+++=small
room ^nn++++=room
over ^in++++=over
the ^ati++++=the
kitchen ^nn++++=kitchen,
, ^zz++++=EXTRAWORD
maybe ^rb+hdg+++=maybe
on ^in++++=on
the ^ati++++=the
anniversary ^nn+nom+++=anniversary
of ^in++++=of
their ^pp$+pp3+++=their
marriage ^nn+nom+++=marriage.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
not ^xnot++not++=not
refuse ^vb++++=refuse.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
matters ^nns+nom+++=matters
to ^in++++=to
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
apparently ^rb+cnj+++=apparently,
, ^zz++++=EXTRAWORD
so ^ql++++=so
let ^vb+++xvbn+=let
me ^pp1o+pp1+++=me
repeat ^vb++++=repeat
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
not ^xnot++not++=not
refuse ^vb++++=refuse.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
hesitated ^vbd+++xvbnx+=hesitated.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
seconds ^nns++++=seconds?
? ^zz++++=EXTRAWORD
Three ^cd++++=Three?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
looked ^vbd+++xvbnx+=looked
toward ^in++++=toward
the ^ati++++=the
agent ^nn++++=agent.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
of ^in++++=of
liability ^nn+nom+++=liability,
, ^zz++++=EXTRAWORD
boundaries ^nns++++=boundaries,
, ^zz++++=EXTRAWORD
future ^jjb+atrb+++=future
guests ^nns++++=guests,
, ^zz++++=EXTRAWORD
an ^at++++=an
old ^jj+atrb+++=old
man ^nn++++=man
appearing ^vwbg+seem++xvbg+=appearing
with ^in++++=with
a ^at++++=a
suitcase ^nn++++=suitcase
whenever ^nn+nom+++=whenever
memory ^nn++++=memory
pinched ^vbd+++xvbn+=pinched
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
I ^pp1a+pp1+++=I
would ^md+prd+++=would
not ^xnot++not++=not
have ^vb+hv+aux++=have
admitted ^vprf+++xvbnx+=admitted
it ^pp3+it+++=it
then ^rn+tm+++=then:
: ^zz++++=EXTRAWORD
When ^wrb+who+++=When
I ^pp1a+pp1+++=I
buy ^vb++++=buy
a ^at++++=a
thing ^nn++++=thing,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
want ^vb++++=want
it ^pp3+it+++=it
to ^to++++=to
become ^vbi++++=become
mine ^nn++++=mine.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
I ^pp1a+pp1+++=I
smiled ^vbd+++xvbnx+=smiled
and ^cc+phrs+++=and
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
Of ^in+emph+++=Of
course ^nn+emph"+++=course.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
can ^md+pos+++=can
arrange ^vb++++=arrange
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
Mel ^np++++=Mel
released ^vwbn+++xvbn+=released
my ^pp$+pp1+++=my
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
he ^pp3a+pp3+++=he
meant ^vbd+vprv++xvbnx+=meant
no ^at++++=no
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
arrange ^vb++++=arrange
it ^pp3+it+++=it
formally ^rb++++=formally.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
sell ^vb++++=sell.
. ^zz++++=EXTRAWORD
The ^ati++++=The
agent ^nn++++=agent
laughed ^vbd+++xvbn+=laughed
a ^at++++=a
nervous ^jj++++=nervous
little ^ap++++=little
bark ^nn++++=bark.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
told ^vbd+vpub++xvbnx+=told
him ^pp3o+pp3+++=him
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
misunderstood ^vprf+++xvbn+=misunderstood.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
said ^vbd+vpub+tht0+xvbnx+=said
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
face ^nn++++=face
had ^vbd+hvd+aux++=had
closed ^vprf+++xvbnx+=closed,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
angrily ^rb++++=angrily
but ^cc+phrs+++=but
completely ^rb+cnj+++=completely,
, ^zz++++=EXTRAWORD
like ^in++++=like
shutters ^nns+nom+++=shutters
before ^in++++=before
weather ^nn++++=weather.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
raised ^vbd+++xvbnx+=raised
my ^pp$+pp1+++=my
offer ^nn++++=offer
by ^in++++=by
fifty ^cd++++=fifty
thousand ^cd++++=thousand
dollars ^nns++++=dollars.
. ^zz++++=EXTRAWORD
No ^at++++=No.
. ^zz++++=EXTRAWORD
By ^in++++=By
a ^at++++=a
hundred ^cd++++=hundred.
. ^zz++++=EXTRAWORD
No ^at++++=No.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub+tht0+xvbnx+=said
his ^pp$+pp3+++=his
request ^nn++++=request
