We ^pp1a+pp1+++=We
We ^pp1a+pp1+++=We
knew ^vbd+vprv+tht0+xvbn+=knew
she ^pp3a+pp3+++=she
watched ^vbd+++xvbnx+=watched
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Gloria ^np++++=Gloria
watched ^vbd+++xvbn+=watched
everybody ^pn++++=everybody,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
Randy ^np+++??+=Randy
lifted ^vbd+++xvbn+=lifted
fifty ^cd++++=fifty-pound
- ^zz++++=EXTRAWORD
pound ^nn++++=EXTRAWORD
sacks ^nns++++=sacks
of ^in++++=of
seed ^nn++++=seed
she ^pp3a+pp3+++=she
watched ^vbd+++xvbnx+=watched
in ^in++++=in
the ^ati++++=the
same ^ap++++=same
wide ^jj++++=wide-eyed
- ^zz++++=EXTRAWORD
eyed ^vbd+++xvbn+=EXTRAWORD
manner ^nn++++=manner
she ^pp3a+pp3+++=she
used ^vbd+++xvbnx+=used
when ^wrb+who+++=when
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Harlow ^np++++=Harlow
replaced ^vwbn+++xvbn+=replaced
the ^ati++++=the
receipt ^nn++++=receipt
paper ^nn++++=paper.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
Gloria ^np++++=Gloria
began ^vbd+++xvbn+=began
changing ^jj+++xvbg+=changing.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
started ^vbd+++xvbnx+=started
with ^in++++=with
opinions ^nns++++=opinions.
. ^zz++++=EXTRAWORD
Opinions ^nns++++=Opinions
were ^vbd+bed+vrb++=were
what ^wdt+who+++=what
interesting ^jj+atrb+++=interesting
women ^nns++++=women
had ^vb+hv+vrb++=had,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
decided ^vprf+++xvbnx+=decided,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
from ^in++++=from
television ^nn++++=television.
. ^zz++++=EXTRAWORD
" ^zz++++="Too
too ^ql++++=EXTRAWORD
much ^ap++++=much
rain ^nn++++=rain,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Leon ^np++++=Leon
Mears ^np+++??+=Mears
one ^cd1++++=one
morning ^nn++++=morning.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
need ^nn++++=need
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Gloria ^np++++=Gloria
replied ^vbd+vpub++xvbn+=replied
firmly ^rb++++=firmly.
. ^zz++++=EXTRAWORD
Leon ^np++++=Leon
looked ^vbd+++xvbn+=looked
through ^in++++=through
the ^ati++++=the
front ^jjb+atrb+++=front
windows ^nns++++=windows
at ^in++++=at
a ^at++++=a
parking ^jj+atrb++xvbg+=parking
lot ^nn++++=lot
under ^in++++=under
six ^cd++++=six
inches ^nns++++=inches
of ^in++++=of
water ^nn++++=water.
. ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
that ^dt+dem+++=that
much ^ap++++=much,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="No,"
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Gloria ^np++++=Gloria
agreed ^vbd+vpub++xvbn+=agreed.
. ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
that ^dt+dem+++=that
much ^ap++++=much."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
tried ^vbd+++xvbnx+=tried
politics ^nn++++=politics
for ^in++++=for
two ^cd++++=two
days ^nns++++=days,
, ^zz++++=EXTRAWORD
saying ^vbg+++xvbg+=saying
taxes ^nns++++=taxes
were ^vbd+bed+vrb++=were
terrible ^jj+pred+++=terrible
until ^in++++=until
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Harlow ^np++++=Harlow
asked ^vbd+vsua++xvbn+=asked
which ^wdt+who+whcl++=which
tax ^nn++++=tax,
, ^zz++++=EXTRAWORD
whereupon ^cs+sub+++=whereupon
Gloria ^np++++=Gloria
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="All
all ^abn++++=EXTRAWORD
of ^in++++=of
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
imagine ^vb+vprv+++=imagine,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
dropped ^vbd+++xvbn+=dropped
a ^at++++=a
box ^nn++++=box
of ^in++++=of
nails ^nns++++=nails.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
attempted ^vbd+++xvbnx+=attempted
humor ^nn++++=humor.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
Randy ^np+++??+=Randy
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
starving ^vbg+++xvbgx+=starving,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
told ^vbd+vpub++xvbnx+=told
him ^pp3o+pp3+++=him
not ^xnot++not++=not
to ^to++++=to
eat ^vbi++++=eat
the ^ati++++=the
hardware ^nn++++=hardware.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
laughed ^vbd+++xvbnx+=laughed,
, ^zz++++=EXTRAWORD
surprised ^j+++xvbn+=surprised
more ^rbr++++=more
than ^in++++=than
amused ^vbd+++xvbn+=amused,
, ^zz++++=EXTRAWORD
Gloria ^np++++=Gloria
repeated ^vbd+++xvbn+=repeated
the ^ati++++=the
joke ^nn++++=joke
to ^to++++=to
four ^cd++++=four
customers ^nns+nom+++=customers,
, ^zz++++=EXTRAWORD
changing ^jj+atrb++xvbg+=changing
hardware ^nn++++=hardware
to ^in++++=to
merchandise ^nn++++=merchandise,
, ^zz++++=EXTRAWORD
supplies ^nns++++=supplies,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
finally ^rb+cnj+++=finally,
, ^zz++++=EXTRAWORD
galvanized ^jj+atrb+++=galvanized
roofing ^nn++++=roofing
screws ^nns++++=screws.
. ^zz++++=EXTRAWORD
Next ^ap++++=Next
came ^vbd+++xvbn+=came
femininity ^nn+nom+++=femininity.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
how ^wrb+who+++=how
we ^pp1a+pp1+++=we
understood ^vbd+vprv+tht0+xvbn+=understood
it ^pp3+it+++=it
at ^in++++=at
the ^ati++++=the
time ^nn++++=time,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
what ^wdt+who+++=what
we ^pp1a+pp1+++=we
meant ^vpsv++by+xvbn+=meant
by ^in++++=by
femininity ^nn+nom+++=femininity
was ^vbd+bedz+vrb++=was
that ^tht+vcmp+++=that
Gloria ^np++++=Gloria
burned ^vbd+++xvbn+=burned
a ^at++++=a
crescent ^npl++++=crescent
into ^in++++=into
her ^pp$+pp3+++=her
forehead ^nn++++=forehead
with ^in++++=with
a ^at++++=a
curling ^jj+atrb++xvbg+=curling
iron ^nn++++=iron,
, ^zz++++=EXTRAWORD
purchased ^j+++xvbn+=purchased
a ^at++++=a
pink ^jj+atrb+++=pink
blouse ^nn++++=blouse
with ^in++++=with
pearl ^nn++++=pearl-colored
- ^zz++++=EXTRAWORD
colored ^jj+atrb++xvbn+=EXTRAWORD
buttons ^nns++++=buttons,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
began ^vbd+++xvbn+=began
wearing ^vbg+++xvbg+=wearing
enough ^dt++++=enough
perfume ^nn++++=perfume
to ^in++++=to
defeat ^nn++++=defeat
the ^ati++++=the
smell ^nn++++=smell
of ^in++++=of
fertilizer ^nn+nom+++=fertilizer.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
laughed ^vbd+++xvbnx+=laughed
differently ^rb++++=differently
too ^rb++++=too.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
old ^jj+atrb+++=old
laugh ^nn++++=laugh
was ^vbd+bedz+vrb++=was
a ^at++++=a
single ^nn++++=single
startled ^vbd+++xvbn+=startled
bark ^nn++++=bark.
. ^zz++++=EXTRAWORD
The ^ati++++=The
new ^jj+atrb+++=new
one ^cd1++++=one
climbed ^vprf+++xvbn+=climbed
a ^at++++=a
staircase ^nn++++=staircase:
: ^zz++++=EXTRAWORD
ha ^uh++++=ha,
, ^zz++++=EXTRAWORD
ha ^uh++++=ha-ha,
- ^zz++++=EXTRAWORD
ha ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
ha ^uh++++=ha-ha-ha.
- ^zz++++=EXTRAWORD
ha ^uh++++=EXTRAWORD
- ^zz++++=EXTRAWORD
ha ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Sometimes ^rb++++=Sometimes
Randy ^np+++??+=Randy
had ^vbd+hvd+aux++=had
stopped ^vprf+++xvbnx+=stopped
speaking ^vbg+++xvbg+=speaking
before ^cs+sub+++=before
she ^pp3a+pp3+++=she
reached ^vbd+++xvbnx+=reached
the ^ati++++=the
top ^nn++++=top.
. ^zz++++=EXTRAWORD
" ^zz++++="She's
she ^pp3a+pp3+++=EXTRAWORD
's ^vbz+bez+aux++0=EXTRAWORD
fixing ^vbg+++xvbgx+=fixing
to ^to++++=to
make ^vbi++++=make
a ^at++++=a
fool ^nn++++=fool
of ^in++++=of
herself ^ppl+pp3+++=herself,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Harlow ^np++++=Harlow
told ^vbd+vpub++xvbn+=told
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
said ^vbd+vpub++xvbnx+=said
this ^dt+dem+++=this
to ^in++++=to
customers ^nns+nom+++=customers
while ^cs+sub+++=while
Gloria ^np++++=Gloria
stood ^vbd+++xvbn+=stood
ten ^cd++++=ten
feet ^nns++++=feet
away ^rp+pl+++=away
pricing ^nn++++=pricing
mousetraps ^nns+++??+=mousetraps.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
for ^in+strn+++=for?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
one ^pn++++=one
of ^in++++=of
us ^pp1o+pp1+++=us
asked ^vbd+vsua++xvbn+=asked,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
we ^pp1a+pp1+++=we
knew ^vbd+vprv++xvbn+=knew.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Harlow ^np++++=Harlow
leaned ^vbd+++xvbn+=leaned
on ^in++++=on
the ^ati++++=the
counter ^nn++++=counter
with ^in++++=with
the ^ati++++=the
theatrical ^jj+atrb+++=theatrical
patience ^nn+nom+++=patience
of ^in++++=of
a ^at++++=a
doctor ^nn++++=doctor
explaining ^vwbg+vpub++xvbg+=explaining
a ^at++++=a
fatal ^jj+atrb+++=fatal
condition ^nn+nom+++=condition.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
son ^nn++++=son."
. ^zz++++=EXTRAWORD
