# ^zz++++=##
# ^zz++++=EXTRAWORD
Will ^md+prd+++=WILL
was ^vbd+bedz+vrb++=was
almost ^rb+hdg+++=almost
equal ^jj+pred+++=equal
to ^in++++=to
his ^pp$+pp3+++=his
reputation ^nn+nom+++=reputation
for ^in++++=for
wealth ^nn++++=wealth.
. ^zz++++=EXTRAWORD
Bills ^nns++++=Bills,
, ^zz++++=EXTRAWORD
invoices ^nns+++??+=invoices,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
letters ^nns+nom+++=letters
lay ^vbd+++xvbn+=lay
upon ^in++++=upon
the ^ati++++=the
broad ^jj+atrb+++=broad
desk ^nn++++=desk
before ^in++++=before
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
near ^rb++++=near
his ^pp$+pp3+++=his
right ^jj+atrb+++=right
hand ^nn++++=hand
stood ^vbd+++xvbn+=stood
a ^rb++++=a
little ^rb"++++=little
book ^nn++++=book
in ^in++++=in
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
just ^rb+emph+splt++=just
made ^vprf+++xvbnx+=made
certain ^jj+atrb+++=certain
figures ^vb++++=figures
that ^tht+vcmp+subj++=that
seemed ^vprf+++xvbn+=seemed
to ^to+vcmp+++=to
afford ^vbi++++=afford
him ^pp3o+pp3+++=him
unusual ^jj+atrb+++=unusual
satisfaction ^nn+nom+++=satisfaction.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Smith ^np++++=Smith,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
likewise ^rb+cnj+splt++=likewise
engaged ^vpsv++agls+xvbnx+=engaged
in ^in++++=in
mercantile ^jj+atrb+++=mercantile
pursuits ^nns++++=pursuits,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
called ^vprf+++xvbnx+=called
to ^to++++=to
speak ^vbi++++=speak
of ^in++++=of
a ^at++++=a
matter ^nn++++=matter
which ^whp+rel+subj++=which
did ^vbd+dod+aux++=did
not ^xnot++not++=not
immediately ^rb+tm+++=immediately
concern ^vb++++=concern
either ^dtx++++=either
man ^nn++++=man's
's ^$++++=EXTRAWORD
business ^nns+nom+++=business.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
remember ^nn+nom+++=remember
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Lloyd ^np++++=Lloyd?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="Lloyd?
lloyd ^np++++=EXTRAWORD
? ^zz++++=EXTRAWORD
Lloyd ^np++++=Lloyd?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Jones ^np++++=Jones
tapped ^vwbn+++xvbn+=tapped
his ^pp$+pp3+++=his
forehead ^nn++++=forehead.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes
yes ^uh++++=EXTRAWORD
the ^ati++++=the
commission ^nn++++=commission
merchant ^nn+nom+++=merchant
who ^whp+rel+subj++=who
failed ^vbd+++xvbn+=failed
five ^cd++++=five
or ^cc++++=or
six ^cd++++=six
years ^nns++++=years
ago ^rb++++=ago."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
afterward ^rb++++=afterward
recovered ^vbd+++xvbn+=recovered
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
in ^in++++=in
part ^nn++++=part."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Never
never ^rb++++=EXTRAWORD
wholly ^rb+cnj+++=wholly,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Jones ^np++++=Jones.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
man ^nn++++=man
who ^whp+rel+subj++=who
once ^rb+tm+++=once
fails ^vbz++++=fails
carries ^vbz++++=carries
the ^ati++++=the
scar ^nn++++=scar
through ^in++++=through
life ^nn++++=life.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
died ^vbd+++xvbnx+=died
last ^rb++++=last
week ^nn++++=week,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
believe ^vb+vprv+++=believe."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
did ^vbd+dod+vrb++=did."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
left ^jj+++xvbn+=left
very ^ql+amp+++=very
little ^ap++++=little?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="His
his ^pp$+pp3+++=EXTRAWORD
widow ^nn++++=widow
fears ^nns++++=fears
so ^ql++++=so.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Lloyd ^np++++=Lloyd
is ^vbz+bez+vrb++=is
almost ^rb+hdg+++=almost
wholly ^rb++++=wholly
ignorant ^jj++++=ignorant
of ^in++++=of
business ^nns+nom+++=business.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
husband ^nn++++=husband's
's ^$++++=EXTRAWORD
affairs ^nns++++=affairs
are ^vb+ber+vrb++=are
unsettled ^jj+pred+++=unsettled;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
has ^vbz+hvz+vrb++=has
three ^cd++++=three
daughters ^nns+nom+++=daughters
dependent ^jj++++=dependent
upon ^in++++=upon
her ^pp$+pp3+++=her;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
unless ^cs+cnd+++=unless
some ^dti++++=some
experienced ^jj+atrb++xvbn+=experienced
person ^nn++++=person
advises ^vbz++++=advises
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
may ^md+pos+++=may
sacrifice ^vb++++=sacrifice
the ^ati++++=the
small ^jj+atrb+++=small
property ^nn++++=property
that ^tht+rel+obj++=that
remains ^nns++++=remains."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well?"
well ^rb++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
came ^vbd+++xvbnx+=came
to ^to++++=to
ask ^vbi++++=ask
you ^pp2+pp2+++=you
to ^to++++=to
accompany ^vbi++++=accompany
me ^pp1o+pp1+++=me
to ^in++++=to
her ^pp3o+pp3+++=her
house ^npl++++=house.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
experience ^nn+nom+++=experience
might ^md+pos+++=might
be ^vb+be+vrb++=be
of ^in++++=of
great ^jj+atrb+++=great
service ^nn++++=service."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Jones ^np++++=Jones
leaned ^vbd+++xvbn+=leaned
back ^jjb++++=back
and ^cc++++=and
thrust ^nn+++xvbn+=thrust
his ^pp$+pp3+++=his
thumbs ^nns++++=thumbs
into ^in++++=into
the ^ati++++=the
arm ^nn++++=arm-holes
- ^zz++++=EXTRAWORD
holes ^nns++++=EXTRAWORD
of ^in++++=of
his ^pp$+pp3+++=his
waistcoat ^nn++++=waistcoat.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
commission ^nn++++=commission
am ^vb+bem+vrb++=am
I ^pp1a+pp1+++=I
to ^to++++=to
receive ^vbi++++=receive?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Commission!"
commission ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes.
yes ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
say ^vb+vpub+++=say
that ^tht+vcmp+++=that
my ^pp$+pp1+++=my
experience ^nn+nom+++=experience
is ^vbz+bez+aux++=is
wanted ^vpsv++agls+xvbnx+=wanted.
. ^zz++++=EXTRAWORD
Experience ^nn+nom+++=Experience
is ^vbz+bez+vrb++=is
capital ^nn++++=capital,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Smith ^np++++=Smith,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
capital ^nn++++=capital
should ^md+nec+++=should
earn ^vb++++=earn
interest ^nn++++=interest."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
case ^nn++++=case
of ^in++++=of
distress ^nns+nom+++=distress."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
are ^vb+ber+vrb++=are
a ^ap++++=a
great ^ap"++++=great
many ^ap"++++=many
cases ^nns++++=cases
of ^in++++=of
distress ^nns+nom+++=distress."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
widow ^nn++++=widow
of ^in++++=of
an ^at++++=an
old ^jj+atrb+++=old
acquaintance ^nn+nom+++=acquaintance."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
knew ^vbd+vprv++xvbnx+=knew
Lloyd ^np++++=Lloyd
in ^in++++=in
business ^nns+nom+++=business;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
not ^xnot++not++=not
marry ^vb++++=marry
his ^pp$+pp3+++=his
family ^nn++++=family."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
needs ^nns++++=needs
only ^rb+down+++=only
an ^at++++=an
hour ^nn++++=hour
or ^cc++++=or
two ^cd++++=two
of ^in++++=of
intelligent ^jj+atrb+++=intelligent
advice ^nn++++=advice."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
an ^at++++=an
hour ^nn++++=hour
or ^cc++++=or
two ^cd++++=two
may ^md+pos+++=may
cost ^vb++++=cost
me ^pp1o+pp1+++=me
fifty ^cd++++=fifty
dollars ^nns++++=dollars.
. ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
no ^at++++=no,
, ^zz++++=EXTRAWORD
Smith ^np++++=Smith.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
too ^ql++++=too
poor ^jj++++=poor
to ^to++++=to
give ^vbi++++=give
away ^rb+phrv+++=away
my ^pp$+pp1+++=my
time ^nn++++=time."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Jones ^np++++=Jones
was ^vbd+bedz+vrb++=was
worth ^in+strn+++=worth,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
lowest ^jjt+atrb+++=lowest
estimate ^nn+nom+++=estimate,
, ^zz++++=EXTRAWORD
sixty ^cd++++=sixty
thousand ^cd++++=thousand
dollars ^nns++++=dollars.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Smith ^np++++=Smith
looked ^vbd+++xvbn+=looked
at ^rb++++=at
him ^pp3o+pp3+++=him
steadily ^rb++++=steadily.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+aux++=are
resolved ^vpsv++agls+xvbnx+=resolved,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
to ^to++++=to
go ^vbi++++=go?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Unless
unless ^cs+cnd+++=EXTRAWORD
it ^pp3+it+++=it
can ^md+pos+++=can
be ^vb+be+aux++=be
shown ^vpsv++agls+xvbnx+=shown
that ^tht+vcmp+++=that
it ^pp3+it+++=it
will ^md+prd+++=will
pay ^vb++++=pay."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
will ^md+prd+++=will
pay ^vb++++=pay,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Smith ^np++++=Smith,
, ^zz++++=EXTRAWORD
rising ^nvbg+++xvbg+=rising.
. ^zz++++=EXTRAWORD
" ^zz++++="In
in ^in++++=EXTRAWORD
what ^wdt+who+++=what?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="In
in ^in++++=EXTRAWORD
the ^ati++++=the
pleasing ^jj+atrb++xvbg+=pleasing
consciousness ^nns+nom+++=consciousness
of ^in++++=of
having ^nn+nn+aux++=having
served ^vbd+++xvbn+=served
one ^cd1++++=one
who ^whp+rel+subj++=who
is ^vbz+bez+vrb++=is
unable ^jj+pred+++=unable
to ^to+jcmp+++=to
serve ^vbi++++=serve
herself ^ppl+pp3+++=herself."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Jones ^np++++=Jones
sneered ^vbd+++xvbn+=sneered.
. ^zz++++=EXTRAWORD
" ^zz++++="Can
can ^md+pos+++=EXTRAWORD
that ^dt+dem+++=that
consciousness ^nns+nom+++=consciousness
be ^vb+be+aux++=be
discounted ^vpsv++agls+xvbnx+=discounted
at ^rb++++=at
the ^ati++++=the
bank ^nn++++=bank?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No."
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Will
will ^md+prd+++=EXTRAWORD
it ^pp3+it+++=it
meet ^vb++++=meet
a ^at++++=a
note ^nn++++=note?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No."
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Will
will ^md+prd+++=EXTRAWORD
it ^pp3+it+++=it
buy ^vb++++=buy
a ^at++++=a
bale ^nn+++??+=bale
of ^in++++=of
cotton ^nn++++=cotton?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No."
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
not ^xnot++not++=not
want ^vb++++=want
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
may ^md+pos+++=may
want ^vb++++=want
it ^pp3+it+++=it
one ^cd1++++=one
day ^nn++++=day
more ^rbr++++=more
than ^cs+sub+++=than
you ^pp2+pp2+++=you
now ^rn+tm+++=now
imagine ^vb+vprv+++=imagine."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Good
good ^jj+atrb+++=EXTRAWORD
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Smith ^np++++=Smith.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have
any ^dti++++=any
thing ^nn++++=thing
profitable ^jj++++=profitable
to ^to++++=to
propose ^vbi++++=propose,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
be ^vb+be+vrb++=be
happy ^jj+pred+++=happy
to ^to+jcmp+++=to
listen ^vbi++++=listen."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Smith ^np++++=Smith
bowed ^vbd+++xvbn+=bowed
and ^cc+phrs+++=and
withdrew ^vbd+++xvbn+=withdrew.
. ^zz++++=EXTRAWORD
" ^zz++++="An
an ^at++++=EXTRAWORD
excellent ^jj+atrb+++=excellent
man ^nn++++=man,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
muttered ^vbd+++xvbn+=muttered
Jones ^np++++=Jones,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
door ^nn++++=door
closed ^vbd+++xvbn+=closed,
, ^zz++++=EXTRAWORD
" ^zz++++="but
but ^cc++++=EXTRAWORD
wholly ^rb++++=wholly
unfit ^jj++++=unfit
for ^in++++=for
business ^nns+nom+++=business.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
will ^md+prd+++=will
never ^rb++++=never
be ^vb+be+vrb++=be
rich ^jj+pred+++=rich.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
allows ^vbz++++=allows
humanity ^nn+nom+++=humanity,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
calls ^nns++++=calls
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
to ^to++++=to
interfere ^vbi++++=interfere
with ^in++++=with
every ^at++++=every
advantageous ^jj+atrb+++=advantageous
operation ^nn+nom+++=operation."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
word ^nn++++=word
humanity ^nn+nom+++=humanity
fell ^vbd+++xvbn+=fell
from ^in++++=from
his ^pp$+pp3+++=his
lips ^nns++++=lips
as ^cs+sub+++=as
though ^cs+sub+++=though
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
the ^ati++++=the
name ^nn++++=name
of ^in++++=of
some ^dti++++=some
mischievous ^jj+atrb+++=mischievous
speculation ^nn+nom+++=speculation
by ^in++++=by
which ^whp+rel+pied++=which
weak ^jj+atrb+++=weak
men ^nns++++=men
were ^vbd+bed+aux++=were
continually ^rb++splt++=continually
ruined ^vpsv++agls+xvbnx+=ruined.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Smith ^np++++=Smith
passed ^vbd+++xvbn+=passed
from ^in++++=from
the ^ati++++=the
counting ^jj+++xvbg+=counting-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
into ^in++++=into
the ^ati++++=the
busy ^jj+atrb+++=busy
street ^nn++++=street.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
nearly ^rb+down+++=nearly
noon ^nn++++=noon,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
more ^rbr++++=more
than ^in++++=than
one ^cd1++++=one
important ^jj+atrb+++=important
affair ^nn++++=affair
demanded ^vbd+vsua++xvbn+=demanded
his ^pp$+pp3+++=his
attention ^nn+nom+++=attention;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
pale ^nn++++=pale
face ^nn++++=face
of ^in++++=of
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Lloyd ^np++++=Lloyd,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
it ^pp3+it+++=it
on ^in++++=on
the ^ati++++=the
previous ^jj+atrb+++=previous
evening ^nn++++=evening,
, ^zz++++=EXTRAWORD
arose ^j+++xvbn+=arose
before ^in++++=before
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
remembered ^vbd+vprv++xvbnx+=remembered
also ^rb++++=also
the ^ati++++=the
three ^cd++++=three
young ^jj+atrb+++=young
girls ^nns++++=girls
sitting ^vwbg+++xvbg+=sitting
silently ^rb++++=silently
in ^in++++=in
their ^pp$+pp3+++=their
darkened ^vbd+++xvbn+=darkened
parlour ^nn++++=parlour,
, ^zz++++=EXTRAWORD
frightened ^xvbn+++xvbn+=frightened
by ^in++++=by
the ^ati++++=the
vague ^jj+atrb+++=vague
prospect ^nn++++=prospect
of ^in++++=of
poverty ^nn++++=poverty,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
striving ^vbg+++xvbg+=striving
to ^to++++=to
conceal ^vbi++++=conceal
their ^pp$+pp3+++=their
fears ^nns++++=fears
from ^in++++=from
their ^pp$+pp3+++=their
mother ^nn++++=mother.
. ^zz++++=EXTRAWORD
" ^zz++++="Business
business ^nns+nom+++=EXTRAWORD
may ^md+pos+++=may
wait ^vb++++=wait
for ^in++++=for
an ^at++++=an
hour ^nn++++=hour,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he.
. ^zz++++=EXTRAWORD
" ^zz++++="Sorrow
sorrow ^nn++++=EXTRAWORD
seldom ^rb++++=seldom
can ^md+pos+++=can."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
went ^vbd+++xvbnx+=went
immediately ^rb+tm+++=immediately
to ^in++++=to
the ^ati++++=the
widow ^nn++++=widow's
's ^vbz+bez+aux++0=EXTRAWORD
dwelling ^nvbg+++xvbg+=dwelling.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Lloyd ^np++++=Lloyd
received ^vbd+++xvbn+=received
him ^pp3o+pp3+++=him
with ^in++++=with
visible ^jj+atrb+++=visible
emotion ^nn+nom+++=emotion.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
cheek ^nn++++=cheek
was ^vbd+bedz+vrb++=was
pale ^nn++++=pale
from ^in++++=from
grief ^nn++++=grief
and ^cc++++=and
watching ^jj+++xvbg+=watching;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
attempted ^vbd+++xvbnx+=attempted
to ^to+vcmp+++=to
speak ^vbi++++=speak
