**the ^nn+++??+=**THE
Price ^nn++++=PRICE
ready ^jj++++=ready
to ^to+jcmp+++=to
save ^vbi++++=save
the ^ati++++=the
nation ^nn++++=nation
at ^in+cmpx+++=at
the ^in"++++=the
expense ^in"++++=expense
of ^in"++++=of
a ^at++++=a
man ^nn++++=man
who ^whp+rel+subj++=who
is ^vbz+bez+vrb++=is
three ^cd++++=three
thousand ^cd++++=thousand
miles ^nns++++=miles
away ^rp+pl+++=away
and ^cc++++=and
unable ^jj++++=unable
to ^to+jcmp+++=to
strike ^vbi++++=strike
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
economists ^nns+nom+++=economists
would ^md+prd+++=would
have ^vb+hv+aux++=have
paid ^vprf+++xvbnx+=paid
the ^ati++++=the
Commissioners ^nns+nom+++=Commissioners
seven ^cd++++=seven
dollars ^nns++++=dollars
a ^at++++=a
week ^nn++++=week
and ^cc++++=and
required ^vwbn+++xvbn+=required
them ^pp3o+pp3+++=them
to ^to++++=to
furnish ^vbi++++=furnish
their ^pp$+pp3+++=their
own ^ap++++=own
maps ^nns++++=maps.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
would ^md+prd+++=would
have ^vb+hv+aux++=have
lodged ^vprf+++xvbnx+=lodged
them ^pp3o+pp3+++=them
over ^in++++=over
a ^at++++=a
bakery ^nn++++=bakery,
, ^zz++++=EXTRAWORD
fed ^j+++xvbn+=fed
them ^pp3o+pp3+++=them
on ^in++++=on
condensed ^vbd+++xvbn+=condensed
patriotism ^nn+nom+++=patriotism,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
instructed ^vwbn+++xvbn+=instructed
them ^pp3o+pp3+++=them
to ^to++++=to
settle ^vbi++++=settle
the ^ati++++=the
affairs ^nns++++=affairs
of ^in++++=of
the ^ati++++=the
earth ^nn++++=earth
before ^cs+sub+++=before
Saturday ^nr++++=Saturday
night ^nn++++=night
so ^ql++++=so
that ^cs+sub+++=that
the ^ati++++=the
room ^nn++++=room
might ^md+pos+++=might
be ^vb+be+aux++=be
let ^vpsv++agls+xvbnx+=let
to ^in++++=to
a ^at++++=a
traveling ^nn+nom+++=traveling
dentist ^nn+nom+++=dentist.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
economy ^nn++++=economy.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
merely ^rb+down+++=merely
cheapness ^nns+nom+++=cheapness
with ^in++++=with
a ^at++++=a
clean ^jj+atrb+++=clean
collar ^nn++++=collar
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
The ^ati++++=The
United ^np++++=United
States ^nns++++=States
is ^vbz+bez+vrb++=is
a ^at++++=a
rich ^jj+atrb+++=rich
nation ^nn++++=nation.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
has ^vbz+hvz+vrb++=has
mines ^nns++++=mines,
, ^zz++++=EXTRAWORD
railroads ^nns+++??+=railroads,
, ^zz++++=EXTRAWORD
factories ^nns++++=factories,
, ^zz++++=EXTRAWORD
wheat ^nn++++=wheat
fields ^nns++++=fields,
, ^zz++++=EXTRAWORD
oil ^nn++++=oil
wells ^np++++=wells,
, ^zz++++=EXTRAWORD
skyscrapers ^nns+nom+++=skyscrapers,
, ^zz++++=EXTRAWORD
millionaires ^nns++++=millionaires,
, ^zz++++=EXTRAWORD
trusts ^nns++++=trusts,
, ^zz++++=EXTRAWORD
private ^jj+atrb+++=private
yachts ^nns++++=yachts,
, ^zz++++=EXTRAWORD
public ^jj+atrb+++=public
debts ^nns++++=debts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
more ^rbr++++=more
food ^nn++++=food
at ^in++++=at
breakfast ^nn++++=breakfast
than ^in++++=than
many ^ap++++=many
European ^jj+atrb+++=European
principalities ^nns+nom+++=principalities
possess ^nns+nom+++=possess
at ^in++++=at
harvest ^nn++++=harvest.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
such ^abl++++=such
a ^at++++=a
nation ^nn++++=nation
employs ^vbz++++=employs
a ^at++++=a
man ^nn++++=man
to ^to++++=to
represent ^vbi++++=represent
it ^pp3+it+++=it
abroad ^rb+cnj+++=abroad,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
pay ^vb++++=pay
him ^pp3o+pp3+++=him
enough ^qlp++++=enough
to ^to++++=to
look ^vbi++++=look
as ^cs+sub+++=as
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
met ^vprf+++xvbnx+=met
the ^ati++++=the
nation ^nn++++=nation
somewhere ^rb++++=somewhere.
. ^zz++++=EXTRAWORD
At ^rb++++=At
present ^vb++++=present
we ^pp1a+pp1+++=we
give ^vb++++=give
him ^pp3o+pp3+++=him
a ^at++++=a
salary ^nn++++=salary
suitable ^jj++++=suitable
to ^in++++=to
the ^ati++++=the
overseer ^nn+nom+++=overseer
of ^in++++=of
a ^at++++=a
rural ^jj+atrb+++=rural
graveyard ^nn+++??+=graveyard,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
send ^vb++++=send
him ^pp3o+pp3+++=him
among ^in++++=among
kings ^nns++++=kings
and ^cc++++=and
tell ^vb++++=tell
him ^pp3o+pp3+++=him
to ^to++++=to
uphold ^vbi++++=uphold
the ^ati++++=the
majesty ^nn++++=majesty
of ^in++++=of
seventy ^cd++++=seventy
million ^cd++++=million
people ^nns++++=people
without ^in++++=without
wrinkling ^nn+nom+++=wrinkling
his ^pp$+pp3+++=his
trousers ^nns+nom+++=trousers.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
are ^vb+ber+vrb++=are
very ^ql+amp+++=very
particular ^jj++++=particular
about ^in++++=about
that ^dt+dem+++=that
majesty ^nn++++=majesty.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
insist ^vb+vpub+++=insist
that ^tht+vcmp+++=that
it ^pp3+it+++=it
shall ^md+prd+++=shall
be ^vb+be+vrb++=be
upheld ^nn+++??+=upheld
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
noon ^nn++++=noon,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
night ^nn++++=night.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
never ^rb++splt++=never
decided ^vprf+++xvbnx+=decided
who ^whp+who+++=who
is ^vbz+bez+aux++=is
to ^to++++=to
pay ^vb++++=pay
the ^ati++++=the
laundry ^nn++++=laundry
bill ^nn++++=bill.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
diplomat ^nn++++=diplomat
is ^vbz+bez+aux++=is
expected ^vpsv++agls+xvbnx+=expected
to ^to+vcmp+++=to
maintain ^vbi+vpub+++=maintain
a ^at++++=a
residence ^nn+nom+++=residence
worthy ^jj++++=worthy
of ^in++++=of
the ^ati++++=the
Republic ^nn++++=Republic;
; ^zz++++=EXTRAWORD
to ^to++++=to
give ^vbi++++=give
dinners ^nns+nom+++=dinners
worthy ^jj++++=worthy
of ^in++++=of
the ^ati++++=the
Republic ^nn++++=Republic;
; ^zz++++=EXTRAWORD
to ^to++++=to
subscribe ^vbi++++=subscribe
to ^in++++=to
charities ^nns+nom+++=charities
worthy ^jj++++=worthy
of ^in++++=of
the ^ati++++=the
Republic ^nn++++=Republic;
; ^zz++++=EXTRAWORD
to ^to++++=to
attend ^vbi++++=attend
ceremonies ^nns++++=ceremonies,
, ^zz++++=EXTRAWORD
receptions ^nns+nom+++=receptions,
, ^zz++++=EXTRAWORD
weddings ^nns++++=weddings,
, ^zz++++=EXTRAWORD
funerals ^nns+nom+++=funerals,
, ^zz++++=EXTRAWORD
baptisms ^nns+nom+++=baptisms,
, ^zz++++=EXTRAWORD
military ^jj+atrb+++=military
reviews ^nns++++=reviews,
, ^zz++++=EXTRAWORD
royal ^jj+atrb+++=royal
anniversaries ^nns++++=anniversaries,
, ^zz++++=EXTRAWORD
national ^jj+atrb+++=national
catastrophes ^nns++++=catastrophes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
international ^jj+atrb+++=international
refreshments ^nns+nom+++=refreshments
worthy ^jj++++=worthy
of ^in++++=of
the ^ati++++=the
Republic ^nn++++=Republic.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
his ^pp$+pp3+++=his
salary ^nn++++=salary
does ^vbz+doz+aux++=does
not ^xnot++not++=not
cover ^vb++++=cover
these ^dt+dem+++=these
things ^nns++++=things,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
his ^pp$+pp3+++=his
affair ^nn++++=affair.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Republic ^nn++++=Republic
furnishes ^vbz++++=furnishes
the ^ati++++=the
dignity ^nn+nom+++=dignity;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
furnishes ^vbz++++=furnishes
everything ^pn++++=everything
else ^rb+cnj+++=else.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
system ^nn++++=system
has ^vbz+hvz+vrb++=has
one ^cd1++++=one
merit ^nn++++=merit:
: ^zz++++=EXTRAWORD
it ^pp3+it+++=it
prevents ^vbz++++=prevents
poor ^jj+atrb+++=poor
men ^nns++++=men
from ^in++++=from
becoming ^xvbg+++xvbg+=becoming
ambassadors ^npt++++=ambassadors
unless ^cs+cnd+++=unless
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
unusually ^rb++++=unusually
foolish ^jj+pred+++=foolish.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
selects ^vbz++++=selects
the ^ati++++=the
rich ^nn++++=rich
with ^in++++=with
almost ^rb+hdg+++=almost
scientific ^jj+atrb+++=scientific
exactness ^nns+nom+++=exactness.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
may ^md+pos+++=may
appoint ^vb++++=appoint
genius ^nn++++=genius,
, ^zz++++=EXTRAWORD
experience ^nn+nom+++=experience,
, ^zz++++=EXTRAWORD
tact ^nn++++=tact,
, ^zz++++=EXTRAWORD
learning ^vbg+vprv++xvbg+=learning,
, ^zz++++=EXTRAWORD
courage ^nn+nom+++=courage,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
familiarity ^nn+nom+++=familiarity
with ^in++++=with
foreign ^jj+atrb+++=foreign
affairs ^nns++++=affairs,
, ^zz++++=EXTRAWORD
provided ^j+++xvbn+=provided
those ^dt+dem+++=those
qualities ^nns+nom+++=qualities
are ^vb+ber+aux++=are
accompanied ^vpsv++by+xvbnx+=accompanied
by ^in++++=by
a ^at++++=a
private ^jj+atrb+++=private
fortune ^nn++++=fortune.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
found ^vpsv++agls+xvbnx+=found
in ^in++++=in
a ^at++++=a
man ^nn++++=man
who ^whp+rel+subj++=who
has ^vbz+hvz+vrb++=has
only ^rb+down+++=only
his ^pp$+pp3+++=his
salary ^nn++++=salary,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
cannot ^md+pos+not++=cannot
use ^vb++++=use
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
might ^md+pos+++=might
know ^vb+vprv+++=know
Europe ^np++++=Europe,
, ^zz++++=EXTRAWORD
understand ^vb+vprv+++=understand
commerce ^nn++++=commerce,
, ^zz++++=EXTRAWORD
speak ^vb++++=speak
six ^cd++++=six
languages ^nns+nom+++=languages,
, ^zz++++=EXTRAWORD
charm ^nn++++=charm
a ^at++++=a
cabinet ^nn++++=cabinet,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
disentangle ^vb++++=disentangle
a ^at++++=a
treaty ^nn++++=treaty
in ^in++++=in
the ^ati++++=the
dark ^nn++++=dark;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
cannot ^md+pos+not++=cannot
give ^vb++++=give
twelve ^cd++++=twelve
courses ^nns++++=courses
and ^cc++++=and
champagne ^nn++++=champagne
to ^in++++=to
a ^at++++=a
duke ^nn++++=duke,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
constitutionally ^rb++++=constitutionally
unfit ^jj+pred+++=unfit.
. ^zz++++=EXTRAWORD
The ^ati++++=The
British ^nn++++=British
arrange ^vb++++=arrange
these ^dt+dem+++=these
matters ^nns+nom+++=matters
differently ^rb++++=differently.
. ^zz++++=EXTRAWORD
The ^ati++++=The
British ^jj++++=British
are ^vb+ber+aux++=are
supposed ^vb++pmd"+xvbnx+=supposed
to ^to+vcmp+pmd++=to
be ^vbi+vbi+aux++=be
weighed ^vbd+++xvbn+=weighed
down ^rp++++=down
by ^in++++=by
monarchy ^nn++++=monarchy,
, ^zz++++=EXTRAWORD
aristocracy ^nn+nom+++=aristocracy,
, ^zz++++=EXTRAWORD
precedent ^nn++++=precedent,
, ^zz++++=EXTRAWORD
ermine ^nn+++??+=ermine,
, ^zz++++=EXTRAWORD
crown ^nn++++=crown
jewels ^nns++++=jewels,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hereditary ^jj+atrb+++=hereditary
furniture ^nn++++=furniture;
; ^zz++++=EXTRAWORD
yet ^rb++++=yet
they ^pp3a+pp3+++=they
have ^vb+hv+aux++=have
somehow ^rb++splt++=somehow
retained ^vprf+++xvbnx+=retained
enough ^qlp++++=enough
mental ^jj+atrb+++=mental
freedom ^nn+nom+++=freedom
to ^to+ncmp+++=to
pay ^vbi++++=pay
their ^pp$+pp3+++=their
representatives ^nns++++=representatives.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
give ^vb++++=give
an ^at++++=an
ambassador ^nn++++=ambassador
a ^at++++=a
large ^jj+atrb+++=large
salary ^nn++++=salary,
, ^zz++++=EXTRAWORD
furnish ^vb++++=furnish
him ^pp3o+pp3+++=him
a ^at++++=a
residence ^nn+nom+++=residence,
, ^zz++++=EXTRAWORD
contribute ^vb++++=contribute
to ^in++++=to
his ^pp$+pp3+++=his
official ^jj+atrb+++=official
entertainments ^nns+nom+++=entertainments,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
allow ^vb++++=allow
him ^pp3o+pp3+++=him
to ^to++++=to
represent ^vbi++++=represent
Great ^jj+atrb+++=Great
Britain ^np++++=Britain
without ^in++++=without
first ^rb++++=first
proving ^vb+++xvbg+=proving
that ^tht+vcmp+obj++=that
his ^pp$+pp3+++=his
grandfather ^nn+nom+++=grandfather
sold ^vwbn+++xvbn+=sold
steel ^nn++++=steel
rails ^nns++++=rails.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
give ^vb++++=give
our ^pp$+pp1+++=our
ambassador ^nn++++=ambassador
perhaps ^rb++++=perhaps
seventeen ^cd++++=seventeen
thousand ^cd++++=thousand
five ^cd++++=five
hundred ^cd++++=hundred
dollars ^nns++++=dollars,
, ^zz++++=EXTRAWORD
according ^in+cmpx+++=according
to ^in"++++=to
the ^ati++++=the
post ^nn++++=post,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
ask ^vb++++=ask
him ^pp3o+pp3+++=him
to ^to++++=to
compete ^vbi++++=compete
with ^in++++=with
a ^at++++=a
British ^jj+atrb+++=British
representative ^nn++++=representative
who ^whp+rel+subj++=who
has ^vbz+hvz+vrb++=has
salary ^nn++++=salary,
, ^zz++++=EXTRAWORD
house ^npl++++=house,
, ^zz++++=EXTRAWORD
servants ^nns+nom+++=servants,
, ^zz++++=EXTRAWORD
carriages ^nns+nom+++=carriages,
, ^zz++++=EXTRAWORD
allowances ^nns+nom+++=allowances,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
government ^nn+nom+++=government
that ^tht+rel+subj++=that
knows ^vbz+vprv+++=knows
a ^at++++=a
dinner ^nn++++=dinner
costs ^nns++++=costs
money ^nn++++=money
even ^rb++++=even
when ^wrb+who+++=when
eaten ^vbd+++xvbn+=eaten
in ^in++++=in
the ^ati++++=the
national ^jj+atrb+++=national
interest ^nn++++=interest.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
man ^nn++++=man
begins ^vbz++++=begins
the ^ati++++=the
race ^nn++++=race
fifty ^cd++++=fifty
thousand ^cd++++=thousand
dollars ^nns++++=dollars
behind ^in+strn+++=behind,
, ^zz++++=EXTRAWORD
carrying ^vbg+++xvbg+=carrying
his ^pp$+pp3+++=his
own ^ap++++=own
dining ^jj+atrb++xvbg+=dining
table ^nn++++=table.
. ^zz++++=EXTRAWORD
The ^ati++++=The
result ^nn++++=result
is ^vbz+bez+vrb++=is
picturesque ^jj+pred+++=picturesque
but ^cc++++=but
not ^xnot++not++=not
triumphant ^jj++++=triumphant.
. ^zz++++=EXTRAWORD
The ^ati++++=The
British ^jj+atrb+++=British
embassy ^nn++++=embassy
shines ^vbz++++=shines
with ^in++++=with
light ^nn++++=light;
; ^zz++++=EXTRAWORD
ours ^pp$$++++=ours
conserves ^nns+++??+=conserves
lamp ^nn++++=lamp
oil ^nn++++=oil.
. ^zz++++=EXTRAWORD
The ^ati++++=The
British ^jj+atrb+++=British
ambassador ^nn++++=ambassador
receives ^vbz++++=receives
a ^at++++=a
minister ^npt+nom+++=minister
at ^rb++++=at
eleven ^cd++++=eleven;
; ^zz++++=EXTRAWORD
ours ^pp$$++++=ours
asks ^vbz++++=asks
him ^pp3o+pp3+++=him
to ^to++++=to
call ^vbi++++=call
after ^in++++=after
twelve ^cd++++=twelve,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
hired ^jj+atrb++xvbn+=hired
girl ^nn++++=girl
has ^vbz+hvz+aux++=has
finished ^vprf+++xvbnx+=finished
dusting ^jj+++xvbg+=dusting
the ^ati++++=the
front ^jjb+atrb+++=front
parlor ^nn++++=parlor.
. ^zz++++=EXTRAWORD
The ^ati++++=The
British ^nn++++=British
give ^vb++++=give
a ^at++++=a
banquet ^nn++++=banquet;
; ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
give ^vb++++=give
an ^at++++=an
explanation ^nn+nom+++=explanation.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
serve ^vb++++=serve
turbot ^nn++++=turbot,
, ^zz++++=EXTRAWORD
venison ^nn++++=venison,
, ^zz++++=EXTRAWORD
peaches ^nns++++=peaches
in ^in++++=in
February ^nr+nom+++=February,
, ^zz++++=EXTRAWORD
wines ^nns++++=wines
older ^jjr++++=older
than ^in++++=than
several ^ap++++=several
republics ^nns++++=republics,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
coffee ^nn++++=coffee
capable ^jj++++=capable
of ^in++++=of
concluding ^xvbg+++xvbg+=concluding
an ^at++++=an
alliance ^nn+nom+++=alliance.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
reply ^nn++++=reply
with ^in++++=with
cold ^jj+atrb+++=cold
chicken ^nn++++=chicken,
, ^zz++++=EXTRAWORD
three ^cd++++=three
olives ^nns++++=olives,
