Until ^in++++=Until
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
never ^rb++splt++=never
thought ^vprf+++xvbnx+=thought
of ^in++++=of
entering ^xvbg+++xvbg+=entering.
. ^zz++++=EXTRAWORD
Gip ^np+++??+=Gip
altered ^vwbn+++xvbn+=altered
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
then ^rn+tm+++=then
a ^rb++++=a
little ^rb"++++=little
over ^in++++=over
six ^cd++++=six,
, ^zz++++=EXTRAWORD
a ^at++++=a
thoughtful ^jj++++=thoughtful,
, ^zz++++=EXTRAWORD
well ^rb+dspt+++=well-mannered
- ^zz++++=EXTRAWORD
mannered ^jj+atrb+++=EXTRAWORD
boy ^nn++++=boy,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
given ^vbd+++xvbn+=given
to ^in++++=to
clamour ^nn++++=clamour
in ^in++++=in
the ^ati++++=the
street ^nn++++=street.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
never ^rb++++=never
beat ^vb+++xvbn+=beat
upon ^in++++=upon
windows ^nns++++=windows,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
asked ^vbd+vsua++xvbn+=asked
for ^in+ppvb+++=for
everything ^pn++++=everything
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
threw ^vbd+++xvbn+=threw
himself ^ppl+pp3+++=himself
beneath ^in+pl+++=beneath
the ^ati++++=the
feet ^nns++++=feet
of ^in++++=of
strangers ^nns+nom+++=strangers
when ^wrb+who+++=when
denied ^vbd+vpub++xvbn+=denied
a ^at++++=a
trumpet ^nn++++=trumpet.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
moderation ^nn+nom+++=moderation,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
makes ^vbz++++=makes
a ^at++++=a
child ^nn++++=child's
's ^$++++=EXTRAWORD
wishes ^vbz++++=wishes
rather ^rb++++=rather
formidable ^jj++++=formidable
when ^wrb+who+++=when
at ^rb++++=at
last ^rb"++++=last
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
expressed ^vpsv++agls+xvbnx+=expressed.
. ^zz++++=EXTRAWORD
" ^zz++++="Dadda,"
dadda ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
taking ^vbg+++xvbg+=taking
my ^pp$+pp1+++=my
finger ^nn++++=finger
more ^rbr++++=more
firmly ^rb+cnj+++=firmly,
, ^zz++++=EXTRAWORD
" ^zz++++="that
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
magic ^jj+atrb+++=magic
shop ^nn++++=shop."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="So
so ^ql++++=EXTRAWORD
it ^pp3+it+++=it
announces ^vbz+vpub+++=announces."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Real
real ^jj+atrb+++=EXTRAWORD
magic ^nn++++=magic?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well
well ^rb++++=EXTRAWORD
" ^zz++++="
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
genuine ^jj+atrb+++=genuine
article ^nn++++=article,
, ^zz++++=EXTRAWORD
apparently ^rb++++=apparently."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
studied ^vbd+++xvbnx+=studied
the ^ati++++=the
window ^nn++++=window.
. ^zz++++=EXTRAWORD
The ^ati++++=The
rabbit ^nn++++=rabbit
had ^vbd+hvd+aux++=had
opened ^vprf+++xvbnx+=opened
one ^cd1++++=one
pink ^jj+atrb+++=pink
eye ^nn++++=eye.
. ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
Vanishing ^jj+atrb++xvbg+=Vanishing
Egg ^nn++++=Egg,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Gip ^np+++??+=Gip.
. ^zz++++=EXTRAWORD
A ^at++++=A
large ^nn++++=large
speckled ^vwbn+++xvbn+=speckled
egg ^nn++++=egg
stood ^vbd+++xvbn+=stood
upon ^in++++=upon
a ^at++++=a
velvet ^nn++++=velvet
cushion ^nn++++=cushion,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
while ^cs+sub+++=while
we ^pp1a+pp1+++=we
watched ^vbd+++xvbn+=watched
it ^pp3+it+++=it
disappeared ^vbd+seem++xvbn+=disappeared.
. ^zz++++=EXTRAWORD
The ^ati++++=The
velvet ^nn++++=velvet
remained ^vbd+++xvbn+=remained
indented ^vbd+++xvbn+=indented
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
the ^ati++++=the
egg ^nn++++=egg
came ^vbd+++xvbn+=came
quietly ^rb++++=quietly
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
a ^at++++=a
Crying ^jj+atrb++xvbg+=Crying
Baby ^nn++++=Baby,
, ^zz++++=EXTRAWORD
Very ^ql+amp+++=Very
Human ^jj++++=Human,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Gip ^np+++??+=Gip
continued ^vbd+++xvbn+=continued.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
object ^nn++++=object,
, ^zz++++=EXTRAWORD
happily ^rb+cnj+++=happily,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
boxed ^vprf+++xvbn+=boxed.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
could ^md+pos+++=could
buy ^vb++++=buy
me ^pp1o+pp1+++=me
something ^pn++++=something,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
not ^xnot++not++=not
greedily ^rb+cnj+++=greedily,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
as ^ql++++=as
one ^cd1++++=one
states ^nns++++=states
a ^at++++=a
conclusion ^nn++++=conclusion.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
have ^vb+hv+vrb++=have
a ^at++++=a
birthday ^nn++++=birthday
in ^in++++=in
three ^cd++++=three
months ^nns++++=months."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
asking ^jj+++xvbg+=asking,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Gip ^np+++??+=Gip,
, ^zz++++=EXTRAWORD
with ^in++++=with
dignity ^nn+nom+++=dignity.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
was ^vbd+bedz+aux++=was
only ^rb+down+splt++=only
saying ^vbg+++xvbgx+=saying
you ^pp2+pp2+++=you
could ^md+pos+++=could."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
That ^cs+sub+++=That
settled ^vprf+++xvbn+=settled
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
occasions ^nns++++=occasions
when ^wrb+who+++=when
parental ^jj+atrb+++=parental
economy ^nn++++=economy
becomes ^vbz++++=becomes
pettiness ^nns+nom+++=pettiness,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
that ^tht+vcmp+++=that
to ^to++++=to
pass ^vbi++++=pass
on ^rb+phrv+++=on
would ^md+prd+++=would
be ^vb+be+vrb++=be
mean ^jj+pred+++=mean.
. ^zz++++=EXTRAWORD
Besides ^rb++++=Besides,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
expected ^vbd+vprv++xvbnx+=expected
tricks ^nns++++=tricks
ingenious ^jj+atrb+++=ingenious
tricks ^nns++++=tricks,
, ^zz++++=EXTRAWORD
no ^at++++=no
doubt ^nn++++=doubt
and ^cc++++=and
had ^vb+hv+vrb++=had
an ^at++++=an
idle ^jj+atrb+++=idle
curiosity ^nn+nom+++=curiosity
concerning ^in++++=concerning
their ^pp$+pp3+++=their
mechanism ^nn+nom+++=mechanism.
. ^zz++++=EXTRAWORD
So ^ql++++=So
I ^pp1a+pp1+++=I
pushed ^vbd+++xvbnx+=pushed
open ^jj++++=open
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
A ^at++++=A
bell ^nn++++=bell
somewhere ^rb++++=somewhere
uttered ^vbd+++xvbn+=uttered
one ^cd1++++=one
very ^ql+amp+++=very
deep ^jj+atrb+++=deep
note ^nn++++=note.
. ^zz++++=EXTRAWORD
The ^ati++++=The
interior ^nn++++=interior
was ^vbd+bedz+vrb++=was
larger ^jjr+pred+++=larger
than ^in++++=than
the ^ati++++=the
frontage ^nn+nom+++=frontage
warranted ^vbd+++xvbn+=warranted,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
not ^xnot++not++=not
at ^rb++++=at
first ^rb"++++=first
impossibly ^rb++++=impossibly
so ^rb++++=so.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
dim ^jj+pred+++=dim,
, ^zz++++=EXTRAWORD
cool ^vb++++=cool
and ^cc++++=and
crowded ^jj+++xvbn+=crowded.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
shelves ^nns++++=shelves
of ^in++++=of
boxes ^nns++++=boxes,
, ^zz++++=EXTRAWORD
hanging ^vbg+++xvbg+=hanging
cabinets ^nns++++=cabinets,
, ^zz++++=EXTRAWORD
bundles ^nns++++=bundles
of ^in++++=of
coloured ^jj+atrb++xvbn+=coloured
wands ^nns++++=wands,
, ^zz++++=EXTRAWORD
mechanical ^jj+atrb+++=mechanical
birds ^nns++++=birds,
, ^zz++++=EXTRAWORD
clocks ^nns++++=clocks
with ^in++++=with
thirteen ^cd++++=thirteen
figures ^nns++++=figures,
, ^zz++++=EXTRAWORD
drums ^nns++++=drums,
, ^zz++++=EXTRAWORD
swords ^nns++++=swords,
, ^zz++++=EXTRAWORD
trumpets ^nns++++=trumpets,
, ^zz++++=EXTRAWORD
dissolving ^jj+atrb+++=dissolving
dolls ^nns++++=dolls,
, ^zz++++=EXTRAWORD
self ^nn++++=self-mending
- ^zz++++=EXTRAWORD
mending ^vbg+++xvbg+=EXTRAWORD
hoops ^nns++++=hoops
and ^cc++++=and
an ^at++++=an
army ^nn++++=army
of ^in++++=of
little ^jj+atrb+++=little
men ^nns++++=men
in ^in++++=in
red ^jj+atrb+++=red
trousers ^nns+nom+++=trousers
marching ^vwbg+++xvbg+=marching
perpetually ^rb++++=perpetually
round ^in++++=round
the ^ati++++=the
brim ^nn++++=brim
of ^in++++=of
a ^at++++=a
top ^jjb+atrb+++=top
hat ^nn++++=hat.
. ^zz++++=EXTRAWORD
Glass ^nn++++=Glass
balls ^nns++++=balls
lay ^vbd+++xvbn+=lay
everywhere ^rb++++=everywhere:
: ^zz++++=EXTRAWORD
in ^in++++=in
bowls ^nns++++=bowls,
, ^zz++++=EXTRAWORD
under ^in++++=under
the ^ati++++=the
counter ^nn++++=counter,
, ^zz++++=EXTRAWORD
among ^in++++=among
coils ^nns++++=coils
of ^in++++=of
gilt ^jj+atrb+++=gilt
rope ^nn++++=rope,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
even ^rb+cnj+++=even,
, ^zz++++=EXTRAWORD
rather ^rb++++=rather
hazardously ^jj++++=hazardously,
, ^zz++++=EXTRAWORD
upon ^in++++=upon
the ^ati++++=the
floor ^nn++++=floor.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
far ^rb+pl+++=far
end ^nn++++=end
stood ^vbd+++xvbn+=stood
a ^at++++=a
tall ^jj+atrb+++=tall
shopman ^nn++++=shopman.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
so ^ql++++=so
perfectly ^rb+amp+++=perfectly
still ^rb++++=still
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
mistaken ^vprf+++xvbnx+=mistaken
him ^pp3o+pp3+++=him
for ^in++++=for
a ^at++++=a
figure ^nn++++=figure.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
lean ^vb++++=lean
and ^cc++++=and
black ^jj++++=black-clad,
- ^zz++++=EXTRAWORD
clad ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
one ^cd1++++=one
shoulder ^nn+nom+++=shoulder
higher ^jjr++++=higher
than ^in++++=than
the ^ati++++=the
other ^ap++++=other
and ^cc++++=and
a ^at++++=a
face ^nn++++=face
of ^in++++=of
marked ^jj+atrb++xvbn+=marked
inequality ^nn+nom+++=inequality.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
eyebrow ^nn++++=eyebrow
went ^vbd+++xvbn+=went
up ^rp++++=up
while ^cs+sub+++=while
the ^ati++++=the
other ^ap++++=other
travelled ^jj+++xvbn+=travelled
down ^rp++++=down;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
left ^jj+atrb++xvbn+=left
ear ^nn++++=ear
was ^vbd+bedz+vrb++=was
larger ^jjr+pred+++=larger
than ^in++++=than
his ^pp$+pp3+++=his
right ^nn++++=right;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
point ^nn++++=point
of ^in++++=of
his ^pp$+pp3+++=his
chin ^nn++++=chin
appeared ^vbd+seem++xvbn+=appeared
to ^to+vcmp+++=to
have ^vbi++++=have
been ^vprf+ben+aux+xvbn+=been
added ^vpsv++agls+xvbnx+=added
as ^ql++++=as
an ^at++++=an
afterthought ^nn++++=afterthought.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
his ^pp$+pp3+++=his
smile ^nn++++=smile
was ^vbd+bedz+vrb++=was
exceedingly ^rb++++=exceedingly
courteous ^jj+pred+++=courteous.
. ^zz++++=EXTRAWORD
" ^zz++++="Good
good ^jj+atrb+++=EXTRAWORD
afternoon ^nn++++=afternoon,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
good ^jj+atrb+++=good
afternoon ^nn++++=afternoon
to ^in++++=to
the ^ati++++=the
Right ^jj+atrb+++=Right
Sort ^nn++++=Sort
of ^in++++=of
Boy ^nn++++=Boy."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Gip ^np+++??+=Gip
looked ^vbd+++xvbn+=looked
at ^rb++++=at
him ^pp3o+pp3+++=him
gravely ^rb++++=gravely.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
want ^vb++++=want
something ^pn++++=something
magical ^jj++++=magical,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Indisputably,"
indisputably ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
shopman ^nn++++=shopman.
. ^zz++++=EXTRAWORD
" ^zz++++="Otherwise
otherwise ^rb+cnj+++=EXTRAWORD
it ^pp3+it+++=it
would ^md+prd+++=would
hardly ^rb+down+++=hardly
be ^vb+be+vrb++=be
worth ^in++++=worth
your ^pp$+pp2+++=your
while ^cs+sub+++=while
to ^to++++=to
come ^vbi++++=come
here ^rn+pl+++=here."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
should ^md+nec+++=should
like ^vb++++=like,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
intervened ^vbd+++xvbnx+=intervened,
, ^zz++++=EXTRAWORD
" ^zz++++="some
some ^dti++++=EXTRAWORD
simple ^jj+atrb+++=simple
little ^jj+atrb+++=little
trick ^nn++++=trick.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
too ^rb++++=too
expensive ^jj++++=expensive.
. ^zz++++=EXTRAWORD
Something ^pn++++=Something
suitable ^jj++++=suitable
for ^in++++=for
a ^at++++=a
child ^nn++++=child."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Everything
everything ^pn++++=EXTRAWORD
here ^rn+pl+++=here
is ^vbz+bez+vrb++=is
suitable ^jj+pred+++=suitable
for ^in++++=for
the ^ati++++=the
child ^nn++++=child
to ^to++++=to
whom ^whp+wpor+++=whom
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
sold ^vpsv++agls+xvbnx+=sold,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
shopman ^nn++++=shopman.
. ^zz++++=EXTRAWORD
" ^zz++++="Price
price ^nn++++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
secondary ^jj+atrb+++=secondary
phenomenon ^nn++++=phenomenon."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
secondary ^jj++++=secondary
? ^zz++++=?"
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
leaned ^vbd+++xvbnx+=leaned
across ^in+pl+++=across
the ^ati++++=the
counter ^nn++++=counter
and ^cc++++=and
took ^vbd+++xvbn+=took
a ^at++++=a
glass ^nn++++=glass
ball ^nn++++=ball
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
air ^nn++++=air.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
nothing ^pn++++=nothing
in ^in++++=in
his ^pp$+pp3+++=his
hand ^nn++++=hand
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
quite ^rb++++=quite
positive ^jj+pred+++=positive
on ^in++++=on
that ^dt+dem+++=that
point ^nn++++=point,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
watching ^vbg+++xvbgx+=watching
him ^pp3o+pp3+++=him
with ^in++++=with
especial ^jj+atrb+++=especial
care ^nn++++=care.
. ^zz++++=EXTRAWORD
Nevertheless ^rb+cnj+++=Nevertheless,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
clear ^jj+atrb+++=clear
ball ^nn++++=ball
containing ^vwbg+++xvbg+=containing
a ^at++++=a
minute ^nn++++=minute
revolving ^vwbg+++xvbg+=revolving
moon ^np++++=moon.
. ^zz++++=EXTRAWORD
" ^zz++++="Would
would ^md+prd+++=EXTRAWORD
that ^dt+pdem+++=that
amuse ^vb++++=amuse
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked
Gip ^np+++??+=Gip.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes,"
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Gip ^np+++??+=Gip.
. ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
catch ^vb++++=catch."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
tossed ^vbd+++xvbnx+=tossed
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Gip ^np+++??+=Gip
caught ^vbd+++xvbn+=caught
it ^pp3+it+++=it
with ^in++++=with
both ^abx++++=both
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
immediately ^rb+tm+++=immediately
looked ^vbd+++xvbn+=looked
perplexed ^vbd+++xvbn+=perplexed.
. ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+aux++0=EXTRAWORD
gone ^vpsv++agls+xvbnx+=gone."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
gone ^vprf+++xvbn+=gone,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
shopman ^nn++++=shopman.
. ^zz++++=EXTRAWORD
" ^zz++++="Mislaid.
mislaid ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
Try ^vb++++=Try
your ^pp$+pp2+++=your
pocket ^nn++++=pocket."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Gip ^np+++??+=Gip
put ^vbd+++xvbn+=put
his ^pp$+pp3+++=his
hand ^nn++++=hand
into ^in++++=into
the ^ati++++=the
pocket ^nn++++=pocket
of ^in++++=of
his ^pp$+pp3+++=his
coat ^nn++++=coat
and ^cc++++=and
brought ^vbd+++xvbn+=brought
out ^rb+phrv+++=out
the ^ati++++=the
ball ^nn++++=ball.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
naturally ^rb+cnj+++=naturally,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
nothing ^pn++++=nothing
in ^in++++=in
this ^dt+dem+++=this
beyond ^in++++=beyond
clever ^jj+atrb+++=clever
prestidigitation ^nn+nom+++=prestidigitation.
. ^zz++++=EXTRAWORD
A ^at++++=A
confederate ^nn+nom+++=confederate
was ^vbd+bedz+vrb++=was
unnecessary ^jj+pred+++=unnecessary;
; ^zz++++=EXTRAWORD
the ^ati++++=the
article ^nn++++=article
might ^md+pos+++=might
have ^vb+hv+aux++=have
