# ^zz++++=##
# ^zz++++=EXTRAWORD
Lights ^nns++++=Lights
was ^vbd+bedz+vrb++=was
the ^ati++++=the
Abb ^np+++??+=Abb
Roch ^np+++??+=Roch-Ambroise
- ^zz++++=EXTRAWORD
ambroise ^vb++++=EXTRAWORD
Sicard ^np+++??+=Sicard.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
no ^at++++=no
conspirator ^nn++++=conspirator.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
life ^nn++++=life
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
devoted ^vpsv++agls+xvbnx+=devoted
to ^in++++=to
those ^dt+dem+++=those
unhappy ^jj+atrb+++=unhappy
children ^nns++++=children
upon ^in++++=upon
whom ^whp+rel+pied++=whom
silence ^nn+nom+++=silence
had ^vbd+hvd+aux++=had
seemed ^vprf+++xvbnx+=seemed
to ^to+vcmp+++=to
set ^vbi++++=set
its ^pp$+it+++=its
seal ^nn++++=seal
from ^in++++=from
birth ^nn++++=birth.
. ^zz++++=EXTRAWORD
By ^in++++=By
patience ^nn+nom+++=patience,
, ^zz++++=EXTRAWORD
benevolence ^nn+nom+++=benevolence,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
rare ^jj+atrb+++=rare
intelligence ^nn+nom+++=intelligence,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
taught ^vprf+++xvbnx+=taught
the ^ati++++=the
deaf ^jj++++=deaf
and ^cc+phrs+++=and
dumb ^jj++++=dumb
to ^to++++=to
communicate ^nn+nom+++=communicate
with ^in++++=with
their ^pp$+pp3+++=their
fellow ^jjb++++=fellow-creatures;
- ^zz++++=EXTRAWORD
creatures ^nns++++=EXTRAWORD
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
built ^vprf+++xvbnx+=built
for ^in++++=for
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
were ^vbd+bed+vrb++=were,
, ^zz++++=EXTRAWORD
a ^at++++=a
bridge ^nn++++=bridge
of ^in++++=of
signs ^nns++++=signs
across ^in+pl+++=across
the ^ati++++=the
dark ^jj+atrb+++=dark
gulf ^nn++++=gulf
of ^in++++=of
isolation ^nn+nom+++=isolation.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
learning ^nvbg+++xvbg+=learning
and ^cc++++=and
goodness ^nns+nom+++=goodness
were ^vbd+bed+vrb++=were
poor ^jj+atrb+++=poor
protections ^nns+nom+++=protections
in ^in++++=in
those ^dt+dem+++=those
dreadful ^jj+atrb+++=dreadful
days ^nns++++=days.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
priest ^nn++++=priest,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^in++++=to
the ^ati++++=the
murderers ^nns+nom+++=murderers
that ^tht+rel+subj++=that
was ^vbd+bedz+vrb++=was
enough ^qlp++++=enough.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
first ^od++++=first
uproar ^nn++++=uproar
reached ^vbd+++xvbn+=reached
the ^ati++++=the
prison ^nn++++=prison,
, ^zz++++=EXTRAWORD
Sicard ^np+++??+=Sicard
understood ^vwbn+vprv++xvbn+=understood
what ^wdt+who+++=what
was ^vbd+bedz+aux++=was
intended ^vpsv++agls+xvbnx+=intended.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
heard ^vbd+vprv++xvbnx+=heard
the ^ati++++=the
cries ^nns++++=cries
in ^in++++=in
the ^ati++++=the
courtyard ^nn++++=courtyard,
, ^zz++++=EXTRAWORD
the ^ati++++=the
tumult ^nn++++=tumult
at ^in++++=at
the ^ati++++=the
doors ^nns++++=doors,
, ^zz++++=EXTRAWORD
the ^ati++++=the
names ^nns++++=names
called ^vbd+++xvbn+=called
one ^cd1++++=one
after ^in++++=after
another ^ppls++++=another,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
the ^ati++++=the
savage ^jj+atrb+++=savage
acclamations ^nns+nom+++=acclamations
which ^whp+rel+subj++=which
announced ^vbd+vpub++xvbn+=announced
each ^ppls++++=each
fresh ^jj+atrb+++=fresh
death ^nn++++=death.
. ^zz++++=EXTRAWORD
Escape ^vb++++=Escape
was ^vbd+bedz+vrb++=was
impossible ^jj+pred+++=impossible.
. ^zz++++=EXTRAWORD
Resistance ^nn+nom+++=Resistance
was ^vbd+bedz+vrb++=was
equally ^rb++++=equally
so ^rb++++=so.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
therefore ^rb+cnj+++=therefore
prepared ^vbd+++xvbn+=prepared
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
by ^in++++=by
railing ^nn+nom+++=railing
against ^in++++=against
his ^pp$+pp3+++=his
enemies ^nns++++=enemies,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
by ^in++++=by
commending ^xvbg+++xvbg+=commending
his ^pp$+pp3+++=his
soul ^nn++++=soul
to ^in++++=to
God ^np++++=God.
. ^zz++++=EXTRAWORD
At ^rb++++=At
length ^rb"++++=length
his ^pp$+pp3+++=his
name ^nn++++=name
was ^vbd+bedz+aux++=was
called ^vpsv++agls+xvbnx+=called.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
passed ^vbd+++xvbnx+=passed
into ^in++++=into
the ^ati++++=the
court ^nn++++=court,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
murderers ^nns+nom+++=murderers
closed ^vbd+++xvbn+=closed
around ^rp++++=around
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
dress ^vb++++=dress
proclaimed ^vbd+++xvbn+=proclaimed
his ^pp$+pp3+++=his
office ^nn++++=office,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
pike ^nn++++=pike
was ^vbd+bedz+aux++=was
already ^rb++splt++=already
raised ^vpsv++agls+xvbnx+=raised
when ^wrb+who+++=when
a ^at++++=a
man ^nn++++=man
sprang ^vbd+++xvbn+=sprang
between ^in++++=between
the ^ati++++=the
weapon ^nn++++=weapon
and ^cc++++=and
its ^pp$+it+++=its
intended ^jj+atrb++xvbn+=intended
victim ^nn++++=victim.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
man ^nn++++=man
was ^vbd+bedz+vrb++=was
Monnot ^np+++??+=Monnot,
, ^zz++++=EXTRAWORD
a ^at++++=a
watchmaker ^nn++++=watchmaker.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
Sicard ^np++++=Sicard's
's ^$++++=EXTRAWORD
relative ^jj++++=relative,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
had ^vb+hv+aux++=had
he ^pp3a+pp3+++=he
been ^vprf+ben+aux+xvbnx+=been
bound ^jj++agls+xvbnx+=bound
to ^to+jcmp+++=to
him ^pp3o+pp3+++=him
by ^in++++=by
years ^nns++++=years
of ^in++++=of
friendship ^nn+nom+++=friendship.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
knew ^vbd+vprv++xvbnx+=knew
him ^pp3o+pp3+++=him
only ^rb+down+++=only
by ^in++++=by
reputation ^nn+nom+++=reputation;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew
what ^wdt+who+whcl++=what
Sicard ^np+++??+=Sicard
had ^vbd+hvd+aux++=had
done ^vprf+++xvbnx+=done
for ^in++++=for
the ^ati++++=the
helpless ^jj++++=helpless,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^cs+sub+++=in
that ^cs"++++=that
hour ^nn++++=hour
knowledge ^nn++++=knowledge
became ^vbd+++xvbn+=became
duty ^nn++++=duty.
. ^zz++++=EXTRAWORD
" ^zz++++="Stop!"
stop ^vb++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
cried ^vbd+++xvbnx+=cried.
. ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
Abb ^np+++??+=Abb
Sicard ^np+++??+=Sicard
the ^ati++++=the
father ^nn++++=father
of ^in++++=of
the ^ati++++=the
deaf ^jj++++=deaf
and ^cc+phrs+++=and
dumb ^jj++++=dumb!
! ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
has ^vbz+hvz+aux++=has
spent ^vprf+++xvbnx+=spent
his ^pp$+pp3+++=his
life ^nn++++=life
in ^in++++=in
doing ^xvbg+++xvbg+=doing
good ^jj++++=good.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
shall ^md+prd+++=shall
not ^xnot++not++=not
kill ^vb++++=kill
him ^pp3o+pp3+++=him
unless ^cs+cnd+++=unless
you ^pp2+pp2+++=you
kill ^nn++++=kill
me ^pp1o+pp1+++=me
first ^rb++++=first."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
murderer ^nn+nom+++=murderer
hesitated ^vbd+++xvbn+=hesitated.
. ^zz++++=EXTRAWORD
Monnot ^np+++??+=Monnot
did ^vbd+dod+aux++=did
not ^xnot++not++=not
move ^vb++++=move.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
no ^at++++=no
armour ^nn++++=armour,
, ^zz++++=EXTRAWORD
no ^at++++=no
authority ^nn+nom+++=authority,
, ^zz++++=EXTRAWORD
no ^at++++=no
force ^nn++++=force
with ^in++++=with
which ^whp+rel+pied++=which
to ^to++++=to
compel ^vbi++++=compel
that ^dt+dem+++=that
frantic ^jj+atrb+++=frantic
assembly ^nn++++=assembly;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
possessed ^vbd+++xvbnx+=possessed
only ^rb+down+++=only
truth ^nn++++=truth
and ^cc++++=and
courage ^nn+nom+++=courage,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
these ^dt+pdem+++=these,
, ^zz++++=EXTRAWORD
for ^in++++=for
one ^cd1++++=one
blessed ^jj+atrb++xvbn+=blessed
moment ^nn++++=moment,
, ^zz++++=EXTRAWORD
proved ^j+++xvbn+=proved
stronger ^jjr++++=stronger
than ^in++++=than
the ^ati++++=the
pike ^nn++++=pike.
. ^zz++++=EXTRAWORD
Voices ^nns++++=Voices
arose ^vbd+++xvbn+=arose
from ^in++++=from
the ^ati++++=the
crowd ^nn++++=crowd.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
father ^nn++++=father
of ^in++++=of
the ^ati++++=the
deaf ^jj++++=deaf
and ^cc+phrs+++=and
dumb ^jj++++=dumb?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,"
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
answered ^vbd+vpub++xvbn+=answered
Monnot ^np+++??+=Monnot;
; ^zz++++=EXTRAWORD
" ^zz++++="the
the ^ati++++=EXTRAWORD
friend ^nn++++=friend
of ^in++++=of
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
cannot ^md+pos+not++=cannot
plead ^vb+vsua+++=plead
for ^in++++=for
themselves ^ppls+pp3+++=themselves.
. ^zz++++=EXTRAWORD
Will ^md+prd+++=Will
you ^pp2+pp2+++=you
murder ^nn++++=murder
such ^abl++++=such
a ^at++++=a
man ^nn++++=man?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
weapon ^nn++++=weapon
was ^vbd+bedz+aux++=was
lowered ^vpsv++agls+xvbnx+=lowered.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
