# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
September ^nr+nom+++=September
the ^ati++++=the
glass ^nn++++=glass
that ^tht+rel+subj++=that
contains ^vbz++++=contains
it ^pp3+it+++=it
be ^vb+be+aux++=be
hidden ^vpsv++agls+xvbnx+=hidden
from ^in++++=from
my ^pp$+pp1+++=my
sight ^nn++++=sight.
. ^zz++++=EXTRAWORD
Today ^nr+tm+++=To-day
I ^pp1a+pp1+++=I
prepare ^vb++++=prepare
for ^in++++=for
a ^at++++=a
voyage ^nn++++=voyage
from ^in++++=from
which ^whp+rel+pied++=which
few ^ap++++=few
expect ^vb+vprv+++=expect
me ^pp1o+pp1+++=me
to ^to++++=to
return ^vbi++++=return.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
I ^pp1a+pp1+++=I
go ^vb++++=go,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
leave ^vb++++=leave
behind ^rb+phrv+++=behind
me ^pp1o+pp1+++=me
this ^dt+dem+++=this
confession ^nn++++=confession
not ^xnot++not++=not
to ^to++++=to
claim ^vbi++++=claim
credence ^nn+nom+++=credence,
, ^zz++++=EXTRAWORD
for ^in++++=for
credulity ^nn+nom+++=credulity
itself ^ppl++++=itself
would ^md+prd+++=would
recoil ^vb++++=recoil
from ^in++++=from
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
not ^xnot++not++=not
to ^to++++=to
excite ^vbi++++=excite
compassion ^nn++++=compassion,
, ^zz++++=EXTRAWORD
for ^in++++=for
who ^whp+rel+pied++=who
will ^md+prd+++=will
pity ^vb++++=pity
one ^cd1++++=one
whom ^whp+rel+obj++=whom
Death ^nn++++=Death
refuses ^vbz++++=refuses?
? ^zz++++=EXTRAWORD
but ^cs+sub+++=but
that ^cs"++++=that,
, ^zz++++=EXTRAWORD
should ^md+nec+++=should
my ^pp$+pp1+++=my
design ^nn++++=design
fail ^vb++++=fail
or ^cc++++=or
triumph ^nn++++=triumph,
, ^zz++++=EXTRAWORD
some ^dti++++=some
record ^nn++++=record
may ^md+pos+++=may
remain ^vb++++=remain
of ^in++++=of
Winzy ^np+++??+=Winzy,
, ^zz++++=EXTRAWORD
the ^ati++++=the
mortal ^jj++++=mortal
immortal ^jj++++=immortal;
; ^zz++++=EXTRAWORD
the ^ati++++=the
poorest ^jjt+atrb+++=poorest
servant ^nn+nom+++=servant
of ^in++++=of
Cornelius ^np+++??+=Cornelius
Agrippa ^np+++??+=Agrippa,
, ^zz++++=EXTRAWORD
the ^ati++++=the
happiest ^jjt+atrb+++=happiest
bridegroom ^nn++++=bridegroom
in ^in++++=in
Christendom ^nn+nom+++=Christendom,
, ^zz++++=EXTRAWORD
the ^ati++++=the
most ^ql+emph+++=most
desolate ^jj+atrb+++=desolate
creature ^nn++++=creature
beneath ^in+pl+++=beneath
God ^np++++=God's
's ^$++++=EXTRAWORD
stars ^nns++++=stars.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
born ^vpsv++agls+xvbnx+=born
among ^in++++=among
the ^ati++++=the
mountains ^nns++++=mountains
in ^in++++=in
the ^ati++++=the
year ^nn++++=year
1490 ^cd++++=1490.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
father ^nn++++=father,
, ^zz++++=EXTRAWORD
a ^at++++=a
woodcutter ^nn+nom+++=woodcutter,
, ^zz++++=EXTRAWORD
died ^j+++xvbn+=died
beneath ^in+pl+++=beneath
a ^at++++=a
falling ^jj+atrb++xvbg+=falling
pine ^nn++++=pine
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
but ^cc++++=but
seven ^cd++++=seven
winters ^nns+nom+++=winters;
; ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
mother ^npt++++=mother
followed ^vbd+vprv++xvbn+=followed
him ^pp3o+pp3+++=him
before ^cs+sub+++=before
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
completed ^vprf+++xvbnx+=completed
my ^pp$+pp1+++=my
twelfth ^np++++=twelfth.
. ^zz++++=EXTRAWORD
Poverty ^nn++++=Poverty
became ^vbd+++xvbn+=became
my ^pp$+pp1+++=my
guardian ^nn++++=guardian,
, ^zz++++=EXTRAWORD
hunger ^nn++++=hunger
my ^pp$+pp1+++=my
tutor ^nn++++=tutor,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
open ^jj+atrb+++=open
forest ^npl++++=forest
my ^pp$+pp1+++=my
first ^od++++=first
habitation ^nn+nom+++=habitation.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
even ^rb++++=even
then ^rn+tm+++=then
I ^pp1a+pp1+++=I
possessed ^vbd+++xvbnx+=possessed
one ^cd1++++=one
treasure ^nn++++=treasure,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
myself ^ppl+pp1+++=myself
richer ^jjr++++=richer
than ^in++++=than
emperors ^nns++++=emperors.
. ^zz++++=EXTRAWORD
Bertha ^np+++??+=Bertha
was ^vbd+bedz+vrb++=was
the ^ati++++=the
daughter ^nn+nom+++=daughter
of ^in++++=of
a ^at++++=a
soldier ^nn++++=soldier
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
perished ^vprf+++xvbnx+=perished
in ^in++++=in
the ^ati++++=the
Italian ^jj+atrb+++=Italian
wars ^nns++++=wars.
. ^zz++++=EXTRAWORD
Her ^pp3o+pp3+++=Her
mother ^npt++++=mother,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
distantly ^rb++++=distantly
related ^vpsv++agls+xvbn+=related
to ^in++++=to
the ^ati++++=the
Lady ^nn++++=Lady
Ursula ^np+++??+=Ursula
of ^in++++=of
Rosenheim ^np+++??+=Rosenheim,
, ^zz++++=EXTRAWORD
implored ^j+++xvbn+=implored
that ^dt+dem+++=that
haughty ^jj+atrb+++=haughty
dame ^np++++=dame
to ^to++++=to
receive ^vbi++++=receive
the ^ati++++=the
orphan ^nn++++=orphan
beneath ^rb++++=beneath
her ^pp$+pp3+++=her
roof ^nn++++=roof.
. ^zz++++=EXTRAWORD
Lady ^npt++++=Lady
Ursula ^np+++??+=Ursula
consented ^vbd+++xvbn+=consented
not ^xnot++not++=not
from ^in++++=from
tenderness ^nns+nom+++=tenderness,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
because ^cs+cos+++=because
charity ^nn+nom+++=charity,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
publicly ^rb++++=publicly
displayed ^vbd+++xvbn+=displayed,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
jewel ^nn++++=jewel
which ^whp+rel+obj++=which
pride ^nn++++=pride
is ^vbz+bez+vrb++=is
willing ^jj+pred+++=willing
to ^to+jcmp+++=to
wear ^vbi++++=wear.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
Bertha ^np+++??+=Bertha
was ^vbd+bedz+aux++=was
lodged ^vpsv++agls+xvbnx+=lodged
in ^in++++=in
a ^at++++=a
turret ^nn++++=turret
chamber ^nn++++=chamber,
, ^zz++++=EXTRAWORD
clothed ^xvbn+++xvbn+=clothed
in ^in++++=in
cast ^nn+++xvbn+=cast-off
- ^zz++++=EXTRAWORD
off ^in+pl+++=EXTRAWORD
silks ^nns++++=silks,
, ^zz++++=EXTRAWORD
taught ^vpbn+vsua++xvbn+=taught
to ^in+vcmp+++=to
embroider ^jjr+atrb+++=embroider
altar ^nn++++=altar-cloths,
- ^zz++++=EXTRAWORD
cloths ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
reminded ^vbd+vsua++xvbn+=reminded
each ^ppls++++=each
day ^nn++++=day
that ^tht+rel+obj++=that
she ^pp3a+pp3+++=she
ate ^vbd+++xvbnx+=ate
another ^dt++++=another's
's ^vbz+bez+vrb++0=EXTRAWORD
bread ^nn++++=bread.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
she ^pp3a+pp3+++=she
entered ^vbd+++xvbnx+=entered
that ^dt+dem+++=that
splendid ^jj+atrb+++=splendid
prison ^nn++++=prison,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
my ^pp$+pp1+++=my
playmate ^nn+nom+++=playmate.
. ^zz++++=EXTRAWORD
Together ^nn+nom+++=Together
we ^pp1a+pp1+++=we
chased ^vbd+++xvbn+=chased
moths ^nns++++=moths
by ^in++++=by
moonlight ^nn++++=moonlight,
, ^zz++++=EXTRAWORD
gathered ^jj+atrb++xvbn+=gathered
strawberries ^nns++++=strawberries
beneath ^in+pl+++=beneath
the ^ati++++=the
beeches ^nns++++=beeches,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
listened ^vbd+++xvbn+=listened,
, ^zz++++=EXTRAWORD
trembling ^jj+++xvbg+=trembling
yet ^rb++++=yet
delighted ^jj+++xvbn+=delighted,
, ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
torrent ^nn++++=torrent
roaring ^vwbg+++xvbg+=roaring
in ^in++++=in
its ^pp$+it+++=its
rocky ^jj+atrb+++=rocky
chasm ^nn++++=chasm.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
a ^at++++=a
slender ^jj++++=slender,
, ^zz++++=EXTRAWORD
dark ^jj++++=dark-haired
- ^zz++++=EXTRAWORD
haired ^jj+atrb+++=EXTRAWORD
child ^nn++++=child,
, ^zz++++=EXTRAWORD
swift ^np++++=swift
as ^ql++++=as
a ^at++++=a
fawn ^nn++++=fawn
and ^cc++++=and
proud ^jj++++=proud
as ^in++++=as
a ^at++++=a
captive ^jj+atrb+++=captive
princess ^nns+nom+++=princess.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
I ^pp1a+pp1+++=I
brought ^vbd+++xvbnx+=brought
her ^pp$+pp3+++=her
a ^at++++=a
bird ^nn++++=bird's
's ^$++++=EXTRAWORD
nest ^nn++++=nest,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
praised ^vbd+++xvbnx+=praised
the ^ati++++=the
eggs ^nns++++=eggs
and ^cc++++=and
scolded ^vbd+++xvbn+=scolded
me ^pp1o+pp1+++=me
for ^in++++=for
alarming ^xvbg+++xvbg+=alarming
the ^ati++++=the
mother ^nn++++=mother;
; ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
climbed ^vbd+++xvbnx+=climbed
the ^ati++++=the
highest ^jjt++++=highest
crag ^npl++++=crag
to ^to++++=to
gather ^vbi+vprv+++=gather
a ^at++++=a
blue ^jj+atrb+++=blue
flower ^nn++++=flower
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
admired ^vprf+++xvbnx+=admired,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
called ^vbd+++xvbnx+=called
me ^pp1o+pp1+++=me
mad ^jj++++=mad,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
wore ^vbd+++xvbn+=wore
the ^ati++++=the
blossom ^nn++++=blossom
in ^in++++=in
her ^pp$+pp3+++=her
bosom ^nn++++=bosom
until ^cs+sub+++=until
it ^pp3+it+++=it
withered ^vbd+++xvbn+=withered.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
loved ^vbd+++xvbnx+=loved
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
Nay ^uh++++=Nay,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
poor ^jj+atrb+++=poor
word ^nn++++=word
is ^vbz+bez+vrb++=is
pale ^nn++++=pale
beside ^in+pl+++=beside
the ^ati++++=the
truth ^nn++++=truth
I ^pp1a+pp1+++=I
adored ^vbd+++xvbnx+=adored,
, ^zz++++=EXTRAWORD
worshipped ^j+++xvbn+=worshipped,
, ^zz++++=EXTRAWORD
idolized ^j+++xvbn+=idolized
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
the ^ati++++=the
name ^nn++++=name
of ^in++++=of
passion ^nn++++=passion,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
chain ^nn++++=chain
was ^vbd+bedz+vrb++=was
about ^in++++=about
my ^pp$+pp1+++=my
heart ^nn++++=heart.
. ^zz++++=EXTRAWORD
Lady ^npt++++=Lady
Ursula ^np++++=Ursula's
's ^$++++=EXTRAWORD
castle ^npl++++=castle
stood ^vbd+++xvbn+=stood
above ^rb++++=above
our ^pp$+pp1+++=our
village ^nn+nom+++=village
like ^in++++=like
a ^at++++=a
grey ^jj+atrb+++=grey
threat ^nn++++=threat.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
windows ^nns++++=windows
glittered ^vbd+++xvbn+=glittered
in ^in++++=in
the ^ati++++=the
sunset ^nn++++=sunset,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
iron ^nn++++=iron
gates ^nns++++=gates
opened ^vbd+++xvbn+=opened
only ^rb+down+++=only
to ^in++++=to
riders ^nns++++=riders
in ^in++++=in
velvet ^nn++++=velvet
and ^cc++++=and
mail ^nn++++=mail,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
its ^pp$+it+++=its
terraces ^nns++++=terraces
were ^vbd+bed+aux++=were
guarded ^vpsv++by+xvbnx+=guarded
by ^in++++=by
stone ^nn++++=stone
saints ^nns++++=saints
whose ^whp+rel+obj++=whose
mutilated ^jj++++=mutilated
faces ^vbz++++=faces
appeared ^vprf+++xvbn+=appeared
to ^to+vcmp+++=to
condemn ^vbi++++=condemn
the ^ati++++=the
humble ^jj+atrb+++=humble
creatures ^nns++++=creatures
below ^in+strn+++=below.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
Bertha ^np+++??+=Bertha
entered ^vbd+++xvbn+=entered
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv+tht0+xvbnx+=saw
her ^pp$+pp3+++=her
rarely ^rb++++=rarely;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
accompanied ^vpsv++by+xvbnx+=accompanied
by ^in++++=by
a ^at++++=a
severe ^jj++++=severe
old ^jj++++=old
waiting ^jj+++xvbg+=waiting-woman
- ^zz++++=EXTRAWORD
woman ^nn++++=EXTRAWORD
who ^whp+rel+subj++=who
measured ^vbd+++xvbn+=measured
every ^at++++=every
glance ^nn++++=glance
and ^cc++++=and
counted ^vbd+++xvbn+=counted
every ^at++++=every
word ^nn++++=word.
. ^zz++++=EXTRAWORD
Still ^rb+cnj+++=Still,
, ^zz++++=EXTRAWORD
love ^nn++++=love
is ^vbz+bez+vrb++=is
cunning ^jj+pred+++=cunning.
. ^zz++++=EXTRAWORD
A ^at++++=A
folded ^jj+atrb++xvbn+=folded
leaf ^nn++++=leaf
placed ^vwbn+++xvbn+=placed
beneath ^in+pl+++=beneath
a ^at++++=a
loose ^jj+atrb+++=loose
stone ^nn++++=stone,
, ^zz++++=EXTRAWORD
a ^at++++=a
ribbon ^nn++++=ribbon
tied ^vbd+++xvbn+=tied
to ^in++++=to
the ^ati++++=the
branch ^nn++++=branch
of ^in++++=of
a ^at++++=a
hawthorn ^nn++++=hawthorn,
, ^zz++++=EXTRAWORD
a ^at++++=a
song ^nn++++=song
sung ^vbd+++xvbn+=sung
after ^cs+sub+++=after
dusk ^nn++++=dusk
beyond ^in++++=beyond
the ^ati++++=the
garden ^nn++++=garden
wall ^nn++++=wall
these ^dt+pdem+++=these
were ^vbd+bed+vrb++=were
our ^pp$+pp1+++=our
messengers ^nns+nom+++=messengers.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
fortune ^nn++++=fortune
permitted ^vbd+++xvbn+=permitted
us ^pp1o+pp1+++=us
a ^at++++=a
meeting ^jj+++xvbg+=meeting
in ^in++++=in
the ^ati++++=the
wood ^nn++++=wood,
, ^zz++++=EXTRAWORD
Bertha ^np+++??+=Bertha
would ^md+prd+++=would
come ^vprf+++xvbn+=come
flying ^vbg+++xvbg+=flying
down ^rp++++=down
the ^ati++++=the
path ^nn++++=path,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
dark ^jj+atrb+++=dark
curls ^nns++++=curls
loosened ^vbd+++xvbn+=loosened,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
cheeks ^nns++++=cheeks
warm ^jj++++=warm
with ^in++++=with
fear ^nn++++=fear
and ^cc++++=and
joy ^nn++++=joy.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
castle ^nn++++=castle,
, ^zz++++=EXTRAWORD
Lady ^npt++++=Lady
Ursula ^np+++??+=Ursula,
, ^zz++++=EXTRAWORD
poverty ^nn++++=poverty,
, ^zz++++=EXTRAWORD
duty ^nn++++=duty,
, ^zz++++=EXTRAWORD
the ^ati++++=the
whole ^jj+atrb+++=whole
dull ^jj+atrb+++=dull
machinery ^nn+nom+++=machinery
of ^in++++=of
the ^ati++++=the
world ^nn++++=world,
, ^zz++++=EXTRAWORD
disappeared ^j+++xvbn+=disappeared.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
only ^rb+down+++=only
two ^cd++++=two
beings ^nns++++=beings
beneath ^in+pl+++=beneath
heaven ^nn++++=heaven
Bertha ^np+++??+=Bertha
and ^cc++++=and
Winzy ^np+++??+=Winzy.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
childhood ^nn+nom+++=childhood
vanished ^vbd+++xvbn+=vanished;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
manhood ^nn+nom+++=manhood
came ^vbd+++xvbn+=came
that ^cs+sub+++=that
ancient ^jj+atrb+++=ancient
persecutor ^nn++++=persecutor
of ^in++++=of
love ^nn++++=love
gold ^nn++++=gold.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
have ^vb+hv+aux++=have
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbn+vsua++xvbn+=asked
Bertha ^np+++??+=Bertha
one ^cd1++++=one
evening ^nn++++=evening,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
spoken ^vprf+++xvbnx+=spoken
of ^in++++=of
marriage ^nn+nom+++=marriage
with ^in++++=with
all ^abn++++=all
the ^ati++++=the
magnificence ^nn+nom+++=magnificence
of ^in++++=of
a ^at++++=a
king ^npt++++=king
bestowing ^vwbg+++xvbg+=bestowing
provinces ^nns++++=provinces.
. ^zz++++=EXTRAWORD
" ^zz++++="Two
two ^cd++++=EXTRAWORD
strong ^jj+atrb+++=strong
arms ^nns++++=arms,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
replied ^vbd+vpub++xvbnx+=replied,
, ^zz++++=EXTRAWORD
" ^zz++++="a
a ^at++++=EXTRAWORD
faithful ^jj+atrb+++=faithful
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
courage ^np+nom+++=courage
enough ^qlp++++=enough
to ^to++++=to
conquer ^vbi++++=conquer
fortune ^nn++++=fortune."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
smiled ^vbd+++xvbnx+=smiled,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
tears ^nns++++=tears
in ^in++++=in
her ^pp$+pp3+++=her
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
" ^zz++++="Lady
lady ^npt++++=EXTRAWORD
Ursula ^np+++??+=Ursula
says ^vbz+vpub+tht0++=says
courage ^nn+nom+++=courage
cannot ^md+pos+not++=cannot
buy ^vb++++=buy
bread ^nn++++=bread."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Lady
lady ^npt++++=EXTRAWORD
Ursula ^np+++??+=Ursula,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
" ^zz++++="has
has ^vbz+hvz+vrb++=EXTRAWORD
so ^ql++++=so
much ^ap++++=much
bread ^nn++++=bread
that ^tht+rel+obj++=that
she ^pp3a+pp3+++=she
has ^vbz+hvz+aux++=has
forgotten ^vprf+++xvbnx+=forgotten
its ^pp$+it+++=its
taste ^nn++++=taste."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Hush!
hush ^vb++++=EXTRAWORD
! ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
would ^md+prd+++=would
send ^vb++++=send
me ^pp1o+pp1+++=me
to ^in++++=to
the ^ati++++=the
convent ^nn++++=convent
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
knew ^vbd+vprv+tht0+xvbnx+=knew
I ^pp1a+pp1+++=I
met ^vbd+++xvbnx+=met
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
convent ^nn++++=convent!
! ^zz++++=EXTRAWORD
Bertha ^np+++??+=Bertha,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
would ^md+prd+++=would
not ^xnot++not++=not
go ^vb++++=go?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Would
would ^md+prd+++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
the ^ati++++=the
choice ^nn++++=choice?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
question ^nn+nom+++=question
struck ^vbd+++xvbn+=struck
me ^pp1o+pp1+++=me
dumb ^jj++++=dumb.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
a ^at++++=a
curtain ^nn++++=curtain
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
torn ^vpsv++agls+xvbnx+=torn
aside ^rp++++=aside,
, ^zz++++=EXTRAWORD
the ^ati++++=the
truth ^nn++++=truth
of ^in++++=of
our ^pp$+pp1+++=our
condition ^nn+nom+++=condition.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
poor ^jj+pred+++=poor;
; ^zz++++=EXTRAWORD
therefore ^rb+cnj+++=therefore
my ^pp$+pp1+++=my
love ^nn++++=love
was ^vbd+bedz+vrb++=was
presumption ^nn+nom+++=presumption.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
