# ^zz++++=##
# ^zz++++=EXTRAWORD
Indian ^jj+atrb+++=INDIAN
and ^cc++++=and
gray ^np++++=gray
gables ^nns+++??+=gables
of ^in++++=of
Miss ^npt++++=Miss
Auden ^np++++=Auden's
's ^$++++=EXTRAWORD
School ^nn++++=School,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
seven ^cd++++=seven
girls ^nns++++=girls
were ^vbd+bed+vrb++=were
at ^rb++++=at
that ^dt+dem+++=that
moment ^nn++++=moment
supposed ^vb++pmd"+xvbn+=supposed
to ^to+vcmp+pmd++=to
be ^vbi+vbi+aux++=be
engaged ^vbd+++xvbn+=engaged
in ^in++++=in
useful ^jj+atrb+++=useful
exercise ^nn++++=exercise.
. ^zz++++=EXTRAWORD
Six ^cd++++=Six
of ^in++++=of
the ^ati++++=the
senior ^jj+atrb+++=senior
class ^nn++++=class
were ^vbd+bed+aux++=were
engaged ^vpsv++agls+xvbnx+=engaged,
, ^zz++++=EXTRAWORD
instead ^rb+cnj+++=instead,
, ^zz++++=EXTRAWORD
in ^in++++=in
sitting ^xvbg+++xvbg+=sitting
upon ^in++++=upon
a ^at++++=a
stone ^nn++++=stone
wall ^nn++++=wall
and ^cc++++=and
lamenting ^nvbg+++xvbg+=lamenting.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
entire ^jjb+atrb+++=entire
term ^nn++++=term
is ^vbz+bez+aux++=is
wrecked ^vpsv++agls+xvbnx+=wrecked,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
declared ^vbd+vpub++xvbn+=declared
Massachusetts ^np+++??+=Massachusetts.
. ^zz++++=EXTRAWORD
Massachusetts ^np+++??+=Massachusetts
always ^rb++++=always
spoke ^vbd+++xvbn+=spoke
in ^in++++=in
capitals ^nns+nom+++=capitals,
, ^zz++++=EXTRAWORD
even ^rb++++=even
when ^wrb+who+++=when
discussing ^vbg+++xvbg+=discussing
shoe ^nn++++=shoe-strings.
- ^zz++++=EXTRAWORD
strings ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
the ^ati++++=the
entire ^jjb+atrb+++=entire
term ^nn++++=term,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
corrected ^xvbn+++xvbn+=corrected
Tennessee ^np+nom+++=Tennessee,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
perched ^vpsv++agls+xvbnx+=perched
on ^in++++=on
the ^ati++++=the
wall ^nn++++=wall
with ^in++++=with
the ^ati++++=the
composure ^nn++++=composure
of ^in++++=of
a ^rb++++=a
little ^rb"++++=little
brown ^jj+atrb+++=brown
owl ^nn++++=owl.
. ^zz++++=EXTRAWORD
" ^zz++++="Only
only ^rb+down+++=EXTRAWORD
Friday ^nr++++=Friday."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Friday
friday ^nr++++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
term ^nn++++=term.
. ^zz++++=EXTRAWORD
Founders ^nns+nom+++=Founders'
' ^zz++++=EXTRAWORD
Friday ^nr++++=Friday
is ^vbz+bez+vrb++=is
the ^ati++++=the
year ^nn++++=year.
. ^zz++++=EXTRAWORD
The ^ati++++=The
senior ^nn++++=senior
play ^nn++++=play
is ^vbz+bez+vrb++=is
the ^ati++++=the
crown ^nn++++=crown
of ^in++++=of
Founders ^nns+nom+++=Founders'
' ^zz++++=EXTRAWORD
Friday ^nr++++=Friday.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore"
" ^zz++++=EXTRAWORD
Massachusetts ^np+++??+=Massachusetts
waved ^vbd+++xvbn+=waved
both ^abx++++=both
arms ^nns++++=arms
and ^cc++++=and
narrowly ^rb++++=narrowly
escaped ^vprf+++xvbn+=escaped
falling ^nvbg+++xvbg+=falling
backward ^jj++++=backward
into ^in++++=into
a ^at++++=a
sumach ^nn+++??+=sumach
bush ^nn++++=bush
" ^zz++++="the
the ^ati++++=EXTRAWORD
crown ^nn++++=crown
has ^vbz+hvz+aux++=has
tumbled ^vprf+++xvbnx+=tumbled
into ^in++++=into
the ^ati++++=the
dust ^nn++++=dust,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
education ^nn+nom+++=education
is ^vbz+bez+vrb++=is
a ^at++++=a
hollow ^jj+atrb+++=hollow
mockery ^nn+nom+++=mockery."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Dixi,"
dixi ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Tennessee ^np+nom+++=Tennessee.
. ^zz++++=EXTRAWORD
" ^zz++++="Now
now ^rn+tm+++=EXTRAWORD
may ^md+pos+++=may
we ^pp1a+pp1+++=we
descend ^vb++++=descend
from ^in++++=from
the ^ati++++=the
platform ^nn++++=platform?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Maine ^np++++=Maine,
, ^zz++++=EXTRAWORD
class ^nn++++=class
president ^nn++++=president,
, ^zz++++=EXTRAWORD
paid ^j+++xvbn+=paid
no ^at++++=no
attention ^nn+nom+++=attention
to ^in++++=to
either ^dtx++++=either
of ^in++++=of
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
sat ^vbd+++xvbnx+=sat
with ^in++++=with
her ^pp$+pp3+++=her
elbows ^nns++++=elbows
on ^rp++++=on
her ^pp3o+pp3+++=her
knees ^nns++++=knees
and ^cc++++=and
her ^pp$+pp3+++=her
chin ^nn++++=chin
in ^in++++=in
her ^pp$+pp3+++=her
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
staring ^vbg+++xvbg+=staring
unhappily ^rb++++=unhappily
at ^in++++=at
the ^ati++++=the
toe ^nn++++=toe
of ^in++++=of
one ^cd1++++=one
brown ^jj+atrb+++=brown
boot ^nn++++=boot.
. ^zz++++=EXTRAWORD
The ^ati++++=The
senior ^nn++++=senior
play ^nn++++=play
had ^vbd+hvd+aux++=had
collapsed ^vprf+++xvbnx+=collapsed
that ^dt+dem+++=that
morning ^nn++++=morning.
. ^zz++++=EXTRAWORD
Virginia ^np++++=Virginia,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
to ^to++++=to
have ^vbi+vbi+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
Rosalind ^np+++??+=Rosalind,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
developed ^vprf+++xvbnx+=developed
mumps ^nns+++??+=mumps;
; ^zz++++=EXTRAWORD
New ^jj+atrb+++=New
York ^np++++=York,
, ^zz++++=EXTRAWORD
the ^ati++++=the
only ^ap+down+++=only
person ^nn++++=person
capable ^jj++++=capable
of ^in++++=of
remembering ^xvbg+++xvbg+=remembering
the ^ati++++=the
Duke ^np++++=Duke's
's ^$++++=EXTRAWORD
speeches ^nns++++=speeches,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
summoned ^vpsv++agls+xvbnx+=summoned
home ^nr++++=home
to ^in++++=to
a ^at++++=a
wedding ^nn++++=wedding;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
costumes ^nns++++=costumes,
, ^zz++++=EXTRAWORD
sent ^j+++xvbn+=sent
from ^in++++=from
Boston ^np++++=Boston,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
by ^in++++=by
mistake ^nn++++=mistake
to ^in++++=to
Miss ^npt++++=Miss
Alden ^np++++=Alden's
's ^$++++=EXTRAWORD
Select ^jj+atrb+++=Select
School ^nn++++=School
for ^in++++=for
Young ^jj+atrb+++=Young
Ladies ^nns++++=Ladies
in ^in++++=in
Auden ^np++++=Auden,
, ^zz++++=EXTRAWORD
Minnesota ^np+++??+=Minnesota.
. ^zz++++=EXTRAWORD
The ^ati++++=The
express ^jjb+atrb+++=express
company ^nn++++=company
hoped ^vbd+vprv++xvbn+=hoped
that ^tht+vcmp+++=that
something ^pn++++=something
might ^md+pos+++=might
be ^vb+be+aux++=be
done ^vpsv++agls+xvbnx+=done.
. ^zz++++=EXTRAWORD
Massachusetts ^np+++??+=Massachusetts
had ^vbd+hvd+aux++=had
observed ^vprf+++xvbnx+=observed
bitterly ^rb++++=bitterly
that ^cs+sub+++=that
something ^pn++++=something
was ^vbd+bedz+aux++=was
always ^rb++splt++=always
hoping ^vbg+vprv++xvbgx+=hoping
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
done ^vpsv++agls+xvbnx+=done
in ^in++++=in
the ^ati++++=the
manner ^nn++++=manner
of ^in++++=of
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Micawber ^np+nom+++=Micawber,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
never ^rb++++=never
did ^vbd+dod+vrb++=did
itself ^ppl++++=itself.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
cannot ^md+pos+not++=cannot
give ^vb++++=give
*as ^nns+++??+=*As
You ^pp2+pp2+++=You
Like ^in++++=Like
It* ^np+++??+=It*
without ^in++++=without
Rosalind ^np+++??+=Rosalind,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Maine ^np++++=Maine
for ^in++++=for
perhaps ^rb++++=perhaps
the ^ati++++=the
twelfth ^np++++=twelfth
time ^nn++++=time.
. ^zz++++=EXTRAWORD
" ^zz++++="Massachusetts
massachusetts ^nns+++??+=EXTRAWORD
would ^md+prd+++=would
make ^vb++++=make
a ^at++++=a
lovely ^jj+atrb+++=lovely
Rosalind ^np+++??+=Rosalind,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
suggested ^vbd+vpub++xvbn+=suggested
Georgia ^np+++??+=Georgia.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
should ^md+nec+++=should
make ^vb++++=make
a ^at++++=a
powerful ^jj+atrb+++=powerful
Rosalind ^np+++??+=Rosalind,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Massachusetts ^np+++??+=Massachusetts
corrected ^vwbn+++xvbn+=corrected.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
the ^ati++++=the
audience ^nn+nom+++=audience
might ^md+pos+++=might
mistake ^vb++++=mistake
me ^pp1o+pp1+++=me
for ^in++++=for
Orlando ^np++++=Orlando."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
might ^md+pos+++=might
mistake ^vb++++=mistake
you ^pp2+pp2+++=you
for ^in++++=for
the ^ati++++=the
Forest ^nn++++=Forest
of ^in++++=of
Arden ^np+++??+=Arden,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Tennessee ^np+nom+++=Tennessee.
. ^zz++++=EXTRAWORD
Massachusetts ^np+++??+=Massachusetts
hurled ^vwbn+++xvbn+=hurled
a ^at++++=a
chestnut ^nn++++=chestnut
burr ^nn++++=burr
at ^in++++=at
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
Maine ^np++++=Maine
sighed ^vbd+++xvbn+=sighed.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
must ^md+nec+++=must
substitute ^vb++++=substitute
something ^pn++++=something.
. ^zz++++=EXTRAWORD
Miss ^npt++++=Miss
Auden ^np++++=Auden
says ^vbz+vpub+tht0++=says
the ^ati++++=the
senior ^jj+atrb+++=senior
class ^nn++++=class
may ^md+pos+++=may
arrange ^vb++++=arrange
any ^dti++++=any
entertainment ^nn+nom+++=entertainment
it ^pp3+it+++=it
likes ^vbz++++=likes,
, ^zz++++=EXTRAWORD
provided ^j+++xvbn+=provided
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
dignified ^jj+pred+++=dignified,
, ^zz++++=EXTRAWORD
inexpensive ^jj++++=inexpensive,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
does ^vbz+doz+aux++=does
not ^xnot++not++=not
keep ^vb++++=keep
the ^ati++++=the
younger ^jjr+atrb+++=younger
girls ^nns++++=girls
awake ^jj++++=awake
after ^in++++=after
ten ^cd++++=ten."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
nothing ^pn++++=nothing
remains ^nns++++=remains
but ^cc++++=but
prayer ^nn++++=prayer,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Tennessee ^np+nom+++=Tennessee.
. ^zz++++=EXTRAWORD
" ^zz++++="Or
or ^cc++++=EXTRAWORD
a ^at++++=a
lecture ^nn++++=lecture,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
groaned ^vbd+++xvbn+=groaned
Georgia ^np+++??+=Georgia.
. ^zz++++=EXTRAWORD
" ^zz++++="Or
or ^cc++++=EXTRAWORD
tableaux ^nns++++=tableaux!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
Vermont ^np+++??+=Vermont.
. ^zz++++=EXTRAWORD
" ^zz++++="Tableaux
tableaux ^nns++++=EXTRAWORD
are ^vb+ber+vrb++=are
dead ^jj+pred+++=dead,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Massachusetts ^np+++??+=Massachusetts
announced ^vbd+vpub++xvbn+=announced.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
Faith ^nn++++=Faith,
, ^zz++++=EXTRAWORD
Hope ^nn++++=Hope,
, ^zz++++=EXTRAWORD
Charity ^nn+nom+++=Charity,
, ^zz++++=EXTRAWORD
Liberty ^nn++++=Liberty,
, ^zz++++=EXTRAWORD
Joan ^np++++=Joan
of ^in++++=of
Arc ^np++++=Arc,
, ^zz++++=EXTRAWORD
Night ^nn++++=Night,
, ^zz++++=EXTRAWORD
Morning ^nn++++=Morning,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Spirit ^nn++++=Spirit
of ^in++++=of
New ^jj+atrb+++=New
England ^np++++=England.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
refuse ^vb++++=refuse
to ^to+vcmp+++=to
be ^vbi++vrb++=be
allegorical ^jj+pred+++=allegorical
again ^rb+tm+++=again."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
were ^vbd+bed+vrb++=were
never ^rb++++=never
Charity ^nn+nom+++=Charity,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Tennessee ^np+nom+++=Tennessee
murmured ^vbd+++xvbn+=murmured.
. ^zz++++=EXTRAWORD
Maine ^np++++=Maine
sprang ^vbd+++xvbn+=sprang
suddenly ^rb++++=suddenly
to ^in++++=to
her ^pp$+pp3+++=her
feet ^nns++++=feet.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
fancy ^jj+atrb+++=fancy
ball ^nn++++=ball!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
burr ^nn++++=burr-throwing
- ^zz++++=EXTRAWORD
throwing ^xvbg+++xvbg+=EXTRAWORD
ceased ^vprf+++xvbn+=ceased.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
what ^wdt+who+++=what?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
demanded ^vwbn+vsua++xvbn+=demanded
Massachusetts ^np+++??+=Massachusetts.
. ^zz++++=EXTRAWORD
" ^zz++++="An
an ^at++++=EXTRAWORD
informal ^jj+atrb+++=informal
costume ^nn++++=costume
ball ^nn++++=ball
in ^in++++=in
the ^ati++++=the
assembly ^nn++++=assembly
hall ^nn++++=hall.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
girl ^nn++++=girl
must ^md+nec+++=must
come ^vprf+++xvbn+=come
as ^ql++++=as
something ^pn++++=something
connected ^vbd+++xvbn+=connected
with ^in++++=with
autumn ^nn++++=autumn
an ^at++++=an
apple ^nn++++=apple,
, ^zz++++=EXTRAWORD
a ^at++++=a
football ^nn++++=football
player ^nn++++=player,
, ^zz++++=EXTRAWORD
a ^at++++=a
frost ^nn++++=frost,
, ^zz++++=EXTRAWORD
a ^at++++=a
witch ^nn++++=witch,
, ^zz++++=EXTRAWORD
a ^at++++=a
school ^nn++++=school-book
- ^zz++++=EXTRAWORD
book ^nn++++=EXTRAWORD
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
can ^md+pos+++=can
explain ^vb+vpub+tht0++=explain
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
shall ^md+prd+++=shall
have ^vb+hv+vrb++=have
games ^nns++++=games
and ^cc++++=and
dancing ^nvbg+++xvbg+=dancing
and ^cc++++=and
perhaps ^rb++++=perhaps
a ^at++++=a
grand ^jj+atrb+++=grand
march ^nr++++=march.
. ^zz++++=EXTRAWORD
Mademoiselle ^np+++??+=Mademoiselle
can ^md+pos+++=can
play ^vb++++=play
the ^ati++++=the
piano ^nn++++=piano.
. ^zz++++=EXTRAWORD
The ^ati++++=The
juniors ^nns++++=juniors
can ^md+pos+++=can
decorate ^nn+nom+++=decorate
with ^in++++=with
corn ^nn++++=corn-stalks
- ^zz++++=EXTRAWORD
stalks ^nns+++??+=EXTRAWORD
and ^cc++++=and
pumpkins ^nns+++??+=pumpkins.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
will ^md+prd+++=will
cost ^vb++++=cost
almost ^rb+hdg+++=almost
nothing ^pn++++=nothing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
one ^cd1++++=one
need ^nn++++=need
learn ^vb+vprv+++=learn
a ^at++++=a
line ^nn++++=line."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
moment ^nn++++=moment
of ^in++++=of
awed ^nn++++=awed
silence ^nn+nom+++=silence.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
Massachusetts ^np+++??+=Massachusetts
leaped ^vbd+++xvbn+=leaped
from ^in++++=from
the ^ati++++=the
wall ^nn++++=wall.
. ^zz++++=EXTRAWORD
" ^zz++++="Maine,"
maine ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
cried ^vbd+++xvbnx+=cried,
, ^zz++++=EXTRAWORD
" ^zz++++="you
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+aux++=are
canonized ^vpsv++agls+xvbnx+=canonized!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
always ^rb++++=always
said ^vbd+vpub+tht0+xvbn+=said
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
genius ^nn++++=genius
under ^in++++=under
those ^dt+dem+++=those
pine ^nn++++=pine
needles ^nps++++=needles."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
never ^rb++++=never
said ^vbd+vpub++xvbn+=said
anything ^pn++++=anything
of ^in++++=of
the ^ati++++=the
kind ^nn++++=kind."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
thought ^vbd+++xvbnx+=thought
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
shall ^md+prd+++=shall
I ^pp1a+pp1+++=I
be ^vb+be+vrb++=be?
? ^zz++++=EXTRAWORD
A ^at++++=A
codfish ^nn++++=codfish
in ^in++++=in
autumn ^nn++++=autumn?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
codfish ^nn++++=codfish
has ^vbz+hvz+vrb++=has
no ^at++++=no
seasons ^nns++++=seasons,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Tennessee ^np+nom+++=Tennessee.
. ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
be ^vb+be+vrb++=be
Cape ^np++++=Cape
Cod ^nn++++=Cod
after ^cs+sub+++=after
the ^ati++++=the
summer ^nn++++=summer
visitors ^nns++++=visitors
have ^vb+hv+aux++=have
gone ^vprf+++xvbnx+=gone.
. ^zz++++=EXTRAWORD
A ^at++++=A
deserted ^jj+atrb++xvbn+=deserted
piazza ^nn+++??+=piazza,
, ^zz++++=EXTRAWORD
two ^cd++++=two
broken ^jj+atrb++xvbn+=broken
tennis ^nn++++=tennis
rackets ^nns++++=rackets,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
bill ^nn++++=bill
from ^in++++=from
the ^ati++++=the
grocer ^nn++++=grocer."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Please
please ^uh++++=EXTRAWORD
be ^vb+be+vrb++=be
something ^pn++++=something
that ^dt+pdem+++=that
can ^md+pos+++=can
pass ^vb++++=pass
through ^in++++=through
a ^at++++=a
door ^nn++++=door,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
begged ^vbd+++xvbn+=begged
Maine ^np++++=Maine.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
all ^rb++++=all
began ^vbd+++xvbn+=began
talking ^vbg+++xvbg+=talking
at ^rb++++=at
once ^rb"+tm+++=once.
. ^zz++++=EXTRAWORD
Georgia ^np+++??+=Georgia
would ^md+prd+++=would
be ^vb+be+vrb++=be
a ^at++++=a
bunch ^nn++++=bunch
of ^in++++=of
grapes ^nns++++=grapes.
. ^zz++++=EXTRAWORD
Vermont ^np+++??+=Vermont
considered ^vwbn+vprv++xvbn+=considered
a ^at++++=a
haystack ^nn+++??+=haystack.
. ^zz++++=EXTRAWORD
Tennessee ^np+nom+++=Tennessee
proposed ^vbd+vsua++xvbn+=proposed
to ^to++++=to
go ^vbi++++=go
as ^in++++=as
the ^ati++++=the
First ^rb++++=First
Day ^nn++++=Day
of ^in++++=of
School ^nn++++=School,
, ^zz++++=EXTRAWORD
dressed ^j+++xvbn+=dressed
in ^in++++=in
black ^jj+atrb+++=black
and ^cc+phrs+++=and
carrying ^jj+atrb++xvbg+=carrying
instruments ^nns+nom+++=instruments
of ^in++++=of
torture ^nn++++=torture.
. ^zz++++=EXTRAWORD
Massachusetts ^np+++??+=Massachusetts
announced ^vbd+vpub++xvbn+=announced
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
would ^md+prd+++=would
represent ^vb++++=represent
a ^at++++=a
Thanksgiving ^np+++??+=Thanksgiving
dinner ^nn++++=dinner,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
she ^pp3a+pp3+++=she
had ^vb+hv+aux++=had
not ^xnot++not++=not
yet ^rb++++=yet
determined ^vbd+++xvbn+=determined
whether ^cs+who+++=whether
to ^to++++=to
be ^vbi++vrb++=be
the ^ati++++=the
turkey ^nn++++=turkey
or ^cc++++=or
the ^ati++++=the
indigestion ^nn+nom+++=indigestion.
. ^zz++++=EXTRAWORD
Talking ^vbg+++xvbg+=Talking
about ^in++++=about
pretty ^rb++++=pretty
clothes ^nns++++=clothes
is ^vbz+bez+vrb++=is
always ^rb++++=always
soothing ^jj+pred+++=soothing,
, ^zz++++=EXTRAWORD
even ^rb++++=even
when ^wrb+who+++=when
the ^ati++++=the
clothes ^nns++++=clothes
are ^vb+ber+aux++=are
to ^to++++=to
be ^vbi+vbi+aux++=be
made ^vpsv++agls+xvbnx+=made
of ^in++++=of
cheesecloth ^nn+++??+=cheesecloth,
, ^zz++++=EXTRAWORD
tarlatan ^jj++++=tarlatan,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
articles ^nns++++=articles
borrowed ^vbd+++xvbn+=borrowed
from ^in++++=from
the ^ati++++=the
gymnasium ^nn++++=gymnasium.
. ^zz++++=EXTRAWORD
In ^in++++=In
five ^cd++++=five
minutes ^nns++++=minutes
the ^ati++++=the
ruined ^jj+atrb++xvbn+=ruined
term ^nn++++=term
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
restored ^vpsv++agls+xvbnx+=restored,
, ^zz++++=EXTRAWORD
Founders ^nns+nom+++=Founders'
' ^zz++++=EXTRAWORD
Friday ^nr++++=Friday
saved ^vwbn+++xvbn+=saved,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Rosalind ^np++++=Rosalind's
's ^$++++=EXTRAWORD
mumps ^vbz+++??+=mumps
reduced ^vbd+++xvbn+=reduced
to ^in++++=to
a ^at++++=a
trivial ^jj+atrb+++=trivial
incident ^nn++++=incident
in ^in++++=in
the ^ati++++=the
march ^nn++++=march
of ^in++++=of
civilization ^nn+nom+++=civilization.
. ^zz++++=EXTRAWORD
