My ^pp$+pp1+++=My
elaborate ^jj+atrb+++=elaborate
architecture ^nn++++=architecture
raised ^vbd+++xvbn+=raised
in ^in++++=in
one ^cd1++++=one
instant ^nn+nom+++=instant
by ^in++++=by
grief ^nn++++=grief.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
cannot ^md+pos+not++=cannot
prove ^vb+vprv+++=prove
otherwise ^rb+cnj+++=otherwise.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
asleep ^jj++++=asleep
when ^wrb+who+++=when
it ^pp3+it+++=it
began ^vbd+++xvbn+=began;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
the ^ati++++=the
vision ^nn++++=vision
was ^vbd+bedz+aux++=was
born ^vpsv++agls+xvbnx+=born
wholly ^rb++++=wholly
within ^in++++=within
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
continents ^nns++++=continents
in ^in++++=in
the ^ati++++=the
soul ^nn++++=soul
whose ^whp+rel+obj++=whose
mountains ^nns++++=mountains
and ^cc++++=and
rivers ^nns++++=rivers
possess ^nns+nom+++=possess
a ^at++++=a
substance ^nn+nom+++=substance
more ^rbr++++=more
formidable ^jj++++=formidable
than ^in++++=than
chalk ^nn++++=chalk
or ^cc++++=or
granite ^nn++++=granite.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
You ^pp2+pp2+++=You
remember ^nn+nom+++=remember
Harry ^np++++=Harry
as ^ql++++=as
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
before ^cs+sub+++=before
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
East ^np+pl+++=East:
: ^zz++++=EXTRAWORD
the ^ati++++=the
sudden ^jj+atrb+++=sudden
smile ^nn++++=smile,
, ^zz++++=EXTRAWORD
the ^ati++++=the
untidy ^jj+atrb+++=untidy
fairness ^nns+nom+++=fairness
of ^in++++=of
his ^pp$+pp3+++=his
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
invincible ^jj+atrb+++=invincible
habit ^nn++++=habit
of ^in++++=of
whistling ^nn++++=whistling
in ^in++++=in
passages ^nns+nom+++=passages,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^cs+sub+++=that
endearing ^jj+atrb+++=endearing
conviction ^nn+nom+++=conviction
that ^tht+ncmp+++=that
every ^at++++=every
quarrel ^nn++++=quarrel,
, ^zz++++=EXTRAWORD
whether ^cs+who+++=whether
between ^in++++=between
nations ^nns+nom+++=nations
or ^cc++++=or
stable ^jj++++=stable-boys,
- ^zz++++=EXTRAWORD
boys ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
might ^md+pos+++=might
be ^vb+be+aux++=be
settled ^vpsv++agls+xvbnx+=settled
if ^cs+cnd+++=if
only ^rb+down+++=only
the ^ati++++=the
disputants ^nns+nom+++=disputants
would ^md+prd+++=would
dine ^vb++++=dine
together ^nn+nom+++=together.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
profound ^jj+atrb+++=profound
God ^np++++=God
forbid ^vb+vsua+++=forbid
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
should ^md+nec+++=should
make ^vb++++=make
him ^pp3o+pp3+++=him
profound ^jj++++=profound
now ^rn+tm+++=now
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
dead ^jj+pred+++=dead.
. ^zz++++=EXTRAWORD
The ^ati++++=The
dead ^jj++++=dead
have ^vb+hv+aux++=have
suffered ^vprf+++xvbnx+=suffered
enough ^qlp++++=enough
from ^in++++=from
the ^ati++++=the
virtues ^nns++++=virtues
imposed ^vbd+++xvbn+=imposed
upon ^in++++=upon
them ^pp3o+pp3+++=them
by ^in++++=by
survivors ^nns++++=survivors.
. ^zz++++=EXTRAWORD
Harry ^np++++=Harry
was ^vbd+bedz+vrb++=was
careless ^jj+pred+++=careless,
, ^zz++++=EXTRAWORD
impatient ^jj++++=impatient
of ^in++++=of
books ^nns++++=books,
, ^zz++++=EXTRAWORD
absurdly ^rb++++=absurdly
generous ^jj++++=generous,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
brave ^jj++++=brave
without ^in++++=without
knowing ^xvbg+++xvbg+=knowing
bravery ^nn+nom+++=bravery
to ^to++++=to
be ^vbi++vrb++=be
uncommon ^jj+pred+++=uncommon.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
went ^vbd+++xvbnx+=went
abroad ^rb+pl+++=abroad
neither ^rb++neg++=neither
for ^in++++=for
glory ^nn++++=glory
nor ^cc++neg++=nor
advancement ^nn+nom+++=advancement,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
because ^cs+cos+++=because
three ^cd++++=three
villages ^nns+nom+++=villages
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
burned ^vpsv++agls+xvbnx+=burned,
, ^zz++++=EXTRAWORD
a ^at++++=a
relief ^nn++++=relief
mission ^nn++++=mission
lacked ^vbd+++xvbn+=lacked
an ^at++++=an
interpreter ^nn+nom+++=interpreter,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
happened ^vbd+++xvbnx+=happened
to ^to+vcmp+++=to
know ^vbi+vprv+++=know
the ^ati++++=the
dialect ^nn++++=dialect.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
death ^nn++++=death,
, ^zz++++=EXTRAWORD
as ^ql++++=as
you ^pp2+pp2+++=you
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
violent ^jj+pred+++=violent;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
perhaps ^rb++++=perhaps
you ^pp2+pp2+++=you
never ^rb++++=never
heard ^vbd+vprv++xvbn+=heard
its ^pp$+it+++=its
particulars ^nns++++=particulars.
. ^zz++++=EXTRAWORD
The ^ati++++=The
party ^nn++++=party
had ^vbd+hvd+aux++=had
entered ^vprf+++xvbnx+=entered
the ^ati++++=the
valley ^nn++++=valley
under ^in++++=under
written ^xvbn+++xvbn+=written
guarantees ^nns+nom+++=guarantees
from ^in++++=from
both ^abx++++=both
factions ^nns+nom+++=factions.
. ^zz++++=EXTRAWORD
At ^in++++=At
noon ^nn++++=noon
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
stopped ^vpsv++agls+xvbnx+=stopped
beside ^in+pl+++=beside
a ^at++++=a
dry ^jj+atrb+++=dry
watercourse ^nn+++??+=watercourse
by ^in++++=by
men ^nns++++=men
who ^whp+rel+subj++=who
wore ^vbd+++xvbn+=wore
no ^at++++=no
uniform ^nn++++=uniform.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
medical ^jj+atrb+++=medical
chests ^nns++++=chests
were ^vbd+bed+aux++=were
opened ^vpsv++agls+xvbnx+=opened
and ^cc++++=and
scattered ^jj+++xvbn+=scattered;
; ^zz++++=EXTRAWORD
the ^ati++++=the
mules ^nns++++=mules
were ^vbd+bed+aux++=were
shot ^vpsv++agls+xvbnx+=shot;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Harry ^np++++=Harry,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
stepped ^vprf+++xvbnx+=stepped
forward ^rb++++=forward
holding ^vbg+vprv++xvbg+=holding
up ^rp++++=up
the ^ati++++=the
stamped ^jj+atrb++xvbn+=stamped
papers ^nns++++=papers,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
struck ^vpsv++agls+xvbnx+=struck
first ^rb++++=first
in ^in++++=in
the ^ati++++=the
mouth ^nn++++=mouth
with ^in++++=with
a ^at++++=a
rifle ^nn++++=rifle-butt
- ^zz++++=EXTRAWORD
butt ^nn++++=EXTRAWORD
and ^cc++++=and
afterwards ^rb+tm+++=afterwards
repeatedly ^rb++++=repeatedly
with ^in++++=with
a ^at++++=a
knife ^nn++++=knife.
. ^zz++++=EXTRAWORD
A ^at++++=A
native ^jj++++=native
orderly ^jj++++=orderly,
, ^zz++++=EXTRAWORD
hidden ^j+++xvbn+=hidden
beneath ^in+pl+++=beneath
the ^ati++++=the
body ^nn++++=body
of ^in++++=of
a ^at++++=a
mule ^nn++++=mule,
, ^zz++++=EXTRAWORD
saw ^j+++xvbn+=saw
everything ^pn++++=everything
and ^cc++++=and
brought ^vbd+++xvbn+=brought
us ^pp1o+pp1+++=us
the ^ati++++=the
account ^nn++++=account.
. ^zz++++=EXTRAWORD
Harry ^np++++=Harry
lived ^vbd+++xvbn+=lived
for ^in+ppvb+++=for
nearly ^rb+down+++=nearly
an ^at++++=an
hour ^nn++++=hour.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
no ^at++++=no
priest ^nn++++=priest,
, ^zz++++=EXTRAWORD
no ^at++++=no
morphia ^nn++++=morphia,
, ^zz++++=EXTRAWORD
no ^at++++=no
water ^nn++++=water.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
asked ^vbd+vsua++xvbnx+=asked
twice ^rb++++=twice
whether ^cs+who+++=whether
the ^ati++++=the
women ^nns++++=women
of ^in++++=of
the ^ati++++=the
mission ^nn++++=mission
had ^vbd+hvd+aux++=had
escaped ^vprf+++xvbnx+=escaped,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
once ^rb+cnj+++=once,
, ^zz++++=EXTRAWORD
very ^ql+amp+++=very
quietly ^rb+cnj+++=quietly,
, ^zz++++=EXTRAWORD
for ^in++++=for
our ^pp$+pp1+++=our
mother ^nn++++=mother.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
last ^rb++++=last
detail ^nn++++=detail
undid ^vbd+++xvbn+=undid
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Death ^nn++++=Death
in ^in++++=in
the ^ati++++=the
abstract ^nn++++=abstract
has ^vbz+hvz+vrb++=has
a ^at++++=a
certain ^jj+atrb+++=certain
Roman ^jj+atrb+++=Roman
dignity ^nn+nom+++=dignity.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
writes ^vbz+vprv+++=writes
mors ^&fw++++=mors
ultima ^nn+++??+=ultima
linea ^nn+++??+=linea
rerum ^nn+++??+=rerum
beneath ^in+pl+++=beneath
an ^at++++=an
engraving ^nn++++=engraving
and ^cc++++=and
believes ^vbz+vprv+tht0++=believes
oneself ^ppl++++=oneself
reconciled ^vbd+++xvbn+=reconciled
to ^in++++=to
law ^nn++++=law.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
particular ^jj+atrb+++=particular
death ^nn++++=death
the ^ati++++=the
broken ^jj+atrb++xvbn+=broken
teeth ^nns++++=teeth,
, ^zz++++=EXTRAWORD
the ^ati++++=the
dust ^nn++++=dust
adhering ^vwbg+++xvbg+=adhering
to ^in++++=to
blood ^nn++++=blood,
, ^zz++++=EXTRAWORD
the ^ati++++=the
flies ^nns++++=flies
investigating ^vwbg+++xvbg+=investigating
an ^at++++=an
eyelid ^nn+++??+=eyelid,
, ^zz++++=EXTRAWORD
the ^ati++++=the
beloved ^jj+atrb+++=beloved
voice ^nn++++=voice
asking ^vwbg+vsua++xvbg+=asking
for ^in++++=for
one ^cd1++++=one
who ^whp+who+++=who
cannot ^md+pos+not++=cannot
answer ^vb++++=answer
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
no ^at++++=no
abstraction ^nn+nom+++=abstraction.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
an ^at++++=an
indecency ^nn++++=indecency
committed ^vbd+++xvbn+=committed
upon ^in++++=upon
the ^ati++++=the
entire ^jjb++++=entire
past ^jjb++++=past.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
summer ^nn++++=summer
morning ^nn++++=morning
of ^in++++=of
our ^pp$+pp1+++=our
childhood ^nn+nom+++=childhood
became ^vbd+++xvbn+=became,
, ^zz++++=EXTRAWORD
in ^in++++=in
retrospect ^nn++++=retrospect,
, ^zz++++=EXTRAWORD
an ^at++++=an
accomplice ^nn++++=accomplice
in ^cs+sub+++=in
that ^cs"++++=that
ditch ^nn++++=ditch.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
business ^nns+nom+++=business
had ^vb+hv+vrb++=had
the ^ati++++=the
sun ^nn++++=sun
to ^to++++=to
shine ^vbi++++=shine
upon ^in++++=upon
us ^pp1o+pp1+++=us
at ^in++++=at
twelve ^cd++++=twelve
if ^cs+cnd+++=if
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
also ^rb++++=also
to ^to++++=to
shine ^vbi++++=shine
upon ^in++++=upon
Harry ^np++++=Harry
at ^in++++=at
thirty ^cd++++=thirty-four
- ^zz++++=EXTRAWORD
four ^cd++++=EXTRAWORD
while ^cs+sub+++=while
he ^pp3a+pp3+++=he
bled ^vbd+++xvbnx+=bled
among ^in++++=among
burst ^nn+++xvbn+=burst
medicine ^nn++++=medicine-bottles?
- ^zz++++=EXTRAWORD
bottles ^nns++++=EXTRAWORD
? ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
friends ^nns++++=friends
offered ^vbd+++xvbn+=offered
the ^ati++++=the
customary ^jj+atrb+++=customary
anodynes ^nns+++??+=anodynes.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
died ^vprf+++xvbnx+=died
in ^in++++=in
a ^at++++=a
noble ^jj+atrb+++=noble
cause ^nn++++=cause;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
example ^nn++++=example
would ^md+prd+++=would
bear ^vb+vprv+++=bear
fruit ^nn++++=fruit;
; ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
his ^pp$+pp3+++=his
sacrifice ^nn++++=sacrifice
had ^vb+hv+aux++=had
already ^rb++splt++=already
softened ^vprf+++xvbnx+=softened
hostile ^jj+atrb+++=hostile
hearts ^nns++++=hearts.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
tried ^vbd+++xvbnx+=tried
not ^xnot++not++=not
to ^to++++=to
resent ^vbi++++=resent
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
A ^at++++=A
platitude ^nn++++=platitude
is ^vbz+bez+vrb++=is
often ^rb++++=often
merely ^rb+down+++=merely
a ^at++++=a
truth ^nn++++=truth
delivered ^vwbn+++xvbn+=delivered
before ^in++++=before
its ^pp$+it+++=its
hour ^nn++++=hour.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
in ^in++++=in
this ^dt+dem+++=this
case ^nn++++=case
the ^ati++++=the
words ^nns++++=words
seemed ^vbd+seem++xvbn+=seemed
not ^xnot++not++=not
premature ^jj++++=premature
but ^cc+phrs+++=but
monstrous ^jj++++=monstrous.
. ^zz++++=EXTRAWORD
Harry ^np++++=Harry
had ^vb+hv+aux++=had
not ^xnot++not++=not
been ^vprf+ben+vrb+xvbn+=been
a ^at++++=a
counter ^nn++++=counter
in ^in++++=in
some ^dti++++=some
celestial ^jj+atrb+++=celestial
game ^nn++++=game,
, ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi+vbi+aux++=be
surrendered ^vpsv++agls+xvbnx+=surrendered
for ^in++++=for
an ^at++++=an
advantage ^nn+nom+++=advantage
visible ^jj++++=visible
only ^rb+down+++=only
to ^in++++=to
the ^ati++++=the
Player ^nn++++=Player.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
omnipotence ^nn+nom+++=omnipotence
desired ^vbd+vsua++xvbn+=desired
softened ^jj+atrb++xvbn+=softened
hearts ^nns++++=hearts,
, ^zz++++=EXTRAWORD
omnipotence ^nn+nom+++=omnipotence
might ^md+pos+++=might
soften ^vb++++=soften
them ^pp3o+pp3+++=them
without ^in++++=without
first ^rb++++=first
breaking ^vbg+++xvbg+=breaking
his ^pp$+pp3+++=his
body ^nn++++=body.
. ^zz++++=EXTRAWORD
For ^in++++=For
several ^ap++++=several
months ^nns++++=months
I ^pp1a+pp1+++=I
retained ^vbd+++xvbnx+=retained
a ^at++++=a
formal ^jj+atrb+++=formal
belief ^nn++++=belief
in ^in++++=in
God ^np++++=God
while ^cs+sub+++=while
denying ^vbg+vpub++xvbg+=denying,
, ^zz++++=EXTRAWORD
with ^in++++=with
increasing ^xvbg+++xvbg+=increasing
vehemence ^nn+nom+++=vehemence,
, ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
goodness ^nns+nom+++=goodness.
. ^zz++++=EXTRAWORD
The ^ati++++=The
distinction ^nn+nom+++=distinction
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important.
. ^zz++++=EXTRAWORD
Atheism ^np+nom++??+=Atheism
would ^md+prd+++=would
have ^vb+hv+aux++=have
relieved ^vprf+++xvbnx+=relieved
me ^pp1o+pp1+++=me
of ^in++++=of
an ^at++++=an
enemy ^nn++++=enemy;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
so ^rb+emph+++=so
fortunate ^jj++++=fortunate.
. ^zz++++=EXTRAWORD
The ^ati++++=The
universe ^nn++++=universe
appeared ^vbd+seem++xvbn+=appeared
far ^rb+pl+++=far
too ^rb++++=too
intricate ^jj++++=intricate,
, ^zz++++=EXTRAWORD
too ^ql++++=too
mathematical ^jj++++=mathematical,
, ^zz++++=EXTRAWORD
too ^ql++++=too
prodigal ^jj++++=prodigal
in ^in++++=in
cunning ^nn++++=cunning,
, ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi++vrb++=be
fatherless ^jj+pred+++=fatherless.
. ^zz++++=EXTRAWORD
Consider ^nn+nom+++=Consider
the ^ati++++=the
spiral ^nn++++=spiral
of ^in++++=of
a ^at++++=a
nebula ^nn+++??+=nebula,
, ^zz++++=EXTRAWORD
the ^ati++++=the
valves ^nns++++=valves
of ^in++++=of
the ^ati++++=the
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
the ^ati++++=the
eye ^nn++++=eye
of ^in++++=of
a ^at++++=a
moth ^nn++++=moth,
, ^zz++++=EXTRAWORD
the ^ati++++=the
migratory ^jj+atrb+++=migratory
instinct ^nn++++=instinct
that ^tht+rel+subj++=that
conducts ^vbz++++=conducts
a ^at++++=a
frail ^jj+atrb+++=frail
bird ^nn++++=bird
across ^in+pl+++=across
black ^jj+atrb+++=black
leagues ^nns++++=leagues
of ^in++++=of
sea ^nn++++=sea.
. ^zz++++=EXTRAWORD
Everywhere ^rb++++=Everywhere
intelligence ^nn+nom+++=intelligence;
; ^zz++++=EXTRAWORD
everywhere ^rb++++=everywhere
design ^nn++++=design.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
turned ^vbd+++xvbnx+=turned
from ^in++++=from
the ^ati++++=the
instrument ^nn+nom+++=instrument
to ^in++++=to
the ^ati++++=the
purpose ^nn++++=purpose
for ^in++++=for
which ^whp+rel+pied++=which
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
employed ^vpsv++agls+xvbnx+=employed,
, ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what
did ^vbd+dod+aux++=did
I ^pp1a+pp1+++=I
find ^vb+vprv+++=find?
? ^zz++++=EXTRAWORD
Teeth ^nns++++=Teeth,
, ^zz++++=EXTRAWORD
talons ^nns+++??+=talons,
, ^zz++++=EXTRAWORD
venom ^nn++++=venom,
, ^zz++++=EXTRAWORD
famine ^nn++++=famine;
; ^zz++++=EXTRAWORD
the ^ati++++=the
ichneumon ^nn+++??+=ichneumon
laying ^vwbg+++xvbg+=laying
its ^pp$+it+++=its
eggs ^nns++++=eggs
in ^in++++=in
the ^ati++++=the
living ^jj+atrb++xvbg+=living
caterpillar ^nn++++=caterpillar;
; ^zz++++=EXTRAWORD
the ^ati++++=the
cat ^nn++++=cat
prolonging ^vwbg+++xvbg+=prolonging
the ^ati++++=the
agony ^nn++++=agony
of ^in++++=of
the ^ati++++=the
mouse ^nn++++=mouse;
; ^zz++++=EXTRAWORD
children ^nns++++=children
born ^vwbn+++xvbn+=born
deformed ^vprf+++xvbn+=deformed;
; ^zz++++=EXTRAWORD
cities ^nns++++=cities
shaken ^vwbn+++xvbn+=shaken
down ^rp++++=down
at ^rb++++=at
dawn ^nn++++=dawn;
; ^zz++++=EXTRAWORD
pestilence ^nn+nom+++=pestilence
entering ^vwbg+++xvbg+=entering
by ^in++++=by
the ^ati++++=the
same ^ap++++=same
air ^nn++++=air
that ^tht+rel+subj++=that
carries ^vbz++++=carries
the ^ati++++=the
scent ^nn++++=scent
of ^in++++=of
hawthorn ^nn++++=hawthorn.
. ^zz++++=EXTRAWORD
Nature ^nn++++=Nature
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
careless ^jj++++=careless.
. ^zz++++=EXTRAWORD
Carelessness ^nns+nom+++=Carelessness
might ^md+pos+++=might
have ^vb+hv+aux++=have
left ^vprf+++xvbnx+=left
gaps ^nns++++=gaps
through ^in++++=through
which ^whp+rel+pied++=which
mercy ^nn++++=mercy
could ^md+pos+++=could
enter ^vb++++=enter.
. ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
the ^ati++++=the
engine ^nn++++=engine
was ^vbd+bedz+vrb++=was
exact ^jj+pred+++=exact.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
I ^pp1a+pp1+++=I
came ^vbd+++xvbnx+=came
to ^to++++=to
imagine ^vbi+vprv+++=imagine
a ^at++++=a
supreme ^jj+atrb+++=supreme
Artificer ^np+nom++??+=Artificer
whose ^whp+rel+obj++=whose
wisdom ^nn++++=wisdom
was ^vbd+bedz+vrb++=was
infinite ^jj+pred+++=infinite
and ^cc++++=and
whose ^whp+rel+obj++=whose
delight ^nn++++=delight
was ^vbd+bedz+vrb++=was
cruelty ^nn++++=cruelty.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
will ^md+prd+++=will
say ^vb+vpub+++=say
that ^tht+vcmp+++=that
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
grief ^nn++++=grief
speaking ^vwbg+++xvbg+=speaking.
. ^zz++++=EXTRAWORD
