Ivan ^np++++=Ivan
wing ^nn++++=wing.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
took ^vbd+++xvbnx+=took
off ^rb+phrv+++=off
his ^pp$+pp3+++=his
cap ^nn++++=cap
and ^cc++++=and
bent ^vbd+++xvbn+=bent
his ^pp$+pp3+++=his
head ^nn++++=head
toward ^in++++=toward
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
" ^zz++++="Look
look ^vb++++=EXTRAWORD
well ^jj+pred+++=well,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
one ^cd1++++=one
grey ^jj+atrb+++=grey
hair ^nn++++=hair.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
dream ^nn++++=dream
means ^nns++++=means
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
return ^vb++++=return
with ^in++++=with
great ^jj+atrb+++=great
profit ^nn++++=profit."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
wife ^nn++++=wife
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
smile ^nn++++=smile.
. ^zz++++=EXTRAWORD
" ^zz++++="Stay
stay ^vb++++=EXTRAWORD
one ^cd1++++=one
more ^rbr++++=more
day ^nn++++=day,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Aksionov ^np+++??+=Aksionov
kissed ^vbd+++xvbn+=kissed
her ^pp$+pp3+++=her
and ^cc++++=and
the ^ati++++=the
children ^nns++++=children,
, ^zz++++=EXTRAWORD
climbed ^j+++xvbn+=climbed
into ^in++++=into
his ^pp$+pp3+++=his
cart ^nn++++=cart,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
set ^nn+++xvbn+=set
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
travelled ^vbd+++xvbnx+=travelled
all ^abn++++=all
day ^nn++++=day
and ^cc++++=and
stopped ^vpsv++agls+xvbn+=stopped
toward ^in++++=toward
evening ^nn++++=evening
at ^in++++=at
an ^at++++=an
inn ^nn++++=inn.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There
he ^pp3a+pp3+++=he
met ^vbd+++xvbnx+=met
another ^dt++++=another
merchant ^nn+nom+++=merchant
whom ^whp+rel+obj++=whom
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
drank ^vbd+++xvbnx+=drank
tea ^nn++++=tea
together ^nn+nom+++=together
beside ^in+pl+++=beside
the ^ati++++=the
samovar ^nn+++??+=samovar,
, ^zz++++=EXTRAWORD
spoke ^j+++xvbn+=spoke
about ^in++++=about
the ^ati++++=the
fair ^jj++++=fair
and ^cc++++=and
the ^ati++++=the
prices ^nns++++=prices
of ^in++++=of
goods ^nns++++=goods,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
went ^vbd+++xvbn+=went
to ^to++++=to
sleep ^vbi++++=sleep
in ^in++++=in
neighbouring ^jj+atrb+++=neighbouring
rooms ^nns++++=rooms.
. ^zz++++=EXTRAWORD
Aksionov ^np+++??+=Aksionov
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
a ^at++++=a
heavy ^jj++++=heavy
sleeper ^jjr++++=sleeper.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
liked ^vbd+++xvbnx+=liked
to ^to+vcmp+++=to
travel ^vbi++++=travel
in ^in++++=in
the ^ati++++=the
cool ^nn++++=cool
of ^in++++=of
the ^ati++++=the
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
before ^cs+sub+++=before
dawn ^nn++++=dawn
he ^pp3a+pp3+++=he
rose ^vbd+++xvbnx+=rose,
, ^zz++++=EXTRAWORD
paid ^j+++xvbn+=paid
the ^ati++++=the
innkeeper ^nn+nom+++=innkeeper,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ordered ^vbd+vsua+tht0+xvbn+=ordered
his ^pp$+pp3+++=his
driver ^vb++++=driver
to ^to+vcmp+++=to
harness ^nns+nom+++=harness
the ^ati++++=the
horses ^nns++++=horses.
. ^zz++++=EXTRAWORD
The ^ati++++=The
other ^ap++++=other
merchant ^nn+nom+++=merchant
was ^vbd+bedz+vrb++=was
still ^rb+atrb+++=still
asleep ^jj+pred+++=asleep,
, ^zz++++=EXTRAWORD
so ^ql++++=so
Aksionov ^np+++??+=Aksionov
did ^vbd+dod+aux++=did
not ^xnot++not++=not
disturb ^vb++++=disturb
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
After ^in++++=After
travelling ^nn++++=travelling
about ^in++++=about
twenty ^cd++++=twenty-five
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
miles ^nns++++=miles,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
stopped ^vbd+++xvbnx+=stopped
at ^rb++++=at
a ^at++++=a
roadside ^nn++++=roadside
tavern ^nn++++=tavern
to ^in++++=to
rest ^nn++++=rest
the ^ati++++=the
horses ^nns++++=horses.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
sat ^vbd+++xvbnx+=sat
on ^in++++=on
the ^ati++++=the
porch ^nn++++=porch,
, ^zz++++=EXTRAWORD
ordered ^jj+atrb++xvbn+=ordered
tea ^nn++++=tea,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
took ^vbd+++xvbn+=took
out ^rp+pl+++=out
his ^pp$+pp3+++=his
guitar ^nn++++=guitar.
. ^zz++++=EXTRAWORD
The ^ati++++=The
morning ^nn++++=morning
was ^vbd+bedz+vrb++=was
bright ^jj+pred+++=bright,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
began ^vbd+++xvbnx+=began
to ^to++++=to
sing ^vbi++++=sing
quietly ^rb++++=quietly.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
a ^at++++=a
troika ^nn++++=troika
drove ^vbd+++xvbn+=drove
up ^rp++++=up.
. ^zz++++=EXTRAWORD
An ^at++++=An
official ^nn++++=official
in ^in++++=in
uniform ^nn++++=uniform
got ^vbd+++xvbn+=got
out ^rb+phrv+++=out
with ^in++++=with
two ^cd++++=two
soldiers ^nns+nom+++=soldiers.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
came ^vbd+++xvbnx+=came
to ^in++++=to
Aksionov ^np+++??+=Aksionov
and ^cc++++=and
asked ^vprf+++xvbn+=asked
who ^whp+wpr+whcl++=who
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
spent ^vprf+++xvbnx+=spent
the ^ati++++=the
night ^nn++++=night,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
left ^vprf+++xvbnx+=left
the ^ati++++=the
inn ^nn++++=inn.
. ^zz++++=EXTRAWORD
Aksionov ^np+++??+=Aksionov
answered ^vbd+vpub++xvbn+=answered
readily ^rb++++=readily.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
even ^cs+sub+++=even
invited ^vprf+++xvbn+=invited
the ^ati++++=the
official ^jj++++=official
to ^to++++=to
drink ^vbi++++=drink
tea ^nn++++=tea
with ^in++++=with
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
man ^nn++++=man
went ^vbd+++xvbn+=went
on ^in++++=on
asking ^xvbg+++xvbg+=asking
questions ^nns+nom+++=questions.
. ^zz++++=EXTRAWORD
" ^zz++++="Were
were ^vbd+bed+vrb++=EXTRAWORD
you ^pp2+pp2+++=you
alone ^rb++++=alone
at ^rb++++=at
the ^ati++++=the
inn ^nn++++=inn?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No.
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Another ^dt++++=Another
merchant ^nn+nom+++=merchant
stayed ^vbd+++xvbn+=stayed
there ^rn+pl+++=there."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Did
did ^vbd+dod+aux++=EXTRAWORD
you ^pp2+pp2+++=you
see ^vb+vprv+++=see
him ^pp3o+pp3+++=him
this ^dt+dem+++=this
morning ^nn++++=morning?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No.
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
left ^vbd+++xvbnx+=left
before ^in++++=before
dawn ^nn++++=dawn."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+++=EXTRAWORD
did ^vbd+dod+vrb++=did
you ^pp2+pp2+++=you
leave ^vb++++=leave
so ^ql+emph+++=so
early ^jj++++=early?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
always ^rb++++=always
travel ^vb++++=travel
while ^cs+sub+++=while
the ^ati++++=the
air ^nn++++=air
is ^vbz+bez+aux++=is
cool ^vb++++=cool."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Aksionov ^np+++??+=Aksionov
tried ^vbd+++xvbn+=tried
to ^to+vcmp+++=to
smile ^vbi++++=smile,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
official ^nn++++=official
watched ^vbd+++xvbn+=watched
him ^pp3o+pp3+++=him
closely ^rb++++=closely.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
the ^ati++++=the
police ^nns++++=police
officer ^nn++++=officer
of ^in++++=of
the ^ati++++=the
district ^nn++++=district.
. ^zz++++=EXTRAWORD
The ^ati++++=The
merchant ^nn+nom+++=merchant
who ^whp+rel+subj++=who
slept ^vbd+++xvbn+=slept
near ^rb++++=near
you ^pp2+pp2+++=you
was ^vbd+bedz+aux++=was
found ^vpsv++agls+xvbnx+=found
this ^dt+dem+++=this
morning ^nn++++=morning
with ^in++++=with
his ^pp$+pp3+++=his
throat ^nn++++=throat
cut ^vbd+++xvbn+=cut.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
must ^md+nec+++=must
search ^vb++++=search
your ^pp$+pp2+++=your
belongings ^nns++++=belongings."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Aksionov ^np+++??+=Aksionov
stared ^vbd+++xvbn+=stared
at ^rb++++=at
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="Murdered?"
murdered ^vbd+++xvbn+=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc+cls+++=EXTRAWORD
who ^whp+who+++=who
killed ^vbd+++xvbn+=killed
him ^pp3o+pp3+++=him?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
what ^wdt+who+++=what
we ^pp1a+pp1+++=we
shall ^md+prd+++=shall
discover ^nn+nom+++=discover."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
soldiers ^nns+nom+++=soldiers
opened ^vbd+++xvbn+=opened
Aksionov ^np++++=Aksionov's
's ^$++++=EXTRAWORD
bags ^nns++++=bags
and ^cc++++=and
threw ^vbd+++xvbn+=threw
out ^rb+phrv+++=out
his ^pp$+pp3+++=his
shirts ^nns++++=shirts,
, ^zz++++=EXTRAWORD
boots ^nns++++=boots,
, ^zz++++=EXTRAWORD
papers ^nns++++=papers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
goods ^nns++++=goods.
. ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last
the ^ati++++=the
officer ^npt++++=officer
pulled ^vbd+++xvbn+=pulled
a ^at++++=a
knife ^nn++++=knife
from ^in++++=from
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
bags ^nns++++=bags.
. ^zz++++=EXTRAWORD
The ^ati++++=The
blade ^nn++++=blade
was ^vbd+bedz+aux++=was
stained ^vpsv++agls+xvbnx+=stained
with ^in++++=with
blood ^nn++++=blood.
. ^zz++++=EXTRAWORD
" ^zz++++="Whose
whose ^whp+who+++=EXTRAWORD
knife ^nn++++=knife
is ^vbz+bez+vrb++=is
this ^dt+pdem+++=this?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
Aksionov ^np+++??+=Aksionov
looked ^vbd+++xvbn+=looked
at ^rb++++=at
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
face ^nn++++=face
became ^vbd+++xvbn+=became
pale ^nn++++=pale,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
hands ^nns++++=hands
shook ^vbd+++xvbn+=shook.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
mine ^nn++++=mine,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
The ^ati++++=The
officer ^npt++++=officer
held ^vbd+vprv++xvbn+=held
the ^ati++++=the
knife ^nn++++=knife
before ^in++++=before
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
room ^nn++++=room
was ^vbd+bedz+aux++=was
locked ^vpsv++agls+xvbnx+=locked
from ^in++++=from
within ^in+strn+++=within.
. ^zz++++=EXTRAWORD
No ^at++++=No
one ^cd1++++=one
but ^cc++++=but
you ^pp2+pp2+++=you
could ^md+pos+++=could
have ^vb+hv+aux++=have
entered ^vprf+++xvbnx+=entered.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
left ^vbd+++xvbn+=left
before ^in++++=before
dawn ^nn++++=dawn,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
this ^dt+dem+++=this
bloody ^jj+atrb+++=bloody
knife ^nn++++=knife
was ^vbd+bedz+aux++=was
hidden ^vpsv++agls+xvbnx+=hidden
in ^in++++=in
your ^pp$+pp2+++=your
luggage ^nn+nom+++=luggage.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
also ^rb++++=also
have ^vb+hv+vrb++=have
money ^nn++++=money.
. ^zz++++=EXTRAWORD
Tell ^vb++++=Tell
me ^pp1o+pp1+++=me
the ^ati++++=the
truth ^nn++++=truth.
. ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
did ^vbd+dod+vrb++=did
you ^pp2+pp2+++=you
kill ^vb++++=kill
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
how ^wrb+who+++=how
much ^rb++++=much
did ^vbd+dod+aux++=did
you ^pp2+pp2+++=you
steal ^vb++++=steal?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
did ^vbd+dod+aux++=did
not ^xnot++not++=not
kill ^vb++++=kill
him ^pp3o+pp3+++=him,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Aksionov ^np+++??+=Aksionov.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
money ^nn++++=money
is ^vbz+bez+vrb++=is
my ^pp$+pp1+++=my
own ^ap++++=own
eight ^cd++++=eight
thousand ^cd++++=thousand
rubles ^nns+++??+=rubles.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
never ^rb++splt++=never
seen ^vprf+++xvbnx+=seen
that ^tht+vcmp+++=that
knife ^nn++++=knife."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
his ^pp$+pp3+++=his
voice ^nn++++=voice
broke ^vbd+++xvbn+=broke,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
trembled ^vbd+++xvbnx+=trembled
so ^pn++++=so
badly ^rb++++=badly
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
seemed ^vbd+seem++xvbnx+=seemed
guilty ^jj++++=guilty.
. ^zz++++=EXTRAWORD
The ^ati++++=The
officer ^npt++++=officer
ordered ^vbd+vsua++xvbn+=ordered
the ^ati++++=the
soldiers ^nns+nom+++=soldiers
to ^to++++=to
bind ^vbi++++=bind
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
As ^ql++++=As
they ^pp3a+pp3+++=they
tied ^vbd+++xvbnx+=tied
his ^pp$+pp3+++=his
hands ^nns++++=hands
and ^cc++++=and
put ^vb+++xvbn+=put
him ^pp3o+pp3+++=him
in ^in++++=in
the ^ati++++=the
troika ^nn++++=troika,
, ^zz++++=EXTRAWORD
Aksionov ^np+++??+=Aksionov
crossed ^vbd+++xvbn+=crossed
himself ^ppl+pp3+++=himself
and ^cc++++=and
wept ^vbd+++xvbn+=wept.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
money ^nn++++=money
and ^cc++++=and
goods ^nns++++=goods
were ^vbd+bed+aux++=were
taken ^vpsv++agls+xvbnx+=taken
from ^in++++=from
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
carried ^vpsv++agls+xvbnx+=carried
to ^in++++=to
the ^ati++++=the
nearest ^jjt+atrb+++=nearest
town ^nn++++=town
and ^cc++++=and
put ^vpsv++agls+xvbn+=put
in ^rb+phrv+++=in
prison ^nn++++=prison.
. ^zz++++=EXTRAWORD
People ^nns++++=People
were ^vbd+bed+aux++=were
questioned ^vpsv++agls+xvbnx+=questioned
in ^in++++=in
Vladimir ^np+++??+=Vladimir.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
said ^vbd+vpub++xvbnx+=said
that ^tht+vcmp+++=that
Aksionov ^np+++??+=Aksionov
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
been ^vprf+ben+vrb+xvbnx+=been
fond ^jj++++=fond
of ^in++++=of
drinking ^xvbg+++xvbg+=drinking,
, ^zz++++=EXTRAWORD
but ^cs+sub+++=but
that ^cs"++++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
a ^at++++=a
good ^jj+atrb+++=good
man ^nn++++=man
and ^cc++++=and
honest ^jj++++=honest
in ^in++++=in
business ^nns+nom+++=business.
. ^zz++++=EXTRAWORD
None ^pn++++=None
of ^in++++=of
this ^dt+dem+++=this
helped ^jj+++xvbn+=helped
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
charged ^vpsv++agls+xvbnx+=charged
with ^in++++=with
murdering ^xvbg+++xvbg+=murdering
the ^ati++++=the
merchant ^nn+nom+++=merchant
and ^cc++++=and
stealing ^nvbg+++xvbg+=stealing
twenty ^cd++++=twenty
thousand ^cd++++=thousand
rubles ^nns+++??+=rubles.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
wife ^nn++++=wife
did ^vbd+dod+aux++=did
not ^xnot++not++=not
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
to ^to++++=to
believe ^vbi+vprv+++=believe.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
children ^nns++++=children
were ^vbd+bed+vrb++=were
still ^rb+atrb+++=still
small ^jj+pred+++=small,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
youngest ^jjt++++=youngest
was ^vbd+bedz+vrb++=was
at ^rb++++=at
her ^pp3o+pp3+++=her
breast ^nn++++=breast.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
took ^vbd+++xvbnx+=took
them ^pp3o+pp3+++=them
with ^in++++=with
her ^pp$+pp3+++=her
and ^cc++++=and
travelled ^vpsv++agls+xvbn+=travelled
to ^in++++=to
the ^ati++++=the
town ^nn++++=town
where ^wrb+who+++=where
her ^pp$+pp3+++=her
husband ^nn++++=husband
was ^vbd+bedz+aux++=was
imprisoned ^vpsv++agls+xvbnx+=imprisoned.
. ^zz++++=EXTRAWORD
At ^rb++++=At
first ^rb"++++=first
the ^ati++++=the
guards ^nns++++=guards
would ^md+prd+++=would
not ^xnot++not++=not
let ^vb+++xvbn+=let
her ^pp$+pp3+++=her
see ^vb+vprv+++=see
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
begged ^vbd+++xvbnx+=begged
them ^pp3o+pp3+++=them
until ^cs+sub+++=until
at ^rb++++=at
last ^rb"++++=last
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
taken ^vpsv++agls+xvbnx+=taken
into ^in++++=into
the ^ati++++=the
prison ^nn++++=prison
