# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
upon ^in++++=upon
its ^pp$+it+++=its
appointed ^vbd+++xvbn+=appointed
beat ^nn+++xvbn+=beat.
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
admirable ^jj++++=admirable,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
thought ^nn+++xvbn+=thought
the ^ati++++=the
Music ^nn++++=Music-Lover,
- ^zz++++=EXTRAWORD
lover ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++="is
is ^vbz+bez+vrb++=EXTRAWORD
command ^nn++++=command!
! ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
are ^vb+ber+vrb++=are
a ^at++++=a
hundred ^cd++++=hundred
wills ^nns++++=wills
surrendered ^vbd+++xvbn+=surrendered
to ^to++++=to
one ^pn++++=one;
; ^zz++++=EXTRAWORD
a ^at++++=a
hundred ^cd++++=hundred
hands ^nns++++=hands
performing ^vwbg+++xvbg+=performing
one ^cd1++++=one
intention ^nn+nom+++=intention.
. ^zz++++=EXTRAWORD
No ^at++++=No
argument ^nn+nom+++=argument,
, ^zz++++=EXTRAWORD
no ^at++++=no
hesitation ^nn+nom+++=hesitation,
, ^zz++++=EXTRAWORD
no ^at++++=no
vanity ^nn++++=vanity
interrupts ^nns+++??+=interrupts
the ^ati++++=the
design ^nn++++=design.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
men ^nns++++=men
could ^md+pos+++=could
be ^vb+be+aux++=be
governed ^vpsv++agls+xvbnx+=governed
thus ^rb+cnj+++=thus,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
nations ^nns+nom+++=nations
could ^md+pos+++=could
hear ^vb+vprv+++=hear
one ^cd1++++=one
pulse ^nn++++=pulse,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
simple ^jj++++=simple
would ^md+prd+++=would
become ^vb++++=become
the ^ati++++=the
world ^nn++++=world!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
But ^cc++++=But
even ^rb++++=even
as ^ql++++=as
his ^pp$+pp3+++=his
inner ^jjb+atrb+++=inner
voice ^nn++++=voice
pronounced ^vbd+++xvbn+=pronounced
the ^ati++++=the
thought ^nn+++xvbn+=thought,
, ^zz++++=EXTRAWORD
the ^ati++++=the
music ^nn++++=music
contradicted ^vbd+++xvbn+=contradicted
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
Allegro ^jj++++=Allegro
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
simple ^jj+atrb+++=simple
obedience ^nn+nom+++=obedience.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
wrestled ^vbd+++xvbn+=wrestled;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
questioned ^vbd+vpub++xvbn+=questioned;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
driven ^vpsv++agls+xvbnx+=driven
backward ^jj++++=backward,
, ^zz++++=EXTRAWORD
gathered ^j+++xvbn+=gathered
itself ^ppl++++=itself,
, ^zz++++=EXTRAWORD
struck ^j+++xvbn+=struck
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
The ^ati++++=The
famous ^jj+atrb+++=famous
summons ^nn++++=summons
passed ^vbd+++xvbn+=passed
from ^in++++=from
strings ^nns++++=strings
to ^in++++=to
wood ^nn++++=wood-wind,
- ^zz++++=EXTRAWORD
wind ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
from ^in++++=from
horns ^nns++++=horns
to ^in++++=to
the ^ati++++=the
dark ^jj+atrb+++=dark
foundations ^nns+nom+++=foundations
of ^in++++=of
the ^ati++++=the
basses ^nns++++=basses,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
each ^dt++++=each
utterance ^nn+nom+++=utterance
changed ^vbd+++xvbn+=changed
the ^ati++++=the
challenge ^vb++++=challenge
while ^cs+sub+++=while
preserving ^vbg+++xvbg+=preserving
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
orchestra ^nn++++=orchestra
did ^vbd+dod+aux++=did
not ^xnot++not++=not
merely ^rb+down+++=merely
repeat ^vb++++=repeat:
: ^zz++++=EXTRAWORD
it ^pp3+it+++=it
remembered ^vbd+vprv++xvbn+=remembered,
, ^zz++++=EXTRAWORD
resisted ^j+++xvbn+=resisted,
, ^zz++++=EXTRAWORD
transformed ^xvbn+++xvbn+=transformed.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Conductor ^np++++=Conductor's
's ^$++++=EXTRAWORD
hand ^nn++++=hand
did ^vbd+dod+aux++=did
not ^xnot++not++=not
compel ^vb++++=compel
the ^ati++++=the
storm ^nn++++=storm.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
listened ^vbd+++xvbn+=listened
to ^in++++=to
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
he ^pp3a+pp3+++=he
restrained ^vbd+++xvbnx+=restrained
the ^ati++++=the
violins ^nns++++=violins
with ^in++++=with
a ^at++++=a
curved ^jj+atrb+++=curved
palm ^nn++++=palm;
; ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
he ^pp3a+pp3+++=he
beckoned ^vbd+++xvbnx+=beckoned
a ^at++++=a
phrase ^nn++++=phrase
from ^in++++=from
the ^ati++++=the
violas ^nns++++=violas;
; ^zz++++=EXTRAWORD
now ^rn+dspt+++=now,
, ^zz++++=EXTRAWORD
turning ^nvbg+++xvbg+=turning
swiftly ^rb+cnj+++=swiftly,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
awakened ^vbd+++xvbnx+=awakened
the ^ati++++=the
brass ^nn++++=brass.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
authority ^nn+nom+++=authority
lay ^vbd+++xvbn+=lay
less ^rbr++++=less
in ^in++++=in
forcing ^nn++++=forcing
than ^in++++=than
in ^in++++=in
knowing ^nn++++=knowing
knowing ^vwbg+vprv++xvbg+=knowing
what ^wdt+who+whcl++=what
each ^dt++++=each
voice ^nn++++=voice
could ^md+pos+++=could
give ^vb++++=give,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
it ^pp3+it+++=it
should ^md+nec+++=should
stand ^vb++++=stand
alone ^rb+cnj+++=alone,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
it ^pp3+it+++=it
must ^md+nec+++=must
yield ^vb++++=yield,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
courage ^nn+nom+++=courage
required ^vbd+++xvbn+=required
restraint ^nn++++=restraint,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
restraint ^nn++++=restraint
itself ^ppl++++=itself
would ^md+prd+++=would
be ^vb+be+vrb++=be
cowardice ^nn++++=cowardice.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Music ^nn++++=Music-Lover
- ^zz++++=EXTRAWORD
lover ^nn++++=EXTRAWORD
leaned ^vbd+++xvbn+=leaned
forward ^rb++++=forward.
. ^zz++++=EXTRAWORD
The ^ati++++=The
machine ^nn++++=machine
had ^vbd+hvd+aux++=had
begun ^vprf+++xvbnx+=begun
to ^to++++=to
breathe ^vbi++++=breathe.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
first ^od++++=first
movement ^nn+nom+++=movement
ended ^vbd+++xvbn+=ended,
, ^zz++++=EXTRAWORD
silence ^nn+nom+++=silence
remained ^vbd+++xvbn+=remained
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment
like ^in++++=like
smoke ^nn++++=smoke
after ^in++++=after
battle ^nn++++=battle.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Music ^nn++++=Music-Lover,
- ^zz++++=EXTRAWORD
lover ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
entered ^vprf+++xvbnx+=entered
wishing ^vbg+++xvbg+=wishing
to ^to+vcmp+++=to
escape ^vbi++++=escape
mankind ^nn++++=mankind,
, ^zz++++=EXTRAWORD
found ^j+++xvbn+=found
himself ^ppl+pp3+++=himself
looking ^vbg+++xvbg+=looking
not ^xnot++not++=not
at ^in++++=at
the ^ati++++=the
Conductor ^nn++++=Conductor,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
at ^in++++=at
the ^ati++++=the
musicians ^nns++++=musicians.
. ^zz++++=EXTRAWORD
# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Ii ^np+++??+=II
**andante ^nn+++??+=**Andante
con ^np++++=con
moto** ^nn+++??+=moto**
The ^ati++++=The
Andante ^np+++??+=Andante
opened ^vbd+++xvbn+=opened
a ^at++++=a
gentler ^jjr+atrb+++=gentler
country ^nn++++=country.
. ^zz++++=EXTRAWORD
After ^in++++=After
the ^ati++++=the
rock ^nn++++=rock
and ^cc++++=and
lightning ^nn++++=lightning
of ^in++++=of
the ^ati++++=the
first ^od++++=first
movement ^nn+nom+++=movement
came ^vbd+++xvbn+=came
broad ^jj+atrb+++=broad
roads ^nns++++=roads
under ^in++++=under
a ^at++++=a
grave ^jj+atrb+++=grave
sky ^nn++++=sky,
, ^zz++++=EXTRAWORD
processions ^nns++++=processions
moving ^vwbg+++xvbg+=moving
with ^in++++=with
measured ^nn++++=measured
step ^vb++++=step,
, ^zz++++=EXTRAWORD
springs ^vbz++++=springs
uncovered ^vbd+++xvbn+=uncovered
among ^in++++=among
stones ^nns++++=stones.
. ^zz++++=EXTRAWORD
The ^ati++++=The
melody ^nn++++=melody
flowed ^vbd+++xvbn+=flowed
not ^xnot++not++=not
as ^in++++=as
water ^nn++++=water
that ^tht+rel+subj++=that
forgets ^vbz++++=forgets
its ^pp$+it+++=its
source ^nn++++=source,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
as ^in++++=as
a ^at++++=a
river ^nn++++=river
bearing ^vwbg+++xvbg+=bearing
memories ^nns++++=memories
village ^nn+nom+++=village
bells ^nns++++=bells,
, ^zz++++=EXTRAWORD
fields ^nns++++=fields
at ^in++++=at
dusk ^nn++++=dusk,
, ^zz++++=EXTRAWORD
banners ^nns+nom+++=banners
once ^rb+tm+++=once
lifted ^vbd+++xvbn+=lifted,
, ^zz++++=EXTRAWORD
names ^nns++++=names
once ^rb+tm+++=once
spoken ^vpsv++by+xvbn+=spoken
by ^in++++=by
beloved ^jj+atrb+++=beloved
voices ^nns++++=voices.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
the ^ati++++=the
Music ^nn++++=Music-Lover
- ^zz++++=EXTRAWORD
lover ^nn++++=EXTRAWORD
watched ^vbd+++xvbn+=watched
the ^ati++++=the
players ^nns+nom+++=players
closely ^rb++++=closely.
. ^zz++++=EXTRAWORD
The ^ati++++=The
first ^od++++=first
violins ^nns++++=violins
carried ^vbd+++xvbn+=carried
the ^ati++++=the
phrase ^nn++++=phrase
with ^in++++=with
a ^at++++=a
refinement ^nn+nom+++=refinement
which ^whp+rel+subj++=which
concealed ^vbd+++xvbn+=concealed
their ^pp$+pp3+++=their
labour ^nn++++=labour.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
bows ^nns++++=bows
did ^vbd+dod+aux++=did
not ^xnot++not++=not
merely ^rb+down+++=merely
rise ^vb++++=rise
together ^nn+nom+++=together;
; ^zz++++=EXTRAWORD
each ^ppls++++=each
rose ^vbd+++xvbn+=rose
from ^in++++=from
a ^at++++=a
different ^jj+atrb+++=different
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
hand ^nn++++=hand
was ^vbd+bedz+vrb++=was
small ^jj+pred+++=small
and ^cc++++=and
brown ^np++++=brown,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
wedding ^nn++++=wedding-ring
- ^zz++++=EXTRAWORD
ring ^nn++++=EXTRAWORD
that ^tht+rel+subj++=that
caught ^vwbn+++xvbn+=caught
the ^ati++++=the
light ^nn++++=light.
. ^zz++++=EXTRAWORD
Another ^dt++++=Another
was ^vbd+bedz+vrb++=was
long ^rb++++=long
and ^cc++++=and
pale ^nn++++=pale,
, ^zz++++=EXTRAWORD
the ^ati++++=the
wrist ^nn++++=wrist
emerging ^vwbg+++xvbg+=emerging
sharply ^rb++++=sharply
from ^in++++=from
a ^at++++=a
frayed ^jj+atrb+++=frayed
cuff ^nn++++=cuff.
. ^zz++++=EXTRAWORD
A ^at++++=A
young ^jj+atrb+++=young
woman ^nn++++=woman
near ^in+pl+++=near
the ^ati++++=the
outer ^jjb+atrb+++=outer
desk ^nn++++=desk
played ^vbd+++xvbn+=played
with ^in++++=with
lips ^nns++++=lips
slightly ^rb+down+++=slightly
parted ^jj+++xvbn+=parted,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
the ^ati++++=the
melody ^nn++++=melody
were ^vbd+bed+vrb++=were
a ^at++++=a
secret ^nn++++=secret
she ^pp3a+pp3+++=she
feared ^vbd+vprv++xvbnx+=feared
to ^to++++=to
lose ^vbi++++=lose.
. ^zz++++=EXTRAWORD
Beside ^in+pl+++=Beside
her ^pp$+pp3+++=her
sat ^vbd+++xvbn+=sat
an ^at++++=an
elderly ^jj+atrb+++=elderly
man ^nn++++=man
whose ^whp+rel+obj++=whose
bald ^jj+atrb+++=bald
head ^nn++++=head
shone ^vbd+++xvbn+=shone
mildly ^rb+down+++=mildly
beneath ^in+pl+++=beneath
the ^ati++++=the
lamps ^nns++++=lamps;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
counted ^vbd+++xvbnx+=counted
the ^ati++++=the
resting ^jj+atrb++xvbg+=resting
bars ^nns++++=bars
with ^in++++=with
