Among ^in++++=Among
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
plates ^nns++++=plates
of ^in++++=of
gold ^nn++++=gold,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
its ^pp$+it+++=its
solemn ^jj+atrb+++=solemn
images ^nns++++=images
of ^in++++=of
saints ^nns++++=saints
and ^cc++++=and
emperors ^nns++++=emperors
were ^vbd+bed+vrb++=were
familiar ^jj+pred+++=familiar
to ^to++++=to
few ^ap++++=few
eyes ^nns++++=eyes;
; ^zz++++=EXTRAWORD
nevertheless ^rb+cnj+++=nevertheless,
, ^zz++++=EXTRAWORD
the ^ati++++=the
humblest ^jjt+atrb+++=humblest
peasant ^nn+nom+++=peasant
knew ^vbd+vprv++xvbn+=knew
that ^tht+vcmp+++=that
where ^wrb+who+++=where
the ^ati++++=the
crown ^nn++++=crown
went ^vbd+++xvbn+=went,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
went ^vbd+++xvbn+=went
a ^at++++=a
formidable ^jj+atrb+++=formidable
portion ^nn+nom+++=portion
of ^in++++=of
lawful ^jj+atrb+++=lawful
kingship ^nn+nom+++=kingship.
. ^zz++++=EXTRAWORD
King ^npt++++=King
Albert ^np++++=Albert
of ^in++++=of
Hungary ^np+nom+++=Hungary
died ^vbd+++xvbn+=died
in ^in++++=in
the ^ati++++=the
year ^nn++++=year
1439 ^cd++++=1439,
, ^zz++++=EXTRAWORD
leaving ^vbg+++xvbg+=leaving
his ^pp$+pp3+++=his
country ^nn++++=country
exposed ^vbd+++xvbn+=exposed
to ^in++++=to
enemies ^nns++++=enemies
without ^in++++=without
and ^cc++++=and
factions ^nns+nom+++=factions
within ^in+strn+++=within.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Ottoman ^np+++??+=Ottoman
power ^nn++++=power
pressed ^vbd+++xvbn+=pressed
upon ^in++++=upon
the ^ati++++=the
southern ^jj+atrb+++=southern
frontier ^nn+nom+++=frontier;
; ^zz++++=EXTRAWORD
the ^ati++++=the
great ^jj+atrb+++=great
lords ^npt++++=lords
distrusted ^vbd+++xvbn+=distrusted
one ^cd1++++=one
another ^dt++++=another;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Queen ^npt++++=Queen
Elizabeth ^np++++=Elizabeth,
, ^zz++++=EXTRAWORD
daughter ^nn+nom+++=daughter
of ^in++++=of
the ^ati++++=the
Emperor ^nn++++=Emperor
Sigismund ^np++++=Sigismund
and ^cc++++=and
widow ^nn++++=widow
of ^in++++=of
Albert ^np++++=Albert,
, ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
no ^at++++=no
living ^jj+atrb++xvbg+=living
son ^nn++++=son.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
with ^in++++=with
child ^nn++++=child.
. ^zz++++=EXTRAWORD
The ^ati++++=The
principal ^jjb+atrb+++=principal
nobles ^nns++++=nobles,
, ^zz++++=EXTRAWORD
unwilling ^jj++++=unwilling
to ^to+jcmp+++=to
entrust ^vbi++++=entrust
the ^ati++++=the
defence ^nn+nom+++=defence
of ^in++++=of
Hungary ^np+nom+++=Hungary
to ^in++++=to
the ^ati++++=the
uncertain ^jj+atrb+++=uncertain
issue ^nn++++=issue
of ^in++++=of
a ^at++++=a
royal ^jj+atrb+++=royal
confinement ^nn+nom+++=confinement,
, ^zz++++=EXTRAWORD
resolved ^vpbn+vsua++xvbn+=resolved
to ^to+vcmp+++=to
invite ^vbi++++=invite
Wladislas ^np+++??+=Wladislas,
, ^zz++++=EXTRAWORD
King ^npt++++=King
of ^in++++=of
Poland ^np++++=Poland,
, ^zz++++=EXTRAWORD
to ^to++++=to
accept ^vbi+vprv+++=accept
both ^abx++++=both
the ^ati++++=the
Hungarian ^jj+atrb+++=Hungarian
throne ^nn++++=throne
and ^cc++++=and
the ^ati++++=the
widowed ^jj+++xvbn+=widowed
queen ^npt++++=queen's
's ^$++++=EXTRAWORD
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
The ^ati++++=The
proposal ^nn+nom+++=proposal
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
destitute ^jj++++=destitute
of ^in++++=of
political ^jj+atrb+++=political
wisdom ^nn++++=wisdom.
. ^zz++++=EXTRAWORD
Wladislas ^np+++??+=Wladislas
was ^vbd+bedz+vrb++=was
young ^jj+pred+++=young,
, ^zz++++=EXTRAWORD
warlike ^jj++++=warlike,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
bring ^vb++++=bring
Polish ^jj+atrb+++=Polish
strength ^nn++++=strength
against ^in++++=against
the ^ati++++=the
Turks ^nn++++=Turks.
. ^zz++++=EXTRAWORD
Elizabeth ^np++++=Elizabeth
herself ^ppl+pp3+++=herself,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
reasoned ^vbd+vprv++xvbnx+=reasoned,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
retain ^vb++++=retain
dignity ^nn+nom+++=dignity
as ^in++++=as
his ^pp$+pp3+++=his
consort ^nn++++=consort,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
kingdom ^npl+nom+++=kingdom
obtained ^vwbn+++xvbn+=obtained
a ^at++++=a
captain ^nn++++=captain.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
political ^jj+atrb+++=political
wisdom ^nn++++=wisdom,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
commonly ^rb++++=commonly
understood ^vpsv++by+xvbn+=understood
by ^in++++=by
assemblies ^nns++++=assemblies
of ^in++++=of
men ^nns++++=men,
, ^zz++++=EXTRAWORD
appears ^vbz+seem+++=appears
very ^ql+amp+++=very
different ^jj++++=different
when ^wrb+who+++=when
viewed ^vpsv++by+xvbn+=viewed
by ^in++++=by
a ^at++++=a
mother ^nn++++=mother
whose ^whp+rel+obj++=whose
unborn ^jj+atrb+++=unborn
child ^nn++++=child
may ^md+pos+++=may
be ^vb+be+aux++=be
deprived ^vpsv++agls+xvbnx+=deprived
of ^in++++=of
an ^at++++=an
inheritance ^nn+nom+++=inheritance.
. ^zz++++=EXTRAWORD
Elizabeth ^np++++=Elizabeth
listened ^vbd+++xvbn+=listened,
, ^zz++++=EXTRAWORD
temporised ^j+++xvbn+=temporised,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
considered ^vbd+vprv++xvbn+=considered.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
she ^pp3a+pp3+++=she
bore ^vbd+++xvbnx+=bore
a ^at++++=a
daughter ^nn+nom+++=daughter,
, ^zz++++=EXTRAWORD
the ^ati++++=the
question ^nn+nom+++=question
might ^md+pos+++=might
be ^vb+be+aux++=be
settled ^vpsv++agls+xvbnx+=settled
as ^ql++++=as
the ^ati++++=the
nobles ^nns++++=nobles
desired ^vbd+++xvbn+=desired;
; ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
bore ^vbd+++xvbnx+=bore
a ^at++++=a
son ^nn++++=son,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
infant ^nn++++=infant
would ^md+prd+++=would
be ^vb+be+vrb++=be,
, ^zz++++=EXTRAWORD
in ^in++++=in
her ^pp$+pp3+++=her
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
the ^ati++++=the
true ^jj+atrb+++=true
King ^nn++++=King
of ^in++++=of
Hungary ^np+nom+++=Hungary.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
a ^at++++=a
baby ^nn++++=baby
in ^in++++=in
a ^at++++=a
cradle ^nn++++=cradle
could ^md+pos+++=could
scarcely ^rb+down+splt++=scarcely
contend ^vb+vpub+++=contend
against ^in++++=against
an ^at++++=an
armed ^jj+++xvbn+=armed
prince ^np++++=prince
unless ^cs+cnd+++=unless
he ^pp3a+pp3+++=he
possessed ^vbd+++xvbnx+=possessed
the ^ati++++=the
one ^cd1++++=one
weapon ^nn++++=weapon
more ^rbr++++=more
potent ^jj++++=potent
than ^in++++=than
age ^nn++++=age,
, ^zz++++=EXTRAWORD
eloquence ^nn+nom+++=eloquence,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
a ^at++++=a
Polish ^jj+atrb+++=Polish
army ^nn++++=army
the ^ati++++=the
holy ^jj+atrb+++=holy
crown ^nn++++=crown.
. ^zz++++=EXTRAWORD
Among ^in++++=Among
the ^ati++++=the
queen ^nn++++=queen's
's ^$++++=EXTRAWORD
attendants ^nns+nom+++=attendants
was ^vbd+bedz+vrb++=was
Helen ^np++++=Helen
Kottenner ^np+nom++??+=Kottenner,
, ^zz++++=EXTRAWORD
a ^at++++=a
German ^jj++++=German
gentlewoman ^jj++++=gentlewoman
of ^in++++=of
approved ^jj+atrb++xvbn+=approved
fidelity ^nn+nom+++=fidelity,
, ^zz++++=EXTRAWORD
married ^j+++xvbn+=married
to ^in++++=to
a ^at++++=a
burgher ^nn++++=burgher
of ^in++++=of
Oedenburg ^np+++??+=Oedenburg
and ^cc++++=and
accustomed ^vpsv++agls+xvbn+=accustomed
to ^in++++=to
the ^ati++++=the
domestic ^jj+atrb+++=domestic
service ^nn++++=service
of ^in++++=of
the ^ati++++=the
royal ^jj+atrb+++=royal
household ^nn++++=household.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+vrb++=had
no ^at++++=no
command ^nn++++=command
of ^in++++=of
soldiers ^nns+nom+++=soldiers,
, ^zz++++=EXTRAWORD
no ^at++++=no
skill ^nn++++=skill
in ^in++++=in
statecraft ^nn+++??+=statecraft,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
pretension ^nn++++=pretension
to ^in++++=to
heroic ^jj+atrb+++=heroic
enterprise ^nn++++=enterprise.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
duties ^nns++++=duties
concerned ^vwbn+++xvbn+=concerned
chambers ^nns+nom+++=chambers,
, ^zz++++=EXTRAWORD
garments ^nns+nom+++=garments,
, ^zz++++=EXTRAWORD
jewels ^nns++++=jewels,
, ^zz++++=EXTRAWORD
children ^nns++++=children,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
thousand ^cd++++=thousand
unrecorded ^jj+atrb+++=unrecorded
necessities ^nns+nom+++=necessities
by ^in++++=by
which ^whp+rel+pied++=which
courts ^nns++++=courts,
, ^zz++++=EXTRAWORD
like ^in++++=like
cottages ^nns+nom+++=cottages,
, ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
kept ^vpsv++agls+xvbnx+=kept
from ^in++++=from
disorder ^nn+nom+++=disorder.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
for ^in++++=for
this ^dt+dem+++=this
reason ^nn++++=reason,
, ^zz++++=EXTRAWORD
perhaps ^rb+cnj+++=perhaps,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
Elizabeth ^np++++=Elizabeth
trusted ^vbd+++xvbn+=trusted
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
A ^at++++=A
great ^jj+atrb+++=great
lord ^npt++++=lord
might ^md+pos+++=might
betray ^vb++++=betray
a ^at++++=a
conspiracy ^nn+nom+++=conspiracy
to ^to++++=to
increase ^vbi++++=increase
his ^pp$+pp3+++=his
power ^nn++++=power;
; ^zz++++=EXTRAWORD
a ^at++++=a
faithful ^nn++++=faithful
waiting ^vwbg+++xvbg+=waiting-woman,
- ^zz++++=EXTRAWORD
woman ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
having ^vbg+hvg++xvbg+=having
once ^rb+tm+++=once
given ^vwbn+++xvbn+=given
her ^pp$+pp3+++=her
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
could ^md+pos+++=could
be ^vb+be+vrb++=be
harder ^jjr+pred+++=harder
to ^in++++=to
purchase ^nn++++=purchase.
. ^zz++++=EXTRAWORD
Helen ^np++++=Helen
afterwards ^rb+tm+++=afterwards
wrote ^vbd+vprv++xvbn+=wrote
an ^at++++=an
account ^nn++++=account
of ^in++++=of
these ^dt+dem+++=these
events ^nns++++=events,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
from ^in++++=from
her ^pp$+pp3+++=her
plain ^nn++++=plain
testimony ^nn++++=testimony,
, ^zz++++=EXTRAWORD
with ^in++++=with
its ^pp$+it+++=its
prayers ^nns+nom+++=prayers,
, ^zz++++=EXTRAWORD
alarms ^nns++++=alarms,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
careful ^jj+atrb+++=careful
mention ^nn+nom+++=mention
of ^in++++=of
cushions ^nns++++=cushions,
, ^zz++++=EXTRAWORD
keys ^nns++++=keys,
, ^zz++++=EXTRAWORD
boats ^nns++++=boats,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
meals ^nns++++=meals,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
adventure ^nn++++=adventure
derives ^vbz++++=derives
much ^rb++++=much
of ^in++++=of
its ^pp$+it+++=its
authority ^nn+nom+++=authority.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
does ^vbz+doz+aux++=does
not ^xnot++not++=not
represent ^vb++++=represent
herself ^ppl+pp3+++=herself
as ^in++++=as
fearless ^nn++++=fearless.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
contrary ^nn+nom+++=contrary,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
so ^ql++++=so
much ^ap++++=much
afraid ^jj++++=afraid
that ^tht+jcmp+++=that
a ^at++++=a
modern ^jj+atrb+++=modern
physician ^nn++++=physician
might ^md+pos+++=might
have ^vb+hv+aux++=have
found ^vprf+++xvbnx+=found
many ^ap++++=many
learned ^jj+atrb++xvbn+=learned
names ^nns++++=names
for ^in++++=for
her ^pp$+pp3+++=her
condition ^nn+nom+++=condition;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
" ^zz++++="nervous
nervous ^jj+atrb+++=EXTRAWORD
agitation ^nn+nom+++=agitation"
" ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
not ^xnot++not++=not
then ^rn+tm+++=then
been ^vprf+ben+aux+xvbn+=been
invented ^vpsv++agls+xvbnx+=invented
to ^in++++=to
excuse ^nn++++=excuse
either ^dtx++++=either
obedience ^nn+nom+++=obedience
or ^cc++++=or
treason ^nn++++=treason,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Helen ^np++++=Helen
understood ^vwbn+vprv++xvbn+=understood
her ^pp$+pp3+++=her
distress ^nns+nom+++=distress
in ^in++++=in
the ^ati++++=the
more ^rbr++++=more
serious ^jj+atrb+++=serious
language ^nn+nom+++=language
of ^in++++=of
conscience ^nn+nom+++=conscience.
. ^zz++++=EXTRAWORD
The ^ati++++=The
queen ^npt++++=queen
sent ^vbd+++xvbn+=sent
for ^in++++=for
her ^pp$+pp3+++=her
privately ^rb++++=privately.
. ^zz++++=EXTRAWORD
The ^ati++++=The
crown ^nn++++=crown,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
must ^md+nec+++=must
be ^vb+be+aux++=be
taken ^vpsv++agls+xvbnx+=taken
from ^in++++=from
Vissegrad ^np+++??+=Vissegrad
and ^cc++++=and
brought ^vpsv++agls+xvbn+=brought
to ^rb+phrv+++=to
her ^pp$+pp3+++=her
before ^cs+sub+++=before
the ^ati++++=the
Polish ^jj+atrb+++=Polish
party ^nn++++=party
could ^md+pos+++=could
obtain ^vb++++=obtain
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Helen ^np++++=Helen
was ^vbd+bedz+aux++=was
to ^to++++=to
accomplish ^vbi++++=accomplish
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
The ^ati++++=The
poor ^jj+atrb+++=poor
lady ^nn++++=lady
was ^vbd+bedz+vrb++=was
confounded ^jj+pred+++=confounded.
. ^zz++++=EXTRAWORD
To ^to++++=To
steal ^vbi++++=steal
a ^at++++=a
kingdom ^npl+nom+++=kingdom's
's ^$++++=EXTRAWORD
most ^ql+emph+++=most
sacred ^jj+atrb+++=sacred
treasure ^nn++++=treasure
from ^in++++=from
a ^at++++=a
guarded ^jj+atrb++xvbn+=guarded
fortress ^nns+nom+++=fortress
was ^vbd+bedz+vrb++=was
a ^at++++=a
crime ^nn++++=crime
for ^in++++=for
which ^whp+rel+pied++=which
no ^at++++=no
indulgent ^jj+atrb+++=indulgent
judge ^nn++++=judge
was ^vbd+bedz+vrb++=was
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
prescribe ^vbi++++=prescribe
a ^at++++=a
pilgrimage ^nn+nom+++=pilgrimage
and ^cc++++=and
a ^ap++++=a
few ^ap"++++=few
prayers ^nns+nom+++=prayers.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
discovered ^vprf+++xvbn+=discovered,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
might ^md+pos+++=might
be ^vb+be+aux++=be
tortured ^vpsv++agls+xvbnx+=tortured,
, ^zz++++=EXTRAWORD
imprisoned ^xvbn+++xvbn+=imprisoned,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
put ^vpsv++agls+xvbn+=put
to ^in++++=to
death ^nn++++=death;
; ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
succeeded ^vbd+++xvbnx+=succeeded,
, ^zz++++=EXTRAWORD
civil ^jj+atrb+++=civil
war ^nn++++=war
might ^md+pos+++=might
follow ^vb+vprv+++=follow.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
feared ^vbd+vprv++xvbnx+=feared
for ^in++++=for
her ^pp$+pp3+++=her
husband ^nn++++=husband
and ^cc++++=and
children ^nns++++=children,
, ^zz++++=EXTRAWORD
for ^in++++=for
her ^pp$+pp3+++=her
country ^nn++++=country,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
above ^jjb++++=above
all ^rb+cnj+++=all,
, ^zz++++=EXTRAWORD
for ^in++++=for
her ^pp$+pp3+++=her
soul ^nn++++=soul.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
she ^pp3a+pp3+++=she
also ^rb++++=also
believed ^vprf+++xvbn+=believed
that ^tht+vcmp+++=that
her ^pp3o+pp3+++=her
dead ^jj+atrb+++=dead
king ^nn++++=king's
's ^vbz+bez+vrb++0=EXTRAWORD
possible ^jj+atrb+++=possible
son ^nn++++=son
had ^vb+hv+vrb++=had
a ^at++++=a
just ^rb+emph+++=just
claim ^nn++++=claim
upon ^in++++=upon
her ^pp$+pp3+++=her
service ^nn++++=service.
. ^zz++++=EXTRAWORD
The ^ati++++=The
queen ^npt++++=queen
commanded ^vbd+vpub++xvbn+=commanded;
; ^zz++++=EXTRAWORD
fealty ^vb+++??+=fealty
urged ^vbd+vsua++xvbn+=urged;
; ^zz++++=EXTRAWORD
maternal ^jj+atrb+++=maternal
pity ^nn++++=pity
added ^vbd+vpub++xvbn+=added
its ^pp$+it+++=its
voice ^nn++++=voice;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
after ^cs+sub+++=after
much ^ap++++=much
inward ^jjb+atrb+++=inward
conflict ^nn++++=conflict
Helen ^np++++=Helen
consented ^vbd+++xvbn+=consented,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
she ^pp3a+pp3+++=she
prayed ^vbd+vsua++xvbnx+=prayed
that ^tht+vcmp+++=that
Heaven ^nn++++=Heaven
would ^md+prd+++=would
prevent ^vb++++=prevent
the ^ati++++=the
deed ^nn++++=deed
if ^cs+cnd+++=if
it ^pp3+it+++=it
must ^md+nec+++=must
bring ^vb++++=bring
ruin ^nn++++=ruin
upon ^in++++=upon
Hungary ^np+nom+++=Hungary.
. ^zz++++=EXTRAWORD
The ^ati++++=The
first ^od++++=first
man ^nn++++=man
approached ^vbd+++xvbn+=approached
as ^ql++++=as
an ^at++++=an
accomplice ^nn++++=accomplice
was ^vbd+bedz+vrb++=was
a ^at++++=a
Croat ^np+++??+=Croat,
, ^zz++++=EXTRAWORD
reputed ^xvbn+++xvbn+=reputed
bold ^jj++++=bold
in ^in++++=in
ordinary ^jj+atrb+++=ordinary
affairs ^nns++++=affairs.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
heard ^vbd+vprv++xvbnx+=heard
enough ^qlp++++=enough
of ^in++++=of
the ^ati++++=the
design ^vb++++=design
to ^to+vcmp+++=to
understand ^vbi+vprv+tht0++=understand
its ^pp$+it+++=its
danger ^nn++++=danger,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
disappeared ^vbd+seem++xvbn+=disappeared
with ^in++++=with
such ^abl++++=such
completeness ^nns+nom+++=completeness
that ^tht+rel+obj++=that
his ^pp$+pp3+++=his
discretion ^nn+nom+++=discretion
could ^md+pos+++=could
not ^xnot++not++=not
be ^vb+be+aux++=be
distinguished ^vpsv++agls+xvbnx+=distinguished
from ^in++++=from
cowardice ^nn++++=cowardice.
. ^zz++++=EXTRAWORD
A ^at++++=A
second ^od++++=second
helper ^nn++++=helper
proved ^vbd+vprv++xvbn+=proved
of ^in++++=of
another ^dt++++=another
temper ^nn++++=temper.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
name ^nn++++=name
Helen ^np++++=Helen,
, ^zz++++=EXTRAWORD
prudently ^rb++++=prudently
or ^cc+phrs+++=or
gratefully ^rb+cnj+++=gratefully,
, ^zz++++=EXTRAWORD
withheld ^j+++xvbn+=withheld.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
possessed ^vbd+++xvbnx+=possessed
courage ^np+nom+++=courage,
, ^zz++++=EXTRAWORD
