Wal ^nn++++=Wal,
slidin ^nn+++??+=slidin'
' ^zz++++=EXTRAWORD
round ^in++++=round
and ^cc++++=and
makin ^nn+++??+=makin'
' ^zz++++=EXTRAWORD
things ^nns++++=things
easy ^jj++++=easy
without ^in++++=without
lettin ^nn+++??+=lettin'
' ^zz++++=EXTRAWORD
on ^in++++=on
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
anything ^pn++++=anything
to ^to++++=to
make ^vbi++++=make
easy ^jj++++=easy.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Parson ^nn++++=Parson
supposed ^vwbn+++xvbn+=supposed
the ^ati++++=the
house ^nn++++=house
naturally ^rb++++=naturally
kept ^vbd+++xvbn+=kept
itself ^ppl++++=itself,
, ^zz++++=EXTRAWORD
same ^ap++++=same
as ^in++++=as
the ^ati++++=the
sun ^nn++++=sun
rose ^vbd+++xvbn+=rose,
, ^zz++++=EXTRAWORD
till ^in++++=till
arter ^jjr++++=arter
the ^ati++++=the
funeral ^nn++++=funeral,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
fire ^nn++++=fire
went ^vbd+++xvbn+=went
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
the ^ati++++=the
cream ^nn++++=cream
soured ^vwbn+++xvbn+=soured,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^rn+pl+++=there
war ^nn++++=warn't
n't ^xnot++not++0=EXTRAWORD
a ^at++++=a
clean ^jj+atrb+++=clean
collar ^nn++++=collar
in ^in++++=in
the ^ati++++=the
drawer ^nn++++=drawer.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
Huldy ^np+++??+=Huldy
come ^vb++++=come.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Carryl ^np++++=Carryl's
's ^$++++=EXTRAWORD
sister ^nn++++=sister's
's ^$++++=EXTRAWORD
gal ^nn++++=gal,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
cousin ^nn++++=cousin's
's ^$++++=EXTRAWORD
gal ^nn++++=gal
I ^pp1a+pp1+++=I
never ^rb++++=never
could ^md+pos+++=could
keep ^vb++++=keep
them ^pp3o+pp3+++=them
branches ^nns++++=branches
straight ^jj++++=straight
but ^cc++++=but
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
eighteen ^cd++++=eighteen
or ^cc++++=or
thereabout ^nn+++??+=thereabout,
, ^zz++++=EXTRAWORD
quick ^jj++++=quick-footed,
- ^zz++++=EXTRAWORD
footed ^jj+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
clear ^jj++++=clear-eyed,
- ^zz++++=EXTRAWORD
eyed ^vbd+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
capable ^jj++++=capable
as ^in++++=as
a ^at++++=a
whole ^jj+atrb+++=whole
committee ^nn+nom+++=committee.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
war ^nn++++=warn't
n't ^xnot++not++0=EXTRAWORD
one ^pn++++=one
of ^in++++0=o'
your ^pp$+pp2+++=your
rattlin ^nn+++??+=rattlin',
', ^nn+++??+=EXTRAWORD
gigglin ^nn+++??+=gigglin'
' ^zz++++=EXTRAWORD
gals ^nn++++=gals.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
could ^md+pos+++=could
laugh ^vb++++=laugh,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
did ^vbd+dod+vrb++=did,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
knew ^vbd+vprv++xvbnx+=knew
what ^wdt+who+whcl++=what
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
laughin ^nn+++??+=laughin'
' ^zz++++=EXTRAWORD
at ^rb++++=at.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
come ^vb++++=come
to ^to++++=to
stay ^vbi++++=stay
a ^at++++=a
spell ^nn++++=spell,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
inside ^in+cmpx+++=inside
of ^in"++++=of
a ^at++++=a
fortnight ^nn++++=fortnight
the ^ati++++=the
Parson ^nn++++=Parson
had ^vb+hv+vrb++=had
hot ^jj+atrb+++=hot
biscuits ^nns++++=biscuits
agin ^nn+++??+=agin,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
stockings ^nns++++=stockings
war ^nn++++=warn't
n't ^xnot++not++0=EXTRAWORD
darned ^rb++++=darned
with ^in++++=with
white ^jj+atrb+++=white
yarn ^nn++++=yarn
across ^in+pl+++=across
black ^jj+atrb+++=black
heels ^nns++++=heels.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Pipperidge ^np+++??+=Pipperidge
and ^cc++++=and
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Deacon ^np+++??+=Deacon
Blodgett ^np+++??+=Blodgett
and ^cc++++=and
old ^jj+atrb+++=old
Aunt ^nn++++=Aunt
Jerushy ^np+++??+=Jerushy
Pike ^np++++=Pike
all ^abn++++=all
said ^vbd+vpub+tht0+xvbn+=said
Huldy ^np+++??+=Huldy
was ^vbd+bedz+vrb++=was
too ^ql++++=too
young ^jj++++=young.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
Parson ^nn++++=Parson
Carryl ^np+++??+=Carryl
needs ^nns++++=needs,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Pipperidge ^np+++??+=Pipperidge,
, ^zz++++=EXTRAWORD
" ^zz++++="is
is ^vbz+bez+vrb++=EXTRAWORD
a ^at++++=a
settled ^jj+atrb++xvbn+=settled
woman ^nn++++=woman
of ^in++++=of
experience ^nn+nom+++=experience."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
herself ^ppl+pp3+++=herself
was ^vbd+bedz+vrb++=was
a ^at++++=a
widow ^nn++++=widow
of ^in++++=of
fifty ^cd++++=fifty-three,
- ^zz++++=EXTRAWORD
three ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
settled ^vpsv++agls+xvbnx+=settled
so ^pn++++=so
long ^rb++++=long
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
nigh ^rb++++=nigh
petrified ^jj+pred+++=petrified.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
house ^npl++++=house
like ^in++++=like
that ^dt+pdem+++=that,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
" ^zz++++="with
with ^in++++=EXTRAWORD
parishioners ^nns+nom+++=parishioners
comin ^nn+++??+=comin'
' ^zz++++=EXTRAWORD
and ^cc++++=and
goin ^nn+++??+=goin',
', ^nn+++??+=EXTRAWORD
requires ^vbz++++=requires
maturity ^nn+nom+++=maturity."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Wal ^nn++++=Wal,
, ^zz++++=EXTRAWORD
Huldy ^np+++??+=Huldy
never ^rb++++=never
answered ^vbd+vpub++xvbn+=answered.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
jist ^nn++++=jist
went ^vbd+++xvbn+=went
on ^in++++=on
makin ^nn+++??+=makin'
' ^zz++++=EXTRAWORD
the ^ati++++=the
brown ^jj+atrb+++=brown
bread ^nn++++=bread
rise ^nn++++=rise
and ^cc++++=and
keepin ^nn+++??+=keepin'
' ^zz++++=EXTRAWORD
the ^ati++++=the
Parson ^np++++=Parson's
's ^$++++=EXTRAWORD
papers ^nns++++=papers
out ^rp+pl+++=out
of ^in++++0=o'
the ^ati++++=the
apple ^nn++++=apple-pie
- ^zz++++=EXTRAWORD
pie ^nn++++=EXTRAWORD
cupboard ^nn++++=cupboard.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
their ^pp$+pp3+++=their
remarks ^vbz+vpub+++=remarks
worked ^vprf+++xvbn+=worked
on ^rp++++=on
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
for ^in++++=for
a ^at++++=a
minister ^nn+nom+++=minister
hears ^vbz+vprv+++=hears
so ^ql++++=so
much ^ap++++=much
advice ^nn++++=advice
he ^pp3a+pp3+++=he
gets ^vbz++++=gets
to ^to++++=to
think ^vbi+vprv+tht0++=think
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
his ^pp$+pp3+++=his
Christian ^jj+atrb+++=Christian
duty ^nn++++=duty
to ^to+ncmp+++=to
use ^vbi++++=use
some ^dti++++=some
o ^zz++++=on't.
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
One ^cd1++++=One
mornin ^nn+++??+=mornin'
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
come ^vb++++=come
into ^in+ppvb+++=into
the ^ati++++=the
kitchen ^nn++++=kitchen
with ^in++++=with
his ^pp$+pp3+++=his
coat ^nn++++=coat
buttoned ^vbd+++xvbn+=buttoned
up ^rp++++=up,
, ^zz++++=EXTRAWORD
lookin ^nn+++??+=lookin'
' ^zz++++=EXTRAWORD
solemn ^jj++++=solemn.
. ^zz++++=EXTRAWORD
" ^zz++++="Huldy,"
huldy ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
" ^zz++++="it
it ^pp3+it+++=EXTRAWORD
has ^vbz+hvz+aux++=has
occurred ^vprf+++xvbnx+=occurred
to ^in++++=to
me ^pp1o+pp1+++=me
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
ought ^md+nec+++=ought
not ^xnot++not++=not
to ^to++++=to
leave ^vbi++++=leave
the ^ati++++=the
entire ^jjb+atrb+++=entire
responsibility ^nn+nom+++=responsibility
of ^in++++=of
my ^pp$+pp1+++=my
domestic ^jj+atrb+++=domestic
establishment ^nn+nom+++=establishment
upon ^in++++=upon
one ^cd1++++=one
so ^rb+emph+++=so
young ^jj++++=young."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Huldy ^np+++??+=Huldy,
, ^zz++++=EXTRAWORD
slicin ^nn+++??+=slicin'
' ^zz++++=EXTRAWORD
apples ^nns++++=apples.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
be ^vbi+vbi+aux++=be
instructing ^vbg+++xvbgx+=instructing
and ^cc+phrs+++=and
guiding ^vbg+++xvbg+=guiding,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
head ^nn++++=head
of ^in++++=of
a ^at++++=a
household ^nn++++=household
should ^md+nec+++=should
comprehend ^vb+++??+=comprehend
its ^pp$+it+++=its
operations ^nns+nom+++=operations."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Huldy ^np+++??+=Huldy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
put ^vbd+++xvbnx+=put
another ^dt++++=another
apple ^nn++++=apple
into ^in++++=into
curls ^nns++++=curls
without ^in++++=without
so ^ql++++=so
much ^ap++++=much
as ^ql++++=as
winkin ^vb+++??+=winkin'.
'. ^nn+++??+=EXTRAWORD
That ^tht+rel+++=That
same ^ap++++=same
day ^nn++++=day
he ^pp3a+pp3+++=he
commenced ^vbd+++xvbnx+=commenced
on ^in++++=on
the ^ati++++=the
turkeys ^nns+++??+=turkeys.
. ^zz++++=EXTRAWORD
Huldy ^np+++??+=Huldy
had ^vb+hv+vrb++=had
a ^at++++=a
gray ^np++++=gray
turkey ^nn++++=turkey-hen
- ^zz++++=EXTRAWORD
hen ^nn++++=EXTRAWORD
settin ^nn+++??+=settin'
' ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
box ^nn++++=box
under ^in++++=under
the ^ati++++=the
shed ^jj+++xvbn+=shed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++0=she'd
'd ^vbd+hvd+aux++=EXTRAWORD
marked ^vprf+++xvbnx+=marked
thirteen ^cd++++=thirteen
eggs ^nns++++=eggs
for ^in++++=for
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
creature ^nn++++=creature
got ^vbd+++xvbn+=got
skittish ^jj++++=skittish
and ^cc++++=and
quit ^vb++++=quit
the ^ati++++=the
nest ^nn++++=nest.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
the ^ati++++=the
eggs ^nns++++=eggs
gettin ^nn+++??+=gettin'
' ^zz++++=EXTRAWORD
cold ^jj++++=cold,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Huldy ^np+++??+=Huldy
vexed ^vbd+++xvbn+=vexed,
, ^zz++++=EXTRAWORD
for ^in++++=for
she ^pp3a+pp3+++0=she'd
'd ^vbd+hvd+aux++=EXTRAWORD
counted ^vprf+++xvbnx+=counted
on ^in+ppvb+++=on
them ^pp3o+pp3+++=them
turkeys ^nns+++??+=turkeys
for ^in++++=for
Thanksgivin ^np+++??+=Thanksgivin',
', ^nn+++??+=EXTRAWORD
donations ^nns+nom+++=donations,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
two ^cd++++=two
ministerial ^jj+atrb+++=ministerial
dinners ^nns+nom+++=dinners.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Parson ^nn++++=Parson
found ^vbd+vprv++xvbn+=found
her ^pp$+pp3+++=her
lookin ^nn+++??+=lookin'
' ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
deserted ^jj+atrb++xvbn+=deserted
nest ^nn++++=nest.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
the ^ati++++=the
difficulty ^nn++++=difficulty?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
gray ^np++++=gray
hen ^nn++++=hen's
's ^$++++=EXTRAWORD
left ^vpsv++agls+xvbnx+=left,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Huldy ^np+++??+=Huldy.
. ^zz++++=EXTRAWORD
" ^zz++++="I've
i ^pp1a+pp1+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
tried ^vprf+++xvbnx+=tried
puttin ^nn+++??+=puttin'
' ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
set ^vb+++xvbn+=set."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Is
is ^vbz+bez+vrb++=EXTRAWORD
there ^rn+pl+++=there
no ^at++++=no
other ^ap++++=other
fowl ^nn+++??+=fowl?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he.
. ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
a ^at++++=a
hen ^nn++++=hen
that ^tht+rel+subj++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
broody ^jj++++=broody."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
Parson ^nn++++=Parson
looked ^vbd+++xvbn+=looked
out ^rp+pl+++=out
in ^in++++=in
the ^ati++++=the
yard ^nn++++=yard,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
went ^vbd+++xvbn+=went
the ^ati++++=the
great ^jj++++=great
bronze ^jj++++=bronze
gobbler ^jjr++++=gobbler,
, ^zz++++=EXTRAWORD
spreadin ^nn+++??+=spreadin'
' ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
tail ^nn++++=tail
and ^cc++++=and
puffin ^nn+++??+=puffin'
' ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
deacon ^np++++=deacon
that ^tht+rel+subj++=that's
's ^vbz+bez+aux++0=EXTRAWORD
been ^vpsv++agls+xvbnx+=been
asked ^vpsv++agls+xvbnx+=asked
to ^to+vcmp+++=to
pray ^vbi+vsua+++=pray
without ^in++++=without
warnin ^nn+++??+=warnin'.
'. ^nn+++??+=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
prevents ^vbz++++=prevents
that ^cs+sub+++=that
one ^pn++++=one?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
Parson ^nn++++=Parson.
. ^zz++++=EXTRAWORD
Huldy ^np+++??+=Huldy
stared ^vbd+++xvbn+=stared.
. ^zz++++=EXTRAWORD
" ^zz++++="That's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
tom ^np++++=tom."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
aware ^jj+pred+++=aware
of ^in++++=of
the ^ati++++=the
distinction ^nn+nom+++=distinction,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
dignified ^jj++++=dignified.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
the ^ati++++=the
instinct ^nn++++=instinct
of ^in++++=of
preservation ^nn+nom+++=preservation
is ^vbz+bez+aux++=is
not ^xnot++not++=not
confined ^vbd+++xvbn+=confined
to ^to++++=to
one ^cd1++++=one
sex ^nn++++=sex.
. ^zz++++=EXTRAWORD
Moral ^jj+atrb+++=Moral
suasion ^nn+++??+=suasion
may ^md+pos+++=may
awaken ^vb++++=awaken
dormant ^jj+atrb+++=dormant
responsibility ^nn+nom+++=responsibility."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Huldy ^np+++??+=Huldy
told ^vbd+vpub++xvbn+=told
me ^pp1o+pp1+++=me
arterward ^rb++++=arterward
she ^pp3a+pp3+++=she
near ^in+pl+++=near
swallowed ^vbd+++xvbn+=swallowed
a ^at++++=a
whole ^jj+atrb+++=whole
apple ^nn++++=apple-seed,
- ^zz++++=EXTRAWORD
seed ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
kept ^vbd+++xvbnx+=kept
her ^pp$+pp3+++=her
face ^nn++++=face.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
believe ^vb+vprv+tht0++=believe
he ^pp3a+pp3+++=he'll
'll ^md+prd+++0=EXTRAWORD
set ^vbd+++xvbn+=set,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
has ^vbz+hvz+aux++=has
never ^rb++splt++=never
been ^vprf+ben+aux+xvbnx+=been
properly ^rb++splt++=properly
directed ^vpsv++agls+xvbn+=directed,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
Parson ^nn++++=Parson.
. ^zz++++=EXTRAWORD
So ^ql++++=So
he ^pp3a+pp3+++=he
ketched ^vbd+++xvbnx+=ketched
the ^ati++++=the
tom ^np++++=tom-turkey.
- ^zz++++=EXTRAWORD
turkey ^np++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
catchin ^nn+++??+=catchin'
' ^zz++++=EXTRAWORD
a ^at++++=a
tom ^np++++=tom-turkey
- ^zz++++=EXTRAWORD
turkey ^np++++=EXTRAWORD
that ^tht+rel+subj++=that
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
willin ^nn+++??+=willin'
' ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
like ^in++++=like
arguin ^nn+++??+=arguin'
' ^zz++++=EXTRAWORD
doctrine ^nn++++=doctrine
with ^in++++=with
a ^at++++=a
man ^nn++++=man
who ^whp+rel+obj++=who's
's ^vbz+bez+aux++0=EXTRAWORD
brought ^vbd+++xvbn+=brought
his ^pp$+pp3+++=his
own ^ap++++=own
texts ^nns++++=texts.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Parson ^nn++++=Parson
drove ^vbd+++xvbn+=drove
him ^pp3o+pp3+++=him
from ^in++++=from
the ^ati++++=the
woodpile ^nn+++??+=woodpile
to ^in++++=to
the ^ati++++=the
pump ^nn++++=pump,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
from ^in++++=from
the ^ati++++=the
pump ^nn++++=pump
to ^in++++=to
the ^ati++++=the
currant ^jj+atrb+++=currant
bushes ^nns++++=bushes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
turkey ^np++++=turkey
run ^vbd+++xvbn+=run
and ^cc+phrs+++=and
dodged ^vbd+++xvbn+=dodged
and ^cc+phrs+++=and
gobbled ^vprf+++xvbn+=gobbled,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Parson ^np++++=Parson's
's ^$++++=EXTRAWORD
coat ^nn++++=coat-tails
- ^zz++++=EXTRAWORD
tails ^vbz++++=EXTRAWORD
streamed ^vbd+++xvbn+=streamed
out ^rp+pl+++=out
behind ^in+strn+++=behind.
. ^zz++++=EXTRAWORD
Finally ^rb++++=Finally
they ^pp3a+pp3+++=they
met ^vbd+++xvbnx+=met
at ^rb++++=at
the ^ati++++=the
shed ^jj+atrb++xvbn+=shed
door ^nn++++=door,
, ^zz++++=EXTRAWORD
both ^abx++++=both
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
opposite ^jj+atrb+++=opposite
ways ^nns++++=ways.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
cloud ^nn++++=cloud
of ^in++++=of
dust ^nn++++=dust,
, ^zz++++=EXTRAWORD
a ^at++++=a
flutter ^nn++++=flutter
of ^in++++=of
feathers ^nns+nom+++=feathers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
it ^pp3+it+++=it
