Among ^in++++=Among
lest ^cs+sub+++=lest
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
purchased ^vprf+++xvbnx+=purchased
liberty ^nn++++=liberty
by ^in++++=by
denying ^xvbg+++xvbg+=denying
his ^pp$+pp3+++=his
Lord ^npt++++=Lord.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
barred ^vbd+++xvbnx+=barred
the ^ati++++=the
door ^nn++++=door
against ^in++++=against
him ^pp3o+pp3+++=him
until ^cs+sub+++=until
she ^pp3a+pp3+++=she
learned ^vbd+vprv++xvbnx+=learned
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
only ^rb+down+++=only
to ^to++++=to
bid ^vbi++++=bid
her ^pp$+pp3+++=her
farewell ^nn++++=farewell
before ^in++++=before
returning ^nn++++=returning
to ^in++++=to
martyrdom ^nn+nom+++=martyrdom.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
did ^vbd+dod+aux++=did
she ^pp3a+pp3+++=she
accompany ^vb++++=accompany
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
strengthen ^vb++++=strengthen
his ^pp$+pp3+++=his
wavering ^jj+atrb+++=wavering
spirit ^nn++++=spirit,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
entreat ^nn+++??+=entreat
him ^pp3o+pp3+++=him
to ^to++++=to
remember ^nn+nom+++=remember
the ^ati++++=the
crown ^nn++++=crown
of ^in++++=of
life ^nn++++=life
promised ^vbd+++xvbn+=promised
to ^to+vcmp+++=to
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
remain ^vb++++=remain
faithful ^jj++++=faithful
unto ^in++++=unto
death ^nn++++=death.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
his ^pp$+pp3+++=his
limbs ^nns++++=limbs
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
broken ^vpsv++agls+xvbnx+=broken
and ^cc++++=and
his ^pp$+pp3+++=his
hands ^nns++++=hands
severed ^vbd+++xvbn+=severed,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
preserved ^vbd+++xvbnx+=preserved
one ^pn++++=one
of ^in++++=of
those ^dt+dem+++=those
poor ^jj++++=poor
mangled ^vwbn+++xvbn+=mangled
hands ^nns++++=hands
as ^in++++=as
a ^at++++=a
sacred ^jj+atrb+++=sacred
memorial ^nn++++=memorial;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
refusing ^vbg+++xvbg+=refusing
every ^at++++=every
later ^rbr+tm+++=later
offer ^nn++++=offer
of ^in++++=of
marriage ^nn+nom+++=marriage,
, ^zz++++=EXTRAWORD
lived ^j+++xvbn+=lived
out ^rp+pl+++=out
her ^pp$+pp3+++=her
remaining ^vbg+++xvbg+=remaining
years ^nns++++=years
in ^in++++=in
widowhood ^nn+nom+++=widowhood
and ^cc++++=and
prayer ^nn++++=prayer.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
devotion ^nn+nom+++=devotion
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
without ^in++++=without
approving ^xvbg+++xvbg+=approving
a ^at++++=a
husband ^nn++++=husband's
's ^$++++=EXTRAWORD
offence ^nn+nom+++=offence,
, ^zz++++=EXTRAWORD
neither ^dt++neg++=neither
abandons ^vbz++++=abandons
him ^pp3o+pp3+++=him
to ^to++++=to
shame ^vbi++++=shame
nor ^cc++neg++=nor
flies ^nns++++=flies
from ^in++++=from
the ^ati++++=the
spectacle ^nn++++=spectacle
of ^in++++=of
his ^pp$+pp3+++=his
punishment ^nn+nom+++=punishment;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
of ^in++++=of
this ^dt+dem+++=this
tenderer ^jjr++++=tenderer,
, ^zz++++=EXTRAWORD
more ^rbr++++=more
prolonged ^jj+++xvbn+=prolonged,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
perhaps ^rb++++=perhaps
more ^rbr++++=more
difficult ^jj+atrb+++=difficult
fidelity ^nn+nom+++=fidelity,
, ^zz++++=EXTRAWORD
Gertrude ^np++++=Gertrude
von ^&fw++++=von
der ^&fw++++=der
Wart ^np+++??+=Wart
has ^vbz+hvz+aux++=has
left ^vprf+++xvbnx+=left
an ^at++++=an
example ^nn++++=example
worthy ^jj++++=worthy
to ^to++++=to
be ^vbi+vbi+aux++=be
remembered ^vpsv++agls+xvbnx+=remembered
whilst ^cs+sub+++=whilst
love ^nn++++=love
and ^cc++++=and
compassion ^nn++++=compassion
are ^vb+ber+aux++=are
honoured ^vpsv++agls+xvbnx+=honoured
amongst ^in++++=amongst
mankind ^nn++++=mankind.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
early ^jj+atrb+++=early
years ^nns++++=years
of ^in++++=of
the ^ati++++=the
fourteenth ^od++++=fourteenth
century ^nn++++=century,
, ^zz++++=EXTRAWORD
Albrecht ^np+++??+=Albrecht
of ^in++++=of
Austria ^np++++=Austria
wore ^vbd+++xvbn+=wore
the ^ati++++=the
imperial ^jj+atrb+++=imperial
crown ^nn++++=crown.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
stern ^jj+atrb+++=stern
prince ^npt++++=prince,
, ^zz++++=EXTRAWORD
little ^ap++++=little
fitted ^jj+++xvbn+=fitted
to ^to++++=to
win ^vbi++++=win
affection ^nn+nom+++=affection,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
government ^nn+nom+++=government
was ^vbd+bedz+vrb++=was
especially ^rb++++=especially
hateful ^jj+pred+++=hateful
to ^in++++=to
the ^ati++++=the
stout ^jj+atrb+++=stout
and ^cc+phrs+++=and
honest ^jj+atrb+++=honest
inhabitants ^nns+nom+++=inhabitants
of ^in++++=of
the ^ati++++=the
Swiss ^jj+atrb+++=Swiss
valleys ^nns++++=valleys,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
valued ^vbd+++xvbn+=valued
ancient ^jj+atrb+++=ancient
liberty ^nn++++=liberty
above ^in+pl+++=above
the ^ati++++=the
favour ^nn++++=favour
of ^in++++=of
emperors ^nns++++=emperors.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
public ^jj+atrb+++=public
discontent ^nn++++=discontent
was ^vbd+bedz+aux++=was
joined ^vpsv++agls+xvbnx+=joined
to ^in++++=to
a ^at++++=a
private ^jj+atrb+++=private
quarrel ^nn++++=quarrel
of ^in++++=of
inheritance ^nn+nom+++=inheritance.
. ^zz++++=EXTRAWORD
Johann ^np+++??+=Johann
of ^in++++=of
Hapsburg ^np+++??+=Hapsburg,
, ^zz++++=EXTRAWORD
the ^ati++++=the
emperor ^nn++++=emperor's
's ^$++++=EXTRAWORD
nephew ^nn++++=nephew,
, ^zz++++=EXTRAWORD
believed ^vb+++xvbn+=believed
that ^tht+vcmp+++=that
possessions ^nns++++=possessions
justly ^rb++++=justly
belonging ^vbg+++xvbg+=belonging
to ^in++++=to
him ^pp3o+pp3+++=him
were ^vbd+bed+aux++=were
withheld ^vpsv++by+xvbnx+=withheld
by ^in++++=by
his ^pp$+pp3+++=his
powerful ^jj+atrb+++=powerful
kinsman ^nn++++=kinsman.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
petitions ^nns+nom+++=petitions
were ^vbd+bed+aux++=were
disregarded ^vpsv++agls+xvbnx+=disregarded,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
complaints ^nns++++=complaints
answered ^vbd+vpub++xvbn+=answered
with ^in++++=with
contempt ^nn++++=contempt,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
resentment ^nn+nom+++=resentment,
, ^zz++++=EXTRAWORD
long ^rb++++=long
nourished ^vprf+++xvbn+=nourished,
, ^zz++++=EXTRAWORD
ripened ^j+++xvbn+=ripened
at ^rb++++=at
last ^rb"++++=last
into ^in++++=into
a ^at++++=a
dark ^jj+atrb+++=dark
conspiracy ^nn+nom+++=conspiracy.
. ^zz++++=EXTRAWORD
Among ^in++++=Among
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
became ^vbd+++xvbn+=became
connected ^vbd+++xvbn+=connected
with ^in++++=with
Johann ^np+++??+=Johann
was ^vbd+bedz+vrb++=was
Rudolf ^np++++=Rudolf
von ^&fw++++=von
der ^&fw++++=der
Wart ^np+++??+=Wart,
, ^zz++++=EXTRAWORD
a ^at++++=a
knight ^nn++++=knight
of ^in++++=of
honourable ^jj+atrb+++=honourable
birth ^nn++++=birth
and ^cc++++=and
hitherto ^rb++++=hitherto
unblemished ^jj+atrb++xvbn+=unblemished
reputation ^nn+nom+++=reputation.
. ^zz++++=EXTRAWORD
That ^tht+vcmp+++=That
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew
of ^in++++=of
some ^dti++++=some
design ^nn++++=design
against ^in++++=against
the ^ati++++=the
emperor ^npt++++=emperor
cannot ^md+pos+not++=cannot
reasonably ^rb++++=reasonably
be ^vb+be+aux++=be
denied ^vpsv++agls+xvbnx+=denied;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
solemnly ^rb++++=solemnly
declared ^jj+++xvbn+=declared,
, ^zz++++=EXTRAWORD
even ^rb++++=even
when ^wrb+who+++=when
falsehood ^nn+nom+++=falsehood
might ^md+pos+++=might
have ^vb+hv+aux++=have
seemed ^vprf+++xvbnx+=seemed
his ^pp$+pp3+++=his
only ^rb+down+++=only
hope ^nn++++=hope
of ^in++++=of
life ^nn++++=life,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
never ^rb++splt++=never
understood ^vprf+++xvbnx+=understood
murder ^nn++++=murder
to ^to++++=to
be ^vbi+vbi+aux++=be
intended ^vpsv++agls+xvbnx+=intended.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
believed ^vbd+vprv++xvbnx+=believed,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
Albrecht ^np+++??+=Albrecht
was ^vbd+bedz+aux++=was
to ^to++++=to
be ^vbi+vbi+aux++=be
seized ^vpsv++agls+xvbnx+=seized
and ^cc+phrs+++=and
compelled ^vbd+++xvbn+=compelled
to ^to+vcmp+++=to
render ^vbi++++=render
justice ^nn++++=justice.
. ^zz++++=EXTRAWORD
Alas ^uh++++=Alas!
! ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
who ^whp+who+++=who
enters ^vbz++++=enters
the ^ati++++=the
path ^nn++++=path
of ^in++++=of
violent ^jj+atrb+++=violent
counsels ^nns++++=counsels
can ^md+pos+++=can
seldom ^rb++splt++=seldom
choose ^vb++++=choose
where ^wrb+who+++=where
it ^pp3+it+++=it
shall ^md+prd+++=shall
end ^vb++++=end.
. ^zz++++=EXTRAWORD
Evil ^nn++++=Evil
men ^nns++++=men
conceal ^vb++++=conceal
from ^in++++=from
the ^ati++++=the
less ^rbr++++=less
guilty ^jj++++=guilty
the ^ati++++=the
worst ^jjt+atrb+++=worst
portion ^nn+nom+++=portion
of ^in++++=of
their ^pp$+pp3+++=their
purpose ^nn++++=purpose,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
blood ^nn++++=blood
hath ^vbz+hvz+aux++=hath
once ^rb+tm+splt++=once
been ^vprf+ben+aux+xvbnx+=been
shed ^vpsv++agls+xvbnx+=shed,
, ^zz++++=EXTRAWORD
all ^abn++++=all
who ^whp+who+++=who
stood ^vbd+++xvbn+=stood
near ^in+pl+++=near
the ^ati++++=the
assassin ^nn++++=assassin
are ^vb+ber+aux++=are
stained ^vpsv++agls+xvbnx+=stained
in ^in++++=in
the ^ati++++=the
judgment ^nn+nom+++=judgment
of ^in++++=of
the ^ati++++=the
world ^nn++++=world.
. ^zz++++=EXTRAWORD
The ^ati++++=The
opportunity ^nn+nom+++=opportunity
came ^vbd+++xvbn+=came
as ^ql++++=as
Albrecht ^np+++??+=Albrecht
journeyed ^vbd+++xvbn+=journeyed
with ^in++++=with
a ^at++++=a
small ^jj+atrb+++=small
attendance ^nn+nom+++=attendance.
. ^zz++++=EXTRAWORD
Johann ^np+++??+=Johann
and ^cc++++=and
his ^pp$+pp3+++=his
companions ^nns++++=companions
fell ^vbd+++xvbn+=fell
upon ^in++++=upon
him ^pp3o+pp3+++=him
suddenly ^rb+cnj+++=suddenly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
emperor ^nn++++=emperor
sank ^vbd+++xvbn+=sank
beneath ^in+pl+++=beneath
their ^pp$+pp3+++=their
weapons ^nns++++=weapons.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
a ^at++++=a
prince ^nn++++=prince,
, ^zz++++=EXTRAWORD
surrounded ^xvbn+++xvbn+=surrounded
by ^in++++=by
power ^nn++++=power
and ^cc++++=and
accustomed ^vpsv++agls+xvbn+=accustomed
to ^in++++=to
command ^nn++++=command
nations ^nns+nom+++=nations,
, ^zz++++=EXTRAWORD
perished ^xvbn+++xvbn+=perished
by ^in++++=by
the ^ati++++=the
hand ^nn++++=hand
of ^in++++=of
his ^pp$+pp3+++=his
own ^ap++++=own
kindred ^nn++++=kindred;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
imagined ^vprf+++xvbnx+=imagined
that ^tht+vcmp+++=that
one ^cd1++++=one
murderous ^jj+atrb+++=murderous
stroke ^nn++++=stroke
would ^md+prd+++=would
end ^vb++++=end
their ^pp$+pp3+++=their
grievances ^nns+nom+++=grievances
found ^vbd+vprv++xvbn+=found
that ^tht+vcmp+++=that
it ^pp3+it+++=it
had ^vb+hv+aux++=had
but ^cc++++=but
opened ^vbd+++xvbn+=opened
the ^ati++++=the
gates ^nns++++=gates
of ^in++++=of
vengeance ^nn+nom+++=vengeance.
. ^zz++++=EXTRAWORD
The ^ati++++=The
children ^nns++++=children
of ^in++++=of
Albrecht ^np+++??+=Albrecht
pursued ^vbd+++xvbn+=pursued
every ^at++++=every
person ^nn++++=person
suspected ^vbd+vprv++xvbn+=suspected
of ^in++++=of
sharing ^xvbg+++xvbg+=sharing
in ^in++++=in
the ^ati++++=the
conspiracy ^nn+nom+++=conspiracy.
. ^zz++++=EXTRAWORD
Leopold ^np++++=Leopold,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
son ^nn++++=son,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
relentless ^jj+pred+++=relentless;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Agnes ^np++++=Agnes,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
daughter ^nn+nom+++=daughter,
, ^zz++++=EXTRAWORD
surpassed ^xvbn+++xvbn+=surpassed
even ^rb++++=even
her ^pp3o+pp3+++=her
brother ^npt++++=brother
in ^in++++=in
the ^ati++++=the
fierceness ^nns+nom+++=fierceness
of ^in++++=of
her ^pp$+pp3+++=her
wrath ^nn++++=wrath.
. ^zz++++=EXTRAWORD
Houses ^nns++++=Houses
were ^vbd+bed+aux++=were
destroyed ^vpsv++agls+xvbnx+=destroyed,
, ^zz++++=EXTRAWORD
estates ^nns+nom+++=estates
confiscated ^vbd+++xvbn+=confiscated,
, ^zz++++=EXTRAWORD
families ^nns++++=families
reduced ^vwbn+++xvbn+=reduced
to ^in++++=to
beggary ^nn+nom+++=beggary,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
innocent ^nn++++=innocent
made ^vbd+++xvbn+=made
to ^to+vcmp+++=to
suffer ^vbi++++=suffer
with ^in++++=with
the ^ati++++=the
guilty ^nn++++=guilty.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+aux++=is
recorded ^vpsv++agls+xvbnx+=recorded
that ^tht+vcmp+++=that
Agnes ^np++++=Agnes
afterwards ^rb+tm+++=afterwards
founded ^vbd+++xvbn+=founded
a ^at++++=a
religious ^jj+atrb+++=religious
house ^nn++++=house
upon ^in++++=upon
the ^ati++++=the
spot ^nn++++=spot
where ^wrb+who+++=where
her ^pp3o+pp3+++=her
father ^npt++++=father
had ^vbd+hvd+aux++=had
fallen ^vprf+++xvbn+=fallen,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
stones ^nns++++=stones
consecrated ^vbd+++xvbn+=consecrated
to ^in++++=to
devotion ^nn+nom+++=devotion
could ^md+pos+++=could
atone ^vb++++=atone
for ^in++++=for
deeds ^nns++++=deeds
from ^in++++=from
which ^whp+rel+pied++=which
mercy ^nn++++=mercy
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
banished ^vpsv++agls+xvbnx+=banished.
. ^zz++++=EXTRAWORD
A ^at++++=A
holy ^jj+atrb+++=holy
hermit ^nn++++=hermit
rebuked ^vbd+++xvbn+=rebuked
her ^pp$+pp3+++=her
with ^in++++=with
courageous ^jj+atrb+++=courageous
plainness ^nns+nom+++=plainness.
. ^zz++++=EXTRAWORD
" ^zz++++="Woman,"
woman ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
" ^zz++++="God
god ^np++++=EXTRAWORD
is ^vbz+bez+aux++=is
not ^xnot++not++=not
served ^vpsv++by+xvbn+=served
by ^in++++=by
blood ^nn++++=blood.
. ^zz++++=EXTRAWORD
Thou ^pp2+pp2+++=Thou
mayest ^md++++=mayest
build ^vb++++=build
convents ^nns++++=convents,
, ^zz++++=EXTRAWORD
enrich ^vb++++=enrich
altars ^nns++++=altars,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fill ^vb++++=fill
churches ^nns++++=churches
with ^in++++=with
chanting ^xvbg+++xvbg+=chanting;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
no ^at++++=no
prayer ^nn++++=prayer
rises ^nns++++=rises
acceptably ^rb++++=acceptably
from ^in++++=from
a ^at++++=a
heart ^nn++++=heart
that ^tht+rel+subj++=that
refuseth ^vbz++++=refuseth
compassion ^nn++++=compassion."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
severe ^jj+atrb+++=severe
language ^nn+nom+++=language
to ^in++++=to
the ^ati++++=the
daughter ^nn+nom+++=daughter
of ^in++++=of
an ^at++++=an
emperor ^nn++++=emperor;
; ^zz++++=EXTRAWORD
yet ^rb++++=yet
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
righteous ^jj+pred+++=righteous.
. ^zz++++=EXTRAWORD
Religion ^nn++++=Religion
without ^in++++=without
forgiveness ^nns+nom+++=forgiveness
is ^vbz+bez+vrb++=is
but ^cc++++=but
a ^at++++=a
splendid ^jj+atrb+++=splendid
garment ^nn+nom+++=garment
cast ^vbd+++xvbn+=cast
over ^in++++=over
an ^at++++=an
unhealed ^jj+atrb+++=unhealed
wound ^nn+++xvbn+=wound.
. ^zz++++=EXTRAWORD
Rudolf ^np++++=Rudolf
was ^vbd+bedz+aux++=was
taken ^vpsv++agls+xvbnx+=taken
and ^cc+phrs+++=and
brought ^vpsv++agls+xvbn+=brought
to ^in+phrv+++=to
judgment ^nn+nom+++=judgment.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
little ^ap++++=little
hope ^nn++++=hope
for ^in++++=for
one ^cd1++++=one
accused ^vbd+++xvbn+=accused
in ^in++++=in
an ^at++++=an
hour ^nn++++=hour
when ^wrb+who+++=when
grief ^nn++++=grief
demanded ^vbd+vsua++xvbn+=demanded
victims ^nns++++=victims
rather ^rb++++=rather
than ^in++++=than
truth ^nn++++=truth.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
confessed ^vbd+vpub++xvbnx+=confessed
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
with ^in++++=with
the ^ati++++=the
conspirators ^nns++++=conspirators,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
denied ^vbd+vpub++xvbn+=denied
all ^abn++++=all
foreknowledge ^nn+++??+=foreknowledge
of ^in++++=of
their ^pp$+pp3+++=their
intention ^nn+nom+++=intention
to ^to+ncmp+++=to
slay ^vbi++++=slay
Albrecht ^np+++??+=Albrecht.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
protestations ^nns+nom+++=protestations
availed ^vbd+++xvbn+=availed
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
sentenced ^vpsv++agls+xvbnx+=sentenced
to ^to++++=to
be ^vbi+vbi+aux++=be
broken ^vpsv++agls+xvbnx+=broken
upon ^in++++=upon
the ^ati++++=the
wheel ^nn++++=wheel
and ^cc++++=and
left ^vbd+++xvbn+=left
suspended ^vbd+++xvbn+=suspended
