**editor ^nn++++=**EDITOR'S
's ^$++++=EXTRAWORD
One ^pn++++=One
of ^in++++=of
these ^dt+pdem+++=these
was ^vbd+bedz+vrb++=was
Damian ^np+++??+=Damian,
, ^zz++++=EXTRAWORD
a ^at++++=a
young ^jj+atrb+++=young
man ^nn++++=man
not ^xnot++not++=not
more ^rbr++++=more
than ^in++++=than
twenty ^cd++++=twenty-five
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
years ^nns++++=years
old ^jj++++=old.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
short ^jj+pred+++=short,
, ^zz++++=EXTRAWORD
broad ^jj++++=broad
in ^in++++=in
the ^ati++++=the
shoulders ^nns+nom+++=shoulders,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql+emph+++=so
light ^jj++++=light
upon ^in++++=upon
his ^pp$+pp3+++=his
feet ^nns++++=feet
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
seemed ^vbd+seem++xvbnx+=seemed
never ^rb++++=never
to ^to++++=to
sink ^vbi++++=sink
into ^in++++=into
the ^ati++++=the
snow ^nn++++=snow.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
hunted ^vprf+++xvbnx+=hunted
bears ^nns++++=bears
since ^cs+sub+++=since
boyhood ^nn+nom+++=boyhood
and ^cc++++=and
knew ^vbd+vprv++xvbn+=knew
the ^ati++++=the
forest ^nn++++=forest
as ^ql++++=as
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
the ^ati++++=the
rooms ^nns++++=rooms
of ^in++++=of
my ^pp$+pp1+++=my
house ^nn++++=house.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
found ^vbd+vprv++xvbn+=found
the ^ati++++=the
bear ^nn++++=bear
before ^in++++=before
noon ^nn++++=noon
in ^in++++=in
a ^at++++=a
fir ^nn++++=fir
thicket ^nn++++=thicket.
. ^zz++++=EXTRAWORD
The ^ati++++=The
hunters ^nns+nom+++=hunters
placed ^vwbn+++xvbn+=placed
us ^pp1o+pp1+++=us
along ^in++++=along
one ^cd1++++=one
side ^nn++++=side,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
beaters ^nns+nom+++=beaters
entered ^vbd+++xvbn+=entered
from ^in++++=from
the ^ati++++=the
other ^ap++++=other,
, ^zz++++=EXTRAWORD
shouting ^vbg+vpub++xvbg+=shouting
and ^cc+phrs+++=and
striking ^vbg+++xvbg+=striking
the ^ati++++=the
trees ^nns++++=trees
with ^in++++=with
sticks ^nns++++=sticks.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bear ^nn++++=bear
came ^vbd+++xvbn+=came
out ^rp+pl+++=out
where ^wrb+who+++=where
we ^pp1a+pp1+++=we
had ^vb+hv+vrb++=had
not ^xnot++not++=not
expected ^jj+++xvbn+=expected
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
One ^pn++++=One
of ^in++++=of
our ^pp$+pp1+++=our
men ^nns++++=men
fired ^vbd+++xvbn+=fired
from ^in++++=from
a ^at++++=a
distance ^nn+nom+++=distance
and ^cc++++=and
hit ^nn+++xvbn+=hit
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
not ^xnot++not++=not
in ^in++++=in
a ^at++++=a
vital ^jj+atrb+++=vital
place ^nn++++=place.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
the ^ati++++=the
animal ^nn++++=animal
turn ^nn++++=turn,
, ^zz++++=EXTRAWORD
bite ^vb++++=bite
at ^rb++++=at
its ^pp$+it+++=its
side ^nn++++=side,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
disappear ^vb+seem+++=disappear
among ^in++++=among
the ^ati++++=the
firs ^nns+++??+=firs.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
blood ^nn++++=blood
on ^in++++=on
the ^ati++++=the
snow ^nn++++=snow,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
not ^xnot++not++=not
much ^rb++++=much.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
must ^md+nec+++=must
follow ^vb+vprv+++=follow
him ^pp3o+pp3+++=him
now ^rn+tm+++=now,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
Damian ^np+++??+=Damian
looked ^vbd+++xvbn+=looked
at ^rb++++=at
the ^ati++++=the
track ^nn++++=track.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
can ^md+pos+++=can
follow ^vb+vprv+++=follow,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
we ^pp1a+pp1+++=we
shall ^md+prd+++=shall
not ^xnot++not++=not
come ^vb++++=come
up ^rb+phrv+++=up
with ^in+ppvb+++=with
him ^pp3o+pp3+++=him
before ^in++++=before
dark ^nn++++=dark."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
is ^vbz+bez+aux++=is
wounded ^vpsv++agls+xvbnx+=wounded."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
why ^wrb+who+++=why
he ^pp3a+pp3+++=he
will ^md+prd+++=will
go ^vb++++=go
far ^rb+pl+++=far."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
other ^ap++++=other
hunters ^nns+nom+++=hunters
wished ^vbd+vprv++xvbn+=wished
to ^to+vcmp+++=to
return ^vbi++++=return.
. ^zz++++=EXTRAWORD
The ^ati++++=The
day ^nn++++=day
was ^vbd+bedz+vrb++=was
short ^jj+pred+++=short,
, ^zz++++=EXTRAWORD
the ^ati++++=the
snow ^nn++++=snow
deep ^jj++++=deep,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
wind ^nn++++=wind
was ^vbd+bedz+aux++=was
rising ^vbg+++xvbgx+=rising.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
not ^xnot++not++=not
want ^vb++++=want
to ^to+vcmp+++=to
leave ^vbi++++=leave
a ^at++++=a
wounded ^jj+atrb++xvbn+=wounded
animal ^nn++++=animal
in ^in++++=in
the ^ati++++=the
forest ^nn++++=forest.
. ^zz++++=EXTRAWORD
Damian ^np+++??+=Damian
agreed ^vbd+vpub++xvbn+=agreed
to ^to++++=to
go ^vbi++++=go
with ^in++++=with
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
rest ^nn++++=rest
drove ^vbd+++xvbn+=drove
home ^nr++++=home
in ^in++++=in
the ^ati++++=the
sledges ^nns+++??+=sledges,
, ^zz++++=EXTRAWORD
promising ^jj++++=promising
to ^to++++=to
send ^vbi++++=send
horses ^nns++++=horses
to ^in++++=to
a ^at++++=a
forester ^nn+nom+++=forester's
's ^$++++=EXTRAWORD
hut ^nn++++=hut
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
supposed ^vbd+vprv+tht0+xvbnx+=supposed
we ^pp1a+pp1+++=we
would ^md+prd+++=would
spend ^vb++++=spend
the ^ati++++=the
night ^nn++++=night.
. ^zz++++=EXTRAWORD
Damian ^np+++??+=Damian
tightened ^vbd+++xvbn+=tightened
the ^ati++++=the
straps ^nns++++=straps
of ^in++++=of
his ^pp$+pp3+++=his
snowshoes ^nns+++??+=snowshoes.
. ^zz++++=EXTRAWORD
Mine ^nn++++=Mine
were ^vbd+bed+vrb++=were
broad ^jj+atrb+++=broad
wooden ^jj+atrb+++=wooden
frames ^nns++++=frames
woven ^vwbn+++xvbn+=woven
with ^in++++=with
rawhide ^nn+++??+=rawhide.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
I ^pp1a+pp1+++=I
stepped ^vbd+++xvbnx+=stepped
forward ^rb+cnj+++=forward,
, ^zz++++=EXTRAWORD
the ^ati++++=the
front ^nn++++=front
of ^in++++=of
one ^cd1++++=one
caught ^vbd+++xvbn+=caught
under ^in++++=under
the ^ati++++=the
snow ^nn++++=snow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
fell ^vbd+++xvbnx+=fell
upon ^in++++=upon
my ^pp$+pp1+++=my
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
must ^md+nec+++=must
not ^xnot++not++=not
lift ^vb++++=lift
your ^pp$+pp2+++=your
feet ^nns++++=feet
so ^ql++++=so
much ^ap++++=much,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Damian ^np+++??+=Damian
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Slide
slide ^nn++++=EXTRAWORD
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Like ^in++++=Like
this ^dt+pdem+++=this."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
moved ^vbd+++xvbnx+=moved
away ^rp+pl+++=away
over ^in++++=over
the ^ati++++=the
snow ^nn++++=snow
as ^cs+sub+++=as
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
were ^vbd+bed+aux++=were
sitting ^vbg+++xvbgx+=sitting
in ^in++++=in
a ^at++++=a
boat ^nn++++=boat
that ^tht+rel+subj++=that
glided ^vpsv++by+xvbn+=glided
by ^in++++=by
itself ^ppl++++=itself.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
tried ^vbd+++xvbnx+=tried
to ^to+vcmp+++=to
do ^vbi++++=do
as ^ql++++=as
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
every ^at++++=every
few ^ap++++=few
steps ^nns++++=steps
I ^pp1a+pp1+++=I
caught ^vbd+++xvbnx+=caught
one ^cd1++++=one
snowshoe ^nn+++??+=snowshoe
against ^in++++=against
the ^ati++++=the
other ^ap++++=other,
, ^zz++++=EXTRAWORD
trod ^j+++xvbn+=trod
on ^in++++=on
the ^ati++++=the
back ^nn++++=back
of ^in++++=of
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
struck ^vbd+++xvbn+=struck
a ^at++++=a
hidden ^jj+atrb++xvbn+=hidden
branch ^nn++++=branch.
. ^zz++++=EXTRAWORD
Damian ^np+++??+=Damian
went ^vbd+++xvbn+=went
easily ^rb++++=easily.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
followed ^vbd+vprv++xvbnx+=followed
with ^in++++=with
my ^pp$+pp1+++=my
gun ^nn++++=gun
across ^in+pl+++=across
my ^pp$+pp1+++=my
shoulder ^nn+nom+++=shoulder
and ^cc++++=and
soon ^rb+tm+++=soon
began ^vbd+++xvbn+=began
to ^to++++=to
perspire ^vbi++++=perspire.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bear ^nn++++=bear's
's ^$++++=EXTRAWORD
track ^nn++++=track
was ^vbd+bedz+vrb++=was
plain ^nn++++=plain.
. ^zz++++=EXTRAWORD
At ^rb++++=At
first ^rb"++++=first
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
straight ^jj++++=straight
through ^in++++=through
the ^ati++++=the
forest ^nn++++=forest,
, ^zz++++=EXTRAWORD
breaking ^vbg+++xvbg+=breaking
the ^ati++++=the
crust ^nn++++=crust
and ^cc++++=and
leaving ^vbg+++xvbg+=leaving
dark ^jj+atrb+++=dark
drops ^nns++++=drops
of ^in++++=of
blood ^nn++++=blood
in ^in++++=in
the ^ati++++=the
holes ^nns++++=holes.
. ^zz++++=EXTRAWORD
In ^in++++=In
some ^dti++++=some
places ^nns++++=places
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
brushed ^vprf+++xvbnx+=brushed
against ^in++++=against
young ^jj+atrb+++=young
firs ^nns+++??+=firs
and ^cc++++=and
shaken ^jj+++xvbn+=shaken
the ^ati++++=the
snow ^nn++++=snow
from ^in++++=from
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
we ^pp1a+pp1+++=we
found ^vbd+vprv++xvbn+=found
where ^wrb+who+whcl++=where
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
stopped ^vprf+++xvbnx+=stopped
beside ^in+pl+++=beside
a ^at++++=a
fallen ^vprf+++xvbn+=fallen
tree ^nn++++=tree.
. ^zz++++=EXTRAWORD
The ^ati++++=The
snow ^nn++++=snow
there ^ex+pex+++=there
was ^vbd+bedz+aux++=was
pressed ^vpsv++agls+xvbnx+=pressed
down ^rp++++=down
and ^cc++++=and
marked ^vpsv++agls+xvbn+=marked
with ^in++++=with
blood ^nn++++=blood.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
lay ^vbd+++xvbnx+=lay
here ^rn+pl+++=here,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="No,"
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Damian ^np+++??+=Damian.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
only ^rb+down+++=only
sat ^vbd+++xvbn+=sat
and ^cc+phrs+++=and
listened ^vbd+++xvbn+=listened."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
know ^vb+vprv+++=know?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
lain ^vprf+++xvbn+=lain
down ^rp++++=down,
, ^zz++++=EXTRAWORD
the ^ati++++=the
mark ^nn++++=mark
would ^md+prd+++=would
be ^vb+be+vrb++=be
longer ^rbr++++=longer.
. ^zz++++=EXTRAWORD
Look ^vb++++=Look.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
hindquarters ^nns+nom+++=hindquarters
were ^vbd+bed+vrb++=were
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
forepaws ^nns+++??+=forepaws
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
heard ^vbd+vprv++xvbnx+=heard
us ^pp1o+pp1+++=us
and ^cc++++=and
went ^vpsv++agls+xvbn+=went
on ^in+strn+++=on."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
track ^nn++++=track
led ^vbd+++xvbn+=led
across ^in+pl+++=across
a ^at++++=a
frozen ^jj+atrb++xvbn+=frozen
stream ^nn++++=stream,
, ^zz++++=EXTRAWORD
up ^rp++++=up
a ^at++++=a
slope ^nn++++=slope,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
into ^in++++=into
older ^jjr+atrb+++=older
forest ^nn++++=forest.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There
the ^ati++++=the
snow ^nn++++=snow
was ^vbd+bedz+vrb++=was
softer ^jjr+pred+++=softer.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
came ^vbd+++xvbn+=came
above ^rb++++=above
my ^pp$+pp1+++=my
knees ^nns++++=knees
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
stepped ^vbd+++xvbnx+=stepped
off ^in+pl+++=off
the ^ati++++=the
snowshoes ^nns+++??+=snowshoes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
even ^rb++++=even
with ^in++++=with
them ^pp3o+pp3+++=them
I ^pp1a+pp1+++=I
sank ^vbd+++xvbnx+=sank
nearly ^rb+down+++=nearly
to ^in++++=to
my ^pp$+pp1+++=my
ankles ^nns++++=ankles.
. ^zz++++=EXTRAWORD
Small ^jj+atrb+++=Small
fir ^nn++++=fir
trees ^nns++++=trees
lay ^vbd+++xvbn+=lay
bent ^jj+++xvbn+=bent
beneath ^in+pl+++=beneath
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
tops ^nns++++=tops
caught ^vbd+++xvbn+=caught
my ^pp$+pp1+++=my
clothes ^nns++++=clothes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
pushed ^vbd+++xvbnx+=pushed
through ^in+strn+++=through,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
sprang ^vbd+++xvbnx+=sprang
up ^rp++++=up
behind ^in+pl+++=behind
me ^pp1o+pp1+++=me
and ^cc++++=and
threw ^vbd+++xvbn+=threw
snow ^nn++++=snow
down ^rp++++=down
my ^pp$+pp1+++=my
neck ^nn++++=neck.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
two ^cd++++=two
hours ^nns++++=hours
my ^pp$+pp1+++=my
coat ^nn++++=coat
was ^vbd+bedz+vrb++=was
wet ^jj+pred+++=wet
through ^in+strn+++=through.
. ^zz++++=EXTRAWORD
The ^ati++++=The
inside ^nn++++=inside
of ^in++++=of
my ^pp$+pp1+++=my
mittens ^nns+++??+=mittens
was ^vbd+bedz+vrb++=was
wet ^jj+pred+++=wet,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
boots ^nns++++=boots
were ^vbd+bed+vrb++=were
wet ^jj+pred+++=wet,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
my ^pp$+pp1+++=my
hair ^nn++++=hair
was ^vbd+bedz+vrb++=was
wet ^jj+pred+++=wet.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
as ^ql++++=as
wet ^jj++++=wet
as ^ql++++=as
a ^at++++=a
drowned ^jj+atrb++xvbn+=drowned
rat ^nn++++=rat,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
the ^ati++++=the
frost ^nn++++=frost
was ^vbd+bedz+vrb++=was
severe ^jj+pred+++=severe.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
must ^md+nec+++=must
be ^vb+be+vrb++=be
close ^in+cmpx+++=close
to ^in"++++=to
him ^pp3o+pp3+++=him,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
Damian ^np+++??+=Damian
did ^vbd+dod+aux++=did
not ^xnot++not++=not
answer ^vb++++=answer
at ^rb++++=at
once ^rb"+tm+++=once.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
knelt ^vbd+++xvbnx+=knelt
and ^cc+phrs+++=and
examined ^vbd+++xvbn+=examined
the ^ati++++=the
track ^nn++++=track
where ^wrb+who+++=where
it ^pp3+it+++=it
passed ^vbd+++xvbn+=passed
between ^in++++=between
two ^cd++++=two
birches ^nns++++=birches.
. ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir.
. ^zz++++=EXTRAWORD
See ^vb+vprv+++=See
what ^wdt+who+whcl++=what
he ^pp3a+pp3+++=he
has ^vbz+hvz+vrb++=has
done ^vprf+++xvbnx+=done."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
only ^rb+down+++=only
a ^at++++=a
confusion ^nn++++=confusion
of ^in++++=of
marks ^nns++++=marks.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
went ^vbd+++xvbnx+=went
forward ^rb++++=forward
here ^rn+pl+++=here,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Damian ^np+++??+=Damian
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="then
then ^rn+tm+++=EXTRAWORD
turned ^vbd+++xvbn+=turned
and ^cc+phrs+++=and
stepped ^vbd+++xvbn+=stepped
backward ^jj++++=backward
in ^in++++=in
his ^pp$+pp3+++=his
own ^ap++++=own
track ^nn++++=track."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
pointed ^vbd+++xvbnx+=pointed
to ^in++++=to
the ^ati++++=the
edge ^nn++++=edge
of ^in++++=of
one ^cd1++++=one
hole ^nn++++=hole.
. ^zz++++=EXTRAWORD
The ^ati++++=The
snow ^nn++++=snow
was ^vbd+bedz+aux++=was
pressed ^vpsv++agls+xvbnx+=pressed
in ^in++++=in
the ^ati++++=the
opposite ^jj+atrb+++=opposite
direction ^nn+nom+++=direction.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
walked ^vbd+++xvbnx+=walked
backward ^jj++++=backward?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="For
for ^in++++=EXTRAWORD
twenty ^cd++++=twenty
paces ^nns++++=paces.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
jumped ^vbd+++xvbnx+=jumped
aside ^rp++++=aside."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
searched ^vbd+++xvbn+=searched
and ^cc+phrs+++=and
found ^vbd+vprv++xvbn+=found
the ^ati++++=the
place ^nn++++=place
where ^wrb+who+++=where
the ^ati++++=the
bear ^vb+vprv+++=bear
had ^vbd+hvd+aux++=had
leaped ^vprf+++xvbnx+=leaped
from ^in++++=from
his ^pp$+pp3+++=his
old ^jj+atrb+++=old
track ^nn++++=track
into ^in++++=into
a ^at++++=a
clump ^nn++++=clump
of ^in++++=of
firs ^nns+++??+=firs.
. ^zz++++=EXTRAWORD
From ^in++++=From
there ^rn+pl+++=there
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
downhill ^rb+pl+++=downhill
without ^in++++=without
leaving ^xvbg+++xvbg+=leaving
any ^dti++++=any
blood ^nn++++=blood.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
knows ^vbz+vprv+tht0++=knows
we ^pp1a+pp1+++=we
are ^vb+ber+aux++=are
following ^vbg+++xvbgx+=following,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Damian ^np+++??+=Damian
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
wants ^nns++++=wants
us ^pp1o+pp1+++=us
to ^to++++=to
pass ^vbi++++=pass
him ^pp3o+pp3+++=him."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
the ^ati++++=the
thick ^jj+atrb+++=thick
firs ^nns+++??+=firs.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
dark ^jj+pred+++=dark
beneath ^in+strn+++=beneath,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
bear ^nn++++=bear
might ^md+pos+++=might
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
lying ^vbg+++xvbgx+=lying
within ^in++++=within
ten ^cd++++=ten
paces ^nns++++=paces
without ^in++++=without
our ^pp$+pp1+++=our
seeing ^jj+++xvbg+=seeing
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="Is
is ^vbz+bez+vrb++=EXTRAWORD
he ^pp3a+pp3+++=he
there ^rn+pl+++=there?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No.
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
has ^vbz+hvz+aux++=has
gone ^vprf+++xvbnx+=gone
on ^in+strn+++=on."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Again ^rb+tm+++=Again
Damian ^np+++??+=Damian
