# ^zz++++=#
Passing ^vwbg+++xvbg+=Passing
than ^cs+sub+++=EXTRAWORD
that ^dt+dem+++=that
he ^pp3a+pp3+++=he
lay ^vbd+++xvbnx+=lay
down ^rb+phrv+++=down
his ^pp$+pp3+++=his
life ^nn++++=life
for ^in++++=for
his ^pp$+pp3+++=his
friend ^nn++++=friend.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
a ^at++++=a
love ^nn++++=love
passing ^vwbg+++xvbg+=passing
the ^ati++++=the
love ^nn++++=love
of ^in++++=of
woman ^nn++++=woman."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
preacher ^nn+nom+++=preacher
may ^md+pos+++=may
have ^vb+hv+aux++=have
joined ^vprf+++xvbnx+=joined
two ^cd++++=two
texts ^nns++++=texts
in ^in++++=in
an ^at++++=an
unauthorized ^jj+atrb+++=unauthorized
fashion ^nn++++=fashion.
. ^zz++++=EXTRAWORD
Preachers ^nns+nom++??+=Preachers,
, ^zz++++=EXTRAWORD
like ^in++++=like
cowboys ^nns++++=cowboys,
, ^zz++++=EXTRAWORD
sometimes ^rb++++=sometimes
improve ^vb++++=improve
a ^at++++=a
thing ^nn++++=thing
in ^in++++=in
the ^ati++++=the
telling ^nn++++=telling.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom
remembered ^vwbn+vprv++xvbn+=remembered
only ^rb+down+++=only
the ^ati++++=the
last ^ap++++=last
six ^cd++++=six
words ^nns++++=words.
. ^zz++++=EXTRAWORD
" ^zz++++="Passing
passing ^vbg+++xvbg+=EXTRAWORD
the ^ati++++=the
love ^nn++++=love
of ^in++++=of
woman ^nn++++=woman,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
mutter ^vb++++=mutter,
, ^zz++++=EXTRAWORD
cutting ^nvbg+++xvbg+=cutting
the ^ati++++=the
phrase ^nn++++=phrase
upon ^in++++=upon
a ^at++++=a
bit ^nn++++=bit
of ^in++++=of
pine ^nn++++=pine
with ^in++++=with
his ^pp$+pp3+++=his
pocketknife ^nn+++??+=pocketknife.
. ^zz++++=EXTRAWORD
" ^zz++++="Passing
passing ^vbg+++xvbg+=EXTRAWORD
the ^ati++++=the
love ^nn++++=love
of ^in++++=of
woman ^nn++++=woman."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+aux++=did
not ^xnot++not++=not
believe ^vb+vprv+++=believe
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Or ^cc+cls+++=Or,
, ^zz++++=EXTRAWORD
rather ^rb+cnj+++=rather,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
afraid ^jj+pred+++=afraid
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
partner ^nn++++=partner,
, ^zz++++=EXTRAWORD
Alfred ^np++++=Alfred
Dacey ^np+++??+=Dacey,
, ^zz++++=EXTRAWORD
usually ^rb+down+++=usually
told ^vbd+vpub++xvbn+=told
him ^pp3o+pp3+++=him
to ^to++++=to
shut ^vbi++++=shut
up ^rp++++=up.
. ^zz++++=EXTRAWORD
Alfred ^np++++=Alfred
was ^vbd+bedz+vrb++=was
short ^jj+pred+++=short,
, ^zz++++=EXTRAWORD
square ^nn++++=square
and ^cc++++=and
entirely ^rb+amp+++=entirely
without ^in++++=without
poetry ^nn++++=poetry.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
a ^at++++=a
mustache ^nn+++??+=mustache
of ^in++++=of
so ^ql++++=so
sandy ^np++++=sandy
a ^at++++=a
color ^nn++++=color
that ^tht+rel+obj++=that
it ^pp3+it+++=it
became ^vbd+++xvbn+=became
invisible ^jj++++=invisible
at ^in++++=at
ten ^cd++++=ten
paces ^nns++++=paces,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
legs ^nns++++=legs
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
excellent ^jj++++=excellent
for ^in++++=for
gripping ^xvbg+++xvbg+=gripping
a ^at++++=a
saddle ^nn++++=saddle,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
distributed ^vpsv++agls+xvbnx+=distributed
with ^in++++=with
economy ^nn++++=economy.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
spoke ^vbd+++xvbnx+=spoke
little ^ap++++=little
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
learned ^vprf+++xvbnx+=learned
early ^jj++++=early
that ^dt+dem+++=that
silence ^nn+nom+++=silence
causes ^nns++++=causes
other ^ap++++=other
men ^nns++++=men
to ^in++++=to
credit ^nn++++=credit
you ^pp2+pp2+++=you
with ^in++++=with
ideas ^nns++++=ideas
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
never ^rb++++=never
had ^vb+hv+vrb++=had.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
and ^cc++++=and
Tom ^np++++=Tom
had ^vbd+hvd+aux++=had
ridden ^vprf+++xvbnx+=ridden
together ^nn+nom+++=together
through ^in++++=through
three ^cd++++=three
round ^in++++=round-ups,
- ^zz++++=EXTRAWORD
ups ^nns"++++=EXTRAWORD
, ^zz++++=EXTRAWORD
two ^cd++++=two
stampedes ^nns+++??+=stampedes,
, ^zz++++=EXTRAWORD
a ^at++++=a
winter ^nn++++=winter
night ^nn++++=night-herd
- ^zz++++=EXTRAWORD
herd ^nn++++=EXTRAWORD
in ^in++++=in
New ^jj+atrb+++=New
Mexico ^np++++=Mexico
and ^cc++++=and
one ^cd1++++=one
disastrous ^jj+atrb+++=disastrous
attempt ^nn++++=attempt
at ^rb++++=at
operating ^vbg+++xvbg+=operating
a ^at++++=a
livery ^nn++++=livery
stable ^nn++++=stable.
. ^zz++++=EXTRAWORD
Each ^dt++++=Each
knew ^vbd+vprv++xvbn+=knew
the ^ati++++=the
other's ^ppls++++=other's
faults ^nns++++=faults
with ^in++++=with
the ^ati++++=the
accuracy ^nn+nom+++=accuracy
of ^in++++=of
a ^at++++=a
wife ^nn++++=wife
and ^cc++++=and
tolerated ^xvbn+++xvbn+=tolerated
them ^pp3o+pp3+++=them
with ^in++++=with
considerably ^rb++++=considerably
less ^rbr++++=less
discussion ^nn++++=discussion.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
year ^nn++++=year
of ^in++++=of
which ^whp+rel+pied++=which
I ^pp1a+pp1+++=I
speak ^vb++++=speak
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
working ^vbg+++xvbgx+=working
for ^in++++=for
the ^ati++++=the
San ^np++++=San
Jacinto ^np+++??+=Jacinto
outfit ^nn++++=outfit,
, ^zz++++=EXTRAWORD
south ^nr+pl+++=south
of ^in++++=of
Tucson ^np+++??+=Tucson.
. ^zz++++=EXTRAWORD
A ^at++++=A
dispute ^nn++++=dispute
had ^vbd+hvd+aux++=had
arisen ^vprf+++xvbn+=arisen
over ^in++++=over
wages ^nns++++=wages
with ^in++++=with
a ^at++++=a
band ^nn++++=band
of ^in++++=of
Mexican ^jj+atrb+++=Mexican
vaqueros ^nns+++??+=vaqueros
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
hired ^vpsv++agls+xvbnx+=hired
for ^in++++=for
the ^ati++++=the
spring ^vb++++=spring
drive ^nn++++=drive.
. ^zz++++=EXTRAWORD
The ^ati++++=The
dispute ^nn++++=dispute
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
at ^rb++++=at
first ^rb"++++=first,
, ^zz++++=EXTRAWORD
serious ^jj++++=serious.
. ^zz++++=EXTRAWORD
Nobody ^pn++++=Nobody
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
killed ^vpsv++agls+xvbnx+=killed;
; ^zz++++=EXTRAWORD
consequently ^rb+cnj+++=consequently
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
described ^vpsv++agls+xvbnx+=described
as ^ql++++=as
a ^at++++=a
misunderstanding ^nn++++=misunderstanding.
. ^zz++++=EXTRAWORD
The ^ati++++=The
owner ^nn++++=owner
paid ^vbd+++xvbn+=paid
the ^ati++++=the
men ^nns++++=men
off ^in+pl+++=off
and ^cc++++=and
asked ^vbn+vsua++xvbn+=asked
Tom ^np++++=Tom
and ^cc++++=and
Alfred ^np++++=Alfred
to ^in++++=to
escort ^nn++++=escort
them ^pp3o+pp3+++=them
across ^in+pl+++=across
forty ^cd++++=forty
miles ^nns++++=miles
of ^in++++=of
desert ^nn++++=desert
to ^in++++=to
a ^at++++=a
trail ^nn++++=trail
leading ^vwbg+++xvbg+=leading
south ^nr+pl+++=south,
, ^zz++++=EXTRAWORD
partly ^rb+down+++=partly
as ^ql++++=as
guides ^nns++++=guides
and ^cc++++=and
partly ^rb+down+++=partly
to ^to++++=to
prevent ^vbi++++=prevent
their ^pp$+pp3+++=their
returning ^jj+++xvbg+=returning
to ^to++++=to
argue ^vbi+vpub+++=argue.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
eleven ^cd++++=eleven
vaqueros ^nns+++??+=vaqueros.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
angry ^jj+pred+++=angry,
, ^zz++++=EXTRAWORD
armed ^j+++xvbn+=armed
and ^cc++++=and
badly ^rb++++=badly
paid ^vbd+++xvbn+=paid,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
a ^at++++=a
combination ^nn+nom+++=combination
no ^at++++=no
sensible ^jj+atrb+++=sensible
man ^nn++++=man
escorts ^nns++++=escorts
anywhere ^rb++++=anywhere.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
leader ^nn++++=leader,
, ^zz++++=EXTRAWORD
Esteban ^np+++??+=Esteban
Vela ^np+++??+=Vela,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
a ^at++++=a
lean ^vb++++=lean
fellow ^jjb++++=fellow
with ^in++++=with
silver ^nn++++=silver
on ^in++++=on
his ^pp$+pp3+++=his
bridle ^nn++++=bridle
and ^cc++++=and
manners ^nns+nom+++=manners
polished ^jj++++=polished
enough ^qlp++++=enough
to ^to++++=to
show ^vbi+vprv+++=show
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
dangerous ^jj+pred+++=dangerous.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
younger ^jjr+atrb+++=younger
brother ^nn++++=brother
Jos ^np+++??+=Jos
had ^vb+hv+vrb++=had
no ^at++++=no
manners ^nns+nom+++=manners
and ^cc++++=and
made ^vbd+++xvbn+=made
up ^rp++++=up
the ^ati++++=the
deficiency ^nn++++=deficiency
with ^in++++=with
a ^at++++=a
knife ^nn++++=knife.
. ^zz++++=EXTRAWORD
Black ^jj+atrb+++=Black
Sam ^nn++++=Sam
went ^vbd+++xvbn+=went
along ^in++++=along
as ^ql++++=as
cook ^vb++++=cook.
. ^zz++++=EXTRAWORD
Sam ^np++++=Sam's
's ^$++++=EXTRAWORD
proper ^jj+atrb+++=proper
name ^nn++++=name
was ^vbd+bedz+vrb++=was
Samuel ^np++++=Samuel
Pickett ^np+++??+=Pickett,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
nobody ^pn++++=nobody
on ^in++++=on
the ^ati++++=the
range ^nn++++=range
used ^vwbn+++xvbn+=used
proper ^jj+atrb+++=proper
names ^nns++++=names
except ^in++++=except
sheriffs ^nns++++=sheriffs
and ^cc++++=and
widows ^nns++++=widows.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
broad ^jj+atrb+++=broad,
, ^zz++++=EXTRAWORD
elderly ^jj+atrb+++=elderly
man ^nn++++=man
whose ^whp+rel+obj++=whose
great ^jj+atrb+++=great
gift ^nn++++=gift
was ^vbd+bedz+vrb++=was
the ^ati++++=the
production ^nn+nom+++=production
of ^in++++=of
edible ^jj+atrb+++=edible
biscuits ^nns++++=biscuits
under ^in++++=under
conditions ^nns+nom+++=conditions
that ^tht+rel+subj++=that
would ^md+prd+++=would
have ^vb+hv+aux++=have
discouraged ^vprf+++xvbnx+=discouraged
chemistry ^nn++++=chemistry
itself ^ppl++++=itself.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
drove ^vbd+++xvbnx+=drove
the ^ati++++=the
chuck ^nn++++=chuck
wagon ^nn++++=wagon,
, ^zz++++=EXTRAWORD
addressed ^j+++xvbn+=addressed
the ^ati++++=the
mules ^nns++++=mules
as ^in++++=as
" ^zz++++="ladies,"
ladies ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
regarded ^vbd+++xvbn+=regarded
every ^at++++=every
delay ^nn++++=delay
in ^in++++=in
supper ^nn++++=supper
as ^in++++=as
a ^at++++=a
personal ^jj+atrb+++=personal
attack ^nn++++=attack
upon ^in++++=upon
civilization ^nn+nom+++=civilization.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
second ^od++++=second
evening ^nn++++=evening
clouds ^nns++++=clouds
climbed ^vbd+++xvbn+=climbed
over ^in++++=over
the ^ati++++=the
western ^jj+atrb+++=western
hills ^nns++++=hills
and ^cc++++=and
deposited ^jj+++xvbn+=deposited
seven ^cd++++=seven
minutes ^nns++++=minutes
of ^in++++=of
rain ^nn++++=rain
precisely ^rb++++=precisely
where ^wrb+who+++=where
Sam ^nn++++=Sam
had ^vbd+hvd+aux++=had
stacked ^vprf+++xvbnx+=stacked
his ^pp$+pp3+++=his
firewood ^nn+++??+=firewood.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
serious ^jj+pred+++=serious.
. ^zz++++=EXTRAWORD
Sam ^np++++=Sam
crouched ^vbd+++xvbn+=crouched
over ^in++++=over
a ^at++++=a
reluctant ^jj+atrb+++=reluctant
flame ^nn++++=flame,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
elbows ^nns++++=elbows
on ^in++++=on
his ^pp$+pp3+++=his
knees ^nns++++=knees
and ^cc++++=and
his ^pp$+pp3+++=his
face ^vb++++=face
thrust ^vbd+++xvbn+=thrust
forward ^rb++++=forward
in ^in++++=in
an ^at++++=an
attitude ^nn++++=attitude
of ^in++++=of
profound ^jj+atrb+++=profound
grief ^nn++++=grief.
. ^zz++++=EXTRAWORD
Smoke ^vb++++=Smoke
rolled ^vbd+++xvbn+=rolled
into ^in++++=into
his ^pp$+pp3+++=his
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bacon ^np++++=bacon
remained ^vbd+++xvbn+=remained
cold ^jj++++=cold.
. ^zz++++=EXTRAWORD
The ^ati++++=The
coffee ^nn++++=coffee
pot ^nn++++=pot,
, ^zz++++=EXTRAWORD
three ^cd++++=three
skillets ^nns+nom+++=skillets,
, ^zz++++=EXTRAWORD
a ^at++++=a
Dutch ^jj+atrb+++=Dutch
oven ^nn++++=oven,
, ^zz++++=EXTRAWORD
a ^at++++=a
flour ^nn++++=flour
sack ^nn++++=sack,
, ^zz++++=EXTRAWORD
a ^at++++=a
meat ^nn++++=meat
fork ^nn++++=fork,
, ^zz++++=EXTRAWORD
two ^cd++++=two
tin ^nn++++=tin
cups ^nns++++=cups
and ^cc++++=and
a ^at++++=a
collection ^nn+nom+++=collection
of ^in++++=of
spoons ^nns++++=spoons
lay ^vbd+++xvbn+=lay
around ^rp++++=around
him ^pp3o+pp3+++=him
as ^cs+sub+++=as
though ^cs+sub+++=though
the ^ati++++=the
wagon ^nn++++=wagon
had ^vbd+hvd+aux++=had
burst ^vprf+++xvbnx+=burst.
. ^zz++++=EXTRAWORD
The ^ati++++=The
vaqueros ^nns+++??+=vaqueros
sat ^vbd+++xvbn+=sat
apart ^in++++=apart
beneath ^rb++++=beneath
their ^pp$+pp3+++=their
blankets ^nns++++=blankets,
, ^zz++++=EXTRAWORD
smoking ^vbg+++xvbg+=smoking
and ^cc+phrs+++=and
talking ^vbg+++xvbg+=talking
in ^in++++=in
low ^jj+atrb+++=low
voices ^nns++++=voices.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom
watched ^vbd+++xvbn+=watched
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Alfred ^nn++++=Alfred
watched ^vbd+++xvbn+=watched
Tom ^np++++=Tom.
. ^zz++++=EXTRAWORD
" ^zz++++="Supper'll
supper ^nn++++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+vrb++=be
late ^jj+pred+++=late,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Sam ^nn++++=Sam.
. ^zz++++=EXTRAWORD
" ^zz++++="No!"
no ^at++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Alfred ^np++++=Alfred
exclaimed ^vbd+++xvbn+=exclaimed,
, ^zz++++=EXTRAWORD
with ^in++++=with
unusual ^jj+atrb+++=unusual
animation ^nn+nom+++=animation.
. ^zz++++=EXTRAWORD
Sam ^nn++++=Sam
looked ^vbd+++xvbn+=looked
wounded ^xvbn+++xvbn+=wounded.
. ^zz++++=EXTRAWORD
" ^zz++++="Wet
wet ^jj+atrb+++=EXTRAWORD
wood ^nn++++=wood,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
explained ^vbd+vpub++xvbnx+=explained.
. ^zz++++=EXTRAWORD
" ^zz++++="Even
even ^rb++++=EXTRAWORD
the ^ati++++=the
Almighty ^nn++++=Almighty
took ^vbd+++xvbn+=took
six ^cd++++=six
days ^nns++++=days,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
dry ^jj+atrb+++=dry
kindlin ^nn+++??+=kindlin'."
'." ^nn+++??+=EXTRAWORD
Jos ^np+++??+=Jos
called ^vbd+++xvbn+=called
something ^pn++++=something
from ^in++++=from
the ^ati++++=the
darkness ^nns+nom+++=darkness.
. ^zz++++=EXTRAWORD
Several ^ap++++=Several
men ^nns++++=men
laughed ^vbd+++xvbn+=laughed.
. ^zz++++=EXTRAWORD
Sam ^np++++=Sam
did ^vbd+dod+aux++=did
not ^xnot++not++=not
understand ^vb+vprv+++=understand
the ^ati++++=the
words ^nns++++=words,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
understood ^vbd+vprv+tht0+xvbnx+=understood
laughter ^nn+nom+++=laughter
directed ^vwbn+++xvbn+=directed
toward ^in++++=toward
a ^at++++=a
cook ^vb++++=cook
whose ^whp+who+++=whose
fire ^nn++++=fire
would ^md+prd+++=would
not ^xnot++not++=not
burn ^vb++++=burn.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
straightened ^vbd+++xvbnx+=straightened.
. ^zz++++=EXTRAWORD
" ^zz++++="Tell
tell ^vb++++=EXTRAWORD
that ^tht+vcmp+++=that
young ^jj+atrb+++=young
rooster ^nn+nom+++=rooster,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
to ^to+vcmp+++=to
Tom ^vb++++=Tom,
, ^zz++++=EXTRAWORD
" ^zz++++="that
that ^dt+dem+++=EXTRAWORD
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
wants ^vbz++++=wants
his ^pp$+pp3+++=his
beans ^nns++++=beans
before ^in++++=before
sunup ^nn+++??+=sunup,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
can ^md+pos+++=can
come ^vprf+++xvbn+=come
over ^in++++=over
here ^rn+pl+++=here
and ^cc++++0=an'
persuade ^vb++++=persuade
this ^dt+dem+++=this
timber ^nn++++=timber."
